SED_CODE_2016,D_10_12_FPNLF_MPET,D_10_12_FPNLF_MPULFTW,D_10_12_FPNLF_MPULPTW,D_10_12_FPNLF_MPUT,D_10_12_FPNLF_MPTLF,D_10_12_FPNLF_MPNLF,D_10_12_FPNLF_MPLFSNS,D_10_12_FPNLF_T,D_10_12_FPLFSNS_MPEFT,D_10_12_FPLFSNS_MPEPT,D_10_12_FPLFSNS_MPEAW,D_10_12_FPLFSNS_MPEHNS,D_10_12_FPLFSNS_MPET,D_10_12_FPLFSNS_MPULFTW,D_10_12_FPLFSNS_MPULPTW,D_10_12_FPLFSNS_MPUT,D_10_12_FPLFSNS_MPTLF,D_10_12_FPLFSNS_MPNLF,D_10_12_FPLFSNS_MPLFSNS,D_10_12_FPLFSNS_T,D_10_12_FPT_MPEFT,D_10_12_FPT_MPEPT,D_10_12_FPT_MPEAW,D_10_12_FPT_MPEHNS,D_10_12_FPT_MPET,D_10_12_FPT_MPULFTW,D_10_12_FPT_MPULPTW,D_10_12_FPT_MPUT,D_10_12_FPT_MPTLF,D_10_12_FPT_MPNLF,D_10_12_FPT_MPLFSNS,D_10_12_FPT_T,D_13_14_FPEFT_MPEFT,D_13_14_FPEFT_MPEPT,D_13_14_FPEFT_MPEAW,D_13_14_FPEFT_MPEHNS,D_13_14_FPEFT_MPET,D_13_14_FPEFT_MPULFTW,D_13_14_FPEFT_MPULPTW,D_13_14_FPEFT_MPUT,D_13_14_FPEFT_MPTLF,D_13_14_FPEFT_MPNLF,D_13_14_FPEFT_MPLFSNS,D_13_14_FPEFT_T,D_13_14_FPEPT_MPEFT,D_13_14_FPEPT_MPEPT,D_13_14_FPEPT_MPEAW,D_13_14_FPEPT_MPEHNS,D_13_14_FPEPT_MPET,D_13_14_FPEPT_MPULFTW,D_13_14_FPEPT_MPULPTW,D_13_14_FPEPT_MPUT,D_13_14_FPEPT_MPTLF,D_13_14_FPEPT_MPNLF,D_13_14_FPEPT_MPLFSNS,D_13_14_FPEPT_T,D_13_14_FPEAW_MPEFT,D_13_14_FPEAW_MPEPT,D_13_14_FPEAW_MPEAW,D_13_14_FPEAW_MPEHNS,D_13_14_FPEAW_MPET,D_13_14_FPEAW_MPULFTW,D_13_14_FPEAW_MPULPTW,D_13_14_FPEAW_MPUT,D_13_14_FPEAW_MPTLF,D_13_14_FPEAW_MPNLF,D_13_14_FPEAW_MPLFSNS,D_13_14_FPEAW_T,D_13_14_FPHNS_MPEFT,D_13_14_FPHNS_MPEPT,D_13_14_FPHNS_MPEAW,D_13_14_FPHNS_MPEHNS,D_13_14_FPHNS_MPET,D_13_14_FPHNS_MPULFTW,D_13_14_FPHNS_MPULPTW,D_13_14_FPHNS_MPUT,D_13_14_FPHNS_MPTLF,D_13_14_FPHNS_MPNLF,D_13_14_FPHNS_MPLFSNS,D_13_14_FPHNS_T,D_13_14_FPET_MPEFT,D_13_14_FPET_MPEPT,D_13_14_FPET_MPEAW,D_13_14_FPET_MPEHNS,D_13_14_FPET_MPET,D_13_14_FPET_MPULFTW,D_13_14_FPET_MPULPTW,D_13_14_FPET_MPUT,D_13_14_FPET_MPTLF,D_13_14_FPET_MPNLF,D_13_14_FPET_MPLFSNS,D_13_14_FPET_T,D_13_14_FPULFTW_MPEFT,D_13_14_FPULFTW_MPEPT,D_13_14_FPULFTW_MPEAW,D_13_14_FPULFTW_MPEHNS,D_13_14_FPULFTW_MPET,D_13_14_FPULFTW_MPULFTW,D_13_14_FPULFTW_MPULPTW,D_13_14_FPULFTW_MPUT,D_13_14_FPULFTW_MPTLF,D_13_14_FPULFTW_MPNLF,D_13_14_FPULFTW_MPLFSNS,D_13_14_FPULFTW_T,D_13_14_FPULPTW_MPEFT,D_13_14_FPULPTW_MPEPT,D_13_14_FPULPTW_MPEAW,D_13_14_FPULPTW_MPEHNS,D_13_14_FPULPTW_MPET,D_13_14_FPULPTW_MPULFTW,D_13_14_FPULPTW_MPULPTW,D_13_14_FPULPTW_MPUT,D_13_14_FPULPTW_MPTLF,D_13_14_FPULPTW_MPNLF,D_13_14_FPULPTW_MPLFSNS,D_13_14_FPULPTW_T,D_13_14_FPUT_MPEFT,D_13_14_FPUT_MPEPT,D_13_14_FPUT_MPEAW,D_13_14_FPUT_MPEHNS,D_13_14_FPUT_MPET,D_13_14_FPUT_MPULFTW,D_13_14_FPUT_MPULPTW,D_13_14_FPUT_MPUT,D_13_14_FPUT_MPTLF,D_13_14_FPUT_MPNLF,D_13_14_FPUT_MPLFSNS,D_13_14_FPUT_T,D_13_14_FPTLF_MPEFT,D_13_14_FPTLF_MPEPT,D_13_14_FPTLF_MPEAW,D_13_14_FPTLF_MPEHNS,D_13_14_FPTLF_MPET,D_13_14_FPTLF_MPULFTW,D_13_14_FPTLF_MPULPTW,D_13_14_FPTLF_MPUT,D_13_14_FPTLF_MPTLF,D_13_14_FPTLF_MPNLF,D_13_14_FPTLF_MPLFSNS,D_13_14_FP_T,D_13_14_FPNLF_MPEFT,D_13_14_FPNLF_MPEPT,D_13_14_FPNLF_MPEAW,D_13_14_FPNLF_MPEHNS,D_13_14_FPNLF_MPET,D_13_14_FPNLF_MPULFTW,D_13_14_FPNLF_MPULPTW,D_13_14_FPNLF_MPUT,D_13_14_FPNLF_MPTLF,D_13_14_FPNLF_MPNLF,D_13_14_FPNLF_MPLFSNS,D_13_14_FPNLF_T,D_13_14_FPLFSNS_MPEFT,D_13_14_FPLFSNS_MPEPT,D_13_14_FPLFSNS_MPEAW,D_13_14_FPLFSNS_MPEHNS,D_13_14_FPLFSNS_MPET,D_13_14_FPLFSNS_MPULFTW,D_13_14_FPLFSNS_MPULPTW,D_13_14_FPLFSNS_MPUT,D_13_14_FPLFSNS_MPTLF,D_13_14_FPLFSNS_MPNLF,D_13_14_FPLFSNS_MPLFSNS,D_13_14_FPLFSNS_T,D_13_14_FPT_MPEFT,D_13_14_FPT_MPEPT,D_13_14_FPT_MPEAW,D_13_14_FPT_MPEHNS,D_13_14_FPT_MPET,D_13_14_FPT_MPULFTW,D_13_14_FPT_MPULPTW,D_13_14_FPT_MPUT,D_13_14_FPT_MPTLF,D_13_14_FPT_MPNLF,D_13_14_FPT_MPLFSNS,D_13_14_FPT_T,D_15_17_FPEFT_MPEFT,D_15_17_FPEFT_MPEPT,D_15_17_FPEFT_MPEAW,D_15_17_FPEFT_MPEHNS,D_15_17_FPEFT_MPET,D_15_17_FPEFT_MPULFTW,D_15_17_FPEFT_MPULPTW,D_15_17_FPEFT_MPUT,D_15_17_FPEFT_MPTLF,D_15_17_FPEFT_MPNLF,D_15_17_FPEFT_MPLFSNS,D_15_17_FPEFT_T,D_15_17_FPEPT_MPEFT,D_15_17_FPEPT_MPEPT,D_15_17_FPEPT_MPEAW,D_15_17_FPEPT_MPEHNS,D_15_17_FPEPT_MPET,D_15_17_FPEPT_MPULFTW,D_15_17_FPEPT_MPULPTW,D_15_17_FPEPT_MPUT,D_15_17_FPEPT_MPTLF,D_15_17_FPEPT_MPNLF,D_15_17_FPEPT_MPLFSNS,D_15_17_FPEPT_T
SED10001,307,10,0,9,314,78,0,391,0,0,0,4,3,0,0,0,3,0,11,13,1570,188,40,23,1817,28,6,38,1852,139,11,1994,346,34,4,4,386,8,0,8,393,28,0,418,447,55,8,3,513,13,0,13,528,25,0,549,26,4,0,0,30,0,0,0,30,0,0,32,3,0,0,4,11,0,0,0,11,0,0,9,817,96,13,13,940,16,0,16,958,60,0,1010,6,0,0,3,8,0,0,0,5,0,0,5,18,3,0,0,18,0,0,3,24,0,0,25,22,0,0,3,24,4,0,4,27,0,0,30,837,100,17,13,964,18,4,21,981,56,0,1042,126,17,3,5,149,7,0,12,159,51,0,210,3,0,0,3,9,0,0,0,9,0,3,12,963,119,18,20,1116,26,3,29,1153,105,5,1265,499,38,12,8,554,7,0,6,560,20,0,580,557,71,15,3,640,14,0,11,655,29,0,683
SED10002,807,47,27,71,885,372,17,1266,9,7,0,3,20,0,0,0,20,3,15,35,1238,476,20,68,1799,91,42,127,1932,460,37,2429,275,32,3,0,308,3,0,5,315,38,0,351,164,69,0,4,233,9,3,14,245,25,0,275,4,0,4,0,8,0,0,0,8,0,0,8,6,3,0,11,23,0,0,3,25,8,0,31,444,100,7,21,568,13,8,18,587,71,0,663,11,0,0,0,15,3,0,3,21,0,0,21,16,13,0,0,34,0,3,4,42,3,0,41,32,13,0,3,53,4,3,9,60,3,0,64,476,112,10,22,617,18,9,25,645,75,5,724,298,158,3,26,492,16,13,27,514,238,6,757,7,3,0,4,16,0,0,0,16,0,13,31,782,279,13,53,1121,37,17,56,1180,315,24,1514,379,65,0,5,452,14,3,16,466,47,0,510,241,81,7,4,335,9,0,12,348,30,0,381
SED10003,219,14,3,11,229,49,3,284,3,0,0,0,4,0,0,0,4,0,4,4,1050,310,30,21,1416,28,6,37,1449,109,5,1562,254,49,3,5,320,5,3,10,326,8,0,337,319,93,5,3,424,9,0,6,430,26,5,458,6,3,4,0,15,0,0,0,15,0,0,15,3,0,0,4,11,0,0,0,10,0,0,9,595,148,13,12,762,18,6,16,784,32,5,823,3,4,0,0,8,0,0,0,8,3,0,9,3,0,0,0,3,4,0,3,9,0,0,9,13,7,0,0,16,4,0,3,17,3,0,20,602,154,13,12,780,18,6,20,800,35,5,842,82,35,3,3,132,4,0,4,138,25,0,163,0,0,0,0,3,0,0,0,3,0,0,3,690,190,18,18,912,23,6,29,942,63,3,1011,382,64,3,4,456,9,3,12,472,26,0,497,404,132,12,4,555,7,3,7,564,44,0,608
SED10004,200,4,4,6,203,18,0,221,0,0,0,0,0,0,0,0,0,0,0,0,1096,139,14,14,1266,28,0,32,1293,67,4,1361,275,39,8,0,311,8,5,9,325,19,0,344,260,25,0,0,280,9,3,11,290,15,0,304,6,0,0,0,6,0,0,0,6,0,0,8,3,0,0,3,4,0,0,0,4,0,0,4,534,59,8,4,608,17,3,18,624,32,0,656,8,0,0,3,12,3,0,3,13,0,0,13,13,0,0,0,13,0,0,0,12,0,0,12,24,0,0,3,27,5,0,5,26,0,0,26,557,58,8,9,632,16,3,27,653,32,0,688,90,7,0,0,100,3,0,3,106,14,0,114,0,0,0,0,0,0,0,0,0,0,0,0,645,72,7,9,731,20,7,31,758,44,3,806,361,36,4,3,407,15,4,24,425,24,0,451,210,28,3,0,240,6,0,6,245,18,0,265
SED10005,839,41,22,56,903,353,16,1269,3,0,0,0,10,0,0,0,10,3,18,33,1320,431,26,84,1855,97,45,135,1989,461,39,2485,284,33,0,8,324,16,4,19,343,36,0,380,217,59,7,0,276,6,0,4,282,15,0,296,5,3,3,0,17,0,0,0,17,0,0,19,5,0,0,6,15,0,0,0,15,3,0,16,508,97,8,15,629,19,3,27,659,49,0,708,17,6,0,3,25,11,3,11,34,4,0,37,15,18,0,0,31,0,3,5,40,8,0,46,38,22,0,3,59,7,9,17,73,12,0,85,544,117,10,17,688,32,12,43,729,57,0,794,269,147,11,22,449,23,8,27,480,226,3,709,3,0,0,0,5,0,0,0,5,0,14,17,815,263,27,43,1146,55,21,74,1218,288,22,1521,384,49,5,4,441,19,8,24,470,40,0,510,274,103,7,0,382,8,0,7,389,38,0,428
SED10006,212,18,3,17,231,105,3,336,7,0,0,0,7,0,0,0,7,0,11,19,1211,106,36,41,1390,45,6,55,1451,176,16,1643,252,30,3,0,281,3,0,3,288,25,0,307,252,31,3,10,301,10,0,10,311,14,0,322,9,3,3,0,12,0,0,0,12,0,0,12,0,0,0,15,15,0,0,0,15,0,0,14,517,65,11,22,609,13,0,13,624,38,0,663,13,0,0,0,13,0,0,3,14,8,0,18,8,0,0,0,8,6,0,8,13,0,0,12,21,0,0,0,21,9,0,11,29,7,0,33,534,65,11,22,629,20,0,23,650,48,0,698,92,16,3,5,115,10,3,10,131,78,0,204,0,0,0,0,0,0,0,0,0,0,5,8,628,75,11,32,748,25,6,29,785,128,5,909,321,24,7,5,353,7,3,14,367,28,0,395,300,59,10,14,378,9,0,8,381,21,0,408
SED10007,271,13,0,13,284,86,4,376,0,0,0,3,3,0,0,0,3,0,6,14,1526,152,37,34,1748,33,9,36,1789,146,14,1948,407,33,3,0,449,13,0,13,455,21,0,480,404,50,4,3,469,4,0,9,475,16,0,496,14,0,5,4,17,0,0,0,20,3,0,20,8,0,0,6,9,0,0,0,9,0,0,15,828,83,14,12,941,15,0,17,963,42,0,1007,5,0,0,0,5,0,0,0,6,0,0,11,7,0,0,0,12,0,0,0,9,4,0,13,13,0,0,0,13,0,0,0,16,8,0,25,841,87,15,12,960,21,0,20,982,48,0,1030,133,18,6,6,165,15,0,15,179,61,5,239,0,0,0,0,0,0,0,0,0,0,3,5,979,103,20,22,1127,32,0,32,1159,110,4,1275,579,37,11,8,636,9,0,9,645,24,3,674,501,71,5,3,586,11,0,12,592,30,0,624
SED10008,484,14,4,16,503,32,3,535,3,0,0,0,9,0,0,0,9,0,0,9,2217,206,29,20,2477,57,8,73,2548,90,3,2645,547,41,7,5,602,16,3,15,616,34,0,655,544,56,4,0,608,14,0,14,619,12,0,630,6,5,3,0,17,0,0,0,19,0,0,19,7,0,0,3,14,0,0,0,12,0,0,12,1108,106,14,9,1235,28,5,33,1273,48,0,1317,16,3,0,0,13,4,0,4,19,0,0,19,29,6,0,0,30,5,0,5,35,0,0,41,42,7,0,0,45,6,0,6,51,0,0,54,1152,108,13,9,1287,31,5,39,1325,51,0,1375,230,35,3,4,273,5,3,7,279,21,0,300,0,0,0,0,0,0,0,0,0,0,0,0,1378,143,17,11,1557,37,11,46,1604,73,4,1679,795,65,14,4,879,23,0,24,900,42,0,947,729,102,10,3,841,22,5,27,867,27,0,894
SED10009,210,10,4,12,224,68,0,292,4,3,0,0,3,0,0,0,3,0,10,15,960,232,41,16,1247,25,9,37,1286,133,11,1431,227,50,3,0,279,3,0,3,276,15,0,295,272,76,10,0,357,8,0,11,369,32,0,399,7,3,7,0,18,0,0,0,18,0,0,15,0,0,0,6,11,0,0,0,11,0,0,7,511,128,17,9,660,9,0,12,668,45,0,716,7,0,0,0,7,0,0,3,8,5,0,11,10,3,0,0,12,0,0,0,18,0,0,18,10,6,0,0,20,0,0,4,27,5,0,27,520,135,17,11,682,13,3,14,697,52,0,743,85,18,6,0,109,6,3,9,115,56,0,169,0,0,0,0,3,0,0,0,3,0,6,10,604,150,22,9,792,16,10,25,812,107,3,924,307,65,7,3,383,3,0,0,389,26,0,419,310,101,6,3,425,9,3,11,440,30,0,468
SED10010,519,16,3,19,537,124,0,666,3,3,0,3,6,0,0,0,6,0,7,13,1622,264,28,42,1956,56,12,64,2027,209,11,2247,402,40,7,3,453,9,5,12,461,32,0,493,288,63,4,3,361,3,0,7,364,15,0,381,4,3,0,0,11,0,0,0,11,0,0,11,7,0,0,14,20,0,0,0,17,0,0,20,709,106,9,24,842,13,6,17,864,49,4,912,17,10,0,0,21,3,0,3,26,5,0,32,26,0,0,0,30,7,4,5,34,4,0,36,37,12,0,3,52,7,4,13,64,5,0,69,746,111,9,23,896,22,5,28,926,53,4,982,247,47,4,8,305,17,3,21,329,85,0,415,0,4,0,5,8,0,0,0,8,0,3,11,991,163,17,39,1212,37,10,50,1263,137,8,1406,660,59,3,4,723,17,3,22,745,51,0,797,347,64,10,7,430,13,0,21,446,18,3,464
