SED_CODE_2016,F_Vietnam_0_4,F_Vietnam_5_14,F_Vietnam_15_24,F_Vietnam_25_44,F_Vietnam_45_54,F_Vietnam_55_64,F_Vietnam_65_74,F_Vietnam_75_84,F_Vietnam_85ov,F_Vietnam_Tot,F_Wales_0_4,F_Wales_5_14,F_Wales_15_24,F_Wales_25_44,F_Wales_45_54,F_Wales_55_64,F_Wales_65_74,F_Wales_75_84,F_Wales_85ov,F_Wales_Tot,F_Zimbabwe_0_4,F_Zimbabwe_5_14,F_Zimbabwe_15_24,F_Zimbabwe_25_44,F_Zimbabwe_45_54,F_Zimbabwe_55_64,F_Zimbabwe_65_74,F_Zimbabwe_75_84,F_Zimbabwe_85ov,F_Zimbabwe_Tot,F_Elsewhere_0_4,F_Elsewhere_5_14,F_Elsewhere_15_24,F_Elsewhere_25_44,F_Elsewhere_45_54,F_Elsewhere_55_64,F_Elsewhere_65_74,F_Elsewhere_75_84,F_Elsewhere_85ov,F_Elsewhere_Tot,F_COB_NS_0_4,F_COB_NS_5_14,F_COB_NS_15_24,F_COB_NS_25_44,F_COB_NS_45_54,F_COB_NS_55_64,F_COB_NS_65_74,F_COB_NS_75_84,F_COB_NS_85ov,F_COB_NS_Tot,F_Tot_0_4,F_Tot_5_14,F_Tot_15_24,F_Tot_25_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85ov,F_Tot_Tot,P_Afghanistan_0_4,P_Afghanistan_5_14,P_Afghanistan_15_24,P_Afghanistan_25_44,P_Afghanistan_45_54,P_Afghanistan_55_64,P_Afghanistan_65_74,P_Afghanistan_75_84,P_Afghanistan_85ov,P_Afghanistan_Tot,P_Australia_0_4,P_Australia_5_14,P_Australia_15_24,P_Australia_25_44,P_Australia_45_54,P_Australia_55_64,P_Australia_65_74,P_Australia_75_84,P_Australia_85ov,P_Australia_Tot,P_Bangladesh_0_4,P_Bangladesh_5_14,P_Bangladesh_15_24,P_Bangladesh_25_44,P_Bangladesh_45_54,P_Bangladesh_55_64,P_Bangladesh_65_74,P_Bangladesh_75_84,P_Bangladesh_85ov,P_Bangladesh_Tot,P_Bosnia_Herzegov_0_4,P_Bosnia_Herzegov_5_14,P_Bosnia_Herzegov_15_24,P_Bosnia_Herzegov_25_44,P_Bosnia_Herzegov_45_54,P_Bosnia_Herzegov_55_64,P_Bosnia_Herzegov_65_74,P_Bosnia_Herzegov_75_84,P_Bosnia_Herzegov_85ov,P_Bosnia_Herzegov_Tot,P_Cambodia_0_4,P_Cambodia_5_14,P_Cambodia_15_24,P_Cambodia_25_44,P_Cambodia_45_54,P_Cambodia_55_64,P_Cambodia_65_74,P_Cambodia_75_84,P_Cambodia_85ov,P_Cambodia_Tot,P_Canada_0_4,P_Canada_5_14,P_Canada_15_24,P_Canada_25_44,P_Canada_45_54,P_Canada_55_64,P_Canada_65_74,P_Canada_75_84,P_Canada_85ov,P_Canada_Tot,P_Chile_0_4,P_Chile_5_14,P_Chile_15_24,P_Chile_25_44,P_Chile_45_54,P_Chile_55_64,P_Chile_65_74,P_Chile_75_84,P_Chile_85ov,P_Chile_Tot,P_China_0_4,P_China_5_14,P_China_15_24,P_China_25_44,P_China_45_54,P_China_55_64,P_China_65_74,P_China_75_84,P_China_85ov,P_China_Tot,P_Croatia_0_4,P_Croatia_5_14,P_Croatia_15_24,P_Croatia_25_44,P_Croatia_45_54,P_Croatia_55_64,P_Croatia_65_74,P_Croatia_75_84,P_Croatia_85ov,P_Croatia_Tot,P_Egypt_0_4,P_Egypt_5_14,P_Egypt_15_24,P_Egypt_25_44,P_Egypt_45_54,P_Egypt_55_64,P_Egypt_65_74,P_Egypt_75_84,P_Egypt_85ov,P_Egypt_Tot,P_England_0_4,P_England_5_14,P_England_15_24,P_England_25_44,P_England_45_54,P_England_55_64,P_England_65_74,P_England_75_84,P_England_85ov,P_England_Tot,P_Fiji_0_4,P_Fiji_5_14,P_Fiji_15_24,P_Fiji_25_44,P_Fiji_45_54,P_Fiji_55_64,P_Fiji_65_74,P_Fiji_75_84,P_Fiji_85ov,P_Fiji_Tot,P_France_0_4,P_France_5_14,P_France_15_24,P_France_25_44,P_France_45_54,P_France_55_64,P_France_65_74,P_France_75_84,P_France_85ov,P_France_Tot,P_Germany_0_4,P_Germany_5_14,P_Germany_15_24,P_Germany_25_44,P_Germany_45_54,P_Germany_55_64,P_Germany_65_74,P_Germany_75_84,P_Germany_85ov,P_Germany_Tot
SED10001,0,0,0,14,0,0,3,0,0,25,0,0,0,0,4,8,4,0,0,25,0,3,3,5,0,5,3,0,0,25,0,26,36,180,75,61,65,57,15,512,154,271,322,724,391,519,410,363,195,3355,2364,4941,4737,9161,5159,5447,4344,2654,1291,40106,0,0,6,3,0,0,0,0,0,13,4468,9023,8384,14431,8270,8540,6549,3542,1515,64722,3,11,3,72,3,0,0,0,0,95,0,0,0,3,0,0,0,0,0,8,0,0,0,4,0,0,0,0,0,11,0,5,0,21,15,15,4,0,0,65,0,0,0,0,6,0,4,0,0,15,3,9,11,78,20,15,4,3,0,145,0,0,0,0,4,10,20,14,6,61,0,3,3,8,0,3,3,3,0,25,6,36,42,168,294,345,390,220,90,1592,0,3,4,27,17,11,6,0,0,71,0,0,0,6,6,0,3,0,3,24,0,3,3,23,25,66,141,72,29,361
SED10002,0,4,58,468,481,550,218,83,40,1911,0,0,0,3,0,0,4,0,0,8,0,6,3,15,0,6,0,0,0,33,33,123,227,806,346,234,172,89,60,2091,231,344,439,1186,390,339,189,133,64,3319,3746,5679,6851,17193,5837,4849,2566,1449,766,48925,25,145,767,1743,309,150,31,11,3,3191,6577,8881,7168,9136,1869,1676,922,599,444,37275,3,20,64,397,37,33,7,0,0,560,0,0,11,42,47,27,24,22,0,172,0,0,7,63,66,48,25,15,3,223,0,5,15,36,16,5,0,0,0,82,0,0,3,44,40,21,39,18,0,166,62,213,1225,4800,1952,1666,661,401,147,11123,0,3,0,20,23,64,110,95,17,326,11,43,17,138,34,47,38,20,4,354,8,17,36,176,96,94,97,52,23,600,3,17,33,194,94,102,59,18,0,519,0,6,0,22,9,3,3,0,0,46,0,4,14,52,19,12,32,8,7,142
SED10003,0,0,0,17,5,0,0,0,0,28,0,3,0,7,7,8,8,12,0,46,0,0,0,4,10,9,3,0,0,28,11,26,37,241,105,93,60,26,23,624,149,353,287,883,602,651,448,281,218,3881,1774,4154,3299,8472,5662,6176,4418,2476,1554,37981,0,0,0,0,0,0,0,0,0,3,3255,7461,5694,11538,7593,8708,6265,3243,1741,55495,0,0,0,3,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,10,5,8,15,105,43,33,33,7,4,253,0,0,0,23,12,15,4,3,0,64,0,6,6,25,17,10,10,6,0,79,0,0,0,0,3,9,3,8,0,25,0,0,0,0,3,3,5,3,3,23,19,113,95,508,607,582,634,319,142,3033,0,0,0,22,10,16,9,3,3,59,0,3,11,91,27,21,20,8,4,174,3,15,17,100,81,106,107,39,17,481
SED10004,0,3,38,159,46,65,35,15,11,379,0,0,0,32,21,6,5,3,0,74,0,0,0,18,10,7,0,0,0,39,21,31,157,823,206,151,142,74,33,1645,172,212,475,1503,457,415,284,135,81,3738,2514,3518,5787,16053,5670,4559,3145,1324,630,43196,0,0,0,6,3,0,0,0,0,8,4442,6106,5519,15747,6154,4745,3097,1004,450,47269,0,0,11,34,7,3,0,0,0,49,0,0,0,26,9,8,9,8,0,48,0,3,0,22,0,4,3,3,0,41,4,11,29,208,69,46,21,0,0,388,0,0,5,63,30,9,23,4,3,129,20,36,2166,1261,218,175,134,90,33,4138,0,0,3,26,14,10,21,16,0,91,0,0,6,27,17,25,28,11,6,120,76,202,221,2032,1066,622,491,143,41,4897,0,0,3,77,30,44,14,6,3,175,0,8,49,261,48,26,13,4,7,416,5,13,25,200,85,45,77,27,12,493
SED10005,23,80,419,1886,1154,1037,374,186,91,5252,0,0,0,0,0,0,3,0,0,8,0,0,11,4,8,0,0,0,0,24,37,155,232,899,401,303,219,159,81,2490,240,360,414,851,397,314,229,187,96,3088,3351,5808,5943,12232,5263,4522,2895,1907,1113,43031,0,27,89,160,43,23,0,8,0,349,5963,9880,7963,8762,2251,2036,1506,943,753,40051,9,33,91,556,62,29,6,0,0,787,0,0,9,46,21,20,23,10,0,137,0,10,3,53,67,62,41,18,3,253,0,0,0,14,4,4,0,0,0,23,0,0,0,22,26,34,34,15,3,129,13,59,262,1076,687,586,227,191,65,3165,0,0,3,17,35,19,60,58,14,206,30,40,43,246,74,105,71,54,16,682,0,7,7,57,71,87,115,66,55,470,3,13,44,214,115,105,60,20,5,574,0,0,0,14,7,8,10,5,0,45,0,3,18,27,12,14,91,33,25,227
SED10006,0,0,0,6,0,0,0,0,0,11,0,0,0,0,3,0,4,0,0,11,0,3,0,3,7,0,0,0,0,20,4,9,12,49,21,35,20,19,3,173,267,457,401,1058,670,617,571,393,205,4636,2517,5021,3988,8841,5150,5179,4086,2609,1225,38618,0,0,0,0,0,0,0,0,0,0,4545,8987,7199,14085,8383,8934,6663,3852,1508,64162,0,3,3,17,3,3,0,0,0,26,0,0,0,0,3,0,3,3,0,15,0,0,3,0,3,0,0,0,0,4,0,5,8,14,8,3,8,0,3,45,0,0,0,4,0,0,0,0,0,8,0,3,4,34,24,5,5,3,0,80,0,0,0,0,0,3,15,13,0,38,0,0,0,10,0,0,3,0,0,11,3,9,13,95,127,163,202,95,24,720,0,3,0,11,12,7,3,0,0,37,0,0,0,4,8,4,0,4,0,17,0,0,8,28,20,34,75,27,6,197
SED10007,0,3,6,26,7,5,0,0,0,48,0,0,0,0,10,5,3,6,0,30,0,0,3,3,7,3,0,0,0,16,0,6,26,58,43,44,38,28,6,254,134,313,440,718,500,529,488,329,197,3648,2237,4828,4844,8680,5202,5170,4274,2364,1129,38731,0,3,7,9,0,0,0,0,0,18,4297,9156,8832,14782,8239,8120,6330,3143,1267,64151,0,6,3,35,0,3,4,0,0,50,0,0,0,3,4,3,3,0,0,16,0,0,0,9,0,3,0,0,0,17,0,4,5,26,18,12,8,4,3,79,0,0,0,3,3,3,8,0,0,22,3,10,17,78,26,34,28,3,0,200,0,0,0,6,5,15,13,7,0,46,0,0,7,12,3,0,7,0,0,33,0,31,53,177,292,355,477,266,79,1735,0,3,3,28,17,13,16,0,0,78,0,0,0,12,14,5,7,4,4,49,0,0,4,19,23,44,112,35,14,244
SED10008,0,4,5,85,54,49,11,5,0,213,0,0,0,3,0,3,4,4,0,20,0,0,8,18,13,3,0,0,0,40,5,76,93,347,200,188,124,69,24,1131,45,98,97,309,169,148,119,75,26,1081,2463,5383,4858,10585,5710,5093,3831,1638,649,40211,0,0,5,62,28,33,20,4,0,155,4628,9354,7710,9352,4898,4171,3700,1627,586,46039,0,5,10,65,51,35,15,3,0,190,0,0,3,16,14,6,3,0,0,45,0,0,0,26,18,12,0,0,0,50,0,7,37,58,19,25,8,3,3,166,0,0,8,27,45,29,24,4,0,136,72,217,290,2665,1167,866,515,163,57,6007,0,0,3,14,33,40,55,34,11,192,0,16,12,52,45,74,66,23,17,294,20,149,146,414,447,387,409,238,62,2271,0,0,16,141,114,67,46,20,3,404,0,0,0,25,5,12,3,3,0,51,0,5,35,56,35,37,98,46,6,312
SED10009,0,0,0,18,6,0,3,0,0,31,0,0,0,3,3,11,17,3,4,45,0,0,0,0,0,8,3,0,0,13,3,3,10,67,69,73,116,66,19,433,79,232,217,512,440,598,542,365,192,3187,1440,3657,2948,6009,4821,6688,5727,3001,1459,35749,0,0,0,0,0,0,0,0,0,0,2735,6944,5412,9577,7212,9773,7928,3811,1602,54992,0,0,0,6,0,0,0,0,0,11,0,0,0,0,3,0,0,3,3,11,0,0,0,0,0,3,0,0,0,4,0,9,3,34,18,33,27,7,3,123,0,0,3,4,5,7,8,6,0,41,0,5,3,22,21,4,8,11,3,76,0,0,0,0,5,14,51,51,6,123,0,0,0,3,0,6,8,3,6,29,11,35,34,156,404,773,1073,576,209,3261,0,0,0,12,8,6,9,0,0,31,0,0,3,9,16,15,10,11,8,62,0,6,0,20,57,96,213,120,38,550
SED10010,0,0,0,54,29,31,11,8,3,142,0,0,0,0,4,0,7,0,0,13,0,0,7,7,3,0,0,0,0,15,26,108,248,735,376,284,200,114,47,2136,147,230,266,643,278,261,219,170,95,2302,3313,5435,5548,13858,5155,4785,3044,1846,780,43779,3,35,168,374,74,68,28,10,0,757,6037,8918,7202,10426,4070,3586,1946,1275,462,43911,13,52,48,453,93,73,15,0,0,741,0,0,11,72,53,59,34,15,3,246,0,0,3,19,8,8,8,0,0,47,0,3,13,30,7,10,0,0,0,56,0,0,0,50,24,36,37,13,7,164,8,35,142,599,292,299,121,86,29,1617,0,0,8,52,59,70,102,68,19,365,3,46,44,121,85,109,93,47,15,555,6,25,26,171,204,274,299,160,46,1208,9,51,126,791,391,277,153,45,14,1845,0,0,3,16,10,11,8,7,0,50,0,4,23,28,24,27,103,43,24,270
