region_id,Bosnia_Herzegovina_Befre_1941,Bosnia_Herzegovina_1941_1950,Bosnia_Herzegovina_1951_1960,Bosnia_Herzegovina_1961_1970,Bosnia_Herzegovina_1971_1980,Bosnia_Herzegovina_1981_1990,Bosnia_Herzegovina_1991_2000,Bosnia_Herzegovina_2001_2005,Bosnia_Herzegovina_2006,Bosnia_Herzegovina_2007,Bosnia_Herzegovina_2008,Bosnia_Herzegovina_2009,Bosnia_Herzegovina_2010,Bosnia_Herzegovina_2011,Bosnia_Herzegovina_arrival_ns,Bosnia_Herzegovina_Tot,Cambodia_Before_1941,Cambodia_1941_1950,Cambodia_1951_1960,Cambodia_1961_1970,Cambodia_1971_1980,Cambodia_1981_1990,Cambodia_1991_2000,Cambodia_2001_2005,Cambodia_2006,Cambodia_2007,Cambodia_2008,Cambodia_2009,Cambodia_2010,Cambodia_2011,Cambodia_Yr_arrival_ns,Cambodia_Tot,Canada_Before_1941,Canada_1941_1950,Canada_1951_1960,Canada_1961_1970,Canada_1971_1980,Canada_1981_1990,Canada_1991_2000,Canada_2001_2005,Canada_2006,Canada_2007,Canada_2008,Canada_2009,Canada_2010,Canada_2011,Canada_Yr_arrival_NS,Canada_Tot,China_exc_SARs_Taiw_Bef_1941,China_exc_SARs_Taiwan_41_50,China_exc_SARs_Taiwan_51_60,China_exc_SARs_Taiwan_61_70,China_exc_SARs_Taiwan_71_80,China_exc_SARs_Taiwan_81_90,China_exc_SARs_Taiwan_91_00,China_exc_SARs_Taiwan_01_05,China_exc_SARs_Taiwan_2006,China_exc_SARs_Taiwan_2007,China_exc_SARs_Taiwan_2008,China_exc_SARs_Taiwan_2009,China_exc_SARs_Taiwan_2010,China_exc_SARs_Taiwan_2011,China_exc_SARs_Tawan_arr_ns,China_exc_SARs_Taiwan_Tot,Croatia_Before_1941,Croatia_1941_1950,Croatia_1951_1960,Croatia_1961_1970,Croatia_1971_1980,Croatia_1981_1990,Croatia_1991_2000,Croatia_2001_2005,Croatia_2006,Croatia_2007,Croatia_2008,Croatia_2009,Croatia_2010,Croatia_2011,Croatia_Yr_arrival_NS,Croatia_Tot,Egypt_Before_1941,Egypt_1941_1950,Egypt_1951_1960,Egypt_1961_1970,Egypt_1971_1980,Egypt_1981_1990,Egypt_1991_2000,Egypt_2001_2005,Egypt_2006,Egypt_2007,Egypt_2008,Egypt_2009,Egypt_2010,Egypt_2011,Egypt_Yr_arrival_NS,Egypt_Tot,Fiji_Before_1941,Fiji_1941_1950,Fiji_1951_1960,Fiji_1961_1970,Fiji_1971_1980,Fiji_1981_1990,Fiji_1991_2000,Fiji_2001_2005,Fiji_2006,Fiji_2007,Fiji_2008,Fiji_2009,Fiji_2010,Fiji_2011,Fiji_Yr_arrival_NS,Fiji_Tot,Frmr_Y_R_M_FYROM_Bef_1941,Frmr_Y_R_M_FYROM_1941_1950,Frmr_Y_R_M_FYROM_1951_1960,Frmr_Y_R_M_FYROM_1961_1970,Frmr_Y_R_M_FYROM_1971_1980,Frmr_Y_R_M_FYROM_1981_1990,Frmr_Y_R_M_FYROM_1991_2000,Frmr_Y_R_M_FYROM_2001_2005,Frmr_Yug_Rep_Mac_FYROM_2006,Frmr_Yug_Rep_Mac_FYROM_2007,Frmr_Yug_Rep_Mac_FYROM_2008,Frmr_Yug_Rep_Mac_FYROM_2009,Frmr_Yug_Rep_Mac_FYROM_2010,Frmr_Yug_Rep_Mac_FYROM_2011,Frmr_Y_R_M_FYROM_arrival_ns,Frmr_Yug_Rep_Mac_FYROM_Tot,Germany_Before_1941,Germany_1941_1950,Germany_1951_1960,Germany_1961_1970,Germany_1971_1980,Germany_1981_1990,Germany_1991_2000,Germany_2001_2005,Germany_2006,Germany_2007,Germany_2008,Germany_2009,Germany_2010,Germany_2011,Germany_Yr_arrival_NS,Germany_Tot,Greece_Before_1941,Greece_1941_1950,Greece_1951_1960,Greece_1961_1970,Greece_1971_1980,Greece_1981_1990,Greece_1991_2000,Greece_2001_2005,Greece_2006,Greece_2007,Greece_2008,Greece_2009,Greece_2010,Greece_2011,Greece_Yr_arrival_NS,Greece_Tot,Hng_Kng_SAR_China_Bfre_1941,Hng_Kng_SAR_China_1941_1950,Hng_Kng_SAR_China_1951_1960,Hng_Kng_SAR_China_1961_1970,Hng_Kng_SAR_China_1971_1980,Hng_Kng_SAR_China_1981_1990,Hng_Kng_SAR_China_1991_2000,Hng_Kng_SAR_China_2001_2005,Hong_Kong_SAR_China_2006,Hong_Kong_SAR_China_2007,Hong_Kong_SAR_China_2008,Hong_Kong_SAR_China_2009,Hong_Kong_SAR_China_2010,Hong_Kong_SAR_China_2011,Hng_Kng_SAR_Chna_arrival_ns,Hong_Kong_SAR_China_Tot,India_Before_1941,India_1941_1950,India_1951_1960,India_1961_1970,India_1971_1980,India_1981_1990,India_1991_2000,India_2001_2005,India_2006,India_2007,India_2008,India_2009,India_2010,India_2011,India_Yr_arrival_NS,India_Tot,Indonesia_Before_1941,Indonesia_1941_1950,Indonesia_1951_1960,Indonesia_1961_1970,Indonesia_1971_1980,Indonesia_1981_1990,Indonesia_1991_2000,Indonesia_2001_2005
CED101,0,0,3,36,11,24,252,23,0,3,0,0,0,0,3,355,0,0,0,0,18,52,25,6,0,0,3,0,0,3,0,107,3,3,7,10,22,29,31,30,3,6,3,3,3,0,3,156,4,32,84,105,331,3181,4865,4078,883,1100,1112,1002,833,314,735,18659,0,5,114,429,112,61,70,11,3,3,0,0,3,0,16,827,0,50,104,248,203,276,302,86,12,29,39,58,38,15,46,1506,0,3,6,19,79,311,245,102,25,23,16,16,22,4,35,906,0,3,26,613,543,266,152,59,3,15,8,9,13,0,41,1751,3,62,90,58,23,35,28,18,7,5,4,8,3,0,14,358,3,28,481,1036,272,73,72,9,3,4,0,11,3,8,94,2097,0,3,25,58,371,1106,1330,288,50,57,43,48,41,14,99,3533,0,10,12,63,93,226,417,363,145,140,166,115,67,39,53,1909,0,6,5,19,78,267,543,290
CED102,0,0,4,28,19,30,208,22,4,0,3,0,0,3,4,325,0,0,0,0,13,33,8,4,0,0,0,3,0,3,3,67,0,0,5,13,17,25,29,14,3,0,11,12,7,4,3,143,7,32,121,117,273,1975,2449,1714,350,404,420,320,270,118,344,8914,0,6,85,239,61,36,69,11,9,0,0,3,0,0,8,527,0,52,206,450,331,263,248,67,19,31,53,47,50,9,73,1899,0,0,5,20,108,307,210,65,12,14,27,15,15,16,30,844,4,3,79,1245,921,376,299,112,25,32,19,24,17,9,130,3295,4,40,68,48,37,40,41,43,7,8,6,7,9,6,18,382,16,66,1463,2973,584,136,64,37,5,5,13,7,16,6,300,5691,0,6,15,39,246,510,472,115,22,20,15,26,6,5,26,1523,3,5,4,59,70,140,213,363,143,202,194,148,120,88,66,1818,0,0,5,8,106,244,400,234
CED103,0,4,0,7,4,11,101,9,0,0,0,0,0,0,3,139,0,0,0,6,18,34,17,5,0,0,0,0,0,5,0,85,0,0,6,25,35,49,49,32,4,10,8,12,14,7,14,265,12,41,103,81,239,2209,3320,2789,577,716,1035,1224,1067,357,607,14377,0,0,46,159,56,28,40,7,5,0,0,0,0,0,9,350,0,16,45,127,67,68,56,15,5,6,5,8,4,0,13,435,4,3,12,31,99,151,112,64,3,9,9,16,5,12,19,549,0,0,10,36,34,5,13,3,0,0,0,3,0,0,3,107,4,58,115,71,42,59,66,40,8,5,14,10,14,14,17,537,6,12,139,221,47,11,7,10,0,3,0,0,0,0,24,480,3,6,25,97,354,1474,1879,367,73,93,89,130,70,28,101,4789,0,13,14,103,141,419,998,734,277,302,309,255,269,175,115,4124,0,9,11,27,96,209,359,204
CED104,0,0,0,3,3,5,25,0,0,0,0,0,0,0,0,36,0,0,0,0,6,9,9,4,3,0,0,0,0,0,4,35,0,4,6,37,76,57,68,41,6,13,13,3,4,5,15,348,3,16,59,58,101,861,995,639,88,108,104,94,94,39,119,3378,0,0,43,69,30,16,16,5,0,0,0,0,0,0,3,182,0,8,26,82,26,39,20,18,5,3,0,0,4,0,8,239,0,0,6,23,47,125,76,11,6,11,3,7,0,0,5,320,0,0,3,4,3,0,0,0,0,0,0,0,0,0,3,13,0,91,159,98,65,77,95,42,11,10,7,11,12,6,27,711,3,10,50,75,20,9,7,0,0,0,0,0,0,0,7,181,3,4,13,41,177,676,1003,161,22,19,28,14,18,3,47,2229,3,19,14,105,151,498,960,537,119,108,85,38,82,46,76,2841,3,6,22,12,54,120,151,79
CED105,0,0,0,39,27,13,172,45,5,3,3,3,3,3,8,324,0,0,0,5,98,253,67,23,3,13,3,5,9,3,20,502,0,0,0,4,6,8,18,11,3,0,3,0,3,3,0,59,0,16,49,83,135,1184,1728,1025,228,306,275,256,183,89,306,5863,0,6,62,317,95,30,57,9,0,0,0,0,0,3,19,598,0,9,51,120,129,144,150,88,24,39,38,31,34,20,29,906,0,0,0,8,109,420,327,130,41,31,34,52,28,14,62,1256,0,5,24,422,455,169,200,61,12,7,4,7,13,3,34,1416,3,144,142,68,32,28,24,19,3,0,0,0,3,3,13,482,0,3,261,620,150,62,32,16,4,4,0,0,0,6,45,1203,0,0,0,5,61,231,241,63,7,12,11,7,6,0,11,655,0,14,4,54,79,114,187,300,113,175,207,148,57,38,44,1534,0,0,3,5,67,133,220,92
CED106,0,0,0,7,4,0,24,0,0,0,0,0,0,0,0,35,0,0,0,0,8,17,4,6,0,0,0,0,4,0,0,39,4,8,6,55,80,66,107,75,3,13,11,13,25,4,16,486,18,56,111,92,149,1139,1630,1098,269,297,369,308,322,121,245,6224,0,3,25,53,8,17,12,3,0,0,0,0,3,0,5,129,0,18,32,53,16,26,12,3,4,3,4,3,3,0,4,181,6,7,18,17,50,46,45,28,3,3,6,4,0,8,7,248,0,0,0,5,11,5,8,5,0,0,4,0,0,0,0,38,26,80,124,93,74,83,108,74,17,21,35,25,33,19,28,840,4,9,55,66,18,5,9,5,0,0,0,0,0,0,16,187,7,3,61,122,317,1075,1196,262,52,60,52,54,52,19,88,3420,4,27,39,113,211,350,656,528,176,271,246,145,149,89,96,3100,3,9,20,23,86,156,215,88
CED107,0,0,0,5,3,3,16,3,0,0,0,0,0,0,0,30,0,0,0,0,0,8,11,4,0,0,3,3,0,0,3,32,0,0,0,12,15,20,17,18,8,8,3,7,9,3,7,127,3,3,19,17,33,31,43,43,18,11,13,9,11,17,53,324,0,7,14,43,16,3,5,0,0,0,0,0,0,0,6,94,0,0,5,4,0,7,10,12,0,0,0,7,0,0,7,52,4,0,4,7,15,26,21,14,0,0,4,4,0,5,21,125,0,0,0,8,5,0,0,0,0,3,0,0,0,0,4,20,0,97,163,56,17,38,28,8,0,7,3,0,0,0,24,441,0,8,14,24,10,0,4,0,0,0,0,0,0,0,10,70,0,3,3,12,13,18,4,0,0,0,3,4,4,0,13,77,0,7,5,11,14,14,49,38,25,21,27,30,12,21,14,288,0,3,9,3,3,3,3,9
CED108,0,0,0,13,7,3,47,0,0,0,0,0,0,0,3,73,0,0,0,0,3,17,13,0,0,3,4,4,0,0,3,47,0,0,3,21,25,28,29,22,7,7,7,5,3,0,3,160,5,8,22,13,7,33,42,59,15,11,15,15,16,6,12,279,3,3,19,67,16,3,25,0,0,0,4,0,0,0,13,153,0,3,7,8,6,5,0,4,3,3,0,3,0,0,3,45,5,4,3,9,21,37,15,5,0,0,0,7,0,3,11,120,4,3,23,137,73,35,17,4,0,3,0,0,0,0,14,313,0,224,246,59,20,29,7,11,0,0,0,0,0,0,27,623,0,0,45,44,10,5,4,0,0,0,0,0,0,0,6,114,0,0,3,3,14,21,22,7,3,3,0,3,3,3,0,85,0,16,13,20,32,32,65,81,39,40,46,13,14,3,17,431,0,0,9,9,3,9,15,13
CED109,0,5,3,40,26,23,259,17,0,0,3,0,0,0,8,384,0,0,0,0,11,24,17,10,0,0,0,0,3,0,4,69,0,0,4,11,22,13,22,15,0,3,0,6,3,0,10,109,3,11,15,15,38,272,377,241,46,51,71,50,41,15,45,1291,0,9,44,294,89,46,113,15,0,3,0,0,0,0,13,626,0,10,27,134,132,246,225,125,26,42,41,17,19,19,30,1093,0,0,5,14,146,1065,1540,870,158,142,110,133,62,40,140,4425,0,0,0,42,53,27,15,10,0,0,3,3,0,0,0,153,0,154,178,90,46,29,34,19,3,5,3,8,6,3,31,609,0,5,72,201,58,37,24,7,0,5,3,7,0,3,21,443,0,0,3,3,28,100,97,11,5,0,3,3,3,3,8,267,3,6,8,73,113,348,1295,1412,504,563,538,377,136,88,173,5637,0,7,12,7,75,136,207,103
CED110,0,0,0,23,4,21,83,12,0,0,0,0,0,0,0,143,0,0,0,0,3,21,3,0,3,0,0,6,0,0,6,42,0,8,4,25,43,42,66,48,7,13,13,10,10,3,13,305,5,22,24,27,42,327,420,224,38,42,65,53,46,15,52,1402,0,3,45,144,26,17,44,3,4,0,0,0,0,0,7,293,0,47,95,157,89,79,93,26,4,3,9,0,4,5,20,631,0,4,7,11,45,79,39,15,4,6,3,3,7,3,12,238,0,0,5,95,64,43,43,25,5,0,5,0,0,0,12,297,3,75,177,75,64,69,53,41,4,8,4,7,15,12,14,621,3,14,192,400,77,26,17,5,0,0,4,4,0,0,29,771,0,0,10,26,69,175,152,26,5,4,6,4,4,3,8,492,0,10,15,49,71,58,94,88,40,55,76,50,16,19,26,667,3,0,12,9,35,70,108,37
