region_id,P_SOL_SE_Tot_2001_2005,P_SOL_SE_Tot_2006,P_SOL_SE_Tot_2007,P_SOL_SE_Tot_2008,P_SOL_SE_Tot_2009,P_SOL_SE_Tot_2010,P_SOL_SE_Tot_2011,P_SOL_SE_Tot_arrival_ns,P_SOL_SE_Tot_Total,P_L_prof_Eng_ns_bf1996,P_L_prof_Eng_ns_1996_2000,P_L_prof_Eng_ns_2001_2005,P_L_prof_Eng_ns_2006,P_L_prof_Eng_ns_2007,P_L_prof_Eng_ns_2008,P_L_prof_Eng_ns_2009,P_L_prof_Eng_ns_2010,P_L_prof_Eng_ns_2011,P_L_prof_Eng_ns_arrival_ns,P_L_prof_Eng_ns_Total,P_Tot_bf1996,P_Tot_1996_2000,P_Tot_2001_2005,P_Tot_2006,P_Tot_2007,P_Tot_2008,P_Tot_2009,P_Tot_2010,P_Tot_2011,P_Tot_Yr_arrival_not_stated,P_Tot_Total
CED101,6935,1692,2147,2192,1944,1467,631,1739,48826,132,39,50,6,7,13,10,15,3,40,315,30792,7567,7870,1881,2341,2439,2123,1642,731,2239,59625
CED102,5113,1514,2024,2080,1770,1211,676,1923,48790,180,33,26,7,25,19,15,13,9,57,384,35312,5435,6083,1790,2290,2346,1985,1450,820,2465,59976
CED103,6981,1825,2001,2505,2635,2512,1237,1616,48782,103,26,40,13,9,20,17,12,5,65,310,30583,7300,8332,2136,2341,2904,2950,2866,1431,2233,63076
CED104,2788,506,579,551,473,502,237,622,21304,59,20,14,4,0,0,3,3,6,4,113,23870,4889,4612,862,970,962,760,840,404,1230,39399
CED105,7201,1735,1822,2066,1907,1365,736,2807,61150,236,57,71,15,14,30,14,15,17,86,555,40015,7761,7946,1889,1972,2229,2064,1469,806,3292,69443
CED106,4023,1116,1443,1523,1286,1248,670,1022,28650,64,28,23,7,4,10,7,4,12,21,180,26778,6872,7038,1750,2140,2308,1966,2018,1126,1824,53820
CED107,500,148,166,179,150,108,103,488,3559,11,3,0,0,0,3,0,0,0,3,20,6930,670,923,281,296,315,282,226,183,904,11010
CED108,468,175,184,208,167,191,85,218,4577,14,3,6,0,3,3,0,0,0,11,40,9374,837,1030,263,312,346,282,298,165,685,13592
CED109,7480,1892,1996,2038,1767,1188,744,1768,48823,182,54,84,27,23,22,20,24,9,68,513,32392,8838,9027,2276,2345,2403,2044,1454,854,2557,64190
CED110,1196,273,335,419,293,284,118,372,10814,32,6,7,6,0,0,0,8,3,4,66,15823,2225,2421,591,672,756,588,558,272,987,24893
CED111,398,149,169,233,287,240,121,266,3800,7,3,0,3,3,3,3,6,3,12,43,9946,748,994,319,329,382,402,397,199,842,14558
CED112,1222,357,563,844,1167,1207,599,697,15611,52,8,9,0,8,0,6,10,9,13,115,18801,1764,2082,580,796,1105,1429,1428,771,1376,30132
CED113,460,107,130,169,113,111,69,217,4334,23,4,0,3,0,0,3,0,0,7,40,12588,1311,1342,354,311,346,282,254,135,836,17759
CED114,526,179,203,312,292,236,154,251,6343,39,3,7,0,6,0,3,0,3,17,78,14357,893,1132,335,365,497,448,392,254,857,19530
CED115,285,200,200,222,275,211,165,176,3234,14,0,3,0,3,0,3,0,3,12,38,6330,495,688,302,295,337,370,321,250,582,9970
CED116,6015,1370,1332,1547,1543,1075,620,2947,66845,301,61,59,16,9,13,25,7,5,89,585,47638,8363,6497,1491,1433,1656,1651,1148,667,3383,73927
CED117,274,67,88,107,106,56,46,324,4730,31,3,3,0,0,0,0,3,3,6,49,14383,717,919,229,234,260,266,199,150,964,18321
CED118,3471,1177,1757,1915,1674,1170,630,1514,35549,142,20,20,13,9,27,17,11,3,56,318,30132,4632,5538,1622,2239,2420,2224,1667,924,2283,53681
