region_id,M_0_4_yrs_Need_for_assistance,M_0_4_No_need_for_assistance,M_0_4_Need_for_assistance_ns,M_0_4_yrs_Tot,M_5_14_Need_for_assistance,M_5_14_No_need_for_assistance,M_5_14_Need_for_assistance_ns,M_5_14_yrs_Tot,M_15_19_Need_for_assistance,M_15_19_No_need_for_assistnce,M_15_19_Need_for_assistnce_ns,M_15_19_Tot,M_20_24_Need_for_assistance,M_20_24_No_need_for_assistnce,M_20_24_Need_for_assistnce_ns,M_20_24_Tot,M_25_34_Need_for_assistance,M_25_34_No_need_for_assistnce,M_25_34_Need_for_assistnce_ns,M_25_34_Tot,M_35_44_Need_for_assistance,M_35_44_No_need_for_assistnce,M_35_44_Need_for_assistnce_ns,M_35_44_Tot,M_45_54_Need_for_assistance,M_45_54_No_need_for_assistnce,M_45_54_Need_for_assistnce_ns,M_45_54_Tot,M_55_64_Need_for_assistance,M_55_64_No_need_for_assistnce,M_55_64_Need_for_assistnce_ns,M_55_64_Tot,M_65_74_Need_for_assistance,M_65_74_No_need_for_assistnce,M_65_74_Need_for_assistnce_ns,M_65_74_Tot,M_75_84_Need_for_assistance,M_75_84_No_need_for_assistnce,M_75_84_Need_for_assistnce_ns,M_75_84_Tot,M_85_over_Need_for_assistance,M_85_ov_No_need_for_assistnce,M_85_ov_Need_for_assistnce_ns,M_85_over_Tot,M_Tot_Need_for_assistance,M_Tot_No_need_for_assistance,M_Tot_Need_for_assistance_ns,M_Tot_Tot,F_0_4_yrs_Need_for_assistance,F_0_4_No_need_for_assistance,F_0_4_Need_for_assistance_ns,F_0_4_yrs_Tot,F_5_14_Need_for_assistance,F_5_14_No_need_for_assistance,F_5_14_Need_for_assistance_ns,F_5_14_yrs_Tot,F_15_19_Need_for_assistance,F_15_19_No_need_for_assistnce,F_15_19_Need_for_assistnce_ns,F_15_19_Tot,F_20_24_Need_for_assistance,F_20_24_No_need_for_assistnce,F_20_24_Need_for_assistnce_ns,F_20_24_Tot,F_25_34_Need_for_assistance,F_25_34_No_need_for_assistnce,F_25_34_Need_for_assistnce_ns,F_25_34_Tot,F_35_44_Need_for_assistance,F_35_44_No_need_for_assistnce,F_35_44_Need_for_assistnce_ns,F_35_44_Tot,F_45_54_Need_for_assistance,F_45_54_No_need_for_assistnce,F_45_54_Need_for_assistnce_ns,F_45_54_Tot,F_55_64_Need_for_assistance,F_55_64_No_need_for_assistnce,F_55_64_Need_for_assistnce_ns,F_55_64_Tot,F_65_74_Need_for_assistance,F_65_74_No_need_for_assistnce,F_65_74_Need_for_assistnce_ns,F_65_74_Tot,F_75_84_Need_for_assistance,F_75_84_No_need_for_assistnce,F_75_84_Need_for_assistnce_ns,F_75_84_Tot,F_85_over_Need_for_assistance,F_85_ov_No_need_for_assistnce,F_85_ov_Need_for_assistnce_ns,F_85_over_Tot,F_Tot_Need_for_assistance,F_Tot_No_need_for_assistance,F_Tot_Need_for_assistance_ns,F_Tot_Tot,P_0_4_yrs_Need_for_assistance,P_0_4_No_need_for_assistance,P_0_4_Need_for_assistance_ns,P_0_4_yrs_Tot,P_5_14_Need_for_assistance,P_5_14_No_need_for_assistance,P_5_14_Need_for_assistance_ns,P_5_14_yrs_Tot,P_15_19_Need_for_assistance,P_15_19_No_need_for_assistnce,P_15_19_Need_for_assistnce_ns,P_15_19_Tot,P_20_24_Need_for_assistance,P_20_24_No_need_for_assistnce,P_20_24_Need_for_assistnce_ns,P_20_24_Tot,P_25_34_Need_for_assistance,P_25_34_No_need_for_assistnce,P_25_34_Need_for_assistnce_ns,P_25_34_Tot,P_35_44_Need_for_assistance,P_35_44_No_need_for_assistnce,P_35_44_Need_for_assistnce_ns,P_35_44_Tot,P_45_54_Need_for_assistance,P_45_54_No_need_for_assistnce,P_45_54_Need_for_assistnce_ns,P_45_54_Tot,P_55_64_Need_for_assistance,P_55_64_No_need_for_assistnce,P_55_64_Need_for_assistnce_ns,P_55_64_Tot,P_65_74_Need_for_assistance,P_65_74_No_need_for_assistnce,P_65_74_Need_for_assistnce_ns,P_65_74_Tot,P_75_84_Need_for_assistance,P_75_84_No_need_for_assistnce,P_75_84_Need_for_assistnce_ns,P_75_84_Tot,P_85_over_Need_for_assistance,P_85_ov_No_need_for_assistnce,P_85_ov_Need_for_assistnce_ns,P_85_over_Tot,P_Tot_Need_for_assistance,P_Tot_No_need_for_assistance,P_Tot_Need_for_assistance_ns,P_Tot_Tot
CED101,53,4332,326,4711,263,8295,447,9005,108,4401,235,4744,71,4977,299,5347,97,9858,582,10537,133,8996,426,9555,224,9396,511,10131,372,7102,379,7853,471,4434,273,5178,684,2560,190,3434,501,663,96,1260,2977,65014,3764,71755,17,4093,272,4382,114,7879,389,8382,57,4169,185,4411,51,4930,252,5233,90,10475,543,11108,153,10101,461,10715,320,10012,496,10828,457,7531,376,8364,561,4782,256,5599,1110,3139,242,4491,1346,979,166,2491,4276,68090,3638,76004,70,8425,598,9093,377,16174,836,17387,165,8570,420,9155,122,9907,551,10580,187,20333,1125,21645,286,19097,887,20270,544,19408,1007,20959,829,14633,755,16217,1032,9216,529,10777,1794,5699,432,7925,1847,1642,262,3751,7253,133104,7402,147759
CED102,54,4302,370,4726,178,7502,458,8138,64,3581,211,3856,46,4318,340,4704,104,10610,843,11557,165,9824,645,10634,207,8329,502,9038,395,6575,447,7417,527,4294,283,5104,816,2603,234,3653,539,587,95,1221,3095,62525,4428,70048,38,4149,352,4539,83,7082,434,7599,36,3452,193,3681,35,4160,286,4481,86,10582,689,11357,162,10162,579,10903,288,8646,432,9366,485,6940,376,7801,657,4811,281,5749,1153,2789,267,4209,1230,941,166,2337,4253,63714,4055,72022,92,8451,722,9265,261,14584,892,15737,100,7033,404,7537,81,8478,626,9185,190,21192,1532,22914,327,19986,1224,21537,495,16975,934,18404,880,13515,823,15218,1184,9105,564,10853,1969,5392,501,7862,1769,1528,261,3558,7348,126239,8483,142070
CED103,42,4289,225,4556,174,8065,319,8558,62,4296,186,4544,57,5678,361,6096,101,10462,573,11136,150,9634,425,10209,253,9499,379,10131,325,7264,318,7907,363,4185,188,4736,562,2619,159,3340,489,625,66,1180,2578,66616,3199,72393,25,4018,218,4261,71,7519,259,7849,39,4136,152,4327,38,5949,333,6320,63,10636,513,11212,170,10627,412,11209,245,10115,379,10739,345,7689,274,8308,461,4796,194,5451,945,3209,206,4360,1161,987,129,2277,3563,69681,3069,76313,67,8307,443,8817,245,15584,578,16407,101,8432,338,8871,95,11627,694,12416,164,21098,1086,22348,320,20261,837,21418,498,19614,758,20870,670,14953,592,16215,824,8981,382,10187,1507,5828,365,7700,1650,1612,195,3457,6141,136297,6268,148706
CED104,48,3780,120,3948,198,9127,211,9536,85,5072,111,5268,87,4167,126,4380,97,5367,174,5638,115,8158,223,8496,122,9864,331,10317,163,8304,257,8724,234,4917,156,5307,309,2033,87,2429,294,447,39,780,1752,61236,1835,64823,19,3600,98,3717,91,8622,216,8929,54,4742,112,4908,43,3878,87,4008,82,5570,147,5799,104,9417,239,9760,139,10717,281,11137,178,8439,220,8837,273,4810,129,5212,533,2151,106,2790,788,590,74,1452,2304,62536,1709,66549,67,7380,218,7665,289,17749,427,18465,139,9814,223,10176,130,8045,213,8388,179,10937,321,11437,219,17575,462,18256,261,20581,612,21454,341,16743,477,17561,507,9727,285,10519,842,4184,193,5219,1082,1037,113,2232,4056,123772,3544,131372
CED105,75,5821,739,6635,374,10478,964,11816,119,5287,393,5799,95,5175,453,5723,231,10211,985,11427,327,9127,794,10248,597,8787,712,10096,775,6680,576,8031,724,3819,331,4874,811,2018,233,3062,517,459,81,1057,4645,67862,6261,78768,66,5571,691,6328,207,9809,778,10794,61,4965,308,5334,75,5405,385,5865,189,11113,841,12143,337,9560,700,10597,660,8799,595,10054,804,6552,440,7796,790,3679,314,4783,1334,2336,283,3953,1164,673,156,1993,5687,68462,5491,79640,141,11392,1430,12963,581,20287,1742,22610,180,10252,701,11133,170,10580,838,11588,420,21324,1826,23570,664,18687,1494,20845,1257,17586,1307,20150,1579,13232,1016,15827,1514,7498,645,9657,2145,4354,516,7015,1681,1132,237,3050,10332,136324,11752,158408
CED106,36,3998,171,4205,201,9892,369,10462,72,4969,210,5251,47,3950,195,4192,60,6078,358,6496,74,8757,381,9212,102,9866,403,10371,148,7440,298,7886,208,4957,199,5364,395,2941,162,3498,493,897,99,1489,1836,63745,2845,68426,23,3835,157,4015,103,9699,371,10173,43,5165,171,5379,43,3934,154,4131,58,6751,334,7143,81,10167,415,10663,140,10918,350,11408,183,7955,279,8417,257,5422,181,5860,743,3492,243,4478,1408,1341,244,2993,3082,68679,2899,74660,59,7833,328,8220,304,19591,740,20635,115,10134,381,10630,90,7884,349,8323,118,12829,692,13639,155,18924,796,19875,242,20784,753,21779,331,15395,577,16303,465,10379,380,11224,1138,6433,405,7976,1901,2238,343,4482,4918,132424,5744,143086
CED107,66,4862,422,5350,420,9588,561,10569,142,4776,297,5215,93,4137,495,4725,148,6942,813,7903,233,8072,734,9039,362,8907,588,9857,503,8085,543,9131,530,5407,384,6321,585,2678,234,3497,349,452,65,866,3431,63906,5136,72473,40,4586,371,4997,189,9153,549,9891,84,4682,245,5011,80,4097,227,4404,149,7475,374,7998,220,8653,440,9313,344,9141,378,9863,479,7983,381,8843,513,5487,315,6315,847,3108,287,4242,1003,799,162,1964,3948,65164,3729,72841,106,9448,793,10347,609,18741,1110,20460,226,9458,542,10226,173,8234,722,9129,297,14417,1187,15901,453,16725,1174,18352,706,18048,966,19720,982,16068,924,17974,1043,10894,699,12636,1432,5786,521,7739,1352,1251,227,2830,7379,129070,8865,145314
CED108,71,3817,217,4105,412,8097,305,8814,176,4344,191,4711,100,3758,165,4023,151,6680,242,7073,237,7750,309,8296,369,8062,296,8727,617,7316,262,8195,611,4846,204,5661,632,2437,166,3235,561,546,69,1176,3937,57653,2426,64016,36,3736,181,3953,165,7749,312,8226,73,4134,131,4338,79,3661,130,3870,144,7150,221,7515,225,8274,262,8761,388,8590,295,9273,561,7959,251,8771,541,5299,209,6049,999,2928,196,4123,1308,719,115,2142,4519,60199,2303,67021,107,7553,398,8058,577,15846,617,17040,249,8478,322,9049,179,7419,295,7893,295,13830,463,14588,462,16024,571,17057,757,16652,591,18000,1178,15275,513,16966,1152,10145,413,11710,1631,5365,362,7358,1869,1265,184,3318,8456,117852,4729,131037
CED109,113,6387,614,7114,586,12401,789,13776,197,6222,375,6794,123,5545,344,6012,205,10626,639,11470,265,10296,628,11189,440,9769,500,10709,715,6979,419,8113,674,3552,234,4460,492,1333,131,1956,268,200,39,507,4078,73310,4712,82100,75,5943,528,6546,250,11615,772,12637,113,6036,330,6479,91,5534,306,5931,195,11596,576,12367,294,11158,554,12006,560,10003,514,11077,836,7286,399,8521,733,3815,267,4815,1004,1499,158,2661,796,285,86,1167,4947,74770,4490,84207,188,12330,1142,13660,836,24016,1561,26413,310,12258,705,13273,214,11079,650,11943,400,22222,1215,23837,559,21454,1182,23195,1000,19772,1014,21786,1551,14265,818,16634,1407,7367,501,9275,1496,2832,289,4617,1064,485,125,1674,9025,148080,9202,166307
CED110,42,4379,247,4668,236,7783,269,8288,63,3667,144,3874,55,3922,202,4179,96,8446,535,9077,114,9284,487,9885,170,8580,410,9160,202,7310,334,7846,244,4772,216,5232,422,2908,184,3514,421,696,122,1239,2065,61747,3150,66962,30,4145,180,4355,106,7553,255,7914,45,3745,109,3899,38,4007,176,4221,78,8783,439,9300,109,9860,365,10334,175,9052,319,9546,213,7605,286,8104,291,5359,224,5874,762,3715,275,4752,1067,1060,266,2393,2914,64884,2894,70692,72,8524,427,9023,342,15336,524,16202,108,7412,253,7773,93,7929,378,8400,174,17229,974,18377,223,19144,852,20219,345,17632,729,18706,415,14915,620,15950,535,10131,440,11106,1184,6623,459,8266,1488,1756,388,3632,4979,126631,6044,137654
CED111,61,3737,276,4074,421,8256,413,9090,130,4253,199,4582,101,2679,229,3009,192,4944,478,5614,295,6603,484,7382,531,8410,497,9438,863,8909,442,10214,749,6118,336,7203,721,3089,224,4034,557,656,112,1325,4621,57654,3690,65965,34,3611,289,3934,175,8047,407,8629,72,4059,180,4311,72,2788,148,3008,149,5609,262,6020,251,7741,329,8321,472,9637,374,10483,672,9024,360,10056,628,6348,327,7303,949,3324,286,4559,1146,857,255,2258,4620,61045,3217,68882,95,7348,565,8008,596,16303,820,17719,202,8312,379,8893,173,5467,377,6017,341,10553,740,11634,546,14344,813,15703,1003,18047,871,19921,1535,17933,802,20270,1377,12466,663,14506,1670,6413,510,8593,1703,1513,367,3583,9241,118699,6907,134847
CED112,54,4278,235,4567,271,8411,317,8999,115,4694,209,5018,95,5655,331,6081,143,8672,561,9376,192,8961,455,9608,317,9117,434,9868,417,7275,359,8051,485,4696,233,5414,666,2566,192,3424,515,619,81,1215,3270,64944,3407,71621,27,4171,215,4413,104,7995,326,8425,69,4506,161,4736,75,5232,262,5569,133,8511,370,9014,224,9435,347,10006,360,9334,344,10038,408,7687,294,8389,496,5123,230,5849,1177,3035,272,4484,1248,860,122,2230,4321,65889,2943,73153,81,8449,450,8980,375,16406,643,17424,184,9200,370,9754,170,10887,593,11650,276,17183,931,18390,416,18396,802,19614,677,18451,778,19906,825,14962,653,16440,981,9819,463,11263,1843,5601,464,7908,1763,1479,203,3445,7591,130833,6350,144774
CED113,83,4471,322,4876,418,8865,502,9785,165,4620,233,5018,100,3635,180,3915,181,6626,362,7169,217,8012,452,8681,354,8107,427,8888,536,6989,369,7894,540,4799,284,5623,614,2722,225,3561,501,732,85,1318,3709,59578,3441,66728,55,4146,277,4478,197,8781,439,9417,81,4498,227,4806,51,3555,182,3788,131,7296,351,7778,198,8967,418,9583,368,8875,387,9630,461,7618,307,8386,513,5448,308,6269,1024,3389,262,4675,1340,980,184,2504,4419,63553,3342,71314,138,8617,599,9354,615,17646,941,19202,246,9118,460,9824,151,7190,362,7703,312,13922,713,14947,415,16979,870,18264,722,16982,814,18518,997,14607,676,16280,1053,10247,592,11892,1638,6111,487,8236,1841,1712,269,3822,8128,123131,6783,138042
CED114,51,3854,281,4186,275,7919,501,8695,84,4133,262,4479,62,2918,254,3234,121,5837,484,6442,223,7898,586,8707,356,9153,626,10135,548,8916,558,10022,482,6099,383,6964,606,2754,220,3580,390,539,93,1022,3198,60020,4248,67466,32,3596,283,3911,141,7733,458,8332,76,3773,199,4048,58,2722,170,2950,102,6345,406,6853,184,8434,460,9078,399,9511,448,10358,490,8923,453,9866,438,6000,286,6724,794,2900,255,3949,939,779,136,1854,3653,60716,3554,67923,83,7450,564,8097,416,15652,959,17027,160,7906,461,8527,120,5640,424,6184,223,12182,890,13295,407,16332,1046,17785,755,18664,1074,20493,1038,17839,1011,19888,920,12099,669,13688,1400,5654,475,7529,1329,1318,229,2876,6851,120736,7802,135389
CED115,62,3800,295,4157,343,8131,530,9004,142,4340,243,4725,88,3239,263,3590,146,6184,437,6767,194,7313,458,7965,318,8563,487,9368,600,8378,484,9462,562,5773,365,6700,656,3022,270,3948,419,583,105,1107,3530,59326,3937,66793,32,3821,308,4161,162,7911,440,8513,66,4110,203,4379,57,3423,193,3673,117,6551,325,6993,198,7789,386,8373,305,9005,390,9700,470,8190,394,9054,505,5905,346,6756,891,3332,329,4552,1073,814,174,2061,3876,60851,3488,68215,94,7621,603,8318,505,16042,970,17517,208,8450,446,9104,145,6662,456,7263,263,12735,762,13760,392,15102,844,16338,623,17568,877,19068,1070,16568,878,18516,1067,11678,711,13456,1547,6354,599,8500,1492,1397,279,3168,7406,120177,7425,135008
