region_id,P_85ov_DNPCC,P_85ov_UCC_NS,P_85ov_Total,P_Tot_CF_Own_CCO,P_Tot_CF_Oth_CCO,P_Tot_CF_Own_CC_Oth_CC,P_Tot_CF_Total,P_Tot_DNPCC,P_Tot_UCC_NS,P_Tot_Total
CED101,3136,570,3750,23521,7732,607,31860,81027,8390,121277
CED102,2972,540,3558,22085,7398,491,29974,77570,9519,117063
CED103,2888,522,3457,24354,7323,831,32508,83831,7134,123473
CED104,1926,256,2232,23488,8665,1086,33239,67985,4017,105241
CED105,2538,478,3050,23763,6698,481,30942,79829,12061,122832
CED106,3678,750,4483,26064,8260,1026,35350,72751,6132,114233
CED107,2376,424,2830,23010,9062,1220,33292,71487,9728,114507
CED108,2801,499,3317,21377,10206,1160,32743,67007,6185,105935
CED109,1388,269,1672,27770,8360,892,37022,79139,10072,126233
CED110,2904,693,3634,23053,9877,1045,33975,71431,7024,112430
CED111,2882,689,3583,19480,7736,1103,28319,72175,8622,109116
CED112,2926,491,3447,23228,10408,1312,34948,75855,7570,118373
CED113,2986,805,3823,22834,9103,1276,33213,67748,8522,109483
CED114,2288,556,2876,20350,7564,1026,28940,72311,9010,110261
CED115,2431,706,3168,20216,8205,956,29377,70450,9350,109177
CED116,1296,302,1623,22152,6298,436,28886,77569,10220,116675
CED117,2681,639,3343,19543,8569,1107,29219,70458,8947,108624
CED118,2097,495,2631,22131,6429,976,29536,84538,10477,124551
CED119,1186,311,1520,29833,7787,1023,38643,72727,7934,119304
CED120,1597,213,1831,25176,8621,989,34786,70633,6537,111956
CED121,2089,453,2563,22459,8560,1156,32175,69478,8631,110284
CED122,1929,324,2266,24167,9324,1206,34697,64951,8683,108331
CED123,2490,478,3004,22611,7398,801,30810,88947,13234,132991
CED124,1309,388,1718,25790,9802,1269,36861,70743,8973,116577
CED125,3131,733,3895,17901,7416,1013,26330,70282,7824,104436
CED126,1284,215,1517,24986,9002,1141,35129,65723,7379,108231
CED127,3385,649,4082,25266,9365,1230,35861,69372,6747,111980
CED128,1939,450,2420,23556,9483,1439,34478,68281,7299,110058
CED129,1178,267,1465,21804,7679,600,30083,76950,7328,114361
CED130,1776,479,2287,26309,8614,986,35909,66750,5046,107705
CED131,2426,636,3089,21663,8529,1127,31319,74514,9577,115410
CED132,2729,583,3358,19478,8907,1131,29516,72727,8027,110270
CED133,2878,477,3408,24025,7316,897,32238,82715,8488,123441
CED134,3162,645,3836,18982,8207,1125,28314,71601,8036,107951
CED135,2308,435,2770,23176,8810,1238,33224,73774,10982,117980
CED136,1969,647,2644,26488,6839,639,33966,87287,12568,133821
CED137,2414,771,3201,19142,8451,1084,28677,67025,8155,103857
CED138,2285,478,2790,25100,6905,629,32634,91432,13798,137864
CED139,2877,758,3667,20785,7786,1310,29881,70574,8835,109290
CED140,2381,556,2981,22732,8692,1088,32512,71888,9557,113957
CED141,3183,1070,4282,20883,8923,1171,30977,70097,9210,110284
CED142,2364,583,2974,19929,9703,1071,30703,66115,7090,103908
CED143,974,308,1300,15936,6024,585,22545,112411,20286,155242
CED144,2329,523,2869,20880,9714,1114,31708,68001,7528,107237
CED145,2803,609,3455,25510,7946,1103,34559,75870,9135,119564
CED146,2027,690,2748,24955,6754,470,32179,84070,12166,128415
CED147,2871,871,3791,20161,7739,759,28659,89105,17540,135304
CED148,943,450,1406,25254,7382,709,33345,71036,9428,113809
CED194,70,52,122,1114,551,42,1707,7210,2821,11738
CED197,0,0,0,6,0,0,6,89,15,110
