region_id,P_PGrad_Deg_35_44,P_PGrad_Deg_45_54,P_PGrad_Deg_55_64,P_PGrad_Deg_65_74,P_PGrad_Deg_75_84,P_PGrad_Deg_85ov,P_PGrad_Deg_Total,P_GradDip_and_GradCert_15_24,P_GradDip_and_GradCert_25_34,P_GradDip_and_GradCert_35_44,P_GradDip_and_GradCert_45_54,P_GradDip_and_GradCert_55_64,P_GradDip_and_GradCert_65_74,P_GradDip_and_GradCert_75_84,P_GradDip_and_GradCert_85ov,P_GradDip_and_GradCert_Total,P_BachDeg_15_24,P_BachDeg_25_34,P_BachDeg_35_44,P_BachDeg_45_54,P_BachDeg_55_64,P_BachDeg_65_74,P_BachDeg_75_84,P_BachDeg_85ov,P_BachDeg_Total,P_AdvDip_and_Dip_15_24,P_AdvDip_and_Dip_25_34,P_AdvDip_and_Dip_35_44,P_AdvDip_and_Dip_45_54,P_AdvDip_and_Dip_55_64,P_AdvDip_and_Dip_65_74,P_AdvDip_and_Dip_75_84,P_AdvDip_and_Dip_85ov,P_AdvDip_and_Dip_Total,P_Cert_Levl_nfd_15_24,P_Cert_Levl_nfd_25_34,P_Cert_Levl_nfd_35_44,P_Cert_Levl_nfd_45_54,P_Cert_Levl_nfd_55_64,P_Cert_Levl_nfd_65_74,P_Cert_Levl_nfd_75_84,P_Cert_Levl_nfd_85ov,P_Cert_Levl_nfd_Total,P_Cert_III_IV_15_24,P_Cert_III_IV_25_34,P_Cert_III_IV_35_44,P_Cert_III_IV_45_54,P_Cert_III_IV_55_64,P_Cert_III_IV_65_74,P_Cert_III_IV_75_84,P_Cert_III_IV_85ov,P_Cert_III_IV_Total,P_Cert_I_II_15_24,P_Cert_I_II_25_34,P_Cert_I_II_35_44,P_Cert_I_II_45_54,P_Cert_I_II_55_64,P_Cert_I_II_65_74,P_Cert_I_II_75_84,P_Cert_I_II_85ov,P_Cert_I_II_Total,P_Cert_Lev_Tot_15_24,P_Cert_Lev_Tot_25_34,P_Cert_Lev_Tot_35_44,P_Cert_Lev_Tot_45_54,P_Cert_Lev_Tot_55_64,P_Cert_Lev_Tot_65_74,P_Cert_Lev_Tot_75_84,P_Cert_Lev_Tot_85ov,P_Cert_Lev_Tot_Total,P_Lev_Edu_IDes_15_24,P_Lev_Edu_IDes_25_34,P_Lev_Edu_IDes_35_44,P_Lev_Edu_IDes_45_54,P_Lev_Edu_IDes_55_64,P_Lev_Edu_IDes_65_74,P_Lev_Edu_IDes_75_84,P_Lev_Edu_IDes_85ov,P_Lev_Edu_IDes_Total,P_Lev_Edu_NS_15_24,P_Lev_Edu_NS_25_34,P_Lev_Edu_NS_35_44,P_Lev_Edu_NS_45_54,P_Lev_Edu_NS_55_64,P_Lev_Edu_NS_65_74,P_Lev_Edu_NS_75_84,P_Lev_Edu_NS_85ov,P_Lev_Edu_NS_Total,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Total
CED101,1720,1143,643,209,69,12,6941,40,323,375,359,306,95,30,3,1531,1927,6318,4537,3647,2045,819,360,88,19741,1096,2362,2667,2339,1469,697,391,107,11128,124,219,385,502,380,212,123,56,2001,1359,2483,2742,2812,2004,1369,925,354,14048,169,222,244,272,158,64,26,8,1163,1652,2924,3371,3586,2542,1645,1074,418,17212,210,325,457,580,485,342,263,98,2760,1517,1358,1175,1429,1232,1137,1205,805,9858,6648,16549,14302,13083,8722,4944,3392,1531,69171
CED102,1634,908,493,147,54,11,5919,25,303,407,303,201,62,21,3,1325,1576,6508,4429,2926,1650,631,285,70,18075,1169,2917,2897,1968,1217,546,252,93,11059,143,266,501,504,331,173,89,42,2049,1099,2565,3015,2575,1765,1152,747,270,13188,181,279,304,234,159,51,15,12,1235,1423,3110,3820,3313,2255,1376,851,324,16472,206,399,503,585,390,259,184,101,2627,1561,1799,1591,1412,1411,1235,1203,693,10905,6078,17590,15281,11415,7617,4256,2850,1295,66382
CED103,3061,2378,1363,487,161,27,11401,46,502,652,649,515,169,47,9,2589,2695,8349,6715,5056,3058,1351,603,165,27992,1270,2231,2702,2510,1799,940,547,181,12180,100,200,382,476,448,281,173,61,2121,1003,1904,2209,2386,1717,1077,828,278,11402,160,187,192,231,169,66,41,9,1055,1263,2291,2783,3093,2334,1424,1042,348,14578,147,306,418,549,482,343,268,145,2658,1481,1181,983,1063,1011,910,1093,869,8591,7126,18560,17314,15298,10562,5624,3761,1744,79989
CED104,1975,2249,1557,588,155,22,7516,31,286,624,763,638,232,50,20,2644,1647,3902,5599,5477,3806,1548,569,146,22694,676,1350,2510,2943,2368,1220,517,164,11748,131,183,367,550,587,366,119,39,2342,1273,1712,2550,2972,2192,1480,575,189,12943,164,124,204,237,192,97,26,10,1054,1568,2019,3121,3759,2971,1943,720,238,16339,82,130,281,453,453,316,161,63,1939,812,402,647,921,902,803,709,544,5740,4888,8987,14757,16565,12695,6650,2881,1197,68620
CED105,676,424,264,81,15,6,2694,27,213,159,124,103,24,7,6,663,1391,4269,2710,1739,1061,387,152,36,11745,1141,2514,2081,1496,912,331,156,41,8672,178,321,367,369,267,99,51,21,1673,1695,3054,2710,2441,1863,1090,673,225,13751,300,388,331,245,99,28,12,4,1407,2173,3763,3408,3055,2229,1217,736,250,16831,223,435,443,456,388,247,142,53,2387,2357,2287,2141,1928,1667,1329,1247,646,13602,7422,14599,11618,9222,6624,3616,2455,1038,56594
CED106,3347,3479,2178,1099,392,105,12676,25,406,775,843,639,274,116,21,3099,1902,5628,7828,7669,4816,2504,1364,495,32206,587,1275,2324,2729,2194,1643,1035,364,12151,105,104,279,404,398,377,217,100,1984,621,1069,1236,1445,1018,745,506,229,6869,102,91,135,175,135,103,48,16,805,828,1264,1650,2024,1551,1225,771,345,9658,86,174,316,455,509,475,381,212,2608,1148,724,870,971,812,754,979,977,7235,4676,11447,17110,18170,12699,7974,5038,2519,79633
CED107,450,486,483,208,62,11,1962,12,178,275,384,362,132,32,3,1378,596,2441,2386,1891,1671,720,296,77,10078,356,1051,1592,1737,1522,824,337,86,7505,206,253,398,465,453,246,84,33,2138,2574,4435,4516,4453,3020,1603,702,162,21465,474,414,361,320,228,77,24,8,1906,3254,5102,5275,5238,3701,1926,810,203,25509,96,115,243,412,358,251,116,39,1630,2007,1454,1611,1676,1783,1732,1547,636,12446,6340,10584,11832,11824,9880,5793,3200,1055,60508
CED108,565,522,512,263,90,16,2328,9,163,265,300,318,110,38,4,1207,523,2475,2231,1735,1593,724,299,81,9661,406,1261,1723,1790,1429,824,356,123,7912,154,208,329,411,486,285,133,39,2045,2289,3856,4379,4507,3524,2030,996,304,21885,345,319,299,269,167,85,27,6,1517,2788,4383,5007,5187,4177,2400,1156,349,25447,88,118,191,299,309,211,118,45,1379,1102,722,972,1150,1292,1393,1350,762,8743,4927,9471,10954,10983,9630,5925,3407,1380,56677
CED109,822,562,303,79,25,7,2956,33,239,234,173,98,27,8,3,815,1066,3808,3300,2751,1737,476,141,39,13318,964,2184,2006,1567,868,316,125,37,8067,242,405,486,400,286,102,29,9,1959,2174,3865,3731,3514,2252,1013,415,82,17046,428,520,429,283,153,37,10,3,1863,2844,4790,4646,4197,2691,1152,454,94,20868,220,469,512,542,479,213,96,33,2564,2319,1729,1802,1664,1660,1315,891,388,11768,7519,14304,13322,11456,7836,3578,1740,601,60356
CED110,1169,863,707,296,95,19,4054,27,334,467,483,426,128,49,11,1925,1298,4599,4279,3072,2210,894,429,107,16888,907,2482,3018,2543,1865,1000,486,166,12467,159,326,487,578,579,372,198,60,2759,1761,3907,4014,3661,2676,1901,1248,379,19547,202,254,297,253,223,106,47,10,1392,2122,4487,4798,4492,3478,2379,1493,449,23698,143,320,412,567,620,462,394,126,3044,1035,1096,1047,1047,1009,960,1283,806,8283,5586,14169,15190,13067,10315,6119,4229,1684,70359
