region_id,R_0_74_LT_Real_estate_agent,R_0_74_LT_Ste_terr_hsg_auth,R_0_74_LT_Psn_not_Sme_hhd,R_0_74_LT_hs_coop_com_ch_g,R_0_74_LT_Other_Lld_type,R_0_74_LT_Lld_type_ns,R_0_74_Tot,R_75_99_LT_Real_estate_agent,R_75_99_LT_Ste_terr_hsg_auth,R_75_99_LT_Psn_not_Sme_hhd,R_75_99_LT_hs_coop_com_ch_g,R_75_99_LT_Other_Lld_type,R_75_99_LT_Lld_type_ns,R_75_99_Tot,R_100_149_LT_Real_estat_agent,R_100_149_LT_St_ter_hsg_aut,R_100_149_LT_Psn_not_Sme_hhd,R_100_149_LT_hs_coop_com_ch_g,R_100_149_LT_Other_Lld_type,R_100_149_LT_Lld_type_ns,R_100_149_Tot,R_150_199_LT_Real_estat_agent,R_150_199_LT_Ste_ter_hsg_aut,R_150_199_LT_Psn_not_Sme_hhd,R_150_199_LT_hs_coop_com_ch_g,R_150_199_LT_Other_Lld_type,R_150_199_LT_Lld_type_ns,R_150_199_Tot,R_200_224_LT_Real_estat_agent,R_200_224_LT_Ste_ter_hsg_aut,R_200_224_LT_Psn_not_Sme_hhd,R_200_224_LT_hs_coop_com_ch_g,R_200_224_LT_Other_Lld_type,R_200_224_LT_Lld_type_ns,R_200_224_Tot,R_225_274_LT_Real_eSte_agent,R_225_274_LT_Ste_ter_hsg_aut,R_225_274_LT_Psn_not_Sme_hhd,R_225_274_LT_hs_coop_com_ch_g,R_225_274_LT_Other_Lld_type,R_225_274_LT_Lld_type_ns,R_225_274_Tot,R_275_349_LT_Real_eSte_agent,R_275_349_LT_Ste_ter_hsg_aut,R_275_349_LT_Psn_not_Sme_hhd,R_275_349_LT_hs_coop_com_ch_g,R_275_349_LT_Other_Lld_type,R_275_349_LT_Lld_type_ns,R_275_349_Tot,R_350_449_LT_Real_eSte_agent,R_350_449_LT_Ste_ter_hsg_aut,R_350_449_LT_Psn_not_Sme_hhd,R_350_449_LT_hs_coop_com_ch_g,R_350_449_LT_Other_Lld_type,R_350_449_LT_Lld_type_ns,R_350_449_Tot,R_450_549_LT_Real_eSte_agent,R_450_549_LT_Ste_ter_hsg_aut,R_450_549_LT_Psn_not_Sme_hhd,R_450_549_LT_hs_coop_com_ch_g,R_450_549_LT_Other_Lld_type,R_450_549_LT_Lld_type_ns,R_450_549_Tot,R_550_649_LT_Real_eSte_agent,R_550_649_LT_Ste_ter_hsg_aut,R_550_649_LT_Psn_not_Sme_hhd,R_550_649_LT_hs_coop_com_ch_g,R_550_649_LT_Other_Lld_type,R_550_649_LT_Lld_type_ns,R_550_649_Tot,R_650_over_LT_Real_eSte_agent,R_650_over_LT_Ste_ter_hsg_aut,R_650_over_LT_Psn_not_Sme_hhd,R_650_ovr_LT_hs_coop_com_ch_g,R_650_over_LT_Other_Lld_type,R_650_over_LT_Lld_type_ns,R_650_over_Tot,Rent_ns_LT_Real_eSte_agent,Rent_ns_LT_Ste_ter_hsg_auth,Rent_ns_LT_Psn_not_Sme_hhd,Rent_ns_LT_hs_coop_com_ch_g,Rent_ns_LT_Other_Lld_type,Rent_ns_LT_Lld_type_ns,Rent_ns_Tot,Tot_LT_Real_eSte_agent,Tot_LT_Ste_ter_hsg_auth,Tot_LT_Psn_not_Sme_hhd,Tot_LT_hs_coop_com_ch_g,Tot_LT_Other_Lld_type,Tot_LT_Lld_type_ns,Tot_Tot
CED101,35,383,222,36,26,130,832,0,970,17,46,7,5,1045,29,604,89,97,12,4,835,84,419,135,55,22,5,720,126,127,134,17,20,7,431,487,122,213,22,31,4,879,1752,134,409,16,37,15,2363,3502,91,540,10,55,13,4211,1716,10,291,3,22,7,2049,530,9,96,3,5,3,646,273,14,69,0,8,8,372,181,215,153,42,26,38,655,8715,3098,2368,347,271,239,15038
CED102,30,131,250,36,27,156,630,5,374,21,13,0,3,416,17,208,67,60,21,3,376,98,141,107,34,20,5,405,134,36,135,10,21,0,336,395,55,176,18,23,8,675,1866,35,401,13,50,18,2383,3980,48,607,8,53,19,4715,2199,13,353,3,38,7,2613,722,6,121,0,6,3,858,420,6,89,3,5,0,523,169,79,154,25,29,36,492,10035,1132,2481,223,293,258,14422
CED103,40,284,245,39,25,146,779,15,650,16,34,4,3,722,46,420,83,157,10,4,720,74,256,130,82,40,6,588,103,74,95,26,74,4,376,413,79,176,42,46,0,756,2007,75,388,20,36,9,2535,4140,89,611,7,47,13,4907,2261,27,416,9,29,4,2746,1071,4,178,9,11,12,1285,698,7,183,14,11,4,917,185,125,173,53,37,49,622,11053,2090,2694,492,370,254,16953
CED104,10,30,211,17,45,149,462,0,81,6,18,0,0,105,10,41,70,34,8,3,166,23,23,75,28,20,0,169,27,11,91,4,34,0,167,95,18,123,21,15,0,272,268,13,183,12,16,3,495,798,15,261,12,22,3,1111,1016,7,202,3,10,6,1244,593,3,102,0,3,3,704,544,5,106,0,5,3,663,63,14,77,24,35,12,225,3447,261,1507,173,213,182,5783
CED105,34,680,207,27,23,154,1125,3,1432,10,57,4,7,1513,43,1134,113,99,26,21,1436,134,776,156,135,34,10,1245,195,204,163,52,34,10,658,583,300,293,66,48,9,1299,2168,288,597,40,144,12,3249,3439,117,748,24,158,30,4516,717,11,183,6,38,8,963,145,10,25,3,3,0,186,76,19,22,0,9,0,126,144,302,182,24,22,39,713,7681,5273,2699,533,543,300,17029
CED106,15,48,169,37,31,133,433,5,126,8,53,3,0,195,12,93,42,76,7,7,237,28,59,64,47,9,3,210,29,20,62,6,10,5,132,121,15,113,19,18,0,286,426,16,211,9,23,4,689,1779,15,374,13,29,6,2216,1537,6,285,12,23,5,1868,822,0,153,7,13,4,999,1881,5,386,9,14,4,2299,114,26,103,35,20,14,312,6769,429,1970,323,200,185,9876
CED107,44,270,417,67,212,372,1382,50,631,92,70,22,10,875,726,618,554,87,123,24,2132,1760,508,722,47,90,24,3151,988,144,450,11,43,3,1639,1712,66,384,15,32,10,2219,1453,16,273,6,23,0,1771,745,4,124,0,11,3,887,137,3,19,3,8,0,170,20,0,13,0,0,0,33,45,5,33,0,8,3,94,141,156,148,31,101,14,591,7821,2421,3229,337,673,463,14944
CED108,18,145,197,27,37,127,551,5,451,30,47,18,5,556,94,430,175,124,80,5,908,352,271,312,73,108,10,1126,262,85,290,15,34,3,689,1013,189,486,7,71,12,1778,2068,72,648,14,47,19,2868,1107,9,273,3,12,6,1410,291,0,73,0,6,4,374,49,0,9,0,6,0,64,44,6,14,3,7,3,77,88,129,95,123,25,27,487,5391,1787,2602,436,451,221,10888
CED109,13,563,138,52,28,95,889,7,1290,6,14,9,3,1329,28,1499,75,44,21,16,1683,128,1292,163,50,45,9,1687,217,687,194,32,42,4,1176,1015,429,390,15,37,13,1899,3241,177,788,25,84,26,4341,2609,31,415,13,75,10,3153,272,10,102,0,5,5,394,36,9,13,3,3,0,64,69,30,27,0,5,0,131,125,349,128,29,30,38,699,7760,6366,2439,277,384,219,17445
CED110,18,184,160,22,12,116,512,0,495,7,31,8,3,544,17,236,51,104,13,3,424,55,165,101,47,63,3,434,113,53,104,27,105,3,405,417,53,169,23,46,0,708,1558,64,402,7,35,11,2077,3187,51,509,6,44,9,3806,1533,7,240,3,11,4,1798,734,0,126,3,5,5,873,584,8,126,0,9,3,730,112,95,94,24,30,11,366,8328,1411,2089,297,381,171,12677
