region_id,C11_85o_SOL_SE_To,C11_85o_LPE_NS,C11_85o_Tot,C11_Tot_SEO,C11_To_SOL_SE_Vw_w,C11_To_SOL_SE_Nw_Na,C11_To_SOL_SE_P_E_n,C11_Tot_SOL_SE_Tot,C11_Tot_LPE_NS,C11_T_T
10101,48,132,1394,61393,1903,288,40,2231,3219,66843
10102,111,38,550,44985,5369,779,110,6258,2507,53750
10103,39,22,414,25125,1461,117,19,1597,3239,29961
10104,103,168,1967,62188,2193,212,39,2444,2920,67552
10201,258,531,5116,144588,7871,950,138,8959,7177,160724
10202,158,280,3769,135292,5416,720,90,6226,5568,147086
10301,29,41,733,39656,1451,151,25,1627,2506,43789
10302,29,99,1409,50979,1014,134,26,1174,2271,54424
10303,33,73,867,39616,1179,161,14,1354,2407,43377
10304,67,62,990,49696,1979,323,39,2341,2520,54557
10401,26,59,1264,46744,953,109,20,1082,1895,49721
10402,92,112,2070,74855,3793,675,80,4548,2960,82363
10501,8,23,332,23570,757,108,16,881,1938,26389
10502,26,60,506,20070,537,74,9,620,1319,22009
10503,26,107,1322,62036,1586,197,37,1820,3356,67212
10601,31,70,1299,76506,1547,227,45,1819,3642,81967
10602,77,67,1050,59586,1824,272,36,2132,2063,63781
10603,53,184,1453,61709,1910,219,33,2162,2948,66819
10604,4,23,454,27213,676,127,18,821,1778,29812
10701,393,131,1440,55548,10224,2618,177,13019,2359,70926
10702,0,0,0,7,4,0,0,4,6,17
10703,217,72,1542,72406,6546,1095,109,7750,2028,82184
10704,464,168,2794,95727,16025,3276,219,19520,4538,119785
10801,23,198,1215,27706,652,79,19,750,1408,29864
10802,81,96,1348,43716,1044,104,19,1167,2184,47067
10803,0,0,6,369,4,3,0,7,9,385
10804,66,265,2457,68190,1812,156,18,1986,2649,72825
10805,63,133,1396,47307,1108,130,22,1260,1946,50513
10901,75,77,1267,51929,2408,414,56,2878,2320,57127
10902,15,13,220,11868,505,72,10,587,625,13080
10903,52,83,1074,37397,803,116,12,931,1628,39956
11001,19,45,687,32478,1576,245,36,1857,1675,36010
11002,23,42,896,35043,684,122,16,822,1304,37169
11003,13,30,368,23745,542,104,10,656,1692,26093
11004,35,168,1640,71412,1335,199,25,1559,3425,76396
11101,175,185,2729,106744,4205,545,78,4828,3081,114653
11102,84,185,1972,64476,2168,290,36,2494,1844,68814
11103,425,257,3996,135552,11019,2064,181,13264,6409,155225
11201,68,147,2079,67929,3106,269,49,3424,3184,74537
11202,88,112,1529,63785,2209,295,63,2567,2534,68886
11203,95,281,2937,79241,2989,356,58,3403,3750,86394
11301,210,68,879,37745,4872,1060,94,6026,2500,46271
11302,20,16,334,13092,436,55,6,497,607,14196
11303,49,125,1880,82183,2934,510,73,3517,3427,89127
11401,111,239,2557,82625,2889,373,54,3316,4730,90671
11402,47,159,1164,39965,1901,157,41,2099,1619,43683
11501,374,70,2313,90374,34899,4379,316,39594,2447,132415
11502,62,19,495,20815,3223,362,27,3612,528,24955
11503,17,17,224,21382,918,78,14,1010,1208,23600
11504,35,5,157,21234,4385,415,54,4854,856,26944
11601,691,136,1624,71311,41537,6842,593,48972,4162,124445
11602,117,10,318,46842,22391,2386,266,25043,2416,74301
11603,383,21,861,59474,33662,5102,566,39330,4744,103548
11701,234,41,667,20074,14430,2867,193,17490,2123,39687
11702,307,35,638,30118,12625,4089,195,16909,3044,50071
11703,466,337,1570,107476,43755,8516,554,52825,26415,186716
11801,702,333,2920,87393,17829,1721,253,19803,12018,119214
11802,779,251,2753,79962,33822,4846,391,39059,9908,128929
11901,860,271,3419,65252,67848,16707,997,85552,8079,158883
11902,892,206,1996,33230,64520,19043,1059,84622,7178,125030
11903,539,131,2974,55271,44281,11755,478,56514,3947,115732
11904,816,239,2999,48690,55700,10974,763,67437,6747,122874
12001,533,111,1557,43773,21863,4055,243,26161,3921,73855
12002,161,50,641,40955,6748,1105,111,7964,2497,51416
12003,1303,179,2990,58853,55776,13411,815,70002,7768,136623
12101,458,155,2370,65036,26037,4997,265,31299,3973,100308
12102,242,95,1491,54004,16259,3050,205,19514,1967,75485
12103,377,236,3514,81980,20173,2853,178,23204,2971,108155
12104,199,148,1880,66008,13638,1498,147,15283,6593,87884
12201,67,50,858,32345,4457,419,57,4933,2219,39497
12202,149,89,1504,49549,3906,385,45,4336,1776,55661
12203,672,276,3842,111225,20160,2780,297,23237,4318,138780
12301,57,37,695,46074,3986,386,61,4433,1227,51734
12302,242,268,1387,102705,32453,4681,463,37597,6712,147014
12303,73,20,417,32716,1682,178,24,1884,1224,35824
12401,112,124,1535,67559,3574,340,71,3985,3190,74734
12402,0,0,0,3,0,3,0,3,0,6
12403,202,136,1450,105541,12449,1525,179,14153,4754,124448
12404,48,31,597,31483,2058,258,29,2345,1989,35817
12405,123,36,446,38275,10063,1317,164,11544,1993,51812
12501,365,39,867,15660,38498,13895,668,53061,6061,74782
12502,190,163,1012,31094,20460,4857,257,25574,2243,58911
12503,730,254,2220,51176,60638,15136,998,76772,7250,135198
12504,513,254,2312,57624,50879,9430,736,61045,7722,126391
12601,135,24,942,26707,12575,2279,93,14947,682,42336
12602,682,222,3184,66927,39690,7947,431,48068,4663,119658
12701,310,32,512,35501,33077,7011,456,40544,3913,79958
12702,1540,132,2195,46157,85663,35502,1566,122731,6290,175178
12703,385,113,1092,47401,41311,8972,623,50906,5922,104229
12801,219,184,2858,86488,11660,1406,138,13204,3424,103116
12802,162,134,1741,90656,10150,1136,105,11391,2438,104485
19797,0,3,38,1580,146,27,0,173,345,2098
