region_id,C11_All_inc_ns_CF_1Ch,C11_All_inc_ns_CF_2C,C11_All_inc_ns_CF_3C,C11_All_inc_ns_CF_4mC,C11_All_inc_ns_CF_T,C11_Tot_CF_1C,C11_Tot_CF_2C,C11_Tot_CF_3C,C11_Tot_CF_4mC,C11_Tot_CF_T
10101,35,37,20,5,97,2615,2899,1433,590,7537
10102,28,21,9,0,58,2399,2945,1158,342,6844
10103,15,18,3,0,36,629,821,307,113,1870
10104,36,34,11,6,87,2368,2269,1003,418,6058
10201,90,92,36,16,234,6440,8050,3207,1048,18745
10202,91,103,36,20,250,5590,6657,2855,1093,16195
10301,23,29,11,3,66,1588,1863,871,372,4694
10302,35,35,20,13,103,1925,1920,1219,556,5620
10303,32,35,19,10,96,1620,1772,866,319,4577
10304,15,27,9,11,62,2046,2429,1246,497,6218
10401,23,20,8,6,57,1681,1773,796,364,4614
10402,44,35,23,8,110,3042,3308,1384,506,8240
10501,17,21,12,5,55,837,826,474,247,2384
10502,19,16,8,6,49,763,689,303,123,1878
10503,47,39,20,6,112,2373,2631,1429,590,7023
10601,50,63,27,9,149,3444,3884,1744,681,9753
10602,32,40,9,8,89,2872,3511,1395,523,8301
10603,31,39,26,9,105,2478,2983,1275,484,7220
10604,20,22,10,3,55,1166,1308,675,216,3365
10701,30,53,16,14,113,3112,3812,1481,515,8920
10702,0,0,0,0,0,0,0,0,0,0
10703,53,47,32,5,137,3578,4579,1835,664,10656
10704,59,45,19,10,133,4829,5986,2328,659,13802
10801,19,16,4,0,39,929,952,402,143,2426
10802,25,22,12,9,68,1489,1418,723,340,3970
10803,0,0,0,0,0,17,20,0,0,37
10804,41,34,13,5,93,2523,2871,1193,423,7010
10805,18,31,18,8,75,1740,1788,860,359,4747
10901,36,29,21,9,95,2162,2450,1097,424,6133
10902,13,4,7,0,24,469,477,262,125,1333
10903,24,19,17,7,67,1307,1529,786,328,3950
11001,26,12,14,9,61,1249,1415,694,268,3626
11002,30,22,12,12,76,1347,1288,713,322,3670
11003,26,25,18,9,78,941,1039,544,237,2761
11004,65,49,23,11,148,2926,3182,1460,521,8089
11101,73,78,26,11,188,4962,6136,2283,675,14056
11102,43,43,24,12,122,2811,3270,1390,439,7910
11103,64,56,23,4,147,6153,6753,2523,710,16139
11201,32,27,17,3,79,2692,3032,1135,398,7257
11202,28,31,9,9,77,2490,2685,1287,541,7003
11203,52,55,18,14,139,3077,3238,1428,497,8240
11301,35,34,13,23,105,1755,2009,1154,481,5399
11302,15,10,6,5,36,522,624,274,134,1554
11303,51,39,27,13,130,3208,3605,1959,854,9626
11401,50,44,19,10,123,3194,3459,1469,577,8699
11402,17,28,6,0,51,1570,1927,917,357,4771
11501,58,83,21,14,176,7042,10557,3801,1002,22402
11502,20,17,6,5,48,1151,1560,786,319,3816
11503,20,16,6,7,49,1059,1355,692,279,3385
11504,15,19,12,0,46,1213,2080,988,269,4550
11601,98,87,48,26,259,6530,7152,2610,1106,17398
11602,36,54,27,12,129,4001,5622,2032,682,12337
11603,95,83,60,44,282,4506,5110,2585,1511,13712
11701,23,29,15,0,67,1983,2204,655,160,5002
11702,22,24,4,0,50,2194,1965,544,177,4880
11703,44,29,3,5,81,4576,2784,529,96,7985
11801,56,69,21,5,151,4476,4852,1818,392,11538
11802,75,53,21,7,156,5249,5937,1850,376,13412
11901,114,124,91,58,387,6921,8495,4066,2069,21551
11902,111,120,68,47,346,6483,6594,2830,1369,17276
11903,75,77,27,11,190,6167,6745,2240,704,15856
11904,114,74,37,17,242,6439,6166,2099,771,15475
12001,35,45,10,3,93,3832,4084,1257,267,9440
12002,24,12,4,4,44,2589,2420,571,100,5680
12003,91,57,32,11,191,6729,6855,2120,621,16325
12101,39,49,14,5,107,4958,5927,2057,363,13305
12102,35,44,21,6,106,4140,5029,1767,413,11349
12103,38,59,24,3,124,5056,7919,3332,790,17097
12104,35,26,10,0,71,3546,3177,1048,206,7977
12201,13,14,7,0,34,1648,2206,829,132,4815
12202,37,40,12,3,92,2543,3681,1417,314,7955
12203,80,93,31,5,209,6494,8965,3224,717,19400
12301,26,28,11,3,68,2355,3678,1442,517,7992
12302,86,101,56,44,287,6735,7612,3180,1622,19149
12303,35,48,23,7,113,1593,2089,1033,402,5117
12401,37,20,16,5,78,3264,3792,1572,585,9213
12402,0,0,0,0,0,0,0,0,0,0
12403,74,106,39,21,240,5743,6968,2971,1169,16851
12404,23,32,17,9,81,1542,1639,815,342,4338
12405,43,46,30,16,135,2408,2894,1220,515,7037
12501,53,61,51,46,211,3639,3708,1466,909,9722
12502,36,35,14,4,89,3072,3937,1250,378,8637
12503,100,114,76,66,356,6008,6448,3192,2199,17847
12504,83,58,21,17,179,7065,6290,1854,628,15837
12601,16,15,11,0,42,2328,3099,1073,219,6719
12602,42,61,21,3,127,5991,6753,2257,452,15453
12701,80,82,45,34,241,3483,4879,2480,1200,12042
12702,152,169,112,54,487,8135,9744,4623,1941,24443
12703,79,75,52,22,228,4928,6448,2576,1053,15005
12801,48,55,23,3,129,4576,5885,2352,572,13385
12802,51,67,27,3,148,5139,7349,3001,739,16228
19797,0,0,0,0,0,0,0,0,0,0
