region_id,C11_75_79_N_mar_M,C11_75_79_N_mar_F,C11_75_79_T_M,C11_75_79_T_F,C11_75_79_T_P,C11_80_84_Mar_RegM_M,C11_80_84_Mar_RegM_F,C11_80_84_Mar_DFM_M,C11_80_84_Mar_DFM_F,C11_80_84_N_mar_M,C11_80_84_N_mar_F,C11_80_84_T_M,C11_80_84_T_F,C11_80_84_T_P,C11_85o_Mar_RegM_M,C11_85o_Mar_RegM_F,C11_85o_Mar_DFM_M,C11_85o_Mar_DFM_F,C11_85o_N_mar_M,C11_85o_N_mar_F,C11_85o_T_M,C11_85o_T_F,C11_85o_T_P,C11_T_Marr_reg_marr_M,C11_T_Marr_reg_marr_F,C11_T_Mar_de_fa_mar_M,C11_T_Mar_de_fa_mar_F,C11_Tot_N_mar_M,C11_Tot_N_mar_F,C11_Tot_T_M,C11_Tot_T_F,C11_Tot_T_P
10101,255,535,851,989,1840,403,227,11,8,203,525,617,760,1377,181,99,3,0,151,486,335,585,920,12335,12519,2309,2406,8467,9481,23111,24406,47517
10102,118,229,381,399,780,177,95,0,0,71,228,248,323,571,51,20,0,0,71,250,122,270,392,9573,9725,2123,2111,7271,7448,18967,19284,38251
10103,71,131,256,229,485,90,60,3,0,54,133,147,193,340,62,32,0,0,55,138,117,170,287,3158,3187,699,711,2426,2393,6283,6291,12574
10104,323,595,1264,1274,2538,586,370,16,9,278,604,880,983,1863,305,158,0,5,233,587,538,750,1288,12708,12870,2630,2734,8549,9757,23887,25361,49248
10201,566,1572,2225,2876,5101,1233,862,32,19,586,1674,1851,2555,4406,771,434,16,7,594,1816,1381,2257,3638,29280,29707,5149,5315,22114,27861,56543,62883,119426
10202,588,1387,2175,2620,4795,1077,702,22,18,570,1335,1669,2055,3724,584,281,5,8,482,1352,1071,1641,2712,25305,25670,5117,5309,20926,25957,51348,56936,108284
10301,115,281,429,556,985,227,124,4,0,102,291,333,415,748,94,43,3,0,69,286,166,329,495,7189,7310,1572,1619,5597,6252,14358,15181,29539
10302,277,461,886,941,1827,405,255,7,8,239,489,651,752,1403,204,112,0,0,147,495,351,607,958,9912,10022,1785,1847,7295,7649,18992,19518,38510
10303,191,343,623,643,1266,256,167,3,0,138,320,397,487,884,106,43,3,3,90,310,199,356,555,7651,7758,1620,1645,6032,6227,15303,15630,30933
10304,178,398,659,759,1418,280,170,6,4,119,390,405,564,969,133,74,3,3,105,360,241,437,678,9437,9629,1793,1860,6819,7989,18049,19478,37527
10401,240,429,852,892,1744,388,234,15,3,177,432,580,669,1249,184,80,7,3,133,432,324,515,839,8834,8936,1730,1808,6622,7564,17186,18308,35494
10402,269,612,1175,1309,2484,584,337,12,15,241,577,837,929,1766,318,151,4,0,241,668,563,819,1382,14133,14400,3003,3133,10884,13223,28020,30756,58776
10501,118,148,304,274,578,109,61,0,0,88,156,197,217,414,29,12,0,3,49,114,78,129,207,3512,3529,1160,1172,3934,3412,8606,8113,16719
10502,93,227,304,382,686,147,89,5,0,83,224,235,313,548,60,25,0,0,63,163,123,188,311,3251,3313,818,857,3156,3484,7225,7654,14879
10503,259,531,814,957,1771,401,240,12,0,200,451,613,691,1304,180,82,6,0,138,448,324,530,854,10991,11371,2305,2435,8410,10140,21706,23946,45652
10601,226,486,821,905,1726,324,220,6,5,189,524,519,749,1268,155,60,6,0,146,463,307,523,830,14331,14589,3144,3248,10987,11573,28462,29410,57872
