region_id,C11_All_in_ns_1PF_1C,C11_All_in_ns_1PF_2C,C11_All_in_ns_1PF_3C,C11_All_in_ns_1_pa_fa_4m_c,C11_All_in_ns_1_pa_fa_w_To,C11_Tot_1PF_1C,C11_Tot_1PF_2C,C11_Tot_1PF_3C,C11_Tot_1_pa_fa_4mor_ch,C11_Tot_T
10101,42,21,0,7,70,1587,770,310,103,2770
10102,31,16,8,3,58,1152,597,198,76,2023
10103,15,3,3,0,21,395,187,64,21,667
10104,57,28,11,11,107,1624,859,286,158,2927
10201,108,46,18,10,182,4453,2318,842,248,7861
10202,142,63,38,12,255,4679,2562,983,444,8668
10301,28,14,6,3,51,977,505,223,102,1807
10302,52,23,15,6,96,1268,633,278,137,2316
10303,32,21,6,0,59,1116,515,189,91,1911
10304,40,19,20,12,91,1289,638,260,155,2342
10401,45,20,12,5,82,1333,697,279,129,2438
10402,57,36,16,7,116,2391,1243,438,196,4268
10501,53,26,10,11,100,677,291,157,116,1241
10502,28,12,7,5,52,650,318,145,65,1178
10503,90,34,18,9,151,1716,943,408,253,3320
10601,70,41,15,3,129,2174,1144,450,189,3957
10602,45,23,10,7,85,1573,924,306,146,2949
10603,49,22,17,4,92,1689,904,350,135,3078
10604,24,12,5,4,45,629,346,136,73,1184
10701,70,47,4,8,129,2003,1151,407,192,3753
10702,0,0,0,0,0,0,0,0,0,0
10703,66,26,11,14,117,2202,1236,427,201,4066
10704,87,28,11,0,126,3028,1581,457,126,5192
10801,34,12,0,0,46,799,384,142,75,1400
10802,63,24,10,6,103,1410,746,318,204,2678
10803,0,0,0,0,0,6,4,0,0,10
10804,56,20,5,6,87,1895,1017,325,126,3363
10805,52,18,12,9,91,1413,717,257,161,2548
10901,43,20,4,3,70,1411,720,282,131,2544
10902,22,6,4,3,35,256,125,62,25,468
10903,40,21,5,0,66,779,403,170,67,1419
11001,26,8,10,3,47,812,389,171,95,1467
11002,36,21,7,0,64,874,443,222,126,1665
11003,38,17,6,9,70,586,316,138,89,1129
11004,76,33,16,6,131,2050,1044,433,238,3765
11101,103,40,17,5,165,3303,1629,565,199,5696
11102,60,20,7,7,94,1846,1071,371,153,3441
11103,137,33,24,10,204,4458,2076,633,244,7411
11201,52,20,6,9,87,2374,1082,320,96,3872
11202,58,30,10,13,111,2114,1038,401,192,3745
11203,64,38,5,5,112,2476,1261,419,167,4323
11301,44,18,5,8,75,964,515,222,122,1823
11302,8,3,0,3,14,297,162,56,26,541
11303,61,22,20,13,116,2053,1033,432,231,3749
11401,89,29,8,8,134,2442,1301,464,201,4408
11402,25,14,6,0,45,1029,537,179,85,1830
11501,27,24,7,0,58,2028,1310,391,91,3820
11502,11,12,0,0,23,374,236,103,34,747
11503,8,4,3,0,15,400,227,92,31,750
11504,6,6,0,0,12,377,241,105,23,746
11601,108,57,18,19,202,3471,1912,699,342,6424
11602,31,23,4,9,67,1291,871,285,119,2566
11603,148,69,27,36,280,3224,1948,942,677,6791
11701,27,14,0,3,44,1119,540,123,45,1827
11702,26,17,3,0,46,1320,520,121,56,2017
11703,71,28,9,4,112,2747,901,202,71,3921
11801,39,21,5,0,65,2167,886,216,39,3308
11802,93,17,3,3,116,2971,1226,282,69,4548
11901,110,70,33,27,240,4147,2355,888,468,7858
11902,108,49,35,10,202,3352,1574,535,239,5700
11903,64,24,5,0,93,2898,1392,372,139,4801
11904,74,26,13,7,120,3145,1366,424,155,5090
12001,22,17,5,0,44,1586,715,160,31,2492
12002,17,3,3,0,23,1182,406,77,24,1689
12003,71,24,6,5,106,3495,1404,334,90,5323
12101,27,8,3,3,41,2067,871,205,36,3179
12102,29,17,3,0,49,1635,829,239,51,2754
12103,29,11,5,0,45,1651,994,273,67,2985
12104,22,4,0,0,26,1544,569,120,17,2250
12201,14,4,0,0,18,692,317,92,12,1113
12202,19,15,0,3,37,1105,580,168,33,1886
12203,83,29,4,4,120,2863,1433,363,87,4746
12301,25,8,7,5,45,968,653,287,93,2001
12302,149,77,37,28,291,4448,2626,1110,560,8744
12303,26,14,4,4,48,733,418,173,85,1409
12401,24,13,6,3,46,1824,953,276,119,3172
12402,0,0,0,0,0,0,0,0,0,0
12403,120,45,20,6,191,3346,1842,692,283,6163
12404,37,7,9,3,56,1076,609,221,79,1985
12405,58,25,7,9,99,1652,916,366,174,3108
12501,54,18,10,14,96,1580,799,306,157,2842
12502,31,18,8,0,57,1400,685,222,75,2382
12503,101,48,28,19,196,3547,1906,794,469,6716
12504,87,26,17,6,136,2800,1260,355,148,4563
12601,8,3,0,0,11,782,396,84,20,1282
12602,47,18,10,0,75,2600,1145,274,57,4076
12701,87,47,28,10,172,1781,1264,543,263,3851
12702,160,108,47,28,343,5216,3405,1270,593,10484
12703,81,44,10,5,140,2478,1489,557,251,4775
12801,58,29,7,0,94,2503,1199,317,85,4104
12802,32,13,6,4,55,2023,1193,394,97,3707
19797,0,0,0,0,0,0,0,0,0,0
