region_id,C11_OTT_DS_FUA,C11_OTT_DS_OD,C11_OTT_DS_NS_,C11_OTT_Tot,C11_TT_NS_DS_Sep_house,C11_TT_NS_DS_SemiDRTHT,C11_TT_NS_DS_FUA,C11_TT_NS_DS_OD,C11_TT_NS_DS_NS_,C11_TT_NS_T,C11_Tot_DS_Sep_house,C11_Tot_DS_SemiDRTHT,C11_Tot_DS_FUA,C11_Tot_DS_OD,C11_Tot_DS_NS_,C11_T_T
10101,12,6,0,238,1174,72,76,69,0,1391,23981,1067,835,409,45,26337
10102,20,3,0,126,742,138,283,101,0,1264,15123,2343,2690,353,16,20525
10103,14,3,5,85,390,74,110,136,462,1172,6466,586,632,252,527,8463
10104,38,21,3,302,1243,172,199,161,4,1779,23716,2024,2128,954,34,28856
10201,180,6,3,1006,2332,757,600,113,23,3825,48412,9129,5704,745,139,64129
10202,154,7,0,527,2213,344,389,165,0,3111,47880,5286,3524,919,30,57639
10301,4,0,3,90,700,114,137,23,5,979,13947,1122,1068,107,34,16278
10302,4,4,0,200,1213,51,111,127,48,1550,20326,587,871,410,64,22258
10303,3,0,0,136,936,81,80,144,3,1244,15884,791,594,347,16,17632
10304,25,4,0,147,889,103,81,84,9,1166,18283,1170,1023,263,21,20760
10401,14,12,3,140,732,51,86,293,3,1165,17166,839,1256,1021,31,20313
10402,53,38,3,414,1079,185,279,124,0,1667,25272,3111,3007,1635,20,33045
10501,0,36,0,183,794,11,52,216,3,1076,9077,147,468,833,59,10584
10502,7,14,3,117,642,36,60,51,6,795,8356,114,397,336,70,9273
10503,94,12,0,288,1109,69,156,210,6,1550,22522,960,1736,517,29,25764
10601,9,6,0,215,1447,118,89,57,3,1714,27684,1426,1013,317,23,30463
10602,42,0,0,146,735,114,116,42,0,1007,20648,1549,1239,197,3,23636
10603,25,17,0,334,1073,222,198,98,0,1591,21441,2940,1370,726,21,26498
10604,4,0,3,106,595,43,70,59,3,770,10226,359,590,301,27,11503
10701,12,8,0,196,972,127,181,74,0,1354,22643,1892,1749,382,14,26680
10702,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3
10703,122,6,0,279,903,163,146,47,3,1262,24991,3245,1895,514,10,30655
10704,193,5,0,408,1183,390,994,109,0,2676,29668,6661,10838,525,39,47731
10801,4,14,3,135,468,142,147,118,0,875,9381,1722,1435,607,14,13159
10802,12,12,0,137,826,86,105,155,0,1172,16621,944,1110,702,9,19386
10803,0,0,0,0,3,0,3,0,0,6,122,0,21,4,0,147
10804,87,63,0,544,919,215,378,109,5,1626,22578,3445,3300,1115,24,30462
10805,23,7,0,158,882,66,150,48,0,1146,18055,1149,1361,409,23,20997
10901,11,3,0,196,930,88,321,26,3,1368,18448,1153,3313,172,23,23109
10902,0,4,3,48,305,4,33,79,0,421,4524,57,218,341,10,5150
10903,20,14,0,202,848,55,111,75,0,1089,14762,517,1078,484,38,16879
11001,5,8,0,139,590,43,164,64,3,864,11734,583,1219,221,13,13770
