SA4_CODE_2016,M_SE_Europe_nfd_0_4,M_SE_Europe_nfd_5_14,M_SE_Europe_nfd_15_24,M_SE_Europe_nfd_25_44,M_SE_Europe_nfd_45_54,M_SE_Europe_nfd_55_64,M_SE_Europe_nfd_65_74,M_SE_Europe_nfd_75_84,M_SE_Europe_nfd_85ov,M_SE_Europe_nfd_Tot,M_Sri_Lanka_0_4,M_Sri_Lanka_5_14,M_Sri_Lanka_15_24,M_Sri_Lanka_25_44,M_Sri_Lanka_45_54,M_Sri_Lanka_55_64,M_Sri_Lanka_65_74,M_Sri_Lanka_75_84,M_Sri_Lanka_85ov,M_Sri_Lanka_Tot,M_Taiwan_0_4,M_Taiwan_5_14,M_Taiwan_15_24,M_Taiwan_25_44,M_Taiwan_45_54,M_Taiwan_55_64,M_Taiwan_65_74,M_Taiwan_75_84,M_Taiwan_85ov,M_Taiwan_Tot,M_Thailand_0_4,M_Thailand_5_14,M_Thailand_15_24,M_Thailand_25_44,M_Thailand_45_54,M_Thailand_55_64,M_Thailand_65_74,M_Thailand_75_84,M_Thailand_85ov,M_Thailand_Tot,M_FYROM_0_4,M_FYROM_5_14,M_FYROM_15_24,M_FYROM_25_44,M_FYROM_45_54,M_FYROM_55_64,M_FYROM_65_74,M_FYROM_75_84,M_FYROM_85ov,M_FYROM_Tot,M_Turkey_0_4,M_Turkey_5_14,M_Turkey_15_24,M_Turkey_25_44,M_Turkey_45_54,M_Turkey_55_64,M_Turkey_65_74,M_Turkey_75_84,M_Turkey_85ov,M_Turkey_Tot,M_USA_0_4,M_USA_5_14,M_USA_15_24,M_USA_25_44,M_USA_45_54,M_USA_55_64,M_USA_65_74,M_USA_75_84,M_USA_85ov,M_USA_Tot,M_Vietnam_0_4,M_Vietnam_5_14,M_Vietnam_15_24,M_Vietnam_25_44,M_Vietnam_45_54,M_Vietnam_55_64,M_Vietnam_65_74,M_Vietnam_75_84,M_Vietnam_85ov,M_Vietnam_Tot,M_Wales_0_4,M_Wales_5_14,M_Wales_15_24,M_Wales_25_44,M_Wales_45_54,M_Wales_55_64,M_Wales_65_74,M_Wales_75_84,M_Wales_85ov,M_Wales_Tot,M_Zimbabwe_0_4,M_Zimbabwe_5_14,M_Zimbabwe_15_24,M_Zimbabwe_25_44,M_Zimbabwe_45_54,M_Zimbabwe_55_64,M_Zimbabwe_65_74,M_Zimbabwe_75_84,M_Zimbabwe_85ov,M_Zimbabwe_Tot,M_Elsewhere_0_4,M_Elsewhere_5_14,M_Elsewhere_15_24,M_Elsewhere_25_44,M_Elsewhere_45_54,M_Elsewhere_55_64,M_Elsewhere_65_74,M_Elsewhere_75_84,M_Elsewhere_85ov,M_Elsewhere_Tot,M_COB_NS_0_4,M_COB_NS_5_14,M_COB_NS_15_24,M_COB_NS_25_44,M_COB_NS_45_54,M_COB_NS_55_64,M_COB_NS_65_74,M_COB_NS_75_84,M_COB_NS_85ov,M_COB_NS_Tot,M_Tot_0_4,M_Tot_5_14,M_Tot_15_24,M_Tot_25_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85ov,M_Tot_Tot,F_Afghanistan_0_4,F_Afghanistan_5_14,F_Afghanistan_15_24,F_Afghanistan_25_44,F_Afghanistan_45_54,F_Afghanistan_55_64,F_Afghanistan_65_74,F_Afghanistan_75_84,F_Afghanistan_85ov,F_Afghanistan_Tot,F_Australia_0_4,F_Australia_5_14,F_Australia_15_24,F_Australia_25_44,F_Australia_45_54,F_Australia_55_64,F_Australia_65_74,F_Australia_75_84,F_Australia_85ov,F_Australia_Tot,F_Bangladesh_0_4,F_Bangladesh_5_14,F_Bangladesh_15_24,F_Bangladesh_25_44,F_Bangladesh_45_54,F_Bangladesh_55_64,F_Bangladesh_65_74,F_Bangladesh_75_84,F_Bangladesh_85ov,F_Bangladesh_Tot,F_Bosnia_Herzegov_0_4,F_Bosnia_Herzegov_5_14,F_Bosnia_Herzegov_15_24,F_Bosnia_Herzegov_25_44,F_Bosnia_Herzegov_45_54,F_Bosnia_Herzegov_55_64,F_Bosnia_Herzegov_65_74,F_Bosnia_Herzegov_75_84,F_Bosnia_Herzegov_85ov,F_Bosnia_Herzegov_Tot,F_Cambodia_0_4,F_Cambodia_5_14,F_Cambodia_15_24,F_Cambodia_25_44,F_Cambodia_45_54,F_Cambodia_55_64,F_Cambodia_65_74,F_Cambodia_75_84,F_Cambodia_85ov,F_Cambodia_Tot,F_Canada_0_4,F_Canada_5_14,F_Canada_15_24,F_Canada_25_44,F_Canada_45_54,F_Canada_55_64,F_Canada_65_74,F_Canada_75_84,F_Canada_85ov,F_Canada_Tot,F_Chile_0_4,F_Chile_5_14,F_Chile_15_24,F_Chile_25_44,F_Chile_45_54,F_Chile_55_64,F_Chile_65_74,F_Chile_75_84,F_Chile_85ov,F_Chile_Tot
101,0,0,0,6,21,16,23,32,7,99,5,7,3,30,18,15,11,3,0,94,0,0,3,20,3,3,0,0,0,32,3,21,18,24,9,3,0,0,0,78,3,0,10,62,72,74,55,21,11,297,0,3,5,8,8,5,3,3,0,29,17,48,36,83,59,57,71,14,9,390,0,0,5,49,25,15,3,0,0,93,0,0,0,11,30,33,23,15,3,114,0,0,3,23,13,12,7,0,0,64,10,55,42,313,211,239,313,223,57,1465,364,754,864,1954,1432,1506,1315,742,232,9170,6218,13888,11835,23538,15491,16249,13507,6426,1966,109123,0,0,0,4,3,0,0,0,0,9,5248,11802,9796,19127,12341,12325,9058,4640,2312,86653,3,8,8,64,4,0,0,0,0,92,0,0,0,6,4,10,0,7,0,28,0,3,0,13,3,8,4,0,0,29,3,15,3,66,34,47,29,13,0,211,0,0,3,8,19,16,13,5,0,66
102,0,0,0,0,8,15,12,19,4,60,0,4,0,39,23,15,27,9,0,119,0,6,7,17,3,4,0,0,0,43,5,20,24,55,20,8,0,0,0,139,0,0,0,0,4,10,3,0,0,23,0,0,0,10,19,8,5,10,0,56,8,55,46,138,101,96,70,22,4,539,6,16,8,46,30,13,6,3,0,125,0,9,3,36,43,47,62,37,12,251,0,11,11,58,27,27,10,0,3,141,16,73,89,526,377,353,426,283,80,2228,404,894,969,2208,1381,1485,1359,926,532,10156,9887,21280,19382,36279,21054,20057,17251,9718,3866,158768,0,0,3,3,0,3,0,0,0,11,8754,18152,16711,30321,16702,16349,13349,8117,4254,132713,0,3,7,20,3,0,0,0,0,31,0,0,0,4,7,7,6,5,0,29,0,0,0,23,6,7,4,0,0,41,0,19,25,101,60,43,28,4,3,284,0,3,0,32,35,26,46,13,8,157
103,0,0,0,0,11,8,10,12,0,40,0,10,5,31,18,9,0,0,0,75,0,0,6,6,7,3,0,0,0,17,0,6,11,28,3,0,0,0,0,53,0,0,0,4,3,3,3,3,0,16,0,0,0,11,4,0,0,0,0,15,0,23,18,36,27,24,28,5,3,153,0,3,5,62,18,7,0,0,0,104,0,0,0,9,17,10,22,8,0,68,0,12,4,28,12,12,3,0,0,74,7,32,43,180,105,136,144,99,22,764,420,909,1073,2008,1383,1397,1360,764,271,9589,6828,14268,12666,23190,13358,13438,11313,5812,1824,102700,0,0,0,6,0,0,0,0,0,6,5994,12128,10516,19443,10939,10646,8542,5113,2450,85782,0,3,4,23,0,0,0,0,0,38,0,0,0,4,3,4,4,0,0,10,0,0,0,14,0,4,0,0,0,23,0,8,10,46,23,13,10,6,0,121,0,0,0,0,3,6,3,0,0,14
104,0,0,0,0,0,4,3,3,3,15,0,0,0,10,7,3,7,3,0,29,0,0,9,34,3,3,0,0,0,54,0,10,15,15,0,0,0,0,0,42,0,0,0,0,0,0,3,0,0,3,0,0,0,3,5,0,0,0,0,10,0,12,3,38,28,39,60,7,3,185,0,0,0,13,7,5,0,0,0,30,0,0,0,15,9,11,14,7,6,73,0,0,0,17,8,12,10,0,0,49,11,90,87,167,121,97,127,66,24,788,200,483,525,1062,714,972,806,492,175,5437,3662,8570,7326,13209,8529,10403,8799,4559,1528,66583,0,11,23,24,12,3,0,0,0,72,3168,7269,5935,11225,7541,8459,6557,3865,1839,55865,0,0,0,3,0,0,0,0,0,4,0,0,0,3,3,3,0,0,0,9,0,3,3,5,0,0,0,0,0,8,0,0,0,39,19,28,22,4,4,121,0,0,0,9,4,3,4,0,0,20
105,0,0,0,0,3,5,10,14,0,28,0,14,7,33,13,5,4,3,0,84,0,0,0,9,0,0,0,0,0,5,0,5,0,3,4,0,0,0,0,14,0,0,0,0,0,0,3,4,0,4,0,0,0,4,3,0,0,0,0,7,0,10,3,15,9,12,11,3,0,63,4,0,5,15,3,3,4,0,0,30,0,0,0,0,0,0,4,0,0,10,0,11,6,12,10,4,3,0,0,43,6,16,15,85,41,49,73,44,11,343,303,562,556,1375,873,939,804,396,154,5958,3862,7686,6610,13040,7369,7720,6055,3100,1033,56474,0,0,0,0,0,0,0,0,0,0,3437,6580,5583,11034,6200,6206,4537,2943,1387,47902,3,0,7,27,4,0,0,0,0,41,0,0,0,0,3,0,0,0,0,4,0,0,0,4,0,0,0,0,0,7,0,3,8,10,10,3,3,0,0,36,0,0,0,4,0,4,0,0,0,9
106,0,0,0,0,8,7,13,7,3,44,0,5,0,33,8,12,3,0,0,57,0,3,0,17,0,0,0,0,0,21,7,15,18,21,3,4,0,0,0,67,0,0,0,0,3,0,5,0,0,10,0,0,4,6,4,7,0,0,0,28,11,32,23,55,39,30,36,13,0,234,0,8,12,47,16,10,0,0,0,89,0,0,3,17,31,23,37,11,10,129,0,11,10,47,28,11,3,3,0,113,10,33,39,234,125,155,159,92,31,870,440,979,906,2257,1380,1422,1307,679,261,9643,8819,18541,16065,31663,17085,16557,13615,6416,1877,130635,0,0,0,0,0,0,0,0,0,0,7940,16036,14057,27266,14356,13693,10275,5500,2504,111641,0,0,0,23,0,3,0,0,0,29,0,0,0,0,4,3,0,0,0,7,0,0,0,11,0,0,0,0,0,10,5,11,11,71,31,15,17,6,4,160,0,0,0,8,8,8,6,3,3,46
107,0,0,3,34,50,64,63,75,17,312,0,8,37,69,20,26,7,4,3,181,3,0,10,28,4,3,0,0,0,51,3,30,65,97,12,3,0,3,0,222,0,3,19,147,371,459,543,238,52,1840,0,9,11,88,138,49,52,34,3,381,7,31,63,122,72,53,54,10,6,422,4,16,87,132,80,98,38,17,6,473,0,5,7,28,81,99,67,49,13,345,0,3,11,37,16,6,4,0,0,75,72,226,284,852,596,628,554,405,178,3798,373,682,938,2052,1220,1238,1076,701,278,8567,8989,18604,20585,35893,18897,17511,13576,7707,2721,144488,0,0,3,4,3,0,6,0,0,16,7901,16021,16441,28432,13634,12194,8196,4812,2591,110218,0,4,13,31,6,0,0,0,0,54,0,3,6,64,34,39,28,28,7,202,0,3,0,18,7,4,0,0,0,35,5,17,26,127,49,37,22,5,3,285,0,0,6,65,86,58,109,40,11,375
108,0,0,0,3,3,9,11,9,0,42,0,3,4,9,13,6,10,0,0,42,0,3,3,17,0,0,0,0,0,18,4,12,10,10,4,0,0,0,0,42,0,0,0,0,0,3,0,0,0,9,0,0,0,3,6,0,0,0,0,14,6,30,14,56,37,34,56,24,4,252,0,0,0,17,9,6,0,0,0,34,0,0,0,11,18,19,25,19,3,100,0,0,5,12,9,15,9,4,0,55,5,26,27,150,108,157,210,127,47,868,291,631,686,1400,1188,1476,1570,981,418,8643,5266,12466,10322,18183,13038,15954,16324,8711,3030,103296,0,0,0,0,0,0,0,0,0,0,4684,11086,8956,16555,11343,13646,12368,7081,3463,89180,0,0,0,12,0,0,0,0,0,11,0,0,0,0,0,0,3,0,0,7,0,0,0,7,3,3,0,0,0,16,4,3,5,48,28,28,18,10,3,149,0,0,0,14,7,6,10,3,0,41
109,0,0,0,0,3,3,4,3,0,21,3,7,0,43,11,8,3,0,0,75,0,0,5,30,0,0,0,0,0,37,3,7,8,3,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,12,3,10,9,21,12,13,14,3,0,79,0,4,4,7,6,0,0,0,0,20,0,0,0,11,4,7,13,3,0,47,0,0,0,11,5,0,0,0,0,21,4,30,26,168,80,70,87,57,26,552,210,475,531,1082,692,837,793,480,199,5306,3588,7341,6695,12253,7264,8087,6909,3652,1264,57060,0,0,0,3,0,0,0,0,0,3,3039,6489,5751,10523,6196,6585,5228,3040,1449,48296,3,3,3,31,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,6,0,0,0,3,0,0,0,0,0,3,0,0,4,11,4,7,0,0,0,34,0,0,0,0,3,0,4,0,0,6
110,0,0,0,0,3,0,8,5,0,16,0,11,7,41,12,7,0,0,0,80,0,0,17,75,0,0,0,0,0,96,3,6,12,15,5,3,0,0,0,38,0,0,0,0,0,3,0,0,0,3,0,0,0,7,3,3,0,0,0,13,8,11,29,55,40,38,32,20,5,247,3,5,16,43,6,3,0,0,0,75,0,3,4,5,11,6,11,13,0,56,0,0,3,19,9,7,3,0,0,49,18,63,54,221,71,72,78,50,5,634,413,838,957,1868,1196,1366,1190,689,225,8756,5884,12217,11223,19651,11444,12152,9980,5229,1470,89260,0,0,0,0,0,0,0,0,0,3,5143,10696,9387,16806,9726,9954,7998,4770,2125,76603,0,3,5,33,3,7,0,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,11,29,15,19,8,3,4,96,0,0,0,6,5,3,3,0,0,12
