SA4_CODE_2016,O_OR_DS_Sep_house,O_OR_DS_SemiD_ro_or_tce_h_th,O_OR_DS_Flat_apart,O_OR_DS_Oth_dwell,O_OR_DS_not_stated,O_OR_Total,O_MTG_DS_Sep_house,O_MTG_DS_SemiD_ro_or_tce_h_th,O_MTG_DS_Flat_apart,O_MTG_DS_Oth_dwell,O_MTG_DS_not_stated,O_MTG_Total,R_RE_Agt_DS_Sep_house,R_RE_Ag_DS_SemD_ro_or_tc_h_th,R_RE_Agt_DS_Flat_apart,R_RE_Agt_DS_Oth_dwell,R_RE_Agt_DS_not_stated,R_RE_Agt_Total,R_ST_h_auth_DS_Sep_house,R_ST_h_au_DS_SD_ro_or_tc_h_th,R_ST_h_auth_DS_Flat_apart,R_ST_h_auth_DS_Oth_dwell,R_ST_h_auth_DS_not_stated,R_ST_h_auth_Total,R_Psn_not_in_s_hh_DS_Sep_hous,R_P_not_in_s_h_DS_SD_ro_t_h_t,R_P_not_in_s_hh_DS_Flat_apart,R_Psn_not_in_s_hh_DS_Oth_dwel,R_Psn_not_in_s_hh_DS_NS,R_Psn_not_in_s_hh_Total,R_Hs_cop_cty_ch_gp_DS_Sp_ho,R_Hs_c_ct_ch_g_DS_SD_ro_t_h_t,R_Hse_cp_cty_ch_g_DS_Flt_apt,R_Hs_cop_cty_ch_gp_DS_Ot_dwel,R_Hse_coop_cty_ch_gp_DS_NS,R_Hse_coop_cty_ch_gp_Total,R_Ot_landld_typ_DS_Sep_house,R_O_LLd_typ_DS_SD_ro_tc_h_th,R_Ot_LLd_typ_DS_Flat_apart,R_Ot_landld_typ_DS_Oth_dwell,R_Ot_landld_typ_DS_not_stated,R_Ot_landld_typ_Total,R_Landld_typ_NS_DS_Sep_house,R_Ld_typ_NS_DS_SD_ro_tce_h_th,R_LLd_typ_NS_DS_Flat_apart,R_Landld_typ_NS_DS_Oth_dwell,R_Landld_typ_NS_DS_not_stated,R_Landld_typ_NS_Total,R_Tot_DS_Sep_house,R_Tot_DS_SemiD_ro_or_tce_h_th,R_Tot_DS_Flat_apart,R_Tot_DS_Oth_dwell,R_Tot_DS_not_stated,R_Tot_Total,Oth_ten_type_DS_Sep_house,Oth_ten_ty_DS_SD_ro_tce_h_th,Oth_ten_type_DS_Flat_apart,Oth_ten_type_DS_Oth_dwell,Oth_ten_type_DS_not_stated,Oth_ten_type_Total,Ten_type_NS_DS_Sep_house,Ten_ty_NS_DS_SD_ro_tce_h_t,Ten_ty_NS_DS_Flat_apart,Ten_type_NS_DS_Oth_dwell,Ten_type_NS_DS_not_stated,Ten_type_NS_Total,Total_DS_Sep_house,Total_DS_SemiD_ro_or_tce_h_th,Total_DS_Flat_apart,Total_DS_Oth_dwell,Total_DS_not_stated,Total_Total
101,28446,1775,689,517,208,31629,24424,1240,607,137,176,26583,5921,2265,2432,77,47,10742,1520,400,265,6,9,2195,4105,609,502,81,85,5378,221,197,114,0,3,530,921,97,92,119,77,1307,527,59,32,17,24,654,13216,3624,3434,301,244,20814,453,216,58,22,21,766,1827,299,221,75,85,2513,68358,7159,5001,1043,739,82309
102,34384,5099,2128,328,95,42039,37813,2051,1114,117,54,41151,13136,3560,3550,345,135,20722,1300,1416,855,10,8,3583,4501,719,576,95,52,5941,161,291,196,0,11,669,589,110,66,170,30,956,371,94,64,14,8,551,20058,6187,5306,631,246,32423,438,990,298,9,18,1748,2371,704,406,63,135,3684,95068,15026,9260,1150,545,121048
103,26103,792,246,338,203,27681,22373,359,110,188,149,23185,7806,1931,1225,59,60,11075,1961,488,317,0,5,2778,4198,307,203,52,66,4830,263,96,103,0,72,531,795,40,58,74,40,1003,532,43,29,17,13,636,15551,2907,1935,208,257,20854,402,63,40,18,29,549,1913,193,133,66,160,2470,66348,4324,2466,819,791,74746
104,17880,1245,693,785,128,20736,13238,573,335,87,88,14317,4614,1455,1698,42,69,7877,806,405,353,0,7,1576,2714,409,395,68,64,3640,222,165,52,3,3,446,311,57,43,213,26,653,231,42,22,12,13,320,8887,2533,2563,341,184,14516,315,94,38,17,12,476,1056,188,178,85,66,1574,41380,4640,3813,1318,467,51614
105,14229,205,205,316,102,15046,11235,125,62,125,70,11622,3428,619,743,49,32,4864,1305,146,277,5,16,1755,2782,121,158,55,34,3152,558,62,141,0,12,771,1140,57,157,48,31,1433,460,12,37,9,8,530,9677,1018,1513,167,133,12503,324,32,123,28,9,519,1261,42,120,80,41,1547,36730,1421,2022,722,351,41240
106,28174,2001,380,459,254,31269,31217,964,167,92,102,32540,11528,3560,1188,57,83,16419,2106,796,339,3,7,3253,3727,479,181,49,35,4465,138,178,52,0,8,377,1193,119,34,158,44,1555,426,46,23,9,10,516,19118,5179,1815,284,188,26583,504,272,28,8,71,872,1852,329,128,152,173,2628,80868,8736,2512,986,789,93894
107,31104,3272,2363,454,175,37380,29339,2549,1880,65,88,33917,7008,3553,5833,125,88,16606,3275,2002,1689,9,7,6981,2982,869,1059,66,42,5017,127,183,179,10,7,507,264,89,117,92,18,573,240,70,105,10,7,436,13895,6768,8993,314,166,30129,293,308,289,13,67,978,1724,443,511,65,151,2891,76356,13339,14037,920,644,105288
108,30973,2917,1384,1182,204,36652,19775,822,475,106,120,21292,7331,2133,2676,120,82,12349,1209,538,648,6,5,2403,3639,491,487,79,52,4752,289,248,156,3,5,698,393,89,73,254,40,845,423,43,60,18,8,552,13283,3551,4095,482,196,21601,452,378,213,15,19,1079,1833,367,317,127,76,2727,66319,8031,6484,1907,608,83341
109,14922,647,228,302,56,16155,12867,375,69,40,44,13401,4109,2069,779,39,31,7026,729,195,63,0,14,1001,2309,318,126,44,29,2831,177,102,55,0,7,340,607,48,56,76,18,804,310,18,22,13,3,366,8238,2747,1104,179,100,12365,383,57,18,25,10,487,1106,165,95,41,22,1436,37520,3985,1514,590,234,43846
110,23014,490,155,309,137,24104,18090,233,77,120,113,18626,7129,1869,1252,102,63,10418,1443,313,408,105,15,2285,4188,241,241,60,60,4790,402,116,155,3,32,707,1377,47,78,112,30,1644,731,53,32,21,16,849,15265,2639,2166,399,214,20696,500,56,26,16,18,610,1787,197,170,70,45,2273,58659,3610,2595,907,536,66307
