SA4_CODE_2016,I_4000more_1AW_OthNW,I_4000more_BNW,I_4000more_LFsta_NS,I_4000more_Tot,Part_inc_stated_BE_WFT,Part_inc_stated_BE_WPT,Part_inc_stated_BE_BAW,Part_inc_stated_1EFT_OthPT,Part_inc_stated_1EFT_OthAW,Part_inc_stated_1EFT_OthNW,Part_inc_stated_1EPT_OthAW,Part_inc_stated_1EPT_OthNW,Part_inc_stated_1AW_OthNW,Part_inc_stated_BNW,Part_inc_stated_LFsta_NS,Part_inc_stated_Tot,All_inc_NS_BE_WFT,All_inc_NS_BE_WPT,All_inc_NS_BE_BAW,All_inc_NS_1EFT_OthPT,All_inc_NS_1EFT_OthAW,All_inc_NS_1EFT_OthNW,All_inc_NS_1EPT_OthAW,All_inc_NS_1EPT_OthNW,All_inc_NS_1AW_OthNW,All_inc_NS_BNW,All_inc_NS_LFsta_NS,All_inc_NS_Tot,Tot_BE_WFT,Tot_BE_WPT,Tot_BE_BAW,Tot_1EFT_OthPT,Tot_1EFT_OthAW,Tot_1EFT_OthNW,Tot_1EPT_OthAW,Tot_1EPT_OthNW,Tot_1AW_OthNW,Tot_BNW,Tot_LFsta_NS,Tot_Tot
101,15,94,4,1267,66,10,5,47,8,45,8,37,20,237,1327,1813,36,10,11,20,3,15,0,14,8,241,184,533,4870,1215,216,3236,347,2170,202,1935,344,9944,1709,26193
102,12,162,3,1195,60,18,6,42,10,67,4,39,11,310,1482,2051,28,17,11,21,14,17,3,15,15,391,268,799,5376,1280,219,3822,340,2989,201,2352,324,14610,1990,33499
103,9,75,3,857,38,15,3,35,15,76,7,39,10,215,947,1399,41,11,15,22,3,17,3,11,16,268,167,585,4247,919,207,3079,281,2047,148,1511,260,7527,1267,21493
104,3,48,0,361,32,12,0,29,5,21,5,13,4,165,755,1048,9,8,10,10,0,9,0,12,4,166,104,332,1964,857,109,1917,146,1219,135,1312,185,7552,975,16370
105,3,34,0,427,42,3,5,17,5,35,3,14,6,96,622,850,38,6,17,13,3,14,0,8,4,146,129,380,2815,421,121,1492,154,1074,81,730,127,3681,840,11538
106,5,110,4,1026,56,11,3,41,16,59,12,45,11,218,1272,1748,35,11,14,32,6,22,3,14,9,316,161,623,4751,1064,171,3551,364,2622,220,1889,324,11145,1594,27694
107,9,120,9,1183,48,11,5,44,6,62,5,30,14,275,1310,1814,22,4,4,19,3,13,3,4,8,280,208,574,4788,985,151,3196,350,2527,190,1978,326,12449,1699,28632
108,10,113,3,619,29,16,9,35,3,46,9,49,9,327,1201,1731,26,7,16,20,7,9,3,17,7,393,230,742,2910,1299,207,2750,253,1794,216,2135,336,14699,1618,28224
109,3,45,4,406,27,7,3,28,4,30,3,24,11,124,670,926,21,5,17,20,7,12,3,10,13,192,120,414,2402,573,126,1928,194,1160,120,970,188,4760,910,13324
110,0,63,7,664,44,19,10,33,13,51,14,38,7,163,925,1308,71,12,18,23,5,24,0,15,12,221,175,572,4090,900,202,2815,275,1748,152,1300,208,6610,1279,19583
