SA4_CODE_2016,F_400_499_15_19_yrs,F_400_499_20_24_yrs,F_400_499_25_34_yrs,F_400_499_35_44_yrs,F_400_499_45_54_yrs,F_400_499_55_64_yrs,F_400_499_65_74_yrs,F_400_499_75_84_yrs,F_400_499_85ov,F_400_499_Tot,F_500_649_15_19_yrs,F_500_649_20_24_yrs,F_500_649_25_34_yrs,F_500_649_35_44_yrs,F_500_649_45_54_yrs,F_500_649_55_64_yrs,F_500_649_65_74_yrs,F_500_649_75_84_yrs,F_500_649_85ov,F_500_649_Tot,F_650_799_15_19_yrs,F_650_799_20_24_yrs,F_650_799_25_34_yrs,F_650_799_35_44_yrs,F_650_799_45_54_yrs,F_650_799_55_64_yrs,F_650_799_65_74_yrs,F_650_799_75_84_yrs,F_650_799_85ov,F_650_799_Tot,F_800_999_15_19_yrs,F_800_999_20_24_yrs,F_800_999_25_34_yrs,F_800_999_35_44_yrs,F_800_999_45_54_yrs,F_800_999_55_64_yrs,F_800_999_65_74_yrs,F_800_999_75_84_yrs,F_800_999_85ov,F_800_999_Tot,F_1000_1249_15_19_yrs,F_1000_1249_20_24_yrs,F_1000_1249_25_34_yrs,F_1000_1249_35_44_yrs,F_1000_1249_45_54_yrs,F_1000_1249_55_64_yrs,F_1000_1249_65_74_yrs,F_1000_1249_75_84_yrs,F_1000_1249_85ov,F_1000_1249_Tot,F_1250_1499_15_19_yrs,F_1250_1499_20_24_yrs,F_1250_1499_25_34_yrs,F_1250_1499_35_44_yrs,F_1250_1499_45_54_yrs,F_1250_1499_55_64_yrs,F_1250_1499_65_74_yrs,F_1250_1499_75_84_yrs,F_1250_1499_85ov,F_1250_1499_Tot,F_1500_1749_15_19_yrs,F_1500_1749_20_24_yrs,F_1500_1749_25_34_yrs,F_1500_1749_35_44_yrs,F_1500_1749_45_54_yrs,F_1500_1749_55_64_yrs,F_1500_1749_65_74_yrs,F_1500_1749_75_84_yrs,F_1500_1749_85ov,F_1500_1749_Tot,F_1750_1999_15_19_yrs,F_1750_1999_20_24_yrs,F_1750_1999_25_34_yrs,F_1750_1999_35_44_yrs,F_1750_1999_45_54_yrs,F_1750_1999_55_64_yrs,F_1750_1999_65_74_yrs,F_1750_1999_75_84_yrs,F_1750_1999_85ov,F_1750_1999_Tot,F_2000_2999_15_19_yrs,F_2000_2999_20_24_yrs,F_2000_2999_25_34_yrs,F_2000_2999_35_44_yrs,F_2000_2999_45_54_yrs,F_2000_2999_55_64_yrs,F_2000_2999_65_74_yrs,F_2000_2999_75_84_yrs,F_2000_2999_85ov,F_2000_2999_Tot,F_3000_more_15_19_yrs,F_3000_more_20_24_yrs,F_3000_more_25_34_yrs,F_3000_more_35_44_yrs,F_3000_more_45_54_yrs,F_3000_more_55_64_yrs,F_3000_more_65_74_yrs,F_3000_more_75_84_yrs,F_3000_more_85ov,F_3000_more_Tot,F_PI_NS_15_19_yrs,F_PI_NS_ns_20_24_yrs,F_PI_NS_ns_25_34_yrs,F_PI_NS_ns_35_44_yrs,F_PI_NS_ns_45_54_yrs,F_PI_NS_ns_55_64_yrs,F_PI_NS_ns_65_74_yrs,F_PI_NS_ns_75_84_yrs,F_PI_NS_ns_85_yrs_ovr,F_PI_NS_ns_Tot,F_Tot_15_19_yrs,F_Tot_20_24_yrs,F_Tot_25_34_yrs,F_Tot_35_44_yrs,F_Tot_45_54_yrs,F_Tot_55_64_yrs,F_Tot_65_74_yrs,F_Tot_75_84_yrs,F_Tot_85ov,F_Tot_Tot,P_Neg_Nil_income_15_19_yrs,P_Neg_Nil_income_20_24_yrs,P_Neg_Nil_income_25_34_yrs,P_Neg_Nil_income_35_44_yrs,P_Neg_Nil_income_45_54_yrs,P_Neg_Nil_income_55_64_yrs,P_Neg_Nil_income_65_74_yrs,P_Neg_Nil_income_75_84_yrs,P_Negtve_Nil_incme_85_yrs_ovr,P_Neg_Nil_income_Tot,P_1_149_15_19_yrs,P_1_149_20_24_yrs,P_1_149_25_34_yrs,P_1_149_35_44_yrs,P_1_149_45_54_yrs,P_1_149_55_64_yrs,P_1_149_65_74_yrs,P_1_149_75_84_yrs,P_1_149_85ov,P_1_149_Tot,P_150_299_15_19_yrs,P_150_299_20_24_yrs,P_150_299_25_34_yrs,P_150_299_35_44_yrs,P_150_299_45_54_yrs,P_150_299_55_64_yrs,P_150_299_65_74_yrs,P_150_299_75_84_yrs,P_150_299_85ov,P_150_299_Tot,P_300_399_15_19_yrs,P_300_399_20_24_yrs,P_300_399_25_34_yrs,P_300_399_35_44_yrs,P_300_399_45_54_yrs,P_300_399_55_64_yrs,P_300_399_65_74_yrs,P_300_399_75_84_yrs,P_300_399_85ov,P_300_399_Tot,P_400_499_15_19_yrs,P_400_499_20_24_yrs,P_400_499_25_34_yrs,P_400_499_35_44_yrs,P_400_499_45_54_yrs,P_400_499_55_64_yrs,P_400_499_65_74_yrs,P_400_499_75_84_yrs,P_400_499_85ov,P_400_499_Tot,P_500_649_15_19_yrs,P_500_649_20_24_yrs,P_500_649_25_34_yrs,P_500_649_35_44_yrs,P_500_649_45_54_yrs,P_500_649_55_64_yrs,P_500_649_65_74_yrs,P_500_649_75_84_yrs,P_500_649_85ov,P_500_649_Tot,P_650_799_15_19_yrs,P_650_799_20_24_yrs,P_650_799_25_34_yrs,P_650_799_35_44_yrs,P_650_799_45_54_yrs,P_650_799_55_64_yrs,P_650_799_65_74_yrs,P_650_799_75_84_yrs,P_650_799_85ov,P_650_799_Tot,P_800_999_15_19_yrs,P_800_999_20_24_yrs,P_800_999_25_34_yrs,P_800_999_35_44_yrs,P_800_999_45_54_yrs,P_800_999_55_64_yrs,P_800_999_65_74_yrs,P_800_999_75_84_yrs,P_800_999_85ov,P_800_999_Tot
101,287,509,759,969,1138,1510,2304,1656,807,9936,249,751,1236,1186,1478,1511,1474,654,353,8893,142,708,1334,1305,1643,1351,912,369,156,7915,75,556,1215,1187,1550,1354,653,234,105,6921,29,383,1153,1173,1491,1253,467,157,69,6164,8,162,903,948,1124,867,226,54,33,4324,5,47,661,905,1009,728,168,42,23,3587,0,12,324,591,728,491,99,28,10,2280,0,8,309,883,1080,558,129,44,16,3035,10,13,72,260,395,246,104,41,21,1165,783,440,965,983,1239,1391,1448,1167,966,9381,6167,5022,11293,12921,16013,16485,13050,6822,3295,91060,4538,590,951,941,1156,2014,926,277,120,11518,2904,420,468,489,608,1070,745,273,92,7064,1130,981,1168,1107,1460,2489,2501,1114,265,12214,544,727,1036,1233,1728,2827,5199,3113,866,17267,663,888,1130,1453,1901,2750,4179,2648,1125,16740,570,1383,1832,1761,2287,2628,2771,1327,519,15071,348,1490,2385,2189,2724,2642,1994,842,292,14905,191,1309,2754,2488,3130,3031,1673,534,190,15307
102,420,962,1457,1510,1875,2263,4164,3188,1707,17550,307,1249,2152,2208,2361,2171,2299,1240,796,14782,155,1267,2185,2199,2455,2058,1346,619,280,12570,55,923,2152,2100,2511,1989,716,373,174,11008,12,479,1866,1851,2124,1674,596,213,129,8948,6,149,1243,1273,1329,968,278,61,38,5353,3,44,816,1005,1135,793,175,61,26,4052,0,6,392,773,848,622,103,29,18,2787,0,7,308,812,845,545,133,53,18,2731,14,21,80,287,333,242,119,74,33,1202,802,618,1116,1196,1441,1492,1814,1852,1738,12070,9808,8908,18037,20343,22575,22308,19339,11976,6407,139707,8225,1385,1742,1951,2193,3188,1387,554,228,20840,4558,1140,831,984,938,1296,905,354,135,11137,2035,2108,1971,2046,2204,3070,3147,1699,626,18916,961,1478,1813,2051,2462,3811,8030,5421,1682,27707,984,1736,2123,2214,2861,3670,6835,4975,2476,27871,798,2388,3011,2961,3288,3499,4202,2293,1148,23588,366,2543,3849,3395,3847,3538,2703,1330,541,22112,167,2069,4644,4067,4712,4026,1899,731,308,22635
103,274,550,949,963,1113,1226,2149,1741,919,9885,217,760,1334,1388,1393,1220,1103,577,355,8353,113,755,1418,1301,1441,1119,693,334,133,7305,49,512,1127,1171,1373,1077,473,180,105,6064,9,340,1103,1011,1216,955,367,175,70,5251,0,152,764,665,828,575,155,61,15,3208,3,47,470,637,661,546,111,48,14,2534,0,16,222,470,511,399,91,27,14,1754,0,12,221,491,544,375,87,21,13,1761,5,7,49,147,197,159,90,43,22,727,890,571,960,1047,1268,1287,1445,1133,679,9282,6398,5590,11515,12040,13652,13329,11170,6696,3247,83644,5204,636,982,955,1120,1830,847,362,195,12127,2519,573,512,510,578,792,557,237,81,6355,1184,1374,1534,1285,1493,2128,2112,1021,288,12423,584,828,1222,1310,1774,2434,4688,2991,1015,16842,646,909,1368,1416,1832,2220,3926,2778,1304,16399,565,1341,1913,1919,2044,2099,2171,1090,510,13648,294,1559,2389,2044,2344,2191,1540,744,236,13347,143,1271,2566,2293,2726,2424,1172,388,168,13158
104,168,355,611,713,901,1181,1810,1277,621,7640,125,451,923,965,1110,1120,994,489,284,6463,32,415,855,915,1155,999,599,283,113,5376,19,230,678,825,1005,888,348,150,76,4219,8,110,480,637,793,669,241,117,58,3122,0,53,328,415,508,397,118,25,5,1850,0,10,186,317,400,355,71,22,15,1381,0,10,106,220,293,284,35,15,9,964,0,7,90,214,266,198,57,19,8,853,3,7,35,76,99,83,42,35,10,387,485,263,538,575,758,831,873,826,703,5837,3863,2963,6535,7695,9637,10882,8834,5139,2526,58077,2961,353,559,607,815,1330,484,203,84,7393,1924,298,281,305,451,702,383,134,43,4526,899,842,1037,981,1204,2118,1694,779,236,9793,369,539,843,937,1415,2412,4271,2616,777,14181,370,631,959,1137,1519,2221,3274,2085,889,13081,303,833,1390,1390,1656,1932,1903,949,409,10763,104,911,1639,1584,1900,1947,1286,587,224,10177,57,592,1590,1654,2014,1981,891,358,125,9261
105,156,331,547,467,601,737,1050,880,421,5194,119,486,851,688,712,657,520,286,157,4461,59,409,814,670,730,682,359,168,60,3954,34,302,714,656,774,644,237,95,41,3503,9,228,719,524,739,534,185,67,34,3038,3,87,505,399,390,297,61,32,15,1774,0,28,321,321,419,259,55,15,7,1426,0,8,184,259,286,229,39,10,5,1026,0,6,155,252,288,238,44,9,6,991,4,13,42,90,101,84,43,24,13,418,448,391,800,680,841,871,831,722,464,6047,3171,3184,7181,6444,7539,7581,5769,3652,1708,46226,2439,323,557,490,600,949,428,177,53,6024,1214,265,284,241,301,411,285,120,26,3146,613,681,890,822,1010,1249,1112,514,165,7045,275,441,713,776,959,1490,2619,1788,600,9661,350,563,824,750,1024,1368,1957,1436,620,8897,293,841,1186,1003,1147,1152,1101,547,230,7501,160,821,1479,1171,1302,1269,790,336,127,7466,86,668,1517,1236,1513,1391,569,208,73,7262
106,317,842,1342,1335,1515,1721,2763,1955,1060,12862,294,1076,1957,1820,1950,1583,1373,661,350,11069,146,1108,1987,1879,1936,1373,819,405,113,9763,43,772,1753,1634,1807,1315,551,210,72,8156,20,399,1515,1402,1570,1083,377,128,63,6553,11,109,862,842,933,564,158,53,16,3527,0,47,528,723,758,532,106,28,12,2743,0,17,272,480,503,367,80,18,6,1740,0,14,301,537,569,332,86,27,12,1881,4,11,91,185,212,141,94,32,19,794,789,536,1244,1134,1293,1360,1479,1205,790,9824,7993,7437,16078,16340,17691,17015,13703,7261,3341,106875,6378,920,1594,1622,1831,2821,984,308,143,16604,3709,703,717,803,843,1116,683,189,59,8821,1633,1719,1955,1819,1860,2789,2607,1148,285,15822,804,1180,1675,1769,2146,3310,6384,3424,963,21659,729,1383,1863,1902,2291,2847,4845,3087,1458,20404,711,1841,2597,2400,2652,2604,2808,1315,516,17434,439,2132,3102,2773,2909,2513,1789,868,206,16735,167,1736,3608,3019,3324,2812,1404,486,144,16696
107,322,1005,1382,1342,1632,1875,2849,2474,1539,14413,251,1331,1951,2031,1950,1700,1557,792,450,12005,131,1161,1956,2075,2006,1480,936,461,191,10388,52,841,1997,1847,1960,1479,585,216,125,9104,11,582,1916,1750,1831,1354,418,198,79,8143,4,203,1406,1213,1206,794,189,45,27,5089,3,66,944,1009,1045,732,117,38,16,3963,0,12,452,733,754,580,94,22,11,2659,3,12,391,880,845,529,102,30,14,2813,9,16,85,305,323,213,92,41,15,1102,688,635,1085,989,1122,1227,1333,1203,871,9157,9264,9989,18027,18770,19629,18721,14464,9355,4612,122829,8175,2406,2348,1861,1932,2817,1099,470,235,21343,4346,1471,791,873,904,1168,823,310,105,10797,2035,2886,2239,1828,2127,2926,2588,1607,516,18761,857,1843,1736,1924,2348,3456,6585,4848,1510,25097,871,1837,2182,1972,2514,3000,4781,3832,2159,23156,704,2424,2896,2652,2700,2775,3040,1524,664,19377,321,2388,3314,3040,3046,2540,1918,947,341,17853,139,1897,3986,3392,3504,3042,1461,462,206,18075
108,215,528,873,1048,1416,1910,3378,2390,1159,12920,158,650,1314,1387,1726,1730,1892,915,520,10299,54,556,1159,1344,1634,1498,1038,539,246,8065,31,297,888,1141,1428,1314,602,284,128,6111,10,166,693,854,1088,966,430,203,106,4511,3,75,440,529,691,574,177,64,20,2566,0,18,297,400,589,449,98,28,15,1884,0,8,113,337,446,364,63,23,8,1367,0,3,85,288,336,325,89,35,18,1177,6,14,46,110,149,132,98,47,27,631,700,373,715,801,1109,1384,1764,1565,1443,9865,5706,4197,8973,10824,14187,17167,16619,9547,4718,91932,4441,447,692,793,1173,2258,881,336,175,11189,2784,434,402,485,635,1188,684,258,97,6966,1165,1162,1442,1448,1891,3487,3200,1451,394,15645,547,794,1244,1419,2313,3999,8307,4964,1326,24910,523,928,1344,1691,2474,3573,6060,3968,1725,22289,401,1224,1879,1997,2571,3010,3630,1774,786,17274,163,1171,2152,2264,2860,2842,2223,1153,440,15278,66,768,2052,2262,2906,2855,1581,596,246,13334
109,141,333,510,535,668,804,1258,914,486,5656,136,465,780,735,763,883,776,418,234,5188,61,414,800,684,808,724,460,213,77,4248,33,296,766,707,897,744,268,152,113,3972,8,163,546,639,700,578,197,95,42,2962,0,49,406,400,483,350,92,38,7,1827,3,16,243,329,375,253,55,15,5,1301,3,4,105,228,251,190,39,11,6,837,0,4,80,205,251,200,43,22,7,817,7,6,21,85,119,101,54,35,12,438,397,336,582,575,653,835,859,794,484,5510,3393,3128,6358,6635,7578,8236,6811,4140,1939,48220,2421,329,506,510,568,993,509,209,91,6140,1637,264,240,263,320,457,338,130,61,3701,621,737,769,703,794,1255,1278,633,234,7021,310,477,638,718,878,1440,2880,1872,512,9726,378,570,755,768,1059,1379,2236,1533,722,9395,345,856,1083,1046,1170,1441,1546,788,335,8609,164,913,1437,1167,1368,1376,1007,432,145,8020,87,735,1721,1457,1738,1633,727,309,186,8593
110,236,558,854,822,947,1163,1863,1567,744,8767,226,755,1287,1143,1214,1158,971,533,357,7646,113,678,1321,1253,1342,1041,681,293,134,6860,51,406,1091,1108,1261,1085,434,184,107,5725,16,246,877,899,1033,860,326,141,61,4461,3,106,619,563,615,514,163,57,16,2658,3,32,395,490,550,420,121,32,17,2045,0,4,217,348,409,334,93,11,17,1441,0,8,161,347,438,310,91,51,14,1415,12,11,59,116,180,143,65,51,17,654,768,577,955,937,1184,1286,1239,1067,655,8671,5599,5270,10370,10454,11957,12279,9993,6054,2780,74766,4226,702,894,794,981,1485,695,231,98,10101,2319,516,422,453,546,672,489,163,75,5651,1230,1489,1320,1293,1493,2126,1830,908,220,11910,519,780,1153,1180,1532,2263,4331,2830,749,15342,560,878,1258,1283,1615,2123,3410,2490,1044,14658,498,1278,1873,1646,1829,2011,1896,1018,482,12530,302,1452,2420,2037,2310,2068,1387,613,209,12811,137,1123,2537,2291,2600,2380,1080,393,163,12707
