SA4_CODE_2016,Buddhism_M,Buddhism_F,Buddhism_P,Christianity_Anglican_M,Christianity_Anglican_F,Christianity_Anglican_P,Christianity_Asyrin_Apstlic_M,Christianity_Asyrin_Apstlic_F,Christianity_Asyrin_Apstlic_P,Christianity_Baptist_M,Christianity_Baptist_F,Christianity_Baptist_P,Christianity_Brethren_M,Christianity_Brethren_F,Christianity_Brethren_P,Christianity_Catholic_M,Christianity_Catholic_F,Christianity_Catholic_P,Christianity_Church_Christ_M,Christianity_Church_Christ_F,Christianity_Church_Christ_P,Christianity_Eastrn_Orthdox_M,Christianity_Eastrn_Orthdox_F,Christianity_Eastrn_Orthdox_P,Christinty_Jehvahs_Witnses_M,Christinty_Jehvahs_Witnses_F,Christinty_Jehvahs_Witnses_P,Christianity_Lattr_day_Snts_M,Christianity_Lattr_day_Snts_F,Christianity_Lattr_day_Snts_P,Christianity_Lutheran_M,Christianity_Lutheran_F,Christianity_Lutheran_P,Christianity_Orintal_Orthdx_M,Christianity_Orintal_Orthdx_F,Christianity_Orintal_Orthdx_P,Christianity_Othr_Protestnt_M,Christianity_Othr_Protestnt_F,Christianity_Othr_Protestnt_P,Christianity_Pentecostal_M,Christianity_Pentecostal_F,Christianity_Pentecostal_P,Christinty_Prsbytrin_Refrmd_M,Christinty_Prsbytrin_Refrmd_F,Christinty_Prsbytrin_Refrmd_P,Christianity_Salvation_Army_M,Christianity_Salvation_Army_F,Christianity_Salvation_Army_P,Christnty_Sevnth_dy_Advntst_M,Christnty_Sevnth_dy_Advntst_F,Christnty_Sevnth_dy_Advntst_P,Christianity_Uniting_Church_M,Christianity_Uniting_Church_F,Christianity_Uniting_Church_P,Christianity_Christian_nfd_M,Christianity_Christian_nfd_F,Christianity_Christian_nfd_P,Christianity_Othr_Christian_M,Christianity_Othr_Christian_F,Christianity_Othr_Christian_P,Christianity_Tot_M,Christianity_Tot_F,Christianity_Tot_P,Hinduism_M,Hinduism_F,Hinduism_P,Islam_M,Islam_F,Islam_P,Judaism_M,Judaism_F,Judaism_P,Othr_Rel_Aust_Abor_Trad_Rel_M,Othr_Rel_Aust_Abor_Trad_Rel_F,Othr_Rel_Aust_Abor_Trad_Rel_P,Othr_Rel_Sikhism_M,Othr_Rel_Sikhism_F,Othr_Rel_Sikhism_P,Othr_Reln_Other_reln_groups_M,Othr_Reln_Other_reln_groups_F,Othr_Reln_Other_reln_groups_P,Other_Religions_Tot_M,Other_Religions_Tot_F,Other_Religions_Tot_P,SB_OSB_NRA_NR_M,SB_OSB_NRA_NR_F,SB_OSB_NRA_NR_P,SB_OSB_NRA_SB_M,SB_OSB_NRA_SB_F,SB_OSB_NRA_SB_P,SB_OSB_NRA_OSB_M,SB_OSB_NRA_OSB_F,SB_OSB_NRA_OSB_P,SB_OSB_NRA_Tot_M,SB_OSB_NRA_Tot_F,SB_OSB_NRA_Tot_P,Religious_affiliation_ns_M,Religious_affiliation_ns_F,Religious_affiliation_ns_P,Tot_M,Tot_F,Tot_P
101,683,1046,1726,22185,24851,47036,0,0,0,1117,1157,2276,196,193,394,26797,28291,55090,28,43,74,1176,1065,2241,332,495,826,135,128,262,457,554,1008,34,21,58,260,286,548,528,614,1139,2720,2943,5671,252,303,558,199,255,449,3453,4205,7665,1934,2132,4060,83,86,166,61890,67630,129516,519,465,982,638,587,1224,70,75,145,28,33,62,275,238,514,283,395,680,585,671,1255,32203,28329,60534,362,292,654,158,245,402,32732,28866,61597,12018,10383,22398,109123,109716,218843
102,1269,1907,3179,33809,40007,73814,11,12,26,2599,3025,5621,110,128,239,37930,43078,81002,186,248,429,1083,1068,2148,580,771,1354,369,404,769,334,419,753,114,87,201,1457,1621,3079,1551,1913,3467,4000,4655,8656,377,508,893,657,756,1419,4573,5933,10510,3262,3777,7043,165,193,355,93170,108605,201779,583,578,1158,551,485,1030,156,203,356,50,33,78,130,111,243,347,522,874,527,670,1197,48316,42252,90564,517,384,894,241,375,617,49071,43009,92082,13439,13521,26955,158768,168972,327736
103,483,647,1132,22400,24649,47046,3,0,4,1346,1436,2787,512,519,1032,28336,30265,58599,50,62,114,323,286,611,288,380,666,118,132,253,255,316,570,46,43,81,473,484,960,824,976,1802,3907,4204,8105,262,317,573,176,225,399,5154,5894,11046,1857,2117,3974,53,47,105,66369,72348,138717,361,330,692,268,219,491,28,28,56,33,27,61,100,104,201,178,267,444,308,397,705,22536,19087,41622,192,149,348,84,109,193,22814,19346,42159,12057,10150,22206,102700,103464,206155
104,544,792,1340,13821,15760,29578,0,0,0,951,1033,1982,0,7,13,12280,13847,26128,36,33,70,126,152,280,377,456,836,79,101,184,137,186,330,23,17,37,180,253,437,696,887,1583,2884,3209,6089,205,252,461,160,226,387,2140,2723,4859,1382,1691,3078,64,76,139,35547,40915,76463,176,151,323,273,252,527,51,44,100,31,34,63,715,654,1368,161,291,456,910,976,1881,21507,19491,41000,219,168,384,120,195,313,21850,19850,41702,7236,6721,13954,66583,69704,136288
105,221,317,539,12325,13331,25664,0,0,3,717,824,1537,9,12,27,14951,16357,31303,38,47,92,178,162,338,120,152,272,56,71,128,242,283,526,35,30,70,177,206,385,377,458,830,2118,2155,4268,190,264,456,178,199,374,2830,3532,6368,921,1017,1931,22,29,57,35479,39140,74621,297,301,599,227,174,402,18,15,34,63,55,110,58,43,95,78,95,175,196,187,385,12658,10818,23474,83,72,152,46,63,117,12786,10959,23741,7243,6208,13457,56474,57300,113779
106,666,969,1640,33372,36541,69909,4,0,5,2107,2246,4349,169,151,324,29771,31743,61515,89,103,195,369,352,715,318,438,761,249,259,506,212,245,461,33,17,53,609,626,1235,1047,1187,2238,4033,4390,8421,463,582,1043,338,399,732,5854,7067,12922,2403,2728,5131,96,101,198,81526,89176,170708,353,383,732,336,264,596,60,55,118,26,25,52,96,91,186,221,380,602,346,490,836,33934,29569,63500,387,309,701,122,212,337,34442,30094,64538,12905,11347,24252,130635,132782,263416
107,1367,1908,3274,24230,28402,52635,9,8,19,1227,1407,2633,148,143,292,36284,40168,76449,160,184,342,5694,5656,11355,563,765,1326,208,233,441,534,679,1214,149,140,292,352,431,781,1300,1611,2906,3302,3915,7219,378,465,841,159,206,368,4650,5880,10526,4048,4275,8324,76,128,201,83460,94688,178148,814,633,1453,2750,2528,5273,77,61,140,35,37,72,70,58,125,313,474,794,425,567,989,43151,36711,79860,486,396,880,201,320,518,43838,37420,81263,11762,11192,22955,144488,149005,293494
108,632,938,1569,25330,28857,54191,7,0,8,1424,1639,3068,10,10,17,20835,23547,44379,105,136,240,243,241,491,562,729,1285,173,211,383,205,273,480,34,29,62,362,418,781,796,988,1779,3746,4150,7899,505,658,1162,677,845,1523,4816,6000,10817,2146,2580,4727,52,63,113,62023,71369,133386,214,195,411,139,94,233,51,57,113,50,50,100,48,33,82,198,317,515,293,400,689,28867,25304,54174,246,214,462,149,268,416,29261,25784,55046,10678,10067,20750,103296,108901,212201
109,314,448,762,9592,11249,20838,0,0,0,557,597,1150,53,60,119,14070,15240,29304,38,67,103,230,234,464,131,194,325,80,113,191,1084,1266,2344,18,16,30,98,118,218,469,543,1010,2539,2648,5187,114,150,265,148,149,299,2927,3813,6745,1037,1130,2161,23,28,55,33197,37611,70815,505,470,972,191,142,326,15,25,40,70,66,135,150,133,281,105,126,236,321,331,648,16352,13817,30167,128,106,242,50,61,112,16535,13986,30519,5984,5732,11711,57060,58743,115803
110,406,578,982,24979,27576,52555,0,0,0,805,923,1727,153,160,309,19926,21800,41726,54,75,130,144,136,279,323,394,722,80,106,188,187,242,431,17,16,26,157,180,335,763,944,1711,4145,4355,8499,456,561,1013,282,343,629,3269,3983,7252,1609,1834,3440,81,86,164,57428,63719,121142,354,341,686,414,340,757,24,23,52,48,39,85,77,59,143,170,250,424,297,350,652,20059,17097,37156,192,162,354,89,114,204,20342,17373,37713,9999,9577,19574,89260,92299,181555
111,1458,2052,3516,32399,37653,70050,0,0,0,3399,3857,7252,100,96,197,36144,40793,76946,82,150,236,2060,2036,4097,501,627,1128,318,383,697,332,412,750,71,73,142,770,877,1646,1994,2277,4269,4739,5179,9917,701,871,1574,1856,2111,3970,7938,10546,18480,4108,4778,8892,287,323,613,97804,113041,210851,913,814,1733,1329,1058,2387,89,90,185,51,48,100,161,136,296,380,518,899,588,705,1298,58853,50913,109767,781,629,1407,273,395,671,59910,51938,111845,13933,13368,27302,176033,183073,359106
