SA4_CODE_2016,M_0_299_DS_DS_Sept_house,M_0_299_DS_DS_sd_row_tce_hs_t,M_0_299_DS_DS_Flat_apart,M_0_299_DS_DS_Other_dwg,M_0_299_DS_ns,M_0_299_Tot,M_300_449_DS_Separate_hse,M_300_449_DS_sd_row_tc_hse_th,M_300_449_DS_Flat_apart,M_300_449_DS_Other_dwg,M_300_449_DS_ns,M_300_449_Tot,M_450_599_DS_Separate_hse,M_450_599_DS_sd_row_tce_hs_th,M_450_599_DS_Flat_apart,M_450_599_DS_Other_dwg,M_450_599_DS_ns,M_450_599_Tot,M_600_799_DS_Separate_hse,M_600_799_DS_sd_row_tc_hs_th,M_600_799_DS_Flat_apart,M_600_799_DS_Other_dwg,M_600_799_DS_ns,M_600_799_Tot,M_800_999_DS_Separate_hse,M_800_999_DS_sd_row_tc_hs_th,M_800_999_DS_Flat_apart,M_800_999_DS_Other_dwg,M_800_999_DS_ns,M_800_999_Tot,M_1000_1399_DS_Separate_hse,M_1000_1399_DS_sd_rw_tc_h_th,M_1000_1399_DS_Flat_apart,M_1000_1399_DS_Other_dwg,M_1000_1399_DS_ns,M_1000_1399_Tot,M_1400_1799_DS_Separate_hse,M_1400_1799_DS_sd_rw_tc_h_th,M_1400_1799_DS_Flat_apart,M_1400_1799_DS_Other_dwg,M_1400_1799_DS_ns,M_1400_1799_Tot,M_1800_2399_DS_Separate_hse,M_1800_2399_DS_sd_rw_tc_h_th,M_1800_2399_DS_Flat_apart,M_1800_2399_DS_Other_dwg,M_1800_2399_DS_ns,M_1800_2399_Tot,M_2400_2999_DS_Separate_hse,M_2400_2999_DS_sd_rw_tc_h_th,M_2400_2999_DS_Flat_apart,M_2400_2999_DS_Other_dwg,M_2400_2999_DS_ns,M_2400_2999_Tot,M_3000_3999_DS_Separate_hse,M_3000_3999_DS_sd_rw_tc_h_th,M_3000_3999_DS_Flt_apart,M_3000_3999_DS_Other_dwg,M_3000_3999_DS_ns,M_3000_3999_Tot,M_4000_over_DS_Separate_hse,M_4000_ov_DS_sd_rw_tce_hs_th,M_4000_over_DS_Flat_apart,M_4000_over_DS_Other_dwg,M_4000_DS_over_ns,M_4000_over_Tot,Mort_Rpmnt_ns_DS_Separat_hs,Mrt_Rpmt_ns_DS_sd_rw_tc_hs_th,Mrt_Rpmt_ns_DS_Flat_apart,Mort_Rpmnt_ns_DS_Other_dwg,Mort_Rpmnt_ns_DS_ns,Mort_Rpmnt_ns_Total,Tot_DS_Separate_hse,Tot_DS_sd_row_tce_hse_thse,Tot_DS_Flat_apartment,Tot_DS_Other_dwg,Tot_DS_ns,Tot_Tot
101,1239,60,21,8,21,1350,646,56,21,3,3,733,576,32,21,4,10,643,1108,64,47,9,9,1237,1620,82,72,9,14,1790,3946,182,199,23,25,4385,4021,282,96,19,20,4440,4582,295,62,20,31,4987,2267,69,18,3,12,2369,2116,58,23,14,8,2214,1150,23,5,6,14,1197,1152,40,22,6,13,1230,24424,1240,607,137,176,26583
102,1657,125,75,11,5,1865,716,71,37,4,0,829,584,84,41,4,3,714,1166,110,43,3,4,1331,1633,132,76,8,5,1854,5048,394,220,8,3,5674,7100,457,237,23,10,7837,9633,388,182,25,13,10231,4276,94,86,7,8,4460,2993,88,53,4,8,3138,1512,33,20,4,0,1569,1506,74,51,10,6,1641,37813,2051,1114,117,54,41151
103,1088,21,7,5,11,1139,641,12,5,3,7,674,621,8,3,7,8,648,1241,33,11,11,9,1303,1790,45,12,13,8,1876,4351,89,32,44,28,4545,4094,78,15,44,17,4246,4076,41,8,32,23,4176,1688,11,3,3,7,1718,1109,0,5,10,10,1133,651,3,0,3,9,665,1028,11,10,4,10,1065,22373,359,110,188,149,23185
104,738,36,25,3,10,815,429,20,11,3,0,467,411,22,5,5,3,442,674,38,32,16,4,764,1000,40,39,6,4,1096,2517,147,98,16,13,2795,2675,93,56,14,16,2848,2532,92,38,10,17,2685,883,22,6,3,6,924,553,22,7,3,3,592,283,10,3,3,8,308,550,20,15,6,0,593,13238,573,335,87,88,14317
105,769,7,5,14,15,807,494,5,3,5,3,519,466,7,3,3,5,484,905,11,7,16,4,945,1139,11,12,12,3,1185,2425,36,11,22,17,2510,1865,24,13,13,6,1926,1492,4,0,17,5,1515,476,4,0,3,3,489,352,0,0,3,3,353,253,0,0,3,3,259,605,10,5,8,5,625,11235,125,62,125,70,11622
106,1220,51,12,6,4,1289,665,30,9,3,0,704,594,37,3,0,0,635,1118,34,8,9,6,1168,1631,83,18,7,7,1748,5146,240,42,14,15,5465,6219,223,32,18,18,6505,7251,147,24,18,22,7456,2991,42,7,3,8,3056,2117,22,6,7,5,2159,950,12,6,3,8,978,1318,40,3,4,9,1375,31217,964,167,92,102,32540
107,1236,109,86,3,6,1440,602,52,47,0,0,704,440,45,30,4,0,514,871,125,66,4,5,1064,1182,127,117,3,6,1441,3427,387,320,4,7,4139,4495,504,396,17,9,5425,7290,639,434,19,26,8401,3899,257,149,3,11,4315,3263,148,119,0,9,3542,1540,71,63,3,5,1681,1097,79,58,6,4,1251,29339,2549,1880,65,88,33917
108,1083,72,37,9,7,1209,662,50,29,4,3,746,585,32,19,9,4,653,1080,48,45,9,8,1199,1536,75,46,18,6,1678,3857,179,107,22,22,4185,3743,179,86,6,18,4031,3710,85,50,7,23,3878,1290,28,16,3,9,1347,851,13,10,0,5,881,442,12,14,8,9,484,926,41,21,4,6,993,19775,822,475,106,120,21292
109,794,16,4,3,0,824,439,28,4,3,0,476,399,22,5,0,0,429,921,51,15,0,0,993,1253,64,15,0,5,1342,2877,93,12,5,9,2999,2381,47,8,8,3,2439,1928,16,0,9,10,1957,554,9,0,6,4,576,394,6,3,3,3,402,259,5,0,6,6,272,663,12,3,0,4,685,12867,375,69,40,44,13401
110,1077,22,4,14,12,1131,567,9,3,6,3,585,602,13,5,3,3,624,1182,12,11,13,3,1217,1599,30,13,15,11,1664,3923,52,20,21,32,4049,3336,49,12,7,11,3413,2791,24,10,12,20,2860,960,12,0,3,4,979,680,3,0,4,8,694,445,3,4,5,3,457,932,9,3,13,5,959,18090,233,77,120,113,18626
