SA4_CODE_2016,All_inc_NS_Emp_AW,All_inc_NS_E_T,All_inc_NS_UnE_lfw_FTW,All_inc_NS_UnE_lfw_PTW,All_inc_NS_UnE_lfw_Tot,All_inc_NS_T_LF,All_inc_NS_Notin_LF,All_inc_NS_LF_sta_NS,All_inc_NS_Tot,Tot_Emp_WFT,Tot_Emp_WPT,Tot_Emp_AW,Tot_E_T,Tot_UnE_lfw_FTW,Tot_UnE_lfw_PTW,Tot_UnE_lfw_Tot,Tot_T_LF,Tot_Notin_LF,Tot_LF_sta_NS,Tot_Tot
101,20,60,6,0,13,73,97,55,223,2499,2025,267,4795,217,205,424,5222,3253,116,8589
102,25,92,3,16,17,110,144,97,345,4518,3990,441,8944,471,483,954,9900,6788,177,16863
103,15,56,8,6,16,64,142,75,279,2266,1844,226,4337,299,277,583,4918,3825,146,8879
104,5,29,7,3,9,44,92,39,170,1483,1675,157,3315,207,228,439,3751,2963,85,6800
105,15,52,13,7,16,72,141,75,282,1380,1103,164,2651,241,187,431,3082,2581,129,5786
106,15,69,10,11,14,84,152,64,299,3055,2790,345,6194,461,401,869,7060,5162,128,12349
107,17,71,6,12,13,87,134,52,273,3650,3063,335,7044,367,351,724,7764,5690,126,13577
108,25,72,9,8,18,90,167,68,328,2019,2422,255,4694,330,326,659,5346,4883,147,10374
109,7,31,0,5,3,34,73,35,147,1148,1116,153,2415,144,147,288,2704,1783,64,4548
110,12,60,11,9,20,81,136,79,293,1978,1697,227,3900,314,267,586,4480,3668,126,8280
111,17,71,9,6,21,85,139,77,304,4651,3933,420,9005,494,457,950,9959,6973,176,17101
112,18,65,9,6,14,80,132,73,281,2676,3264,330,6264,326,354,683,6946,4802,137,11888
113,12,40,5,0,3,46,105,64,212,1820,1330,151,3305,193,146,342,3641,2593,117,6351
114,11,45,0,0,0,49,83,31,159,1463,1585,157,3211,150,158,308,3516,2734,79,6328
115,6,37,0,3,0,41,25,23,89,2578,1373,137,4095,119,111,231,4323,2059,55,6440
116,24,89,11,5,18,107,200,120,433,4742,2545,410,7693,485,466,952,8642,7199,225,16065
117,13,40,3,0,3,42,69,48,159,2572,1428,192,4193,172,185,352,4549,3407,94,8052
118,10,52,6,0,6,52,55,27,144,2895,1747,190,4832,128,143,271,5100,2835,71,8011
119,34,112,9,7,15,128,190,132,452,6462,4438,587,11483,544,709,1256,12741,11609,274,24621
120,14,47,0,3,3,44,49,35,126,3472,1933,220,5626,177,204,382,6005,3925,79,10003
121,20,64,0,0,0,67,46,25,138,4704,2500,251,7458,199,200,395,7854,4149,52,12055
122,18,58,0,3,5,68,53,20,136,3030,2000,177,5209,119,96,214,5428,2403,57,7884
123,21,82,5,3,9,89,119,102,311,4112,2487,325,6927,375,388,761,7685,5232,160,13085
124,29,98,3,4,8,107,117,71,295,5106,3225,399,8733,332,350,683,9417,5577,130,15126
125,18,58,4,7,16,69,162,106,338,4659,2825,390,7874,391,451,846,8715,8199,204,17126
126,10,32,0,0,0,37,30,9,72,2031,1141,113,3282,81,99,178,3463,2238,37,5737
127,24,73,6,10,17,90,230,174,497,4839,3312,427,8579,523,724,1244,9819,10882,305,21012
128,9,67,4,0,6,71,39,18,135,3062,1994,191,5248,116,139,251,5505,2411,47,7960
197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
