SA4_CODE_2016,P_Y8b_15_19_yrs,P_Y8b_20_24_yrs,P_Y8b_25_34_yrs,P_Y8b_35_44_yrs,P_Y8b_45_54_yrs,P_Y8b_55_64_yrs,P_Y8b_65_74_yrs,P_Y8b_75_84_yrs,P_Y8b_85ov,P_Y8b_Tot,P_DNGTS_15_19,P_DNGTS_20_24,P_DNGTS_25_34,P_DNGTS_35_44,P_DNGTS_45_54,P_DNGTS_55_64,P_DNGTS_65_74,P_DNGTS_75_84,P_DNGTS_85_ov,P_DNGTS_Tot,P_Hghst_yr_schl_ns_15_19_yrs,P_Hghst_yr_schl_ns_20_24_yrs,P_Hghst_yr_schl_ns_25_34_yrs,P_Hghst_yr_schl_ns_35_44_yrs,P_Hghst_yr_schl_ns_45_54_yrs,P_Hghst_yr_schl_ns_55_64_yrs,P_Hghst_yr_schl_ns_65_74_yrs,P_Hghst_yr_schl_ns_75_84_yrs,P_Hghst_yr_schl_ns_85_yrs_ovr,P_Hghst_yr_schl_ns_Tot,P_Tot_15_19_yrs,P_Tot_20_24_yrs,P_Tot_25_34_yrs,P_Tot_35_44_yrs,P_Tot_45_54_yrs,P_Tot_55_64_yrs,P_Tot_65_74_yrs,P_Tot_75_84_yrs,P_Tot_85ov,P_Tot_Tot
101,67,68,239,373,695,1632,2466,1998,1071,8599,9,17,40,47,69,118,133,150,52,633,857,941,2072,2174,2795,2940,3061,2374,1459,18676,5493,10343,22316,25404,31486,32723,26543,13231,5255,172797
102,82,118,330,435,927,2126,2853,2430,1754,11057,11,25,49,61,106,153,185,142,73,806,941,1094,2031,2257,2833,3048,3680,3687,2839,22410,8917,18136,35253,39355,43605,42344,36562,21675,10263,256122
103,68,103,260,345,784,1876,2540,2082,1272,9328,4,11,35,51,71,110,136,92,31,546,1117,1348,2414,2362,2813,2753,3039,2238,984,19073,6014,11552,23086,23637,27002,26763,22468,12501,5066,158081
104,56,74,253,311,536,1046,1492,1398,926,6095,12,22,62,66,86,81,67,64,36,495,509,538,1115,1189,1509,1883,1821,1651,1008,11235,3525,6104,12741,14677,18149,21278,17618,9692,4053,107840
105,56,96,223,288,580,1353,1688,1255,624,6158,3,0,13,21,49,78,101,68,26,366,564,800,1776,1462,1716,1837,1744,1339,688,11922,3135,6441,13991,12649,14892,15298,11818,6742,2743,87708
106,104,145,355,471,899,2144,2633,2106,1186,10049,9,16,48,63,90,112,111,89,43,577,946,1122,2632,2530,2717,2822,3133,2375,1295,19584,7651,15062,31591,32451,34756,33550,27307,13667,5215,201270
107,80,125,301,426,840,2227,3259,3328,1898,12480,16,30,99,104,137,233,365,522,259,1757,805,1096,2054,1891,2269,2426,2745,2574,1644,17499,8973,20800,35869,36770,38494,36205,28009,17049,7320,229486
108,82,98,256,361,801,1946,3018,2538,1626,10720,17,3,17,41,66,74,101,100,64,473,754,744,1534,1642,2369,2916,3743,3122,2086,18908,4928,8505,17250,20703,27212,33103,32932,18249,7734,170621
109,44,69,163,205,384,938,1607,1426,812,5643,8,9,38,67,75,66,97,71,38,471,467,594,1089,1093,1304,1633,1692,1516,837,10220,3036,6288,12403,12837,14843,16326,13718,7779,3199,90435
110,73,115,289,368,771,1737,2389,2035,1080,8854,6,17,47,44,69,101,138,86,31,534,986,1031,1946,1990,2400,2659,2640,2080,999,16734,5568,10483,20198,20242,23392,24425,19968,11280,4245,139796
