SA4_CODE_2016,Age_yr_55_P,Age_yr_56_M,Age_yr_56_F,Age_yr_56_P,Age_yr_57_M,Age_yr_57_F,Age_yr_57_P,Age_yr_58_M,Age_yr_58_F,Age_yr_58_P,Age_yr_59_M,Age_yr_59_F,Age_yr_59_P,Age_yr_55_59_M,Age_yr_55_59_F,Age_yr_55_59_P,Age_yr_60_M,Age_yr_60_F,Age_yr_60_P,Age_yr_61_M,Age_yr_61_F,Age_yr_61_P,Age_yr_62_M,Age_yr_62_F,Age_yr_62_P,Age_yr_63_M,Age_yr_63_F,Age_yr_63_P,Age_yr_64_M,Age_yr_64_F,Age_yr_64_P,Age_yr_60_64_M,Age_yr_60_64_F,Age_yr_60_64_P,Age_yr_65_M,Age_yr_65_F,Age_yr_65_P,Age_yr_66_M,Age_yr_66_F,Age_yr_66_P,Age_yr_67_M,Age_yr_67_F,Age_yr_67_P,Age_yr_68_M,Age_yr_68_F,Age_yr_68_P,Age_yr_69_M,Age_yr_69_F,Age_yr_69_P,Age_yr_65_69_M,Age_yr_65_69_F,Age_yr_65_69_P,Age_yr_70_M,Age_yr_70_F,Age_yr_70_P,Age_yr_71_M,Age_yr_71_F,Age_yr_71_P,Age_yr_72_M,Age_yr_72_F,Age_yr_72_P,Age_yr_73_M,Age_yr_73_F,Age_yr_73_P,Age_yr_74_M,Age_yr_74_F,Age_yr_74_P,Age_yr_70_74_M,Age_yr_70_74_F,Age_yr_70_74_P,Age_yr_75_M,Age_yr_75_F,Age_yr_75_P,Age_yr_76_M,Age_yr_76_F,Age_yr_76_P,Age_yr_77_M,Age_yr_77_F,Age_yr_77_P,Age_yr_78_M,Age_yr_78_F,Age_yr_78_P,Age_yr_79_M,Age_yr_79_F,Age_yr_79_P,Age_yr_75_79_M,Age_yr_75_79_F,Age_yr_75_79_P,Age_yr_80_84_M,Age_yr_80_84_F,Age_yr_80_84_P,Age_yr_85_89_M,Age_yr_85_89_F,Age_yr_85_89_P,Age_yr_90_94_M,Age_yr_90_94_F,Age_yr_90_94_P,Age_yr_95_99_M,Age_yr_95_99_F,Age_yr_95_99_P,Age_yr_100_yr_over_M,Age_yr_100_yr_over_F,Age_yr_100_yr_over_P,Tot_M,Tot_F,Tot_P
101,3434,1656,1713,3363,1683,1680,3362,1648,1642,3297,1645,1643,3291,8346,8405,16748,1632,1556,3187,1595,1611,3202,1577,1618,3203,1531,1649,3182,1564,1648,3209,7907,8081,15991,1541,1517,3055,1666,1484,3150,1545,1476,3021,1509,1432,2940,1655,1521,3178,7908,7431,15342,1241,1170,2412,1152,1215,2364,1143,1143,2286,1053,1042,2091,1007,1046,2053,5593,5623,11217,950,926,1873,858,881,1741,812,760,1573,688,736,1430,626,696,1321,3939,4005,7940,2487,2820,5306,1382,2013,3397,492,988,1480,86,249,336,5,40,44,109123,109716,218843
102,4621,2074,2369,4445,2092,2239,4329,2017,2287,4304,2063,2272,4334,10436,11608,22039,2035,2211,4243,1896,2207,4099,1907,2038,3941,1923,2176,4100,1858,2074,3941,9620,10701,20320,1855,1988,3850,1782,2094,3877,1769,2074,3848,1946,2183,4128,2052,2283,4336,9407,10627,20035,1712,1899,3615,1715,1805,3524,1598,1772,3370,1407,1612,3019,1411,1626,3038,7846,8716,16555,1309,1518,2826,1281,1332,2620,1188,1374,2563,1030,1304,2335,1042,1194,2231,5851,6721,12574,3865,5259,9124,2615,3928,6544,1026,1948,2971,205,485,698,16,47,63,158768,168972,327736
103,2959,1408,1405,2813,1367,1340,2708,1351,1398,2742,1290,1420,2710,6981,6963,13935,1271,1301,2573,1362,1273,2636,1229,1293,2525,1246,1279,2523,1355,1227,2578,6460,6372,12833,1274,1280,2559,1253,1273,2529,1275,1202,2477,1248,1222,2467,1264,1312,2575,6309,6294,12601,1096,1062,2163,1136,977,2114,995,985,1984,857,936,1792,917,913,1833,5000,4877,9877,760,827,1586,710,771,1478,715,773,1485,670,701,1366,652,722,1376,3503,3801,7300,2308,2901,5208,1332,1969,3301,406,964,1376,78,274,349,8,38,48,102700,103464,206155
104,2158,1005,1098,2104,1007,1153,2164,1000,1164,2167,1042,1044,2090,5089,5586,10677,1085,1060,2140,1065,1094,2162,1067,1066,2135,1065,1068,2132,1033,1001,2034,5317,5290,10607,1030,1053,2079,1038,1032,2065,950,985,1931,988,932,1927,1015,1019,2038,5027,5019,10043,881,886,1764,783,822,1608,771,720,1497,663,724,1389,666,661,1329,3775,3812,7587,628,664,1293,585,597,1183,541,572,1112,476,579,1054,510,552,1058,2735,2962,5697,1822,2181,4006,1081,1471,2554,368,811,1174,73,210,285,0,29,31,66583,69704,136288
105,1726,840,855,1689,803,856,1654,771,773,1543,811,724,1531,4093,4047,8134,767,761,1534,783,712,1493,655,688,1344,735,695,1429,686,683,1373,3626,3539,7170,738,654,1390,717,617,1332,622,598,1218,653,614,1264,721,677,1395,3454,3154,6604,550,588,1131,570,528,1095,495,525,1021,496,480,972,500,497,996,2605,2613,5221,423,453,876,391,444,831,382,455,835,367,395,759,334,378,718,1899,2116,4020,1199,1533,2728,763,1093,1857,216,492,708,44,112,155,3,20,22,56474,57300,113779
106,3723,1703,1748,3446,1725,1798,3515,1684,1665,3346,1625,1757,3382,8598,8812,17409,1706,1628,3343,1553,1717,3266,1590,1585,3172,1599,1652,3252,1504,1623,3128,7956,8203,16161,1530,1591,3125,1482,1518,2998,1506,1571,3072,1501,1531,3027,1649,1600,3254,7667,7809,15475,1315,1345,2660,1277,1310,2589,1249,1163,2406,1061,1060,2124,1047,1020,2066,5954,5901,11848,973,907,1883,822,853,1676,783,854,1631,672,782,1449,705,792,1497,3954,4185,8139,2465,3075,5538,1301,2103,3403,470,972,1438,100,253,352,12,20,30,130635,132782,263416
107,4058,1821,2080,3906,1875,1913,3787,1814,1955,3765,1857,1844,3693,9371,9841,19216,1673,1876,3548,1655,1836,3489,1649,1714,3367,1583,1770,3354,1575,1679,3255,8143,8884,17020,1539,1610,3147,1449,1654,3103,1498,1532,3025,1544,1509,3058,1594,1653,3253,7631,7956,15589,1279,1405,2679,1315,1405,2719,1195,1311,2507,1115,1187,2300,1045,1205,2247,5947,6508,12454,974,1138,2115,969,1102,2070,909,1008,1918,885,1049,1932,765,998,1763,4497,5299,9795,3213,4056,7268,1923,2887,4807,686,1374,2056,112,311,422,5,40,42,144488,149005,293494
108,3255,1477,1698,3174,1533,1688,3223,1535,1778,3317,1645,1757,3399,7749,8617,16370,1616,1661,3280,1676,1707,3380,1604,1674,3277,1635,1708,3342,1664,1788,3456,8199,8541,16744,1785,1828,3613,1754,1723,3472,1713,1802,3513,1719,1812,3536,1940,1953,3893,8909,9122,18036,1671,1633,3306,1531,1547,3086,1507,1573,3083,1319,1377,2698,1379,1352,2731,7413,7495,14904,1143,1183,2325,1167,1222,2392,1053,1086,2142,974,1000,1978,943,1036,1985,5284,5532,10815,3425,4014,7443,2102,2932,5042,766,1382,2154,151,349,497,8,49,61,103296,108901,212201
109,1685,803,871,1679,837,864,1699,845,842,1680,778,816,1594,4099,4243,8340,825,801,1626,743,772,1517,825,793,1624,796,827,1623,799,802,1594,3993,3998,7989,752,740,1493,777,791,1575,793,727,1527,780,689,1468,832,823,1654,3937,3775,7713,642,685,1322,598,619,1217,614,652,1259,541,545,1081,582,542,1125,2976,3035,6011,509,563,1072,439,463,901,462,509,970,400,443,844,403,421,823,2205,2394,4607,1439,1739,3181,910,1151,2060,302,581,879,48,188,235,4,27,27,57060,58743,115803
110,2729,1214,1350,2569,1268,1279,2544,1176,1268,2452,1199,1261,2453,6182,6557,12742,1241,1134,2375,1194,1217,2407,1179,1149,2329,1222,1112,2333,1138,1108,2246,5972,5725,11694,1110,1165,2276,1097,1099,2193,1080,1090,2168,1071,1039,2112,1210,1116,2323,5568,5514,11079,935,963,1897,969,931,1899,904,935,1839,779,786,1564,830,867,1696,4420,4480,8900,682,808,1495,653,756,1414,668,716,1385,620,655,1277,541,677,1219,3171,3623,6791,2056,2435,4497,1040,1768,2810,352,776,1126,72,212,278,6,25,35,89260,92299,181555
