SA4_CODE_2016,P_EducTrain_GD_GC,P_EducTrain_BD,P_EducTrain_AdD_D,P_EducTrain_Cert,P_EducTrain_ID_NS,P_EducTrain_ToT,P_HealthCareSocA_PD,P_HealthCareSocA_GD_GC,P_HealthCareSocA_BD,P_HealthCareSocA_AdD_D,P_HealthCareSocA_Cert,P_HealthCareSocA_ID_NS,P_HealthCareSocA_ToT,P_ArtRecServ_PD,P_ArtRecServ_GD_GC,P_ArtRecServ_BD,P_ArtRecServ_AdD_D,P_ArtRecServ_Cert,P_ArtRecServ_ID_NS,P_ArtRecServ_ToT,P_OthServ_PD,P_OthServ_GD_GC,P_OthServ_BD,P_OthServ_AdD_D,P_OthServ_Cert,P_OthServ_ID_NS,P_OthServ_ToT,P_ID_NS_PD,P_ID_NS_GD_GC,P_ID_NS_BD,P_ID_NS_AdD_D,P_ID_NS_Cert,P_ID_NS_ID_NS,P_ID_NS_ToT,P_ToT_PD,P_ToT_GD_GC,P_ToT_BD,P_ToT_AdD_D,P_ToT_Cert,P_ToT_ID_NS,P_ToT_ToT
101,721,2658,901,1060,126,6265,682,488,2768,1905,2966,353,9161,69,53,302,183,503,43,1141,69,35,247,323,1904,88,2670,98,30,251,259,1024,371,2031,4485,2619,14238,10649,28236,3068,63291
102,736,4365,1318,1494,211,9395,1195,758,5394,3587,5779,690,17403,47,30,270,244,558,57,1206,104,52,364,638,3111,136,4409,107,39,445,448,1676,555,3268,4736,2527,20099,16499,42623,4214,90690
103,591,3154,943,1241,144,6834,636,448,2840,1908,2999,387,9219,21,8,107,89,245,27,497,36,19,190,284,1929,72,2524,34,22,199,193,935,333,1704,2534,1757,12146,8449,27644,2981,55502
104,354,1882,655,679,99,4056,476,296,2257,1442,2440,264,7175,20,15,87,78,207,27,434,31,16,137,192,1130,60,1563,20,18,119,131,614,190,1094,1496,1095,7763,5703,16379,1721,34158
105,324,1742,466,700,103,3684,309,233,1529,1124,1705,221,5127,10,13,63,34,195,17,338,22,10,84,119,1053,58,1349,13,7,76,81,484,187,855,1175,875,6211,4384,14303,1704,28645
106,551,2741,949,1304,131,6405,534,357,2831,2346,3962,452,10485,18,12,100,117,353,48,656,48,35,188,462,2927,97,3760,47,27,231,299,1388,374,2362,2638,1645,12176,11469,39355,3156,70436
107,1304,5015,1421,1668,217,12240,1619,718,4878,3223,4569,554,15554,90,26,297,208,404,38,1065,135,45,409,535,2695,116,3928,121,39,457,347,1402,425,2798,7406,3193,21695,14982,37060,3402,87745
108,559,2545,918,1110,163,5823,635,381,2917,2239,3919,435,10524,17,7,92,97,275,26,508,35,20,144,286,1698,75,2260,32,24,139,166,826,288,1470,1896,1453,9439,8011,25040,2661,48500
109,405,1669,518,554,82,3610,350,299,1716,1110,1660,221,5350,11,4,50,56,144,21,282,32,15,93,186,1029,56,1408,23,19,111,117,548,199,1019,1317,1104,6832,5156,15180,1678,31267
110,603,2893,909,1106,181,6795,497,347,2311,1740,2680,354,7936,19,7,68,51,188,23,350,42,19,155,192,1654,78,2143,27,16,159,159,825,362,1563,2568,1512,10256,7373,22447,2952,47109
