SA4_CODE_2016,P_AdvDi_Di_AdvDi_AsDe_Mng,P_AdvDi_Di_AdvDi_AsDe_Pro,P_AdvDi_Di_AdvDi_AsDe_TTW,P_AdvDi_Di_AdvDi_AsDe_CPS,P_AdvDi_Di_AdvDi_AsDe_CA,P_AdvDi_Di_AdvDi_AsDe_Sal,P_AdvDi_Di_AdvDi_AsDe_MOD,P_AdvDi_Di_AdvDi_AsDe_Lab,P_AdvDi_Di_AdvDi_AsDe_IDNS,P_AdvDi_Di_AdvDi_AsDe_Tot,P_AdvDi_Di_Dip_Mng,P_AdvDi_Di_Dip_Pro,P_AdvDi_Di_Dip_TTW,P_AdvDi_Di_Dip_CPS,P_AdvDi_Di_Dip_CA,P_AdvDi_Di_Dip_Sal,P_AdvDi_Di_Dip_MOD,P_AdvDi_Di_Dip_Lab,P_AdvDi_Di_Dip_IDNS,P_AdvDi_Di_Dip_Tot,P_Cert_CertIII_IV_Mng,P_Cert_CertIII_IV_Pro,P_Cert_CertIII_IV_TTW,P_Cert_CertIII_IV_CPS,P_Cert_CertIII_IV_CA,P_Cert_CertIII_IV_Sal,P_Cert_CertIII_IV_MOD,P_Cert_CertIII_IV_Lab,P_Cert_CertIII_IV_IDNS,P_Cert_CertIII_IV_Tot,P_Cert_CertI_II_Mng,P_Cert_CertI_II_Pro,P_Cert_CertI_II_TTW,P_Cert_CertI_II_CPS,P_Cert_CertI_II_CA,P_Cert_CertI_II_Sal,P_Cert_CertI_II_MOD,P_Cert_CertI_II_Lab,P_Cert_CertI_II_IDNS,P_Cert_CertI_II_Tot,P_Cert_Cert_nfd_Mng,P_Cert_Cert_nfd_Pro,P_Cert_Cert_nfd_TTW,P_Cert_Cert_nfd_CPS,P_Cert_Cert_nfd_CA,P_Cert_Cert_nfd_Sal,P_Cert_Cert_nfd_MOD,P_Cert_Cert_nfd_Lab,P_Cert_Cert_nfd_IDNS,P_Cert_Cert_nfd_Tot,P_LE_ID_Mng,P_LE_ID_Pro,P_LE_ID_TTW,P_LE_ID_CPS,P_LE_ID_CA,P_LE_ID_Sal,P_LE_ID_MOD,P_LE_ID_Lab,P_LE_ID_IDNS,P_LE_ID_Tot,P_LE_NS_Mng,P_LE_NS_Pro,P_LE_NS_TTW,P_LE_NS_CPS,P_LE_NS_CA,P_LE_NS_Sal,P_LE_NS_MOD,P_LE_NS_Lab,P_LE_NS_IDNS,P_LE_NS_Tot,P_Tot_Mng,P_Tot_Pro,P_Tot_TTW,P_Tot_CPS,P_Tot_CA,P_Tot_Sal,P_Tot_MOD,P_Tot_Lab,P_Tot_IDNS,P_Tot_Tot
101,990,1039,357,713,740,210,76,182,70,4396,1119,1009,564,1372,1223,399,120,260,97,6166,3315,1094,8286,3077,2598,1467,1748,2295,374,24251,182,94,121,250,392,217,71,254,8,1584,383,183,163,420,602,269,105,254,26,2399,123,107,63,80,136,56,25,55,12,644,358,206,272,286,306,242,188,373,194,2422,10965,14801,10491,7753,8148,3440,2485,4134,1085,63291
102,1092,1793,548,1110,1053,422,140,213,82,6450,1491,1765,942,2411,1802,769,203,365,131,9884,3742,2220,13234,4855,4158,2489,2370,3239,530,36833,201,139,141,321,485,387,113,299,26,2122,339,333,280,742,905,452,226,351,43,3670,131,235,110,124,254,104,54,113,24,1132,282,328,349,398,418,314,230,450,306,3081,11126,23469,16491,11892,11401,5844,3531,5500,1432,90690
103,723,971,246,600,524,175,100,130,40,3508,862,727,502,1237,844,283,145,237,52,4886,3137,989,8038,2742,2338,1367,2541,2174,311,23655,236,62,128,209,389,249,118,238,14,1648,385,156,164,373,566,246,178,249,31,2340,89,100,43,73,107,62,39,64,12,587,416,175,246,262,249,236,257,375,182,2390,8567,13080,9911,6564,6285,2976,3531,3807,778,55502
104,367,695,162,413,371,132,63,89,18,2311,450,569,265,829,652,267,66,185,47,3333,1509,645,4546,2068,1512,1013,954,1470,207,13924,85,42,70,158,219,192,40,172,12,990,175,101,97,307,313,179,90,191,25,1467,39,77,25,46,72,26,17,61,11,375,150,141,134,173,152,156,117,222,108,1345,4169,8724,5604,4711,4170,2212,1410,2640,521,34158
105,413,423,90,340,222,78,23,56,19,1668,516,406,164,771,433,150,59,126,34,2659,1734,550,3953,1658,1348,690,1040,1101,167,12244,140,42,50,145,192,111,48,141,9,881,220,63,85,212,257,121,85,117,16,1180,50,54,34,43,48,23,19,31,3,304,250,130,127,173,132,118,122,226,113,1399,4685,6652,4700,3994,3188,1517,1454,2031,425,28645
106,784,1223,505,689,687,222,130,162,57,4468,1024,1125,877,1580,1204,443,295,261,92,6907,2989,1467,13222,3866,3554,1810,4433,2723,521,34578,195,72,153,299,461,356,207,329,14,2094,280,178,222,449,666,302,254,303,34,2683,78,119,74,76,142,58,58,84,15,696,250,232,264,323,256,222,308,425,181,2460,8196,14281,15948,8309,8251,3876,5891,4646,1045,70436
107,862,1492,568,1036,907,340,121,201,67,5604,1270,1554,1161,2316,1676,554,255,340,113,9244,2792,1559,12222,4051,3610,1843,2904,2592,430,32000,133,106,117,283,504,285,125,241,14,1808,328,236,203,635,901,373,215,307,50,3248,112,214,98,109,223,87,64,94,19,1002,169,287,287,314,311,261,209,330,237,2401,10163,25118,15706,11050,10857,4761,4168,4649,1278,87745
108,520,1033,201,584,511,189,55,125,30,3247,648,833,378,1290,811,376,75,215,57,4689,2352,1071,7033,3125,2181,1582,1421,2263,288,21317,121,71,113,209,328,290,77,252,10,1473,242,147,154,499,487,308,116,264,28,2249,77,113,39,55,114,44,19,54,11,522,220,197,229,303,238,238,194,357,160,2140,5800,11986,8464,6924,5560,3313,2033,3722,702,48500
109,489,535,154,328,256,105,50,100,20,2039,534,513,269,757,511,179,92,172,29,3059,1965,542,4376,1525,1324,795,1091,1345,175,13140,111,44,56,119,208,96,58,145,10,841,196,75,74,229,259,146,71,143,12,1205,37,45,28,37,46,29,18,36,8,284,228,129,145,175,118,132,141,240,85,1396,5157,7342,5368,3807,3491,1698,1596,2397,408,31267
110,759,845,181,488,418,135,71,129,36,3066,824,699,307,1050,730,224,91,241,58,4226,2797,899,6124,2242,1955,1113,1645,2008,262,19044,193,71,98,177,314,195,96,228,13,1390,318,110,146,334,435,231,141,280,19,2020,88,90,42,51,88,50,31,95,14,545,405,184,247,246,254,206,232,427,203,2408,7856,11466,7523,5497,5301,2455,2408,3873,730,47109
111,1063,2163,723,1070,1220,377,157,191,87,7040,1428,2070,1232,2374,2022,703,257,388,95,10573,3448,2097,14660,5028,4741,2437,3227,3181,561,39372,147,123,156,366,574,369,135,303,11,2178,339,300,323,610,1011,417,239,363,35,3627,113,278,101,140,253,90,61,105,18,1165,170,371,280,375,382,249,208,343,269,2632,12174,34823,18789,12569,13690,5806,4567,5460,1429,109311
112,700,1294,352,821,604,256,82,207,62,4378,855,956,571,1719,1036,467,115,340,73,6126,2675,1133,8476,3296,2446,1586,1549,2611,343,24120,139,77,95,236,274,254,79,302,17,1461,312,196,188,530,569,322,152,333,34,2642,81,143,69,86,121,83,29,77,9,701,269,250,229,326,247,248,174,369,206,2318,8089,17151,10733,8803,7026,3898,2336,4836,961,63823
113,562,655,203,422,319,102,39,124,32,2461,684,583,304,992,656,184,73,210,32,3717,2639,832,6113,2193,1968,1097,1405,1819,233,18305,158,61,92,176,286,168,104,209,11,1267,303,112,116,318,415,182,125,213,24,1799,58,65,50,33,82,37,30,82,3,454,320,163,165,189,190,175,205,388,133,1917,6755,9995,7526,5081,4779,2223,2076,3533,563,42530
114,529,812,262,471,364,164,45,124,36,2802,570,605,403,952,577,252,79,164,53,3646,1804,812,6049,2034,1453,1025,998,1479,226,15878,90,56,78,171,232,173,54,128,6,979,169,127,146,328,367,199,80,180,17,1624,53,89,50,51,105,35,23,41,9,452,151,145,141,194,178,157,112,214,115,1405,5212,9563,7551,5055,4187,2363,1465,2576,584,38560
115,1451,1801,551,672,1346,453,146,194,87,6697,1419,1359,667,1120,1595,639,128,253,80,7259,2925,1139,7190,1596,2225,1265,1059,1162,324,18890,147,93,77,131,366,166,47,79,6,1113,438,287,226,316,844,312,106,173,45,2739,202,331,100,85,282,119,36,59,38,1249,232,295,175,165,339,160,92,131,222,1802,15676,28451,10503,5965,12124,4979,2034,2640,1335,83706
