SA4_CODE_2016,Num_Psns_UR_1_FamHhold,Num_Psns_UR_1_NonFamHhold,Num_Psns_UR_1_Total,Num_Psns_UR_2_FamHhold,Num_Psns_UR_2_NonFamHhold,Num_Psns_UR_2_Total,Num_Psns_UR_3_FamHhold,Num_Psns_UR_3_NonFamHhold,Num_Psns_UR_3_Total,Num_Psns_UR_4_FamHhold,Num_Psns_UR_4_NonFamHhold,Num_Psns_UR_4_Total,Num_Psns_UR_5_FamHhold,Num_Psns_UR_5_NonFamHhold,Num_Psns_UR_5_Total,Num_Psns_UR_6mo_FamHhold,Num_Psns_UR_6mo_NonFamHhold,Num_Psns_UR_6mo_Total,Total_FamHhold,Total_NonFamHhold,Total_Total
101,..,23443,23443,29008,1742,30749,10842,210,11051,10215,43,10263,4632,17,4650,2130,12,2146,56832,25477,82309
102,..,31956,31956,37924,3102,41023,17756,424,18179,17999,124,18126,7934,50,7982,3762,19,3781,85380,35668,121048
103,..,21517,21517,24625,1694,26324,9988,231,10221,9501,84,9588,4778,30,4807,2275,9,2283,51176,23573,74746
104,..,14452,14452,18238,1550,19785,6877,169,7047,5955,51,6010,2783,15,2800,1510,17,1523,35360,16256,51614
105,..,12392,12392,13347,970,14316,5635,128,5767,4816,16,4833,2495,3,2496,1431,0,1438,27729,13518,41240
106,..,22691,22691,31279,2026,33301,14185,239,14430,14081,57,14137,6375,18,6395,2944,3,2946,68864,25027,93894
107,..,25390,25390,32417,2705,35119,16048,757,16805,17010,326,17331,7177,104,7286,3297,63,3364,75950,29339,105288
108,..,24574,24574,31304,2199,33495,10231,233,10468,8576,67,8641,4077,19,4101,2055,5,2062,56249,27095,83341
109,..,13257,13257,15108,1086,16192,5427,170,5599,5182,59,5241,2489,14,2504,1038,6,1045,29250,14596,43846
110,..,19101,19101,22328,1677,24004,8824,242,9070,8039,86,8128,4047,32,4076,1912,18,1932,45145,21156,66307
111,..,35715,35715,43088,4080,47171,20140,1216,21355,19716,417,20136,7765,126,7893,3127,105,3236,93845,41663,135506
112,..,26234,26234,30503,3147,33650,12148,532,12679,10973,167,11137,4903,59,4962,2266,16,2280,60795,30160,90951
113,..,15053,15053,18426,1323,19748,7412,280,7692,7241,98,7346,3819,31,3850,1796,32,1827,38697,16814,55512
114,..,15538,15538,20890,1201,22094,7095,114,7208,6474,38,6507,3036,10,3048,1490,5,1494,38987,16902,55891
115,..,8904,8904,18113,694,18802,12712,184,12894,17171,60,17235,7985,43,8030,3911,45,3958,59893,9923,69816
116,..,15483,15483,23113,1734,24843,19858,351,20213,22599,168,22764,10731,80,10806,7732,72,7800,84034,17884,101918
117,..,41706,41706,36305,9588,45893,13959,4220,18176,10440,2246,12683,3220,770,3992,1669,557,2223,65587,59085,124676
118,..,27177,27177,28016,6148,34167,13777,2464,16241,13180,1008,14191,4840,356,5195,1659,190,1848,61478,37343,98825
119,..,37026,37026,45582,4671,50252,32658,1549,34206,33379,802,34187,16402,366,16768,11709,266,11970,139728,44676,184401
120,..,24739,24739,29246,4548,33791,17661,1900,19560,16960,833,17792,5887,316,6196,2640,227,2864,72397,32559,104952
121,..,34080,34080,43241,4005,47244,24044,1081,25121,26314,293,26611,10046,108,10155,3448,52,3502,107091,39622,146713
122,..,19132,19132,25220,2217,27432,13603,597,14200,17345,152,17496,7024,59,7081,2578,20,2599,65764,22178,87940
123,..,13989,13989,22309,1344,23653,15090,200,15298,16472,67,16539,8018,25,8045,5189,10,5197,67078,15644,82721
124,..,22541,22541,30077,2374,32454,17681,336,18011,17895,96,17989,8389,33,8423,4731,13,4739,78778,25393,104168
125,..,27478,27478,33357,3554,36909,26072,1261,27331,25655,740,26395,12326,419,12742,9524,480,10002,106933,33935,140867
126,..,13360,13360,16936,1824,18759,10943,678,11624,11685,308,11990,4578,157,4737,2187,123,2305,46321,16451,62777
127,..,17829,17829,25495,1729,27226,21470,336,21807,24540,120,24661,14060,56,14116,11216,38,11253,96786,20100,116885
128,..,16014,16014,22437,1452,23890,12487,209,12695,14790,60,14850,6442,8,6450,2256,5,2265,58414,17756,76169
197,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
199,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
