SA4_CODE_2016,Tot_P_M,Tot_P_F,Tot_P_P,Age_0_4_yr_M,Age_0_4_yr_F,Age_0_4_yr_P,Age_5_14_yr_M,Age_5_14_yr_F,Age_5_14_yr_P,Age_15_19_yr_M,Age_15_19_yr_F,Age_15_19_yr_P,Age_20_24_yr_M,Age_20_24_yr_F,Age_20_24_yr_P,Age_25_34_yr_M,Age_25_34_yr_F,Age_25_34_yr_P,Age_35_44_yr_M,Age_35_44_yr_F,Age_35_44_yr_P,Age_45_54_yr_M,Age_45_54_yr_F,Age_45_54_yr_P,Age_55_64_yr_M,Age_55_64_yr_F,Age_55_64_yr_P,Age_65_74_yr_M,Age_65_74_yr_F,Age_65_74_yr_P,Age_75_84_yr_M,Age_75_84_yr_F,Age_75_84_yr_P,Age_85ov_M,Age_85ov_F,Age_85ov_P,Counted_Census_Night_home_M,Counted_Census_Night_home_F,Counted_Census_Night_home_P,Count_Census_Nt_Ewhere_Aust_M,Count_Census_Nt_Ewhere_Aust_F,Count_Census_Nt_Ewhere_Aust_P,Indigenous_psns_Aboriginal_M,Indigenous_psns_Aboriginal_F,Indigenous_psns_Aboriginal_P,Indig_psns_Torres_Strait_Is_M,Indig_psns_Torres_Strait_Is_F,Indig_psns_Torres_Strait_Is_P,Indig_Bth_Abor_Torres_St_Is_M,Indig_Bth_Abor_Torres_St_Is_F,Indig_Bth_Abor_Torres_St_Is_P,Indigenous_P_Tot_M,Indigenous_P_Tot_F,Indigenous_P_Tot_P,Birthplace_Australia_M,Birthplace_Australia_F,Birthplace_Australia_P,Birthplace_Elsewhere_M,Birthplace_Elsewhere_F,Birthplace_Elsewhere_P,Lang_spoken_home_Eng_only_M,Lang_spoken_home_Eng_only_F,Lang_spoken_home_Eng_only_P,Lang_spoken_home_Oth_Lang_M,Lang_spoken_home_Oth_Lang_F,Lang_spoken_home_Oth_Lang_P,Australian_citizen_M,Australian_citizen_F,Australian_citizen_P,Age_psns_att_educ_inst_0_4_M,Age_psns_att_educ_inst_0_4_F,Age_psns_att_educ_inst_0_4_P,Age_psns_att_educ_inst_5_14_M,Age_psns_att_educ_inst_5_14_F,Age_psns_att_educ_inst_5_14_P,Age_psns_att_edu_inst_15_19_M,Age_psns_att_edu_inst_15_19_F,Age_psns_att_edu_inst_15_19_P,Age_psns_att_edu_inst_20_24_M,Age_psns_att_edu_inst_20_24_F,Age_psns_att_edu_inst_20_24_P,Age_psns_att_edu_inst_25_ov_M,Age_psns_att_edu_inst_25_ov_F,Age_psns_att_edu_inst_25_ov_P,High_yr_schl_comp_Yr_12_eq_M,High_yr_schl_comp_Yr_12_eq_F,High_yr_schl_comp_Yr_12_eq_P,High_yr_schl_comp_Yr_11_eq_M,High_yr_schl_comp_Yr_11_eq_F,High_yr_schl_comp_Yr_11_eq_P,High_yr_schl_comp_Yr_10_eq_M,High_yr_schl_comp_Yr_10_eq_F,High_yr_schl_comp_Yr_10_eq_P,High_yr_schl_comp_Yr_9_eq_M,High_yr_schl_comp_Yr_9_eq_F,High_yr_schl_comp_Yr_9_eq_P,High_yr_schl_comp_Yr_8_belw_M,High_yr_schl_comp_Yr_8_belw_F,High_yr_schl_comp_Yr_8_belw_P,High_yr_schl_comp_D_n_g_sch_M,High_yr_schl_comp_D_n_g_sch_F,High_yr_schl_comp_D_n_g_sch_P,Count_psns_occ_priv_dwgs_M,Count_psns_occ_priv_dwgs_F,Count_psns_occ_priv_dwgs_P,Count_Persons_other_dwgs_M,Count_Persons_other_dwgs_F,Count_Persons_other_dwgs_P
101,109123,109716,218843,6218,5643,11866,13888,13013,26897,6492,6167,12659,5345,5022,10364,11043,11293,22338,12503,12921,25417,15491,16013,31504,16249,16485,32731,13507,13050,26553,6426,6822,13249,1966,3295,5265,101820,103208,205030,7304,6503,13808,3794,3785,7583,93,67,162,80,60,140,3962,3910,7875,86461,86653,173116,13491,13905,27399,94095,95256,189352,6296,6694,12991,96185,97538,193725,1455,1296,2755,12511,11757,24262,4416,4297,8710,1154,1370,2519,2087,4109,6195,35823,40490,76311,6405,6554,12956,24601,23456,48054,7145,6688,13830,4919,4201,9118,352,283,633,97093,98862,195954,18753,15502,34259
102,158768,168972,327736,9887,9299,19181,21280,19967,41245,10117,9808,19930,9267,8908,18174,17244,18037,35278,19032,20343,39376,21054,22575,43630,20057,22308,42364,17251,19339,36591,9718,11976,21691,3866,6407,10278,150710,161500,312210,8052,7474,15526,5957,6030,11987,147,152,300,88,109,200,6188,6300,12485,125665,132713,258376,22946,25110,48054,140949,148827,289774,8810,10407,19219,141554,150449,292003,2658,2518,5184,19640,18468,38111,7140,7156,14300,2587,2896,5477,3229,6538,9766,50879,56725,107606,9614,9137,18744,39168,42386,81551,11066,12641,23708,5782,6243,12032,440,373,808,147250,156757,304009,9276,10279,19558
103,102700,103464,206155,6828,6466,13290,14268,13353,27616,6692,6398,13093,5972,5590,11564,11580,11515,23097,11614,12040,23652,13358,13652,27016,13438,13329,26773,11313,11170,22483,5812,6696,12507,1824,3247,5075,96346,97878,194224,6348,5587,11935,6491,6359,12849,115,107,225,120,97,218,6732,6566,13292,85471,85782,171249,7635,7908,15540,89329,91275,180602,3537,3781,7316,89879,91843,181725,1504,1555,3056,12770,11958,24730,4353,4478,8833,1207,1685,2895,1911,3834,5748,26122,32579,58704,5559,5716,11277,26257,24356,50611,7524,7169,14691,5494,4415,9912,309,236,545,89856,91936,181792,12502,10638,23141
104,66583,69704,136288,3662,3466,7129,8570,8159,16734,4155,3863,8016,3173,2963,6135,6218,6535,12753,6994,7695,14690,8529,9637,18165,10403,10882,21286,8799,8834,17629,4559,5139,9702,1528,2526,4052,62429,65967,128397,4154,3739,7894,3435,3576,7012,68,79,151,63,80,141,3571,3732,7302,53896,55865,109764,7249,8212,15466,58373,61086,119455,3221,3727,6947,58670,61713,120382,954,890,1842,7745,7389,15138,2734,2719,5459,597,844,1445,1200,2726,3929,18525,21549,40076,4013,4169,8178,17051,18035,35085,5377,5246,10624,3439,3022,6467,240,257,501,60196,63496,123695,7822,7762,15582
105,56474,57300,113779,3862,3765,7635,7686,7310,14998,3333,3171,6502,3277,3184,6453,6823,7181,14006,6213,6444,12659,7369,7539,14907,7720,7581,15305,6055,5769,11821,3100,3652,6744,1033,1708,2741,52242,53562,105799,4234,3743,7976,9215,9399,18617,81,95,175,110,137,249,9411,9637,19041,47214,47902,95120,3305,3494,6794,48570,49888,98454,1930,2075,4002,48947,50358,99301,921,899,1821,6731,6388,13118,1984,2065,4046,411,635,1049,875,1981,2853,12823,16279,29105,3167,3379,6548,14162,13453,27619,4595,4338,8932,3653,2768,6420,221,146,366,48913,50440,99352,8906,7634,16537
106,130635,132782,263416,8819,8448,17264,18541,17460,36001,8419,7993,16410,7650,7437,15088,15527,16078,31603,16132,16340,32481,17085,17691,34777,16557,17015,33575,13615,13703,27320,6416,7261,13680,1877,3341,5219,123192,126357,249550,7441,6426,13864,7283,7087,14372,203,178,384,166,161,325,7655,7429,15084,110223,111641,221858,10775,11265,22041,117025,119871,236895,3902,4350,8255,116862,119583,236447,2112,2079,4191,16859,15905,32760,5602,5537,11140,1436,1910,3348,2134,4538,6673,31924,38078,70001,8462,7775,16235,36374,34778,71152,10305,11104,21406,5542,5194,10733,334,246,577,118056,121838,239893,11680,9963,21639
107,144488,149005,293494,8989,8486,17470,18604,17689,36295,9720,9264,18979,10863,9989,20855,17870,18027,35895,18022,18770,36792,18897,19629,38525,17511,18721,36239,13576,14464,28043,7707,9355,17066,2721,4612,7332,137260,142664,279920,7231,6344,13572,3907,4123,8024,108,77,188,73,81,153,4085,4277,8364,107680,110218,217899,28238,30034,58274,116613,119797,236409,20468,21851,42321,126338,130970,257312,2524,2382,4902,17357,16519,33872,7227,7276,14497,4643,4403,9050,4439,6190,10628,50789,54233,105026,8221,7414,15634,33458,33891,67352,8918,9860,18777,6120,7186,13304,723,1033,1757,133808,138327,272139,8793,9172,17966
108,103296,108901,212201,5266,4993,10261,12466,11975,24442,5993,5706,11701,4327,4197,8522,8293,8973,17264,9892,10824,20710,13038,14187,27232,15954,17167,33119,16324,16619,32942,8711,9547,18262,3030,4718,7749,96719,102834,199558,6575,6067,12646,6337,6558,12892,102,86,189,132,126,258,6563,6771,13340,84831,89180,174009,9824,10710,20535,92920,98220,191140,2576,3112,5686,92528,97932,190464,1466,1393,2856,11310,10825,22142,4056,4039,8091,695,1035,1731,1499,3618,5113,25871,30053,55926,6215,6268,12487,28170,30383,58559,9575,9800,19376,5946,5328,11274,254,220,475,93292,98868,192160,10176,10211,20392
109,57060,58743,115803,3588,3316,6905,7341,7199,14539,3514,3393,6902,3184,3128,6312,6053,6358,12415,6199,6635,12838,7264,7578,14843,8087,8236,16327,6909,6811,13722,3652,4140,7784,1264,1939,3208,52995,54933,107930,4070,3804,7875,1835,1966,3796,42,37,78,34,35,73,1911,2035,3949,47011,48296,95312,4742,5061,9808,49918,51413,101332,2530,2721,5249,50378,51999,102380,777,747,1531,6601,6504,13098,2320,2414,4730,607,935,1541,953,1985,2939,14734,18759,33491,5575,5659,11233,12641,11447,24084,4591,4007,8597,3265,2763,6028,255,214,471,50482,52020,102503,6829,6326,13161
110,89260,92299,181555,5884,5670,11556,12217,11862,24076,5990,5599,11589,5234,5270,10511,9850,10370,20212,9806,10454,20263,11444,11957,23405,12152,12279,24436,9980,9993,19976,5229,6054,11283,1470,2780,4248,83260,86680,169943,6001,5616,11616,8723,9022,17746,164,150,313,181,178,355,9063,9352,18415,74300,76603,150908,6205,6532,12739,78038,81184,159220,3343,3344,6688,78347,81317,159665,1452,1405,2853,10832,10540,21373,3780,3853,7637,1231,1639,2872,1671,3293,4968,23556,29157,52707,4736,5037,9768,21730,21289,43024,6949,6439,13386,5306,4015,9321,302,241,541,78429,81398,159831,11466,10604,22073
