SA4_CODE_2016,Sme_Usl_ad_1_yr_ago_as_2016_M,Sme_Usl_ad_1_yr_ago_as_2016_F,Sme_Usl_ad_1_yr_ago_as_2016_P,Dif_Usl_ad_1_yr_ago_Sme_SA2_M,Dif_Usl_ad_1_yr_ago_Sme_SA2_F,Dif_Usl_ad_1_yr_ago_Sme_SA2_P,Dif_Us_ad_1_ago_Dif_SA2_NSW_M,Dif_Us_ad_1_ago_Dif_SA2_NSW_F,Dif_Us_ad_1_ago_Dif_SA2_NSW_P,Dif_Us_ad_1_ago_Dif_SA2_Vic_M,Dif_Us_ad_1_ago_Dif_SA2_Vic_F,Dif_Us_ad_1_ago_Dif_SA2_Vic_P,Dif_Us_ad_1_ago_Dif_SA2_Qld_M,Dif_Us_ad_1_ago_Dif_SA2_Qld_F,Dif_Us_ad_1_ago_Dif_SA2_Qld_P,Dif_Us_ad_1_ago_Dif_SA2_SA_M,Dif_Us_ad_1_ago_Dif_SA2_SA_F,Dif_Us_ad_1_ago_Dif_SA2_SA_P,Dif_Us_ad_1_ago_Dif_SA2_WA_M,Dif_Us_ad_1_ago_Dif_SA2_WA_F,Dif_Us_ad_1_ago_Dif_SA2_WA_P,Dif_Us_ad_1_ago_Dif_SA2_Tas_M,Dif_Us_ad_1_ago_Dif_SA2_Tas_F,Dif_Us_ad_1_ago_Dif_SA2_Tas_P,Dif_Us_ad_1_ago_Dif_SA2_NT_M,Dif_Us_ad_1_ago_Dif_SA2_NT_F,Dif_Us_ad_1_ago_Dif_SA2_NT_P,Dif_Us_ad_1_ago_Dif_SA2_ACT_M,Dif_Us_ad_1_ago_Dif_SA2_ACT_F,Dif_Us_ad_1_ago_Dif_SA2_ACT_P,Dif_Us_ad_1_ago_Dif_SA2_OT_M,Dif_Us_ad_1_ago_Dif_SA2_OT_F,Dif_Us_ad_1_ago_Dif_SA2_OT_P,Dif_Us_ad_1_ago_Dif_SA2_Tot_M,Dif_Us_ad_1_ago_Dif_SA2_Tot_F,Dif_Us_ad_1_ago_Dif_SA2_Tot_P,Difnt_Usl_add_1_yr_ago_OS_M,Difnt_Usl_add_1_yr_ago_OS_F,Difnt_Usl_add_1_yr_ago_OS_P,Difnt_Usl_add_1_yr_ago_Ns_M,Difnt_Usl_add_1_yr_ago_Ns_F,Difnt_Usl_add_1_yr_ago_Ns_P,Difnt_Usl_add_1_yr_ago_Tot_M,Difnt_Usl_add_1_yr_ago_Tot_F,Difnt_Usl_add_1_yr_ago_Tot_P,N_stated_M,N_stated_F,N_stated_P,Tot_M,Tot_F,Tot_P
101,83433,84325,167758,4688,5033,9726,5703,5943,11639,478,455,940,450,469,919,102,87,187,126,130,261,44,45,86,75,78,152,1695,1763,3459,0,3,7,8674,8982,17649,604,586,1188,253,211,466,14215,14812,29026,10321,9496,19813,107975,108632,216598
102,123670,131278,254948,4432,4993,9422,14315,15439,29760,159,158,314,424,456,888,50,70,121,136,126,257,29,25,55,48,53,104,66,81,148,3,0,3,15226,16421,31649,800,935,1730,363,365,727,20819,22709,43534,12439,13263,25704,156933,167248,324183
103,77009,78303,155311,5322,5721,11044,6342,6734,13080,125,125,255,376,384,763,65,56,117,104,90,190,22,34,54,32,42,68,77,85,162,0,0,0,7149,7541,14691,327,411,739,222,181,408,13021,13855,26881,11386,10083,21471,101416,102249,203665
104,50451,52851,103301,3114,3531,6647,4419,4689,9105,204,206,406,755,779,1535,51,51,99,117,120,237,29,27,55,62,56,121,42,42,85,3,0,3,5674,5969,11643,351,470,820,196,175,373,9338,10140,19481,6119,6075,12194,65899,69073,134970
105,42182,42949,85135,2658,3014,5678,3119,3378,6489,121,145,267,244,278,524,113,88,197,63,73,132,10,14,23,28,31,61,26,25,50,3,0,4,3721,4032,7748,221,252,468,162,122,285,6760,7418,14176,6788,6213,13003,55727,56590,112312
106,99722,101790,201513,5959,6444,12404,9484,10069,19558,212,204,415,669,624,1296,95,69,162,170,160,328,36,39,74,90,86,175,60,57,119,0,3,4,10815,11309,22126,422,460,880,299,315,617,17493,18530,36023,11821,10937,22760,129045,131255,260299
107,114038,118071,232111,4016,4123,8143,11480,12202,23679,171,183,353,352,317,670,55,38,97,135,109,249,29,29,61,49,38,88,131,136,271,3,0,3,12405,13061,25470,1674,1489,3161,291,247,541,18389,18926,37308,10391,10405,20801,142818,147401,290219
108,78938,83442,162381,4816,5426,10243,7330,7777,15108,175,183,353,665,674,1335,43,53,96,94,101,192,45,37,82,48,38,88,52,61,112,3,0,3,8447,8923,17369,325,367,700,275,279,550,13871,14995,28870,9536,9563,19094,102344,107999,210346
109,43300,44205,87507,2449,2700,5148,2509,2754,5259,1619,1791,3408,238,254,483,108,92,193,85,76,159,16,28,44,56,49,110,35,42,80,0,0,3,4659,5081,9745,265,313,571,180,143,323,7558,8235,15789,5534,5665,11199,56390,58106,114497
110,66900,68939,135841,4849,5524,10369,5195,5650,10847,123,118,243,846,871,1715,60,54,110,74,71,148,25,15,40,52,48,103,50,41,98,3,3,5,6430,6875,13309,546,537,1082,247,207,449,12067,13140,25210,9201,9165,18367,88177,91239,179414
