SA4_CODE_2016,M_LPLFS_EFT_DC_0_4,M_LPLFS_EFT_DC_5_9,M_LPLFS_EFT_DC_10_12,M_LPLFS_EFT_DC_13_14,M_LPLFS_EFT_DC_15_17,M_LPLFS_EFT_DC_18_20,M_LPLFS_EFT_DC_21_24,M_LPLFS_EFT_T,M_LPLFS_EPT_DC_0_4,M_LPLFS_EPT_DC_5_9,M_LPLFS_EPT_DC_10_12,M_LPLFS_EPT_DC_13_14,M_LPLFS_EPT_DC_15_17,M_LPLFS_EPT_DC_18_20,M_LPLFS_EPT_DC_21_24,M_LPLFS_EPT_T,M_LPLFS_EAW_DC_0_4,M_LPLFS_EAW_DC_5_9,M_LPLFS_EAW_DC_10_12,M_LPLFS_EAW_DC_13_14,M_LPLFS_EAW_DC_15_17,M_LPLFS_EAW_DC_18_20,M_LPLFS_EAW_DC_21_24,M_LPLFS_EAW_T,M_LPLFS_HNS_DC_0_4,M_LPLFS_HNS_DC_5_9,M_LPLFS_HNS_DC_10_12,M_LPLFS_HNS_DC_13_14,M_LPLFS_HNS_DC_15_17,M_LPLFS_HNS_DC_18_20,M_LPLFS_HNS_DC_21_24,M_LPLFS_HNS_T,M_LPLFS_EW_T_DC_0_4,M_LPLFS_EW_T_DC_5_9,M_LPLFS_EW_T_DC_10_12,M_LPLFS_EW_T_DC_13_14,M_LPLFS_EW_T_DC_15_17,M_LPLFS_EW_T_DC_18_20,M_LPLFS_EW_T_DC_21_24,M_LPLFS_EW_T_T,M_LPLFS_ULFTW_DC_0_4,M_LPLFS_ULFTW_DC_5_9,M_LPLFS_ULFTW_DC_10_12,M_LPLFS_ULFTW_DC_13_14,M_LPLFS_ULFTW_DC_15_17,M_LPLFS_ULFTW_DC_18_20,M_LPLFS_ULFTW_DC_21_24,M_LPLFS_ULFTW_T,M_LPLFS_ULPTW_DC_0_4,M_LPLFS_ULPTW_DC_5_9,M_LPLFS_ULPTW_DC_10_12,M_LPLFS_ULPTW_DC_13_14,M_LPLFS_ULPTW_DC_15_17,M_LPLFS_ULPTW_DC_18_20,M_LPLFS_ULPTW_DC_21_24,M_LPLFS_ULPTW_T,M_LPLFS_U_T_DC_0_4,M_LPLFS_U_T_DC_5_9,M_LPLFS_U_T_DC_10_12,M_LPLFS_U_T_DC_13_14,M_LPLFS_U_T_DC_15_17,M_LPLFS_U_T_DC_18_20,M_LPLFS_U_T_DC_21_24,M_LPLFS_U_T_T,M_LPLFS_T_LF_DC_0_4,M_LPLFS_T_LF_DC_5_9,M_LPLFS_T_LF_DC_10_12,M_LPLFS_T_LF_DC_13_14,M_LPLFS_T_LF_DC_15_17,M_LPLFS_T_LF_DC_18_20,M_LPLFS_T_LF_DC_21_24,M_LPLFS_T_LF_T,M_LPLFS_NLF_DC_0_4,M_LPLFS_NLF_DC_5_9,M_LPLFS_NLF_DC_10_12,M_LPLFS_NLF_DC_13_14,M_LPLFS_NLF_DC_15_17,M_LPLFS_NLF_DC_18_20,M_LPLFS_NLF_DC_21_24,M_LPLFS_NLF_T,M_LPLFS_LFSNS_DC_0_4,M_LPLFS_LFSNS_DC_5_9,M_LPLFS_LFSNS_DC_10_12,M_LPLFS_LFSNS_DC_13_14,M_LPLFS_LFSNS_DC_15_17,M_LPLFS_LFSNS_DC_18_20,M_LPLFS_LFSNS_DC_21_24,M_LPLFS_LFSNS_T,M_LPLFS_T_DC_0_4,M_LPLFS_T_DC_5_9,M_LPLFS_T_DC_10_12,M_LPLFS_T_DC_13_14,M_LPLFS_T_DC_15_17,M_LPLFS_T_DC_18_20,M_LPLFS_T_DC_21_24,M_LPLFS_T_T,F_LPLFS_EFT_DC_0_4,F_LPLFS_EFT_DC_5_9,F_LPLFS_EFT_DC_10_12,F_LPLFS_EFT_DC_13_14,F_LPLFS_EFT_DC_15_17,F_LPLFS_EFT_DC_18_20,F_LPLFS_EFT_DC_21_24,F_LPLFS_EFT_T,F_LPLFS_EPT_DC_0_4,F_LPLFS_EPT_DC_5_9,F_LPLFS_EPT_DC_10_12,F_LPLFS_EPT_DC_13_14,F_LPLFS_EPT_DC_15_17,F_LPLFS_EPT_DC_18_20,F_LPLFS_EPT_DC_21_24,F_LPLFS_EPT_T,F_LPLFS_EAW_DC_0_4,F_LPLFS_EAW_DC_5_9,F_LPLFS_EAW_DC_10_12,F_LPLFS_EAW_DC_13_14,F_LPLFS_EAW_DC_15_17,F_LPLFS_EAW_DC_18_20,F_LPLFS_EAW_DC_21_24,F_LPLFS_EAW_T,F_LPLFS_HNS_DC_0_4,F_LPLFS_HNS_DC_5_9,F_LPLFS_HNS_DC_10_12,F_LPLFS_HNS_DC_13_14,F_LPLFS_HNS_DC_15_17,F_LPLFS_HNS_DC_18_20,F_LPLFS_HNS_DC_21_24,F_LPLFS_HNS_T,F_LPLFS_EW_T_DC_0_4,F_LPLFS_EW_T_DC_5_9,F_LPLFS_EW_T_DC_10_12,F_LPLFS_EW_T_DC_13_14,F_LPLFS_EW_T_DC_15_17,F_LPLFS_EW_T_DC_18_20,F_LPLFS_EW_T_DC_21_24,F_LPLFS_EW_T_T,F_LPLFS_ULFTW_DC_0_4,F_LPLFS_ULFTW_DC_5_9,F_LPLFS_ULFTW_DC_10_12,F_LPLFS_ULFTW_DC_13_14,F_LPLFS_ULFTW_DC_15_17,F_LPLFS_ULFTW_DC_18_20,F_LPLFS_ULFTW_DC_21_24,F_LPLFS_ULFTW_T,F_LPLFS_ULPTW_DC_0_4,F_LPLFS_ULPTW_DC_5_9,F_LPLFS_ULPTW_DC_10_12,F_LPLFS_ULPTW_DC_13_14,F_LPLFS_ULPTW_DC_15_17,F_LPLFS_ULPTW_DC_18_20,F_LPLFS_ULPTW_DC_21_24,F_LPLFS_ULPTW_T,F_LPLFS_U_T_DC_0_4,F_LPLFS_U_T_DC_5_9,F_LPLFS_U_T_DC_10_12,F_LPLFS_U_T_DC_13_14,F_LPLFS_U_T_DC_15_17,F_LPLFS_U_T_DC_18_20,F_LPLFS_U_T_DC_21_24,F_LPLFS_U_T_T,F_LPLFS_T_LF_DC_0_4,F_LPLFS_T_LF_DC_5_9,F_LPLFS_T_LF_DC_10_12,F_LPLFS_T_LF_DC_13_14,F_LPLFS_T_LF_DC_15_17,F_LPLFS_T_LF_DC_18_20,F_LPLFS_T_LF_DC_21_24,F_LPLFS_T_LF_T,F_LPLFS_NLF_DC_0_4,F_LPLFS_NLF_DC_5_9,F_LPLFS_NLF_DC_10_12,F_LPLFS_NLF_DC_13_14,F_LPLFS_NLF_DC_15_17,F_LPLFS_NLF_DC_18_20,F_LPLFS_NLF_DC_21_24,F_LPLFS_NLF_T,F_LPLFS_LFSNS_DC_0_4,F_LPLFS_LFSNS_DC_5_9,F_LPLFS_LFSNS_DC_10_12,F_LPLFS_LFSNS_DC_13_14,F_LPLFS_LFSNS_DC_15_17,F_LPLFS_LFSNS_DC_18_20,F_LPLFS_LFSNS_DC_21_24,F_LPLFS_LFSNS_T,F_LPLFS_T_DC_0_4,F_LPLFS_T_DC_5_9,F_LPLFS_T_DC_10_12,F_LPLFS_T_DC_13_14,F_LPLFS_T_DC_15_17,F_LPLFS_T_DC_18_20,F_LPLFS_T_DC_21_24,F_LPLFS_T_T,T_LPLFS_EFT_DC_0_4,T_LPLFS_EFT_DC_5_9,T_LPLFS_EFT_DC_10_12,T_LPLFS_EFT_DC_13_14,T_LPLFS_EFT_DC_15_17,T_LPLFS_EFT_DC_18_20,T_LPLFS_EFT_DC_21_24,T_LPLFS_EFT_T
101,50,142,121,107,146,31,16,611,20,59,56,28,33,11,3,202,0,3,4,4,4,0,0,16,3,3,0,3,3,3,0,19,79,204,181,137,189,38,16,845,7,9,10,8,15,3,0,55,3,6,6,3,3,0,0,24,11,16,19,11,18,6,0,85,84,217,200,153,209,47,13,927,45,93,78,55,64,7,0,338,5,9,4,5,4,0,0,23,138,324,275,208,280,52,17,1297,178,398,337,269,447,114,32,1777,339,778,468,343,393,55,14,2386,56,41,20,25,10,6,3,163,17,14,6,4,12,0,0,66,594,1224,837,643,861,174,53,4385,26,88,50,25,37,3,0,236,73,118,44,22,29,0,0,287,101,208,95,39,69,9,0,521,696,1439,932,685,928,180,54,4912,979,818,400,257,242,48,11,2741,31,26,10,10,3,0,0,84,1702,2280,1338,949,1174,225,71,7736,232,541,463,376,598,136,47,2387
102,105,182,172,164,259,92,30,1002,21,69,63,51,80,19,5,304,6,3,4,6,8,4,0,23,3,15,3,13,3,0,0,32,130,264,239,231,349,111,35,1359,5,16,17,15,22,0,4,76,8,14,4,0,5,0,3,30,11,28,22,12,22,0,6,111,145,295,264,242,373,112,40,1473,65,114,91,65,80,27,16,460,3,0,3,4,0,0,0,18,220,413,360,310,452,137,53,1948,240,660,584,447,759,257,127,3070,599,1301,920,606,756,181,84,4442,76,69,47,23,46,8,7,279,22,26,20,17,21,10,0,110,935,2049,1564,1100,1579,452,223,7900,63,150,80,45,75,13,3,434,158,269,117,61,80,18,7,701,218,418,194,108,157,31,9,1130,1155,2468,1760,1205,1728,485,226,9034,1967,1690,886,519,566,119,54,5806,19,19,17,9,3,0,0,76,3140,4178,2670,1737,2305,606,281,14911,344,839,758,616,1017,342,157,4072
103,65,126,101,79,153,33,5,570,11,36,30,16,40,12,0,150,3,5,4,0,3,0,0,14,3,3,0,3,3,0,0,11,81,168,140,102,198,42,10,740,9,13,17,13,21,3,0,75,4,11,4,3,3,0,0,23,10,21,18,18,26,3,0,96,95,196,159,124,221,51,10,838,63,82,56,46,75,9,3,332,0,6,3,8,3,0,0,18,157,278,218,169,292,58,15,1185,172,436,359,259,434,108,20,1787,449,739,466,322,367,58,12,2411,57,42,25,10,17,6,0,153,11,29,14,10,15,0,0,79,690,1244,863,597,828,165,35,4432,49,128,78,55,54,10,0,364,118,165,73,45,36,3,0,440,166,290,146,96,87,16,3,804,855,1532,1009,696,920,178,39,5233,1391,1072,536,315,310,43,11,3684,29,16,13,11,5,0,0,72,2274,2625,1557,1020,1237,223,50,8985,236,564,463,337,583,138,32,2355
104,35,77,80,65,90,22,8,382,19,53,34,22,43,4,4,181,0,6,4,3,3,0,0,15,3,8,6,0,0,0,0,23,55,147,129,90,132,31,13,601,7,19,10,11,8,0,0,54,3,22,6,0,0,0,0,32,9,39,17,9,12,0,0,89,68,188,144,105,141,32,13,685,40,68,49,47,44,14,0,261,0,4,4,5,6,0,0,18,112,258,195,156,191,45,15,968,95,253,242,181,307,39,15,1141,245,562,385,271,348,60,17,1887,20,26,17,6,22,6,0,97,8,10,7,9,16,0,3,56,371,850,653,473,687,105,35,3181,28,95,46,32,26,12,0,233,63,108,36,21,39,3,3,278,93,205,84,51,64,16,3,508,460,1053,737,523,750,125,37,3689,865,839,431,264,246,57,28,2731,6,16,8,4,6,0,0,43,1329,1906,1184,796,1001,181,71,6461,131,335,326,250,400,61,19,1524
105,46,74,59,36,70,9,3,299,7,30,18,10,22,3,3,95,0,3,4,0,0,0,0,11,4,6,7,0,7,0,0,23,55,117,78,52,95,14,6,417,8,19,8,6,4,5,0,53,0,16,5,10,0,0,0,30,8,37,12,12,9,5,0,81,68,152,88,61,104,16,6,503,47,79,38,28,37,3,0,238,3,10,4,5,0,0,0,23,124,241,134,93,149,23,6,764,128,326,207,172,228,42,5,1114,322,465,272,173,174,31,8,1447,33,17,16,13,8,4,0,87,12,24,15,16,22,0,0,88,501,832,509,372,430,75,13,2739,37,85,65,47,29,4,0,259,84,106,35,43,25,5,0,288,116,187,100,87,50,10,3,550,622,1019,609,462,483,79,14,3291,1117,854,431,231,218,27,12,2889,42,40,24,8,6,0,0,120,1783,1910,1068,694,708,112,26,6295,174,402,264,202,297,53,13,1413
106,90,218,160,116,180,43,21,828,22,48,43,34,44,10,5,201,6,4,3,3,9,0,0,26,0,0,6,10,3,0,0,18,121,271,207,166,231,54,26,1072,26,22,34,14,22,4,0,119,4,16,7,3,9,0,0,42,31,43,45,16,32,4,3,168,146,312,253,177,263,59,30,1234,90,111,78,86,70,9,3,446,0,7,9,3,4,0,0,25,238,434,337,268,334,68,31,1707,224,462,368,323,511,139,59,2084,600,1071,720,427,502,93,35,3453,79,62,32,29,41,7,3,240,15,34,19,17,17,3,5,110,910,1628,1138,799,1066,247,95,5890,63,166,100,73,80,18,3,501,157,239,92,63,49,10,0,609,222,407,191,140,131,26,4,1117,1133,2034,1331,936,1191,273,101,7004,1955,1647,818,428,398,67,31,5352,20,28,18,11,9,0,0,91,3110,3715,2168,1382,1607,342,131,12445,315,677,534,438,689,182,75,2914
107,82,168,149,140,217,80,42,883,15,42,28,40,50,18,13,199,3,11,5,5,5,4,0,35,6,0,6,0,8,3,0,22,101,224,196,193,272,108,54,1144,3,40,22,16,19,3,7,101,7,20,12,4,5,3,5,45,9,62,30,20,23,6,9,152,110,288,226,211,296,115,62,1295,52,84,85,61,71,26,19,400,0,0,3,6,3,0,0,16,165,372,316,280,369,141,82,1713,208,498,459,379,631,294,130,2591,534,994,673,453,596,195,79,3522,51,44,36,23,34,7,3,202,21,23,12,5,17,5,0,86,820,1566,1173,863,1278,494,212,6400,42,90,61,53,70,23,8,350,107,172,82,44,64,12,10,489,148,266,146,90,138,39,18,842,973,1830,1317,955,1410,528,226,7238,1395,1217,600,410,449,148,64,4285,20,21,23,6,3,0,0,75,2382,3063,1943,1370,1869,675,293,11599,288,668,605,523,845,374,173,3470
108,38,117,97,87,148,17,11,514,28,58,52,36,51,5,0,233,0,4,0,0,7,0,0,19,0,5,4,5,0,0,0,22,67,186,162,127,207,29,11,792,12,28,18,15,16,0,0,81,3,19,13,4,6,0,0,44,13,49,28,16,23,0,0,125,77,232,188,144,228,27,8,913,67,138,101,91,116,13,5,532,8,3,7,4,3,0,0,28,150,381,292,239,349,43,19,1469,142,342,308,244,393,61,7,1494,439,854,567,410,525,65,17,2883,51,37,18,12,33,10,5,163,24,25,23,8,15,3,0,89,655,1249,922,678,960,137,26,4630,43,92,94,44,75,10,0,361,76,179,84,52,56,3,3,453,118,274,182,101,126,8,5,808,767,1522,1103,784,1087,149,27,5439,1549,1347,681,427,391,75,27,4493,31,34,18,11,13,0,0,107,2347,2900,1799,1220,1491,223,58,10040,177,459,411,330,539,81,15,2007
109,30,59,62,54,74,17,4,296,7,36,20,10,13,6,3,96,0,0,0,0,0,0,0,0,3,0,7,0,3,3,0,16,40,91,90,65,92,23,5,413,6,5,6,11,7,4,0,40,0,5,4,3,0,0,0,12,6,12,8,16,7,3,0,56,50,100,100,80,98,26,5,464,34,58,29,19,23,10,0,180,4,7,3,3,0,0,0,16,82,163,140,99,124,35,12,655,64,191,195,143,194,36,23,847,237,392,244,176,235,39,9,1324,22,21,20,11,6,5,0,91,10,4,4,6,9,0,0,37,331,607,460,338,447,78,33,2296,14,45,24,23,23,4,0,137,42,81,28,20,20,0,0,200,63,125,51,46,43,6,0,332,392,736,513,382,492,80,33,2625,584,526,269,153,140,22,9,1704,9,17,11,7,4,0,0,53,990,1277,793,549,631,105,43,4386,98,249,254,200,266,48,24,1141
110,46,110,102,85,129,24,10,499,18,49,31,33,38,4,0,168,5,3,0,0,3,0,0,19,3,6,3,8,4,0,0,34,75,163,134,131,174,22,13,717,13,27,14,18,13,0,0,90,8,14,4,4,0,0,0,30,25,36,22,20,17,3,0,123,97,204,158,149,189,27,13,842,73,104,58,51,48,4,0,334,6,3,8,10,0,0,0,21,177,308,223,212,242,31,13,1203,173,379,303,232,318,49,10,1459,390,619,423,286,337,32,6,2098,52,38,20,15,22,5,3,151,26,20,10,9,8,6,0,85,646,1056,754,537,686,90,19,3787,51,110,80,47,54,7,3,358,103,154,68,33,39,10,0,404,153,266,148,80,96,9,3,758,800,1322,901,618,780,99,26,4543,1463,1244,604,337,283,53,11,3998,33,33,19,15,7,0,0,107,2290,2596,1524,969,1075,156,32,8647,225,492,403,313,440,65,22,1963
