SA4_CODE_2016,D_0_4_FPEFT_MPEFT,D_0_4_FPEFT_MPEPT,D_0_4_FPEFT_MPEAW,D_0_4_FPEFT_MPEHNS,D_0_4_FPEFT_MPET,D_0_4_FPEFT_MPULFTW,D_0_4_FPEFT_MPULPTW,D_0_4_FPEFT_MPUT,D_0_4_FPEFT_MPTLF,D_0_4_FPEFT_MPNLF,D_0_4_FPEFT_MPLFSNS,D_0_4_FPEFT_T,D_0_4_FPEPT_MPEFT,D_0_4_FPEPT_MPEPT,D_0_4_FPEPT_MPEAW,D_0_4_FPEPT_MPEHNS,D_0_4_FPEPT_MPET,D_0_4_FPEPT_MPULFTW,D_0_4_FPEPT_MPULPTW,D_0_4_FPEPT_MPUT,D_0_4_FPEPT_MPTLF,D_0_4_FPEPT_MPNLF,D_0_4_FPEPT_MPLFSNS,D_0_4_FPEPT_T,D_0_4_FPEAW_MPEFT,D_0_4_FPEAW_MPEPT,D_0_4_FPEAW_MPEAW,D_0_4_FPEAW_MPEHNS,D_0_4_FPEAW_MPET,D_0_4_FPEAW_MPULFTW,D_0_4_FPEAW_MPULPTW,D_0_4_FPEAW_MPUT,D_0_4_FPEAW_MPTLF,D_0_4_FPEAW_MPNLF,D_0_4_FPEAW_MPLFSNS,D_0_4_FPEAW_T,D_0_4_FPHNS_MPEFT,D_0_4_FPHNS_MPEPT,D_0_4_FPHNS_MPEAW,D_0_4_FPHNS_MPEHNS,D_0_4_FPHNS_MPET,D_0_4_FPHNS_MPULFTW,D_0_4_FPHNS_MPULPTW,D_0_4_FPHNS_MPUT,D_0_4_FPHNS_MPTLF,D_0_4_FPHNS_MPNLF,D_0_4_FPHNS_MPLFSNS,D_0_4_FPHNS_T,D_0_4_FPET_MPEFT,D_0_4_FPET_MPEPT,D_0_4_FPET_MPEAW,D_0_4_FPET_MPEHNS,D_0_4_FPET_MPET,D_0_4_FPET_MPULFTW,D_0_4_FPET_MPULPTW,D_0_4_FPET_MPUT,D_0_4_FPET_MPTLF,D_0_4_FPET_MPNLF,D_0_4_FPET_MPLFSNS,D_0_4_FPET_T,D_0_4_FPULFTW_MPEFT,D_0_4_FPULFTW_MPEPT,D_0_4_FPULFTW_MP_EAW,D_0_4_FPULFTW_MP_E_HW_NS,D_0_4_FPULFTW_MPET,D_0_4_FPULFTW_MPULFTW,D_0_4_FPULFTW_MPULPTW,D_0_4_FPULFTW_MPUT,D_0_4_FPULFTW_MPTLF,D_0_4_FPULFTW_MPNLF,D_0_4_FPULFTW_MPLFSNS,D_0_4_FPULFTW_T,D_0_4_FPULPTW_MPEFT,D_0_4_FPULPTW_MPEPT,D_0_4_FPULPTW_MPEAW,D_0_4_FPULPTW_MPEm_HW_NS,D_0_4_FPULPTW_MPET,D_0_4_FPULPTW_MPULFTW,D_0_4_FPULPTW_MPULPTW,D_0_4_FPULPTW_MPUT,D_0_4_FPULPTW_MPTLF,D_0_4_FPULPTW_MPNLF,D_0_4_FPULPTW_MPLFSNS,D_0_4_FPULPTW_T,D_0_4_FPUT_MPEFT,D_0_4_FPUT_MPEPT,D_0_4_FPUT_MPEAW,D_0_4_FPUT_MP_E_HNS,D_0_4_FPUT_MPET,D_0_4_FPUT_MPULFTW,D_0_4_FPUT_MPULPTW,D_0_4_FPUT_MPUT,D_0_4_FPUT_MPTLF,D_0_4_FPUT_MPNLF,D_0_4_FPUT_MPLFSNS,D_0_4_FPUT_T,D_0_4_FPTLF_MPEFT,D_0_4_FPTLF_MPEPT,D_0_4_FPTLF_MPEAW,D_0_4_FPTLF_MPEHNS,D_0_4_FPTLF_MPET,D_0_4_FPTLF_MPULFTW,D_0_4_FPTLF_MPULPTW,D_0_4_FPTLF_MPUT,D_0_4_FPTLF_MPTLF,D_0_4_FPTLF_MPNLF,D_0_4_FPTLF_MPLFSNS,D_0_4_FPTLF_T,D_0_4_FPNLF_MPEFT,D_0_4_FPNLF_MPEPT,D_0_4_FPNLF_MPEAW,D_0_4_FPNLF_MP_E_HNS,D_0_4_FPNLF_MPET,D_0_4_FPNLF_MPUEmpLfFTW,D_0_4_FPNLF_MPUEmpLfPTW,D_0_4_FPNLF_MPUT,D_0_4_FPNLF_MPTLF,D_0_4_FPNLF_MPNLF,D_0_4_FPNLF_MPLFSNS,D_0_4_FPNLF_T,D_0_4_FPLFSNS_MPEFT,D_0_4_FPLFSNS_MPEPT,D_0_4_FPLFSNS_MPEAW,D_0_4_FPLFSNS_MP_E_HNS,D_0_4_FPLFSNS_MPET,D_0_4_FPLFSNS_MPULFTW,D_0_4_FPLFSNS_MPULPTW,D_0_4_FPLFSNS_MPUT,D_0_4_FPLFSNS_MPTLF,D_0_4_FPLFSNS_MPNLF,D_0_4_FPLFSNS_MPLFSNS,D_0_4_FPLFSNS_T,D_0_4_FPT_MPEFT,D_0_4_FPT_MPEPT,D_0_4_FPT_MPEAW,D_0_4_FPT_MPEHNS,D_0_4_FPT_MPET,D_0_4_FPT_MPULFTW,D_0_4_FPT_MPULPTW,D_0_4_FPT_MPUT,D_0_4_FPT_MPTLF,D_0_4_FPT_MPNLF,D_0_4_FPT_MPLFSNS,D_0_4_FPT_T,D_5_9_FPEFT_MPEFT,D_5_9_FPEFT_MPEPT,D_5_9_FPEFT_MPEAW,D_5_9_FPEFT_MPEHNS,D_5_9_FPEFT_MPET,D_5_9_FPEFT_MPULFTW,D_5_9_FPEFT_MPULPTW,D_5_9_FPEFT_MPUT,D_5_9_FPEFT_MPTLF,D_5_9_FPEFT_MPNLF,D_5_9_FPEFT_MPLFSNS,D_5_9_FPEFT_T,D_5_9_FPEPT_MPEFT,D_5_9_FPEPT_MPEPT,D_5_9_FPEPT_MPEAW,D_5_9_FPEPT_MPEHNS,D_5_9_FPEPT_MPET,D_5_9_FPEPT_MPULFTW,D_5_9_FPEPT_MPULPTW,D_5_9_FPEPT_MPUT,D_5_9_FPEPT_MPTLF,D_5_9_FPEPT_MPNLF,D_5_9_FPEPT_MPLFSNS,D_5_9_FPEPT_T,D_5_9_FPEAW_MPEFT,D_5_9_FPEAW_MPEPT,D_5_9_FPEAW_MPEAW,D_5_9_FPEAW_MPEHNS,D_5_9_FPEAW_MPET,D_5_9_FPEAW_MPULFTW,D_5_9_FPEAW_MPULPTW,D_5_9_FPEAW_MPUT,D_5_9_FPEAW_MPTLF,D_5_9_FPEAW_MPNLF,D_5_9_FPEAW_MPLFSNS,D_5_9_FPEAW_T,D_5_9_FPHNS_MPEFT,D_5_9_FPHNS_MPEPT,D_5_9_FPHNS_MPEAW,D_5_9_FPHNS_MPEHNS,D_5_9_FPHNS_MPET,D_5_9_FPHNS_MPULFTW,D_5_9_FPHNS_MPULPTW,D_5_9_FPHNS_MPUT,D_5_9_FPHNS_MPTLF,D_5_9_FPHNS_MPNLF,D_5_9_FPHNS_MPLFSNS,D_5_9_FPHNS_T,D_5_9_FPET_MPEFT,D_5_9_FPET_MPEPT,D_5_9_FPET_MPEAW,D_5_9_FPET_MP_E_HNS,D_5_9_FPET_MPET,D_5_9_FPET_MPULFTW,D_5_9_FPET_MPULPTW,D_5_9_FPET_MPUT
101,1289,181,24,11,1505,22,0,29,1535,72,0,1608,2614,372,39,24,3042,25,15,38,3079,67,5,3158,690,75,88,11,857,6,5,15,875,27,0,901,48,3,3,40,93,0,0,0,93,3,0,96,4643,629,155,83,5510,57,16,77,5585,170,10,5764,38,4,3,0,46,13,0,13,56,3,0,63,88,12,0,3,105,14,3,15,120,0,0,120,128,18,3,3,154,25,3,23,176,5,0,184,4770,646,160,84,5660,78,17,103,5766,175,10,5947,1764,310,53,76,2206,100,13,110,2323,323,7,2647,18,3,0,3,23,0,0,0,23,0,17,43,6553,960,215,169,7895,180,35,214,8106,497,30,8637,2375,295,28,19,2722,34,11,42,2762,127,0,2890,3279,431,51,29,3786,41,19,56,3841,131,4,3974,163,43,39,0,240,0,5,4,249,17,3,263,53,6,3,46,106,3,0,3,108,4,5,117,5861,780,121,91,6858,79,32,106
102,1520,256,27,10,1818,33,16,40,1862,146,3,2009,4721,467,60,36,5283,47,12,58,5342,114,0,5459,1083,106,99,15,1302,10,3,15,1318,37,0,1350,74,8,4,50,131,6,0,6,136,8,0,145,7393,836,189,111,8530,91,31,126,8657,303,5,8962,48,11,0,4,61,6,3,14,76,10,0,87,263,39,6,3,306,14,3,14,321,8,0,328,311,48,6,9,372,19,3,24,399,19,0,413,7705,885,197,119,8906,116,39,149,9053,321,5,9380,3442,464,105,81,4096,120,20,144,4240,366,10,4606,9,3,0,15,33,0,0,0,33,0,36,67,11160,1354,297,215,13030,230,60,295,13319,683,46,14054,2581,384,37,17,3020,49,19,70,3093,207,0,3306,5532,527,79,45,6187,71,19,93,6281,194,7,6480,243,42,63,6,352,7,0,5,360,18,3,379,60,8,0,64,138,0,0,0,141,0,3,144,8422,957,168,142,9692,135,39,172
103,1064,133,17,8,1225,11,0,17,1245,86,3,1330,3209,250,35,29,3523,30,3,27,3555,79,3,3636,700,57,84,15,850,6,0,6,856,18,0,877,56,6,4,51,114,0,0,0,114,0,0,118,5026,444,135,106,5720,44,6,51,5768,179,8,5958,41,6,0,0,54,15,0,15,65,3,0,67,124,26,3,0,153,9,0,5,163,3,0,166,170,30,3,3,205,21,0,24,225,8,0,239,5200,475,141,105,5926,68,5,74,5998,187,8,6193,2143,288,70,79,2580,155,27,186,2769,299,11,3078,19,0,0,8,22,0,0,0,22,0,13,41,7352,767,214,188,8528,222,35,260,8790,488,26,9305,2092,226,29,22,2367,42,10,45,2413,120,3,2543,3631,341,37,32,4045,26,7,34,4079,130,9,4211,171,22,51,9,258,3,0,3,256,11,0,264,43,9,3,56,111,3,0,3,115,6,0,118,5942,598,115,122,6778,70,17,85
104,495,95,4,9,607,3,8,10,614,59,3,679,1353,257,11,18,1643,17,10,24,1665,45,0,1710,298,56,38,0,390,8,0,12,401,8,0,413,20,0,0,12,37,3,0,3,36,8,0,43,2165,404,54,40,2674,30,15,49,2718,115,3,2841,19,9,0,0,30,18,3,20,53,6,3,56,70,5,3,0,82,12,9,20,101,10,0,106,91,20,3,0,116,32,10,42,153,11,3,171,2259,420,58,40,2785,64,28,87,2874,129,7,3011,1187,250,42,39,1520,69,22,90,1609,230,8,1844,8,6,0,4,23,0,0,0,23,0,13,33,3449,683,103,81,4322,133,47,182,4504,356,30,4889,970,180,9,11,1169,25,14,37,1202,84,3,1290,1734,384,20,34,2176,31,8,46,2217,106,0,2327,69,11,21,0,100,0,4,4,107,11,0,119,32,4,0,11,49,6,0,6,53,4,4,59,2809,579,50,59,3493,65,27,84
105,712,79,9,0,805,10,0,10,814,43,0,855,1387,127,14,16,1544,14,7,23,1568,38,0,1608,370,41,38,4,454,4,0,8,463,3,0,466,30,3,0,16,46,0,0,3,47,5,0,53,2495,250,62,40,2847,32,12,41,2892,89,4,2986,21,6,4,0,28,5,4,10,37,0,0,41,51,4,0,3,57,0,0,0,60,4,0,63,70,13,3,3,83,7,4,9,98,6,0,100,2566,259,63,46,2935,43,11,51,2989,94,4,3088,993,120,44,42,1204,99,12,106,1312,208,3,1529,11,0,0,0,15,0,0,0,15,0,10,29,3577,381,116,85,4155,139,28,164,4312,305,22,4639,1247,93,9,8,1358,19,9,25,1386,76,0,1459,1541,175,18,16,1751,29,8,37,1790,66,0,1859,72,16,8,5,99,3,3,4,105,6,0,104,21,0,0,27,47,4,3,8,49,3,0,54,2878,287,38,57,3255,47,18,72
106,1318,147,35,7,1513,27,7,35,1544,89,0,1634,3790,385,45,38,4260,46,13,54,4315,97,4,4412,851,58,85,4,1000,13,3,13,1010,18,0,1030,52,12,0,39,102,7,0,7,103,5,0,108,6008,601,167,90,6870,87,18,106,6975,205,4,7184,65,12,0,0,77,11,0,18,95,14,0,104,219,31,0,6,269,13,6,19,285,13,0,298,284,46,6,6,346,24,4,31,376,25,0,403,6298,646,173,100,7210,112,29,136,7349,231,6,7585,3137,448,112,79,3777,171,43,212,3989,340,11,4337,25,0,0,3,31,0,0,0,31,4,25,58,9464,1092,279,186,11018,282,70,352,11371,576,38,11985,2269,235,49,15,2566,44,14,53,2628,150,0,2779,4534,486,69,36,5126,64,7,76,5198,137,0,5340,193,16,39,4,253,3,0,3,251,8,0,264,46,0,0,44,89,3,0,3,96,6,11,109,7041,739,156,98,8038,116,20,132
107,1415,206,28,7,1652,18,13,33,1680,112,0,1795,4543,447,62,36,5085,32,12,45,5132,123,9,5264,1106,115,119,11,1353,10,0,12,1362,16,3,1385,51,7,3,27,78,0,0,0,78,0,0,82,7106,771,212,86,8171,61,27,86,8260,259,15,8528,52,12,0,3,68,12,3,16,81,12,0,90,234,29,4,3,273,18,3,16,294,4,0,295,286,41,4,6,340,27,11,38,376,16,0,387,7391,813,219,90,8510,93,30,120,8629,272,15,8916,2958,492,82,82,3617,113,49,160,3774,551,3,4328,9,4,0,14,27,5,0,5,29,5,22,55,10360,1310,297,181,12152,203,85,288,12434,824,38,13296,2443,352,42,16,2850,41,18,61,2912,179,0,3088,5330,505,73,42,5949,67,20,89,6034,159,5,6206,276,20,50,3,347,6,0,6,354,12,0,369,28,3,0,35,68,0,0,0,68,5,3,73,8078,880,158,91,9209,108,43,156
108,654,147,11,8,821,16,8,21,846,72,3,920,1935,315,38,26,2313,38,13,47,2357,105,5,2472,314,61,42,4,424,7,0,6,433,14,0,448,21,5,0,30,56,0,0,0,58,4,0,61,2918,531,97,66,3613,65,16,82,3690,194,9,3893,11,7,0,5,26,10,0,10,33,12,0,46,79,19,5,5,106,8,0,10,117,10,0,127,95,23,5,9,133,20,0,24,155,22,0,171,3015,550,103,78,3743,79,22,99,3848,216,9,4065,1460,381,59,65,1970,137,33,174,2144,385,8,2536,15,3,0,7,33,0,0,0,32,3,18,50,4493,941,162,152,5747,221,56,277,6024,605,31,6657,1454,263,15,12,1746,31,17,48,1787,133,3,1919,2346,442,48,22,2859,58,11,64,2923,189,9,3120,103,26,34,0,158,6,3,8,170,3,0,172,39,4,0,36,80,0,0,0,82,6,0,88,3939,732,101,74,4845,95,26,123
109,577,67,12,0,658,3,4,6,668,38,0,705,1822,161,30,26,2041,10,0,12,2055,47,3,2104,368,36,53,3,455,0,0,0,455,0,0,458,26,4,0,14,47,0,0,0,47,3,3,48,2786,267,98,46,3198,18,8,22,3223,91,4,3313,23,9,0,0,32,9,0,9,33,3,0,40,57,8,0,0,65,7,0,7,76,3,0,75,80,15,0,3,95,11,0,11,108,3,0,115,2862,287,98,43,3291,31,8,37,3332,95,4,3432,1099,159,23,48,1335,55,8,65,1402,157,9,1563,5,0,0,3,12,0,0,0,12,0,14,20,3973,449,127,92,4638,87,17,108,4739,247,25,5014,994,104,17,10,1120,4,4,7,1125,79,0,1206,2075,182,34,26,2318,22,3,26,2344,53,5,2404,94,10,18,0,123,0,0,0,123,0,0,123,26,0,3,24,51,0,0,0,51,3,0,55,3193,298,68,56,3617,24,8,30
110,1058,109,16,6,1189,16,9,22,1210,67,0,1282,2341,227,29,23,2617,18,4,28,2639,49,10,2704,481,50,58,5,600,13,0,13,612,5,0,620,42,0,0,36,74,3,0,3,82,3,0,84,3919,390,104,74,4482,48,10,64,4544,135,13,4692,25,4,0,3,36,9,0,14,51,0,0,55,84,14,0,0,93,17,0,16,112,19,0,127,107,16,0,3,131,28,3,29,158,16,0,179,4025,410,104,77,4618,74,17,92,4704,149,15,4872,1775,267,57,52,2144,107,27,134,2276,346,12,2637,17,0,0,4,23,0,0,0,23,0,25,46,5818,672,164,132,6786,185,42,222,7006,498,51,7557,1848,194,25,11,2075,22,3,26,2103,74,0,2178,2764,237,54,28,3082,33,11,40,3119,87,3,3213,149,10,33,0,197,0,0,0,194,3,0,199,35,3,0,48,87,0,0,0,87,3,3,93,4792,449,117,84,5436,53,12,65
