UCL_CODE_2021,M_Emp_FullT_15_19,M_Emp_FullT_20_24,M_Emp_FullT_25_34,M_Emp_FullT_35_44,M_Emp_FullT_45_54,M_Emp_FullT_55_64,M_Emp_FullT_65_74,M_Emp_FullT_75_84,M_Emp_FullT_85ov,M_Emp_FullT_Tot,M_Emp_PartT_15_19,M_Emp_PartT_20_24,M_Emp_PartT_25_34,M_Emp_PartT_35_44,M_Emp_PartT_45_54,M_Emp_PartT_55_64,M_Emp_PartT_65_74,M_Emp_PartT_75_84,M_Emp_PartT_85ov,M_Emp_PartT_Tot,M_Emp_awy_f_wrk_15_19,M_Emp_awy_f_wrk_20_24,M_Emp_awy_f_wrk_25_34,M_Emp_awy_f_wrk_35_44,M_Emp_awy_f_wrk_45_54,M_Emp_awy_f_wrk_55_64,M_Emp_awy_f_wrk_65_74,M_Emp_awy_f_wrk_75_84,M_Emp_awy_f_wrk_85ov,M_Emp_awy_f_wrk_Tot,M_Hours_wkd_NS_15_19,M_Hours_wkd_NS_20_24,M_Hours_wkd_NS_25_34,M_Hours_wkd_NS_35_44,M_Hours_wkd_NS_45_54,M_Hours_wkd_NS_55_64,M_Hours_wkd_NS_65_74,M_Hours_wkd_NS_75_84,M_Hours_wkd_NS_85ov,M_Hours_wkd_NS_Tot,M_Tot_Emp_15_19,M_Tot_Emp_20_24,M_Tot_Emp_25_34,M_Tot_Emp_35_44,M_Tot_Emp_45_54,M_Tot_Emp_55_64,M_Tot_Emp_65_74,M_Tot_Emp_75_84,M_Tot_Emp_85ov,M_Tot_Emp_Tot,M_Unem_look_FTW_15_19,M_Unem_look_FTW_20_24,M_Unem_look_FTW_25_34,M_Unem_look_FTW_35_44,M_Unem_look_FTW_45_54,M_Unem_look_FTW_55_64,M_Unem_look_FTW_65_74,M_Unem_look_FTW_75_84,M_Unem_look_FTW_85ov,M_Unem_look_FTW_Tot,M_Unem_look_PTW_15_19,M_Unem_look_PTW_20_24,M_Unem_look_PTW_25_34,M_Unem_look_PTW_35_44,M_Unem_look_PTW_45_54,M_Unem_look_PTW_55_64,M_Unem_look_PTW_65_74,M_Unem_look_PTW_75_84,M_Unem_look_PTW_85ov,M_Unem_look_PTW_Tot,M_Tot_Unemp_15_19,M_Tot_Unemp_20_24,M_Tot_Unemp_25_34,M_Tot_Unemp_35_44,M_Tot_Unemp_45_54,M_Tot_Unemp_55_64,M_Tot_Unemp_65_74,M_Tot_Unemp_75_84,M_Tot_Unemp_85ov,M_Tot_Unemp_Tot,M_Tot_LF_15_19,M_Tot_LF_20_24,M_Tot_LF_25_34,M_Tot_LF_35_44,M_Tot_LF_45_54,M_Tot_LF_55_64,M_Tot_LF_65_74,M_Tot_LF_75_84,M_Tot_LF_85ov,M_Tot_LF_Tot,M_Not_in_LF_15_19,M_Not_in_LF_20_24,M_Not_in_LF_25_34,M_Not_in_LF_35_44,M_Not_in_LF_45_54,M_Not_in_LF_55_64,M_Not_in_LF_65_74,M_Not_in_LF_75_84,M_Not_in_LF_85ov,M_Not_in_LF_Tot,M_LFS_NS_15_19,M_LFS_NS_20_24,M_LFS_NS_25_34,M_LFS_NS_35_44,M_LFS_NS_45_54,M_LFS_NS_55_64,M_LFS_NS_65_74,M_LFS_NS_75_84,M_LFS_NS_85ov,M_LFS_NS_Tot,M_Tot_15_19,M_Tot_20_24,M_Tot_25_34,M_Tot_35_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85ov,M_Tot_Tot,F_Emp_FullT_15_19,F_Emp_FullT_20_24,F_Emp_FullT_25_34,F_Emp_FullT_35_44,F_Emp_FullT_45_54,F_Emp_FullT_55_64,F_Emp_FullT_65_74,F_Emp_FullT_75_84,F_Emp_FullT_85ov,F_Emp_FullT_Tot,F_Emp_PartT_15_19,F_Emp_PartT_20_24,F_Emp_PartT_25_34,F_Emp_PartT_35_44,F_Emp_PartT_45_54,F_Emp_PartT_55_64,F_Emp_PartT_65_74,F_Emp_PartT_75_84,F_Emp_PartT_85ov,F_Emp_PartT_Tot,F_Emp_awy_f_wrk_15_19,F_Emp_awy_f_wrk_20_24,F_Emp_awy_f_wrk_25_34,F_Emp_awy_f_wrk_35_44,F_Emp_awy_f_wrk_45_54,F_Emp_awy_f_wrk_55_64,F_Emp_awy_f_wrk_65_74,F_Emp_awy_f_wrk_75_84,F_Emp_awy_f_wrk_85ov,F_Emp_awy_f_wrk_Tot,F_Hours_wkd_NS_15_19,F_Hours_wkd_NS_20_24,F_Hours_wkd_NS_25_34,F_Hours_wkd_NS_35_44,F_Hours_wkd_NS_45_54,F_Hours_wkd_NS_55_64,F_Hours_wkd_NS_65_74,F_Hours_wkd_NS_75_84,F_Hours_wkd_NS_85ov,F_Hours_wkd_NS_Tot,F_Tot_Emp_15_19,F_Tot_Emp_20_24,F_Tot_Emp_25_34,F_Tot_Emp_35_44,F_Tot_Emp_45_54,F_Tot_Emp_55_64,F_Tot_Emp_65_74,F_Tot_Emp_75_84,F_Tot_Emp_85ov,F_Tot_Emp_Tot,F_Unem_look_FTW_15_19,F_Unem_look_FTW_20_24,F_Unem_look_FTW_25_34,F_Unem_look_FTW_35_44,F_Unem_look_FTW_45_54,F_Unem_look_FTW_55_64,F_Unem_look_FTW_65_74,F_Unem_look_FTW_75_84,F_Unem_look_FTW_85ov,F_Unem_look_FTW_Tot,F_Unem_look_PTW_15_19,F_Unem_look_PTW_20_24,F_Unem_look_PTW_25_34,F_Unem_look_PTW_35_44,F_Unem_look_PTW_45_54,F_Unem_look_PTW_55_64,F_Unem_look_PTW_65_74,F_Unem_look_PTW_75_84,F_Unem_look_PTW_85ov,F_Unem_look_PTW_Tot,F_Tot_Unemp_15_19,F_Tot_Unemp_20_24,F_Tot_Unemp_25_34,F_Tot_Unemp_35_44,F_Tot_Unemp_45_54,F_Tot_Unemp_55_64,F_Tot_Unemp_65_74,F_Tot_Unemp_75_84,F_Tot_Unemp_85ov,F_Tot_Unemp_Tot
UCL122039,4,4,11,12,9,12,5,0,0,49,3,0,0,4,3,4,5,0,0,22,0,0,0,0,3,0,0,0,0,5,0,0,0,3,0,4,0,0,0,7,6,4,15,13,15,16,9,0,0,85,0,3,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,9,9,10,15,14,15,19,9,0,0,87,10,0,0,6,9,14,21,11,4,65,0,0,0,3,0,0,0,3,0,17,16,12,14,22,23,32,31,14,3,170,7,0,4,10,10,14,3,0,0,39,5,0,6,12,11,6,5,0,0,44,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,4,11,18,18,22,8,0,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
UCL122040,0,0,5,0,5,0,0,0,0,15,0,0,0,3,4,4,5,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,5,5,5,5,0,0,28,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,4,7,6,5,5,5,0,0,30,3,0,0,3,10,11,13,11,0,54,0,0,0,0,0,0,0,0,0,8,0,4,11,5,13,21,22,11,0,88,0,0,0,0,5,0,0,0,0,10,4,0,7,0,0,6,0,0,0,18,0,0,0,3,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,4,0,8,7,5,7,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4
UCL122041,0,3,8,10,9,21,4,0,0,63,5,0,9,0,3,6,3,0,0,32,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,6,5,5,20,12,15,28,3,0,0,98,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,5,6,19,12,15,28,3,0,0,101,6,4,7,0,0,10,19,5,0,51,0,0,0,3,0,0,3,5,0,18,8,15,26,16,17,39,28,9,0,167,0,3,8,6,8,4,0,0,0,29,0,3,3,10,7,10,3,0,0,48,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,8,16,16,17,15,3,0,0,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UCL122042,6,5,8,12,7,5,5,0,0,45,0,6,3,3,0,5,3,0,0,13,0,0,3,0,0,3,0,0,0,9,0,0,0,0,3,0,0,0,0,6,6,8,13,12,19,14,7,0,0,78,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6,8,16,17,16,14,7,0,0,81,5,3,3,4,5,4,10,5,0,38,0,0,4,0,0,0,0,0,0,8,14,9,16,18,22,15,14,5,0,125,0,9,0,9,10,5,0,0,0,22,0,0,4,8,8,3,0,0,0,33,0,3,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,3,13,6,15,18,9,0,0,0,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,5
UCL122043,6,3,3,14,12,15,3,0,0,62,3,0,0,3,0,0,3,0,0,15,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,7,6,6,20,13,20,10,0,0,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,5,6,6,20,13,22,10,0,0,86,0,0,0,0,0,3,19,11,0,43,0,5,5,0,0,0,0,0,0,6,11,10,10,18,19,29,27,10,0,135,0,0,4,8,9,5,0,0,0,19,3,0,9,6,4,10,5,0,0,33,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,3,16,11,9,13,3,0,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4
UCL122044,0,0,3,0,3,5,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,5,3,3,0,0,0,19,0,0,0,0,6,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,7,0,3,3,5,4,3,0,0,0,19,4,0,0,0,3,5,10,8,0,24,0,0,0,0,0,0,6,0,0,6,3,3,10,5,4,5,14,8,0,51,0,0,0,0,6,0,0,0,0,13,0,0,0,0,3,0,0,0,0,7,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,3,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,5
UCL122045,0,0,4,8,3,11,0,0,0,33,0,0,3,0,3,4,3,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,13,6,17,3,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,13,6,17,3,0,0,50,0,4,4,0,4,9,16,10,4,55,0,0,0,0,0,0,0,3,0,9,5,6,11,10,12,25,21,15,9,116,0,0,6,5,3,0,0,0,0,17,3,5,3,5,0,8,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,6,4,9,11,0,3,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UCL122046,0,5,9,16,6,23,4,0,0,70,0,0,0,0,4,10,0,0,0,25,0,0,0,0,0,8,0,0,0,9,0,0,0,0,0,0,0,0,0,0,6,9,11,16,8,38,3,0,0,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,6,9,11,19,15,38,8,0,0,112,0,0,4,0,4,13,48,26,6,99,0,0,0,6,4,4,5,0,0,12,6,6,13,20,15,62,51,31,13,219,0,4,3,3,7,9,0,0,0,31,3,5,3,7,6,24,3,0,0,47,0,0,0,0,0,4,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,4,13,8,12,30,7,0,0,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UCL122047,0,0,0,7,16,14,8,0,0,43,0,0,0,3,0,7,4,3,0,19,0,0,0,0,0,3,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,3,3,9,16,22,15,0,0,68,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,5,0,3,0,9,19,22,11,0,0,70,9,0,0,0,0,5,19,14,0,57,0,0,0,0,0,5,0,0,0,7,8,3,0,7,26,30,29,19,0,130,0,0,0,8,7,11,3,0,0,24,0,0,3,4,9,13,7,0,0,42,0,0,0,0,4,7,3,0,0,11,0,0,0,0,0,0,0,0,0,4,0,0,6,13,18,26,11,0,0,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3
UCL122048,0,4,8,9,3,11,6,0,0,41,0,0,0,3,3,0,0,0,0,8,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,4,10,12,9,14,3,0,0,56,0,0,0,3,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,4,0,0,0,3,0,0,0,0,0,7,0,6,11,12,9,15,8,0,0,62,4,0,0,0,12,16,21,25,7,88,4,0,11,8,11,8,4,0,0,51,12,10,24,23,32,42,35,28,6,201,0,0,0,7,8,5,4,0,0,23,0,0,0,3,6,6,0,0,0,16,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,3,5,5,14,16,5,0,0,47,0,0,3,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,5,0,0,7,0,0,0,0,0,0,8
UCL122049,0,4,0,5,6,3,6,0,0,28,0,0,5,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,10,12,7,5,0,0,42,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,7,7,10,9,7,5,0,0,51,9,0,0,0,12,10,34,19,0,83,0,0,0,0,0,3,5,0,0,11,3,10,8,11,25,22,45,14,5,145,0,3,3,0,5,0,0,0,0,17,3,3,0,4,3,3,5,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,4,4,8,3,8,0,0,40,0,0,0,6,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,3,0,0,0,3
UCL122050,0,0,3,5,5,10,0,0,0,24,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,5,8,0,0,0,33,0,0,0,0,0,5,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,6,0,0,3,5,4,12,0,0,0,35,3,0,0,0,6,9,14,10,0,49,0,0,0,0,0,0,0,0,0,4,3,0,10,7,10,27,20,13,0,83,0,3,0,0,0,7,0,0,0,4,0,0,0,9,4,5,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,8,7,0,0,0,30,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
UCL122051,0,0,5,10,4,9,0,0,0,33,0,0,0,0,0,4,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,5,17,4,13,0,0,0,37,4,0,0,0,0,3,0,0,0,7,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,8,0,9,5,13,4,16,0,0,0,46,3,6,0,3,5,8,10,12,4,47,3,0,4,6,4,3,0,0,0,16,7,7,3,24,11,27,14,13,4,113,3,0,6,4,6,6,0,0,0,16,7,3,4,3,4,9,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3,7,7,12,12,3,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3
UCL122052,0,0,0,7,5,6,5,0,0,27,3,0,0,4,3,0,0,0,0,16,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,3,0,0,10,12,13,3,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,4,0,10,12,8,3,0,0,53,0,0,0,0,3,7,20,6,0,40,0,0,0,0,3,0,4,0,0,12,4,6,3,16,19,17,24,12,0,106,0,0,0,8,8,12,6,0,0,27,4,0,5,3,8,11,3,0,0,34,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,8,15,13,15,5,0,0,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UCL122053,0,0,6,6,6,7,3,0,0,26,0,0,0,0,8,7,0,0,0,15,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,6,6,11,10,3,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,6,6,11,13,3,0,0,52,0,0,4,0,6,12,18,16,10,73,0,0,3,0,0,0,0,3,0,13,3,0,11,11,21,33,23,21,10,129,0,0,0,3,0,0,0,0,0,12,5,0,3,4,5,6,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,3,10,8,4,7,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UCL122054,0,4,25,11,17,10,3,0,0,66,0,0,0,0,0,5,9,0,0,20,0,0,0,0,0,0,0,0,0,3,0,4,6,0,0,0,0,0,0,4,3,7,24,11,21,19,14,0,0,97,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,5,3,7,29,15,21,19,14,0,0,102,5,0,0,0,0,7,19,7,4,47,5,0,7,5,10,6,13,3,0,47,12,10,35,22,28,26,36,12,6,190,0,4,9,7,12,8,3,0,0,39,0,3,5,8,3,8,3,0,0,34,0,0,0,0,0,0,0,0,0,9,0,0,3,3,0,0,0,0,0,4,0,3,20,15,18,14,7,0,0,85,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,4
UCL122055,0,4,7,9,15,15,7,0,0,52,0,0,0,4,9,0,4,3,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,9,10,19,13,9,4,0,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6,9,10,19,14,9,4,0,78,0,0,0,0,5,8,27,20,0,70,0,0,0,0,0,0,0,5,0,7,7,6,10,10,23,27,43,34,4,154,0,0,0,4,16,10,0,0,0,31,0,3,0,9,8,17,7,5,0,57,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,5,0,3,13,24,32,10,5,0,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UCL122056,4,5,0,15,9,0,0,0,0,37,5,0,0,4,3,4,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,3,14,11,4,12,0,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,3,16,11,4,12,0,0,57,8,0,0,0,8,11,23,15,0,59,0,0,0,0,0,0,0,0,0,3,11,6,4,22,17,11,29,17,0,122,0,0,4,9,4,3,0,0,0,27,0,0,0,5,11,6,0,0,0,30,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,5,3,3,12,12,8,4,0,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UCL122057,0,7,6,12,10,8,6,0,0,48,0,0,0,0,0,4,4,0,0,13,0,0,0,0,0,3,0,0,0,5,0,0,0,0,0,0,0,0,0,0,5,4,10,12,19,11,4,0,0,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,10,12,19,12,4,0,0,65,4,0,0,5,4,5,17,0,4,38,0,0,0,0,0,0,0,0,0,0,8,6,13,15,20,14,19,0,4,103,3,0,5,4,12,6,0,0,0,31,9,0,0,3,12,7,0,0,0,31,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,9,7,11,6,23,11,4,0,0,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,6,0,0,0,0,0,4,0,0,0,6
UCL122058,0,9,13,11,11,7,5,0,0,53,4,0,4,0,3,4,4,0,0,20,0,0,0,0,0,4,0,0,0,3,0,0,0,0,0,0,0,0,0,5,4,5,16,16,17,11,4,0,0,82,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,5,0,0,0,9,3,5,20,18,18,14,5,0,0,92,0,0,7,3,9,18,36,22,3,93,0,0,4,0,4,4,4,0,0,17,7,13,28,22,32,30,45,31,3,202,0,3,3,13,5,10,0,0,0,30,4,0,13,4,11,11,0,0,0,36,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,15,21,18,16,3,0,0,75,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
UCL122059,0,11,19,19,16,12,5,0,0,76,0,0,0,6,3,4,0,0,0,16,0,0,0,0,0,3,0,0,0,4,0,0,0,0,0,0,0,0,0,0,3,13,17,18,16,18,6,0,0,91,0,0,6,0,3,0,0,0,0,9,0,4,0,0,0,0,0,0,0,0,0,4,3,0,3,0,0,0,0,13,3,15,20,18,15,18,7,0,0,102,0,0,0,3,0,7,20,11,3,56,0,0,3,0,0,0,5,0,0,11,3,17,31,25,22,29,33,13,3,170,0,4,8,10,10,13,5,0,0,47,7,4,9,8,17,8,4,0,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,11,15,20,25,22,4,0,0,104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
UCL122060,0,4,10,14,11,4,0,0,0,44,0,0,0,4,6,5,6,0,0,20,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,0,7,10,19,11,13,4,0,0,71,0,0,4,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,0,0,0,4,0,7,14,17,11,16,4,0,0,74,3,7,8,0,0,3,31,7,5,61,5,0,5,3,5,6,6,3,0,32,4,7,25,23,24,30,36,12,9,165,0,4,0,6,10,9,0,0,0,29,5,0,3,6,3,8,0,0,0,28,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,7,3,10,18,9,12,0,0,0,63,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,6
UCL122061,0,0,0,0,3,0,0,0,0,13,0,0,0,0,3,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,6,5,0,0,0,23,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,4,0,4,3,0,11,5,0,0,0,27,4,0,8,3,0,5,6,4,0,26,0,8,3,3,6,0,0,3,0,19,4,8,18,5,10,12,13,9,0,69,0,0,0,0,0,4,0,0,0,7,0,0,3,0,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,7,4,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UCL122062,0,3,17,13,15,17,5,0,0,65,4,4,3,0,0,4,0,0,0,12,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,3,8,18,8,15,16,8,0,0,79,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,5,3,8,18,8,21,19,8,0,0,84,7,0,0,0,4,0,15,5,0,35,5,3,0,0,4,4,0,5,0,18,8,15,23,8,33,28,19,8,0,142,5,0,6,5,9,8,0,0,0,32,5,5,11,4,5,6,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,17,6,12,13,3,0,0,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4
UCL122063,4,4,14,15,5,10,3,0,0,50,0,0,4,0,0,4,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,4,18,16,8,17,4,4,0,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,18,16,8,17,4,4,0,70,3,3,3,0,3,5,16,6,0,45,0,0,0,0,0,3,0,0,0,9,11,4,22,20,10,22,18,12,0,120,0,0,10,4,6,0,0,0,0,16,5,0,8,4,10,9,6,0,0,29,0,0,0,3,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,5,0,15,13,12,9,6,0,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,3
UCL122064,0,5,4,6,11,12,4,0,0,30,0,0,4,4,6,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,5,7,10,10,6,0,0,46,0,3,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,12,0,10,9,10,10,15,6,0,0,52,4,0,5,5,5,12,12,5,6,60,0,0,0,6,4,4,5,0,0,12,6,8,13,13,26,32,16,5,6,127,0,0,5,5,8,0,0,0,0,21,0,3,5,7,0,7,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,9,7,9,7,0,0,0,43,0,0,3,4,0,0,0,0,0,8,0,0,4,0,0,0,0,0,0,5,0,0,4,4,0,0,0,0,0,9
UCL122065,0,3,8,12,10,10,0,0,0,45,0,0,4,3,8,6,0,0,0,20,0,0,0,0,0,4,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,16,16,9,26,0,0,0,73,0,0,3,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,6,0,6,16,16,9,23,0,0,0,79,0,0,0,0,3,18,38,25,3,92,0,0,0,0,0,0,9,3,0,13,4,6,16,11,16,45,46,25,3,177,0,0,12,0,8,12,0,0,0,32,0,0,0,5,8,10,5,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,12,6,25,5,0,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
