UCL_CODE_2021,I_4000more_1AW_OthNW,I_4000more_BNW,I_4000more_LFsta_NS,I_4000more_Tot,Part_inc_stated_BE_WFT,Part_inc_stated_BE_WPT,Part_inc_stated_BE_BAW,Part_inc_stated_1EFT_OthPT,Part_inc_stated_1EFT_OthAW,Part_inc_stated_1EFT_OthNW,Part_inc_stated_1EPT_OthAW,Part_inc_stated_1EPT_OthNW,Part_inc_stated_1AW_OthNW,Part_inc_stated_BNW,Part_inc_stated_LFsta_NS,Part_inc_stated_Tot,All_inc_NS_BE_WFT,All_inc_NS_BE_WPT,All_inc_NS_BE_BAW,All_inc_NS_1EFT_OthPT,All_inc_NS_1EFT_OthAW,All_inc_NS_1EFT_OthNW,All_inc_NS_1EPT_OthAW,All_inc_NS_1EPT_OthNW,All_inc_NS_1AW_OthNW,All_inc_NS_BNW,All_inc_NS_LFsta_NS,All_inc_NS_Tot,Tot_BE_WFT,Tot_BE_WPT,Tot_BE_BAW,Tot_1EFT_OthPT,Tot_1EFT_OthAW,Tot_1EFT_OthNW,Tot_1EPT_OthAW,Tot_1EPT_OthNW,Tot_1AW_OthNW,Tot_BNW,Tot_LFsta_NS,Tot_Tot
UCL101001,1621,4967,216,189162,4006,854,748,3046,1100,2786,576,1260,1063,3720,13874,33032,340,68,346,253,137,216,72,90,230,635,2602,4998,139989,27277,11939,121463,37343,99302,15337,36787,18764,79432,18062,605701
UCL102001,9,23,3,1557,66,5,4,37,12,16,5,4,0,10,119,287,0,0,0,0,0,5,0,0,0,0,13,27,1632,166,42,1210,270,619,60,163,31,207,142,4542
UCL102002,50,97,6,6743,331,91,45,342,87,177,50,84,38,221,963,2428,20,3,25,20,12,11,7,8,12,20,100,248,6828,2160,644,9857,2630,5070,1226,2054,776,2957,1125,35307
UCL102003,8,12,0,978,63,17,4,65,10,34,5,16,7,34,221,492,6,0,3,0,3,5,0,0,4,5,30,58,1276,433,67,1890,273,712,150,344,85,490,270,5993
UCL102004,50,142,12,9137,428,65,32,406,65,153,43,95,36,178,1233,2720,15,0,15,34,13,6,6,4,3,25,74,193,8910,1996,407,13081,2035,4577,688,1742,438,2776,1373,38016
UCL102005,59,143,6,7193,267,59,34,270,81,158,40,88,37,172,874,2076,6,0,10,24,10,8,4,3,10,28,97,209,6470,1670,534,9266,2531,4426,928,1773,688,3063,1034,32387
UCL111001,0,4,0,770,58,14,4,64,6,28,3,7,0,21,210,415,4,5,0,3,0,0,0,0,4,8,16,39,1323,254,34,1834,267,691,72,240,46,334,235,5322
UCL111002,0,11,0,618,60,15,5,63,7,16,3,17,10,33,134,360,5,0,3,0,0,0,0,0,0,8,13,27,1126,339,40,1413,179,518,75,289,67,484,162,4698
UCL111003,9,23,5,1831,124,15,11,110,17,57,9,21,14,40,499,920,8,0,0,8,0,0,3,0,6,11,28,63,2597,443,101,3451,599,1581,196,466,162,683,551,10821
UCL112001,0,6,0,253,30,3,0,12,0,9,0,5,0,9,50,113,0,0,0,4,0,0,0,0,0,0,4,12,458,100,19,451,52,237,37,113,19,166,60,1716
