UCL_CODE_2021,C15_17F_EO_M_O_E_T,C15_17F_EO_M_LPENS,C15_17F_EO_M_T,C15_17F_O_EVWW_M_EO,C15_17F_O_EVWW_M_O_EVWW,C15_17F_O_EVWW_M_O_ENWNA,C15_17F_O_EVWW_M_O_PENS,C15_17F_O_EVWW_M_O_E_T,C15_17F_O_EVWW_M_LPENS,C15_17F_O_EVWW_M_T,C15_17F_O_ENWNA_M_EO,C15_17F_O_ENWNA_M_O_EVWW,C15_17F_O_ENWNA_M_O_ENWNA,C15_17F_O_ENWNA_M_O_PENS,C15_17F_O_ENWNA_M_O_E_T,C15_17F_O_ENWNA_M_LPENS,C15_17F_O_ENWNA_M_T,C15_17F_O_PENS_M_EO,C15_17F_O_PENS_M_O_EVWW,C15_17F_O_PENS_M_O_ENWNA,C15_17F_O_PENS_M_O_PENS,C15_17F_O_PENS_M_O_E_T,C15_17F_O_PENS_M_LPENS,C15_17F_O_PENS_M_T,C15_17F_O_E_T_M_EO,C15_17F_O_E_T_M_O_EVWW,C15_17F_O_E_T_M_O_ENWNA,C15_17F_O_E_T_M_O_PENS,C15_17F_O_E_T_M_O_E_T,C15_17F_O_E_T_M_LPENS,C15_17F_O_E_T_M_T,C15_17F_LPENS_M_EO,C15_17F_LPENS_M_O_EVWW,C15_17F_LPENS_M_O_ENWNA,C15_17F_LPENS_M_O_PENS,C15_17F_LPENS_M_O_E_T,C15_17F_LPENS_M_LPENS,C15_17F_LPENS_M_T,C15_17F_T_M_EO,C15_17F_T_M_O_EVWW,C15_17F_T_M_O_ENWNA,C15_17F_T_M_O_PENS,C15_17F_T_M_O_E_T,C15_17F_T_M_LPENS,C15_17F_T_M_T,C18_20F_EO_M_EO,C18_20F_EO_M_O_EVWW,C18_20F_EO_M_O_ENWNA,C18_20F_EO_M_O_PENS,C18_20F_EO_M_O_E_T,C18_20F_EO_M_LPENS,C18_20F_EO_M_T,C18_20F_O_EVWW_M_EO,C18_20F_O_EVWW_M_O_EVWW,C18_20F_O_EVWW_M_O_ENWNA,C18_20F_O_EVWW_M_O_PENS,C18_20F_O_EVWW_M_O_E_T,C18_20F_O_EVWW_M_LPENS,C18_20F_O_EVWW_M_T,C18_20F_O_ENWNA_M_EO,C18_20F_O_ENWNA_M_O_EVWW,C18_20F_O_ENWNA_M_O_ENWNA,C18_20F_O_ENWNA_M_O_PENS,C18_20F_O_ENWNA_M_O_E_T,C18_20F_O_ENWNA_M_LPENS,C18_20F_O_ENWNA_M_T,C18_20F_O_PENS_M_EO,C18_20F_O_PENS_M_O_EVWW,C18_20F_O_PENS_M_O_ENWNA,C18_20F_O_PENS_M_O_PENS,C18_20F_O_PENS_M_O_E_T,C18_20F_O_PENS_M_LPENS,C18_20F_O_PENS_M_T,C18_20F_O_E_T_M_EO,C18_20F_O_E_T_M_O_EVWW,C18_20F_O_E_T_M_O_ENWNA,C18_20F_O_E_T_M_O_PENS,C18_20F_O_E_T_M_O_E_T,C18_20F_O_E_T_M_LPENS,C18_20F_O_E_T_M_T,C18_20F_LPENS_M_EO,C18_20F_LPENS_M_O_EVWW,C18_20F_LPENS_M_O_ENWNA,C18_20F_LPENS_M_O_PENS,C18_20F_LPENS_M_O_E_T,C18_20F_LPENS_M_LPENS,C18_20F_LPENS_M_T,C18_20F_T_M_EO,C18_20F_T_M_O_EVWW,C18_20F_T_M_O_ENWNA,C18_20F_T_M_O_PENS,C18_20F_T_M_O_E_T,C18_20F_T_M_LPENS,C18_20F_T_M_T,C21_24F_EO_M_EO,C21_24F_EO_M_O_EVWW,C21_24F_EO_M_O_ENWNA,C21_24F_EO_M_O_PENS,C21_24F_EO_M_O_E_T,C21_24F_EO_M_LPENS,C21_24F_EO_M_T,C21_24F_O_EVWW_M_EO,C21_24F_O_EVWW_M_O_EVWW,C21_24F_O_EVWW_M_O_ENWNA,C21_24F_O_EVWW_M_O_PENS,C21_24F_O_EVWW_M_O_E_T,C21_24F_O_EVWW_M_LPENS,C21_24F_O_EVWW_M_T,C21_24F_O_ENWNA_M_EO,C21_24F_O_ENWNA_M_O_EVWW,C21_24F_O_ENWNA_M_O_ENWNA,C21_24F_O_ENWNA_M_O_PENS,C21_24F_O_ENWNA_M_O_E_T,C21_24F_O_ENWNA_M_LPENS,C21_24F_O_ENWNA_M_T,C21_24F_O_PENS_M_EO,C21_24F_O_PENS_M_O_EVWW,C21_24F_O_PENS_M_O_ENWNA,C21_24F_O_PENS_M_O_PENS,C21_24F_O_PENS_M_O_E_T,C21_24F_O_PENS_M_LPENS,C21_24F_O_PENS_M_T,C21_24F_O_E_T_M_EO,C21_24F_O_E_T_M_O_EVWW,C21_24F_O_E_T_M_O_ENWNA,C21_24F_O_E_T_M_O_PENS,C21_24F_O_E_T_M_O_E_T,C21_24F_O_E_T_M_LPENS,C21_24F_O_E_T_M_T,C21_24F_LPENS_M_EO,C21_24F_LPENS_M_O_EVWW,C21_24F_LPENS_M_O_ENWNA,C21_24F_LPENS_M_O_PENS,C21_24F_LPENS_M_O_E_T,C21_24F_LPENS_M_LPENS,C21_24F_LPENS_M_T,C21_24F_T_M_EO,C21_24F_T_M_O_EVWW,C21_24F_T_M_O_ENWNA,C21_24F_T_M_O_PENS,C21_24F_T_M_O_E_T,C21_24F_T_M_LPENS,C21_24F_T_M_T,TCF_EO_M_EO,TCF_EO_M_O_EVWW,TCF_EO_M_O_ENWNA,TCF_EO_M_O_PENS,TCF_EO_M_O_E_T,TCF_EO_M_LPENS,TCF_EO_M_T,TCF_O_EVWW_M_EO,TCF_O_EVWW_M_O_EVWW,TCF_O_EVWW_M_O_ENWNA,TCF_O_EVWW_M_O_PENS,TCF_O_EVWW_M_O_E_T,TCF_O_EVWW_M_LPENS,TCF_O_EVWW_M_T,TCF_O_ENWNA_M_EO,TCF_O_ENWNA_M_O_EVWW,TCF_O_ENWNA_M_O_ENWNA,TCF_O_ENWNA_M_O_PENS,TCF_O_ENWNA_M_O_E_T,TCF_O_ENWNA_M_LPENS,TCF_O_ENWNA_M_T,TCF_O_PENS_M_EO,TCF_O_PENS_M_O_EVWW,TCF_O_PENS_M_O_ENWNA,TCF_O_PENS_M_O_PENS,TCF_O_PENS_M_O_E_T,TCF_O_PENS_M_LPENS,TCF_O_PENS_M_T,TCF_O_E_T_M_EO,TCF_O_E_T_M_O_EVWW,TCF_O_E_T_M_O_ENWNA,TCF_O_E_T_M_O_PENS,TCF_O_E_T_M_O_E_T,TCF_O_E_T_M_LPENS,TCF_O_E_T_M_T,TCF_LPENS_M_EO,TCF_LPENS_M_O_EVWW,TCF_LPENS_M_O_ENWNA,TCF_LPENS_M_O_PENS,TCF_LPENS_M_O_E_T,TCF_LPENS_M_LPENS,TCF_LPENS_M_T,TCF_T_M_EO,TCF_T_M_O_EVWW,TCF_T_M_O_ENWNA,TCF_T_M_O_PENS,TCF_T_M_O_E_T,TCF_T_M_LPENS,TCF_T_M_T
UCL101001,2675,20,56615,4418,34872,2793,36,37694,26,42142,126,3977,3940,10,7923,7,8048,6,34,14,10,62,0,71,4548,38881,6743,57,45684,35,50263,14,30,0,0,27,19,60,58482,41516,6800,63,48386,71,106936,27644,1189,22,7,1214,7,28862,2343,23053,1965,24,25049,9,27395,55,3052,3229,3,6284,5,6343,4,24,12,10,44,0,45,2402,26134,5202,34,31377,11,33789,0,11,4,0,17,8,25,30045,27329,5236,41,32606,29,62681,13203,523,12,0,534,5,13743,1105,13041,1255,12,14309,9,15425,35,2018,2445,3,4466,3,4506,0,4,6,3,18,0,18,1143,15066,3702,26,18796,13,19948,0,9,7,0,12,13,21,14348,15601,3716,24,19343,26,33714,396961,26128,485,53,26665,344,423969,44499,341310,21545,306,363166,358,408019,980,32395,26610,68,59078,74,60133,59,262,86,113,458,12,528,45541,373973,48240,488,422698,438,468679,394,739,86,15,840,711,1943,442894,400846,48803,559,450205,1493,894591
UCL102001,24,0,684,31,100,3,0,102,0,135,0,4,0,0,4,0,4,0,0,0,0,0,0,0,31,105,3,0,112,0,139,0,0,0,0,0,0,0,692,132,3,0,139,0,823,258,9,0,0,9,0,269,15,48,6,0,54,0,66,0,6,0,0,6,0,6,0,0,0,0,0,0,0,15,56,6,0,55,0,69,0,0,0,0,0,0,0,272,60,6,0,63,0,332,88,0,0,0,0,0,90,3,21,0,0,19,0,25,0,3,0,0,3,0,3,0,0,0,0,0,0,0,3,26,0,0,23,0,25,0,0,0,0,0,0,0,94,23,0,0,25,0,118,4795,156,3,4,162,0,4955,271,1116,23,0,1141,0,1417,4,42,0,0,51,0,50,0,7,0,0,7,0,7,274,1166,27,0,1191,0,1467,6,7,0,0,7,8,21,5076,1328,34,4,1356,8,6443
UCL102002,112,5,5785,180,366,15,0,378,0,564,3,34,17,0,45,0,53,0,0,0,0,0,0,0,193,395,30,0,426,0,615,3,0,0,0,0,0,4,5860,511,29,0,542,7,6403,2021,35,0,0,35,0,2059,70,157,9,0,170,0,238,0,15,11,0,23,0,23,0,0,0,0,0,0,0,70,173,15,0,189,0,256,0,0,0,0,0,0,0,2088,209,15,0,226,0,2314,898,10,0,0,10,0,912,42,73,9,0,82,0,125,4,0,14,0,11,0,17,0,0,0,0,0,0,0,41,74,19,0,93,0,134,0,0,0,0,0,0,0,942,84,19,0,108,0,1050,43855,1083,15,0,1096,48,44998,1846,3596,127,4,3721,3,5573,41,233,121,0,354,0,395,10,0,0,4,4,0,14,1890,3832,249,5,4081,8,5981,34,9,3,0,13,51,94,45777,4920,264,11,5188,106,51072
UCL102003,15,0,983,35,30,0,0,32,0,69,5,7,4,0,12,0,10,0,0,0,0,0,0,0,40,39,7,0,39,0,83,0,0,0,0,0,0,0,1004,53,7,0,60,0,1064,305,5,0,0,5,0,311,14,18,0,0,18,0,34,0,0,3,0,3,0,3,0,0,0,0,0,0,0,14,18,0,0,20,0,37,0,0,0,0,0,0,0,324,25,0,0,26,0,351,123,6,0,0,6,0,123,4,6,6,0,3,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,6,0,3,0,5,0,0,0,0,0,0,0,126,6,6,0,9,0,128,7520,161,0,0,161,13,7693,337,427,16,0,441,0,775,11,18,19,0,39,0,49,0,0,0,0,0,0,0,341,443,37,0,479,0,825,8,0,0,0,0,10,12,7873,604,37,0,638,24,8529
UCL102004,94,0,6103,167,377,24,0,399,0,561,4,53,24,0,83,0,87,0,0,0,0,0,0,0,171,428,52,0,475,0,649,0,0,0,0,0,3,5,6181,520,50,0,574,3,6752,2350,40,0,0,40,0,2398,74,195,14,0,205,0,282,0,19,18,0,42,0,38,0,0,0,0,0,0,0,76,216,29,0,246,0,321,0,0,0,0,0,0,0,2429,260,29,0,287,0,2714,1095,18,0,0,18,0,1113,38,94,5,0,99,0,136,0,12,14,0,25,0,25,0,0,0,0,0,0,0,38,106,16,0,119,0,155,0,0,0,0,0,0,0,1127,122,16,0,141,0,1270,47046,1080,14,5,1100,38,48191,1733,4122,177,0,4294,3,6035,43,478,247,0,722,0,764,9,0,0,8,7,0,9,1784,4599,417,10,5022,3,6813,38,3,0,0,3,26,69,48866,5684,437,12,6133,73,55076
UCL102005,158,0,4874,205,665,48,0,714,0,925,0,47,66,0,106,0,113,0,0,0,0,0,0,0,210,716,112,0,828,0,1041,0,0,0,0,0,0,0,4917,876,113,0,987,3,5917,1843,51,0,0,52,0,1900,109,364,27,0,391,0,496,0,26,37,0,63,0,65,0,0,0,0,0,0,0,108,388,61,0,457,0,565,0,0,0,0,0,0,0,1951,448,66,0,508,0,2465,824,14,0,0,18,0,841,47,206,12,0,215,0,262,0,19,28,0,43,0,43,0,0,0,0,0,0,0,47,223,45,0,266,0,311,0,0,0,0,0,0,0,864,242,40,0,282,0,1144,36379,1253,24,7,1289,28,37689,1788,5717,278,0,5995,3,7785,35,404,414,0,819,0,853,0,3,0,4,8,0,8,1822,6124,696,5,6820,3,8642,24,13,0,0,13,31,69,38223,7392,720,9,8120,61,46405
UCL111001,15,0,818,25,61,8,0,65,0,87,0,3,13,0,22,0,22,0,0,0,0,0,0,0,25,66,19,0,86,0,108,0,0,0,0,0,0,0,829,78,21,0,98,0,930,217,4,0,0,4,0,225,8,18,0,0,19,0,27,0,3,14,0,21,0,21,0,0,0,0,0,0,0,8,22,17,0,38,0,49,0,0,0,0,0,0,0,224,26,17,0,40,0,268,78,0,0,0,0,0,78,0,5,0,0,5,0,5,0,0,6,0,6,0,6,0,0,0,0,0,0,0,0,5,6,0,8,0,12,0,0,0,0,0,0,0,79,6,6,0,9,0,89,6734,114,3,0,116,4,6855,175,760,23,0,784,0,960,3,87,99,0,182,0,188,0,0,0,0,5,0,5,179,845,122,0,976,0,1156,0,5,0,0,5,10,16,6913,966,130,0,1097,18,8021
UCL111002,9,0,802,22,53,5,0,55,0,81,0,12,47,0,63,0,63,0,0,0,0,0,0,0,22,69,51,0,119,0,143,0,0,0,0,0,0,0,815,83,51,0,132,0,946,173,4,0,0,4,0,181,6,22,0,0,20,0,30,0,0,12,0,16,0,16,0,0,0,0,0,0,0,6,26,12,0,38,0,50,0,0,0,0,0,0,0,183,29,12,0,43,0,226,42,0,0,0,0,0,42,0,4,0,0,4,0,4,0,0,15,0,11,0,12,0,0,0,0,0,0,0,0,4,15,0,17,0,19,0,0,0,0,0,0,0,46,4,15,0,17,0,64,5682,108,0,0,106,4,5796,219,550,52,0,610,0,827,4,134,353,0,488,0,498,0,0,0,0,0,0,0,224,687,408,0,1100,0,1323,0,9,0,0,9,0,8,5909,801,409,0,1211,4,7128
UCL111003,14,0,1633,27,102,4,0,104,0,129,0,0,4,0,4,0,4,0,0,0,0,0,0,0,27,104,5,0,113,0,141,0,0,0,0,0,0,0,1638,118,6,0,129,0,1764,512,0,0,0,0,0,512,9,45,11,0,55,0,61,0,0,0,0,3,0,3,0,0,0,0,0,0,0,9,50,13,0,55,0,66,0,0,0,0,0,0,0,518,50,13,0,55,0,573,246,0,0,0,0,0,246,6,29,6,0,27,0,36,0,3,0,0,0,0,0,0,0,0,0,0,0,0,6,27,4,0,27,0,41,0,0,0,0,0,0,0,256,27,4,0,34,0,283,13935,214,3,3,227,11,14167,349,1109,40,0,1152,0,1499,0,27,31,0,58,0,64,0,0,0,0,0,0,0,350,1139,70,0,1206,0,1558,9,0,0,0,0,16,24,14293,1355,73,3,1435,22,15753
UCL112001,8,0,288,7,32,0,0,30,0,43,0,5,29,0,31,0,31,0,0,0,0,0,0,0,7,36,27,0,65,0,75,0,0,0,0,0,0,0,288,45,27,0,73,0,363,43,0,0,0,0,0,51,5,7,3,0,13,0,15,0,0,25,0,27,0,27,0,0,0,0,0,0,0,5,9,29,0,39,0,42,0,0,0,0,0,0,0,50,16,29,0,44,0,90,16,0,0,0,0,0,16,0,6,0,0,6,0,6,0,0,21,0,17,0,17,0,0,0,0,0,0,0,0,3,21,0,26,0,26,0,0,0,0,0,0,0,16,3,21,0,26,0,44,1921,60,0,0,60,3,1986,80,467,35,0,502,0,580,4,80,149,3,241,0,242,0,0,0,0,0,0,0,81,548,188,3,738,0,822,0,0,0,0,0,4,4,2002,607,188,3,797,9,2809
