UCL_CODE_2021,A55_64_UOLSE_VWW_17,A55_64_UOLSE_VWW_18,A55_64_UOLSE_VWW_19,A55_64_UOLSE_VWW_20,A55_64_UOLSE_VWW_21,A55_64_UOLSE_VWW_YNS,A55_64_UOLSE_VWW_T,A55_64_UOLSE_NWNAA_B_05,A55_64_UOLSE_NWNAA_05_10,A55_64_UOLSE_NWNAA_11_15,A55_64_UOLSE_NWNAA_16,A55_64_UOLSE_NWNAA_17,A55_64_UOLSE_NWNAA_18,A55_64_UOLSE_NWNAA_19,A55_64_UOLSE_NWNAA_20,A55_64_UOLSE_NWNAA_21,A55_64_UOLSE_NWNAA_YNS,A55_64_UOLSE_NWNAA_T,A55_64_UOLSE_PinE_NS_B_05,A55_64_UOLSE_PinE_NS_05_10,A55_64_UOLSE_PinE_NS_11_15,A55_64_UOLSE_PinE_NS_16,A55_64_UOLSE_PinE_NS_17,A55_64_UOLSE_PinE_NS_18,A55_64_UOLSE_PinE_NS_19,A55_64_UOLSE_PinE_NS_20,A55_64_UOLSE_PinE_NS_21,A55_64_UOLSE_PinE_NS_YNS,A55_64_UOLSE_PinE_NS_T,A55_64_UOLSE_T_B_05,A55_64_UOLSE_T_05_10,A55_64_UOLSE_T_11_15,A55_64_UOLSE_T_16,A55_64_UOLSE_T_17,A55_64_UOLSE_T_18,A55_64_UOLSE_T_19,A55_64_UOLSE_T_20,A55_64_UOLSE_T_21,A55_64_UOLSE_T_YNS,A55_64_UOLSE_T_T,A55_64_L_PinE_NS_B_05,A55_64_L_PinE_NS_05_10,A55_64_L_PinE_NS_11_15,A55_64_L_PinE_NS_16,A55_64_L_PinE_NS_17,A55_64_L_PinE_NS_18,A55_64_L_PinE_NS_19,A55_64_L_PinE_NS_20,A55_64_L_PinE_NS_21,A55_64_L_PinE_NS_YNS,A55_64_L_PinE_NS_T,A55_64_T_B_05,A55_64_T_05_10,A55_64_T_11_15,A55_64_T_16,A55_64_T_17,A55_64_T_18,A55_64_T_19,A55_64_T_20,A55_64_T_21,A55_64_T_YNS,A55_64_T_T,A65_74_SEO_B_05,A65_74_SEO_05_10,A65_74_SEO_11_15,A65_74_SEO_16,A65_74_SEO_17,A65_74_SEO_18,A65_74_SEO_19,A65_74_SEO_20,A65_74_SEO_21,A65_74_SEO_YNS,A65_74_SEO_T,A65_74_UOLSE_VWW_B_05,A65_74_UOLSE_VWW_05_10,A65_74_UOLSE_VWW_11_15,A65_74_UOLSE_VWW_16,A65_74_UOLSE_VWW_17,A65_74_UOLSE_VWW_18,A65_74_UOLSE_VWW_19,A65_74_UOLSE_VWW_20,A65_74_UOLSE_VWW_21,A65_74_UOLSE_VWW_YNS,A65_74_UOLSE_VWW_T,A65_74_UOLSE_NWNAA_B_05,A65_74_UOLSE_NWNAA_05_10,A65_74_UOLSE_NWNAA_11_15,A65_74_UOLSE_NWNAA_16,A65_74_UOLSE_NWNAA_17,A65_74_UOLSE_NWNAA_18,A65_74_UOLSE_NWNAA_19,A65_74_UOLSE_NWNAA_20,A65_74_UOLSE_NWNAA_21,A65_74_UOLSE_NWNAA_YNS,A65_74_UOLSE_NWNAA_T,A65_74_UOLSE_PinE_NS_B_05,A65_74_UOLSE_PinE_NS_05_10,A65_74_UOLSE_PinE_NS_11_15,A65_74_UOLSE_PinE_NS_16,A65_74_UOLSE_PinE_NS_17,A65_74_UOLSE_PinE_NS_18,A65_74_UOLSE_PinE_NS_19,A65_74_UOLSE_PinE_NS_20,A65_74_UOLSE_PinE_NS_21,A65_74_UOLSE_PinE_NS_YNS,A65_74_UOLSE_PinE_NS_T,A65_74_UOLSE_T_B_05,A65_74_UOLSE_T_05_10,A65_74_UOLSE_T_06,A65_74_UOLSE_T_16,A65_74_UOLSE_T_17,A65_74_UOLSE_T_18,A65_74_UOLSE_T_19,A65_74_UOLSE_T_20,A65_74_UOLSE_T_21,A65_74_UOLSE_T_YNS,A65_74_UOLSE_T_T,A65_74_L_PinE_NS_B_05,A65_74_L_PinE_NS_05_10,A65_74_L_PinE_NS_11_15,A65_74_L_PinE_NS_16,A65_74_L_PinE_NS_17,A65_74_L_PinE_NS_18,A65_74_L_PinE_NS_19,A65_74_L_PinE_NS_20,A65_74_L_PinE_NS_21,A65_74_L_PinE_NS_YNS,A65_74_L_PinE_NS_T,A65_74_T_B_05,A65_74_T_05_10,A65_74_T_11_15,A65_74_T_16,A65_74_T_17,A65_74_T_18,A65_74_T_19,A65_74_T_20,A65_74_T_21,A65_74_T_YNS,A65_74_T_T,A75_84_SEO_B_05,A75_84_SEO_05_10,A75_84_SEO_11_15,A75_84_SEO_16,A75_84_SEO_17,A75_84_SEO_18,A75_84_SEO_19,A75_84_SEO_20,A75_84_SEO_21,A75_84_SEO_YNS,A75_84_SEO_T,A75_84_UOLSE_VWW_B_05,A75_84_UOLSE_VWW_05_10,A75_84_UOLSE_VWW_11_15,A75_84_UOLSE_VWW_16,A75_84_UOLSE_VWW_17,A75_84_UOLSE_VWW_18,A75_84_UOLSE_VWW_19,A75_84_UOLSE_VWW_20,A75_84_UOLSE_VWW_21,A75_84_UOLSE_VWW_YNS,A75_84_UOLSE_VWW_T,A75_84_UOLSE_NWNAA_B_05,A75_84_UOLSE_NWNAA_05_10,A75_84_UOLSE_NWNAA_11_15,A75_84_UOLSE_NWNAA_16,A75_84_UOLSE_NWNAA_17,A75_84_UOLSE_NWNAA_18,A75_84_UOLSE_NWNAA_19,A75_84_UOLSE_NWNAA_20,A75_84_UOLSE_NWNAA_21,A75_84_UOLSE_NWNAA_YNS,A75_84_UOLSE_NWNAA_T,A75_84_UOLSE_PinE_NS_B_05,A75_84_UOLSE_PinE_NS_05_10,A75_84_UOLSE_PinE_NS_11_15,A75_84_UOLSE_PinE_NS_16,A75_84_UOLSE_PinE_NS_17,A75_84_UOLSE_PinE_NS_18,A75_84_UOLSE_PinE_NS_19,A75_84_UOLSE_PinE_NS_20,A75_84_UOLSE_PinE_NS_21,A75_84_UOLSE_PinE_NS_YNS,A75_84_UOLSE_PinE_NS_T,A75_84_UOLSE_T_B_05,A75_84_UOLSE_T_05_10,A75_84_UOLSE_T_11_15,A75_84_UOLSE_T_16,A75_84_UOLSE_T_17,A75_84_UOLSE_T_18,A75_84_UOLSE_T_19,A75_84_UOLSE_T_20,A75_84_UOLSE_T_21,A75_84_UOLSE_T_YNS,A75_84_UOLSE_T_T,A75_84_L_PinE_NS_B_05,A75_84_L_PinE_NS_05_10,A75_84_L_PinE_NS_11_15,A75_84_L_PinE_NS_16,A75_84_L_PinE_NS_17,A75_84_L_PinE_NS_18
UCL101001,474,392,787,494,125,1953,131774,36595,6104,6208,1946,1555,1427,3141,1381,217,1785,60367,235,37,32,4,0,4,16,7,0,66,403,153753,13108,9319,2534,2034,1822,3944,1885,346,3799,192545,137,15,9,4,0,9,5,0,0,698,870,227215,16860,10899,2772,2246,2040,4193,2087,404,5617,274330,59772,905,616,92,90,99,153,129,46,1008,62900,81044,1773,1419,276,241,234,614,490,69,1432,87587,35772,5083,6498,1643,1114,1121,2606,1148,132,1376,56476,302,20,19,3,3,4,7,6,0,55,422,117115,6871,7935,1922,1363,1356,3231,1646,203,2865,144487,170,9,10,0,0,0,0,0,0,907,1096,177055,7778,8560,2008,1452,1455,3381,1776,247,4785,208484,33884,585,305,52,64,46,70,68,15,938,36033,38019,672,441,82,85,58,220,134,16,930,40649,26812,2697,2107,493,356,296,694,285,14,1015,34790,226,3,6,0,0,0,7,0,0,104,346,65060,3382,2554,579,445,356,915,421,37,2058,75788,168,6,4,0,0,0
UCL102001,4,0,7,0,0,12,400,43,5,14,7,0,0,10,0,0,5,87,0,0,0,0,0,0,0,0,0,0,3,384,32,25,7,0,5,16,9,0,16,490,0,0,0,0,0,0,0,0,0,0,0,953,69,35,9,3,6,16,12,0,23,1126,456,3,3,0,0,5,0,0,0,10,480,314,7,5,0,4,0,0,0,0,5,339,76,3,5,0,0,0,3,3,0,0,94,5,0,0,0,0,0,0,0,0,0,5,394,11,3,0,3,0,5,4,0,5,432,0,0,0,0,0,0,0,0,0,0,3,847,17,5,0,3,7,5,4,0,19,909,235,4,0,0,0,0,0,0,0,5,251,234,0,0,0,0,0,0,0,0,0,240,82,0,0,0,0,0,0,0,0,5,85,0,0,0,0,0,0,0,0,0,0,0,314,0,0,0,0,0,0,5,0,3,327,6,0,0,0,0,0
UCL102002,6,12,13,8,4,28,1792,189,49,45,14,12,5,29,9,0,13,362,8,0,0,0,0,0,0,0,0,0,9,1691,206,111,22,17,19,36,18,6,37,2161,10,0,0,0,0,0,0,0,0,10,18,7872,526,255,37,28,33,55,25,9,169,9014,6387,169,111,16,19,16,24,11,0,193,6946,1487,37,24,3,9,3,11,7,3,27,1611,231,45,77,10,9,10,37,10,0,14,454,3,0,0,0,0,0,0,0,0,0,3,1720,85,104,19,17,20,49,17,4,35,2071,8,0,0,0,0,0,0,0,0,26,29,8121,260,212,34,34,35,78,33,4,251,9056,4622,144,69,7,11,0,10,9,0,178,5045,931,16,8,0,4,0,0,0,0,28,994,214,16,16,3,0,8,4,0,0,10,278,10,0,0,0,0,0,0,0,0,0,9,1157,33,23,4,3,9,8,0,0,40,1285,29,0,0,0,0,0
UCL102003,0,0,4,0,0,9,223,13,4,10,0,0,3,10,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,182,28,15,0,0,3,9,0,0,9,256,0,0,0,0,0,0,0,0,0,0,5,1330,97,50,5,10,9,16,4,0,46,1565,1500,70,22,5,3,0,5,6,0,59,1675,180,17,0,0,0,0,0,0,0,4,203,7,0,0,0,0,0,3,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,191,17,4,0,0,0,3,0,0,6,217,3,0,0,0,0,0,0,0,0,10,13,1695,80,31,5,3,0,8,8,3,75,1908,1346,30,15,0,0,0,0,0,0,73,1476,94,4,4,0,0,0,0,0,0,6,115,20,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,119,9,4,0,0,0,0,0,0,5,136,0,0,0,0,0,0
UCL102004,7,11,9,8,3,22,1485,138,37,42,16,17,3,24,14,0,9,300,3,0,0,0,0,0,0,0,0,0,3,1375,153,110,23,22,19,34,20,3,35,1788,3,0,0,0,0,0,0,0,0,12,10,5017,350,199,39,38,32,50,32,8,100,5854,4066,53,32,6,8,5,14,12,0,99,4287,1208,20,14,3,5,0,12,5,0,27,1292,227,22,31,7,8,6,25,8,3,7,355,7,0,0,0,0,0,0,0,0,0,6,1447,44,44,9,12,6,39,15,3,37,1650,0,0,0,0,0,0,0,0,0,23,25,5517,93,74,19,21,9,52,26,0,159,5970,2643,13,12,5,3,0,4,0,0,97,2782,779,14,4,0,0,0,0,0,0,31,835,259,10,12,0,0,3,5,4,0,10,303,6,0,0,0,0,0,0,0,0,3,7,1051,23,14,0,0,3,3,6,0,43,1153,9,0,0,0,0,0
UCL102005,8,11,6,10,4,48,3044,450,47,80,25,10,26,38,18,0,33,725,9,0,0,0,0,0,0,0,0,5,13,3214,191,131,37,23,31,47,32,4,82,3786,10,0,0,0,0,0,0,0,0,17,33,8912,349,184,40,24,33,60,37,8,229,9876,5575,62,46,9,4,10,10,0,0,115,5834,2982,23,27,3,3,0,7,3,0,53,3105,973,27,58,18,13,9,35,11,0,18,1166,9,0,0,0,0,0,0,0,0,0,15,3967,49,79,17,20,10,45,15,0,80,4282,9,0,0,0,0,0,0,0,0,35,46,9555,109,128,31,18,22,55,16,3,228,10164,3461,25,12,4,0,0,9,0,0,109,3630,1966,0,9,0,4,0,0,4,0,50,2028,1184,13,15,4,0,4,14,0,0,53,1304,22,0,0,0,0,0,0,0,0,0,22,3167,19,26,4,4,4,14,3,0,107,3354,21,0,0,0,0,0
UCL111001,0,0,0,0,0,5,169,18,15,39,3,0,4,13,4,0,0,96,0,0,0,0,0,0,0,0,0,0,0,144,42,46,3,0,3,13,10,0,6,263,0,0,0,0,0,0,0,0,0,0,0,682,74,58,6,4,6,17,10,0,15,868,620,17,4,0,0,0,0,4,0,27,667,117,5,6,0,0,0,4,0,0,0,125,21,10,13,0,4,0,11,7,0,3,67,0,0,0,0,0,0,0,0,0,0,0,131,13,20,0,4,0,12,7,0,3,199,0,0,0,0,0,0,0,0,0,0,5,753,29,22,0,4,0,14,8,0,32,869,451,4,4,0,0,0,0,0,0,10,467,111,0,0,0,0,0,0,0,0,5,111,24,6,6,0,0,0,7,0,0,0,42,3,0,0,0,0,0,0,0,0,0,3,136,6,7,0,0,0,7,0,0,10,163,0,0,0,0,0,0
UCL111002,3,0,0,5,0,3,179,22,17,15,4,4,9,13,0,0,3,91,0,0,0,0,0,0,0,0,0,0,0,145,39,27,11,6,9,21,3,0,6,266,0,0,0,0,0,0,0,0,0,0,0,852,105,39,13,9,12,18,3,0,26,1082,884,16,10,0,0,0,9,0,0,27,944,144,6,3,0,0,0,0,0,0,5,159,12,8,9,4,6,8,12,0,0,0,53,0,0,0,0,0,0,0,0,0,0,0,154,8,11,6,6,8,11,0,0,5,212,3,0,0,0,0,0,0,0,0,0,3,1042,31,19,11,6,10,15,0,0,30,1161,610,11,8,0,0,0,6,0,0,31,659,93,3,0,0,0,0,0,0,0,6,104,17,6,0,0,0,0,0,0,0,3,23,0,0,0,0,0,0,0,0,0,0,0,107,5,3,0,0,0,0,0,0,8,125,0,0,0,0,0,0
UCL111003,3,3,3,0,0,8,282,22,12,18,0,5,0,0,5,0,0,67,0,0,0,0,0,0,0,0,0,0,0,228,62,31,4,6,4,5,5,0,8,351,0,0,0,0,0,0,0,0,0,3,3,984,102,64,9,9,5,13,5,0,25,1213,869,13,17,0,0,0,0,0,0,13,915,120,8,6,0,0,0,0,0,0,7,150,26,4,8,4,0,9,5,4,0,4,62,0,0,0,0,0,0,0,0,0,0,0,145,12,18,3,0,9,4,4,0,7,203,0,0,0,0,0,0,0,0,0,3,7,1014,29,36,9,3,9,4,4,0,27,1129,493,7,3,3,0,0,0,0,0,22,525,66,0,0,0,0,0,0,0,0,0,70,24,5,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,91,5,8,0,0,0,0,0,0,0,109,0,0,0,0,0,0
UCL112001,3,0,0,4,0,0,87,0,3,0,0,0,5,15,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,59,21,5,4,3,5,20,5,0,8,126,0,0,0,0,0,0,0,0,0,0,0,262,27,12,0,8,5,23,8,0,3,353,226,3,0,0,0,0,0,0,0,3,238,42,3,0,0,0,0,0,0,0,0,41,6,0,0,0,0,4,11,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,48,0,0,0,0,4,11,0,0,0,66,0,0,0,0,0,0,0,0,0,0,0,268,6,0,0,0,4,11,0,0,6,302,162,0,0,0,0,0,0,0,0,7,177,16,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0
