UCL_CODE_2021,O_OR_DS_Sep_house,O_OR_DS_SemiD_ro_or_tce_h_th,O_OR_DS_Flat_apart,O_OR_DS_Oth_dwell,O_OR_DS_not_stated,O_OR_Total,O_MTG_DS_Sep_house,O_MTG_DS_SemiD_ro_or_tce_h_th,O_MTG_DS_Flat_apart,O_MTG_DS_Oth_dwell,O_MTG_DS_not_stated,O_MTG_Total,R_RE_Agt_DS_Sep_house,R_RE_Ag_DS_SemD_ro_or_tc_h_th,R_RE_Agt_DS_Flat_apart,R_RE_Agt_DS_Oth_dwell,R_RE_Agt_DS_not_stated,R_RE_Agt_Total,R_ST_h_auth_DS_Sep_house,R_ST_h_au_DS_SD_ro_or_tc_h_th,R_ST_h_auth_DS_Flat_apart,R_ST_h_auth_DS_Oth_dwell,R_ST_h_auth_DS_not_stated,R_ST_h_auth_Total,R_Com_Hp_DS_Sp_ho,R_Com_Hp_DS_SD_ro_t_h_t,R_Com_Hp_DS_Flt_apt,R_Com_Hp_DS_Ot_dwel,R_Com_Hp_DS_NS,R_Com_Hp_Total,R_Psn_not_in_s_hh_DS_Sep_hous,R_P_not_in_s_h_DS_SD_ro_t_h_t,R_P_not_in_s_hh_DS_Flat_apart,R_Psn_not_in_s_hh_DS_Oth_dwel,R_Psn_not_in_s_hh_DS_NS,R_Psn_not_in_s_hh_Total,R_Ot_landld_typ_DS_Sep_house,R_O_LLd_typ_DS_SD_ro_tc_h_th,R_Ot_LLd_typ_DS_Flat_apart,R_Ot_landld_typ_DS_Oth_dwell,R_Ot_landld_typ_DS_not_stated,R_Ot_landld_typ_Total,R_Landld_typ_NS_DS_Sep_house,R_Ld_typ_NS_DS_SD_ro_tce_h_th,R_LLd_typ_NS_DS_Flat_apart,R_Landld_typ_NS_DS_Oth_dwell,R_Landld_typ_NS_DS_not_stated,R_Landld_typ_NS_Total,R_Tot_DS_Sep_house,R_Tot_DS_SemiD_ro_or_tce_h_th,R_Tot_DS_Flat_apart,R_Tot_DS_Oth_dwell,R_Tot_DS_not_stated,R_Tot_Total,Oth_ten_type_DS_Sep_house,Oth_ten_ty_DS_SD_ro_tce_h_th,Oth_ten_type_DS_Flat_apart,Oth_ten_type_DS_Oth_dwell,Oth_ten_type_DS_not_stated,Oth_ten_type_Total,Ten_type_NS_DS_Sep_house,Ten_ty_NS_DS_SD_ro_tce_h_t,Ten_ty_NS_DS_Flat_apart,Ten_type_NS_DS_Oth_dwell,Ten_type_NS_DS_not_stated,Ten_type_NS_Total,Total_DS_Sep_house,Total_DS_SemiD_ro_or_tce_h_th,Total_DS_Flat_apart,Total_DS_Oth_dwell,Total_DS_not_stated,Total_Total
UCL122030,70,0,0,0,0,70,62,0,0,0,0,62,7,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,22,3,0,0,0,0,3,4,0,0,0,0,4,152,0,0,0,0,158
UCL122031,35,0,0,0,0,35,91,0,0,0,0,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,125,0,0,0,0,125
UCL122032,57,3,0,0,0,65,89,0,0,0,0,89,14,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,27,5,0,0,0,0,5,6,0,0,0,0,6,183,3,0,0,0,186
UCL122033,20,0,0,0,0,22,42,0,0,0,0,42,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,9,3,0,0,0,0,3,0,0,0,0,0,0,76,0,0,0,0,83
UCL122034,32,0,0,0,0,32,41,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,77,0,0,0,0,73
UCL122035,72,0,0,4,0,77,44,0,0,0,0,44,16,0,0,0,0,14,0,3,0,0,0,3,0,3,0,0,0,3,23,0,0,4,0,24,0,0,0,0,0,0,0,0,0,0,0,0,34,7,0,0,0,45,7,0,0,0,0,7,6,0,0,0,0,6,164,7,0,7,0,175
UCL122036,43,0,0,0,0,45,11,0,0,0,0,11,4,0,0,0,0,3,15,0,0,0,0,14,23,0,0,0,0,29,11,0,0,0,0,11,9,0,0,0,0,14,0,0,0,0,0,3,61,7,0,0,0,71,5,0,0,0,0,5,0,0,0,0,0,0,121,7,0,0,0,127
UCL122037,15,0,0,0,0,15,61,0,0,0,0,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,85,0,0,0,0,89
UCL122038,58,0,0,0,0,58,38,0,0,0,0,37,6,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,17,6,0,0,0,0,6,0,0,0,0,0,0,115,0,0,0,0,117
UCL122039,66,0,0,0,0,70,63,0,0,0,0,63,9,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,6,0,0,0,0,0,3,0,0,0,0,0,0,13,0,0,0,0,15,0,0,0,0,0,0,9,0,0,0,0,9,157,0,3,0,0,156
UCL122040,42,0,0,0,0,42,26,0,0,0,0,26,14,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,85,0,0,0,0,85
UCL122041,48,0,0,0,0,48,64,0,0,0,0,64,9,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,6,4,0,0,0,0,4,0,0,0,0,0,0,19,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,136,0,0,0,0,136
UCL122042,33,0,0,0,0,33,37,0,0,0,0,37,9,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,91,0,0,0,0,91
UCL122043,60,0,0,3,0,62,48,0,0,0,0,48,13,0,0,0,0,13,0,0,0,0,0,0,0,0,3,0,0,8,7,0,0,6,0,8,0,0,0,0,0,0,0,0,0,0,0,0,16,0,3,6,0,25,3,0,0,0,0,3,4,0,0,0,0,4,129,0,3,5,0,137
UCL122044,23,0,0,0,0,30,15,0,0,0,0,15,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,0,0,43
UCL122045,59,0,0,0,0,64,33,0,0,0,0,33,11,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,15,0,0,0,0,0,0,5,0,0,0,0,5,111,0,0,0,0,116
UCL122046,132,0,3,0,0,132,54,0,0,0,0,57,8,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,11,0,0,0,0,0,6,0,0,0,0,0,0,15,0,0,3,0,19,4,0,0,0,0,4,0,0,0,0,0,0,205,0,0,3,0,214
UCL122047,60,0,0,0,0,60,57,0,0,0,0,57,9,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,3,131,0,0,0,0,136
UCL122048,53,0,0,0,0,61,16,0,0,0,0,16,18,12,0,0,0,37,6,0,0,0,0,6,4,6,0,0,0,6,5,0,0,0,0,6,6,0,0,0,0,6,0,0,0,0,0,0,41,22,0,0,0,65,0,0,0,0,0,0,12,7,0,0,0,12,134,27,0,0,0,160
UCL122049,78,0,0,0,0,80,33,0,0,0,0,37,10,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,19,0,0,0,0,0,0,5,0,0,0,0,5,143,0,0,0,0,143
UCL122050,54,0,0,0,0,55,19,0,0,0,0,19,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,11,0,0,0,0,11,3,0,0,0,0,3,0,0,0,0,0,0,19,0,0,0,0,19,3,0,0,0,0,3,3,0,0,0,0,3,90,0,0,0,0,97
UCL122051,49,0,0,0,0,50,28,0,0,0,0,28,7,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,20,0,0,0,0,0,0,9,0,0,0,0,9,102,0,0,0,0,104
UCL122052,40,3,0,0,0,47,36,4,0,0,0,34,9,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,4,91,3,0,3,0,102
UCL122053,77,0,0,0,0,78,21,0,0,0,0,24,3,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,3,18,0,3,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,20,0,4,0,0,29,6,0,0,0,0,6,0,0,0,0,0,0,129,0,4,3,0,136
UCL122054,43,0,0,0,0,41,51,0,0,0,0,50,3,0,3,0,0,6,0,0,0,0,0,0,0,0,0,0,0,5,11,0,0,0,0,17,4,0,5,0,0,5,0,0,0,0,0,0,26,0,9,0,0,35,0,0,0,0,0,0,4,0,0,0,0,4,126,0,7,0,4,139
UCL122055,100,0,0,0,0,101,58,0,0,0,0,59,12,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,13,3,0,0,0,0,3,0,0,0,0,0,0,176,0,0,0,0,182
UCL122056,68,0,0,0,0,68,35,0,0,0,0,35,6,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,106,0,0,0,0,106
UCL122057,29,0,0,0,0,29,51,0,0,0,0,51,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,93,0,0,0,0,93
UCL122058,95,0,0,0,0,95,74,0,0,0,0,74,21,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,36,4,0,0,0,0,4,3,0,0,0,0,3,206,0,0,0,0,206
UCL122059,69,0,0,0,0,69,74,0,0,0,0,74,16,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,32,3,0,0,0,0,3,0,0,0,0,0,0,170,0,0,0,0,174
UCL122060,62,0,0,0,0,62,51,0,0,0,0,51,8,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,21,3,0,0,0,0,4,8,0,0,0,0,8,142,0,0,0,0,142
UCL122061,9,0,0,0,0,9,0,0,0,0,0,0,3,0,0,0,0,3,12,0,0,0,0,12,12,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,29,0,0,0,0,0,0,20,4,0,0,0,23,56,4,0,0,0,61
UCL122062,36,0,0,0,0,36,31,0,0,0,0,31,14,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,13,10,0,0,0,0,10,0,0,0,0,0,0,37,0,0,0,0,38,6,0,0,0,0,6,0,0,0,0,0,0,104,0,0,0,0,110
UCL122063,52,0,0,0,0,52,44,0,0,0,0,44,9,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,9,3,0,0,0,0,6,0,0,0,0,0,0,20,0,0,3,0,21,4,0,0,0,0,4,3,0,0,0,0,3,120,0,0,5,0,124
UCL122064,48,0,0,0,0,48,21,0,0,0,0,21,18,0,0,0,0,18,17,0,0,0,0,17,10,0,0,0,0,12,3,0,0,0,0,3,4,0,0,0,0,4,0,0,0,0,0,0,44,0,0,0,4,53,3,0,0,0,0,3,5,0,0,0,0,6,126,0,0,0,4,131
UCL122065,86,0,0,11,0,100,29,0,4,3,0,32,8,0,0,0,0,16,3,0,0,0,0,3,0,0,0,0,0,0,14,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,26,4,3,0,0,32,0,0,0,0,0,0,3,0,0,0,0,3,141,8,3,14,0,165
UCL122066,49,0,0,0,0,52,67,0,0,0,0,67,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,131,0,0,0,0,133
UCL122067,87,0,0,0,0,89,45,4,0,0,0,51,29,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,43,6,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,185,6,0,0,0,190
UCL122068,27,0,0,0,0,27,0,0,0,0,0,0,4,0,0,0,0,4,8,0,0,0,0,8,3,0,0,0,0,3,3,0,0,0,0,3,4,4,0,0,0,8,0,0,0,0,0,0,21,4,0,0,0,30,0,0,0,0,0,0,4,0,0,0,0,4,56,4,0,0,0,61
UCL122069,59,3,0,0,0,59,37,4,0,3,0,48,7,3,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,9,0,0,0,0,0,3,0,0,0,0,0,0,20,3,0,0,0,26,4,0,0,0,0,4,0,0,0,0,0,0,120,9,0,4,0,137
UCL122070,44,0,0,0,0,50,65,4,0,0,0,67,6,0,0,0,0,10,0,5,0,0,0,3,0,3,5,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,4,9,0,0,23,0,18,4,0,0,19,0,0,0,0,0,0,118,28,17,0,0,163
UCL122071,62,0,0,0,0,62,44,0,0,0,0,51,20,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,137,4,0,0,0,134
UCL122072,51,0,0,0,0,51,21,0,0,0,0,21,9,3,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,5,0,0,0,0,6,0,0,0,0,0,0,20,3,0,3,0,26,0,0,0,0,0,5,0,0,0,0,0,0,93,3,0,4,0,97
UCL122073,70,0,0,4,0,74,31,0,0,0,0,31,8,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,4,0,0,0,0,4,0,0,0,0,0,0,19,0,0,0,0,19,4,0,0,0,0,4,0,0,0,0,0,0,122,0,0,4,0,132
UCL122074,64,6,0,0,0,72,30,3,0,0,0,33,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,10,3,0,0,0,0,3,0,0,0,0,0,0,19,0,0,0,0,19,0,0,0,0,0,0,5,0,0,0,0,5,128,9,0,0,0,132
UCL122075,31,0,0,0,0,31,49,0,0,0,0,49,4,0,3,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,3,0,0,14,0,0,0,0,0,0,3,0,0,0,0,3,83,0,3,0,0,90
UCL122076,33,0,0,0,0,33,41,0,0,0,0,41,6,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,7,5,0,0,0,0,5,5,0,0,0,0,5,81,0,0,0,0,81
UCL122077,72,0,0,0,0,72,40,0,0,0,0,45,6,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,15,0,0,0,0,0,0,9,0,0,0,0,9,137,0,0,0,0,138
UCL122078,85,0,0,0,0,85,24,0,0,0,0,24,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,5,0,0,0,0,5,0,0,0,0,0,0,10,0,0,0,0,10,3,0,0,0,0,3,4,0,0,0,0,4,128,0,0,0,0,130
UCL122079,41,0,0,0,0,41,56,0,0,0,0,56,10,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,104,0,0,0,0,104
UCL122080,51,0,0,0,0,51,64,0,0,0,0,64,18,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,25,0,0,0,0,0,0,5,0,0,0,0,5,142,0,0,0,0,142
UCL122081,40,0,0,0,0,40,37,0,0,0,0,37,8,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,10,4,0,0,0,0,4,3,0,0,0,0,3,97,0,0,0,0,100
UCL122082,32,0,0,0,4,46,8,0,0,0,0,10,5,0,4,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,9,0,0,0,4,3,9,0,0,0,0,0,0,15,0,0,4,3,24,0,0,0,0,0,0,8,0,0,35,18,62,66,0,3,41,25,132
UCL122083,45,0,0,0,0,45,46,0,0,0,0,46,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,99,0,0,0,0,98
UCL122084,15,0,0,0,0,15,13,0,0,0,0,13,25,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,65,0,0,0,0,66
UCL122085,59,0,0,8,0,64,27,0,0,0,0,27,7,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,10,4,0,0,0,0,4,0,0,0,0,0,0,24,0,0,0,0,24,0,0,0,0,0,3,7,0,0,0,0,7,110,0,0,8,0,115
UCL122086,60,0,0,0,4,63,12,0,0,0,0,17,0,0,0,0,0,5,27,0,0,0,0,33,14,4,0,0,0,18,6,0,0,0,0,6,10,0,0,0,0,10,0,0,0,0,0,0,58,8,0,0,0,68,3,0,0,0,0,3,9,0,0,0,0,10,147,8,0,0,6,164
UCL122087,42,0,0,0,0,42,19,0,0,0,0,19,8,0,4,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,8,0,4,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,11,0,3,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,73,0,3,0,0,74
UCL122088,33,0,0,0,0,37,22,0,0,0,0,22,3,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,3,7,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,20,0,0,0,0,0,0,3,0,0,0,0,3,79,0,0,0,0,81
UCL122089,65,0,0,0,0,63,71,0,0,0,0,71,10,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,22,6,0,0,0,0,6,0,0,0,0,0,0,164,0,0,0,0,163
UCL122090,54,0,0,0,0,56,67,0,0,0,0,69,35,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,44,0,0,0,0,44,3,0,0,0,0,3,4,0,0,0,0,4,175,3,0,0,0,176
UCL122091,54,0,0,0,0,54,29,0,0,0,0,29,3,3,4,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,12,9,0,0,0,0,5,0,0,0,0,0,0,25,3,4,0,0,32,11,0,0,0,0,11,3,0,0,0,0,5,119,5,4,0,0,128
UCL122092,53,0,0,0,0,53,53,0,0,0,0,53,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,122,0,0,0,0,122
UCL122093,44,0,0,4,0,48,26,0,0,0,0,26,16,4,0,0,0,15,18,5,0,0,0,16,0,3,0,0,0,4,15,0,0,0,0,15,11,0,0,0,0,8,0,0,0,0,0,0,49,13,0,0,0,62,5,0,0,0,0,5,7,0,0,0,0,8,135,13,0,4,0,152
UCL122094,52,0,0,19,0,69,25,0,0,0,0,25,21,3,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,17,3,0,0,5,0,4,0,0,0,0,0,0,35,3,0,5,0,43,0,0,0,0,0,0,0,0,0,0,0,0,113,3,0,18,0,139
UCL122095,29,0,0,0,0,34,40,0,0,0,0,40,8,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,5,83,0,0,0,0,88
UCL122096,50,0,0,0,0,53,28,0,0,0,0,28,9,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,12,3,0,0,0,0,3,3,0,0,0,0,3,99,0,0,0,0,100
UCL122097,22,0,0,10,0,35,22,0,0,0,0,22,14,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,9,0,0,0,7,0,5,0,0,0,0,0,0,20,0,0,7,4,24,0,0,0,0,0,0,5,0,0,0,0,5,69,0,0,13,4,89
UCL122098,64,0,0,10,0,72,44,0,0,0,0,39,19,4,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,3,21,0,0,0,0,28,3,0,0,0,0,3,0,0,0,0,0,0,49,3,8,0,0,59,0,0,0,0,0,4,13,0,0,0,0,14,157,12,8,12,0,190
UCL122099,53,0,0,0,0,55,32,0,0,0,0,32,10,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,13,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,106,0,0,4,0,105
UCL122100,101,0,0,0,0,101,62,0,0,0,0,62,22,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,37,0,0,0,0,0,0,6,0,0,0,0,6,196,0,0,0,0,196
UCL122101,64,0,0,0,0,64,50,0,0,0,0,50,7,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,21,0,0,0,0,0,0,4,0,0,0,0,4,135,0,0,0,0,140
UCL122102,65,0,0,0,0,65,25,0,0,0,0,25,6,0,0,0,0,6,0,0,0,0,0,0,0,3,0,0,0,3,10,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,15,6,0,0,0,19,0,0,0,0,0,0,5,0,0,0,0,8,119,6,0,0,0,128
UCL122103,53,0,0,0,0,53,22,0,0,0,0,24,3,0,0,0,0,3,3,0,0,0,0,3,0,0,0,0,0,0,7,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,88,0,0,0,0,87
UCL122104,72,0,0,0,0,72,46,0,0,0,0,49,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,124,0,0,0,0,128
UCL122105,38,4,0,0,0,38,52,0,0,0,0,53,7,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,10,0,0,0,0,0,0,5,0,0,0,0,5,104,5,0,0,0,108
UCL122106,38,0,0,5,0,42,25,0,0,0,0,25,3,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,25,0,0,0,0,3,4,0,0,0,0,0,0,84,0,0,5,0,89
UCL122107,49,0,0,0,0,50,57,0,0,0,0,57,10,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,16,4,0,0,0,0,4,0,0,0,0,0,0,25,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,137,0,0,0,0,141
UCL122108,55,0,0,0,0,57,20,0,0,0,0,20,11,3,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,14,3,0,0,0,11,6,0,0,0,0,6,0,0,0,0,0,0,91,3,0,0,0,96
UCL122109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UCL122110,56,0,0,0,0,56,63,0,0,0,0,63,4,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,14,5,0,0,0,0,5,0,0,0,0,0,0,136,0,0,0,0,139
UCL122111,35,0,0,0,0,35,69,0,0,0,0,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,110,0,0,0,0,110
UCL122112,61,0,0,7,0,70,43,0,0,0,0,43,6,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,11,3,0,0,0,0,3,0,0,0,0,0,0,122,0,0,7,0,129
UCL122113,39,0,0,0,0,39,35,0,0,0,0,35,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,77,0,0,0,0,77
