UCL_CODE_2021,M_Singapore_0_4,M_Singapore_5_14,M_Singapore_15_24,M_Singapore_25_44,M_Singapore_45_54,M_Singapore_55_64,M_Singapore_65_74,M_Singapore_75_84,M_Singapore_85ov,M_Singapore_Tot,M_South_Africa_0_4,M_South_Africa_5_14,M_South_Africa_15_24,M_South_Africa_25_44,M_South_Africa_45_54,M_South_Africa_55_64,M_South_Africa_65_74,M_South_Africa_75_84,M_South_Africa_85ov,M_South_Africa_Tot,M_Sri_Lanka_0_4,M_Sri_Lanka_5_14,M_Sri_Lanka_15_24,M_Sri_Lanka_25_44,M_Sri_Lanka_45_54,M_Sri_Lanka_55_64,M_Sri_Lanka_65_74,M_Sri_Lanka_75_84,M_Sri_Lanka_85ov,M_Sri_Lanka_Tot,M_Taiwan_0_4,M_Taiwan_5_14,M_Taiwan_15_24,M_Taiwan_25_44,M_Taiwan_45_54,M_Taiwan_55_64,M_Taiwan_65_74,M_Taiwan_75_84,M_Taiwan_85ov,M_Taiwan_Tot,M_Thailand_0_4,M_Thailand_5_14,M_Thailand_15_24,M_Thailand_25_44,M_Thailand_45_54,M_Thailand_55_64,M_Thailand_65_74,M_Thailand_75_84,M_Thailand_85ov,M_Thailand_Tot,M_Turkey_0_4,M_Turkey_5_14,M_Turkey_15_24,M_Turkey_25_44,M_Turkey_45_54,M_Turkey_55_64,M_Turkey_65_74,M_Turkey_75_84,M_Turkey_85ov,M_Turkey_Tot,M_USA_0_4,M_USA_5_14,M_USA_15_24,M_USA_25_44,M_USA_45_54,M_USA_55_64,M_USA_65_74,M_USA_75_84,M_USA_85ov,M_USA_Tot,M_Vietnam_0_4,M_Vietnam_5_14,M_Vietnam_15_24,M_Vietnam_25_44,M_Vietnam_45_54,M_Vietnam_55_64,M_Vietnam_65_74,M_Vietnam_75_84,M_Vietnam_85ov,M_Vietnam_Tot,M_Wales_0_4,M_Wales_5_14,M_Wales_15_24,M_Wales_25_44,M_Wales_45_54,M_Wales_55_64,M_Wales_65_74,M_Wales_75_84,M_Wales_85ov,M_Wales_Tot,M_Zimbabwe_0_4,M_Zimbabwe_5_14,M_Zimbabwe_15_24,M_Zimbabwe_25_44,M_Zimbabwe_45_54,M_Zimbabwe_55_64,M_Zimbabwe_65_74,M_Zimbabwe_75_84,M_Zimbabwe_85ov,M_Zimbabwe_Tot,M_Elsewhere_0_4,M_Elsewhere_5_14,M_Elsewhere_15_24,M_Elsewhere_25_44,M_Elsewhere_45_54,M_Elsewhere_55_64,M_Elsewhere_65_74,M_Elsewhere_75_84,M_Elsewhere_85ov,M_Elsewhere_Tot,M_COB_NS_0_4,M_COB_NS_5_14,M_COB_NS_15_24,M_COB_NS_25_44,M_COB_NS_45_54,M_COB_NS_55_64,M_COB_NS_65_74,M_COB_NS_75_84,M_COB_NS_85ov,M_COB_NS_Tot,M_Tot_0_4,M_Tot_5_14,M_Tot_15_24,M_Tot_25_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85ov,M_Tot_Tot,F_Afghanistan_0_4,F_Afghanistan_5_14,F_Afghanistan_15_24,F_Afghanistan_25_44,F_Afghanistan_45_54,F_Afghanistan_55_64,F_Afghanistan_65_74,F_Afghanistan_75_84,F_Afghanistan_85ov,F_Afghanistan_Tot,F_Australia_0_4,F_Australia_5_14,F_Australia_15_24,F_Australia_25_44,F_Australia_45_54,F_Australia_55_64,F_Australia_65_74,F_Australia_75_84,F_Australia_85ov,F_Australia_Tot,F_Bangladesh_0_4,F_Bangladesh_5_14,F_Bangladesh_15_24,F_Bangladesh_25_44,F_Bangladesh_45_54,F_Bangladesh_55_64,F_Bangladesh_65_74,F_Bangladesh_75_84,F_Bangladesh_85ov,F_Bangladesh_Tot,F_Bosnia_Herzegov_0_4,F_Bosnia_Herzegov_5_14,F_Bosnia_Herzegov_15_24,F_Bosnia_Herzegov_25_44,F_Bosnia_Herzegov_45_54,F_Bosnia_Herzegov_55_64,F_Bosnia_Herzegov_65_74,F_Bosnia_Herzegov_75_84,F_Bosnia_Herzegov_85ov,F_Bosnia_Herzegov_Tot,F_Brazil_0_4,F_Brazil_5_14,F_Brazil_15_24,F_Brazil_25_44,F_Brazil_45_54,F_Brazil_55_64,F_Brazil_65_74,F_Brazil_75_84,F_Brazil_85ov,F_Brazil_Tot,F_Cambodia_0_4,F_Cambodia_5_14,F_Cambodia_15_24,F_Cambodia_25_44,F_Cambodia_45_54,F_Cambodia_55_64,F_Cambodia_65_74,F_Cambodia_75_84,F_Cambodia_85ov,F_Cambodia_Tot,F_Canada_0_4,F_Canada_5_14,F_Canada_15_24,F_Canada_25_44,F_Canada_45_54,F_Canada_55_64,F_Canada_65_74,F_Canada_75_84,F_Canada_85ov,F_Canada_Tot
UCL101001,136,952,837,1722,853,605,598,208,47,5958,99,932,1345,5920,3926,2751,2022,912,259,18168,52,404,838,5306,2530,2421,1808,742,231,14339,51,204,375,3328,643,322,490,156,20,5584,78,389,834,5224,958,499,267,59,17,8317,29,170,212,2121,1516,1546,768,538,94,6994,448,1605,1357,3915,1712,1384,777,374,53,11628,136,1015,2751,10846,8954,9794,5207,1559,583,40862,0,40,81,698,434,417,312,187,37,2215,7,54,255,823,583,380,161,37,6,2307,707,5129,6761,36099,16102,14872,11371,7558,2639,101241,5786,12657,13695,37840,12769,10613,7628,5297,2637,108915,145583,299504,296670,727717,292439,248972,179630,98353,35570,2324431,28,317,740,2876,961,687,350,114,25,6098,126473,233637,195315,314661,140022,108273,80543,48932,25974,1273824,85,610,1013,8301,1580,849,287,47,12,12778,3,18,39,1053,594,856,503,255,88,3407,33,203,561,7125,746,385,162,57,18,9295,21,95,352,2317,1513,1445,966,374,182,7270,54,226,376,2422,882,626,356,153,30,5123
UCL102001,0,0,3,6,0,0,0,0,0,14,0,6,9,22,15,11,4,5,0,69,0,5,0,14,10,4,8,0,0,43,0,0,0,5,0,0,0,0,0,3,5,3,6,8,0,0,0,0,0,20,0,0,0,3,5,0,0,0,0,13,0,10,17,33,14,15,5,5,0,100,0,0,0,11,3,6,4,0,0,23,0,0,0,0,3,9,6,0,0,21,0,0,0,8,5,0,4,0,0,16,6,12,14,135,81,71,73,47,24,457,46,90,76,298,101,119,88,40,25,868,1167,2376,2246,5744,2660,2379,1422,632,221,18852,0,0,0,3,0,0,0,0,0,0,1093,1858,1779,3956,2032,1594,918,447,184,13868,0,7,8,57,4,0,0,0,0,73,0,0,0,10,0,3,3,0,0,20,0,0,0,11,8,0,0,0,0,20,0,0,0,5,0,0,0,0,0,8,0,5,0,17,10,15,3,0,0,46
UCL102002,0,17,5,19,12,16,21,6,0,97,5,62,78,249,233,138,105,66,10,946,4,8,4,49,27,22,23,14,4,156,0,7,0,12,5,4,3,0,0,37,0,34,24,86,27,8,3,0,0,192,0,4,0,11,14,19,8,4,0,66,0,48,54,151,112,85,82,40,4,568,0,14,11,53,36,21,10,9,0,153,4,7,8,28,49,42,44,53,8,235,0,9,19,49,41,21,12,10,0,154,16,79,103,544,422,420,428,390,134,2525,328,860,778,1782,950,950,910,735,404,7691,9484,20862,18588,36434,19826,19597,17484,11152,3740,157170,0,0,0,3,0,0,0,0,0,11,8524,17687,15659,29762,16018,16132,14593,9023,4387,131787,0,7,0,44,4,0,0,0,0,64,0,0,0,5,4,5,8,4,0,31,0,7,5,170,27,10,13,3,0,240,0,0,5,27,11,0,5,0,0,52,0,16,19,128,65,51,39,13,3,333
UCL102003,0,4,4,0,7,7,0,0,0,20,0,10,6,57,23,28,25,11,5,158,0,0,0,7,0,4,0,4,0,11,0,0,0,5,0,0,0,0,0,7,0,10,14,10,0,0,4,3,0,36,0,0,0,3,5,3,0,0,0,12,3,9,17,19,25,26,21,13,7,137,0,0,3,7,5,0,0,0,0,15,0,0,3,9,10,14,14,8,9,57,0,0,9,7,5,3,11,0,0,31,4,24,18,97,40,48,71,58,31,394,68,199,155,420,228,234,231,212,109,1847,1496,3691,3035,6161,3653,3973,4261,2867,1118,30254,0,0,0,0,0,0,0,0,0,0,1340,2990,2595,5042,3056,3641,3583,2288,1200,25737,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6,0,7,0,9,11,140,16,3,0,0,0,182,0,0,0,0,0,0,0,0,0,0,0,4,4,41,9,14,9,6,0,94
UCL102004,5,10,13,40,13,14,7,7,0,112,8,51,74,242,135,83,75,12,7,687,3,12,25,77,36,28,18,13,3,209,0,0,7,22,6,3,3,0,0,42,9,21,44,77,11,5,3,0,0,173,0,0,0,19,14,16,3,3,0,55,24,56,61,188,84,73,57,21,3,567,3,29,41,126,47,33,15,7,0,304,4,10,9,31,46,47,36,23,16,208,0,4,31,64,28,8,16,0,0,155,35,231,240,831,320,270,277,234,108,2546,240,677,972,1880,840,832,806,551,282,7073,9691,21293,22388,44977,21130,20237,17378,9949,3456,170489,6,40,18,73,8,5,3,0,0,154,8794,18251,19180,36959,18256,17911,15168,9050,4640,148224,0,20,16,111,10,4,3,0,0,160,0,0,0,24,9,30,29,9,0,110,0,3,4,121,19,4,6,0,0,160,0,3,0,39,17,9,9,0,0,83,0,24,22,188,69,38,30,7,4,388
UCL102005,0,22,8,15,18,12,12,5,0,81,5,31,42,187,86,50,68,17,4,473,0,6,24,67,14,26,14,3,4,163,0,9,0,26,4,0,3,0,0,42,0,32,67,99,25,10,0,3,0,248,0,3,12,69,84,111,39,44,8,376,12,34,54,118,70,50,46,24,4,405,4,16,78,122,70,92,71,23,3,478,0,3,5,16,37,102,70,33,24,298,0,0,13,28,18,10,4,0,0,77,24,215,279,811,557,727,682,496,223,4016,285,686,804,1544,709,650,559,511,234,5986,8263,17583,18712,35305,16997,16645,13244,7912,2842,137502,0,5,8,6,0,4,0,3,0,28,7318,14985,15947,27952,13420,11858,8624,4979,2308,107389,0,9,13,63,7,4,0,0,0,92,0,0,5,62,28,60,38,25,12,218,0,0,9,69,22,9,4,0,3,124,0,3,4,23,13,11,5,0,0,51,3,22,19,159,57,47,19,4,3,327
UCL111001,0,4,0,5,0,0,0,0,0,14,6,3,6,28,19,13,7,3,0,84,0,6,5,25,8,4,7,0,0,47,0,0,0,3,0,0,0,0,0,3,0,8,6,9,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,5,4,10,11,7,7,3,0,49,0,4,0,14,6,6,4,0,0,28,0,0,0,4,5,9,8,6,0,20,0,0,0,5,3,3,0,0,0,16,4,44,42,155,91,68,61,48,20,540,106,188,194,410,189,177,156,106,44,1581,1785,3358,3220,6714,3040,3029,2723,1495,497,25867,0,0,0,0,0,0,0,0,0,0,1542,2911,2880,5465,2703,2721,2452,1458,677,22822,0,4,0,28,4,0,0,0,0,32,0,0,0,0,0,0,0,4,0,4,0,0,0,3,0,0,0,0,0,4,0,0,0,4,0,0,0,0,0,3,0,0,3,13,4,5,0,0,0,31
UCL111002,0,0,0,9,0,0,0,0,0,14,0,11,18,39,30,19,13,3,0,132,0,3,4,5,0,0,3,3,0,17,0,0,0,7,0,0,0,0,0,11,0,13,17,10,0,0,0,0,0,43,0,0,0,0,0,0,0,0,0,0,3,7,0,19,8,5,22,8,0,78,0,4,0,13,5,11,3,0,0,36,0,0,3,3,4,10,6,3,5,30,0,0,0,0,0,3,5,0,0,17,0,49,66,173,74,75,43,44,20,539,58,163,170,415,187,178,162,139,85,1559,1264,3154,2761,5595,2943,3049,2977,1816,694,24249,0,0,3,6,7,0,0,0,0,24,1224,2711,2229,4422,2597,2710,2610,1647,778,20921,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,5,0,0,0,10,0,0,0,0,0,11,0,4,0,3,0,0,0,0,0,11,0,0,0,22,13,19,9,4,0,76
UCL111003,0,5,0,5,6,0,0,0,0,17,0,18,29,70,38,28,14,3,0,195,0,3,0,17,11,3,3,0,0,37,0,0,0,21,0,0,0,0,0,22,0,11,6,19,4,0,0,0,0,44,0,0,0,5,0,0,0,0,0,3,5,8,9,26,9,12,10,7,0,88,0,0,3,20,9,3,0,0,0,45,0,0,0,8,5,9,5,4,3,33,0,3,7,31,19,0,0,0,0,58,0,19,31,116,56,58,52,35,9,370,88,243,185,530,189,169,148,112,63,1730,3147,6560,5424,12135,5178,4636,3877,2045,541,43540,0,0,0,7,0,0,0,0,0,8,2906,5821,4976,10846,4710,4331,3611,2003,775,39981,0,0,0,22,3,0,0,0,0,27,0,0,0,0,0,3,0,0,0,3,0,0,0,7,0,0,0,0,0,8,0,0,0,8,3,0,0,0,0,13,0,5,0,23,5,4,9,0,0,53
UCL112001,0,0,0,5,0,0,0,0,0,5,0,3,8,15,8,0,6,0,0,52,0,0,0,21,3,3,5,0,0,43,0,0,0,3,0,0,0,0,0,4,0,0,0,0,0,4,0,0,0,6,0,0,0,4,0,0,0,0,0,5,0,13,4,13,0,7,6,3,0,52,0,11,0,17,3,4,0,0,0,32,0,0,0,0,7,0,3,0,0,6,0,0,3,9,0,0,0,0,0,17,5,32,23,91,33,18,22,6,3,236,52,120,298,216,60,79,48,69,31,974,629,1258,1784,2624,985,1100,866,593,215,10063,0,0,0,0,0,0,0,0,0,3,508,993,1421,1776,862,937,777,597,247,8114,0,3,0,29,4,0,0,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,5,3,7,4,7,6,3,0,30
