UCL_CODE_2021,F_Health_Occ_Mng,F_Health_Occ_Pro,F_Health_Occ_TTW,F_Health_Occ_CPS,F_Health_Occ_CA,F_Health_Occ_Sal,F_Health_Occ_MOD,F_Health_Occ_Lab,F_Health_Occ_IDNS,F_Health_Total,F_Educat_Occ_Mng,F_Educat_Occ_Pro,F_Educat_Occ_TTW,F_Educat_Occ_CPS,F_Educat_Occ_CA,F_Educat_Occ_Sal,F_Educat_Occ_MOD,F_Educat_Occ_Lab,F_Educat_Occ_IDNS,F_Educat_Total,F_ManagCom_Occ_Mng,F_ManagCom_Occ_Pro,F_ManagCom_Occ_TTW,F_ManagCom_Occ_CPS,F_ManagCom_Occ_CA,F_ManagCom_Occ_Sal,F_ManagCom_Occ_MOD,F_ManagCom_Occ_Lab,F_ManagCom_Occ_IDNS,F_ManagCom_Total,F_SocietCultu_Occ_Mng,F_SocietCultu_Occ_Pro,F_SocietCultu_Occ_TTW,F_SocietCultu_Occ_CPS,F_SocietCultu_Occ_CA,F_SocietCultu_Occ_Sal,F_SocietCultu_Occ_MOD,F_SocietCultu_Occ_Lab,F_SocietCultu_Occ_IDNS,F_SocietCultu_Total,F_CreatArt_Occ_Mng,F_CreatArt_Occ_Pro,F_CreatArt_Occ_TTW,F_CreatArt_Occ_CPS,F_CreatArt_Occ_CA,F_CreatArt_Occ_Sal,F_CreatArt_Occ_MOD,F_CreatArt_Occ_Lab,F_CreatArt_Occ_IDNS,F_CreatArt_Total,F_FoodHospPersServ_Occ_Mng,F_FoodHospPersServ_Occ_Pro,F_FoodHospPersServ_Occ_TTW,F_FoodHospPersServ_Occ_CPS,F_FoodHospPersServ_Occ_CA,F_FoodHospPersServ_Occ_Sal,F_FoodHospPersServ_Occ_MOD,F_FoodHospPersServ_Occ_Lab,F_FoodHospPersServ_Occ_IDNS,F_FoodHospPersServ_Total,F_MixFieldProg_Occ_Mng,F_MixFieldProg_Occ_Pro,F_MixFieldProg_Occ_TTW,F_MixFieldProg_Occ_CPS,F_MixFieldProg_Occ_CA,F_MixFieldProg_Occ_Sal,F_MixFieldProg_Occ_MOD,F_MixFieldProg_Occ_Lab,F_MixFieldProg_Occ_IDNS,F_MixFieldProg_Total,F_FS_ID_Occ_Mng,F_FS_ID_Occ_Pro,F_FS_ID_Occ_TTW,F_FS_ID_Occ_CPS,F_FS_ID_Occ_CA,F_FS_ID_Occ_Sal,F_FS_ID_Occ_MOD,F_FS_ID_Occ_Lab,F_FS_ID_Occ_IDNS,F_FS_ID_Total,F_FS_NS_Occ_Mng,F_FS_NS_Occ_Pro,F_FS_NS_Occ_TTW,F_FS_NS_Occ_CPS,F_FS_NS_Occ_CA,F_FS_NS_Occ_Sal,F_FS_NS_Occ_MOD,F_FS_NS_Occ_Lab,F_FS_NS_Occ_IDNS,F_FS_NS_Total,F_Tot_Occ_Mng,F_Tot_Occ_Pro,F_Tot_Occ_TTW,F_Tot_Occ_CPS,F_Tot_Occ_CA,F_Tot_Occ_Sal,F_Tot_Occ_MOD,F_Tot_Occ_Lab,F_Tot_Occ_IDNS,F_Total_Total,P_NatPhySci_Occ_Mng,P_NatPhySci_Occ_Pro,P_NatPhySci_Occ_TTW,P_NatPhySci_Occ_CPS,P_NatPhySci_Occ_CA,P_NatPhySci_Occ_Sal,P_NatPhySci_Occ_MOD,P_NatPhySci_Occ_Lab,P_NatPhySci_Occ_IDNS,P_NatPhySci_Total,P_InfoTechn_Occ_Mng,P_InfoTechn_Occ_Pro,P_InfoTechn_Occ_TTW,P_InfoTechn_Occ_CPS,P_InfoTechn_Occ_CA,P_InfoTechn_Occ_Sal,P_InfoTechn_Occ_MOD,P_InfoTechn_Occ_Lab,P_InfoTechn_Occ_IDNS,P_InfoTechn_Total,P_EngRelTech_Occ_Mng,P_EngRelTech_Occ_Pro,P_EngRelTech_Occ_TTW,P_EngRelTech_Occ_CPS,P_EngRelTech_Occ_CA,P_EngRelTech_Occ_Sal,P_EngRelTech_Occ_MOD,P_EngRelTech_Occ_Lab,P_EngRelTech_Occ_IDNS,P_EngRelTech_Total,P_ArchitBuild_Occ_Mng,P_ArchitBuild_Occ_Pro,P_ArchitBuild_Occ_TTW,P_ArchitBuild_Occ_CPS,P_ArchitBuild_Occ_CA,P_ArchitBuild_Occ_Sal,P_ArchitBuild_Occ_MOD,P_ArchitBuild_Occ_Lab,P_ArchitBuild_Occ_IDNS,P_ArchitBuild_Total,P_AgriEnviRelStu_Occ_Mng,P_AgriEnviRelStu_Occ_Pro,P_AgriEnviRelStu_Occ_TTW,P_AgriEnviRelStu_Occ_CPS,P_AgriEnviRelStu_Occ_CA,P_AgriEnviRelStu_Occ_Sal,P_AgriEnviRelStu_Occ_MOD,P_AgriEnviRelStu_Occ_Lab,P_AgriEnviRelStu_Occ_IDNS,P_AgriEnviRelStu_Total,P_Health_Occ_Mng,P_Health_Occ_Pro,P_Health_Occ_TTW,P_Health_Occ_CPS,P_Health_Occ_CA,P_Health_Occ_Sal,P_Health_Occ_MOD,P_Health_Occ_Lab,P_Health_Occ_IDNS,P_Health_Total,P_Educat_Occ_Mng,P_Educat_Occ_Pro,P_Educat_Occ_TTW,P_Educat_Occ_CPS,P_Educat_Occ_CA,P_Educat_Occ_Sal,P_Educat_Occ_MOD,P_Educat_Occ_Lab,P_Educat_Occ_IDNS,P_Educat_Total,P_ManagCom_Occ_Mng,P_ManagCom_Occ_Pro,P_ManagCom_Occ_TTW,P_ManagCom_Occ_CPS,P_ManagCom_Occ_CA,P_ManagCom_Occ_Sal,P_ManagCom_Occ_MOD,P_ManagCom_Occ_Lab,P_ManagCom_Occ_IDNS,P_ManagCom_Total,P_SocietCultu_Occ_Mng,P_SocietCultu_Occ_Pro,P_SocietCultu_Occ_TTW,P_SocietCultu_Occ_CPS,P_SocietCultu_Occ_CA,P_SocietCultu_Occ_Sal,P_SocietCultu_Occ_MOD,P_SocietCultu_Occ_Lab,P_SocietCultu_Occ_IDNS,P_SocietCultu_Total,P_CreatArt_Occ_Mng,P_CreatArt_Occ_Pro,P_CreatArt_Occ_TTW,P_CreatArt_Occ_CPS,P_CreatArt_Occ_CA,P_CreatArt_Occ_Sal,P_CreatArt_Occ_MOD,P_CreatArt_Occ_Lab,P_CreatArt_Occ_IDNS,P_CreatArt_Total
UCL101001,6492,76324,3405,18062,8388,2756,641,1684,896,118664,8406,54065,698,14021,6483,1750,356,1103,535,87408,52046,70862,3985,16412,78354,21063,2837,7144,3674,256382,17903,52511,2302,31647,23273,6025,1206,3323,1836,140023,8894,24078,2487,3966,8081,4874,508,1055,562,54514,3984,1751,6567,6392,6915,3826,741,2464,459,33094,47,96,30,114,172,104,29,126,17,734,2193,3543,442,1543,2845,1050,262,565,347,12790,1356,2348,516,1883,2916,1186,369,1051,3362,14977,115946,329970,29427,100295,152323,48308,8565,22077,13096,820016,10943,27492,5607,3668,7140,2974,1415,2121,844,62199,18912,58124,9964,3703,8676,5163,4533,4511,1775,115358,34506,57614,58999,5058,12893,6820,14658,11508,2744,204792,15734,14532,33209,1545,4161,2212,3191,5582,1071,81239,2689,3169,4788,925,1673,858,1027,2061,227,17412,10240,107483,4992,23161,9794,3688,1813,2690,1296,165166,11499,68479,1500,15503,7319,2251,1168,1740,710,110176,115999,141902,13569,24221,105533,40521,14894,16048,7372,480060,31795,87477,5333,44926,30498,9378,4354,6076,3146,222972,14291,40946,6387,5828,10672,7448,2134,2627,986,91325
UCL102001,72,525,28,159,97,27,0,14,12,921,76,436,3,154,70,9,0,10,7,762,487,358,41,155,746,141,11,53,41,2032,260,422,24,345,313,43,3,41,27,1475,60,130,19,29,60,10,3,0,6,321,50,26,100,67,137,38,6,22,4,444,0,0,0,0,4,0,0,0,0,7,26,40,10,22,27,3,5,6,7,133,13,14,4,17,35,13,0,0,26,133,1192,2202,297,1017,1649,334,34,173,138,7031,96,212,35,47,64,16,11,8,7,503,157,386,87,62,72,74,44,45,20,945,286,324,741,64,125,55,183,143,31,1947,149,54,497,23,42,22,49,84,3,916,40,37,62,10,35,14,17,24,4,253,97,634,47,212,112,27,3,24,17,1174,112,559,15,173,88,9,12,16,9,1000,889,635,120,243,948,226,69,112,66,3309,498,690,58,531,411,76,16,72,49,2401,97,214,59,41,83,34,10,18,4,563
UCL102002,478,5625,399,2092,716,288,57,171,58,9871,616,4012,60,1381,484,134,26,59,39,6807,2143,2118,240,1029,5272,1349,136,442,134,12863,767,2379,151,3788,1424,438,79,345,91,9466,309,854,149,271,393,228,21,83,28,2345,333,141,757,789,631,406,71,292,36,3458,4,7,0,11,9,6,0,3,0,47,59,132,42,81,126,34,10,16,10,508,81,114,43,210,220,105,22,72,154,1026,5185,16268,2319,9894,9769,3201,526,1680,588,49427,334,856,252,146,195,77,51,90,22,2011,466,1143,293,106,234,128,104,129,29,2638,1635,1659,5499,392,611,437,1232,1065,165,12701,1263,387,4650,222,231,168,375,817,107,8220,242,231,797,104,132,111,150,326,26,2121,689,7415,519,2589,796,336,116,252,78,12793,866,5460,133,1544,537,156,88,119,56,8965,4535,3943,650,1397,6207,2190,602,855,246,20627,1304,3378,342,5228,1682,570,221,542,144,13401,538,1477,381,383,482,369,130,212,52,4022
UCL102003,83,1177,75,446,145,64,7,33,17,2052,98,803,8,259,105,33,6,34,12,1351,369,345,57,235,806,254,27,98,25,2231,163,398,26,671,240,100,11,82,25,1713,65,175,26,56,77,46,9,14,10,479,87,27,206,202,125,88,5,77,15,834,0,0,0,3,3,0,0,0,0,9,8,25,4,15,17,4,0,0,3,89,21,23,17,49,42,21,3,32,32,247,969,3119,496,1999,1656,663,75,421,148,9551,63,106,43,30,25,9,5,18,5,307,43,97,35,21,26,27,10,24,5,292,273,261,941,87,81,87,203,219,30,2188,289,105,965,51,49,42,84,175,22,1784,41,43,130,24,28,17,18,69,8,381,130,1550,113,552,160,68,19,54,24,2677,158,1075,20,293,115,44,10,41,13,1781,737,631,151,316,927,414,95,182,40,3509,256,584,60,913,275,119,32,141,35,2412,105,276,67,76,98,63,12,38,15,749
UCL102004,524,8933,415,2293,765,240,43,146,56,13409,686,5287,54,1436,544,146,24,65,39,8284,2517,2871,290,1152,6200,1333,116,393,162,15028,903,3553,186,3850,1596,409,77,277,97,10941,385,1217,161,408,465,278,31,100,30,3077,348,164,1047,911,669,420,56,294,30,3932,0,3,3,15,12,8,0,5,0,51,83,169,38,103,151,42,13,20,16,639,92,138,58,196,209,116,21,78,173,1075,6068,24240,2880,10714,11245,3248,506,1601,655,61155,415,1603,456,208,304,139,72,103,31,3336,434,1305,368,111,218,140,91,116,28,2795,2503,4164,8053,606,805,487,1877,1144,205,19853,1307,810,4090,211,309,195,509,727,98,8264,248,537,429,154,208,105,120,269,15,2079,833,12142,556,2907,854,309,132,242,86,18046,1035,7231,173,1638,614,205,122,130,61,11211,5235,5290,884,1642,7320,2110,666,796,305,24253,1482,5133,362,5301,1942,574,273,462,139,15664,599,1902,422,609,611,429,118,245,41,4983
UCL102005,386,4915,328,1800,573,176,43,111,49,8378,530,4061,53,1131,406,104,20,62,31,6400,1904,2060,185,901,4745,1093,106,351,123,11457,757,2513,160,3482,1279,389,61,259,115,9023,268,813,123,272,325,202,20,75,16,2131,290,96,664,687,529,270,50,247,30,2865,4,0,0,13,10,10,3,3,0,39,63,134,24,71,115,26,4,21,3,459,56,86,34,144,161,64,14,75,134,769,4636,15990,2032,8799,8648,2569,399,1446,544,45064,329,1237,297,199,211,110,41,92,31,2550,395,1225,341,115,216,151,115,124,34,2708,1839,2602,6584,458,697,428,1882,1097,226,15816,805,382,3466,159,199,121,587,749,85,6548,152,263,501,71,102,61,130,226,17,1525,590,6679,440,2234,652,227,96,170,73,11162,756,5458,140,1301,463,133,89,112,47,8506,3908,3748,558,1246,5598,1711,504,682,209,18168,1146,3621,345,4864,1533,500,225,429,154,12832,422,1390,289,397,425,297,79,178,27,3507
UCL111001,96,1073,62,372,145,67,9,34,15,1876,106,825,15,273,83,34,0,18,3,1372,342,362,46,178,869,209,13,88,33,2136,105,385,22,733,180,71,13,52,13,1580,25,112,11,28,53,28,0,17,0,273,76,26,202,185,109,62,13,55,6,741,0,0,0,4,6,7,0,0,0,17,11,24,3,18,8,8,0,9,3,87,19,17,14,38,24,17,5,26,24,177,865,2959,458,1895,1585,536,71,358,109,8831,56,126,33,27,46,6,13,9,5,310,64,100,64,36,42,27,34,28,4,406,311,249,1101,73,107,90,283,224,28,2470,180,52,680,29,33,29,64,96,12,1171,74,86,128,23,41,26,36,72,7,496,128,1450,79,465,157,73,25,41,20,2441,168,1134,33,312,94,39,17,33,13,1839,726,676,146,252,1018,352,139,142,45,3506,185,528,52,947,218,87,52,100,20,2190,46,172,28,41,61,45,11,25,3,433
UCL111002,82,1065,53,330,118,44,7,25,5,1723,84,657,6,250,76,25,0,25,9,1136,273,268,42,173,830,257,11,77,15,1939,101,356,22,616,191,78,5,53,16,1449,31,95,13,35,44,32,0,11,0,259,54,21,164,181,105,87,6,62,8,689,0,0,0,0,0,0,0,3,0,8,9,21,5,14,18,3,0,4,3,78,19,23,12,40,22,23,0,27,31,192,721,2618,364,1689,1476,580,37,322,104,7916,46,113,37,40,37,16,4,18,6,314,47,83,45,14,33,28,12,15,0,281,207,180,708,64,91,91,153,169,18,1679,161,63,491,26,24,30,50,134,12,990,66,71,103,22,25,23,34,92,6,441,111,1500,82,417,132,51,10,40,11,2346,122,892,18,297,91,33,15,32,14,1506,567,481,105,252,955,379,53,151,25,2960,173,545,47,830,234,104,24,94,22,2082,56,155,41,48,53,45,9,29,6,431
UCL111003,94,1480,121,657,200,81,21,67,11,2731,176,1108,20,459,116,35,5,20,8,1941,553,540,79,316,1744,393,57,167,43,3902,186,575,42,1245,362,136,30,86,28,2688,46,153,30,59,69,45,4,32,8,445,103,44,328,319,183,150,26,105,12,1256,0,0,0,0,0,0,0,9,0,11,9,16,10,20,32,8,9,8,4,116,22,31,9,54,46,17,6,44,44,277,1309,4197,813,3210,2877,961,221,613,158,14363,74,205,103,43,44,28,17,20,9,540,85,210,93,28,45,33,39,32,9,570,593,666,3045,124,213,131,855,349,81,6058,207,73,837,44,51,40,192,148,30,1623,71,79,121,24,39,32,49,107,3,530,163,1850,168,780,220,86,64,87,15,3429,243,1442,40,511,127,46,31,33,14,2478,1108,957,225,444,1961,585,239,273,71,5851,282,786,84,1629,419,172,96,133,37,3624,87,225,62,85,100,80,25,61,8,734
UCL112001,35,362,10,158,40,15,0,19,4,651,48,348,4,86,34,7,0,22,0,550,93,132,15,60,263,53,0,32,5,663,74,263,10,191,100,26,0,26,6,694,8,61,6,20,23,10,3,4,0,126,12,4,53,29,18,24,0,17,0,170,0,0,0,0,0,5,0,0,0,3,0,15,4,8,9,0,0,3,0,44,3,15,0,9,17,0,0,4,11,62,340,1358,150,601,559,164,12,170,36,3391,57,191,35,29,37,7,0,23,7,389,33,67,28,11,10,5,3,14,0,179,60,71,211,26,31,21,62,51,4,533,70,22,174,8,8,12,17,37,3,349,61,118,60,26,39,20,13,76,3,425,45,481,21,211,39,16,6,33,4,857,70,471,13,100,40,17,8,23,5,745,208,240,49,88,306,92,17,80,11,1098,136,451,32,277,125,35,15,53,16,1138,13,91,16,35,30,17,11,6,0,215
