UCL_CODE_2021,M_Tot_0,M_Tot_1_19,M_Tot_20_29,M_Tot_30_34,M_Tot_35_39,M_Tot_40_44,M_Tot_45_49,M_Tot_50_over,M_Tot_hours_NS,M_Tot_Tot,F_AgriForestFish_0,F_AgriForestFish_1_19,F_AgriForestFish_20_29,F_AgriForestFish_30_34,F_AgriForestFish_35_39,F_AgriForestFish_40_44,F_AgriForestFish_45_49,F_AgriForestFish_50_over,F_AgriForestFish_hours_NS,F_AgriForestFish_Tot,F_Min_0,F_Min_1_19,F_Min_20_29,F_Min_30_34,F_Min_35_39,F_Min_40_44,F_Min_45_49,F_Min_50_over,F_Min_hours_NS,F_Min_Tot,F_Mnfg_0,F_Mnfg_1_19,F_Mnfg_20_29,F_Mnfg_30_34,F_Mnfg_35_39,F_Mnfg_40_44,F_Mnfg_45_49,F_Mnfg_50_over,F_Mnfg_hours_NS,F_Mnfg_Tot,F_EGW_WS_0,F_EGW_WS_1_19,F_EGW_WS_20_29,F_EGW_WS_30_34,F_EGW_WS_35_39,F_EGW_WS_40_44,F_EGW_WS_45_49,F_EGW_WS_50_over,F_EGW_WS_hours_NS,F_EGW_WS_Tot,F_Cnstn_0,F_Cnstn_1_19,F_Cnstn_20_29,F_Cnstn_30_34,F_Cnstn_35_39,F_Cnstn_40_44,F_Cnstn_45_49,F_Cnstn_50_over,F_Cnstn_hours_NS,F_Cnstn_Tot,F_WTrade_0,F_WTrade_1_19,F_WTrade_20_29,F_WTrade_30_34,F_WTrade_35_39,F_WTrade_40_44,F_WTrade_45_49,F_WTrade_50_over,F_WTrade_hours_NS,F_WTrade_Tot,F_RTrade_0,F_RTrade_1_19,F_RTrade_20_29,F_RTrade_30_34,F_RTrade_35_39,F_RTrade_40_44,F_RTrade_45_49,F_RTrade_50_over,F_RTrade_hours_NS,F_RTrade_Tot,F_AccomFoodS_0,F_AccomFoodS_1_19,F_AccomFoodS_20_29,F_AccomFoodS_30_34,F_AccomFoodS_35_39,F_AccomFoodS_40_44,F_AccomFoodS_45_49,F_AccomFoodS_50_over,F_AccomFoodS_hours_NS,F_AccomFoodS_Tot,F_TransPostWhse_0,F_TransPostWhse_1_19,F_TransPostWhse_20_29,F_TransPostWhse_30_34,F_TransPostWhse_35_39,F_TransPostWhse_40_44,F_TransPostWhse_45_49,F_TransPostWhse_50_over,F_TransPostWhse_hours_NS,F_TransPostWhse_Tot,F_InfoMedTelecom_0,F_InfoMedTelecom_1_19,F_InfoMedTelecom_20_29,F_InfoMedTelecom_30_34,F_InfoMedTelecom_35_39,F_InfoMedTelecom_40_44,F_InfoMedTelecom_45_49,F_InfoMedTelecom_50_over,F_InfoMedTelecom_hours_NS,F_InfoMedTelecom_Tot,F_FinInsurS_0,F_FinInsurS_1_19,F_FinInsurS_20_29,F_FinInsurS_30_34,F_FinInsurS_35_39,F_FinInsurS_40_44,F_FinInsurS_45_49,F_FinInsurS_50_over,F_FinInsurS_hours_NS,F_FinInsurS_Tot,F_RentHirREserv_0,F_RentHirREserv_1_19,F_RentHirREserv_20_29,F_RentHirREserv_30_34,F_RentHirREserv_35_39,F_RentHirREserv_40_44,F_RentHirREserv_45_49,F_RentHirREserv_50_over,F_RentHirREserv_hours_NS,F_RentHirREserv_Tot,F_ProScieTechServ_0,F_ProScieTechServ_1_19,F_ProScieTechServ_20_29,F_ProScieTechServ_30_34,F_ProScieTechServ_35_39,F_ProScieTechServ_40_44,F_ProScieTechServ_45_49,F_ProScieTechServ_50_over,F_ProScieTechServ_hours_NS,F_ProScieTechServ_Tot,F_AdminSupServ_0,F_AdminSupServ_1_19,F_AdminSupServ_20_29,F_AdminSupServ_30_34,F_AdminSupServ_35_39,F_AdminSupServ_40_44,F_AdminSupServ_45_49,F_AdminSupServ_50_over,F_AdminSupServ_hours_NS,F_AdminSupServ_Tot,F_PubAdmiSafety_0,F_PubAdmiSafety_1_19,F_PubAdmiSafety_20_29,F_PubAdmiSafety_30_34,F_PubAdmiSafety_35_39,F_PubAdmiSafety_40_44,F_PubAdmiSafety_45_49,F_PubAdmiSafety_50_over,F_PubAdmiSafety_hours_NS,F_PubAdmiSafety_Tot,F_EducTrain_0,F_EducTrain_1_19,F_EducTrain_20_29,F_EducTrain_30_34,F_EducTrain_35_39,F_EducTrain_40_44,F_EducTrain_45_49,F_EducTrain_50_over,F_EducTrain_hours_NS,F_EducTrain_Tot,F_HealthCareSocA_0,F_HealthCareSocA_1_19,F_HealthCareSocA_20_29,F_HealthCareSocA_30_34,F_HealthCareSocA_35_39,F_HealthCareSocA_40_44,F_HealthCareSocA_45_49,F_HealthCareSocA_50_over,F_HealthCareSocA_hours_NS,F_HealthCareSocA_Tot,F_ArtRecServ_0,F_ArtRecServ_1_19,F_ArtRecServ_20_29,F_ArtRecServ_30_34,F_ArtRecServ_35_39,F_ArtRecServ_40_44,F_ArtRecServ_45_49,F_ArtRecServ_50_over,F_ArtRecServ_hours_NS,F_ArtRecServ_Tot,F_OthServ_0,F_OthServ_1_19,F_OthServ_20_29,F_OthServ_30_34,F_OthServ_35_39,F_OthServ_40_44,F_OthServ_45_49,F_OthServ_50_over,F_OthServ_hours_NS,F_OthServ_Tot
UCL101001,114445,118028,86544,48251,233120,288002,69729,156325,22207,1136652,198,489,458,283,544,404,117,199,33,2724,37,63,66,47,206,241,58,139,0,858,3390,4956,4245,2569,10835,8315,2115,2843,262,39530,236,257,320,233,1563,1263,287,510,15,4678,4330,4984,3592,1645,4821,5881,1065,2189,334,28847,1936,2617,2669,1770,8347,7557,1668,2514,132,29221,20925,21494,15518,7395,16117,11368,2510,4138,1035,100490,17210,19279,8122,2888,4380,3117,682,1403,681,57773,3015,3180,3365,1658,7138,6305,1389,2061,277,28395,1474,1488,1587,1212,5260,6229,1450,3332,122,22158,3634,3359,5617,4774,20737,23247,4973,9408,425,76172,1427,2747,2235,1348,4758,4946,1113,1800,164,20540,5484,12004,12107,7361,24178,30173,7026,12771,626,111723,4637,6456,5249,2382,7170,5891,1121,1759,340,35001,3939,3164,5353,2467,20403,11568,3228,4340,328,54781,10729,23486,17424,11736,26125,21117,6238,14623,891,132355,16573,35384,37142,24172,45533,38078,6484,11828,1861,217049,4786,2626,1793,893,2342,2025,463,768,126,15821,9729,5357,3617,1757,4847,3377,760,1162,305,30907
UCL102001,333,884,671,463,2465,3168,968,1699,163,10809,0,7,0,3,9,3,0,0,0,22,0,0,0,0,0,0,0,0,0,3,11,33,24,14,36,30,11,14,0,172,3,0,4,0,22,16,6,4,0,49,7,34,34,21,62,75,16,25,0,269,3,12,9,10,24,20,3,9,0,93,39,236,179,80,171,90,22,23,7,840,34,225,99,50,82,56,9,24,8,601,10,19,24,8,30,11,5,5,0,113,3,3,5,0,34,26,8,7,0,91,12,9,15,3,38,23,3,10,0,121,3,10,13,9,52,39,11,21,3,164,39,71,73,62,179,186,41,68,3,722,7,69,58,19,86,46,15,27,0,329,198,79,185,219,958,734,244,222,15,2848,52,167,128,96,233,184,67,130,0,1057,98,212,254,203,474,282,68,108,16,1724,0,40,27,14,34,21,5,9,0,156,18,58,47,31,87,53,22,19,0,336
UCL102002,6321,8646,5382,3766,14946,17094,4480,9073,1229,70948,20,58,49,34,52,25,12,13,3,272,5,8,10,3,17,13,9,4,3,61,144,439,297,194,610,430,118,153,18,2392,14,26,28,13,105,31,7,15,4,246,222,504,326,145,322,290,38,103,32,1975,67,156,131,94,273,195,47,59,5,1025,1707,2288,1477,741,1146,589,156,218,79,8394,1660,2058,705,242,351,207,53,128,69,5466,108,212,162,76,179,221,40,80,6,1088,107,114,115,77,254,159,36,77,0,937,143,173,326,189,798,601,151,184,18,2580,86,179,145,85,310,245,61,91,3,1201,238,659,615,389,841,700,186,305,27,3950,334,712,323,143,348,257,54,65,25,2270,309,268,527,224,1516,646,247,256,19,4014,734,1419,1282,916,1430,1303,380,956,56,8472,1504,3347,3948,2913,3849,2839,524,859,160,19941,287,155,96,58,114,80,9,42,10,848,956,466,289,133,360,194,48,66,31,2554
UCL102003,682,1687,1152,921,2524,2864,845,1967,251,12899,8,16,9,4,13,10,0,4,4,66,0,4,4,0,0,5,4,8,0,24,8,73,41,25,82,60,19,24,3,325,4,5,3,7,9,16,3,3,0,52,13,79,65,43,60,61,6,28,6,369,7,21,22,14,23,11,13,9,0,123,126,506,350,175,267,153,43,49,16,1674,158,644,287,124,145,93,24,35,30,1549,26,46,45,17,39,27,4,9,6,206,5,31,15,9,24,16,0,17,0,110,14,19,37,35,81,49,16,27,5,282,15,44,43,23,76,50,11,28,0,301,27,135,137,97,136,141,21,64,3,755,39,158,87,40,74,34,15,27,4,480,35,41,75,52,204,87,36,47,7,575,114,291,323,203,278,241,97,143,15,1711,262,588,779,675,744,442,81,162,31,3781,23,64,41,19,23,28,11,6,4,217,67,136,106,72,83,48,6,29,11,554
UCL102004,4006,9332,6405,4775,18127,21726,6563,12247,1119,84292,8,55,34,19,26,34,6,20,4,191,36,18,57,25,94,114,35,78,3,457,92,313,295,193,486,373,122,142,8,2020,19,38,65,43,159,113,31,27,0,488,101,336,344,197,394,441,90,139,17,2061,42,112,140,74,227,192,42,47,4,878,720,2869,1708,886,1345,649,170,232,71,8660,826,3091,1154,435,573,341,101,165,75,6762,89,225,160,83,250,211,57,102,6,1174,41,88,63,35,182,96,17,51,0,573,214,234,494,341,1269,642,157,210,13,3579,47,132,142,85,338,233,55,93,3,1124,248,762,827,586,1165,994,224,369,19,5197,157,723,497,284,500,343,63,119,28,2716,348,262,644,300,1738,847,273,307,17,4730,679,2145,1858,1257,2233,1661,663,1226,48,11773,1745,3784,4978,4002,4790,4103,776,1299,163,25644,147,357,168,80,119,108,18,52,14,1056,277,801,609,304,554,322,90,117,21,3092
UCL102005,5655,7367,4651,3082,14040,15649,4842,8583,1031,64887,8,28,28,12,22,10,7,9,3,125,9,12,22,3,33,37,22,36,0,186,126,247,190,130,357,323,119,123,5,1623,15,10,25,13,62,47,9,25,0,204,144,322,222,99,197,238,41,85,18,1370,65,107,93,44,149,128,16,36,0,644,1435,1852,1195,639,891,447,127,151,66,6804,1451,1997,568,199,288,170,47,91,49,4858,117,185,156,65,221,188,56,81,10,1084,44,57,57,33,132,92,25,38,3,470,144,193,377,252,838,529,120,139,8,2598,60,114,111,62,278,149,32,50,0,857,208,540,564,300,781,589,145,239,15,3374,255,577,370,175,448,224,47,81,10,2191,343,311,610,285,1492,635,241,255,18,4196,785,1612,1386,861,1978,1324,426,978,37,9386,1331,2862,3415,2345,3260,2818,493,801,122,17428,272,180,119,44,98,70,15,22,8,831,825,391,247,112,277,176,37,57,23,2142
UCL111001,381,1189,932,658,2745,3313,1082,2057,202,12551,8,21,14,3,20,12,3,8,0,83,0,0,0,0,0,0,0,0,0,4,18,83,55,46,94,106,27,36,0,463,0,0,0,3,8,8,4,0,0,27,10,55,52,32,87,86,16,19,3,362,5,23,17,19,27,24,3,8,0,131,75,471,299,182,294,124,36,47,9,1528,78,442,174,85,136,84,26,62,9,1098,17,28,37,17,41,42,16,30,0,228,5,13,11,10,22,7,3,6,0,76,10,22,34,29,56,47,10,10,5,214,6,24,24,16,56,22,5,11,0,171,20,71,81,62,152,72,21,43,0,527,17,126,65,36,84,44,13,19,6,402,57,68,113,92,291,154,51,53,6,880,103,309,285,209,343,235,126,204,16,1816,201,507,742,632,693,482,126,172,35,3584,4,40,27,3,17,20,9,4,0,125,20,108,77,43,80,66,18,22,3,433
UCL111002,451,1386,954,771,2382,2219,751,1430,210,10557,0,44,37,37,39,14,6,5,10,191,0,0,0,0,0,0,0,0,0,9,8,39,22,15,46,24,5,14,0,174,0,0,0,3,12,0,0,3,0,23,15,46,37,20,51,32,10,16,0,227,0,28,18,7,30,17,3,3,0,107,70,428,298,145,242,111,19,43,12,1367,77,485,198,89,105,83,29,45,16,1124,10,32,24,9,19,29,6,13,5,140,0,10,4,8,27,15,6,10,3,81,11,8,30,30,64,45,4,18,0,216,6,16,20,22,54,41,9,16,0,179,9,69,106,54,132,67,18,40,0,501,25,117,82,44,87,49,14,10,11,422,52,37,82,42,210,115,33,53,0,640,65,214,241,195,250,184,85,176,9,1431,189,494,631,517,707,503,85,175,42,3350,6,53,22,12,17,16,0,4,0,135,19,100,68,64,87,40,17,19,10,424
UCL111003,948,1955,1381,1039,4801,5398,1953,3811,341,21625,8,13,26,13,42,31,10,20,4,168,11,13,21,9,71,52,27,66,3,274,47,103,102,80,236,164,51,66,3,851,7,5,5,4,36,48,9,18,0,130,23,78,90,60,123,145,21,46,7,590,8,37,35,23,72,55,10,20,0,262,257,783,558,252,434,214,72,77,24,2666,227,732,266,117,156,109,25,54,9,1693,24,71,52,25,75,87,20,32,5,399,10,22,12,5,33,15,7,5,0,113,50,43,79,57,243,129,38,29,0,660,9,25,26,15,88,62,12,16,0,262,31,134,170,108,205,190,46,54,0,933,57,217,166,76,219,103,23,45,14,911,107,84,149,70,483,223,79,60,4,1259,152,435,371,294,436,362,133,314,10,2509,397,837,1067,881,1224,844,161,286,39,5731,22,55,21,9,24,17,6,4,0,159,82,218,166,92,133,91,21,31,7,837
UCL112001,171,601,378,272,1188,835,311,630,68,4450,0,22,21,5,42,15,4,4,0,121,0,0,0,0,0,0,0,5,0,3,0,10,10,6,9,14,3,6,0,58,0,0,0,0,0,6,0,3,0,6,0,10,14,4,13,14,6,4,0,59,0,0,7,4,6,6,0,0,0,32,36,141,91,45,65,41,17,22,0,456,37,188,65,25,25,22,8,21,5,397,4,4,6,9,4,4,3,0,0,31,5,12,3,5,8,0,0,3,0,40,8,9,15,6,35,14,4,0,0,80,0,3,0,0,18,9,0,0,0,48,10,39,38,27,66,24,18,15,0,242,3,28,30,13,44,13,5,16,0,140,22,17,20,10,99,29,4,19,0,227,49,190,152,95,346,170,70,143,6,1216,77,180,191,183,231,149,48,66,11,1131,0,13,7,3,4,7,3,0,0,48,0,34,29,13,25,22,6,0,0,140
UCL112002,312,815,624,414,1930,1940,719,1538,130,8418,8,17,12,4,16,9,5,8,0,66,0,0,0,0,0,4,0,14,0,18,25,51,33,30,57,86,28,24,4,341,4,0,10,0,12,13,0,5,0,45,6,30,34,21,35,46,3,15,0,182,0,18,11,10,18,12,3,8,0,70,63,293,202,88,174,83,26,41,11,975,40,290,117,53,71,50,7,23,5,662,6,14,23,12,35,17,7,6,0,118,10,7,15,4,28,14,6,5,0,91,15,9,28,9,57,28,4,10,0,157,0,10,9,9,25,12,4,10,0,83,8,52,53,31,104,50,7,23,0,321,12,63,37,25,73,36,7,14,3,267,41,49,60,55,276,129,27,45,0,687,68,189,184,130,327,220,93,180,12,1388,135,286,386,364,510,364,93,140,15,2298,9,36,9,13,19,9,6,6,0,110,18,59,51,30,73,40,7,24,0,297
UCL112003,659,933,626,404,1250,1392,425,806,63,6559,6,12,7,4,7,4,0,0,0,36,0,0,0,0,0,0,0,3,0,4,16,41,27,14,17,16,10,8,0,152,0,0,0,0,10,8,0,5,0,25,11,35,18,7,20,16,4,8,0,119,8,12,10,9,14,14,0,8,0,73,94,189,122,60,58,44,6,18,3,600,214,149,54,29,30,12,4,16,5,517,19,19,12,5,22,18,7,8,0,102,10,16,13,5,18,16,3,8,0,88,12,12,24,13,34,42,9,15,0,152,4,3,8,8,21,20,6,8,0,86,25,108,70,47,83,84,16,45,3,475,48,59,18,17,30,5,6,7,0,188,51,41,81,33,184,84,31,24,0,525,103,244,171,99,211,164,73,177,5,1261,128,363,365,241,247,237,50,76,11,1714,35,45,31,20,17,11,6,3,0,178,73,48,18,19,18,17,0,11,5,212
