UCL_CODE_2021,D_10_12_FPNLF_MPET,D_10_12_FPNLF_MPULFTW,D_10_12_FPNLF_MPULPTW,D_10_12_FPNLF_MPUT,D_10_12_FPNLF_MPTLF,D_10_12_FPNLF_MPNLF,D_10_12_FPNLF_MPLFSNS,D_10_12_FPNLF_T,D_10_12_FPLFSNS_MPEFT,D_10_12_FPLFSNS_MPEPT,D_10_12_FPLFSNS_MPEAW,D_10_12_FPLFSNS_MPEHNS,D_10_12_FPLFSNS_MPET,D_10_12_FPLFSNS_MPULFTW,D_10_12_FPLFSNS_MPULPTW,D_10_12_FPLFSNS_MPUT,D_10_12_FPLFSNS_MPTLF,D_10_12_FPLFSNS_MPNLF,D_10_12_FPLFSNS_MPLFSNS,D_10_12_FPLFSNS_T,D_10_12_FPT_MPEFT,D_10_12_FPT_MPEPT,D_10_12_FPT_MPEAW,D_10_12_FPT_MPEHNS,D_10_12_FPT_MPET,D_10_12_FPT_MPULFTW,D_10_12_FPT_MPULPTW,D_10_12_FPT_MPUT,D_10_12_FPT_MPTLF,D_10_12_FPT_MPNLF,D_10_12_FPT_MPLFSNS,D_10_12_FPT_T,D_13_14_FPEFT_MPEFT,D_13_14_FPEFT_MPEPT,D_13_14_FPEFT_MPEAW,D_13_14_FPEFT_MPEHNS,D_13_14_FPEFT_MPET,D_13_14_FPEFT_MPULFTW,D_13_14_FPEFT_MPULPTW,D_13_14_FPEFT_MPUT,D_13_14_FPEFT_MPTLF,D_13_14_FPEFT_MPNLF,D_13_14_FPEFT_MPLFSNS,D_13_14_FPEFT_T,D_13_14_FPEPT_MPEFT,D_13_14_FPEPT_MPEPT,D_13_14_FPEPT_MPEAW,D_13_14_FPEPT_MPEHNS,D_13_14_FPEPT_MPET,D_13_14_FPEPT_MPULFTW,D_13_14_FPEPT_MPULPTW,D_13_14_FPEPT_MPUT,D_13_14_FPEPT_MPTLF,D_13_14_FPEPT_MPNLF,D_13_14_FPEPT_MPLFSNS,D_13_14_FPEPT_T,D_13_14_FPEAW_MPEFT,D_13_14_FPEAW_MPEPT,D_13_14_FPEAW_MPEAW,D_13_14_FPEAW_MPEHNS,D_13_14_FPEAW_MPET,D_13_14_FPEAW_MPULFTW,D_13_14_FPEAW_MPULPTW,D_13_14_FPEAW_MPUT,D_13_14_FPEAW_MPTLF,D_13_14_FPEAW_MPNLF,D_13_14_FPEAW_MPLFSNS,D_13_14_FPEAW_T,D_13_14_FPHNS_MPEFT,D_13_14_FPHNS_MPEPT,D_13_14_FPHNS_MPEAW,D_13_14_FPHNS_MPEHNS,D_13_14_FPHNS_MPET,D_13_14_FPHNS_MPULFTW,D_13_14_FPHNS_MPULPTW,D_13_14_FPHNS_MPUT,D_13_14_FPHNS_MPTLF,D_13_14_FPHNS_MPNLF,D_13_14_FPHNS_MPLFSNS,D_13_14_FPHNS_T,D_13_14_FPET_MPEFT,D_13_14_FPET_MPEPT,D_13_14_FPET_MPEAW,D_13_14_FPET_MPEHNS,D_13_14_FPET_MPET,D_13_14_FPET_MPULFTW,D_13_14_FPET_MPULPTW,D_13_14_FPET_MPUT,D_13_14_FPET_MPTLF,D_13_14_FPET_MPNLF,D_13_14_FPET_MPLFSNS,D_13_14_FPET_T,D_13_14_FPULFTW_MPEFT,D_13_14_FPULFTW_MPEPT,D_13_14_FPULFTW_MPEAW,D_13_14_FPULFTW_MPEHNS,D_13_14_FPULFTW_MPET,D_13_14_FPULFTW_MPULFTW,D_13_14_FPULFTW_MPULPTW,D_13_14_FPULFTW_MPUT,D_13_14_FPULFTW_MPTLF,D_13_14_FPULFTW_MPNLF,D_13_14_FPULFTW_MPLFSNS,D_13_14_FPULFTW_T,D_13_14_FPULPTW_MPEFT,D_13_14_FPULPTW_MPEPT,D_13_14_FPULPTW_MPEAW,D_13_14_FPULPTW_MPEHNS,D_13_14_FPULPTW_MPET,D_13_14_FPULPTW_MPULFTW,D_13_14_FPULPTW_MPULPTW,D_13_14_FPULPTW_MPUT,D_13_14_FPULPTW_MPTLF,D_13_14_FPULPTW_MPNLF,D_13_14_FPULPTW_MPLFSNS,D_13_14_FPULPTW_T,D_13_14_FPUT_MPEFT,D_13_14_FPUT_MPEPT,D_13_14_FPUT_MPEAW,D_13_14_FPUT_MPEHNS,D_13_14_FPUT_MPET,D_13_14_FPUT_MPULFTW,D_13_14_FPUT_MPULPTW,D_13_14_FPUT_MPUT,D_13_14_FPUT_MPTLF,D_13_14_FPUT_MPNLF,D_13_14_FPUT_MPLFSNS,D_13_14_FPUT_T,D_13_14_FPTLF_MPEFT,D_13_14_FPTLF_MPEPT,D_13_14_FPTLF_MPEAW,D_13_14_FPTLF_MPEHNS,D_13_14_FPTLF_MPET,D_13_14_FPTLF_MPULFTW,D_13_14_FPTLF_MPULPTW,D_13_14_FPTLF_MPUT,D_13_14_FPTLF_MPTLF,D_13_14_FPTLF_MPNLF,D_13_14_FPTLF_MPLFSNS,D_13_14_FP_T,D_13_14_FPNLF_MPEFT,D_13_14_FPNLF_MPEPT,D_13_14_FPNLF_MPEAW,D_13_14_FPNLF_MPEHNS,D_13_14_FPNLF_MPET,D_13_14_FPNLF_MPULFTW,D_13_14_FPNLF_MPULPTW,D_13_14_FPNLF_MPUT,D_13_14_FPNLF_MPTLF,D_13_14_FPNLF_MPNLF,D_13_14_FPNLF_MPLFSNS,D_13_14_FPNLF_T,D_13_14_FPLFSNS_MPEFT,D_13_14_FPLFSNS_MPEPT,D_13_14_FPLFSNS_MPEAW,D_13_14_FPLFSNS_MPEHNS,D_13_14_FPLFSNS_MPET,D_13_14_FPLFSNS_MPULFTW,D_13_14_FPLFSNS_MPULPTW,D_13_14_FPLFSNS_MPUT,D_13_14_FPLFSNS_MPTLF,D_13_14_FPLFSNS_MPNLF,D_13_14_FPLFSNS_MPLFSNS,D_13_14_FPLFSNS_T,D_13_14_FPT_MPEFT,D_13_14_FPT_MPEPT,D_13_14_FPT_MPEAW,D_13_14_FPT_MPEHNS,D_13_14_FPT_MPET,D_13_14_FPT_MPULFTW,D_13_14_FPT_MPULPTW,D_13_14_FPT_MPUT,D_13_14_FPT_MPTLF,D_13_14_FPT_MPNLF,D_13_14_FPT_MPLFSNS,D_13_14_FPT_T,D_15_17_FPEFT_MPEFT,D_15_17_FPEFT_MPEPT,D_15_17_FPEFT_MPEAW,D_15_17_FPEFT_MPEHNS,D_15_17_FPEFT_MPET,D_15_17_FPEFT_MPULFTW,D_15_17_FPEFT_MPULPTW,D_15_17_FPEFT_MPUT,D_15_17_FPEFT_MPTLF,D_15_17_FPEFT_MPNLF,D_15_17_FPEFT_MPLFSNS,D_15_17_FPEFT_T,D_15_17_FPEPT_MPEFT,D_15_17_FPEPT_MPEPT,D_15_17_FPEPT_MPEAW,D_15_17_FPEPT_MPEHNS,D_15_17_FPEPT_MPET,D_15_17_FPEPT_MPULFTW,D_15_17_FPEPT_MPULPTW,D_15_17_FPEPT_MPUT,D_15_17_FPEPT_MPTLF,D_15_17_FPEPT_MPNLF,D_15_17_FPEPT_MPLFSNS,D_15_17_FPEPT_T
UCL101001,23396,912,262,1172,24574,11185,143,35893,148,42,15,262,472,3,0,10,478,98,484,1055,85884,16620,7826,1816,112146,2741,627,3364,115514,17519,873,133909,23590,3047,1438,136,28208,540,88,627,28835,2170,47,31053,16532,3912,1210,132,21782,343,62,405,22184,1707,21,23911,2304,573,994,29,3900,57,9,68,3966,310,10,4289,173,34,29,265,499,6,8,18,515,63,68,649,42593,7564,3667,566,54396,937,176,1108,55501,4249,149,59904,564,113,41,9,726,147,17,170,897,90,0,987,627,122,47,16,819,97,57,152,967,119,0,1088,1195,235,92,27,1542,246,75,323,1865,208,0,2076,43787,7797,3756,590,55940,1183,243,1431,57368,4463,152,61981,9489,2569,1411,362,13834,541,184,729,14556,7338,79,21977,65,27,17,126,237,3,0,6,239,43,273,554,53343,10397,5185,1081,70000,1729,431,2156,72159,11844,505,84504,30406,4183,1908,184,36683,756,125,880,37566,3029,48,40641,20200,4959,1470,169,26796,461,85,538,27337,2303,38,29683
UCL102001,86,0,0,0,87,13,0,99,0,0,0,0,0,0,0,0,0,0,4,4,798,75,25,14,918,10,0,15,931,45,4,979,294,28,3,0,328,0,0,0,327,18,0,343,149,13,0,0,164,0,0,0,167,0,0,174,8,5,0,0,18,0,0,0,18,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,452,39,10,5,508,0,0,0,512,18,0,528,0,0,0,0,4,0,0,0,4,0,0,4,6,0,0,0,3,0,0,0,3,0,0,5,3,0,0,0,4,0,0,0,4,0,0,9,462,39,13,5,516,0,0,0,516,18,5,536,49,7,0,0,58,0,0,0,58,10,0,64,0,0,0,0,0,0,0,0,0,0,5,5,510,47,15,5,573,0,0,0,574,26,3,609,406,36,4,0,446,9,0,10,458,14,0,476,185,27,8,0,216,3,0,3,223,3,0,226
UCL102002,1170,27,6,35,1205,278,3,1486,10,0,0,6,15,0,0,0,15,0,20,43,5564,1242,401,112,7321,98,31,129,7449,651,40,8142,1339,225,75,7,1652,22,10,35,1682,120,0,1806,1465,345,97,15,1922,21,8,27,1943,122,5,2069,208,55,52,0,323,8,0,3,326,25,0,351,24,6,0,19,51,0,0,0,50,5,7,61,3032,635,226,41,3937,46,16,67,4001,273,7,4282,21,6,0,0,27,0,0,0,28,5,0,39,27,15,0,0,39,0,4,7,47,0,0,49,47,15,3,3,68,5,4,11,75,8,0,87,3082,650,226,46,4008,56,16,78,4082,278,7,4372,537,141,44,15,740,21,10,29,767,210,4,975,0,0,0,11,12,0,0,0,12,3,16,24,3620,793,274,70,4757,74,30,105,4856,492,26,5371,1699,323,106,4,2137,37,6,42,2184,158,0,2338,1692,391,125,10,2223,20,6,27,2251,136,4,2392
UCL102003,143,5,4,5,146,40,0,187,5,0,0,0,6,0,0,0,6,0,4,12,1042,217,52,9,1321,16,9,28,1346,91,12,1450,253,51,3,3,310,6,0,5,311,14,0,328,272,54,9,3,344,6,0,8,348,21,0,371,17,15,9,0,29,0,0,0,35,0,0,41,0,0,0,0,4,0,0,0,4,0,3,10,546,118,24,6,692,8,3,10,699,41,6,749,3,0,0,0,3,0,0,0,6,5,0,8,9,7,0,0,15,0,0,0,13,3,0,20,14,7,0,0,15,0,0,0,21,5,0,26,555,121,24,6,712,15,0,13,721,47,6,772,58,23,0,0,83,3,0,4,89,27,0,115,0,0,0,0,0,0,0,0,0,0,4,5,617,147,24,8,797,13,5,13,809,77,8,892,369,50,10,5,435,7,0,7,441,15,0,464,313,73,7,3,395,3,0,4,404,25,0,427
UCL102004,897,29,14,43,942,230,3,1175,4,4,0,7,13,0,0,0,17,0,7,22,6760,958,208,82,8014,113,31,148,8159,511,30,8698,1764,214,36,13,2026,13,0,16,2045,118,0,2159,1887,281,46,16,2227,17,6,21,2250,79,4,2330,97,14,21,0,133,0,0,0,137,10,0,144,11,0,0,12,21,6,0,6,29,0,3,36,3755,510,103,45,4411,36,14,48,4459,211,3,4672,20,9,0,0,21,5,0,5,29,4,0,31,33,6,5,0,46,3,0,3,49,0,0,50,49,11,6,0,68,3,0,9,76,6,0,83,3807,517,108,45,4482,41,16,54,4535,210,3,4749,449,76,28,7,551,16,9,20,566,172,6,748,3,3,0,0,10,0,0,0,10,0,7,15,4260,599,137,48,5041,51,22,72,5118,385,18,5515,2216,283,55,14,2572,28,8,44,2611,153,0,2763,2302,346,66,15,2729,27,9,33,2764,106,11,2884
UCL102005,1032,33,8,43,1077,275,0,1348,8,4,0,8,19,3,0,3,20,3,21,42,5082,1007,366,88,6543,97,22,114,6655,537,42,7231,1337,191,72,10,1612,19,4,23,1636,97,0,1732,1349,245,72,12,1677,13,5,22,1698,92,0,1788,171,48,47,0,270,0,0,3,276,5,0,287,7,3,0,14,31,0,0,0,29,6,8,41,2868,489,199,34,3586,35,10,47,3641,204,13,3849,15,0,0,0,20,5,0,5,27,0,0,29,38,7,0,0,49,6,0,6,51,0,0,56,54,10,3,0,67,9,0,11,73,4,0,81,2926,494,198,34,3658,44,11,57,3713,205,13,3924,473,103,41,10,624,21,9,29,653,195,3,845,0,0,0,3,10,0,0,0,10,3,10,24,3401,601,232,50,4291,63,18,91,4377,401,24,4799,1688,258,102,15,2064,34,12,46,2101,126,0,2230,1623,286,102,14,2024,22,7,29,2053,105,4,2157
UCL111001,134,4,0,4,142,30,0,173,0,0,0,0,0,0,0,0,0,0,0,0,964,120,20,9,1110,14,5,21,1130,76,3,1205,268,20,4,0,295,3,0,5,300,11,0,315,235,26,5,6,269,5,0,5,268,14,0,280,9,0,0,0,13,0,0,0,13,5,0,19,0,0,0,0,8,0,0,0,8,0,0,3,514,49,10,8,578,11,0,13,587,31,0,621,7,0,0,0,6,0,0,0,6,0,0,6,4,0,0,0,3,0,0,0,3,0,0,6,6,3,0,0,12,0,0,0,10,6,0,12,520,51,10,8,588,10,0,10,602,34,0,633,65,10,0,3,82,0,0,0,82,39,0,124,0,0,0,0,0,0,0,0,0,0,0,4,587,66,8,15,672,15,0,12,682,70,4,760,361,32,3,0,399,4,0,8,409,8,0,420,296,41,8,0,350,0,0,0,351,18,0,367
UCL111002,139,7,4,15,150,82,0,231,0,0,0,0,5,0,0,0,5,0,3,5,831,197,19,12,1068,24,10,34,1102,136,6,1241,275,39,9,0,313,7,3,11,326,18,0,344,215,51,5,0,267,3,0,7,275,14,0,288,3,0,0,0,8,0,0,0,8,0,0,8,0,0,0,4,6,0,0,0,6,0,0,6,497,91,11,4,604,9,4,13,613,35,0,647,0,0,0,0,0,0,0,0,3,0,0,3,4,0,0,0,9,0,0,0,9,0,0,9,3,0,0,0,10,0,0,0,9,0,0,8,502,94,11,4,604,11,4,14,624,35,0,658,56,26,3,0,87,0,3,8,91,32,0,125,0,0,0,0,0,0,0,0,0,0,0,3,563,118,10,7,699,9,5,15,716,72,0,785,343,43,11,3,401,6,4,4,400,31,0,431,264,63,3,6,335,4,0,4,333,13,0,348
UCL111003,362,7,3,9,373,70,3,446,0,4,0,9,6,0,0,0,6,0,5,14,1938,267,73,36,2313,32,3,41,2351,153,13,2522,504,79,12,10,606,0,0,5,609,35,4,644,508,58,14,0,585,7,0,9,592,28,0,620,42,7,10,0,62,0,0,0,62,0,0,62,0,4,0,6,5,0,0,0,5,0,0,10,1058,149,43,15,1260,6,0,9,1269,64,3,1336,0,0,0,0,3,0,0,0,7,0,0,8,15,0,0,0,19,0,0,0,17,0,0,17,21,4,0,0,18,3,0,3,19,0,0,27,1076,148,43,15,1284,6,0,15,1294,64,3,1360,156,28,5,4,197,11,0,9,206,57,0,261,0,0,0,0,0,0,0,0,5,0,5,4,1234,175,50,20,1482,19,5,22,1508,116,7,1631,611,63,15,3,690,10,0,7,703,27,0,730,535,95,15,0,659,7,4,8,666,25,0,686
UCL112001,47,3,3,4,55,40,0,95,0,0,0,0,0,0,0,0,0,0,0,0,268,56,3,4,339,3,4,10,347,67,3,418,105,10,0,0,116,0,0,0,116,4,0,121,62,12,0,0,74,0,0,0,78,7,0,88,4,0,0,0,3,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,171,24,0,0,196,4,0,4,199,12,0,215,0,0,0,0,4,0,0,0,4,3,0,6,3,0,0,0,5,0,0,0,10,0,0,10,9,0,0,0,9,0,0,0,13,3,0,9,173,24,3,0,207,4,0,3,214,16,0,224,21,7,0,0,29,6,5,7,33,22,0,51,0,0,0,0,0,0,0,0,0,0,0,0,192,35,3,0,238,5,3,10,248,34,3,282,129,13,0,0,140,3,0,0,145,17,0,163,90,19,0,0,108,0,0,0,108,3,0,109
