UCL_CODE_2021,F_ID_NS_15_19,F_ID_NS_20_24,F_ID_NS_25_34,F_ID_NS_35_44,F_ID_NS_45_54,F_ID_NS_55_64,F_ID_NS_65_74,F_ID_NS_75_84,F_ID_NS_85ov,F_ID_NS_Tot,F_Tot_15_19,F_Tot_20_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85ov,F_Tot_Tot,P_Ag_For_Fshg_15_19,P_Ag_For_Fshg_20_24,P_Ag_For_Fshg_25_34,P_Ag_For_Fshg_35_44,P_Ag_For_Fshg_45_54,P_Ag_For_Fshg_55_64,P_Ag_For_Fshg_65_74,P_Ag_For_Fshg_75_84,P_Ag_For_Fshg_85ov,P_Ag_For_Fshg_Tot,P_Mining_15_19,P_Mining_20_24,P_Mining_25_34,P_Mining_35_44,P_Mining_45_54,P_Mining_55_64,P_Mining_65_74,P_Mining_75_84,P_Mining_85ov,P_Mining_Tot,P_Manufact_15_19,P_Manufact_20_24,P_Manufact_25_34,P_Manufact_35_44,P_Manufact_45_54,P_Manufact_55_64,P_Manufact_65_74,P_Manufact_75_84,P_Manufact_85ov,P_Manufact_Tot,P_El_Gas_Wt_Waste_15_19,P_El_Gas_Wt_Waste_20_24,P_El_Gas_Wt_Waste_25_34,P_El_Gas_Wt_Waste_35_44,P_El_Gas_Wt_Waste_45_54,P_El_Gas_Wt_Waste_55_64,P_El_Gas_Wt_Waste_65_74,P_El_Gas_Wt_Waste_75_84,P_El_Gas_Wt_Waste_85ov,P_El_Gas_Wt_Waste_Tot,P_Constru_15_19,P_Constru_20_24,P_Constru_25_34,P_Constru_35_44,P_Constru_45_54,P_Constru_55_64,P_Constru_65_74,P_Constru_75_84,P_Constru_85ov,P_Constru_Tot,P_WhlesaleTde_15_19,P_WhlesaleTde_20_24,P_WhlesaleTde_25_34,P_WhlesaleTde_35_44,P_WhlesaleTde_45_54,P_WhlesaleTde_55_64,P_WhlesaleTde_65_74,P_WhlesaleTde_75_84,P_WhlesaleTde_85ov,P_WhlesaleTde_Tot,P_RetTde_15_19,P_RetTde_20_24,P_RetTde_25_34,P_RetTde_35_44,P_RetTde_45_54,P_RetTde_55_64,P_RetTde_65_74,P_RetTde_75_84,P_RetTde_85ov,P_RetTde_Tot,P_Accom_food_15_19,P_Accom_food_20_24,P_Accom_food_25_34,P_Accom_food_35_44,P_Accom_food_45_54,P_Accom_food_55_64,P_Accom_food_65_74,P_Accom_food_75_84,P_Accom_food_85ov,P_Accom_food_Tot,P_Trans_post_wrehsg_15_19,P_Trans_post_wrehsg_20_24,P_Trans_post_wrehsg_25_34,P_Trans_post_wrehsg_35_44,P_Trans_post_wrehsg_45_54,P_Trans_post_wrehsg_55_64,P_Trans_post_wrehsg_65_74,P_Trans_post_wrehsg_75_84,P_Trans_post_wrehsg_85ov,P_Trans_post_wrehsg_Tot,P_Info_media_teleco_15_19,P_Info_media_teleco_20_24,P_Info_media_teleco_25_34,P_Info_media_teleco_35_44,P_Info_media_teleco_45_54,P_Info_media_teleco_55_64,P_Info_media_teleco_65_74,P_Info_media_teleco_75_84,P_Info_media_teleco_85ov,P_Info_media_teleco_Tot,P_Fin_Insur_15_19,P_Fin_Insur_20_24,P_Fin_Insur_25_34,P_Fin_Insur_35_44,P_Fin_Insur_45_54,P_Fin_Insur_55_64,P_Fin_Insur_65_74,P_Fin_Insur_75_84,P_Fin_Insur_85ov,P_Fin_Insur_Tot,P_RtnHir_REst_15_19,P_RtnHir_REst_20_24,P_RtnHir_REst_25_34,P_RtnHir_REst_35_44,P_RtnHir_REst_45_54,P_RtnHir_REst_55_64,P_RtnHir_REst_65_74,P_RtnHir_REst_75_84,P_RtnHir_REst_85ov,P_RtnHir_REst_Tot,P_Pro_scien_tec_15_19,P_Pro_scien_tec_20_24,P_Pro_scien_tec_25_34,P_Pro_scien_tec_35_44,P_Pro_scien_tec_45_54,P_Pro_scien_tec_55_64,P_Pro_scien_tec_65_74,P_Pro_scien_tec_75_84,P_Pro_scien_tec_85ov,P_Pro_scien_tec_Tot,P_Admin_supp_15_19,P_Admin_supp_20_24,P_Admin_supp_25_34,P_Admin_supp_35_44,P_Admin_supp_45_54,P_Admin_supp_55_64,P_Admin_supp_65_74,P_Admin_supp_75_84,P_Admin_supp_85ov,P_Admin_supp_Tot,P_Public_admin_sfty_15_19,P_Public_admin_sfty_20_24,P_Public_admin_sfty_25_34,P_Public_admin_sfty_35_44,P_Public_admin_sfty_45_54,P_Public_admin_sfty_55_64,P_Public_admin_sfty_65_74,P_Public_admin_sfty_75_84,P_Public_admin_sfty_85ov,P_Public_admin_sfty_Tot,P_Educ_trng_15_19,P_Educ_trng_20_24,P_Educ_trng_25_34,P_Educ_trng_35_44,P_Educ_trng_45_54,P_Educ_trng_55_64,P_Educ_trng_65_74,P_Educ_trng_75_84,P_Educ_trng_85ov,P_Educ_trng_Tot,P_HlthCare_SocAs_15_19,P_HlthCare_SocAs_20_24,P_HlthCare_SocAs_25_34,P_HlthCare_SocAs_35_44,P_HlthCare_SocAs_45_54,P_HlthCare_SocAs_55_64,P_HlthCare_SocAs_65_74,P_HlthCare_SocAs_75_84,P_HlthCare_SocAs_85ov,P_HlthCare_SocAs_Tot,P_Art_recn_15_19,P_Art_recn_20_24,P_Art_recn_25_34,P_Art_recn_35_44,P_Art_recn_45_54,P_Art_recn_55_64,P_Art_recn_65_74,P_Art_recn_75_84,P_Art_recn_85ov,P_Art_recn_Tot
UCL101001,1273,4311,12932,11393,8392,5109,1489,305,86,45290,42401,100047,269829,252105,210749,139920,35400,3575,277,1054301,245,529,1349,1304,1396,1158,509,170,24,6667,14,119,695,944,786,643,191,44,4,3435,2502,6679,22629,27450,28330,23045,5466,565,37,116697,126,753,3671,5097,4417,2714,607,55,3,17441,6859,17207,47020,39714,31109,19745,4867,508,39,167067,853,3965,15117,19631,17750,12163,2983,418,40,72913,19630,32029,45635,37233,29022,20923,5675,740,55,190947,26477,21345,27435,18515,12833,9354,2251,268,20,118498,1664,7279,24050,27253,26195,20976,5193,399,11,113011,704,3440,14953,17103,11811,5746,1195,140,14,55114,575,9942,43281,53218,35334,16003,3537,489,79,162467,703,3270,10578,11277,8783,5653,2155,504,94,43011,1770,19143,74445,70431,46187,27146,10005,1653,99,250883,1214,6219,18338,16633,14087,10385,3065,380,23,70347,977,6947,27604,30996,27787,19245,4553,331,19,118468,6095,15272,42575,41718,40154,29779,8867,819,34,185311,4460,25786,73828,64537,57620,46339,14134,1594,69,288363,2288,4487,8891,7091,5243,3486,1223,196,10,32926
UCL102001,11,23,81,52,58,37,4,0,3,276,556,898,2447,2204,2216,1390,254,15,5,9999,0,4,14,14,7,9,10,4,0,60,0,0,6,9,10,8,0,0,0,21,47,63,177,144,149,119,35,3,0,734,0,9,41,63,49,45,6,0,0,209,108,307,621,437,413,331,79,9,0,2307,13,25,72,57,69,46,21,0,0,308,271,233,470,233,205,195,43,4,0,1655,348,203,267,163,100,78,11,0,0,1176,15,42,157,112,144,144,38,3,0,647,7,17,66,55,56,21,6,0,0,232,5,11,56,33,48,34,4,0,0,198,5,42,67,64,56,34,10,0,0,283,21,108,409,388,333,196,51,6,0,1510,12,54,155,115,144,115,30,8,0,623,35,259,1086,1497,1583,851,116,0,0,5433,63,121,345,331,343,212,49,0,0,1458,45,175,600,441,450,349,85,4,0,2154,36,39,53,60,51,41,14,0,0,290
UCL102002,129,201,431,472,463,320,104,45,11,2185,4603,6076,13387,14951,15593,12212,2768,270,22,69895,32,83,175,138,143,129,43,16,0,763,0,25,114,183,179,130,23,0,0,662,356,637,1573,1816,2041,1609,305,30,0,8364,17,52,253,325,385,333,40,0,0,1422,911,1765,3823,3724,3091,2183,528,33,3,16056,56,165,466,681,826,659,146,21,0,3017,2285,2058,2649,2348,2514,2076,545,63,3,14550,3531,1594,1524,1233,1073,802,205,33,3,9989,94,227,690,949,1347,1450,384,48,0,5193,85,167,474,657,585,400,79,15,3,2464,27,243,910,1288,1223,777,172,26,0,4671,38,157,425,506,538,347,140,32,4,2194,100,466,1613,2258,2008,1300,528,81,5,8356,139,368,835,992,1127,910,242,23,0,4637,70,343,1459,2367,2517,1629,279,15,3,8687,243,796,2387,2717,2690,2151,609,37,0,11629,434,1938,5122,5200,5910,5434,1244,88,0,25366,168,197,397,374,331,240,92,12,4,1823
UCL102003,29,38,114,113,95,86,34,12,6,523,981,1022,2364,2796,3019,2724,711,57,12,13691,11,22,42,39,37,31,19,12,0,215,0,4,41,44,58,31,6,0,0,182,78,97,170,245,230,224,60,4,0,1107,0,18,36,62,87,67,10,0,0,277,124,302,674,727,699,505,110,12,0,3155,22,21,63,97,104,87,34,0,0,434,422,403,487,458,498,483,133,16,0,2894,813,347,417,360,361,324,99,16,0,2730,9,45,103,117,207,246,78,14,0,823,14,20,34,74,62,39,8,0,0,254,3,33,88,132,120,96,29,0,0,501,12,25,89,91,117,120,49,3,4,509,10,69,294,361,336,248,115,15,3,1454,16,56,138,198,236,228,79,0,0,951,3,46,159,315,380,315,48,4,0,1272,34,106,406,574,635,480,132,9,0,2378,68,258,822,1001,1122,1206,307,21,0,4807,43,52,84,95,93,58,17,0,0,439
UCL102004,130,237,493,464,360,267,85,28,9,2067,5709,9175,18846,17900,17367,12384,2600,231,15,84236,19,62,126,101,123,108,40,12,0,593,17,139,961,1163,880,571,63,7,0,3804,323,627,1759,1961,2148,1623,281,33,0,8762,9,90,440,602,613,392,64,8,0,2217,921,1906,4017,3305,2887,2048,445,52,0,15582,86,219,644,775,816,607,183,12,0,3347,2484,2915,3055,2157,2322,1771,424,50,0,15186,4278,2764,2120,1305,1048,758,200,23,0,12490,95,320,977,1267,1505,1479,328,49,5,6015,68,143,367,324,289,171,36,8,0,1400,37,333,1535,1614,1267,728,126,14,0,5652,50,183,460,455,494,360,149,43,3,2200,145,1031,3056,3164,2169,1426,479,74,0,11542,124,490,1126,1102,1161,857,201,26,0,5078,82,599,2303,2706,2755,1732,285,17,0,10482,360,1293,3494,3891,3919,2854,723,50,0,16578,641,3219,8368,7218,7170,5769,1214,106,8,33710,347,335,461,387,307,181,65,13,0,2094
UCL102005,88,214,421,347,336,227,63,19,0,1720,4050,6899,13801,13234,13105,9081,1783,125,7,62094,10,47,78,51,66,52,18,14,0,338,26,102,611,807,594,337,31,4,0,2518,262,573,1488,1496,1955,1647,264,20,4,7707,19,75,260,330,341,239,36,0,0,1308,856,1646,3176,2588,2240,1562,312,14,3,12393,50,138,442,523,545,411,81,7,0,2192,1712,2077,2298,1927,1867,1425,332,28,0,11680,2882,2036,1574,924,763,576,138,9,0,8903,98,325,1040,1284,1516,1289,285,32,0,5857,23,113,319,341,288,130,26,5,0,1259,30,314,1046,1161,1042,521,101,8,0,4224,41,149,344,378,339,231,66,16,4,1564,120,799,1979,1925,1413,905,320,45,0,7519,90,334,826,891,930,777,154,13,0,4015,88,505,1915,2446,2352,1523,226,12,0,9066,287,933,2968,3079,3140,2269,514,41,0,13236,422,2159,5412,4711,4897,3739,812,43,0,22201,200,253,376,326,289,169,57,3,7,1678
UCL111001,20,39,76,56,64,53,14,8,4,339,884,1220,2751,2537,2519,2006,556,40,3,12509,8,23,44,60,59,53,30,13,0,288,0,4,7,13,15,8,3,0,0,51,83,155,484,462,445,364,70,6,0,2072,0,11,34,47,34,37,3,0,0,176,161,347,676,509,362,360,110,8,0,2525,9,24,94,109,134,101,52,8,0,537,486,389,532,424,390,352,109,6,4,2678,553,316,398,268,214,150,41,4,0,1943,22,67,216,201,255,228,94,11,0,1092,12,22,45,36,37,28,11,6,0,190,5,29,90,95,101,59,8,0,0,387,7,29,71,57,66,46,31,0,0,307,20,66,261,243,209,158,76,13,0,1043,23,57,129,170,170,153,63,0,0,763,14,100,349,422,507,324,60,3,0,1773,60,147,517,601,595,447,140,11,0,2522,71,421,1162,976,899,802,235,14,0,4572,38,36,39,49,34,25,14,0,0,242
UCL111002,30,35,55,71,57,43,17,11,3,325,798,855,2034,2320,2524,2016,466,42,3,11064,14,31,153,180,105,78,32,5,0,601,0,5,9,17,17,10,5,0,0,66,25,38,129,140,145,141,39,0,0,665,3,5,27,41,41,42,5,0,0,167,99,232,427,399,379,313,81,3,0,1934,12,24,58,100,104,79,14,6,0,405,469,293,421,406,406,382,114,9,0,2505,590,293,372,289,278,220,69,3,3,2116,13,29,88,118,151,186,64,4,0,662,15,9,26,41,45,38,6,0,0,182,8,19,78,93,103,65,21,0,0,390,7,18,61,62,81,68,27,5,0,326,13,45,216,244,220,159,95,14,0,999,22,38,135,170,216,188,36,3,0,821,9,46,225,336,406,233,38,5,0,1296,37,97,355,486,514,369,110,6,0,1975,66,319,894,929,1099,950,222,16,0,4496,42,21,58,59,64,36,11,0,0,297
UCL111003,34,69,132,130,95,64,15,8,4,553,1514,2042,5143,4707,4184,2838,504,42,4,20971,13,42,81,78,93,59,30,14,0,416,17,122,600,757,573,312,35,3,0,2418,130,243,779,637,638,509,68,5,0,3011,4,30,138,151,160,102,13,0,0,602,219,500,994,843,619,514,107,6,0,3805,21,65,304,284,236,171,28,0,0,1107,691,610,1016,784,696,466,106,11,0,4385,1088,474,482,364,266,180,48,3,0,2904,24,81,315,434,484,398,135,11,0,1886,26,14,75,59,41,34,9,4,0,249,10,68,314,282,192,101,13,0,0,989,16,47,129,117,97,61,24,3,0,492,35,141,519,523,379,263,88,10,0,1967,38,144,452,363,328,226,57,5,0,1608,23,129,700,734,685,399,58,3,0,2736,73,232,733,799,791,540,118,5,0,3288,165,668,1771,1578,1444,1122,203,9,0,6968,62,36,80,60,48,41,9,3,0,334
UCL112001,6,10,25,16,18,10,3,5,0,93,358,538,1072,857,818,713,182,18,3,4561,17,53,117,77,46,43,15,16,0,387,0,3,21,10,14,3,0,0,0,50,28,43,77,46,41,30,6,0,0,271,0,9,12,10,15,14,3,0,0,60,41,83,158,103,75,92,25,4,0,575,9,11,22,22,18,21,12,0,0,112,178,169,193,108,118,102,23,4,0,889,239,186,136,88,46,66,20,4,0,786,6,14,37,25,38,51,22,0,0,179,7,20,17,16,14,10,7,0,0,92,4,8,49,38,32,15,4,0,0,150,4,11,22,13,10,8,4,3,0,81,4,45,109,115,90,70,51,0,0,484,5,17,78,69,63,46,12,0,0,296,7,33,113,110,125,102,20,5,0,513,47,142,367,448,430,398,94,5,0,1932,29,155,455,293,251,256,67,3,0,1513,11,16,26,23,13,17,3,0,0,108
