UCL_CODE_2021,R_1_74_LT_Real_estate_agent,R_1_74_LT_Ste_terr_hsg_auth,R_1_74_LT_com_hou_pro,R_1_74_LT_Psn_not_Sme_hhd,R_1_74_LT_Other_Lld_type,R_1_74_LT_Lld_type_ns,R_1_74_Tot,R_75_99_LT_Real_estate_agent,R_75_99_LT_Ste_terr_hsg_auth,R_75_99_LT_com_hou_pro,R_75_99_LT_Psn_not_Sme_hhd,R_75_99_LT_Other_Lld_type,R_75_99_LT_Lld_type_ns,R_75_99_Tot,R_100_149_LT_Real_eSte_agent,R_100_149_LT_St_ter_hsg_aut,R_100_149_LT_com_hou_pro,R_100_149_LT_Psn_not_Sme_hhd,R_100_149_LT_Other_Lld_type,R_100_149_LT_Lld_type_ns,R_100_149_Tot,R_150_199_LT_Real_eSte_agent,R_150_199_LT_Ste_ter_hsg_aut,R_150_199_LT_com_hou_pro,R_150_199_LT_Psn_not_Sme_hhd,R_150_199_LT_Other_Lld_type,R_150_199_LT_Lld_type_ns,R_150_199_Tot,R_200_224_LT_Real_eSte_agent,R_200_224_LT_Ste_ter_hsg_aut,R_200_224_LT_com_hou_pro,R_200_224_LT_Psn_not_Sme_hhd,R_200_224_LT_Other_Lld_type,R_200_224_LT_Lld_type_ns,R_200_224_Tot,R_225_274_LT_Real_eSte_agent,R_225_274_LT_Ste_ter_hsg_aut,R_225_274_LT_com_hou_pro,R_225_274_LT_Psn_not_Sme_hhd,R_225_274_LT_Other_Lld_type,R_225_274_LT_Lld_type_ns,R_225_274_Tot,R_275_349_LT_Real_eSte_agent,R_275_349_LT_Ste_ter_hsg_aut,R_275_349_LT_com_hou_pro,R_275_349_LT_Psn_not_Sme_hhd,R_275_349_LT_Other_Lld_type,R_275_349_LT_Lld_type_ns,R_275_349_Tot,R_350_449_LT_Real_eSte_agent,R_350_449_LT_Ste_ter_hsg_aut,R_350_449_LT_com_hou_pro,R_350_449_LT_Psn_not_Sme_hhd,R_350_449_LT_Other_Lld_type,R_350_449_LT_Lld_type_ns,R_350_449_Tot,R_450_549_LT_Real_eSte_agent,R_450_549_LT_Ste_ter_hsg_aut,R_450_549_LT_com_hou_pro,R_450_549_LT_Psn_not_Sme_hhd,R_450_549_LT_Other_Lld_type,R_450_549_LT_Lld_type_ns,R_450_549_Tot,R_550_649_LT_Real_eSte_agent,R_550_649_LT_Ste_ter_hsg_aut,R_550_649_LT_com_hou_pro,R_550_649_LT_Psn_not_Sme_hhd,R_550_649_LT_Other_Lld_type,R_550_649_LT_Lld_type_ns,R_550_649_Tot,R_650_749_LT_Real_eSte_agent,R_650_749_LT_Ste_ter_hsg_aut,R_650_749_LT_com_hou_pro,R_650_749_LT_Psn_not_Sme_hhd,R_650_749_LT_Other_Lld_type,R_650_749_LT_Lld_type_ns,R_650_749_Tot,R_750_849_LT_Real_eSte_agent,R_750_849_LT_Ste_ter_hsg_aut,R_750_849_LT_com_hou_pro,R_750_849_LT_Psn_not_Sme_hhd,R_750_849_LT_Other_Lld_type,R_750_849_LT_Lld_type_ns,R_750_849_Tot,R_850_949_LT_Real_estat_agent,R_850_949_LT_Ste_ter_hsg_aut,R_850_949_LT_com_hou_pro,R_850_949_LT_Psn_not_Sme_hhd,R_850_949_LT_Other_Lld_type,R_850_949_LT_Lld_type_ns,R_850_949_Tot,R_950_over_LT_Real_eSte_agent,R_950_over_LT_Ste_ter_hsg_aut,R_950_ovr_LT_com_hou_pro,R_950_over_LT_Psn_not_Sme_hhd,R_950_over_LT_Other_Lld_type,R_950_over_LT_Lld_type_ns,R_950_over_Tot,Rent_ns_LT_Real_eSte_agent,Rent_ns_LT_Ste_ter_hsg_auth,Rent_ns_LT_com_hou_pro,Rent_ns_LT_Psn_not_Sme_hhd,Rent_ns_LT_Other_Lld_type,Rent_ns_LT_Lld_type_ns,Rent_ns_Tot,Tot_LT_Real_eSte_agent,Tot_LT_Ste_ter_hsg_auth,Tot_LT_com_hou_pro,Tot_LT_Psn_not_Sme_hhd,Tot_LT_Other_Lld_type,Tot_LT_Lld_type_ns,Tot_Tot
UCL101001,389,1619,234,282,82,16,2627,87,3550,439,157,64,27,4330,752,20196,1926,1175,445,147,24645,1490,9855,3568,2114,491,120,17631,1934,4344,1393,2349,405,68,10494,6892,4712,1917,3387,1783,102,18793,29780,3680,1872,6791,1523,153,43794,103480,3782,1889,14409,2625,339,126522,113518,1472,683,13644,2105,232,131658,79354,399,239,8467,1078,122,89663,44432,132,93,5095,503,74,50327,23326,82,53,3100,275,35,26872,12944,31,18,1806,111,11,14931,23963,26,18,3893,237,43,28186,7546,3389,770,5169,1418,1391,19682,449894,57281,15117,71835,13143,2882,610161
UCL102001,0,13,3,4,0,0,20,0,32,4,4,3,0,42,16,157,13,22,4,5,217,50,100,58,52,6,0,260,141,44,30,66,15,0,289,418,56,29,92,69,0,659,577,50,16,130,103,0,886,698,53,12,218,112,3,1091,595,26,0,150,26,0,796,247,5,0,69,8,0,327,117,0,0,20,4,0,143,34,0,0,12,5,0,51,11,0,0,0,0,0,8,15,0,0,4,0,0,14,35,28,8,37,26,14,148,2953,559,162,871,384,26,4961
UCL102002,22,83,18,32,14,5,170,7,183,17,14,7,0,232,36,1300,105,101,72,10,1631,144,536,324,213,207,17,1446,238,243,141,286,80,16,1004,744,280,177,421,108,14,1740,3044,219,120,1019,113,18,4524,9590,228,101,1651,152,21,11736,6177,36,20,829,45,16,7126,2297,10,7,296,20,5,2624,846,3,5,105,10,0,961,329,0,0,62,8,3,400,151,0,0,24,0,0,176,156,0,0,24,16,0,195,408,205,71,214,92,83,1084,24185,3327,1108,5291,940,199,35052
UCL102003,4,17,3,0,4,0,28,0,27,4,0,4,0,39,9,287,22,30,14,4,364,10,91,39,57,67,0,269,19,53,16,79,25,5,187,71,64,23,103,63,0,328,344,35,25,218,47,6,670,1111,32,26,402,126,6,1707,881,13,12,288,72,3,1263,560,7,0,114,17,7,704,317,0,0,58,3,3,381,144,0,0,23,0,0,170,69,0,0,10,4,0,82,76,0,0,27,0,0,101,63,37,24,65,20,13,212,3676,664,197,1468,452,43,6508
UCL102004,20,167,22,36,10,0,253,8,304,38,19,8,9,379,77,2409,146,207,47,17,2904,326,1024,365,344,89,16,2156,389,373,120,362,60,7,1315,1018,474,165,549,132,10,2346,2876,466,139,1133,136,18,4770,8841,289,107,2018,166,20,11443,6836,49,29,1052,78,13,8058,2824,10,13,367,19,5,3237,959,5,0,123,10,3,1103,361,0,0,61,5,0,425,146,5,0,28,0,0,181,185,6,0,50,7,3,254,394,346,74,318,104,70,1307,25266,5916,1218,6681,866,186,40137
UCL102005,27,189,25,25,5,0,266,5,343,14,20,0,0,383,52,2563,97,113,58,14,2890,155,1105,169,203,58,17,1699,237,519,77,258,30,0,1125,728,529,94,367,33,13,1775,2479,344,100,673,68,13,3673,5660,505,68,1107,87,17,7447,5302,168,22,837,60,9,6400,2905,37,8,333,32,4,3316,936,6,4,123,9,0,1075,326,6,0,38,4,0,378,146,0,0,17,3,0,163,123,3,0,38,0,0,171,269,367,44,229,64,65,1030,19337,6691,726,4389,515,160,31805
UCL111001,13,15,5,3,0,0,37,10,59,13,9,4,0,88,100,251,31,67,9,8,466,759,140,74,123,11,11,1117,480,45,15,120,14,4,677,966,81,19,188,42,6,1308,1467,37,8,226,24,6,1760,1148,11,11,147,8,0,1323,274,0,3,33,6,0,311,53,3,0,5,7,0,71,16,0,0,0,0,0,18,4,0,0,0,0,0,3,0,0,0,0,0,0,7,5,0,0,0,0,0,4,103,46,13,50,28,17,264,5386,699,188,974,150,52,7445
UCL111002,6,4,4,5,0,0,25,0,14,6,0,0,0,25,14,75,33,25,16,0,165,27,231,133,38,15,5,459,33,67,38,63,24,0,226,257,99,65,123,24,5,574,821,83,32,224,22,9,1196,1442,90,35,347,31,7,1954,936,22,14,167,26,0,1170,335,6,0,52,4,0,404,110,4,0,13,0,0,129,18,0,0,6,0,0,30,8,0,0,0,0,0,8,9,0,0,5,0,0,20,61,54,29,48,32,21,242,4083,748,405,1132,208,57,6625
UCL111003,5,10,3,8,0,0,30,0,12,5,7,8,0,29,21,116,36,28,21,5,230,85,281,148,61,28,5,598,107,111,44,87,14,0,359,309,167,72,128,237,7,920,1046,187,97,330,60,0,1720,3005,146,51,419,36,11,3665,1595,15,9,108,20,0,1743,288,4,0,19,3,0,314,43,0,0,3,0,0,52,9,0,0,3,0,0,11,0,0,0,0,0,0,4,7,0,0,3,0,0,13,108,74,28,67,34,20,330,6625,1125,495,1275,460,46,10019
UCL112001,3,3,5,4,0,0,15,3,12,0,0,5,0,29,23,35,19,11,10,0,98,120,84,62,41,8,8,314,176,30,39,51,4,0,299,421,66,34,68,6,0,603,603,49,23,98,10,0,786,667,13,8,99,13,0,805,135,0,0,14,0,0,154,19,0,0,9,0,0,30,0,0,5,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,21,10,11,17,11,6,72,2210,310,201,408,67,15,3209
