UCL_CODE_2021,CF_no_children_F,CF_no_children_P,CF_ChU15_a_DSs_a_NdCh_F,CF_ChU15_a_DSs_a_NdCh_P,CF_ChU15_a_DSs_a_no_NdCh_F,CF_ChU15_a_DSs_a_no_NdCh_P,CF_ChU15_a_no_DSs_a_NdCh_F,CF_ChU15_a_no_DSs_a_NdCh_P,CF_ChU15_a_no_DSs_a_no_NdCh_F,CF_ChU15_a_no_DSs_a_no_NdCh_P,CF_ChU15_a_Total_F,CF_ChU15_a_Total_P,CF_no_ChU15_a_DSs_a_NdCh_F,CF_no_ChU15_a_DSs_a_NdCh_P,CF_no_ChU15_a_DSs_a_no_NdCh_F,CF_no_ChU15_a_DSs_a_no_NdCh_P,CF_no_ChU15_a_no_DSs_a_NdCh_F,CF_no_ChU15_a_no_DSs_a_NdCh_P,CF_no_ChU15_a_Total_F,CF_no_ChU15_a_Total_P,CF_Total_F,CF_Total_P,OPF_ChU15_a_DSs_a_NdCh_F,OPF_ChU15_a_DSs_a_NdCh_P,OPF_ChU15_a_DSs_a_no_NdCh_F,OPF_ChU15_a_DSs_a_no_NdCh_P,OPF_ChU15_a_no_DSs_a_NdCh_F,OPF_ChU15_a_no_DSs_a_NdCh_P,OPF_ChU15_a_no_DSs_no_NdCh_F,OPF_ChU15_a_no_DSs_no_NdCh_P,OPF_ChU15_a_Total_F,OPF_ChU15_a_Total_P,OPF_no_ChU15_a_DSs_a_NdCh_F,OPF_no_ChU15_a_DSs_a_NdCh_P,OPF_no_ChU15_a_DSs_no_NdCh_F,OPF_no_ChU15_a_DSs_no_NdCh_P,OPF_no_ChU15_no_DSs_a_NdCh_F,OPF_no_ChU15_no_DSs_a_NdCh_P,OPF_no_ChU15_a_Total_F,OPF_no_ChU15_a_Total_P,OPF_Total_F,OPF_Total_P,Other_family_F,Other_family_P,Total_F,Total_P
UCL115160,236,474,11,47,48,201,21,97,358,1446,434,1799,16,56,13,58,55,167,84,285,520,2082,0,0,9,15,0,6,32,93,36,123,0,3,3,11,13,31,23,47,58,167,4,10,817,2738
UCL115161,491,990,7,38,28,138,20,94,205,834,265,1109,3,15,18,62,97,291,121,373,386,1479,10,32,21,91,20,65,130,361,174,548,5,14,15,28,113,255,132,295,315,844,23,47,1217,3358
UCL115162,327,667,12,57,43,197,11,46,186,744,254,1045,20,67,26,81,73,232,117,387,364,1426,4,7,14,38,3,24,60,170,81,238,0,5,15,25,65,141,81,178,160,411,7,17,864,2525
UCL115163,185,373,3,22,12,71,7,47,108,431,140,564,16,79,16,42,72,232,105,351,240,922,0,0,10,33,5,26,32,89,46,150,6,17,3,11,35,73,44,100,92,254,11,17,523,1567
UCL115164,198,393,0,7,10,42,10,30,52,208,67,290,11,48,8,29,44,132,58,208,128,498,0,0,3,6,0,0,13,47,17,48,4,9,4,10,35,73,43,99,61,148,3,9,396,1052
UCL115165,111,223,0,16,8,53,6,17,67,257,79,337,5,34,4,23,35,126,52,186,133,523,0,5,4,3,0,0,19,48,22,60,0,5,3,10,10,24,19,31,35,94,5,16,291,857
UCL121001,123,242,0,0,10,44,4,28,36,144,53,227,9,28,8,17,16,58,30,99,88,328,0,0,0,10,0,5,6,18,10,32,0,0,6,10,16,27,17,37,30,70,3,11,241,649
UCL121002,57,121,0,0,10,33,0,3,20,88,28,128,0,0,0,0,10,21,7,26,39,155,0,10,4,6,0,0,10,34,15,47,0,4,4,6,6,16,10,26,24,72,6,0,125,355
UCL121003,125,242,0,0,8,33,0,0,43,148,46,185,0,9,4,11,20,44,23,65,65,248,0,0,0,0,0,0,10,29,10,29,0,0,0,0,8,11,8,11,20,43,4,5,214,535
UCL121004,113,238,0,5,9,56,4,30,61,250,81,346,3,17,3,11,13,44,21,67,106,416,0,8,3,15,4,10,21,52,25,81,4,11,4,9,12,27,18,44,44,131,0,4,265,783
UCL121005,58,113,4,34,7,42,3,21,30,137,50,229,3,11,6,30,20,60,29,103,79,334,0,0,0,8,3,10,4,13,6,33,0,0,3,5,12,29,15,32,23,69,0,5,156,517
UCL121006,92,183,0,0,3,21,0,5,29,106,33,131,0,4,8,17,11,30,19,55,55,186,0,0,0,0,0,3,4,8,3,10,0,0,0,4,9,15,8,19,16,31,0,0,158,391
UCL121007,135,271,0,6,10,31,6,21,30,112,44,174,3,14,4,6,19,59,25,87,68,256,0,5,3,15,0,13,16,33,23,65,0,3,5,11,11,28,19,38,39,104,7,12,252,649
UCL121008,30,63,3,22,0,8,0,12,10,35,11,77,3,9,0,0,5,17,9,23,22,102,3,16,0,11,4,24,18,50,29,91,0,3,0,4,10,22,12,29,39,122,5,4,93,290
UCL121009,89,179,6,29,12,40,5,25,43,168,60,257,4,6,0,0,4,21,5,24,71,283,0,0,5,19,0,0,10,41,21,64,0,3,5,10,10,27,17,42,35,100,7,9,200,575
UCL121010,94,191,0,6,3,27,0,9,30,132,39,168,3,10,0,6,14,32,17,50,56,222,0,0,4,3,0,0,12,35,19,37,0,0,0,0,11,24,10,23,27,60,0,3,183,476
UCL121011,68,132,0,18,11,33,7,14,27,114,43,181,3,6,3,12,10,30,16,53,59,229,9,28,5,20,7,35,37,105,54,186,4,9,4,17,32,71,41,102,99,287,11,18,231,664
UCL121012,112,227,0,8,13,57,5,31,42,172,63,269,12,41,13,52,44,145,65,236,126,506,0,0,0,0,0,0,9,16,7,16,0,0,3,17,3,12,7,26,19,41,0,0,258,774
UCL121013,45,91,0,3,6,32,0,12,27,92,31,142,0,0,0,5,0,9,7,9,35,153,0,6,0,13,0,3,34,107,38,127,0,0,0,11,14,36,19,41,57,171,0,9,141,422
UCL121014,62,118,0,8,4,9,0,0,25,93,27,117,0,8,0,0,11,29,15,43,40,156,0,0,0,4,3,8,19,36,18,57,0,0,0,9,4,7,5,11,25,68,0,0,126,341
UCL121015,80,161,0,3,6,32,3,24,46,168,61,223,4,17,12,44,23,67,40,127,95,350,0,0,0,0,0,0,5,15,5,15,3,6,0,4,18,38,18,43,27,62,0,8,211,583
UCL121016,66,131,3,20,0,3,0,4,31,129,35,157,0,0,3,4,20,48,22,55,61,219,0,0,6,6,4,8,10,26,13,46,0,3,3,3,8,23,8,29,26,71,0,5,147,422
UCL121017,83,165,0,12,13,58,0,10,90,356,106,433,3,10,6,38,20,48,29,100,139,534,0,0,0,0,0,0,15,28,15,28,0,0,0,3,3,12,9,16,20,40,0,0,234,741
UCL121018,101,200,0,23,6,33,7,25,64,244,81,328,3,29,9,21,23,58,36,104,114,431,0,0,5,11,0,12,16,37,20,60,0,5,0,3,13,28,13,35,32,89,3,11,253,732
UCL121019,87,173,0,6,15,52,4,12,48,216,64,280,3,10,4,24,27,81,32,115,96,394,0,0,0,0,0,3,7,25,7,26,0,5,0,0,4,17,11,21,18,44,0,0,207,625
UCL121020,70,136,0,7,3,16,0,20,40,152,47,198,9,16,9,13,14,54,23,85,73,285,0,0,0,3,0,0,13,31,13,30,0,0,6,8,8,12,4,20,18,49,0,0,159,469
UCL121021,70,140,0,3,5,18,0,0,20,75,25,97,0,5,7,14,14,31,18,54,44,151,0,0,9,18,0,0,12,26,16,44,0,0,0,4,11,25,15,29,27,76,3,7,149,369
UCL121022,92,189,3,13,7,31,3,12,26,90,36,146,0,11,7,15,7,27,17,51,50,194,3,11,4,9,0,0,3,8,8,32,0,4,3,12,14,19,13,33,24,62,6,7,172,459
UCL121023,117,230,0,0,3,11,0,3,7,45,13,57,0,4,0,5,18,47,18,56,34,118,0,0,0,3,0,7,6,24,10,26,0,0,5,13,14,31,15,37,27,66,0,3,171,411
UCL121024,61,124,0,0,9,30,0,7,37,144,44,184,0,16,4,6,9,18,10,40,53,220,0,4,6,23,0,0,17,49,26,78,0,0,0,3,6,15,8,16,35,91,4,0,151,443
UCL121025,53,110,0,9,15,67,3,6,36,144,53,220,3,22,6,28,24,80,40,131,91,351,0,5,0,7,0,3,7,19,13,37,3,9,10,14,8,19,14,38,27,74,0,0,170,532
UCL121026,135,260,0,3,0,21,4,13,38,149,47,189,4,7,4,14,15,48,20,66,73,253,0,8,0,4,3,3,17,50,23,67,4,8,7,17,9,26,20,48,47,118,5,5,251,633
UCL121027,47,99,0,4,7,27,7,29,38,154,52,214,0,6,10,32,17,65,25,94,79,315,0,0,6,10,0,0,18,37,15,53,0,0,0,3,21,45,23,49,40,102,0,0,169,512
UCL121028,141,272,0,0,0,0,0,3,32,130,33,131,4,8,6,10,17,54,23,72,53,206,0,0,0,3,0,0,12,28,15,35,0,0,0,0,13,25,16,31,27,65,0,3,222,544
UCL121029,68,139,0,12,5,29,0,14,35,134,45,188,0,3,5,13,15,48,23,68,67,253,0,0,0,5,0,8,17,47,21,54,0,0,0,0,19,35,19,35,36,95,5,13,177,500
UCL121030,93,190,0,0,3,25,3,9,31,133,39,162,0,13,4,5,17,54,19,70,59,234,3,8,3,8,0,14,19,48,23,79,0,7,3,5,27,65,33,79,55,153,3,13,218,586
UCL121031,153,306,3,8,11,45,5,28,43,178,67,266,4,9,5,16,12,38,20,66,85,330,0,0,3,18,5,4,21,68,27,89,0,0,5,6,11,25,19,34,46,120,3,8,285,761
UCL121032,92,188,0,0,7,37,3,16,28,110,37,167,0,3,3,16,7,27,17,49,54,210,0,0,6,7,0,5,15,31,17,46,0,4,3,0,8,22,12,31,31,73,0,4,176,472
UCL121033,38,69,0,9,4,19,0,8,42,172,48,202,0,0,3,5,5,22,7,33,59,231,0,0,3,5,0,0,10,20,8,24,0,0,4,13,3,12,9,24,21,48,0,6,115,359
UCL121034,83,168,0,6,10,49,4,6,63,243,77,309,5,10,14,49,8,24,29,85,104,395,0,0,4,7,0,0,10,19,11,33,0,4,6,7,9,20,13,28,27,60,0,0,215,624
UCL121035,103,206,0,8,8,43,13,49,66,282,90,382,11,30,12,35,30,91,47,159,134,538,0,6,8,27,4,22,33,89,43,139,3,5,3,10,34,66,31,82,78,226,3,4,317,975
UCL121036,158,308,3,8,24,91,10,36,108,463,141,604,11,27,12,52,29,88,47,161,190,771,0,10,3,24,3,10,24,70,31,107,0,0,8,8,17,46,25,54,54,164,0,0,400,1241
UCL121037,116,225,6,16,4,28,0,10,40,155,49,202,5,12,8,15,21,65,29,98,81,300,0,0,3,14,0,0,16,29,11,43,0,0,0,4,19,33,18,39,32,86,0,0,230,609
UCL121038,76,153,0,19,4,17,5,5,28,89,32,129,0,0,4,8,8,40,11,45,48,173,0,0,0,10,0,0,12,33,13,39,0,0,4,4,4,18,10,22,24,64,0,8,150,403
UCL121039,78,153,0,0,8,38,8,19,42,173,61,231,3,17,4,9,10,41,25,68,83,305,0,0,9,13,0,9,9,23,15,46,0,4,0,3,5,8,4,16,21,59,0,5,189,525
UCL121040,63,123,0,3,13,51,0,0,32,137,41,192,11,28,3,17,15,56,30,103,72,298,0,0,0,5,0,0,6,19,9,20,0,0,3,6,3,4,3,9,14,28,0,0,151,449
UCL121041,84,166,4,20,0,18,0,21,19,72,24,127,0,13,0,11,15,43,16,61,44,192,0,0,0,10,3,23,6,18,13,50,3,9,0,0,8,19,12,24,24,78,0,0,159,434
UCL121042,93,188,0,0,3,12,0,3,24,80,23,98,5,11,4,8,9,30,19,53,37,145,0,0,4,11,0,0,3,7,8,19,0,0,3,5,11,21,14,31,19,47,3,9,156,384
UCL121043,53,101,4,6,7,35,3,16,59,246,76,308,7,29,14,36,16,40,36,108,103,412,0,0,0,3,0,0,13,37,17,42,4,6,3,9,5,18,12,32,31,77,0,5,185,600
UCL121044,55,100,3,11,0,19,3,7,26,103,38,144,3,15,0,5,11,38,18,52,51,196,0,0,0,8,0,0,21,64,21,70,0,0,0,9,10,13,15,26,32,93,4,8,139,402
UCL121045,96,192,0,0,7,20,4,17,18,80,29,114,0,0,3,16,10,42,17,57,45,176,0,0,0,0,0,0,6,20,7,27,0,0,0,0,14,27,14,27,22,50,0,0,162,416
UCL121046,50,97,0,8,8,43,0,6,54,204,64,262,6,9,8,25,8,25,19,64,86,322,0,0,5,10,0,0,6,13,14,23,0,0,4,11,5,6,10,18,19,34,0,0,147,456
UCL121047,58,116,0,0,6,26,0,3,59,223,66,256,4,10,7,21,12,34,23,64,85,318,0,0,0,0,0,0,7,29,7,29,0,0,0,5,3,11,8,19,19,44,3,6,171,480
UCL121048,91,179,0,3,6,31,6,8,24,108,34,159,3,10,4,20,12,38,20,68,54,221,0,0,0,0,0,0,8,16,8,16,0,3,0,4,6,8,7,19,14,37,0,0,163,444
UCL121049,51,101,5,16,7,34,3,12,38,148,50,209,0,13,3,6,23,76,26,92,78,302,0,0,5,10,0,0,11,35,10,42,0,4,0,0,9,21,14,27,22,64,4,11,155,485
UCL121050,127,255,0,0,0,14,0,5,9,40,13,54,0,0,0,9,4,19,9,26,22,84,0,0,0,0,0,0,7,12,7,12,0,0,3,9,14,26,14,30,26,49,4,4,178,390
UCL121051,137,268,0,3,4,31,4,16,32,152,41,203,4,24,3,9,11,40,20,71,62,279,0,5,0,0,3,8,19,58,22,73,0,0,5,6,13,28,20,37,43,114,4,7,246,663
UCL121052,121,251,0,3,4,3,0,3,37,131,41,152,0,5,0,4,18,47,20,53,56,205,0,0,0,0,0,0,9,25,9,25,0,0,3,0,10,30,15,29,27,60,0,0,204,513
UCL121053,99,189,4,17,4,14,0,13,34,140,44,179,0,4,5,12,4,16,12,26,52,211,0,8,0,4,0,3,13,30,18,48,0,0,0,0,10,27,10,27,26,76,5,10,176,478
UCL121054,82,157,6,24,15,69,9,26,39,172,64,293,8,44,15,63,31,118,61,223,127,511,0,0,3,7,0,0,0,6,3,15,3,6,0,0,6,17,11,25,17,42,0,0,220,711
UCL121055,82,170,0,0,11,53,0,16,42,181,61,248,0,14,4,13,11,32,15,58,77,302,0,0,0,0,0,4,9,21,10,28,0,0,0,0,10,18,9,15,19,41,0,0,182,517
UCL121056,104,207,0,7,8,40,3,21,47,179,58,240,3,9,3,13,29,93,35,116,95,352,4,5,8,18,10,25,19,70,32,117,4,5,5,13,16,39,23,58,61,176,6,9,257,741
UCL121057,70,141,0,8,10,28,3,24,37,157,51,217,10,31,4,17,44,132,51,189,104,401,0,4,0,5,0,0,16,36,15,43,0,0,0,3,10,27,7,30,30,75,5,4,206,620
UCL121058,230,457,3,24,32,145,10,40,110,469,157,675,13,54,44,151,68,211,126,416,278,1095,0,7,4,3,4,10,20,52,27,70,4,8,7,15,13,20,18,43,41,109,3,0,556,1672
UCL121059,99,196,0,0,7,20,0,11,34,124,43,156,0,4,11,21,10,32,16,60,62,218,0,0,4,17,0,6,8,22,16,49,0,4,4,14,7,20,19,38,34,89,0,0,190,499
UCL121060,140,282,3,15,18,103,4,27,50,207,78,348,6,22,14,53,35,99,51,173,135,525,0,7,0,0,0,6,11,36,18,48,0,0,0,0,10,20,10,20,26,72,3,3,300,883
UCL121061,37,70,3,24,3,19,9,22,45,174,59,242,8,25,5,10,17,55,29,92,80,335,0,0,4,12,4,12,10,28,15,50,0,6,3,4,10,16,13,27,27,74,0,7,146,486
UCL121062,113,220,0,5,11,55,0,3,67,262,81,325,10,44,10,35,25,89,47,167,131,492,0,0,0,3,0,3,12,26,9,37,0,4,3,10,18,29,21,43,35,78,5,10,277,798
UCL121063,168,339,0,0,0,11,0,0,12,59,20,70,0,0,0,12,14,34,19,41,30,110,0,0,0,0,0,0,5,13,5,13,0,3,0,0,9,16,8,22,11,36,0,0,219,484
UCL121064,101,191,0,0,6,39,0,6,30,94,36,145,0,0,8,19,12,34,18,51,53,196,0,3,9,11,0,0,9,28,13,38,0,0,6,10,15,34,21,39,31,84,0,5,189,473
UCL121065,167,334,0,6,8,19,0,10,43,163,48,195,0,15,4,8,26,72,29,96,78,288,0,0,0,8,0,0,12,33,18,44,4,10,5,8,21,40,24,54,40,101,3,4,286,725
UCL121066,61,122,0,0,4,10,7,17,27,115,35,153,0,0,6,17,16,53,24,72,61,219,0,0,4,9,0,0,13,32,17,46,0,3,0,0,7,16,10,21,23,64,3,3,147,416
UCL121067,118,238,0,0,4,12,3,20,32,134,41,165,0,4,5,10,10,31,12,43,51,210,0,0,5,10,0,11,18,43,23,60,0,3,3,9,18,38,22,48,43,110,6,14,222,565
UCL121068,363,735,4,44,19,90,12,53,96,394,133,576,10,44,11,30,49,154,68,224,204,802,0,22,6,24,6,14,43,113,54,168,6,12,6,11,28,50,35,80,89,250,6,8,665,1791
UCL121069,63,131,3,12,22,89,7,35,61,252,89,387,11,46,20,63,31,88,55,193,148,577,0,0,0,6,0,0,3,9,4,14,0,0,0,4,5,6,4,13,8,27,0,0,222,738
UCL121070,77,151,0,5,0,14,4,17,30,119,34,150,4,10,5,24,11,43,21,73,60,227,0,4,0,4,0,6,8,13,8,35,0,0,0,3,11,24,13,28,19,56,0,0,156,432
UCL121071,65,133,0,0,4,23,0,4,32,147,44,171,0,11,4,10,12,45,18,67,61,239,6,10,0,0,0,0,4,18,10,33,0,3,0,0,8,14,9,20,16,50,0,4,144,422
UCL121072,78,155,0,8,5,26,4,14,59,234,70,285,0,6,0,4,10,40,16,52,88,329,0,0,4,8,0,3,15,53,16,65,4,12,6,3,12,28,15,43,38,105,0,3,204,598
UCL121073,83,170,0,0,5,29,3,12,32,104,37,141,4,6,0,0,13,46,15,56,49,199,0,0,0,7,6,15,9,22,14,49,0,0,8,10,12,19,13,33,30,83,3,4,173,459
UCL121074,85,175,0,8,5,6,5,11,22,78,26,97,5,12,5,18,8,24,18,49,39,145,0,0,0,13,0,0,8,18,11,28,0,8,0,3,11,19,8,25,25,60,7,6,158,385
UCL121075,112,216,0,13,5,21,0,0,19,79,25,110,9,21,8,14,21,58,30,96,57,208,0,0,0,0,0,0,0,6,0,6,0,0,0,0,3,7,6,14,9,20,0,0,173,442
UCL121076,105,212,4,19,12,49,4,40,81,321,104,432,7,29,3,17,20,73,37,115,136,546,0,4,0,9,0,4,15,39,19,49,0,3,0,7,16,37,19,42,39,97,6,4,281,858
UCL121077,72,134,3,17,10,41,0,4,54,209,63,273,0,4,6,22,13,39,20,66,87,339,0,0,6,12,0,0,14,39,22,59,3,10,6,9,8,18,18,33,36,87,11,15,197,577
UCL121078,64,134,0,6,3,18,4,25,43,186,59,240,11,26,6,23,20,72,37,128,93,366,0,0,0,6,0,3,15,36,13,41,4,27,0,5,11,24,18,55,36,96,3,5,194,599
UCL121079,64,129,5,17,4,24,3,14,30,111,36,173,7,22,7,25,20,60,34,102,74,273,0,4,3,6,0,9,5,7,10,24,0,0,3,6,4,9,5,16,18,43,0,0,153,449
UCL121080,149,299,0,0,9,41,7,27,81,297,97,363,0,0,5,22,19,42,20,65,113,428,0,4,0,0,0,0,31,87,31,89,0,0,0,0,15,22,12,28,47,116,0,9,316,851
UCL121081,71,140,0,4,21,87,6,14,33,141,57,255,3,15,7,21,10,34,21,68,78,321,0,0,0,3,0,6,9,21,14,33,0,0,0,9,3,0,3,16,16,48,0,0,164,512
UCL121082,157,311,4,17,12,38,5,16,58,204,67,270,5,14,7,32,19,72,32,112,102,391,0,3,0,17,4,4,12,45,20,72,0,0,0,3,16,34,19,39,40,111,3,6,304,817
UCL121083,124,248,0,0,8,25,0,0,50,191,56,221,4,5,7,26,16,40,17,72,76,292,0,6,3,14,0,8,18,36,26,64,0,0,0,12,12,34,19,40,39,105,3,8,250,652
UCL121084,58,123,0,21,15,84,3,10,65,268,85,383,13,55,9,51,27,90,52,196,138,581,0,0,0,0,0,6,4,15,9,19,0,5,0,0,7,22,11,21,18,48,5,5,217,756
UCL121085,172,345,3,9,10,55,4,13,83,334,106,415,3,13,8,34,10,42,28,85,132,507,0,0,3,7,0,0,16,35,20,46,0,4,9,10,3,7,9,22,29,67,0,0,334,920
UCL121086,114,227,0,3,6,23,0,0,33,125,35,150,7,27,5,9,19,43,26,83,64,235,0,0,0,0,4,6,12,29,17,41,0,0,0,0,14,25,17,32,26,65,4,6,206,536
UCL121087,73,155,0,10,5,23,0,8,36,159,47,201,0,10,4,9,13,40,15,55,66,260,0,0,6,10,3,27,13,32,22,71,3,8,3,5,15,36,19,46,48,117,0,4,187,537
UCL121088,50,97,0,5,7,33,3,9,37,147,45,195,4,18,0,4,14,50,21,66,67,266,0,0,5,12,3,19,19,34,22,61,4,3,0,4,19,43,25,52,47,108,0,9,165,480
UCL121089,118,237,5,13,6,34,3,20,53,228,71,291,7,24,4,17,19,58,30,100,103,388,0,6,3,4,3,13,13,42,22,69,3,11,0,4,16,35,22,52,42,117,3,5,262,748
UCL121090,93,190,3,26,17,85,6,17,40,157,70,283,9,21,7,24,33,128,54,175,113,458,0,0,7,24,0,0,7,27,16,44,0,11,6,17,14,29,21,53,36,96,0,0,245,749
UCL121091,93,186,0,0,9,45,0,7,33,129,44,179,10,42,11,28,28,89,47,160,92,345,0,0,0,0,0,0,5,23,5,23,0,9,0,0,15,31,22,40,25,63,0,6,209,587
UCL121092,131,258,4,22,13,60,9,32,93,381,115,493,3,9,5,30,34,94,39,128,152,623,0,0,6,19,4,6,18,34,20,61,3,6,0,6,11,27,18,38,37,100,3,6,325,985
UCL121093,99,201,6,28,9,49,8,35,79,315,101,428,3,18,0,5,36,124,41,146,145,568,0,9,3,19,4,9,34,114,45,147,0,5,3,3,18,33,22,42,69,194,5,13,319,980
UCL121094,65,133,0,4,3,27,0,10,20,79,30,120,0,0,6,9,10,39,19,48,47,165,0,0,10,34,3,21,25,73,40,134,0,4,5,0,20,49,26,56,65,189,0,3,176,487
UCL121095,94,199,5,10,14,54,4,5,55,235,72,313,0,3,3,7,21,65,26,73,97,389,0,0,0,0,0,0,3,15,3,17,0,0,0,0,4,9,4,9,11,26,0,0,207,614
UCL121096,149,293,0,5,4,16,0,8,37,154,46,184,6,24,14,30,14,40,32,93,78,277,0,0,0,5,0,0,12,35,13,41,0,3,3,4,12,22,14,27,27,61,0,0,250,638
UCL121097,110,212,0,5,10,50,3,9,42,163,55,228,5,16,10,25,12,33,22,72,73,305,0,0,0,0,0,5,12,25,11,25,0,5,0,0,5,19,11,19,23,46,0,0,204,568
UCL121098,163,317,0,4,16,73,0,8,46,183,62,270,4,20,9,32,24,71,36,119,100,385,0,0,0,0,0,3,7,11,5,17,0,5,0,0,10,20,9,25,21,47,3,7,285,750
UCL121099,87,173,0,7,0,16,0,9,29,121,36,145,0,3,4,15,15,49,16,60,55,207,0,0,0,3,0,0,9,28,13,32,0,0,3,7,14,21,13,23,24,56,0,0,167,441
UCL121100,167,326,0,13,7,47,4,30,82,332,97,412,0,15,7,32,31,98,40,138,140,554,0,0,3,12,0,3,16,41,20,55,0,0,4,12,8,19,11,28,36,85,0,3,338,969
UCL121101,130,264,5,30,20,90,4,35,47,180,77,333,0,14,10,25,39,121,51,162,126,495,0,0,0,0,4,9,19,51,25,62,3,10,5,7,21,45,30,63,53,126,3,7,309,893
UCL121102,147,286,0,8,7,43,3,12,56,219,71,288,0,0,10,30,17,47,27,84,100,367,0,0,0,0,0,0,12,37,12,37,0,4,3,4,11,31,15,40,34,76,3,10,278,732
UCL121103,107,207,3,8,10,43,3,18,57,228,73,301,3,14,3,11,23,74,32,101,100,395,0,0,10,20,0,11,22,63,26,93,3,12,0,6,19,44,25,66,51,155,5,7,260,768
UCL121104,92,191,6,23,9,54,5,14,42,156,59,245,0,0,4,19,10,41,19,65,77,316,0,5,0,6,0,0,12,35,13,46,0,5,0,0,12,24,15,24,23,68,3,0,200,576
UCL121105,89,175,0,0,0,10,3,11,21,75,29,97,0,0,0,4,8,28,13,35,37,129,0,0,0,0,0,9,16,53,23,62,0,0,3,4,22,41,23,45,42,107,4,12,177,419
UCL121106,230,459,4,15,5,22,0,3,38,133,46,175,6,21,6,21,21,52,26,96,78,269,0,0,0,6,0,3,13,30,8,34,0,0,6,10,8,21,19,34,26,72,3,7,339,803
UCL121107,110,218,3,11,3,24,3,16,57,253,67,305,3,10,6,20,21,48,24,79,93,382,0,6,3,20,0,0,15,46,17,75,3,5,0,0,20,43,24,51,40,122,5,12,249,729
UCL121108,107,204,0,7,6,30,6,32,49,201,64,265,0,8,0,6,20,56,18,63,81,329,4,7,3,0,0,10,18,51,26,72,3,18,4,14,17,34,28,57,51,133,4,6,234,677
UCL121109,64,130,3,17,8,44,0,10,32,119,48,188,0,5,3,14,11,46,17,59,63,253,0,7,0,5,0,3,0,10,6,21,3,9,0,4,5,11,11,24,15,39,0,4,143,429
UCL121110,106,209,3,30,10,50,3,19,53,214,72,310,5,15,8,29,20,59,36,103,110,413,0,0,6,26,0,4,25,66,31,100,0,0,6,10,18,41,26,56,60,160,9,13,272,788
UCL121111,69,137,0,6,0,7,3,13,28,119,37,143,0,0,5,4,16,39,15,46,47,192,0,0,7,16,4,8,22,71,28,92,0,6,3,7,15,26,15,36,43,129,12,14,172,477
UCL121112,91,175,6,21,9,38,0,3,61,257,74,324,3,19,3,15,12,49,28,81,99,408,0,4,0,0,0,3,13,30,13,36,0,0,0,0,13,29,13,29,28,68,0,0,216,647
UCL121113,67,131,0,5,3,19,0,3,19,69,25,103,0,0,8,17,9,28,11,42,36,149,0,0,0,0,0,8,12,42,15,48,0,0,4,14,3,13,9,28,27,73,8,9,136,363
UCL121114,125,242,0,0,11,48,3,19,52,214,65,279,8,28,7,17,15,50,27,98,95,376,0,3,0,9,0,4,13,37,21,54,0,0,3,8,7,20,10,22,28,75,0,0,251,699
UCL121115,141,273,0,0,9,38,3,11,17,64,26,112,3,4,0,6,5,16,10,27,41,145,0,0,0,12,0,0,6,12,8,20,0,0,0,5,7,21,12,22,17,44,0,0,200,463
UCL121116,75,143,3,27,27,125,7,41,56,235,100,432,12,51,10,40,36,113,63,205,159,635,0,8,0,4,3,7,15,40,19,62,0,5,4,0,11,17,8,25,34,83,3,4,271,869
UCL121117,74,162,3,12,3,8,0,10,39,145,41,174,0,10,5,15,13,48,20,71,65,240,0,0,6,9,6,4,19,52,27,72,0,3,0,4,10,32,18,35,42,111,3,3,191,520
UCL121118,43,93,5,9,8,35,0,0,35,145,47,189,3,25,9,29,14,48,26,101,76,289,0,0,6,12,0,15,4,18,9,42,0,0,0,3,9,15,10,21,26,66,0,3,141,455
UCL121119,133,265,4,12,10,37,4,22,44,183,58,262,0,7,12,33,27,75,39,121,95,382,0,0,0,3,0,3,6,29,8,36,0,0,4,12,17,33,21,41,31,78,0,0,261,728
UCL121120,23,44,0,0,0,0,0,17,16,59,15,76,0,0,0,0,8,21,8,23,21,99,4,11,0,5,4,23,25,93,32,130,0,5,0,0,13,37,11,47,49,174,3,13,97,332
UCL121121,68,136,0,11,4,25,4,24,34,131,48,187,0,3,3,15,10,32,19,52,65,243,0,0,0,0,0,7,3,9,6,17,0,0,0,0,11,28,11,28,21,44,0,0,150,427
UCL121122,70,134,0,10,14,46,0,15,46,199,61,267,5,13,0,3,9,26,9,34,72,303,0,0,0,12,0,17,19,40,18,71,0,0,3,3,7,24,11,29,32,98,0,0,175,538
UCL121123,72,135,0,4,5,25,4,31,40,150,54,208,0,4,4,9,11,36,15,52,69,256,0,4,0,4,0,0,12,28,9,33,0,4,6,10,15,34,19,43,29,79,6,8,170,473
UCL121124,96,199,0,0,5,13,0,10,12,47,16,66,0,0,3,8,5,15,8,21,26,87,0,0,0,5,0,0,5,20,12,23,0,3,0,0,13,23,13,28,19,53,0,0,146,344
UCL121125,159,317,4,23,9,27,6,21,35,141,45,209,0,0,4,7,18,57,25,69,69,281,0,0,3,12,4,5,13,32,15,46,0,4,0,3,14,29,19,30,31,81,4,9,266,686
UCL121126,84,168,5,19,8,21,6,23,42,163,49,231,0,12,8,14,14,51,20,75,75,301,0,0,3,10,0,0,10,28,13,45,0,4,0,0,5,15,8,22,21,59,0,3,181,537
UCL121127,54,109,0,11,11,58,5,21,44,181,59,269,6,28,3,14,29,95,34,137,97,402,3,14,3,15,0,4,10,24,14,56,0,0,0,6,10,24,14,26,28,88,3,10,184,603
