UCL_CODE_2021,One_method_Train_M,One_method_Train_F,One_method_Train_P,One_method_Bus_M,One_method_Bus_F,One_method_Bus_P,One_method_Ferry_M,One_method_Ferry_F,One_method_Ferry_P,One_met_Tram_or_lt_rail_M,One_met_Tram_or_lt_rail_F,One_met_Tram_or_lt_rail_P,One_met_Taxi_or_Rideshare_M,One_met_Taxi_or_Rideshare_F,One_met_Taxi_or_Rideshare_P,One_method_Car_as_driver_M,One_method_Car_as_driver_F,One_method_Car_as_driver_P,One_method_Car_as_passenger_M,One_method_Car_as_passenger_F,One_method_Car_as_passenger_P,One_method_Truck_M,One_method_Truck_F,One_method_Truck_P,One_method_Motorbike_scootr_M,One_method_Motorbike_scootr_F,One_method_Motorbike_scootr_P,One_method_Bicycle_M,One_method_Bicycle_F,One_method_Bicycle_P,One_method_Other_M,One_method_Other_F,One_method_Other_P,One_method_Walked_only_M,One_method_Walked_only_F,One_method_Walked_only_P,One_method_Tot_one_method_M,One_method_Tot_one_method_F,One_method_Tot_one_method_P,Two_methods_Train_Bus_M,Two_methods_Train_Bus_F,Two_methods_Train_Bus_P,Two_methods_Train_Ferry_M,Two_methods_Train_Ferry_F,Two_methods_Train_Ferry_P,Two_mt_trn_Trm_or_lt_rail_M,Two_mt_trn_Trm_or_lt_rail_F,Two_mt_trn_Trm_or_lt_rail_P,Two_methods_Trn_Car_as_drvr_M,Two_methods_Trn_Car_as_drvr_F,Two_methods_Trn_Car_as_drvr_P,Two_methods_Trn_Car_as_pass_M,Two_methods_Trn_Car_as_pass_F,Two_methods_Trn_Car_as_pass_P,Two_methods_Train_Other_M,Two_methods_Train_Other_F,Two_methods_Train_Other_P,Two_methods_Train_Tot_M,Two_methods_Train_Tot_F,Two_methods_Train_Tot_P,Two_methods_Bus_Ferry_M,Two_methods_Bus_Ferry_F,Two_methods_Bus_Ferry_P,Two_mth_Bu_Trm_or_lt_rail_M,Two_mth_Bu_Trm_or_lt_rail_F,Two_mth_Bu_Trm_or_lt_rail_P,Two_methods_Bus_Car_as_drvr_M,Two_methods_Bus_Car_as_drvr_F,Two_methods_Bus_Car_as_drvr_P,Two_methods_Bus_Car_as_pass_M,Two_methods_Bus_Car_as_pass_F,Two_methods_Bus_Car_as_pass_P,Two_methods_Bus_Other_M,Two_methods_Bus_Other_F,Two_methods_Bus_Other_P,Two_methods_Bus_Tot_M,Two_methods_Bus_Tot_F,Two_methods_Bus_Tot_P,Two_methds_Othr_two_methds_M,Two_methds_Othr_two_methds_F,Two_methds_Othr_two_methds_P,Two_methods_Tot_two_methods_M,Two_methods_Tot_two_methods_F,Two_methods_Tot_two_methods_P,Three_meth_Tr_2_oth_meth_M,Three_meth_Tr_2_oth_meth_F,Three_meth_Tr_2_oth_meth_P,Three_met_Bs_2_ot_met_ex_tr_M,Three_met_Bs_2_ot_met_ex_tr_F,Three_met_Bs_2_ot_met_ex_tr_P,Three_meth_Othr_three_meth_M,Three_meth_Othr_three_meth_F,Three_meth_Othr_three_meth_P,Three_meth_Tot_three_meth_M,Three_meth_Tot_three_meth_F,Three_meth_Tot_three_meth_P,Worked_home_M,Worked_home_F,Worked_home_P,Did_not_go_to_work_M,Did_not_go_to_work_F,Did_not_go_to_work_P,Method_travel_to_work_ns_M,Method_travel_to_work_ns_F,Method_travel_to_work_ns_P,Tot_M,Tot_F,Tot_P
UCL112002,4,0,9,21,24,45,5,0,5,0,0,0,31,31,60,5833,5319,11152,450,520,969,118,0,116,36,6,37,42,12,50,36,10,50,291,256,547,6860,6185,13039,0,0,3,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,5,3,8,0,0,0,0,0,0,0,0,0,0,0,4,0,6,6,6,5,10,52,29,84,59,39,101,0,0,0,0,0,4,0,0,0,4,8,10,708,1054,1759,752,1081,1830,35,25,69,8418,8389,16804
UCL112003,115,67,179,4,9,16,3,0,3,0,0,0,7,18,20,2805,2315,5116,121,175,301,95,0,96,43,0,44,19,9,27,15,35,54,181,150,338,3409,2785,6189,7,9,22,0,0,0,0,0,0,8,3,9,5,3,10,11,0,14,39,18,57,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,3,3,29,11,43,73,38,107,3,4,10,0,0,0,0,0,0,9,4,10,2150,2496,4642,897,1317,2217,31,31,62,6559,6672,13231
UCL112004,25,18,46,11,16,27,0,0,5,0,0,0,4,5,9,2817,2450,5266,200,258,454,104,0,109,24,0,29,17,7,23,27,16,43,154,163,319,3384,2939,6317,0,0,0,0,0,0,0,0,0,3,0,5,4,0,0,0,4,4,6,3,12,0,0,0,0,0,0,0,4,4,3,6,7,0,0,4,3,10,11,21,21,43,30,38,66,0,0,0,0,0,0,5,0,5,6,0,6,1337,1338,2673,444,675,1121,30,27,55,5228,5019,10240
UCL112005,3,3,7,3,10,18,3,3,7,0,0,0,5,3,8,2949,2337,5284,156,183,338,85,3,82,28,0,36,20,3,25,11,18,33,58,81,141,3321,2651,5978,6,0,9,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,29,19,43,33,24,55,3,0,3,0,0,0,4,0,4,4,0,4,298,584,885,643,940,1578,22,19,42,4322,4222,8542
UCL112006,0,0,0,37,22,66,4,3,5,0,0,0,24,39,66,6768,6251,13025,547,685,1234,154,0,154,72,6,72,66,16,80,44,36,73,206,194,398,7910,7265,15178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,3,11,0,0,3,0,0,0,3,6,12,63,48,111,70,56,130,3,0,8,3,0,6,6,0,8,14,6,16,493,840,1327,630,1061,1686,42,37,84,9162,9263,18426
UCL112007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1066,916,1978,58,59,113,19,0,19,3,0,3,18,9,28,4,0,10,26,27,51,1198,1017,2211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,3,0,4,11,4,14,15,8,16,0,0,0,0,0,0,0,0,0,0,0,0,97,159,256,114,232,340,19,16,37,1445,1431,2873
UCL112008,0,0,0,19,14,29,0,0,0,0,0,0,4,3,5,2133,2202,4335,153,226,379,57,0,53,18,4,21,31,11,43,21,14,36,153,154,304,2580,2629,5209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,3,3,0,5,4,24,16,38,21,23,45,0,0,0,0,0,0,3,0,5,3,0,5,271,350,626,279,499,775,39,39,78,3196,3551,6745
UCL112009,8,0,4,27,8,35,0,0,0,0,0,0,14,21,34,3935,3412,7343,320,328,650,83,5,89,31,0,28,26,4,31,28,3,28,169,178,349,4624,3973,8596,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,4,5,0,0,0,0,0,0,0,7,4,34,18,55,41,25,65,0,0,0,0,0,0,3,0,3,7,0,7,257,468,725,424,696,1113,34,27,59,5381,5185,10564
UCL112010,0,0,0,3,9,12,4,8,9,0,0,0,16,27,38,4267,3411,7677,468,606,1076,57,0,59,35,5,33,31,8,36,40,18,57,118,117,236,5029,4205,9232,0,0,0,0,0,0,0,0,0,0,5,6,0,0,0,0,0,0,3,3,5,0,0,0,0,0,0,4,0,4,0,3,4,0,0,0,4,4,5,39,23,58,42,31,76,0,0,0,0,0,0,0,0,0,0,0,0,137,248,389,220,470,694,34,31,66,5470,4988,10459
UCL112011,0,3,3,10,19,26,0,0,0,0,0,0,0,0,4,3170,2503,5672,158,144,307,85,5,90,20,0,20,8,4,12,15,10,21,51,40,92,3510,2735,6239,0,0,3,0,0,0,0,0,0,3,3,4,0,0,0,0,0,0,6,4,7,0,0,0,0,0,0,0,0,0,3,3,9,0,0,0,8,4,7,25,10,36,41,14,53,3,0,4,0,0,0,0,0,0,8,0,6,298,638,944,571,857,1430,18,15,38,4442,4267,8714
UCL112012,0,0,0,28,15,46,4,0,3,0,0,0,8,13,26,4120,3675,7797,286,380,661,82,0,83,59,3,65,55,14,66,36,12,51,177,179,350,4851,4300,9147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,4,0,0,0,3,4,5,41,31,67,43,35,75,0,0,0,0,0,0,3,0,3,7,0,5,492,815,1311,643,1039,1687,30,26,52,6062,6217,12278
UCL112013,0,0,0,3,3,14,0,0,0,0,0,0,0,0,0,452,397,845,29,26,54,9,0,9,4,0,4,0,0,0,0,0,0,3,7,9,499,433,934,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,38,62,94,31,51,85,4,12,12,574,559,1128
UCL112014,28,16,45,10,4,10,0,0,0,0,0,0,4,3,6,2795,2214,5014,136,141,279,126,3,126,26,3,34,7,5,10,18,14,28,61,53,120,3213,2458,5671,11,6,11,0,0,0,0,0,0,5,0,9,0,0,0,5,0,5,17,10,27,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,3,0,3,30,14,39,50,20,67,6,8,7,0,0,0,0,0,0,4,8,13,755,1068,1822,563,839,1400,24,20,44,4608,4412,9017
UCL112015,4,4,6,6,15,27,4,0,4,0,0,0,8,21,30,4708,4128,8835,334,412,744,82,5,83,80,5,85,54,17,72,38,26,63,144,172,311,5463,4804,10264,0,3,3,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,3,3,0,6,7,0,0,0,3,8,13,56,31,89,63,46,104,0,0,3,0,0,0,0,0,5,3,0,6,410,586,992,631,931,1565,45,43,92,6610,6417,13026
UCL112016,0,3,3,45,31,81,0,0,4,0,0,0,27,43,71,6596,6119,12714,531,577,1101,135,4,140,31,6,36,48,20,69,43,30,72,250,239,492,7713,7068,14775,0,0,0,0,0,0,0,0,0,0,5,3,0,0,0,0,0,0,0,4,9,0,0,0,0,0,0,13,0,13,0,5,9,0,4,4,18,9,23,53,35,90,72,46,121,0,0,0,0,3,4,0,0,0,0,3,3,737,1103,1837,714,1161,1867,44,34,82,9284,9417,18698
UCL112017,4,0,5,36,41,82,4,0,4,0,0,0,10,29,37,6461,6488,12950,453,600,1058,124,6,127,106,14,126,84,22,107,37,28,60,263,275,532,7592,7505,15094,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,5,3,6,5,5,0,3,9,8,14,69,37,105,80,44,125,0,3,3,0,4,4,0,0,0,0,9,6,1124,1392,2516,864,1410,2273,30,56,89,9694,10410,20108
UCL112018,4,0,4,22,17,41,0,5,4,0,0,0,12,21,33,5209,4554,9764,493,547,1045,137,3,136,84,6,92,40,10,50,38,26,60,171,197,365,6215,5389,11603,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,4,0,6,0,0,3,0,0,6,7,7,14,67,34,102,77,46,119,0,0,0,0,0,0,5,0,5,5,3,4,586,926,1515,808,1211,2019,42,24,70,7729,7605,15329
UCL112019,0,0,0,82,52,139,6,7,13,0,0,0,20,34,54,8781,7901,16690,725,726,1449,108,7,115,97,7,109,82,27,108,42,13,63,331,421,758,10290,9190,19479,0,0,0,0,0,0,0,0,0,6,7,8,0,0,0,0,0,0,6,7,9,0,0,0,0,0,0,6,0,7,4,6,9,3,0,6,10,9,21,91,61,152,111,74,186,0,0,0,0,4,4,6,0,11,9,3,10,690,985,1671,779,1364,2141,60,37,98,11933,11662,23590
UCL113001,0,0,0,12,19,28,0,0,0,0,0,0,8,3,7,2277,2107,4386,118,164,289,64,6,71,32,3,31,113,35,151,24,6,28,110,145,253,2761,2482,5242,0,0,0,0,0,0,0,0,0,0,6,6,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,4,0,4,0,7,7,0,0,0,0,7,8,34,22,55,40,25,68,0,0,0,0,0,0,0,3,4,0,3,4,351,559,909,396,610,1009,24,23,47,3578,3700,7279
UCL113002,0,3,3,17,10,24,0,0,0,0,0,0,0,10,11,1451,1404,2855,129,136,266,50,0,52,12,0,15,17,11,25,10,9,22,65,63,122,1751,1640,3390,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,6,21,6,28,27,11,35,0,0,0,0,0,0,4,0,0,4,6,3,148,216,366,198,292,490,22,15,34,2147,2170,4320
UCL113003,0,0,0,5,4,8,3,0,0,0,0,0,5,7,12,2531,2455,4981,219,254,474,37,0,37,40,6,45,26,0,30,25,7,25,135,128,264,3027,2866,5897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,5,0,5,18,15,35,24,15,38,0,0,0,0,0,0,0,0,0,0,0,0,98,185,287,391,445,834,25,23,42,3564,3533,7100
UCL113004,0,0,0,0,7,10,0,0,0,0,0,0,0,7,6,1218,1116,2339,57,70,129,17,0,17,33,4,41,119,98,213,19,13,33,141,136,278,1619,1456,3074,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,0,7,17,22,43,19,25,46,0,0,0,0,0,0,0,0,0,0,0,0,589,764,1358,334,449,773,32,16,51,2591,2707,5300
UCL113005,0,0,0,13,14,23,0,0,0,0,0,0,9,11,21,2146,2120,4270,194,176,370,63,4,66,32,0,36,56,17,75,10,14,25,127,129,254,2652,2485,5137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,28,9,40,36,13,43,0,0,0,0,0,0,6,0,6,7,0,7,147,278,426,297,389,684,32,23,54,3163,3179,6345
UCL113006,0,0,0,6,7,18,0,0,0,0,0,0,5,7,14,1097,1123,2215,90,148,239,40,0,41,7,0,13,5,0,9,9,6,15,58,47,108,1330,1341,2668,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,13,10,25,16,15,24,0,0,0,0,0,0,0,0,0,0,0,0,47,101,142,132,206,339,20,19,42,1546,1677,3222
UCL113007,15,9,23,0,0,4,0,0,0,0,0,0,0,0,0,1824,1397,3222,73,88,166,46,0,47,8,0,8,14,3,19,7,8,18,64,76,142,2056,1588,3643,4,0,5,0,0,0,0,0,0,7,0,7,0,0,0,0,0,0,8,4,9,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,7,0,7,12,0,18,32,4,34,0,0,0,0,0,0,0,0,0,0,0,0,750,978,1726,384,558,939,11,5,24,3236,3137,6370
UCL113008,4,5,11,3,6,4,0,0,0,0,0,0,9,9,11,1441,1215,2661,94,97,196,20,4,19,11,0,12,11,3,14,3,10,14,112,95,208,1711,1439,3146,3,0,3,0,0,0,0,0,0,4,0,4,0,0,0,0,3,3,9,3,7,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,3,6,10,8,19,15,15,31,0,5,5,0,0,0,0,0,0,0,5,5,154,247,405,245,324,565,19,21,36,2144,2049,4188
UCL113009,0,0,0,8,8,13,0,0,0,0,0,0,3,0,4,1560,1193,2757,67,85,149,57,0,55,10,0,10,8,3,9,11,7,17,18,11,30,1738,1305,3040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,21,18,39,27,15,41,0,0,0,0,0,0,0,0,5,0,0,5,429,613,1043,323,476,800,4,7,14,2521,2414,4940
UCL113010,0,0,0,12,4,13,0,0,5,0,0,0,7,9,15,2027,1635,3657,174,154,326,41,0,41,19,0,20,17,0,20,11,0,11,97,131,226,2403,1943,4343,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,24,29,53,24,29,58,0,0,0,0,0,0,0,0,0,0,0,0,108,215,321,264,421,693,8,15,25,2811,2622,5436
UCL113011,3,0,3,5,0,8,0,0,0,0,0,0,0,0,0,1823,1398,3219,123,120,243,22,0,19,18,3,14,10,0,11,10,12,22,54,66,123,2062,1594,3658,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,5,19,16,5,19,0,0,0,0,0,0,0,0,0,0,0,0,118,249,375,325,349,675,20,12,32,2543,2218,4759
UCL113012,0,0,0,11,20,35,3,0,3,0,0,0,0,0,0,1613,1357,2968,106,127,232,38,0,38,8,0,11,14,7,17,12,9,17,87,102,191,1896,1632,3528,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,3,5,4,0,0,0,5,6,6,22,15,31,27,19,44,0,0,0,0,0,0,4,0,7,4,0,4,537,566,1102,444,624,1071,24,21,41,2926,2860,5784
UCL113013,0,0,0,17,19,32,0,0,0,0,0,0,5,3,5,2030,1580,3612,141,123,262,48,4,51,24,0,24,9,3,8,15,8,22,38,42,79,2316,1778,4098,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,8,10,0,0,0,3,7,15,16,8,30,24,18,45,0,0,0,0,0,0,0,0,3,3,0,4,273,406,680,345,535,886,16,25,44,2984,2769,5755
UCL113014,0,0,4,13,4,17,0,0,0,0,0,0,4,9,10,2592,1788,4376,134,146,286,44,4,44,16,0,16,5,0,9,9,9,21,50,60,111,2878,2023,4899,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,5,4,0,0,0,0,0,0,0,0,0,0,4,5,0,0,0,3,4,0,27,13,40,30,17,53,0,0,0,0,0,0,0,0,0,0,0,0,202,463,660,516,617,1136,12,5,19,3632,3131,6766
UCL113015,0,0,0,5,0,8,0,0,0,0,0,0,0,5,8,1388,1273,2665,87,111,200,49,0,54,16,0,16,7,0,8,13,7,19,21,27,45,1598,1422,3016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,10,27,20,14,28,0,0,0,0,0,0,0,0,0,0,0,0,123,215,342,191,314,510,14,3,17,1944,1968,3918
UCL113016,0,0,0,14,15,28,0,0,0,0,0,0,10,12,25,2171,2106,4277,174,217,392,49,0,54,28,0,32,18,0,21,10,3,14,96,101,198,2577,2469,5044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,24,14,37,25,19,46,0,0,0,0,0,0,0,0,0,0,0,0,125,174,302,246,388,638,31,27,53,3007,3075,6080
UCL113017,0,0,0,3,3,3,0,0,0,0,0,0,0,0,3,1787,1662,3450,138,135,274,61,0,65,19,3,24,17,10,31,28,13,38,68,86,156,2137,1915,4048,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,8,0,8,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,4,3,4,20,7,28,29,7,37,0,0,0,0,0,0,0,0,0,0,0,3,273,395,667,251,388,637,20,27,47,2704,2734,5439
