UCL_CODE_2021,Afghanistan_Before_1951,Afghanistan_1951_1960,Afghanistan_1961_1970,Afghanistan_1971_1980,Afghanistan_1981_1990,Afghanistan_1991_2000,Afghanistan_2001_2010,Afghanistan_2011_2015,Afghanistan_2016,Afghanistan_2017,Afghanistan_2018,Afghanistan_2019,Afghanistan_2020,Afghanistan_2021,Afghanistan_Yr_arrival_NS,Afghanistan_Tot,Bangladesh_Before_1951,Bangladesh_1951_1960,Bangladesh_1961_1970,Bangladesh_1971_1980,Bangladesh_1981_1990,Bangladesh_1991_2000,Bangladesh_2001_2010,Bangladesh_2011_2015,Bangladesh_2016,Bangladesh_2017,Bangladesh_2018,Bangladesh_2019,Bangladesh_2020,Bangladesh_2021,Bangladesh_Yr_arrival_NS,Bangladesh_Tot,Canada_Before_1951,Canada_1951_1960,Canada_1961_1970,Canada_1971_1980,Canada_1981_1990,Canada_1991_2000,Canada_2001_2010,Canada_2011_2015,Canada_2016,Canada_2017,Canada_2018,Canada_2019,Canada_2020,Canada_2021,Canada_Yr_arrival_NS,Canada_Tot,China_exc_SARs_Taiw_Bef_1951,China_exc_SARs_Taiwan_51_60,China_exc_SARs_Taiwan_61_70,China_exc_SARs_Taiwan_71_80,China_exc_SARs_Taiwan_81_90,China_exc_SARs_Taiwan_91_00,China_exc_SARs_Taiwan_01_10,China_exc_SARs_Taiwan_11_15,China_exc_SARs_Taiwan_2016,China_exc_SARs_Taiwan_2017,China_exc_SARs_Taiwan_2018,China_exc_SARs_Taiwan_2019,China_exc_SARs_Taiwan_2020,China_exc_SARs_Taiwan_2021,China_exc_SARs_Tawan_arr_ns,China_exc_SARs_Taiwan_Tot,Croatia_Before_1951,Croatia_1951_1960,Croatia_1961_1970,Croatia_1971_1980,Croatia_1981_1990,Croatia_1991_2000,Croatia_2001_2010,Croatia_2011_2015,Croatia_2016,Croatia_2017,Croatia_2018,Croatia_2019,Croatia_2020,Croatia_2021,Croatia_Yr_arrival_NS,Croatia_Tot,Egypt_Before_1951,Egypt_1951_1960,Egypt_1961_1970,Egypt_1971_1980,Egypt_1981_1990,Egypt_1991_2000,Egypt_2001_2010,Egypt_2011_2015,Egypt_2016,Egypt_2017,Egypt_2018,Egypt_2019,Egypt_2020,Egypt_2021,Egypt_Yr_arrival_NS,Egypt_Tot,Fiji_Before_1951,Fiji_1951_1960,Fiji_1961_1970,Fiji_1971_1980,Fiji_1981_1990,Fiji_1991_2000,Fiji_2001_2010,Fiji_2011_2015,Fiji_2016,Fiji_2017,Fiji_2018,Fiji_2019,Fiji_2020,Fiji_2021,Fiji_Yr_arrival_NS,Fiji_Tot,Germany_Before_1951,Germany_1951_1960,Germany_1961_1970,Germany_1971_1980,Germany_1981_1990,Germany_1991_2000,Germany_2001_2010,Germany_2011_2015,Germany_2016,Germany_2017,Germany_2018,Germany_2019,Germany_2020,Germany_2021,Germany_Yr_arrival_NS,Germany_Tot,Greece_Before_1951,Greece_1951_1960,Greece_1961_1970,Greece_1971_1980,Greece_1981_1990,Greece_1991_2000,Greece_2001_2010,Greece_2011_2015,Greece_2016,Greece_2017,Greece_2018,Greece_2019,Greece_2020,Greece_2021,Greece_Yr_arrival_NS,Greece_Tot,Hng_Kng_SAR_China_Bfre_1951,Hng_Kng_SAR_China_1951_1960,Hng_Kng_SAR_China_1961_1970,Hng_Kng_SAR_China_1971_1980,Hng_Kng_SAR_China_1981_1990,Hng_Kng_SAR_China_1991_2000,Hng_Kng_SAR_China_2001_2010,Hng_Kng_SAR_China_2011_2015,Hong_Kong_SAR_China_2016,Hong_Kong_SAR_China_2017,Hong_Kong_SAR_China_2018,Hong_Kong_SAR_China_2019,Hong_Kong_SAR_China_2020,Hong_Kong_SAR_China_2021,Hng_Kng_SAR_Chna_arrival_ns,Hong_Kong_SAR_China_Tot,India_Before_1951,India_1951_1960,India_1961_1970,India_1971_1980,India_1981_1990,India_1991_2000,India_2001_2010,India_2011_2015,India_2016,India_2017,India_2018,India_2019,India_2020,India_2021,India_Yr_arrival_NS,India_Tot,Indonesia_Before_1951,Indonesia_1951_1960,Indonesia_1961_1970,Indonesia_1971_1980,Indonesia_1981_1990,Indonesia_1991_2000,Indonesia_2001_2010,Indonesia_2011_2015,Indonesia_2016,Indonesia_2017,Indonesia_2018,Indonesia_2019,Indonesia_2020,Indonesia_2021,Indonesia_Yr_arrival_ns,Indonesia_Tot,Iran_Before_1951,Iran_1951_1960,Iran_1961_1970,Iran_1971_1980,Iran_1981_1990,Iran_1991_2000,Iran_2001_2010,Iran_2011_2015
UCL101001,0,0,7,92,896,2812,4338,3118,516,485,477,493,219,175,258,13887,0,0,8,162,811,4021,10972,5652,1203,1300,1219,1155,553,229,388,27677,27,102,492,939,1017,1328,2133,1399,342,303,415,483,285,86,134,9506,379,1140,1357,2869,26700,37460,73337,40597,9898,11003,9543,11076,3817,657,5281,235108,73,1002,5193,1681,758,2069,678,191,39,28,39,24,7,9,393,12183,364,1070,2799,1853,2694,2530,2965,2172,492,537,456,378,184,65,523,19062,43,138,389,1938,8816,8567,7385,2625,556,493,649,738,313,50,724,33429,1839,2062,1589,1135,1355,1455,2653,1392,333,327,350,463,210,69,457,15691,333,5046,13015,3081,906,560,450,1121,164,127,103,85,47,17,1340,26401,85,321,933,4076,12085,12801,5652,3412,1012,1064,946,1083,1057,425,721,45660,170,197,1592,2632,6209,15996,52993,36127,11976,13244,15931,17416,6040,1619,2610,184740,55,183,291,1652,4083,7343,8554,4717,1363,1369,1585,1907,797,90,725,34714,9,10,269,990,3307,3325,5535,7353
UCL102001,0,0,0,0,0,0,5,6,0,0,0,0,0,0,0,14,0,0,0,0,0,4,32,35,16,22,17,28,0,0,0,155,0,0,6,9,13,17,15,18,0,0,0,0,5,0,3,81,0,0,10,0,9,24,46,38,11,15,0,4,4,0,10,171,0,16,64,29,11,13,6,8,0,5,0,0,0,0,5,155,0,0,0,6,0,4,4,10,0,10,0,7,3,0,0,48,0,0,0,9,13,20,38,3,0,3,9,0,8,4,3,122,46,42,26,14,17,12,11,5,0,0,0,0,0,0,5,180,3,26,62,13,4,0,0,0,0,0,0,0,0,0,0,117,0,0,0,3,6,3,3,5,0,0,0,0,3,0,6,36,0,0,7,11,10,28,282,258,87,96,131,80,21,3,16,1030,0,0,0,4,3,17,16,17,3,7,5,3,4,0,0,85,0,0,0,0,4,0,8,8
UCL102002,0,0,0,4,4,3,0,6,0,0,0,0,0,0,0,19,0,0,0,5,0,12,27,38,6,12,10,7,3,0,0,131,5,12,50,77,69,109,159,83,11,21,8,13,6,0,11,630,16,48,44,30,198,258,565,346,78,55,40,67,17,4,42,1811,3,52,146,34,5,29,3,9,0,0,3,0,0,0,11,296,23,68,93,38,21,21,20,34,5,22,7,16,5,7,16,404,7,9,18,56,105,89,52,31,14,3,16,14,9,3,10,434,158,250,147,96,92,81,167,69,7,14,5,9,0,0,37,1131,10,89,127,36,10,4,9,5,0,0,0,3,0,0,8,302,11,6,26,38,80,57,45,21,14,6,4,9,7,7,9,345,18,27,55,78,76,134,587,664,129,164,141,134,49,8,37,2309,12,21,18,30,55,70,112,89,12,15,25,38,18,0,3,522,0,0,3,17,31,30,51,55
UCL102003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,14,15,22,13,44,27,0,5,0,0,5,0,5,161,3,0,3,3,19,11,52,32,10,8,7,7,7,0,6,168,0,3,8,3,0,0,0,0,0,0,0,0,0,0,0,20,4,4,4,5,0,0,0,0,0,0,0,0,0,0,0,19,0,7,3,13,6,9,16,3,0,4,0,0,0,0,3,68,39,92,36,29,16,12,29,8,3,3,0,8,4,0,16,300,0,0,5,3,0,0,0,4,0,0,0,0,0,0,0,23,6,5,3,4,8,5,3,5,0,0,0,4,3,3,0,50,10,0,15,7,5,7,69,112,31,15,26,27,3,3,10,355,0,5,3,5,0,7,12,9,0,6,0,3,0,0,3,66,0,0,0,0,4,0,4,0
UCL102004,0,0,0,0,0,0,12,183,25,28,5,37,7,11,7,311,0,0,0,0,6,27,72,83,19,66,39,30,11,0,0,359,8,9,55,67,69,92,184,107,17,22,24,30,13,5,9,694,11,17,18,39,107,157,544,365,102,163,130,154,40,7,50,1905,4,34,141,37,7,33,23,0,0,4,4,0,0,0,14,300,4,21,43,18,10,15,28,13,3,9,8,4,0,8,0,182,4,4,20,30,74,34,55,16,7,3,4,5,4,0,13,268,412,338,91,41,82,54,149,78,10,22,16,13,10,0,46,1373,28,137,190,44,24,8,0,0,5,0,0,0,0,6,22,456,0,5,7,48,74,64,52,46,37,38,18,21,6,0,12,436,14,17,50,80,68,139,744,709,173,156,205,173,83,15,47,2676,3,11,11,11,33,47,116,61,22,39,31,33,19,4,13,448,0,0,0,7,13,8,61,98
UCL102005,0,0,0,0,4,3,11,17,0,0,10,0,0,0,5,55,0,0,0,0,0,8,41,53,13,27,26,27,13,4,0,231,0,3,27,56,52,69,152,77,20,26,28,28,23,7,9,568,0,14,6,27,87,182,557,449,107,131,139,164,48,14,45,1983,0,130,371,89,35,184,108,4,0,0,0,0,0,0,20,943,9,31,36,21,21,14,39,40,5,14,13,23,4,3,11,285,0,8,15,38,63,62,44,21,13,10,15,9,4,3,6,305,189,612,239,85,84,61,91,39,8,12,13,5,5,4,44,1486,12,214,345,82,20,15,9,31,0,0,0,0,0,0,47,775,0,0,8,28,32,44,42,21,4,14,0,12,6,0,7,240,12,11,51,80,48,105,386,569,164,176,294,385,241,11,53,2581,3,10,11,11,21,60,91,49,6,25,15,27,3,0,5,341,0,0,0,7,34,45,75,109
UCL111001,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,23,30,3,4,0,0,6,3,0,65,0,0,6,9,3,7,16,9,0,7,3,0,0,0,0,61,0,0,0,3,4,14,32,31,20,7,9,16,3,0,0,137,0,8,23,10,0,7,0,0,0,0,0,0,0,0,0,47,0,3,0,3,0,0,0,4,0,0,0,0,0,0,0,15,0,0,0,0,15,5,8,4,0,3,0,0,0,0,0,44,41,100,45,13,16,7,5,9,0,3,0,0,7,0,6,252,5,22,14,3,8,0,5,0,0,0,0,0,0,0,0,49,0,0,3,0,6,0,3,4,3,0,0,0,0,0,0,29,4,0,8,9,11,15,277,298,102,120,92,75,30,7,10,1056,0,0,0,0,0,4,6,12,3,0,0,0,0,0,0,39,0,0,0,0,7,6,10,6
UCL111002,0,0,0,0,0,0,0,14,6,11,0,0,0,0,0,36,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,4,0,3,15,20,25,14,22,12,0,5,3,0,9,0,6,131,0,5,6,0,10,16,26,24,0,12,8,9,0,0,3,133,5,0,10,4,0,0,0,0,0,0,0,0,0,0,0,21,0,3,0,0,4,3,9,6,0,0,0,0,0,0,0,27,0,4,3,18,16,13,22,4,0,3,0,0,0,0,3,82,20,47,36,21,31,20,11,8,4,0,0,0,0,0,8,218,0,3,8,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,3,8,6,5,3,10,0,0,0,0,0,0,0,42,0,9,12,10,29,25,151,98,14,23,24,40,15,0,6,458,0,0,0,0,4,3,3,8,0,5,0,0,0,0,0,41,0,0,0,0,0,0,4,6
UCL111003,0,0,0,0,0,0,3,8,3,0,0,0,0,0,0,9,0,0,0,0,0,6,27,15,5,3,0,6,0,0,0,63,0,0,4,5,14,13,27,24,3,0,0,0,0,0,3,97,3,0,6,6,22,25,76,40,20,19,21,24,0,0,8,285,0,0,15,3,0,5,0,0,0,0,0,0,0,0,0,27,0,7,0,0,0,0,14,8,0,0,0,0,0,0,0,32,0,0,4,7,7,21,22,14,0,0,0,0,0,0,0,82,96,73,23,8,11,8,17,9,0,0,3,0,0,0,15,260,0,16,5,0,0,0,4,6,0,0,0,0,0,0,0,25,0,0,4,7,20,5,7,12,0,0,6,0,3,0,0,78,0,5,8,12,10,31,274,256,48,34,38,51,18,5,8,800,0,4,0,0,6,12,21,12,4,0,4,4,0,0,4,59,0,0,0,0,0,0,0,19
UCL112001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,20,22,6,13,27,9,0,0,0,101,0,0,7,9,0,5,10,8,0,3,3,4,0,0,0,64,0,0,0,3,0,16,46,21,9,5,8,22,5,0,5,137,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,9,5,7,0,3,3,5,0,0,0,0,25,0,10,5,8,6,8,3,10,0,0,0,3,0,0,0,69,0,0,0,0,0,0,0,4,0,0,0,0,3,0,3,8,0,0,0,0,9,5,3,0,0,0,0,0,0,0,0,21,4,0,0,4,0,6,61,44,18,23,37,42,15,4,4,266,0,0,0,3,0,5,7,4,0,5,0,4,0,0,0,23,0,0,0,0,3,3,4,19
