UCL_CODE_2021,Ag_For_Fish_OcMngr,Ag_For_Fish_OcProf,Ag_For_Fish_OcTechTrdW,Ag_For_Fish_OcComPerS,Ag_For_Fish_OcClericAdm,Ag_For_Fish_OcSalesWk,Ag_For_Fish_OcMacOp_Driv,Ag_For_Fish_OcLab,Ag_For_Fish_OcID_NS,Agri_for_fish_Tot,Mining_OcMngr,Mining_OcProf,Mining_OcTechTrdW,Mining_OcComPerS,Mining_OcClericAdm,Mining_OcSalesWk,Mining_OcMacOp_Driv,Mining_OcLab,Mining_OcID_NS,Mining_Tot,Manufact_OcMngr,Manufact_OcProf,Manufact_OcTechTrdW,Manufact_OcComPerS,Manufact_OcClericAdm,Manufact_OcSalesWk,Manufact_OcMacOp_Driv,Manufact_OcLab,Manufact_OcID_NS,Manufacturing_Tot,El_Gas_W_W_OcMngr,El_Gas_W_W_OcProf,El_Gas_W_W_OcTechTrdW,El_Gas_W_W_OcComPerS,El_Gas_W_W_OcClericAdm,El_Gas_W_W_OcSalesWk,El_Gas_W_W_OcMacOp_Driv,El_Gas_W_W_OcLab,El_Gas_W_W_OcID_NS,El_Gas_W_W_Tot,Construc_OcMngr,Construc_OcProf,Construc_OcTechTrdW,Construc_OcComPerS,Construc_OcClericAdm,Construc_OcSalesWk,Construc_OcMacOp_Driv,Construc_OcLab,Construc_OcID_NS,Construction_Tot,WhlesaleTde_OcMngr,WhlesaleTde_OcProf,WhlesaleTde_OcTechTrdW,WhlesaleTde_OcComPerS,WhlesaleTde_OcClericAdm,WhlesaleTde_OcSalesWk,WhlesaleTde_OcMacOp_Driv,WhlesaleTde_OcLab,WhlesaleTde_OcID_NS,WhlesaleTde_Tot,RetTde_OcMngr,RetTde_OcProf,RetTde_OcTechTrdW,RetTde_OcComPerS,RetTde_OcClericAdm,RetTde_OcSalesWk,RetTde_OcMacOp_Driv,RetTde_OcLab,RetTde_OcID_NS,RetTde_Tot,Acom_food_OcMngr,Acom_food_OcProf,Acom_food_OcTechTrdW,Acom_food_OcComPerS,Acom_food_OcClericAdm,Acom_food_OcSalesWk,Acom_food_OcMacOp_Driv,Acom_food_OcLab,Acom_food_OcID_NS,Acom_food_scs_Tot,Trans_po_wh_OcMngr,Trans_po_wh_OcProf,Trans_po_wh_OcTechTrdW,Trans_po_wh_OcComPerS,Trans_po_wh_OcClericAdm,Trans_po_wh_OcSalesWk,Trans_po_wh_OcMacOp_Driv,Trans_po_wh_OcLab,Trans_po_wh_OcID_NS,Trans_po_wh_Tot,Infon_med_tel_OcMngr,Infon_med_tel_OcProf,Infon_med_tel_OcTechTrdW,Infon_med_tel_OcComPerS,Infon_med_tel_OcClericAdm,Infon_med_tel_OcSalesWk,Infon_med_tel_OcMacOp_Driv,Infon_med_tel_OcLab,Infon_med_tel_OcID_NS,Infon_med_tel_Tot,Fin_and_ins_s_OcMngr,Fin_and_ins_s_OcProf,Fin_and_ins_s_OcTechTrdW,Fin_and_ins_s_OcComPerS,Fin_and_ins_s_OcClericAdm,Fin_and_ins_s_OcSalesWk,Fin_and_ins_s_OcMacOp_Driv,Fin_and_ins_s_OcLab,Fin_and_ins_s_OcID_NS,Fin_and_ins_s_Tot,Rent_hi_re_es_OcMngr,Rent_hi_re_es_OcProf,Rent_hi_re_es_OcTechTrdW,Rent_hi_re_es_OcComPerS,Rent_hi_re_es_OcClericAdm,Rent_hi_re_es_OcSalesWk,Rent_hi_re_es_OcMacOp_Driv,Rent_hi_re_es_OcLab,Rent_hi_re_es_OcID_NS,Rent_hi_re_es_Tot,Prof_sci_tec_OcMngr,Prof_sci_tec_OcProf,Prof_sci_tec_OcTechTrdW,Prof_sci_tec_OcComPerS,Prof_sci_tec_OcClericAdm,Prof_sci_tec_OcSalesWk,Prof_sci_tec_OcMacOp_Driv,Prof_sci_tec_OcLab,Prof_sci_tec_OcID_NS,Prof_sci_tec_Tot,Admin_sup_s_OcMngr,Admin_sup_s_OcProf,Admin_sup_s_OcTechTrdW,Admin_sup_s_OcComPerS,Admin_sup_s_OcClericAdm,Admin_sup_s_OcSalesWk,Admin_sup_s_OcMacOp_Driv,Admin_sup_s_OcLab,Admin_sup_s_OcID_NS,Admin_sup_s_Tot,Pub_adm_sfty_OcMngr,Pub_adm_sfty_OcProf,Pub_adm_sfty_OcTechTrdW,Pub_adm_sfty_OcComPerS,Pub_adm_sfty_OcClericAdm,Pub_adm_sfty_OcSalesWk,Pub_adm_sfty_OcMacOp_Driv,Pub_adm_sfty_OcLab,Pub_adm_sfty_OcID_NS,Pub_adm_sfty_Tot,Educ_training_OcMngr,Educ_training_OcProf,Educ_training_OcTechTrdW,Educ_training_OcComPerS,Educ_training_OcClericAdm,Educ_training_OcSalesWk,Educ_training_OcMacOp_Driv,Educ_training_OcLab,Educ_training_OcID_NS,Educ_training_Tot,Hlth_care_soc_OcMngr,Hlth_care_soc_OcProf,Hlth_care_soc_OcTechTrdW,Hlth_care_soc_OcComPerS,Hlth_care_soc_OcClericAdm,Hlth_care_soc_OcSalesWk,Hlth_care_soc_OcMacOp_Driv,Hlth_care_soc_OcLab,Hlth_care_soc_OcID_NS,Hlth_care_soc_Tot,ArtRecreatOcMngr,ArtRecreatOcProf,ArtRecreatOcTechTrdW,ArtRecreatOcComPerS,ArtRecreatOcClericAdm,ArtRecreatOcSalesWk,ArtRecreatOcMacOp_Driv,ArtRecreatOcLab,ArtRecreatOcID_NS,ArtRecreatTot,Other_scs_OcMngr,Other_scs_OcProf,Other_scs_OcTechTrdW,Other_scs_OcCom_PS_W,Other_scs_OcClericAdmin,Other_scs_OcSalesWk,Other_scs_OcMacOp_Driv,Other_scs_OcLab,Other_scs_OcID_NS,Other_scs_Tot,ID_NS_OcMngr,ID_NS_OcProf,ID_NS_OcTechTrdW,ID_NS_OcComPerS,ID_NS_OcClericAdm,ID_NS_OcSalesWk,ID_NS_OcMacOp_Driv,ID_NS_OcLab,ID_NS_OcID_NS,ID_NS_Tot
UCL101001,2080,590,599,28,642,256,492,1891,93,6667,870,1016,444,13,388,30,528,111,43,3435,23210,16387,22522,1253,12945,5923,15305,17754,1405,116697,3470,4562,2368,61,2488,439,2601,1191,260,17441,28730,14286,70561,362,18499,2477,8477,21385,2280,167067,19513,15970,4128,163,12545,8323,8783,2683,812,72913,33946,16930,9442,1401,13047,87615,12579,14486,1499,190947,23318,3276,18056,29428,4733,15878,2810,20078,920,118498,12635,9348,4080,2449,24081,4791,47964,5946,1721,113011,10829,27968,5789,228,5848,2937,449,480,587,55114,33039,71413,1562,537,48065,4444,91,190,3116,162467,7531,7597,1052,287,7155,17076,696,915,711,43011,40221,154435,14950,584,32173,4298,696,1206,2326,250883,10723,12913,4216,4468,8272,1687,3121,24246,697,70347,18274,31550,7698,24560,27627,706,1897,3812,2343,118468,17394,112763,3639,28225,18965,492,521,2236,1062,185311,18888,125011,9473,80810,39650,1719,2011,8700,2106,288363,6621,9143,2767,7200,3654,1275,242,1545,476,32926,7913,9435,24210,10890,7953,1324,959,4463,570,67716,17108,19659,9925,3781,13483,6379,10456,8985,19881,109662
UCL102001,23,5,4,0,5,0,6,13,0,60,0,7,3,0,3,0,16,0,0,21,113,54,256,5,88,42,97,74,7,734,16,24,54,0,39,3,51,17,0,209,259,66,1111,0,198,26,237,376,28,2307,49,22,28,3,59,64,66,19,3,308,228,36,103,16,100,935,71,160,14,1655,173,4,148,323,39,187,35,250,5,1176,55,20,29,18,135,23,332,28,9,647,38,91,47,0,34,12,0,6,8,232,26,60,4,0,91,8,0,0,3,198,40,29,10,4,54,128,4,12,0,283,252,737,155,4,312,16,13,9,20,1510,47,72,74,34,85,6,22,288,7,623,1494,1422,178,535,1526,20,32,62,163,5433,126,759,38,317,166,0,4,32,3,1458,122,714,63,801,359,12,16,57,17,2154,48,59,21,102,34,9,0,15,5,290,59,53,349,97,96,12,11,60,5,741,78,96,102,33,105,42,74,83,141,753
UCL102002,160,40,159,3,41,24,33,296,13,763,64,81,179,0,45,7,246,34,3,662,1425,750,1980,76,844,493,1201,1512,91,8364,165,176,386,15,183,32,314,134,16,1422,1863,412,8333,29,1467,198,943,2608,206,16056,724,414,274,8,459,534,408,168,40,3017,2306,520,833,114,707,7763,853,1394,62,14550,1620,144,1131,2395,342,1511,564,2209,71,9989,470,279,273,116,952,209,2372,458,60,5193,448,906,364,9,273,163,197,59,37,2464,777,1416,50,18,2112,211,17,6,60,4671,321,188,74,19,426,1022,39,78,32,2194,1226,4126,964,41,1672,157,30,73,67,8356,469,494,517,357,480,91,151,2041,33,4637,960,1569,609,2167,2505,56,214,420,182,8687,917,6768,225,2318,1058,17,60,199,67,11629,1408,9047,813,9386,3402,130,163,861,149,25366,341,465,223,384,153,62,16,146,21,1823,468,431,2435,810,658,100,67,390,44,5401,733,651,725,262,710,331,500,602,1105,5618
UCL102003,63,12,35,6,9,5,12,78,0,215,23,25,45,3,7,0,69,15,0,182,226,71,340,19,103,75,107,153,13,1107,39,33,75,0,44,4,51,19,3,277,388,78,1691,3,283,31,190,442,43,3155,98,47,33,5,56,93,73,29,3,434,424,93,193,33,141,1614,98,272,23,2894,449,32,339,791,145,313,42,594,32,2730,90,58,24,34,133,48,390,37,5,823,35,92,42,6,38,28,0,11,11,254,65,165,6,0,224,16,0,4,14,501,52,33,11,8,103,254,12,37,9,509,167,719,177,7,309,31,9,19,15,1454,94,97,100,83,83,18,13,465,4,951,122,192,118,315,344,7,39,105,27,1272,185,1384,36,485,201,12,13,45,15,2378,255,1748,156,1682,631,21,37,238,32,4807,72,101,58,97,40,23,11,35,8,439,90,68,424,224,90,15,13,95,10,1023,163,123,144,75,154,77,70,130,245,1183
UCL102004,150,40,63,6,47,11,37,229,9,593,453,562,1181,14,255,10,1190,106,28,3804,1457,1155,2574,83,812,494,1239,844,105,8762,323,529,563,10,314,43,270,123,34,2217,1996,741,7872,29,1322,196,878,2410,140,15582,676,511,484,10,444,578,479,139,31,3347,2222,667,818,157,642,8688,506,1429,53,15186,1775,136,1456,3730,347,1793,452,2752,50,12490,620,544,409,80,1049,158,2688,400,68,6015,215,538,225,8,203,147,28,26,11,1400,775,1835,55,40,2603,219,12,14,98,5652,289,273,99,25,398,945,44,97,32,2200,1310,6556,1289,28,1998,96,43,141,66,11542,488,643,401,444,694,71,185,2130,32,5078,1532,2607,725,1974,2566,74,220,558,228,10482,1289,10148,388,2718,1645,37,49,228,77,16578,1722,14131,966,10987,4246,140,231,1086,196,33710,383,448,133,661,185,92,11,154,26,2094,486,550,2694,1110,602,92,129,448,44,6151,646,747,830,351,653,348,535,519,1018,5649
UCL102005,72,19,45,0,28,10,16,142,8,338,221,275,752,0,110,0,1070,49,31,2518,1179,953,2317,82,626,324,1409,705,115,7707,178,141,341,4,166,29,287,127,31,1308,1353,401,6566,16,1013,156,904,1852,128,12393,501,284,256,3,323,345,341,111,24,2192,1735,402,680,104,513,6639,402,1152,57,11680,1362,98,989,2367,291,1236,482,2025,52,8903,501,289,492,144,977,172,2545,666,64,5857,221,609,176,12,132,82,9,15,15,1259,610,1351,54,23,1989,126,9,10,62,4224,195,142,54,34,301,713,50,59,19,1564,875,4078,943,23,1279,92,76,110,47,7519,345,455,314,253,550,59,122,1890,37,4015,1045,1864,632,2136,2343,49,232,578,193,9066,1075,8025,311,2108,1385,32,38,192,66,13236,1258,8148,668,8102,2920,108,151,700,145,22201,322,388,148,454,139,66,10,120,21,1678,373,434,2168,773,480,71,87,340,35,4752,500,560,680,259,555,250,411,473,890,4575
UCL111001,105,23,26,4,30,14,23,58,4,288,5,0,22,0,3,0,13,5,4,51,341,178,509,21,177,96,310,418,29,2072,20,16,48,0,17,3,48,20,0,176,304,60,1383,8,255,40,159,295,23,2525,107,51,56,0,85,132,83,27,5,537,371,85,156,23,110,1492,173,251,16,2678,330,10,292,496,56,253,75,410,15,1943,94,36,49,31,214,38,574,58,10,1092,28,81,25,3,17,30,3,4,0,190,52,125,5,4,182,6,3,0,9,387,30,27,11,0,61,144,3,18,5,307,102,550,121,9,227,14,0,13,0,1043,42,70,63,55,65,6,28,421,11,763,219,391,123,321,565,3,39,68,48,1773,195,1475,52,492,240,4,4,49,5,2522,245,1641,115,1761,561,13,31,170,37,4572,47,36,24,68,23,12,5,27,7,242,83,61,445,167,66,20,12,79,0,927,87,62,136,57,96,61,127,133,185,956
UCL111002,192,39,28,0,24,8,20,275,15,601,8,3,19,0,3,0,21,3,0,66,115,28,209,10,77,63,84,70,3,665,12,16,48,0,18,8,38,23,0,167,213,52,949,3,180,17,164,331,21,1934,70,22,40,0,61,95,87,33,0,405,376,52,156,18,114,1419,100,259,14,2505,363,11,270,548,117,290,43,459,17,2116,58,20,39,18,145,35,304,35,5,662,31,61,22,0,25,27,0,4,7,182,54,117,9,10,175,17,0,0,10,390,36,20,15,0,70,162,5,7,9,326,93,522,113,5,232,7,4,8,13,999,69,63,63,68,81,16,9,451,4,821,153,272,80,235,427,11,20,78,33,1296,139,1128,56,423,171,0,3,46,6,1975,227,1761,122,1592,556,23,29,164,20,4496,45,53,45,63,33,15,6,29,0,297,59,75,408,131,93,18,14,73,7,872,71,75,85,71,84,62,70,145,185,845
UCL111003,56,14,30,3,20,13,32,236,4,416,179,220,835,8,139,11,924,83,24,2418,389,234,813,16,271,154,499,577,47,3011,73,78,158,3,89,18,112,53,10,602,377,138,1716,7,361,72,391,693,41,3805,155,117,252,3,158,158,187,70,15,1107,643,97,270,42,206,2484,172,457,19,4385,404,25,345,712,82,458,141,723,10,2904,169,61,143,16,357,43,990,97,21,1886,52,55,52,0,37,48,7,11,6,249,105,240,20,5,550,35,0,12,13,989,66,26,40,10,94,203,12,30,9,492,197,914,312,5,424,19,24,50,19,1967,104,147,99,105,216,19,188,711,14,1608,279,496,288,666,690,20,67,165,61,2736,264,1796,92,749,289,7,10,62,19,3288,352,2172,237,2930,925,27,43,239,45,6968,59,59,29,99,27,26,3,27,7,334,125,96,903,304,163,25,37,147,9,1818,149,119,258,98,178,86,219,222,294,1610
UCL112001,103,36,28,0,18,7,15,171,4,387,9,9,8,0,0,0,24,0,0,50,39,21,103,5,15,28,25,41,0,271,12,5,15,0,0,0,14,9,0,60,74,18,299,0,42,0,45,86,4,575,18,11,5,0,18,38,17,10,0,112,129,21,59,12,36,500,26,110,0,889,121,0,108,217,23,86,32,184,3,786,20,6,11,7,30,8,96,0,0,179,15,31,4,15,10,14,0,4,0,92,29,44,4,0,69,6,0,0,4,150,10,0,0,0,17,37,0,4,0,81,40,271,45,5,106,0,0,7,3,484,18,27,21,19,34,3,5,167,0,296,87,134,28,73,106,3,20,46,15,513,177,1117,92,251,229,3,3,45,3,1932,71,542,43,576,177,13,6,74,14,1513,19,22,3,22,13,0,3,16,5,108,20,27,126,49,36,11,5,20,0,294,25,33,22,19,19,17,18,32,57,241
