UCL_CODE_2021,CANA_HNA_MHC_dep_anx,CANA_HNA_Stroke,CANA_HNA_oth_LTHC,CANA_HNA_no_LTHC,CANA_HNA_LTHC_NS,CANA_HNA_Tot,CANA_dsnt_HNA_Arth,CANA_dsnt_HNA_Asth,CANA_dsnt_HNA_Can_rem,CANA_dsnt_HNA_Dem_Alzh,CANA_dsnt_HNA_Dis_ges_dia,CANA_dsnt_HNA_HD_HA_ang,CANA_dsnt_HNA_Kid_dis,CANA_dsnt_HNA_LC_COPD_emph,CANA_dsnt_HNA_MHC_dep_anx,CANA_dsnt_HNA_Stroke,CANA_dsnt_HNA_oth_LTHC,CANA_dsnt_HNA_no_LTHC,CANA_dsnt_HNA_LTHC_NS,CANA_dsnt_HNA_Tot,CANA_NFA_NS_Arth,CANA_NFA_NS_Asth,CANA_NFA_NS_Can_rem,CANA_NFA_NS_Dem_Alzh,CANA_NFA_NS_Dia_ges_dia,CANA_NFA_NS_HD_HA_ang,CANA_NFA_NS_Kid_dis,CANA_NFA_NS_LC_COPD_emph,CANA_NFA_NS_MHC_dep_anx,CANA_NFA_NS_Stroke,CANA_NFA_NS_oth_LTHC,CANA_NFA_NS_no_LTHC,CANA_NFA_NS_LTHC_NS,CANA_NFA_NS_Tot,CANA_Tot_Arth,CANA_Tot_Asth,CANA_Tot_Can_rem,CANA_Tot_Dem_Alzh,CANA_Tot_Dia_ges_dia,CANA_Tot_HD_HA_ang,CANA_Tot_Kid_dis,CANA_Tot_LC_COPD_emph,CANA_Tot_MHC_dep_anx,CANA_Tot_Stroke,CANA_Tot_oth_LTHC,CANA_Tot_no_LTHC,CANA_Tot_LTHC_NS,CANA_Tot_Tot,ADFS_CS_Arth,ADFS_CS_Asth,ADFS_CS_Can_rem,ADFS_CS_Dem_Alzh,ADFS_CS_Dia_ges_dia,ADFS_CS_HD_HA_ang,ADFS_CS_Kid_dis,ADFS_CS_LC_COPD_emph,ADFS_CS_MHC_dep_anx,ADFS_CS_Stroke,ADFS_CS_oth_LTHC,ADFS_CS_no_LTHC,ADFS_CS_LTHC_NS,ADFS_CS_Tot,ADFS_PS_NCS_Arth,ADFS_PS_NCS_Asth,ADFS_PS_NCS_Can_rem,ADFS_PS_NCS_Dem_Alzh,ADFS_PS_NCS_Dia_ges_dia,ADFS_PS_NCS_HD_HA_ang,ADFS_PS_NCS_Kid_dis,ADFS_PS_NCS_LC_COPD_emph,ADFS_PS_NCSMHC_dep_anx,ADFS_PS_NCS_Stroke,ADFS_PS_NCS_oth_LTHC,ADFS_PS_NCS_no_LTHC,ADFS_PS_NCS_LTHC_NS,ADFS_PS_NCS_Tot,ADFS_Tot_Ser_Arth,ADFS_Tot_Ser_Asth,ADFS_Tot_Ser_Can_rem,ADFS_Tot_Ser_Dem_Alzh,ADFS_Tot_Ser_Dia_ges_dia,ADFS_Tot_Ser_HD_HA_ang,ADFS_Tot_Ser_Kid_dis,ADFS_Tot_Ser_LC_COPD_emph,ADFS_Tot_SerMHC_dep_anx,ADFS_Tot_Ser_Stroke,ADFS_Tot_Ser_oth_LTHC,ADFS_Tot_Ser_no_LTHC,ADFS_Tot_Ser_LTHC_NS,ADFS_Tot_Ser_Tot,ADFS_HNS_Arth,ADFS_HNS_Asth,ADFS_HNS_Can_rem,ADFS_HNS_Dem_Alzh,ADFS_HNS_Dia_ges_dia,ADFS_HNS_HD_HA_ang,ADFS_HNS_Kid_dis,ADFS_HNS_LC_COPD_emph,ADFS_HNS_MHC_dep_anx,ADFS_HNS_Stroke,ADFS_HNS_oth_LTHC,ADFS_HNS_no_LTHC,ADFS_HNS_LTHC_NS,ADFS_HNS_Tot,ADFS_NS_Arth,ADFS_NS_Asth,ADFS_NS_Can_rem,ADFS_NS_Dem_Alzh,ADFS_NS_Dia_ges_dia,ADFS_NS_HD_HA_ang,ADFS_NS_Kid_dis,ADFS_NS_LC_COPD_ang,ADFS_NS_MHC_dep_anx,ADFS_NS_Stroke,ADFS_NS_oth_LTHC,ADFS_NS_no_LTHC,ADFS_NS_LTHC_NS,ADFS_NS_Tot,ADFS_Tot_Arth,ADFS_Tot_Asth,ADFS_Tot_Can_rem,ADFS_Tot_Dem_Alzh,ADFS_Tot_Dia_ges_dia,ADFS_Tot_HD_HA_ang,ADFS_Tot_Kid_dis,ADFS_Tot_LC_COPD_emph,ADFS_Tot_MHC_dep_anx,ADFS_Tot_Stroke,ADFS_Tot_oth_LTHC,ADFS_Tot_no_LTHC,ADFS_Tot_LTHC_NS,ADFS_Tot_Tot
UCL101001,57021,16161,87254,27681,4604,236834,220371,277210,83779,4014,162376,106743,21911,32593,231014,16282,249136,3057475,117079,4206273,3497,2252,1197,1970,2201,2087,561,711,3062,595,3645,21817,221934,255551,293938,305318,107166,30900,210786,150036,35424,50660,291098,33038,340039,3106972,343614,4698656,627,568,136,18,117,144,43,52,799,33,656,9778,362,12471,9283,2978,4370,1110,5422,7483,1325,2445,4858,1537,5474,17727,1191,43789,9910,3544,4507,1128,5544,7625,1367,2497,5661,1570,6138,27502,1545,56261,278976,252649,100556,26098,201558,138398,32480,46522,270230,30340,300700,2344564,97321,3566037,4428,1790,1388,3634,2600,2812,778,988,3863,967,4538,14942,182249,210231,293308,257977,106443,30857,209703,148836,34628,50007,279756,32876,311373,2387006,281126,3832530
UCL102001,589,146,739,156,29,1845,2770,3114,831,30,1472,895,293,465,3336,175,2629,21826,1033,33827,30,23,9,0,11,11,6,3,22,3,18,127,1626,1835,3399,3415,1006,222,1771,1229,446,659,3943,323,3384,22110,2684,37511,103,56,23,0,22,12,5,5,96,4,104,686,14,1009,265,109,82,9,131,110,36,47,238,26,184,645,27,1392,367,165,105,10,154,127,34,56,331,34,288,1333,44,2397,2990,2745,884,206,1587,1083,398,593,3409,284,2772,15234,812,26761,37,8,12,10,14,17,6,4,26,9,16,99,1326,1515,3396,2926,1002,222,1755,1225,440,649,3768,323,3072,16660,2186,30675
UCL102002,7155,1806,8768,2008,582,23173,29261,27660,9464,547,13982,11959,2621,5829,28214,2402,20237,172276,10591,284437,622,282,211,471,286,359,97,166,616,115,392,1349,14547,17646,37495,31506,12182,3552,17888,16431,4190,8733,35987,4322,29397,175630,25717,325255,28,19,10,0,3,3,3,12,20,3,19,262,7,349,1929,607,744,229,1078,1321,295,614,1106,345,960,2318,196,7135,1955,626,751,229,1086,1330,299,618,1126,347,981,2581,207,7481,34560,25814,11101,2588,16267,14419,3659,7796,32162,3759,24949,127090,8530,243778,921,352,270,730,433,588,153,265,773,196,569,856,11930,15225,37431,26794,12118,3550,17784,16335,4111,8675,34066,4299,26496,130528,20669,266486
UCL102003,1529,393,1762,361,122,5169,6217,4663,2037,144,2176,2744,563,1344,4456,499,3628,33492,2158,54606,114,54,47,116,53,85,27,37,111,34,171,259,3264,3948,8179,5425,2782,929,2942,3880,945,2045,6099,927,5555,34108,5547,63721,4,4,0,0,0,4,0,0,3,0,0,64,7,89,565,151,213,80,225,395,59,167,333,73,315,654,62,2032,568,157,222,80,225,398,59,169,337,73,313,712,70,2117,7427,4541,2492,678,2620,3346,836,1803,5356,794,4625,25441,1865,48235,170,60,66,166,77,116,39,58,122,57,193,218,2655,3411,8168,4761,2773,924,2919,3866,933,2033,5815,923,5136,26368,4588,53762
UCL102004,7742,1879,8943,1878,466,23403,28539,30469,9031,545,13514,12108,2590,4941,34485,1972,22411,188096,11626,309376,371,284,109,128,174,195,49,105,312,51,189,1329,13277,15759,37005,34404,11599,3619,17656,16840,4136,7544,42534,3907,31542,191302,25368,348539,87,71,17,0,21,15,0,4,99,0,115,1296,36,1667,2024,636,823,253,1084,1419,293,545,1350,322,1128,3034,258,8398,2118,709,835,253,1108,1430,294,543,1444,323,1241,4325,291,10061,34144,28036,10500,2865,16159,14908,3661,6779,38889,3438,26965,139715,9185,264496,685,246,192,503,285,387,118,151,431,127,600,773,11350,13859,36952,28995,11531,3619,17546,16726,4076,7474,40765,3893,28808,144820,20828,288407
UCL102005,5717,1445,7061,1831,377,19419,22038,21720,6736,330,11055,8054,2207,3996,23029,1555,17348,157206,8963,247386,417,185,136,228,193,204,55,79,323,73,342,1084,11103,13347,29232,24569,8877,2411,14758,11637,3496,6142,29076,3079,24752,160126,20448,280153,24,28,4,4,7,10,0,0,40,0,28,364,13,491,1041,314,407,96,563,700,177,325,678,152,589,1632,135,4407,1061,346,412,98,574,710,180,328,713,150,618,1998,150,4899,27563,20136,8276,1923,13860,10530,3153,5653,26806,2800,21465,118125,7377,214162,559,162,137,393,243,310,98,107,407,108,429,652,8984,10985,29188,20646,8827,2408,14679,11550,3433,6099,27925,3064,22516,120772,16510,230048
UCL111001,1251,299,1365,394,77,3859,4222,4886,1454,62,2040,1871,365,822,5097,331,3170,28591,1675,46711,46,48,21,3,34,29,10,16,39,11,21,249,2709,3109,5522,5522,1869,471,2668,2574,571,1208,6389,643,4559,29233,4461,53677,15,3,4,0,3,0,0,0,14,0,16,127,0,169,356,118,153,25,176,260,51,110,253,60,173,481,27,1398,369,127,159,25,182,260,52,110,267,60,190,608,29,1574,5013,4593,1666,402,2432,2251,493,1073,5766,570,3885,20783,1344,39537,115,40,37,41,37,47,14,19,58,14,22,157,2128,2511,5502,4759,1859,469,2648,2555,556,1205,6092,640,4090,21545,3507,43620
UCL111002,1232,318,1444,320,115,3879,5010,3987,1481,110,1857,2052,381,1079,4496,346,3114,26329,1704,43793,84,38,20,77,32,54,15,17,84,13,76,239,2863,3399,6465,4605,1985,606,2472,2884,656,1581,5807,671,4631,26883,4685,51069,3,7,0,0,0,0,0,0,5,0,0,29,6,40,391,90,153,34,181,251,57,113,213,54,183,451,27,1363,395,93,157,34,181,251,57,114,215,54,181,482,33,1406,5926,3795,1775,453,2219,2534,576,1419,5215,600,3956,19406,1410,37831,138,52,40,116,51,87,16,34,104,12,94,172,2381,2944,6461,3936,1975,605,2454,2875,647,1567,5533,665,4237,20056,3827,42183
UCL111003,2241,466,2416,562,132,6211,7485,8780,1971,116,4006,2871,624,1342,9643,495,5693,47557,3221,79700,81,67,11,5,45,38,5,16,73,3,43,358,3085,3686,9569,10004,2577,609,5113,4044,1001,2014,11962,965,8147,48481,6440,89597,38,33,11,0,3,4,0,0,53,3,32,433,26,605,605,206,203,44,342,352,68,149,424,80,299,827,64,2303,651,234,213,44,346,359,68,149,480,82,336,1257,89,2907,8784,7862,2306,527,4665,3590,896,1823,10664,855,6651,32916,2389,64875,108,44,31,36,52,58,17,17,80,17,53,201,2359,2829,9546,8142,2549,609,5060,4001,982,1986,11225,954,7041,34380,4839,70615
UCL112001,322,103,454,122,24,1199,1449,1827,550,33,720,654,141,282,1904,100,1353,11166,607,17934,25,26,10,0,16,8,0,8,10,0,12,90,2027,2180,1828,2047,675,135,905,879,182,412,2241,208,1815,11380,2657,21312,0,0,0,0,0,0,0,0,0,0,0,16,0,26,81,33,40,7,40,69,10,17,53,14,53,150,16,392,81,33,40,7,40,70,6,17,52,14,53,172,14,424,1711,1741,624,122,847,788,172,383,2093,183,1612,8274,495,15293,27,15,8,5,15,13,4,7,12,4,14,61,1670,1802,1821,1788,674,135,895,870,179,412,2160,204,1675,8507,2178,17514
