UCL_CODE_2021,NegNil_inc_Emp_WFT,NegNil_inc_Emp_WPT,NegNil_inc_Emp_AW,NegNil_inc_E_T,NegNil_inc_UnE_lfw_FTW,NegNil_inc_UnE_lfw_PTW,NegNil_inc_UnE_lfw_Tot,NegNil_inc_T_LF,NegNil_inc_Notin_LF,NegNil_inc_LF_sta_NS,NegNil_inc_Tot,I_1_149_Emp_WFT,I_1_149_Emp_WPT,I_1_149_Emp_AW,I_1_149_E_T,I_1_149_UnE_lfw_FTW,I_1_149_UnE_lfw_PTW,I_1_149_UnE_lfw_Tot,I_1_149_T_LF,I_1_149_Notin_LF,I_1_149_LF_sta_NS,I_1_149_Tot,I_150_299_Emp_WFT,I_150_299_Emp_WPT,I_150_299_Emp_AW,I_150_299_E_T,I_150_299_UnE_lfw_FTW,I_150_299_UnE_lfw_PTW,I_150_299_UnE_lfw_Tot,I_150_299_T_LF,I_150_299_Notin_LF,I_150_299_LF_sta_NS,I_150_299_Tot,I_300_399_Emp_WFT,I_300_399_Emp_WPT,I_300_399_Emp_AW,I_300_399_E_T,I_300_399_UnE_lfw_FTW,I_300_399_UnE_lfw_PTW,I_300_399_UnE_lfw_Tot,I_300_399_T_LF,I_300_399_Notin_LF,I_300_399_LF_sta_NS,I_300_399_Tot,I_400_499_Emp_WFT,I_400_499_Emp_WPT,I_400_499_Emp_AW,I_400_499_E_T,I_400_499_UnE_lfw_FTW,I_400_499_UnE_lfw_PTW,I_400_499_UnE_lfw_Tot,I_400_499_T_LF,I_400_499_Notin_LF,I_400_499_LF_sta_NS,I_400_499_Tot,I_500_649_Emp_WFT,I_500_649_Emp_WPT,I_500_649_Emp_AW,I_500_649_E_T,I_500_649_UnE_lfw_FTW,I_500_649_UnE_lfw_PTW,I_500_649_UnE_lfw_Tot,I_500_649_T_LF,I_500_649_Notin_LF,I_500_649_LF_sta_NS,I_500_649_Tot,I_650_799_Emp_WFT,I_650_799_Emp_WPT,I_650_799_Emp_AW,I_650_799_E_T,I_650_799_UnE_lfw_FTW,I_650_799_UnE_lfw_PTW,I_650_799_UnE_lfw_Tot,I_650_799_T_LF,I_650_799_Notin_LF,I_650_799_LF_sta_NS,I_650_799_Tot,I_800_999_Emp_WFT,I_800_999_Emp_WPT,I_800_999_Emp_AW,I_800_999_E_T,I_800_999_UnE_lfw_FTW,I_800_999_UnE_lfw_PTW,I_800_999_UnE_lfw_Tot,I_800_999_T_LF,I_800_999_Notin_LF,I_800_999_LF_sta_NS,I_800_999_Tot,I_1000_1249_Emp_WFT,I_1000_1249_Emp_WPT,I_1000_1249_Emp_AW,I_1000_1249_E_T,I_1000_1249_UnE_lfw_FTW,I_1000_1249_UnE_lfw_PTW,I_1000_1249_UnE_lfw_Tot,I_1000_1249_T_LF,I_1000_1249_Notin_LF,I_1000_1249_LF_sta_NS,I_1000_1249_Tot,I_1250_1499_Emp_WFT,I_1250_1499_Emp_WPT,I_1250_1499_Emp_AW,I_1250_1499_E_T,I_1250_1499_UnE_lfw_FTW,I_1250_1499_UnE_lfw_PTW,I_1250_1499_UnE_lfw_Tot,I_1250_1499_T_LF,I_1250_1499_Notin_LF,I_1250_1499_LF_sta_NS,I_1250_1499_Tot,I_1500_1749_Emp_WFT,I_1500_1749_Emp_WPT,I_1500_1749_Emp_AW,I_1500_1749_E_T,I_1500_1749_UnE_lfw_FTW,I_1500_1749_UnE_lfw_PTW,I_1500_1749_UnE_lfw_Tot,I_1500_1749_T_LF,I_1500_1749_Notin_LF,I_1500_1749_LF_sta_NS,I_1500_1749_Tot,I_1750_1999_Emp_WFT,I_1750_1999_Emp_WPT,I_1750_1999_Emp_AW,I_1750_1999_E_T,I_1750_1999_UnE_lfw_FTW,I_1750_1999_UnE_lfw_PTW,I_1750_1999_UnE_lfw_Tot,I_1750_1999_T_LF,I_1750_1999_Notin_LF,I_1750_1999_LF_sta_NS,I_1750_1999_Tot,I_2000_2499_Emp_WFT,I_2000_2499_Emp_WPT,I_2000_2499_Emp_AW,I_2000_2499_E_T,I_2000_2499_UnE_lfw_FTW,I_2000_2499_UnE_lfw_PTW,I_2000_2499_UnE_lfw_Tot,I_2000_2499_T_LF,I_2000_2499_Notin_LF,I_2000_2499_LF_sta_NS,I_2000_2499_Tot,I_2500_2999_Emp_WFT,I_2500_2999_Emp_WPT,I_2500_2999_Emp_AW,I_2500_2999_E_T,I_2500_2999_UnE_lfw_FTW,I_2500_2999_UnE_lfw_PTW,I_2500_2999_UnE_lfw_Tot,I_2500_2999_T_LF,I_2500_2999_Notin_LF,I_2500_2999_LF_sta_NS,I_2500_2999_Tot,I_3000_3499_Emp_WFT,I_3000_3499_Emp_WPT,I_3000_3499_Emp_AW,I_3000_3499_E_T,I_3000_3499_UnE_lfw_FTW,I_3000_3499_UnE_lfw_PTW,I_3000_3499_UnE_lfw_Tot,I_3000_3499_T_LF,I_3000_3499_Notin_LF,I_3000_3499_LF_sta_NS,I_3000_3499_Tot,I_3500_3999_Emp_WFT,I_3500_3999_Emp_WPT,I_3500_3999_Emp_AW,I_3500_3999_E_T,I_3500_3999_UnE_lfw_FTW,I_3500_3999_UnE_lfw_PTW,I_3500_3999_UnE_lfw_Tot,I_3500_3999_T_LF,I_3500_3999_Notin_LF,I_3500_3999_LF_sta_NS,I_3500_3999_Tot,I_4000more_Emp_WFT,I_4000more_Emp_WPT,I_4000more_Emp_AW,I_4000more_E_T,I_4000more_UnE_lfw_FTW,I_4000more_UnE_lfw_PTW,I_4000more_UnE_lfw_Tot,I_4000more_T_LF,I_4000more_Notin_LF,I_4000more_LF_sta_NS,I_4000more_Tot,Part_inc_sta_Emp_WFT,Part_inc_sta_Emp_WPT,Part_inc_sta_Emp_AW,Part_inc_sta_E_T,Part_inc_sta_UnE_lfw_FTW,Part_inc_sta_UnE_lfw_PTW,Part_inc_sta_UnE_lfw_Tot,Part_inc_sta_T_LF,Part_inc_sta_Notin_LF,Part_inc_sta_LF_sta_NS,Part_inc_sta_Tot,All_inc_NS_Emp_WFT,All_inc_NS_Emp_WPT
UCL101001,53,74,81,199,244,163,406,611,4583,47,5234,21,102,33,160,49,50,95,254,872,10,1139,24,248,105,378,123,140,262,642,1775,12,2431,45,482,189,720,160,197,355,1072,2833,18,3918,86,789,312,1187,206,251,457,1642,4970,27,6645,249,1687,590,2523,340,412,753,3272,6780,34,10083,746,2578,972,4294,322,297,618,4914,6965,50,11926,1789,3145,993,5932,268,237,503,6439,8893,70,15401,3499,3663,1141,8299,233,185,417,8721,8325,50,17098,4403,3423,1133,8956,246,214,459,9413,7122,53,16591,4671,2510,781,7960,171,112,286,8250,4986,35,13264,4608,2020,682,7309,142,104,244,7552,4131,30,11715,10367,3357,1288,15015,207,134,339,15350,6265,28,21650,4384,1649,667,6698,108,71,175,6877,3569,8,10454,4291,1128,411,5835,68,36,109,5944,1750,13,7705,1765,536,198,2493,33,18,52,2549,1012,5,3567,7269,1387,431,9089,112,43,152,9243,2182,29,11454,3478,1624,837,5934,181,127,303,6241,3878,471,10587,161,111
UCL102001,0,0,0,0,0,0,0,3,19,0,26,0,0,0,0,0,0,0,0,0,0,3,0,0,3,3,0,0,0,4,12,0,17,0,0,0,4,0,0,0,3,28,0,33,0,11,0,10,5,5,8,17,46,0,59,3,20,5,29,8,5,6,39,52,0,92,9,25,3,39,3,0,4,44,34,0,80,23,31,5,62,5,3,9,76,62,0,136,51,32,8,87,3,6,6,90,45,0,140,59,33,11,93,3,3,5,101,33,0,128,75,28,3,110,0,0,0,113,33,0,146,91,22,3,110,0,0,0,117,22,0,139,146,20,7,173,0,0,0,174,41,0,215,65,12,6,86,0,0,0,86,23,0,101,63,7,3,70,0,0,0,70,13,0,87,29,4,3,36,0,0,0,36,4,0,42,58,6,4,69,0,0,0,69,10,0,75,59,9,11,76,0,0,0,75,36,0,116,0,0
UCL102002,3,8,11,22,17,7,24,47,198,3,251,0,6,4,11,3,3,8,25,46,0,64,6,23,11,34,8,8,14,52,126,0,176,0,44,13,64,14,12,30,89,238,5,331,4,86,42,138,24,21,47,185,456,7,641,29,282,92,401,33,53,92,493,766,5,1262,89,463,143,696,37,43,81,780,763,0,1539,236,504,157,899,31,30,58,959,1013,15,1986,476,554,156,1179,24,20,47,1225,922,13,2162,511,481,99,1087,25,22,43,1128,713,4,1848,478,293,66,847,11,8,22,869,384,9,1253,479,249,78,806,12,9,17,828,300,6,1126,903,329,101,1330,13,3,19,1352,367,3,1722,380,143,38,553,4,0,3,562,185,0,745,266,78,7,358,0,0,0,361,58,0,414,111,25,12,141,0,0,0,141,21,0,166,240,40,12,297,3,0,9,300,75,0,377,364,202,80,648,17,8,27,671,374,35,1080,13,17
UCL102003,0,0,0,3,0,0,0,6,32,0,39,0,0,0,5,6,0,9,7,19,0,30,0,3,0,6,0,3,6,13,19,0,32,3,12,4,16,0,3,0,21,26,0,48,0,22,4,25,7,3,7,32,80,0,115,5,66,6,82,8,10,14,94,114,0,206,16,107,11,130,0,7,8,141,105,3,252,56,104,23,177,9,5,9,190,188,4,382,80,116,18,210,4,4,8,220,197,0,419,103,112,16,229,0,3,3,229,117,0,352,83,57,9,152,4,0,4,153,77,0,235,91,30,10,127,0,0,0,127,61,0,186,121,49,10,178,0,0,0,184,62,0,241,58,22,6,88,0,0,0,90,30,0,117,30,10,8,45,0,0,0,44,6,0,54,5,0,0,12,0,0,0,12,3,0,11,22,14,0,33,0,0,0,33,11,3,47,83,47,17,145,4,0,3,149,79,3,234,0,3
UCL102004,0,9,9,16,13,4,20,35,165,4,209,3,10,3,9,6,3,7,19,42,0,62,0,36,11,46,13,8,19,68,102,3,169,5,49,11,63,28,23,49,111,192,0,303,9,81,24,115,20,34,48,168,394,9,568,31,250,49,330,39,46,88,415,576,3,1001,74,449,75,596,27,36,65,656,568,4,1226,241,519,55,815,22,27,51,865,910,9,1779,475,583,57,1112,13,29,41,1157,780,13,1946,582,469,59,1103,16,15,28,1137,570,0,1710,558,307,44,912,6,5,20,927,361,5,1295,560,226,39,824,10,7,13,839,254,0,1097,1007,332,60,1400,13,5,16,1421,339,0,1755,416,147,29,598,8,4,10,606,167,7,775,308,75,19,401,6,4,10,412,58,5,473,102,28,8,137,0,0,0,140,29,0,168,250,55,15,322,3,0,3,327,64,3,389,420,231,46,700,21,8,27,728,332,21,1083,16,17
UCL102005,3,6,0,11,8,11,25,30,146,4,181,0,0,7,8,4,0,4,15,50,0,62,4,21,8,38,12,4,14,49,111,0,157,5,39,11,53,11,13,27,84,237,4,319,13,73,26,105,17,16,31,138,417,3,558,34,183,68,287,22,31,54,337,572,3,912,54,315,104,475,14,26,36,512,585,4,1099,150,410,104,666,16,20,38,700,835,13,1544,326,355,86,768,18,22,40,802,700,7,1509,369,349,86,802,8,16,23,825,561,9,1390,374,229,61,653,9,0,12,670,310,8,982,366,167,39,571,7,8,14,580,241,6,824,661,276,83,1024,16,3,17,1040,296,3,1341,273,87,30,389,0,3,3,395,141,3,543,256,66,23,341,6,0,5,349,57,0,405,105,19,5,124,0,0,0,124,25,0,154,190,55,16,262,7,3,7,269,68,0,339,281,138,58,475,16,13,29,511,276,30,816,13,15
UCL111001,0,0,0,0,6,3,5,3,31,0,31,0,0,0,0,0,0,0,0,9,0,5,3,3,0,10,3,3,5,18,25,0,33,0,13,0,14,5,4,11,27,32,0,58,3,19,0,25,4,7,13,43,87,0,125,10,60,8,84,11,27,33,119,143,0,265,17,100,16,129,7,12,14,144,126,0,272,56,99,9,162,3,7,7,169,130,6,303,125,112,6,243,9,5,9,255,106,0,359,91,76,9,184,3,5,10,193,59,0,254,80,53,6,139,4,0,3,146,52,0,192,74,33,5,113,4,0,4,113,41,0,153,147,41,6,189,0,0,0,196,38,0,228,52,14,4,72,0,0,0,72,12,0,82,20,8,0,31,0,0,0,31,4,0,37,11,0,0,13,0,0,0,13,0,0,15,19,0,0,26,0,0,0,24,6,0,38,53,32,8,91,3,4,5,98,51,9,159,4,3
UCL111002,0,0,0,0,4,0,0,5,27,0,31,0,3,0,3,0,0,0,3,19,0,15,0,4,0,5,0,7,7,12,20,0,33,0,11,5,15,8,0,8,27,32,0,58,0,20,0,21,5,4,17,36,67,8,110,9,84,9,97,4,7,14,118,122,0,232,28,99,16,139,3,9,11,153,121,0,273,59,100,12,165,4,7,6,179,132,0,314,88,113,10,205,0,5,7,220,140,0,359,120,76,9,210,3,3,13,219,116,0,338,107,53,11,164,6,0,4,169,59,0,231,73,42,5,125,5,0,5,124,35,0,156,119,34,7,158,0,0,3,161,35,0,197,45,9,0,51,0,0,0,51,19,0,69,24,13,3,41,0,0,0,41,3,0,47,11,0,0,8,0,0,0,8,4,0,11,28,3,0,36,0,0,0,37,21,0,50,73,48,8,124,0,0,4,134,62,12,200,3,4
UCL111003,0,4,0,7,0,0,0,10,31,0,43,0,0,0,0,0,4,4,9,16,0,19,0,3,0,8,11,0,11,20,34,0,54,0,16,4,19,5,8,10,33,61,0,92,4,33,6,38,10,16,23,61,147,0,212,3,76,10,91,13,10,27,116,206,0,317,33,148,30,213,21,14,37,254,184,0,437,89,177,24,289,11,10,24,311,261,4,576,151,201,17,367,9,4,11,379,221,0,606,191,98,19,304,8,5,12,312,151,0,467,181,73,15,267,0,4,8,273,87,0,359,141,55,13,214,0,3,0,216,83,0,296,280,90,16,391,4,0,3,391,74,0,472,112,45,6,158,0,0,0,163,27,0,189,70,21,4,92,0,0,0,95,13,0,108,24,3,5,35,0,0,0,35,6,0,38,47,13,0,64,0,0,0,66,21,0,80,97,55,15,166,8,5,9,170,76,10,258,4,3
UCL112001,0,0,0,4,0,0,5,4,11,0,12,0,0,0,0,0,0,0,0,3,0,4,0,4,4,7,0,0,0,7,10,0,16,0,8,0,8,3,0,6,14,9,0,19,0,9,0,7,3,3,6,15,35,0,43,7,22,3,28,0,0,7,31,56,0,89,14,33,3,45,3,4,7,56,42,0,96,15,34,6,56,0,3,3,64,68,0,128,35,30,3,75,0,0,0,71,51,0,123,22,26,3,53,0,0,0,59,24,0,81,27,15,5,44,0,0,0,44,18,0,59,29,9,0,38,0,0,0,38,14,0,56,54,13,0,66,0,0,0,69,13,0,81,20,3,0,21,0,0,0,21,3,0,24,8,5,0,12,0,0,0,12,3,0,13,0,0,0,0,0,0,0,0,4,0,3,11,4,4,17,0,0,0,16,3,0,20,32,15,3,49,0,0,0,52,15,3,66,0,0
