UCL_CODE_2021,Num_Psns_UR_1_FamHhold,Num_Psns_UR_1_NonFamHhold,Num_Psns_UR_1_Total,Num_Psns_UR_2_FamHhold,Num_Psns_UR_2_NonFamHhold,Num_Psns_UR_2_Total,Num_Psns_UR_3_FamHhold,Num_Psns_UR_3_NonFamHhold,Num_Psns_UR_3_Total,Num_Psns_UR_4_FamHhold,Num_Psns_UR_4_NonFamHhold,Num_Psns_UR_4_Total,Num_Psns_UR_5_FamHhold,Num_Psns_UR_5_NonFamHhold,Num_Psns_UR_5_Total,Num_Psns_UR_6mo_FamHhold,Num_Psns_UR_6mo_NonFamHhold,Num_Psns_UR_6mo_Total,Total_FamHhold,Total_NonFamHhold,Total_Total
UCL101001,..,376008,376008,448974,47046,496023,271514,14655,286167,281013,6177,287192,118017,2252,120269,67762,1249,69004,1187279,447385,1634660
UCL102001,..,4462,4462,4050,306,4360,2261,55,2316,2157,29,2184,845,4,852,344,5,349,9652,4861,14520
UCL102002,..,34467,34467,39491,3050,42542,18072,453,18528,17804,145,17946,7437,34,7466,3496,16,3505,86299,38159,124458
UCL102003,..,7841,7841,8771,789,9560,3178,139,3323,3039,26,3065,1246,12,1257,533,3,536,16773,8804,25578
UCL102004,..,36458,36458,42673,3976,46647,19438,1476,20918,19262,496,19762,7330,162,7493,2856,77,2928,91561,42643,134205
UCL102005,..,26717,26717,32649,2651,35306,15693,907,16599,16076,380,16466,6546,117,6665,2918,64,2986,73895,30839,104731
UCL111001,..,6930,6930,6692,632,7322,2806,129,2935,2589,43,2631,1113,16,1124,478,4,485,13680,7742,21423
UCL111002,..,6022,6022,6541,565,7105,2695,100,2794,2286,33,2314,1015,9,1024,583,4,583,13125,6726,19852
UCL111003,..,7668,7668,10256,686,10942,5473,107,5578,5329,27,5357,2303,15,2322,1036,8,1040,24391,8511,32903
UCL112001,..,2724,2724,2396,260,2656,951,73,1021,846,34,879,347,0,344,222,5,227,4761,3099,7860
UCL112002,..,3880,3880,4223,354,4577,1862,94,1948,1803,25,1822,802,15,815,370,0,373,9061,4362,13419
UCL112003,..,4034,4034,4218,353,4568,1656,45,1699,1415,16,1433,547,5,555,246,0,246,8078,4453,12534
UCL112004,..,2712,2712,3608,150,3758,1124,26,1152,1171,13,1179,493,5,497,201,0,201,6591,2914,9506
UCL112005,..,2343,2343,2509,187,2696,1263,26,1288,1072,0,1071,512,0,512,259,6,260,5601,2566,8172
UCL112006,..,3970,3970,4178,376,4550,2109,99,2210,1870,32,1902,912,11,924,459,9,460,9525,4495,14014
UCL112007,..,641,641,1004,46,1049,311,8,313,311,0,319,158,0,158,54,0,54,1837,691,2527
UCL112008,..,3408,3408,3601,237,3838,858,28,884,710,6,711,269,3,272,121,0,130,5562,3679,9238
UCL112009,..,3074,3074,2906,210,3119,1201,32,1229,1096,7,1102,508,5,511,239,5,246,5950,3329,9283
UCL112010,..,1886,1886,2113,150,2264,1102,52,1152,1095,18,1112,526,8,535,316,9,331,5147,2120,7272
UCL112011,..,1798,1798,2263,169,2433,1231,25,1251,1088,5,1094,487,0,489,268,0,268,5338,1998,7332
UCL112012,..,3870,3870,3300,445,3748,1491,83,1575,1192,23,1213,518,4,523,306,8,313,6806,4438,11242
UCL112013,..,170,170,293,13,305,121,0,121,152,0,152,65,0,65,20,0,20,649,186,834
UCL112014,..,2228,2228,2874,211,3085,1240,30,1268,1056,6,1063,491,6,497,270,0,274,5937,2482,8415
UCL112015,..,3662,3662,4038,332,4364,1754,53,1810,1522,27,1554,687,7,689,369,4,370,8363,4089,12453
UCL112016,..,4495,4495,4532,354,4893,2063,89,2151,2019,41,2052,1003,14,1012,442,7,447,10053,4995,15047
UCL112017,..,6239,6239,7096,499,7594,2338,108,2446,2126,38,2162,882,9,891,391,8,395,12825,6903,19725
