UCL_CODE_2021,NegNil_Inc_BE_WFT,NegNil_Inc_BE_WPT,NegNil_Inc_BE_BAW,NegNil_Inc_1EFT_OthPT,NegNil_Inc_1EFT_OthAW,NegNil_Inc_1EFT_OthNW,NegNil_Inc_1EPT_OthAW,NegNil_Inc_1EPT_OthNW,NegNil_Inc_1AW_OthNW,NegNil_Inc_BNW,NegNil_Inc_LFsta_NS,NegNil_Inc_Tot,I_1_149_BE_WFT,I_1_149_BE_WPT,I_1_149_BE_BAW,I_1_149_1EFT_OthPT,I_1_149_1EFT_OthAW,I_1_149_1EFT_OthNW,I_1_149_1EPT_OthAW,I_1_149_1EPT_OthNW,I_1_149_1AW_OthNW,I_1_149_BNW,I_1_149_LFsta_NS,I_1_149_Tot,I_150_299_BE_WFT,I_150_299_BE_WPT,I_150_299_BE_BAW,I_150_299_1EFT_OthPT,I_150_299_1EFT_OthAW,I_150_299_1EFT_OthNW,I_150_299_1EPT_OthAW,I_150_299_1EPT_OthNW,I_150_299_1AW_OthNW,I_150_299_BNW,I_150_299_LFsta_NS,I_150_299_Tot,I_300_399_BE_WFT,I_300_399_BE_WPT,I_300_399_BE_BAW,I_300_399_1EFT_OthPT,I_300_399_1EFT_OthAW,I_300_399_1EFT_OthNW,I_300_399_1EPT_OthAW,I_300_399_1EPT_OthNW,I_300_399_1AW_OthNW,I_300_399_BNW,I_300_399_LFsta_NS,I_300_399_Tot,I_400_499_BE_WFT,I_400_499_BE_WPT,I_400_499_BE_BAW,I_400_499_1EFT_OthPT,I_400_499_1EFT_OthAW,I_400_499_1EFT_OthNW,I_400_499_1EPT_OthAW,I_400_499_1EPT_OthNW,I_400_499_1AW_OthNW,I_400_499_BNW,I_400_499_LFsta_NS,I_400_499_Tot,I_500_649_BE_WFT,I_500_649_BE_WPT,I_500_649_BE_BAW,I_500_649_1EFT_OthPT,I_500_649_1EFT_OthAW,I_500_649_1EFT_OthNW,I_500_649_1EPT_OthAW,I_500_649_1EPT_OthNW,I_500_649_1AW_OthNW,I_500_649_BNW,I_500_649_LFsta_NS,I_500_649_Tot,I_650_799_BE_WFT,I_650_799_BE_WPT,I_650_799_BE_BAW,I_650_799_1EFT_OthPT,I_650_799_1EFT_OthAW,I_650_799_1EFT_OthNW,I_650_799_1EPT_OthAW,I_650_799_1EPT_OthNW,I_650_799_1AW_OthNW,I_650_799_BNW,I_650_799_LFsta_NS,I_650_799_Tot,I_800_999_BE_WFT,I_800_999_BE_WPT,I_800_999_BE_BAW,I_800_999_1EFT_OthPT,I_800_999_1EFT_OthAW,I_800_999_1EFT_OthNW,I_800_999_1EPT_OthAW,I_800_999_1EPT_OthNW,I_800_999_1AW_OthNW,I_800_999_BNW,I_800_999_LFsta_NS,I_800_999_Tot,I_1000_1249_BE_WFT,I_1000_1249_BE_WPT,I_1000_1249_BE_BAW,I_1000_1249_1EFT_OthPT,I_1000_1249_1EFT_OthAW,I_1000_1249_1EFT_OthNW,I_1000_1249_1EPT_OthAW,I_1000_1249_1EPT_OthNW,I_1000_1249_1AW_OthNW,I_1000_1249_BNW,I_1000_1249_LFsta_NS,I_1000_1249_Tot,I_1250_1499_BE_WFT,I_1250_1499_BE_WPT,I_1250_1499_BE_BAW,I_1250_1499_1EFT_OthPT,I_1250_1499_1EFT_OthAW,I_1250_1499_1EFT_OthNW,I_1250_1499_1EPT_OthAW,I_1250_1499_1EPT_OthNW,I_1250_1499_1AW_OthNW,I_1250_1499_BNW,I_1250_1499_LFsta_NS,I_1250_1499_Tot,I_1500_1749_BE_WFT,I_1500_1749_BE_WPT,I_1500_1749_BE_BAW,I_1500_1749_1EFT_OthPT,I_1500_1749_1EFT_OthAW,I_1500_1749_1EFT_OthNW,I_1500_1749_1EPT_OthAW,I_1500_1749_1EPT_OthNW,I_1500_1749_1AW_OthNW,I_1500_1749_BNW,I_1500_1749_LFsta_NS,I_1500_1749_Tot,I_1750_1999_BE_WFT,I_1750_1999_BE_WPT,I_1750_1999_BE_BAW,I_1750_1999_1EFT_OthPT,I_1750_1999_1EFT_OthAW,I_1750_1999_1EFT_OthNW,I_1750_1999_1EPT_OthAW,I_1750_1999_1EPT_OthNW,I_1750_1999_1AW_OthNW,I_1750_1999_BNW,I_1750_1999_LFsta_NS,I_1750_1999_Tot,I_2000_2499_BE_WFT,I_2000_2499_BE_WPT,I_2000_2499_BE_BAW,I_2000_2499_1EFT_OthPT,I_2000_2499_1EFT_OthAW,I_2000_2499_1EFT_OthNW,I_2000_2499_1EPT_OthAW,I_2000_2499_1EPT_OthNW,I_2000_2499_1AW_OthNW,I_2000_2499_BNW,I_2000_2499_LFsta_NS,I_2000_2499_Tot,I_2500_2999_BE_WFT,I_2500_2999_BE_WPT,I_2500_2999_BE_BAW,I_2500_2999_1EFT_OthPT,I_2500_2999_1EFT_OthAW,I_2500_2999_1EFT_OthNW,I_2500_2999_1EPT_OthAW,I_2500_2999_1EPT_OthNW,I_2500_2999_1AW_OthNW,I_2500_2999_BNW,I_2500_2999_LFsta_NS,I_2500_2999_Tot,I_3000_3499_BE_WFT,I_3000_3499_BE_WPT,I_3000_3499_BE_BAW,I_3000_3499_1EFT_OthPT,I_3000_3499_1EFT_OthAW,I_3000_3499_1EFT_OthNW,I_3000_3499_1EPT_OthAW,I_3000_3499_1EPT_OthNW,I_3000_3499_1AW_OthNW,I_3000_3499_BNW,I_3000_3499_LFsta_NS,I_3000_3499_Tot,I_3500_3999_BE_WFT,I_3500_3999_BE_WPT,I_3500_3999_BE_BAW,I_3500_3999_1EFT_OthPT,I_3500_3999_1EFT_OthAW,I_3500_3999_1EFT_OthNW,I_3500_3999_1EPT_OthAW,I_3500_3999_1EPT_OthNW,I_3500_3999_1AW_OthNW,I_3500_3999_BNW,I_3500_3999_LFsta_NS,I_3500_3999_Tot,I_4000more_BE_WFT,I_4000more_BE_WPT,I_4000more_BE_BAW,I_4000more_1EFT_OthPT,I_4000more_1EFT_OthAW,I_4000more_1EFT_OthNW,I_4000more_1EPT_OthAW,I_4000more_1EPT_OthNW
UCL101001,54,20,50,47,16,123,10,94,98,3164,42,3709,13,13,8,11,4,32,8,60,36,524,3,703,4,18,10,11,3,29,9,151,81,984,9,1310,5,12,6,7,3,41,3,220,102,866,12,1268,16,49,32,15,4,113,29,450,192,2173,42,3108,20,65,33,49,12,237,23,968,391,2792,55,4636,48,198,105,109,26,830,99,1648,761,5387,67,9274,78,459,205,233,72,2083,213,2339,1210,5797,101,12783,245,972,460,782,209,4661,469,3394,1790,8121,126,21232,577,1882,863,2368,711,6511,968,3989,2138,8159,154,28309,866,1595,760,3284,1018,7209,1037,3167,1733,5975,92,26744,1900,1937,802,4641,1415,7330,1169,2701,1486,5351,115,28844,8922,4407,1927,13731,4538,18124,2827,5026,2536,9018,214,71282,12750,3736,1650,16470,5385,8347,2312,3196,1542,5617,131,61140,15441,2931,1184,16401,5073,9302,1777,2379,1105,4049,118,59762,15744,2022,789,11924,4052,4377,1185,1454,647,2148,71,44408,78972,6045,1978,48086,13568,26961,2550,4196
UCL102001,0,0,0,0,0,0,0,0,0,7,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,8,0,0,0,0,0,0,0,3,0,4,0,10,0,0,0,0,0,0,0,0,0,3,0,3,0,4,0,3,0,0,0,0,0,3,0,16,0,7,0,0,0,5,0,6,3,17,0,38,0,3,0,0,0,17,0,7,0,14,0,48,0,12,0,7,0,33,0,12,0,15,0,81,5,9,0,32,4,41,0,11,3,20,0,138,11,8,0,29,4,49,4,9,0,14,0,136,27,12,6,68,6,56,4,16,0,12,0,205,129,21,12,144,26,118,11,27,0,26,3,518,158,17,0,199,38,49,8,17,0,19,0,518,180,14,5,195,45,46,10,14,0,15,0,525,199,14,6,119,48,34,8,6,0,6,0,432,837,45,8,351,83,148,12,24
UCL102002,10,0,5,4,0,0,0,0,3,70,0,99,0,0,0,0,0,3,0,3,0,17,0,26,0,0,0,0,0,0,0,10,0,13,0,25,0,0,0,0,0,0,0,8,3,19,0,29,3,5,5,0,0,4,5,19,5,55,0,95,0,10,3,0,0,9,0,33,17,67,0,143,3,13,0,13,0,34,9,91,29,199,5,401,9,29,11,21,8,100,10,117,32,244,0,576,16,61,15,50,19,255,31,185,70,340,3,1060,39,169,32,245,91,459,93,248,99,375,6,1853,51,184,49,386,132,480,119,217,78,285,6,1985,139,189,54,579,172,494,106,185,73,219,5,2218,679,426,104,1653,457,980,258,320,140,368,11,5393,897,364,104,1896,501,548,191,205,56,183,0,4935,1035,254,67,1605,389,510,133,149,41,106,3,4288,954,118,46,973,277,191,74,50,25,53,5,2766,2643,243,74,2075,483,813,130,124
UCL102003,0,0,0,0,0,0,0,0,0,9,0,14,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,3,0,3,0,8,0,0,0,0,0,0,0,5,0,4,0,10,0,0,0,0,0,4,0,3,0,11,0,21,0,0,0,4,0,4,0,13,4,12,0,33,0,5,0,7,4,3,0,15,9,25,0,63,4,9,0,8,0,22,5,19,3,35,0,113,5,20,6,21,3,50,8,39,5,68,3,224,17,54,10,85,11,80,9,51,5,70,3,400,11,40,0,108,20,73,3,44,10,48,0,356,26,45,4,140,25,67,8,20,6,37,0,378,169,69,8,362,43,126,34,55,17,67,7,953,203,46,11,352,45,61,27,30,4,23,0,805,191,43,3,263,48,71,20,15,0,15,0,672,179,20,4,150,25,25,6,3,0,7,0,415,401,48,8,331,44,94,10,13
UCL102004,6,0,3,0,0,4,3,0,0,72,0,95,3,0,0,0,0,4,0,0,5,18,0,25,0,0,0,0,0,0,0,6,0,15,0,38,0,0,0,0,0,0,0,10,0,21,0,30,0,5,0,0,0,4,0,16,6,50,0,77,0,7,0,3,0,12,0,39,6,81,5,154,3,20,0,11,0,32,0,76,10,167,0,321,12,36,3,22,3,84,7,104,13,185,8,473,15,60,9,64,13,223,19,169,38,329,0,933,52,154,17,281,30,358,36,193,40,329,9,1502,73,135,13,434,60,425,36,178,27,227,5,1622,154,165,20,654,76,386,38,137,21,195,5,1854,792,401,48,1927,280,935,104,266,91,361,9,5227,1099,274,65,2369,352,493,120,146,37,165,3,5119,1271,259,47,2246,350,448,88,110,24,141,4,4999,1219,128,38,1403,295,193,67,53,20,70,6,3492,3766,281,96,3212,489,820,113,153
UCL102005,3,0,0,5,4,3,0,6,3,59,6,90,0,0,0,0,0,0,0,0,0,12,0,17,0,0,0,0,0,3,0,9,4,24,0,44,0,0,0,0,0,4,0,4,0,19,0,32,3,0,0,3,0,0,0,17,0,72,0,97,0,0,0,0,0,0,3,37,16,84,0,149,0,15,8,11,0,26,8,69,25,212,0,380,3,32,8,13,0,75,10,115,38,205,3,506,11,44,8,55,12,220,31,163,82,330,10,974,32,134,34,207,66,330,60,223,74,349,3,1512,58,120,33,304,89,354,55,177,47,289,4,1537,104,141,41,439,136,401,72,145,57,256,9,1791,541,350,87,1395,413,851,167,261,120,398,8,4595,781,280,78,1661,456,512,182,174,49,218,9,4391,904,184,62,1602,410,438,117,107,43,130,4,4003,915,103,47,1003,287,238,56,54,21,69,4,2800,2841,209,73,2274,556,799,121,119
UCL111001,0,0,0,0,0,0,0,0,0,4,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,10,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,8,0,0,0,10,0,0,0,0,0,7,0,10,0,13,0,23,0,3,0,3,0,12,0,18,0,31,3,65,5,13,0,5,0,23,0,19,0,34,0,101,6,19,0,23,5,52,5,23,9,41,0,179,12,31,0,73,3,99,9,33,4,43,5,330,19,26,4,139,10,74,0,26,3,38,0,352,53,33,0,154,20,94,4,13,5,25,0,403,206,40,7,357,64,141,14,28,9,28,0,900,214,30,0,333,45,53,7,12,4,20,0,724,205,13,3,262,40,44,7,17,0,7,0,605,181,8,0,147,24,22,6,0,0,6,0,394,360,20,0,261,51,48,8,10
UCL111002,0,0,0,0,0,0,0,4,0,4,0,14,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,9,0,13,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,5,0,21,0,33,5,0,0,0,0,3,0,5,0,14,0,19,3,8,0,0,0,5,0,22,0,42,0,83,0,13,0,7,0,20,0,25,3,51,0,122,4,22,0,24,7,56,7,40,3,68,0,221,9,34,4,88,7,75,8,58,13,67,3,361,22,32,0,90,10,57,4,19,9,46,0,286,38,36,4,123,16,49,4,21,3,38,0,336,187,65,7,292,36,83,17,32,13,50,0,780,181,45,5,283,33,49,7,15,9,20,0,645,163,22,4,181,21,26,10,11,5,9,0,450,134,15,3,98,18,11,8,3,0,11,0,307,308,29,9,164,23,57,11,11
UCL111003,0,0,0,0,0,0,0,0,0,12,0,15,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,9,0,16,0,0,0,0,0,0,0,0,0,4,0,9,0,4,0,0,0,0,0,6,0,27,0,37,0,0,0,0,0,4,0,3,4,17,0,34,0,4,0,5,0,11,0,19,9,50,0,97,0,8,0,10,0,28,0,34,7,57,0,154,3,25,3,24,0,83,9,59,17,87,0,310,16,46,4,103,16,176,8,60,16,84,0,527,31,48,0,199,30,188,12,48,15,57,3,628,72,42,11,256,39,169,14,43,10,52,0,709,300,87,12,685,122,346,38,62,23,83,5,1757,402,57,12,689,114,151,35,38,19,41,3,1565,421,41,14,511,83,137,22,30,12,28,0,1297,361,19,7,295,57,56,13,17,8,7,0,844,856,38,20,552,117,183,21,18
UCL112001,0,0,0,0,0,0,0,3,0,9,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,4,0,14,0,0,0,0,0,4,0,3,0,7,0,19,0,0,0,0,0,5,0,8,3,22,0,32,0,4,3,3,0,10,0,8,4,21,0,46,0,3,0,11,0,17,0,20,4,21,0,90,5,9,0,28,0,24,9,16,0,16,0,106,7,13,0,32,0,32,0,9,4,10,0,103,10,9,0,41,4,34,0,9,3,7,0,128,58,19,3,95,18,45,0,15,0,17,0,273,65,8,0,81,10,19,9,11,3,13,0,212,79,5,4,51,10,12,0,0,0,0,0,169,68,6,0,30,0,11,0,0,0,3,0,128,132,6,4,59,7,28,4,0
