UCL_CODE_2021,NegNil_Inc_BE_WFT,NegNil_Inc_BE_WPT,NegNil_Inc_BE_BAW,NegNil_Inc_1EFT_OthPT,NegNil_Inc_1EFT_OthAW,NegNil_Inc_1EFT_OthNW,NegNil_Inc_1EPT_OthAW,NegNil_Inc_1EPT_OthNW,NegNil_Inc_1AW_OthNW,NegNil_Inc_BNW,NegNil_Inc_LFsta_NS,NegNil_Inc_Tot,I_1_149_BE_WFT,I_1_149_BE_WPT,I_1_149_BE_BAW,I_1_149_1EFT_OthPT,I_1_149_1EFT_OthAW,I_1_149_1EFT_OthNW,I_1_149_1EPT_OthAW,I_1_149_1EPT_OthNW,I_1_149_1AW_OthNW,I_1_149_BNW,I_1_149_LFsta_NS,I_1_149_Tot,I_150_299_BE_WFT,I_150_299_BE_WPT,I_150_299_BE_BAW,I_150_299_1EFT_OthPT,I_150_299_1EFT_OthAW,I_150_299_1EFT_OthNW,I_150_299_1EPT_OthAW,I_150_299_1EPT_OthNW,I_150_299_1AW_OthNW,I_150_299_BNW,I_150_299_LFsta_NS,I_150_299_Tot,I_300_399_BE_WFT,I_300_399_BE_WPT,I_300_399_BE_BAW,I_300_399_1EFT_OthPT,I_300_399_1EFT_OthAW,I_300_399_1EFT_OthNW,I_300_399_1EPT_OthAW,I_300_399_1EPT_OthNW,I_300_399_1AW_OthNW,I_300_399_BNW,I_300_399_LFsta_NS,I_300_399_Tot,I_400_499_BE_WFT,I_400_499_BE_WPT,I_400_499_BE_BAW,I_400_499_1EFT_OthPT,I_400_499_1EFT_OthAW,I_400_499_1EFT_OthNW,I_400_499_1EPT_OthAW,I_400_499_1EPT_OthNW,I_400_499_1AW_OthNW,I_400_499_BNW,I_400_499_LFsta_NS,I_400_499_Tot,I_500_649_BE_WFT,I_500_649_BE_WPT,I_500_649_BE_BAW,I_500_649_1EFT_OthPT,I_500_649_1EFT_OthAW,I_500_649_1EFT_OthNW,I_500_649_1EPT_OthAW,I_500_649_1EPT_OthNW,I_500_649_1AW_OthNW,I_500_649_BNW,I_500_649_LFsta_NS,I_500_649_Tot,I_650_799_BE_WFT,I_650_799_BE_WPT,I_650_799_BE_BAW,I_650_799_1EFT_OthPT,I_650_799_1EFT_OthAW,I_650_799_1EFT_OthNW,I_650_799_1EPT_OthAW,I_650_799_1EPT_OthNW,I_650_799_1AW_OthNW,I_650_799_BNW,I_650_799_LFsta_NS,I_650_799_Tot,I_800_999_BE_WFT,I_800_999_BE_WPT,I_800_999_BE_BAW,I_800_999_1EFT_OthPT,I_800_999_1EFT_OthAW,I_800_999_1EFT_OthNW,I_800_999_1EPT_OthAW,I_800_999_1EPT_OthNW,I_800_999_1AW_OthNW,I_800_999_BNW,I_800_999_LFsta_NS,I_800_999_Tot,I_1000_1249_BE_WFT,I_1000_1249_BE_WPT,I_1000_1249_BE_BAW,I_1000_1249_1EFT_OthPT,I_1000_1249_1EFT_OthAW,I_1000_1249_1EFT_OthNW,I_1000_1249_1EPT_OthAW,I_1000_1249_1EPT_OthNW,I_1000_1249_1AW_OthNW,I_1000_1249_BNW,I_1000_1249_LFsta_NS,I_1000_1249_Tot,I_1250_1499_BE_WFT,I_1250_1499_BE_WPT,I_1250_1499_BE_BAW,I_1250_1499_1EFT_OthPT,I_1250_1499_1EFT_OthAW,I_1250_1499_1EFT_OthNW,I_1250_1499_1EPT_OthAW,I_1250_1499_1EPT_OthNW,I_1250_1499_1AW_OthNW,I_1250_1499_BNW,I_1250_1499_LFsta_NS,I_1250_1499_Tot,I_1500_1749_BE_WFT,I_1500_1749_BE_WPT,I_1500_1749_BE_BAW,I_1500_1749_1EFT_OthPT,I_1500_1749_1EFT_OthAW,I_1500_1749_1EFT_OthNW,I_1500_1749_1EPT_OthAW,I_1500_1749_1EPT_OthNW,I_1500_1749_1AW_OthNW,I_1500_1749_BNW,I_1500_1749_LFsta_NS,I_1500_1749_Tot,I_1750_1999_BE_WFT,I_1750_1999_BE_WPT,I_1750_1999_BE_BAW,I_1750_1999_1EFT_OthPT,I_1750_1999_1EFT_OthAW,I_1750_1999_1EFT_OthNW,I_1750_1999_1EPT_OthAW,I_1750_1999_1EPT_OthNW,I_1750_1999_1AW_OthNW,I_1750_1999_BNW,I_1750_1999_LFsta_NS,I_1750_1999_Tot,I_2000_2499_BE_WFT,I_2000_2499_BE_WPT,I_2000_2499_BE_BAW,I_2000_2499_1EFT_OthPT,I_2000_2499_1EFT_OthAW,I_2000_2499_1EFT_OthNW,I_2000_2499_1EPT_OthAW,I_2000_2499_1EPT_OthNW,I_2000_2499_1AW_OthNW,I_2000_2499_BNW,I_2000_2499_LFsta_NS,I_2000_2499_Tot,I_2500_2999_BE_WFT,I_2500_2999_BE_WPT,I_2500_2999_BE_BAW,I_2500_2999_1EFT_OthPT,I_2500_2999_1EFT_OthAW,I_2500_2999_1EFT_OthNW,I_2500_2999_1EPT_OthAW,I_2500_2999_1EPT_OthNW,I_2500_2999_1AW_OthNW,I_2500_2999_BNW,I_2500_2999_LFsta_NS,I_2500_2999_Tot,I_3000_3499_BE_WFT,I_3000_3499_BE_WPT,I_3000_3499_BE_BAW,I_3000_3499_1EFT_OthPT,I_3000_3499_1EFT_OthAW,I_3000_3499_1EFT_OthNW,I_3000_3499_1EPT_OthAW,I_3000_3499_1EPT_OthNW,I_3000_3499_1AW_OthNW,I_3000_3499_BNW,I_3000_3499_LFsta_NS,I_3000_3499_Tot,I_3500_3999_BE_WFT,I_3500_3999_BE_WPT,I_3500_3999_BE_BAW,I_3500_3999_1EFT_OthPT,I_3500_3999_1EFT_OthAW,I_3500_3999_1EFT_OthNW,I_3500_3999_1EPT_OthAW,I_3500_3999_1EPT_OthNW,I_3500_3999_1AW_OthNW,I_3500_3999_BNW,I_3500_3999_LFsta_NS,I_3500_3999_Tot,I_4000more_BE_WFT,I_4000more_BE_WPT,I_4000more_BE_BAW,I_4000more_1EFT_OthPT,I_4000more_1EFT_OthAW,I_4000more_1EFT_OthNW,I_4000more_1EPT_OthAW,I_4000more_1EPT_OthNW
UCL101001,45,23,29,26,8,84,15,96,98,13168,152,13749,9,40,14,5,0,21,4,139,72,3328,25,3659,3,31,6,8,0,28,8,329,110,2028,20,2572,0,12,3,10,0,41,7,300,140,1589,19,2116,16,110,40,24,10,63,25,647,245,8648,110,9949,15,120,45,30,5,235,51,1170,464,4660,57,6853,53,333,129,69,19,743,108,1877,768,29162,376,33648,97,720,247,175,39,1666,230,2578,985,14406,189,21334,218,1451,410,585,164,3213,502,3312,1197,13653,141,24843,747,2413,671,2021,619,4172,971,3634,1332,13262,165,30017,858,1434,474,2407,773,3910,777,2371,840,5332,83,19259,2199,1804,583,3354,1124,3788,870,2124,693,5649,82,22281,11348,3383,1207,8991,3706,8314,1780,3542,1094,7586,161,51115,14001,2017,644,8003,3151,3738,977,1857,491,3751,81,38720,13787,1283,382,5884,2180,3445,524,1097,296,2485,86,31450,13110,701,231,3495,1243,1341,293,537,112,1196,35,22298,40775,2208,390,9729,2673,7440,496,2432
UCL102001,0,0,0,0,0,0,0,7,0,39,0,43,0,0,0,0,0,0,0,0,0,11,0,17,0,0,0,0,0,0,0,0,0,9,0,11,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,6,0,44,0,46,0,0,0,4,0,4,0,5,0,18,0,36,0,0,0,0,0,13,0,8,0,160,3,189,0,11,0,3,0,17,0,16,0,109,0,167,0,11,0,7,0,31,0,23,4,80,3,166,12,27,0,34,0,45,0,21,5,117,0,270,18,10,0,51,0,39,4,17,7,58,0,201,47,15,0,46,5,36,0,21,3,61,0,234,197,21,0,103,12,55,8,17,9,72,0,495,194,7,6,82,7,46,5,14,3,35,0,408,179,5,3,61,10,16,7,15,4,15,0,321,147,7,3,26,3,13,3,0,0,10,0,219,359,12,7,71,22,46,4,8
UCL102002,0,3,3,3,0,6,0,4,3,601,15,640,0,7,0,0,0,5,0,12,0,246,3,272,0,4,0,0,0,0,0,25,6,135,0,185,0,0,0,0,0,4,0,20,9,134,3,167,0,10,5,0,0,9,0,54,10,762,10,870,0,19,4,0,0,19,4,101,27,430,0,608,4,43,10,10,3,52,13,233,87,4020,58,4520,11,64,19,31,7,145,20,326,89,2195,31,2928,33,120,31,80,16,265,42,356,89,2025,23,3075,81,252,49,242,54,346,80,380,89,1898,22,3491,102,142,34,309,84,326,66,203,58,594,3,1926,235,163,35,352,102,325,68,163,61,595,5,2099,1016,306,65,936,250,574,137,230,75,635,14,4243,880,150,46,653,244,223,67,120,29,260,7,2687,761,87,35,439,122,186,41,66,19,157,11,1923,542,42,5,211,75,55,22,34,11,75,6,1076,1131,98,24,415,116,330,30,87
UCL102003,0,5,0,0,0,0,0,0,3,120,3,133,0,4,0,0,0,0,0,6,0,69,0,81,0,0,0,0,0,0,0,8,0,32,0,43,0,0,0,0,0,0,0,9,0,28,0,44,0,0,3,0,0,3,0,17,0,191,3,222,0,7,0,0,0,0,0,25,5,105,0,153,0,6,0,9,0,13,0,72,8,1062,18,1187,9,22,0,3,0,39,4,114,17,564,9,775,5,57,8,23,3,51,13,104,12,483,10,759,16,69,0,100,9,57,19,84,20,489,9,870,32,36,4,74,8,65,10,42,8,133,0,400,61,46,5,111,6,52,10,39,3,145,0,488,213,68,4,209,21,88,27,50,17,153,4,848,181,36,10,126,17,40,8,22,8,60,0,507,126,12,6,76,21,38,10,8,3,42,0,342,69,9,0,41,3,8,4,3,0,17,0,161,150,17,8,81,17,45,5,10
UCL102004,3,4,0,3,0,0,0,7,8,512,13,543,0,3,0,3,0,0,0,11,5,197,0,219,6,3,0,0,0,0,0,28,10,141,0,185,0,0,0,0,0,4,0,28,3,103,0,132,3,15,4,0,0,3,9,64,8,681,12,799,0,19,0,4,0,12,5,112,20,434,9,618,8,52,0,11,0,58,3,248,40,3547,35,4000,20,98,0,40,3,132,19,334,55,2093,22,2809,35,197,11,96,4,264,24,384,44,1975,19,3051,96,293,18,351,25,325,49,398,48,1885,9,3500,128,173,14,383,47,336,44,223,39,645,3,2027,272,191,19,496,38,288,37,179,40,622,5,2190,1456,276,40,1130,142,594,85,290,59,750,13,4839,1397,178,36,1003,135,227,53,133,33,340,3,3535,1206,101,25,671,83,208,29,79,23,202,4,2632,914,55,14,311,67,60,19,43,0,76,0,1561,1647,128,28,614,124,332,36,139
UCL102005,3,3,0,0,0,3,0,0,0,538,14,572,0,9,5,6,0,0,0,12,3,190,0,219,0,0,0,3,0,0,0,14,8,112,0,141,0,0,0,0,0,0,0,25,3,103,4,137,0,8,0,4,0,7,4,59,16,666,8,775,3,8,3,0,0,20,4,98,24,437,3,601,4,20,8,18,0,40,9,179,50,3251,48,3622,3,53,15,16,0,101,19,245,66,1847,16,2382,20,118,21,55,9,233,31,258,75,1550,13,2394,55,148,36,212,52,275,71,301,80,1413,13,2660,75,102,31,247,54,272,61,149,59,483,3,1532,176,114,27,304,100,290,41,121,44,435,7,1665,755,212,38,734,219,524,120,208,63,513,5,3392,889,134,31,639,168,223,75,99,30,227,0,2525,787,66,25,407,129,166,40,52,19,147,8,1832,643,32,3,215,66,54,11,18,11,63,0,1122,1095,76,16,366,105,239,16,78
UCL111001,0,0,0,0,0,0,0,0,0,52,3,61,0,0,0,0,0,0,0,0,0,35,0,36,0,0,0,0,0,0,0,3,0,18,0,25,0,0,0,0,0,0,0,3,0,9,0,12,0,0,0,3,0,0,0,6,0,103,7,122,0,3,0,0,0,12,0,21,3,57,0,100,0,10,0,9,0,15,0,61,9,534,6,634,5,10,0,8,0,38,5,55,6,310,9,447,14,35,3,27,4,62,3,66,11,257,3,472,37,50,3,99,7,75,9,63,11,247,0,589,38,32,0,95,12,50,3,38,8,72,0,352,73,24,4,109,8,47,9,21,11,78,6,388,285,42,3,218,22,77,10,44,8,87,0,799,255,20,3,142,11,35,10,15,0,57,0,563,187,6,0,74,9,11,5,17,0,23,0,336,82,3,0,38,4,10,0,4,0,15,0,158,132,9,0,70,7,28,0,11
UCL111002,0,0,0,0,0,0,0,0,0,77,0,77,0,0,0,0,0,0,0,0,0,39,0,43,0,0,0,0,0,0,0,4,0,21,0,28,0,0,0,0,0,0,0,0,0,23,0,27,6,3,0,3,0,0,0,15,4,136,4,162,0,4,0,0,0,3,0,22,3,63,0,101,3,4,4,8,0,3,0,38,4,709,10,780,4,25,0,12,0,23,5,78,9,342,5,505,13,50,3,27,0,58,0,63,7,351,0,583,29,46,5,77,6,52,9,71,8,329,0,638,28,25,0,86,7,40,5,38,10,107,0,350,64,32,0,100,3,37,4,29,3,91,0,367,212,49,4,182,14,68,18,20,10,109,3,693,155,27,8,106,9,29,3,14,0,41,0,395,116,14,3,71,7,18,3,12,8,25,0,270,66,11,0,30,9,5,0,3,4,17,0,142,133,14,0,66,12,25,0,20
UCL111003,0,0,0,7,0,0,0,0,0,132,0,138,0,0,0,0,0,0,0,7,0,43,0,50,0,5,0,0,0,0,0,5,0,23,0,35,0,0,0,0,0,4,0,8,0,26,0,37,0,4,0,0,0,6,0,17,5,166,0,195,3,7,0,0,0,6,0,26,4,106,0,152,0,13,4,4,0,17,4,67,13,1026,10,1155,3,29,4,14,4,45,7,92,17,531,0,742,4,32,3,21,7,90,7,83,22,432,3,694,33,69,3,108,4,113,11,67,15,404,5,839,47,31,4,113,3,93,8,35,7,98,0,453,108,56,0,145,18,80,8,37,8,101,6,558,507,52,10,317,38,198,14,48,17,107,0,1308,397,13,8,218,41,51,10,17,10,44,0,808,322,19,7,127,32,58,8,14,0,21,0,608,196,11,3,66,9,13,8,8,0,10,0,320,293,12,5,99,23,59,4,19
UCL112001,0,0,0,0,0,0,0,0,0,19,0,22,0,0,0,0,0,0,0,0,0,10,0,13,0,0,0,0,0,0,0,0,0,5,0,8,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,3,0,0,0,3,0,32,0,40,0,0,0,0,0,0,0,5,0,14,0,22,0,4,0,3,0,7,0,21,0,193,4,231,0,14,0,4,0,12,0,23,0,80,6,141,0,15,0,9,5,21,0,20,0,99,0,167,13,25,0,45,0,19,6,17,0,87,0,217,17,7,0,41,5,21,0,12,0,38,0,142,34,13,0,58,0,8,0,10,3,32,0,158,106,16,0,58,6,29,0,21,3,41,0,287,79,7,0,48,5,20,0,9,0,13,0,185,60,0,0,28,5,3,5,3,0,10,0,123,38,0,3,11,3,6,0,8,0,5,0,77,84,4,0,22,7,19,5,4
