UCL_CODE_2021,M_Iraq_0_4,M_Iraq_5_14,M_Iraq_15_24,M_Iraq_25_44,M_Iraq_45_54,M_Iraq_55_64,M_Iraq_65_74,M_Iraq_75_84,M_Iraq_85ov,M_Iraq_Tot,M_Ireland_0_4,M_Ireland_5_14,M_Ireland_15_24,M_Ireland_25_44,M_Ireland_45_54,M_Ireland_55_64,M_Ireland_65_74,M_Ireland_75_84,M_Ireland_85ov,M_Ireland_Tot,M_Italy_0_4,M_Italy_5_14,M_Italy_15_24,M_Italy_25_44,M_Italy_45_54,M_Italy_55_64,M_Italy_65_74,M_Italy_75_84,M_Italy_85ov,M_Italy_Tot,M_Japan_0_4,M_Japan_5_14,M_Japan_15_24,M_Japan_25_44,M_Japan_45_54,M_Japan_55_64,M_Japan_65_74,M_Japan_75_84,M_Japan_85ov,M_Japan_Tot,M_Korea_South_0_4,M_Korea_South_5_14,M_Korea_South_15_24,M_Korea_South_25_44,M_Korea_South_45_54,M_Korea_South_55_64,M_Korea_South_65_74,M_Korea_South_75_84,M_Korea_South_85ov,M_Korea_South_Tot,M_Lebanon_0_4,M_Lebanon_5_14,M_Lebanon_15_24,M_Lebanon_25_44,M_Lebanon_45_54,M_Lebanon_55_64,M_Lebanon_65_74,M_Lebanon_75_84,M_Lebanon_85ov,M_Lebanon_Tot,M_Malaysia_0_4,M_Malaysia_5_14,M_Malaysia_15_24,M_Malaysia_25_44,M_Malaysia_45_54,M_Malaysia_55_64,M_Malaysia_65_74,M_Malaysia_75_84,M_Malaysia_85ov,M_Malaysia_Tot,M_Malta_0_4,M_Malta_5_14,M_Malta_15_24,M_Malta_25_44,M_Malta_45_54,M_Malta_55_64,M_Malta_65_74,M_Malta_75_84,M_Malta_85ov,M_Malta_Tot,M_Mauritius_0_4,M_Mauritius_5_14,M_Mauritius_15_24,M_Mauritius_25_44,M_Mauritius_45_54,M_Mauritius_55_64,M_Mauritius_65_74,M_Mauritius_75_84,M_Mauritius_85ov,M_Mauritius_Tot,M_Myanmar_0_4,M_Myanmar_5_14,M_Myanmar_15_24,M_Myanmar_25_44,M_Myanmar_45_54,M_Myanmar_55_64,M_Myanmar_65_74,M_Myanmar_75_84,M_Myanmar_85ov,M_Myanmar_Tot,M_Nepal_0_4,M_Nepal_5_14,M_Nepal_15_24,M_Nepal_25_44,M_Nepal_45_54,M_Nepal_55_64,M_Nepal_65_74,M_Nepal_75_84,M_Nepal_85ov,M_Nepal_Tot,M_Netherlands_0_4,M_Netherlands_5_14,M_Netherlands_15_24,M_Netherlands_25_44,M_Netherlands_45_54,M_Netherlands_55_64,M_Netherlands_65_74,M_Netherlands_75_84,M_Netherlands_85ov,M_Netherlands_Tot,M_New_Zealand_0_4,M_New_Zealand_5_14,M_New_Zealand_15_24,M_New_Zealand_25_44,M_New_Zealand_45_54,M_New_Zealand_55_64,M_New_Zealand_65_74,M_New_Zealand_75_84,M_New_Zealand_85ov,M_New_Zealand_Tot,M_North_Macedonia_0_4,M_North_Macedonia_5_14,M_North_Macedonia_15_24,M_North_Macedonia_25_44,M_North_Macedonia_45_54,M_North_Macedonia_55_64,M_North_Macedonia_65_74,M_North_Macedonia_75_84,M_North_Macedonia_85ov,M_North_Macedonia_Tot,M_Pakistan_0_4,M_Pakistan_5_14,M_Pakistan_15_24,M_Pakistan_25_44,M_Pakistan_45_54,M_Pakistan_55_64,M_Pakistan_65_74,M_Pakistan_75_84,M_Pakistan_85ov,M_Pakistan_Tot,M_PNG_0_4,M_PNG_5_14,M_PNG_15_24,M_PNG_25_44,M_PNG_45_54,M_PNG_55_64,M_PNG_65_74,M_PNG_75_84,M_PNG_85ov,M_PNG_Tot,M_Philippines_0_4,M_Philippines_5_14,M_Philippines_15_24,M_Philippines_25_44,M_Philippines_45_54,M_Philippines_55_64,M_Philippines_65_74,M_Philippines_75_84,M_Philippines_85ov,M_Philippines_Tot,M_Poland_0_4,M_Poland_5_14,M_Poland_15_24,M_Poland_25_44,M_Poland_45_54,M_Poland_55_64,M_Poland_65_74,M_Poland_75_84,M_Poland_85ov,M_Poland_Tot,M_Samoa_0_4,M_Samoa_5_14,M_Samoa_15_24,M_Samoa_25_44,M_Samoa_45_54,M_Samoa_55_64,M_Samoa_65_74,M_Samoa_75_84,M_Samoa_85ov,M_Samoa_Tot,M_Scotland_0_4,M_Scotland_5_14,M_Scotland_15_24,M_Scotland_25_44,M_Scotland_45_54,M_Scotland_55_64,M_Scotland_65_74,M_Scotland_75_84,M_Scotland_85ov,M_Scotland_Tot
UCL112002,0,0,0,6,0,0,0,0,0,14,0,3,3,9,8,5,0,5,4,31,0,0,0,0,0,13,5,0,0,20,0,0,0,0,0,0,3,0,0,0,0,0,0,9,0,4,0,0,0,10,0,0,0,7,9,4,0,0,0,26,0,0,5,3,10,5,0,0,0,21,0,0,0,0,0,0,6,3,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,72,5,0,4,0,0,90,0,0,0,5,0,3,10,12,0,31,3,3,16,62,46,36,23,10,0,204,0,0,0,0,0,0,0,0,0,0,0,7,0,24,3,0,0,0,0,36,0,0,0,0,3,3,0,0,0,6,3,15,16,51,15,4,0,0,0,104,0,0,0,0,0,0,0,0,0,9,0,0,0,5,0,0,0,0,0,3,0,0,0,8,8,9,16,8,5,56
UCL112003,0,0,0,0,0,0,0,0,0,3,0,0,0,15,15,18,13,4,4,66,0,0,0,3,4,9,22,7,0,43,0,0,0,0,3,0,3,3,0,15,0,0,0,7,3,6,0,4,0,17,0,0,0,4,0,4,6,5,0,18,0,0,0,9,9,5,10,0,0,32,0,0,0,0,0,0,6,6,0,9,0,0,0,0,0,3,3,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,3,9,0,0,0,0,0,14,0,4,0,3,3,11,15,15,3,51,0,6,13,43,48,78,56,16,0,260,0,0,0,0,0,3,3,0,0,3,0,0,0,4,0,0,0,0,0,8,0,0,0,5,0,0,0,0,0,13,0,4,8,25,11,5,4,0,0,55,0,0,0,13,5,6,16,4,0,40,0,0,0,0,0,0,0,0,0,3,0,4,0,9,9,24,40,15,7,115
UCL112004,0,0,0,0,0,0,6,0,0,7,0,3,0,5,14,9,8,9,0,52,0,0,0,3,9,4,15,13,4,56,0,0,0,0,0,0,4,0,0,9,0,0,0,13,0,0,0,0,0,14,0,0,0,5,0,4,0,4,0,13,0,6,0,4,3,7,3,0,0,18,0,0,0,0,0,0,5,0,0,8,0,0,0,0,0,0,5,0,5,12,0,0,0,0,0,0,0,0,0,0,0,6,15,139,3,0,0,0,0,161,0,0,0,0,3,3,14,17,8,50,0,10,9,25,39,38,40,31,4,192,0,0,0,0,0,5,0,0,0,6,0,0,0,11,0,3,0,0,0,18,0,0,0,0,4,3,0,0,0,6,0,3,10,27,3,4,0,0,0,43,0,0,0,5,0,5,7,5,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,8,27,28,5,86
UCL112005,0,0,0,3,0,0,0,0,0,4,0,0,0,10,0,0,0,0,0,11,0,0,0,0,3,4,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,3,0,0,0,8,0,0,0,3,11,3,5,0,0,24,0,0,0,4,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,3,0,0,0,15,0,0,0,0,0,17,0,0,0,0,3,4,6,5,5,15,0,3,7,40,26,29,19,10,0,126,0,0,0,0,0,0,0,0,0,5,0,0,0,3,4,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,3,3,23,4,4,0,0,0,39,0,0,0,0,0,0,0,0,0,6,0,0,0,4,0,0,0,0,0,7,0,0,0,0,3,7,9,10,6,45
UCL112006,0,0,0,0,3,0,0,0,0,3,0,0,0,11,3,0,0,3,0,22,0,0,0,0,0,0,4,3,5,15,0,0,0,0,0,0,0,0,0,3,0,0,0,15,0,0,0,0,0,16,0,0,0,3,3,0,8,0,0,16,0,0,0,8,0,3,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,9,0,0,0,6,0,0,0,0,0,9,0,3,31,312,13,0,0,0,0,357,0,0,0,3,0,0,4,9,8,29,0,4,8,36,28,26,25,13,0,141,0,0,0,0,0,0,0,0,0,0,4,7,0,79,6,0,0,0,0,96,0,0,0,4,0,0,0,0,0,9,3,21,15,59,24,7,0,0,0,132,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,5,0,0,3,28
UCL112007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,6,5,5,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,10,0,12,0,0,0,11,0,5,4,4,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,11
UCL112008,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,5,0,4,13,0,0,0,4,0,0,13,7,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,5,0,0,0,0,0,0,3,0,0,5,0,0,0,3,3,3,0,0,0,10,0,0,0,0,0,0,11,4,3,17,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,4,33,0,0,0,0,0,36,0,0,0,0,0,4,8,12,9,32,0,3,4,10,26,28,21,13,3,109,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,0,0,0,3,0,4,0,0,5,0,5,3,17,0,0,0,0,0,26,0,0,0,0,0,0,7,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,22,10,3,46
UCL112009,0,0,0,9,0,0,0,0,0,9,0,3,0,4,3,4,4,0,0,16,0,0,0,0,0,0,3,0,5,12,0,0,0,0,0,0,0,0,0,5,0,0,7,12,5,0,0,0,0,26,0,0,3,7,5,3,0,0,0,19,0,0,0,0,6,0,0,0,0,9,0,0,0,0,0,0,0,4,0,6,0,0,0,6,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,8,62,0,0,0,0,0,75,0,0,0,0,0,0,9,3,0,18,0,6,5,24,21,27,26,14,0,120,0,0,0,0,0,3,0,0,0,5,0,0,0,14,0,0,0,0,0,14,0,0,0,0,5,3,0,0,0,11,0,7,8,34,5,3,0,0,0,60,0,0,0,0,0,0,3,0,0,9,0,0,0,0,3,0,0,0,0,3,0,0,0,4,4,12,8,3,0,33
UCL112010,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,4,0,0,0,15,0,0,3,29,8,38,85,95,65,322,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,7,5,6,19,72,11,15,4,0,0,123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,10,0,5,0,0,0,14,0,0,0,0,0,5,5,0,0,12,0,24,44,67,20,8,14,0,0,179,0,0,0,0,0,0,0,0,0,0,0,7,15,46,27,9,0,0,0,109,0,0,0,3,0,0,0,0,0,4,8,19,17,101,20,10,3,0,0,175,0,0,0,0,0,0,0,0,0,0,0,3,13,15,13,14,10,0,0,70,0,0,0,6,0,3,4,0,0,12
UCL112011,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,3,0,0,8,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,5,0,0,0,0,0,4,6,0,0,15,0,0,0,5,19,11,7,8,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,6,7,11,7,0,0,0,0,33,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,4,0,0,3,0,0,14,9,6,0,37
UCL112012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,14,0,0,0,6,0,3,10,12,12,49,0,0,4,4,0,0,0,0,0,11,0,0,3,3,0,3,0,0,0,19,0,0,0,0,0,0,0,0,0,6,0,0,4,6,4,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,14,0,0,0,0,0,24,0,0,0,0,0,3,6,3,0,18,0,0,6,37,30,40,27,8,0,145,0,0,0,0,0,0,0,0,0,0,0,0,0,10,3,0,3,0,0,11,0,0,0,3,4,0,0,0,0,8,0,3,0,18,4,3,0,0,0,29,0,0,0,0,0,0,5,0,0,3,0,0,0,5,0,0,0,0,0,5,0,0,5,5,5,10,5,5,0,37
UCL112013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,3,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UCL112014,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,3,0,19,0,0,0,0,0,0,8,0,0,9,0,0,0,0,3,0,0,0,0,3,0,0,0,7,0,0,0,0,0,11,0,0,0,3,0,4,0,0,0,8,0,0,3,0,0,0,0,0,0,9,0,0,0,0,0,3,8,7,3,18,0,0,0,0,3,0,5,3,0,15,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,0,0,0,0,5,8,7,12,3,32,0,9,14,45,37,55,52,43,9,267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,4,4,7,4,0,0,23,0,4,3,6,4,6,0,0,0,29,0,0,0,0,3,0,0,0,0,9,0,0,4,10,9,0,0,0,0,24,0,0,0,4,0,11,14,9,5,46
