SA2_MAINCODE_2016,F_Vietnam_0_4,F_Vietnam_5_14,F_Vietnam_15_24,F_Vietnam_25_44,F_Vietnam_45_54,F_Vietnam_55_64,F_Vietnam_65_74,F_Vietnam_75_84,F_Vietnam_85ov,F_Vietnam_Tot,F_Wales_0_4,F_Wales_5_14,F_Wales_15_24,F_Wales_25_44,F_Wales_45_54,F_Wales_55_64,F_Wales_65_74,F_Wales_75_84,F_Wales_85ov,F_Wales_Tot,F_Zimbabwe_0_4,F_Zimbabwe_5_14,F_Zimbabwe_15_24,F_Zimbabwe_25_44,F_Zimbabwe_45_54,F_Zimbabwe_55_64,F_Zimbabwe_65_74,F_Zimbabwe_75_84,F_Zimbabwe_85ov,F_Zimbabwe_Tot,F_Elsewhere_0_4,F_Elsewhere_5_14,F_Elsewhere_15_24,F_Elsewhere_25_44,F_Elsewhere_45_54,F_Elsewhere_55_64,F_Elsewhere_65_74,F_Elsewhere_75_84,F_Elsewhere_85ov,F_Elsewhere_Tot,F_COB_NS_0_4,F_COB_NS_5_14,F_COB_NS_15_24,F_COB_NS_25_44,F_COB_NS_45_54,F_COB_NS_55_64,F_COB_NS_65_74,F_COB_NS_75_84,F_COB_NS_85ov,F_COB_NS_Tot,F_Tot_0_4,F_Tot_5_14,F_Tot_15_24,F_Tot_25_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85ov,F_Tot_Tot,P_Afghanistan_0_4,P_Afghanistan_5_14,P_Afghanistan_15_24,P_Afghanistan_25_44,P_Afghanistan_45_54,P_Afghanistan_55_64,P_Afghanistan_65_74,P_Afghanistan_75_84,P_Afghanistan_85ov,P_Afghanistan_Tot,P_Australia_0_4,P_Australia_5_14,P_Australia_15_24,P_Australia_25_44,P_Australia_45_54,P_Australia_55_64,P_Australia_65_74,P_Australia_75_84,P_Australia_85ov,P_Australia_Tot,P_Bangladesh_0_4,P_Bangladesh_5_14,P_Bangladesh_15_24,P_Bangladesh_25_44,P_Bangladesh_45_54,P_Bangladesh_55_64,P_Bangladesh_65_74,P_Bangladesh_75_84,P_Bangladesh_85ov,P_Bangladesh_Tot,P_Bosnia_Herzegov_0_4,P_Bosnia_Herzegov_5_14,P_Bosnia_Herzegov_15_24,P_Bosnia_Herzegov_25_44,P_Bosnia_Herzegov_45_54,P_Bosnia_Herzegov_55_64,P_Bosnia_Herzegov_65_74,P_Bosnia_Herzegov_75_84,P_Bosnia_Herzegov_85ov,P_Bosnia_Herzegov_Tot,P_Cambodia_0_4,P_Cambodia_5_14,P_Cambodia_15_24,P_Cambodia_25_44,P_Cambodia_45_54,P_Cambodia_55_64,P_Cambodia_65_74,P_Cambodia_75_84,P_Cambodia_85ov,P_Cambodia_Tot,P_Canada_0_4,P_Canada_5_14,P_Canada_15_24,P_Canada_25_44,P_Canada_45_54,P_Canada_55_64,P_Canada_65_74,P_Canada_75_84,P_Canada_85ov,P_Canada_Tot,P_Chile_0_4,P_Chile_5_14,P_Chile_15_24,P_Chile_25_44,P_Chile_45_54,P_Chile_55_64,P_Chile_65_74,P_Chile_75_84,P_Chile_85ov,P_Chile_Tot,P_China_0_4,P_China_5_14,P_China_15_24,P_China_25_44,P_China_45_54,P_China_55_64,P_China_65_74,P_China_75_84,P_China_85ov,P_China_Tot,P_Croatia_0_4,P_Croatia_5_14,P_Croatia_15_24,P_Croatia_25_44,P_Croatia_45_54,P_Croatia_55_64,P_Croatia_65_74,P_Croatia_75_84,P_Croatia_85ov,P_Croatia_Tot,P_Egypt_0_4,P_Egypt_5_14,P_Egypt_15_24,P_Egypt_25_44,P_Egypt_45_54,P_Egypt_55_64,P_Egypt_65_74,P_Egypt_75_84,P_Egypt_85ov,P_Egypt_Tot,P_England_0_4,P_England_5_14,P_England_15_24,P_England_25_44,P_England_45_54,P_England_55_64,P_England_65_74,P_England_75_84,P_England_85ov,P_England_Tot,P_Fiji_0_4,P_Fiji_5_14,P_Fiji_15_24,P_Fiji_25_44,P_Fiji_45_54,P_Fiji_55_64,P_Fiji_65_74,P_Fiji_75_84,P_Fiji_85ov,P_Fiji_Tot,P_France_0_4,P_France_5_14,P_France_15_24,P_France_25_44,P_France_45_54,P_France_55_64,P_France_65_74,P_France_75_84,P_France_85ov,P_France_Tot,P_Germany_0_4,P_Germany_5_14,P_Germany_15_24,P_Germany_25_44,P_Germany_45_54,P_Germany_55_64,P_Germany_65_74,P_Germany_75_84,P_Germany_85ov,P_Germany_Tot
101021007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,8,10,8,0,30,9,23,13,40,40,36,46,21,13,237,90,212,139,381,300,339,296,114,48,1916,0,0,0,0,0,0,0,0,0,0,185,395,260,581,415,519,394,150,48,2948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,3,4,15,39,34,38,27,6,158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,3,11,0,0,16
101021008,0,0,0,8,0,6,0,0,0,11,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,4,0,0,5,0,3,6,34,22,15,9,11,3,101,16,38,34,76,52,43,31,15,10,304,237,545,547,1105,625,538,347,170,55,4172,0,0,0,3,0,0,0,0,0,6,484,990,973,1729,881,693,405,159,34,6354,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,3,0,11,0,3,0,0,0,0,0,0,0,7,0,3,0,4,0,0,0,0,0,11,0,0,0,4,0,0,0,0,0,7,0,0,3,8,3,3,3,0,0,18,0,0,0,0,3,8,17,10,0,37,0,0,0,0,0,0,0,0,0,3,0,3,3,22,28,33,24,23,7,149,0,0,3,12,4,3,0,0,0,23,0,0,0,3,0,0,0,0,0,9,0,0,0,0,3,12,17,4,5,47
101021009,0,0,0,7,3,0,0,0,0,15,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,9,0,8,8,69,11,17,21,14,20,168,21,16,44,163,41,41,54,25,5,416,341,446,620,1853,671,553,420,307,199,5403,0,0,0,5,0,0,0,0,0,5,656,740,940,2347,995,753,431,242,177,7273,4,3,7,52,5,0,0,0,0,71,0,0,0,0,3,3,0,7,0,14,0,0,0,4,0,0,0,0,0,12,0,0,3,7,3,5,3,3,3,29,0,0,0,0,3,0,0,0,0,7,3,0,5,44,21,3,7,3,0,85,0,0,0,3,4,5,10,16,4,50,3,3,0,17,0,3,0,0,0,26,0,5,8,44,54,33,37,20,6,212,0,4,10,16,7,0,0,0,0,35,0,3,0,3,0,3,0,0,0,12,0,0,0,10,0,7,22,11,7,61
101021010,0,0,0,4,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,3,0,0,0,9,0,3,4,20,10,3,3,3,4,51,14,17,11,51,15,21,6,14,3,145,160,209,289,767,331,280,154,90,42,2325,0,0,0,0,0,0,0,0,0,0,316,340,468,1001,478,393,190,82,22,3291,4,12,7,67,0,0,0,0,0,92,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,4,0,0,0,12,0,0,0,3,7,3,0,0,0,9,0,0,0,15,0,4,0,0,0,22,0,0,0,0,0,3,9,6,3,21,3,0,0,5,0,0,0,0,0,13,0,5,3,18,32,25,25,15,0,128,0,0,0,11,3,0,0,0,0,18,0,0,0,0,0,0,0,0,0,4,0,0,0,3,0,6,17,7,6,31
101021011,0,0,0,3,0,0,0,0,0,3,0,0,0,3,0,0,4,0,0,13,0,0,0,0,0,0,0,0,0,3,0,0,3,20,20,36,23,3,0,110,33,115,86,204,129,134,81,22,6,805,495,1232,959,2130,1468,1162,650,182,44,8331,0,0,0,3,0,0,0,0,0,3,947,2249,1663,3258,2109,1679,870,204,48,13040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,10,3,6,11,0,0,27,0,0,0,5,3,0,3,0,0,9,0,4,0,11,3,3,4,0,0,26,0,0,0,0,0,10,7,0,0,25,0,0,0,3,0,0,0,0,0,3,7,26,23,88,191,171,134,65,12,705,0,0,0,4,3,3,0,0,0,7,0,0,0,3,8,3,0,0,0,21,0,0,3,8,9,22,31,6,3,86
101021012,0,0,0,3,0,0,0,0,0,11,0,0,0,3,3,0,0,0,0,4,0,0,0,0,3,0,0,0,0,4,0,3,9,41,24,21,12,8,5,120,19,32,35,71,51,26,13,8,4,262,405,1019,841,1777,1192,646,286,132,42,6350,0,0,0,0,0,0,0,0,0,0,802,1899,1559,2645,1790,894,355,135,36,10112,0,0,0,3,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,10,11,9,0,0,0,36,0,0,0,0,3,0,0,0,0,11,0,4,3,18,11,10,7,3,0,50,0,0,0,3,6,4,10,8,0,35,0,0,0,0,0,0,0,0,0,0,4,34,24,83,117,65,38,17,14,393,0,0,0,18,4,10,3,0,0,37,0,0,0,6,3,5,0,0,0,14,0,0,5,4,11,7,20,7,0,62
101031013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,3,10,4,13,5,18,23,21,17,3,9,120,67,143,99,222,164,180,165,78,60,1188,0,0,0,0,0,0,0,0,0,0,134,248,211,378,274,312,257,121,64,1984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,16,19,11,10,65,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,8,0,0,16
101031014,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,4,9,8,12,11,14,8,60,3,10,21,51,45,44,45,50,46,315,159,337,360,721,476,458,395,285,160,3346,0,0,0,0,0,0,0,0,0,0,306,685,666,1228,697,633,498,286,118,5124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,0,0,9,0,0,0,0,0,3,0,0,0,3,0,0,9,5,8,5,0,3,0,36,0,0,0,0,3,3,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,3,3,15,30,40,39,27,9,172,0,0,0,3,0,3,0,0,0,4,0,0,0,3,0,0,3,0,0,8,0,0,0,7,8,7,38,27,9,93
101031015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,8,4,0,23,8,20,18,37,39,21,21,12,4,182,67,206,158,287,272,275,224,89,27,1596,0,0,0,0,0,0,0,0,0,0,116,393,267,464,408,415,300,124,31,2511,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,3,6,29,43,39,23,3,141,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,4,0,0,0,5,0,0,3,0,3,3,11,11,0,31
101031016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,14,6,15,3,0,46,3,37,34,93,61,38,29,9,0,303,134,447,370,920,541,408,271,102,34,3228,0,0,0,0,0,0,0,0,0,0,290,836,703,1460,806,708,364,138,46,5354,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,15,17,6,3,3,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,9,21,51,51,47,57,22,0,257,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,9,0,0,0,5,3,7,22,13,3,49
