SA2_MAINCODE_2016,C0_4F_EO_M_EO,C0_4F_EO_M_O_EVWW,C0_4F_EO_M_O_ENWNA,C0_4F_EO_M_O_PENS,C0_4F_EO_M_O_E_T,C0_4F_EO_M_LPENS,C0_4F_EO_M_T,C0_4F_O_EVWW_M_EO,C0_4F_O_EVWW_M_O_EVWW,C0_4F_O_EVWW_M_O_ENWNA,C0_4F_O_EVWW_M_O_PENS,C0_4F_O_EVWW_M_O_E_T,C0_4F_O_EVWW_M_LPENS,C0_4F_O_EVWW_M_T,C0_4F_O_ENWNA_M_EO,C0_4F_O_ENWNA_M_O_EVWW,C0_4F_O_ENWNA_M_O_ENWNA,C0_4F_O_ENWNA_M_O_PENS,C0_4F_O_ENWNA_M_O_E_T,C0_4F_O_ENWNA_M_LPENS,C0_4F_O_ENWNA_M_T,C0_4F_O_PENS_M_EO,C0_4F_O_PENS_M_O_EVWW,C0_4F_O_PENS_M_O_ENWNA,C0_4F_O_PENS_M_O_PENS,C0_4F_O_PENS_M_O_E_T,C0_4F_O_PENS_M_LPENS,C0_4F_O_PENS_M_T,C0_4F_O_E_T_M_EO,C0_4F_O_E_T_M_O_EVWW,C0_4F_O_E_T_M_O_ENWNA,C0_4F_O_E_T_M_O_PENS,C0_4F_O_E_T_M_O_E_T,C0_4F_O_E_T_M_LPENS,C0_4F_O_E_T_M_T,C0_4F_LPENS_M_EO,C0_4F_LPENS_M_O_EVWW,C0_4F_LPENS_M_O_ENWNA,C0_4F_LPENS_M_O_PENS,C0_4F_LPENS_M_O_E_T,C0_4F_LPENS_M_LPENS,C0_4F_LPENS_M_T,C0_4F_T_M_EO,C0_4F_T_M_O_EVWW,C0_4F_T_M_O_ENWNA,C0_4F_T_M_O_PENS,C0_4F_T_M_O_E_T,C0_4F_T_M_LPENS,C0_4F_T_M_T,C5_9F_EO_M_EO,C5_9F_EO_M_O_EVWW,C5_9F_EO_M_O_ENWNA,C5_9F_EO_M_O_PENS,C5_9F_EO_M_O_E_T,C5_9F_EO_M_LPENS,C5_9F_EO_M_T,C5_9F_O_EVWW_M_EO,C5_9F_O_EVWW_M_O_EVWW,C5_9F_O_EVWW_M_O_ENWNA,C5_9F_O_EVWW_M_O_PENS,C5_9F_O_EVWW_M_O_E_T,C5_9F_O_EVWW_M_LPENS,C5_9F_O_EVWW_M_T,C5_9F_O_ENWNA_M_EO,C5_9F_O_ENWNA_M_O_EVWW,C5_9F_O_ENWNA_M_O_ENWNA,C5_9F_O_ENWNA_M_O_PENS,C5_9F_O_ENWNA_M_O_E_T,C5_9F_O_ENWNA_M_LPENS,C5_9F_O_ENWNA_M_T,C5_9F_O_PENS_M_EO,C5_9F_O_PENS_M_O_EVWW,C5_9F_O_PENS_M_O_ENWNA,C5_9F_O_PENS_M_O_PENS,C5_9F_O_PENS_M_O_E_T,C5_9F_O_PENS_M_LPENS,C5_9F_O_PENS_M_T,C5_9F_O_E_T_M_EO,C5_9F_O_E_T_M_O_EVWW,C5_9F_O_E_T_M_O_ENWNA,C5_9F_O_E_T_M_O_PENS,C5_9F_O_E_T_M_O_E_T,C5_9F_O_E_T_M_LPENS,C5_9F_O_E_T_M_T,C5_9F_LPENS_M_EO,C5_9F_LPENS_M_O_EVWW,C5_9F_LPENS_M_O_ENWNA,C5_9F_LPENS_M_O_PENS,C5_9F_LPENS_M_O_E_T,C5_9F_LPENS_M_LPENS,C5_9F_LPENS_M_T,C5_9F_T_M_EO,C5_9F_T_M_O_EVWW,C5_9F_T_M_O_ENWNA,C5_9F_T_M_O_PENS,C5_9F_T_M_O_E_T,C5_9F_T_M_LPENS,C5_9F_T_M_T,C10_12F_EO_M_EO,C10_12F_EO_M_O_EVWW,C10_12F_EO_M_O_ENWNA,C10_12F_EO_M_O_PENS,C10_12F_EO_M_O_E_T,C10_12F_EO_M_LPENS,C10_12F_EO_M_T,C10_12F_O_EVWW_M_EO,C10_12F_O_EVWW_M_O_EVWW,C10_12F_O_EVWW_M_O_ENWNA,C10_12F_O_EVWW_M_O_PENS,C10_12F_O_EVWW_M_O_E_T,C10_12F_O_EVWW_M_LPENS,C10_12F_O_EVWW_M_T,C10_12F_O_ENWNA_M_EO,C10_12F_O_ENWNA_M_O_EVWW,C10_12F_O_ENWNA_M_O_ENWNA,C10_12F_O_ENWNA_M_O_PENS,C10_12F_O_ENWNA_M_O_E_T,C10_12F_O_ENWNA_M_LPENS,C10_12F_O_ENWNA_M_T,C10_12F_O_PENS_M_EO,C10_12F_O_PENS_M_O_EVWW,C10_12F_O_PENS_M_O_ENWNA,C10_12F_O_PENS_M_O_PENS,C10_12F_O_PENS_M_O_E_T,C10_12F_O_PENS_M_LPENS,C10_12F_O_PENS_M_T,C10_12F_O_E_T_M_EO,C10_12F_O_E_T_M_O_EVWW,C10_12F_O_E_T_M_O_ENWNA,C10_12F_O_E_T_M_O_PENS,C10_12F_O_E_T_M_O_E_T,C10_12F_O_E_T_M_LPENS,C10_12F_O_E_T_M_T,C10_12F_LPENS_M_EO,C10_12F_LPENS_M_O_EVWW,C10_12F_LPENS_M_O_ENWNA,C10_12F_LPENS_M_O_PENS,C10_12F_LPENS_M_O_E_T,C10_12F_LPENS_M_LPENS,C10_12F_LPENS_M_T,C10_12F_T_M_EO,C10_12F_T_M_O_EVWW,C10_12F_T_M_O_ENWNA,C10_12F_T_M_O_PENS,C10_12F_T_M_O_E_T,C10_12F_T_M_LPENS,C10_12F_T_M_T,C13_14F_EO_M_EO,C13_14F_EO_M_O_EVWW,C13_14F_EO_M_O_ENWNA,C13_14F_EO_M_O_PENS,C13_14F_EO_M_O_E_T,C13_14F_EO_M_LPENS,C13_14F_EO_M_T,C13_14F_O_EVWW_M_EO,C13_14F_O_EVWW_M_O_EVWW,C13_14F_O_EVWW_M_O_ENWNA,C13_14F_O_EVWW_M_O_PENS,C13_14F_O_EVWW_M_O_E_T,C13_14F_O_EVWW_M_LPENS,C13_14F_O_EVWW_M_T,C13_14F_O_ENWNA_M_EO,C13_14F_O_ENWNA_M_O_EVWW,C13_14F_O_ENWNA_M_O_ENWNA,C13_14F_O_ENWNA_M_O_PENS,C13_14F_O_ENWNA_M_O_E_T,C13_14F_O_ENWNA_M_LPENS,C13_14F_O_ENWNA_M_T,C13_14F_O_PENS_M_EO,C13_14F_O_PENS_M_O_EVWW,C13_14F_O_PENS_M_O_ENWNA,C13_14F_O_PENS_M_O_PENS,C13_14F_O_PENS_M_O_E_T,C13_14F_O_PENS_M_LPENS,C13_14F_O_PENS_M_T,C13_14F_O_E_T_M_EO,C13_14F_O_E_T_M_O_EVWW,C13_14F_O_E_T_M_O_ENWNA,C13_14F_O_E_T_M_O_PENS,C13_14F_O_E_T_M_O_E_T,C13_14F_O_E_T_M_LPENS,C13_14F_O_E_T_M_T,C13_14F_LPENS_M_EO,C13_14F_LPENS_M_O_EVWW,C13_14F_LPENS_M_O_ENWNA,C13_14F_LPENS_M_O_PENS,C13_14F_LPENS_M_O_E_T,C13_14F_LPENS_M_LPENS,C13_14F_LPENS_M_T,C13_14F_TM_EO,C13_14F_TM_O_EVWW,C13_14F_TM_O_ENWNA,C13_14F_TM_O_PENS,C13_14F_TM_O_E_T,C13_14F_TM_LPENS,C13_14F_TM_T,C15_17F_EO_M_EO,C15_17F_EO_M_O_EVWW,C15_17F_EO_M_O_ENWNA,C15_17F_EO_M_O_PENS
101021007,111,5,0,0,5,0,121,5,10,0,0,10,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,10,0,0,10,0,9,0,0,0,0,0,0,0,116,13,0,0,13,0,134,150,5,0,0,5,0,154,0,12,0,0,12,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,10,0,11,0,0,0,0,0,0,0,150,14,0,0,16,0,166,75,3,0,0,3,0,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,3,0,0,3,0,82,47,0,0,0,0,0,47,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,44,0,0,0,0,0,46,72,0,0,0
101021008,295,15,0,0,15,0,306,10,38,6,0,43,0,59,0,3,0,0,3,0,3,0,0,0,0,0,0,0,10,44,6,0,47,0,61,3,0,0,0,0,0,3,307,53,6,0,56,0,366,290,14,0,0,14,0,310,23,35,0,0,35,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,35,0,0,35,0,57,4,0,0,0,0,0,3,316,51,0,0,50,3,373,171,8,0,0,8,0,182,8,21,0,0,25,0,33,0,0,0,0,3,0,3,0,0,0,0,0,0,0,8,20,3,0,24,0,35,0,0,0,0,0,3,3,187,28,3,0,30,3,218,120,4,0,0,4,0,122,3,16,0,0,16,0,15,0,0,0,0,3,0,3,0,0,0,0,0,0,0,3,18,0,0,20,0,21,0,0,0,0,0,3,3,126,19,0,0,20,3,150,158,10,0,0
101021009,325,12,0,0,19,0,343,28,130,3,0,136,0,163,0,9,4,0,11,0,11,0,0,0,0,0,0,0,28,138,7,0,153,0,175,0,0,0,0,0,0,0,351,156,7,0,170,0,520,232,11,0,0,11,0,247,26,82,3,0,86,0,107,0,15,0,0,13,0,13,0,0,0,0,0,0,0,26,94,5,0,97,0,117,0,0,0,0,0,0,0,254,103,5,0,108,0,363,110,3,0,0,3,0,108,14,38,0,0,39,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,38,0,0,39,0,53,0,0,0,0,0,0,0,120,45,0,0,43,0,162,68,0,0,0,0,0,73,0,22,0,0,21,0,24,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,21,0,0,25,0,29,0,0,0,0,0,0,0,74,22,0,0,27,0,96,120,0,0,0
101021010,159,3,0,0,3,0,160,3,93,0,0,93,0,99,0,6,0,0,11,0,11,0,0,0,0,0,0,0,6,99,3,0,103,0,111,0,0,0,0,0,0,0,166,108,3,0,110,0,272,103,12,0,0,12,0,109,8,48,0,0,48,0,53,0,3,0,0,3,0,3,0,0,0,0,0,0,0,8,52,0,0,52,0,62,0,0,0,0,0,0,0,108,64,0,0,64,0,170,61,5,0,0,5,0,72,0,20,0,0,20,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,24,0,20,0,0,0,0,0,0,0,65,25,0,0,27,0,93,34,3,0,0,3,0,38,0,10,0,0,10,0,10,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,8,0,0,8,0,10,0,0,0,0,0,0,0,36,11,0,0,11,0,48,58,4,0,0
101021011,772,20,0,0,20,0,789,25,43,3,0,40,0,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,39,3,0,44,0,66,0,0,0,0,0,3,3,793,62,3,0,65,3,859,859,30,0,0,30,3,888,32,36,4,0,43,0,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,36,3,0,46,0,79,3,0,0,0,0,3,7,895,68,3,0,71,6,969,517,10,0,0,10,3,524,14,26,0,0,26,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,26,0,0,28,0,43,7,0,0,0,0,3,5,539,32,0,0,35,3,576,346,5,0,0,5,3,360,7,11,0,0,11,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,11,0,0,11,0,23,0,0,0,0,0,0,3,358,18,0,0,18,3,383,473,13,0,0
101021012,570,21,0,0,21,0,592,31,66,0,0,68,0,95,0,0,3,0,3,0,3,0,0,0,0,0,0,0,31,66,5,0,71,0,100,0,0,0,0,0,0,0,600,88,5,0,89,0,690,689,21,0,0,21,0,712,27,78,0,0,78,0,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,78,3,0,78,0,114,0,0,0,0,0,0,0,720,100,3,0,97,0,822,408,16,0,0,16,0,424,13,45,5,0,53,0,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,45,5,0,53,0,67,0,0,0,0,0,0,0,425,61,5,0,66,0,489,276,14,0,0,14,0,282,14,26,0,0,31,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,26,0,0,32,0,40,0,0,0,0,0,0,0,284,40,0,0,39,0,324,405,10,0,0
101031013,105,0,0,0,0,0,105,0,3,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,3,0,0,0,0,0,0,0,105,3,0,0,3,0,108,105,0,0,0,0,0,103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105,0,0,0,4,0,108,53,0,0,0,0,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0,0,0,0,0,57,27,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,27,39,0,0,0
101031014,200,7,0,0,7,0,205,7,11,0,0,11,0,14,0,3,0,0,3,0,3,0,0,0,0,0,0,0,7,16,0,0,16,0,17,0,0,0,0,0,0,0,206,16,0,0,16,0,228,218,5,0,0,5,0,225,9,17,0,0,17,0,22,3,0,0,0,0,0,4,0,0,0,0,0,0,0,8,19,0,0,19,0,24,0,0,0,0,0,0,0,226,20,0,0,20,0,249,125,0,0,0,0,0,131,0,6,0,0,6,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,7,0,7,0,0,0,0,0,0,0,132,7,0,0,7,0,138,65,0,0,0,0,0,65,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,65,0,0,0,4,0,69,94,4,0,0
101031015,105,0,0,0,0,0,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,3,0,0,0,0,0,0,0,105,3,0,0,3,0,104,159,0,0,0,0,0,159,3,3,0,0,3,0,7,0,3,0,0,3,0,3,0,0,0,0,0,0,0,3,6,0,0,6,0,7,0,0,0,0,0,0,0,166,6,0,0,6,0,168,97,0,0,0,0,0,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101,0,0,0,0,0,101,58,0,0,0,0,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,0,0,0,0,0,59,92,0,0,0
101031016,228,0,0,0,0,0,228,9,9,0,0,9,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,0,0,9,0,14,0,0,0,0,0,0,0,239,9,0,0,9,0,250,313,7,0,0,7,0,321,15,12,0,0,12,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,12,0,0,12,0,24,0,0,0,0,0,3,3,332,20,0,0,20,3,350,195,3,0,0,3,0,196,4,7,0,0,7,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,0,0,7,0,11,0,0,0,0,0,4,4,200,9,0,0,9,4,209,95,3,0,0,3,0,103,0,0,0,0,0,0,5,3,0,0,0,0,0,3,0,0,0,0,0,0,0,5,3,0,0,3,0,3,0,0,0,0,0,0,0,104,3,0,0,3,0,106,116,0,0,0
