SA2_MAINCODE_2016,POL_Greek_SEO,POL_Greek_SOLSE_VWorW,POL_Greek_SOLSE_NWorNAA,POL_Greek_SOLSE_Tot,POL_Greek_NS,POL_Greek_Tot,POL_IAL_Bengali_SEO,POL_IAL_Bengali_SOLSE_VWorW,POL_IAL_Bengali_SOLSE_NWorNAA,POL_IAL_Bengali_SOLSE_Tot,POL_IAL_Bengali_NS,POL_IAL_Bengali_Tot,POL_IAL_Hindi_SEO,POL_IAL_Hindi_SOLSE_VWorW,POL_IAL_Hindi_SOLSE_NWorNAA,POL_IAL_Hindi_SOLSE_Tot,POL_IAL_Hindi_NS,POL_IAL_Hindi_Tot,POL_IAL_Punjabi_SEO,POL_IAL_Punjabi_SOLSE_VWorW,POL_IAL_Punjabi_SOLSE_NWorNAA,POL_IAL_Punjabi_SOLSE_Tot,POL_IAL_Punjabi_NS,POL_IAL_Punjabi_Tot,POL_IAL_Sinhalese_SEO,POL_IAL_Sinhalese_SOLSE_VWorW,POL_IAL_Sinhale_SOLSE_NWorNAA,POL_IAL_Sinhalese_SOLSE_Tot,POL_IAL_Sinhalese_NS,POL_IAL_Sinhalese_Tot,POL_IAL_Urdu_SEO,POL_IAL_Urdu_SOLSE_VWorW,POL_IAL_Urdu_SOLSE_NWorNAA,POL_IAL_Urdu_SOLSE_Tot,POL_IAL_Urdu_NS,POL_IAL_Urdu_Tot,POL_IAL_Oth_SEO,POL_IAL_Oth_SOLSE_VWorW,POL_IAL_Oth_SOLSE_NWorNAA,POL_IAL_Oth_SOLSE_Tot,POL_IAL_Oth_NS,POL_IAL_Oth_Tot,POL_IAL_Tot_SEO,POL_IAL_Tot_SOLSE_VWorW,POL_IAL_Tot_SOLSE_NWorNAA,POL_IAL_Tot_SOLSE_Tot,POL_IAL_Tot_NS,POL_IAL_Tot_Tot,POL_Italian_SEO,POL_Italian_SOLSE_VWorW,POL_Italian_SOLSE_NWorNAA,POL_Italian_SOLSE_Tot,POL_Italian_NS,POL_Italian_Tot,POL_Japanese_SEO,POL_Japanese_SOLSE_VWorW,POL_Japanese_SOLSE_NWorNAA,POL_Japanese_SOLSE_Tot,POL_Japanese_NS,POL_Japanese_Tot,POL_Korean_SEO,POL_Korean_SOLSE_VWorW,POL_Korean_SOLSE_NWorNAA,POL_Korean_SOLSE_Tot,POL_Korean_NS,POL_Korean_Tot,POL_Macedonian_SEO,POL_Macedonian_SOLSE_VWorW,POL_Macedonian_SOLSE_NWorNAA,POL_Macedonian_SOLSE_Tot,POL_Macedonian_NS,POL_Macedonian_Tot,POL_Maltese_SEO,POL_Maltese_SOLSE_VWorW,POL_Maltese_SOLSE_NWorNAA,POL_Maltese_SOLSE_Tot,POL_Maltese_NS,POL_Maltese_Tot,POL_Persian_ED_SEO,POL_Persian_ED_SOLSE_VWorW,POL_Persian_ED_SOLSE_NWorNAA,POL_Persian_ED_SOLSE_Tot,POL_Persian_ED_NS,POL_Persian_ED_Tot,POL_Polish_SEO,POL_Polish_SOLSE_VWorW,POL_Polish_SOLSE_NWorNAA,POL_Polish_SOLSE_Tot,POL_Polish_NS,POL_Polish_Tot,POL_Russian_SEO,POL_Russian_SOLSE_VWorW,POL_Russian_SOLSE_NWorNAA,POL_Russian_SOLSE_Tot,POL_Russian_NS,POL_Russian_Tot,POL_Samoan_SEO,POL_Samoan_SOLSE_VWorW,POL_Samoan_SOLSE_NWorNAA,POL_Samoan_SOLSE_Tot,POL_Samoan_NS,POL_Samoan_Tot,POL_Serbian_SEO,POL_Serbian_SOLSE_VWorW,POL_Serbian_SOLSE_NWorNAA,POL_Serbian_SOLSE_Tot,POL_Serbian_NS,POL_Serbian_Tot,POL_SAL_Filipino_SEO,POL_SAL_Filipino_SOLSE_VWorW,POL_SAL_Filipin_SOLSE_NWorNAA,POL_SAL_Filipino_SOLSE_Tot,POL_SAL_Filipino_NS,POL_SAL_Filipino_Tot,POL_SAL_Indonesian_SEO,POL_SAL_Indonesia_SOLSE_VWorW,POL_SAL_Indones_SOLSE_NWorNAA,POL_SAL_Indonesian_SOLSE_Tot,POL_SAL_Indonesian_NS,POL_SAL_Indonesian_Tot,POL_SAL_Tagalog_SEO,POL_SAL_Tagalog_SOLSE_VWorW,POL_SAL_Tagalog_SOLSE_NWorNAA,POL_SAL_Tagalog_SOLSE_Tot,POL_SAL_Tagalog_NS,POL_SAL_Tagalog_Tot,POL_SAL_Oth_SEO,POL_SAL_Oth_SOLSE_VWorW,POL_SAL_Oth_SOLSE_NWorNAA,POL_SAL_Oth_SOLSE_Tot,POL_SAL_Oth_NS,POL_SAL_Oth_Tot,POL_SAL_Tot_SEO,POL_SAL_Tot_SOLSE_VWorW,POL_SAL_Tot_SOLSE_NWorNAA,POL_SAL_Tot_SOLSE_Tot,POL_SAL_Tot_NS,POL_SAL_Tot_Tot,POL_Spanish_SEO,POL_Spanish_SOLSE_VWorW,POL_Spanish_SOLSE_NWorNAA,POL_Spanish_SOLSE_Tot,POL_Spanish_NS,POL_Spanish_Tot,POL_Tamil_SEO,POL_Tamil_SOLSE_VWorW,POL_Tamil_SOLSE_NWorNAA,POL_Tamil_SOLSE_Tot,POL_Tamil_NS,POL_Tamil_Tot,POL_Thai_SEO,POL_Thai_SOLSE_VWorW,POL_Thai_SOLSE_NWorNAA,POL_Thai_SOLSE_Tot,POL_Thai_NS,POL_Thai_Tot,POL_Turkish_SEO,POL_Turkish_SOLSE_VWorW,POL_Turkish_SOLSE_NWorNAA,POL_Turkish_SOLSE_Tot,POL_Turkish_NS,POL_Turkish_Tot,POL_Vietnamese_SEO,POL_Vietnamese_SOLSE_VWorW,POL_Vietnamese_SOLSE_NWorNAA,POL_Vietnamese_SOLSE_Tot,POL_Vietnamese_NS,POL_Vietnamese_Tot,POL_Oth_SEO,POL_Oth_SOLSE_VWorW,POL_Oth_SOLSE_NWorNAA,POL_Oth_SOLSE_Tot,POL_Oth_NS,POL_Oth_Tot,POL_Tot_SEO,POL_Tot_SOLSE_VWorW,POL_Tot_SOLSE_NWorNAA,POL_Tot_SOLSE_Tot,POL_Tot_NS,POL_Tot_Tot,P_LSatH_NS_SEO,P_LSatH_NS_SOLSE_VWorW,P_LSatH_NS_SOLSE_NWorNAA,P_LSatH_NS_SOLSE_Tot,P_LSatH_NS_NS,P_LSatH_NS_Tot,P_Tot_SEO,P_Tot_SOLSE_VWorW,P_Tot_SOLSE_NWorNAA,P_Tot_SOLSE_Tot,P_Tot_NS,P_Tot_Tot
101021007,..,4,0,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,7,6,11,0,11,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,8,6,15,0,15,..,11,0,11,0,11,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,3,5,0,5,..,0,0,0,0,0,..,0,0,0,0,0,..,7,0,7,0,7,..,3,0,3,0,3,..,15,0,16,0,16,..,16,0,16,0,16,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,18,3,24,0,24,..,116,12,132,0,130,..,4,0,6,434,439,3300,124,14,134,436,3872
101021008,..,22,3,27,0,27,..,0,0,0,0,0,..,24,0,28,0,28,..,18,0,19,0,19,..,6,0,6,0,6,..,10,3,15,0,20,..,13,0,15,0,15,..,80,6,86,0,88,..,129,11,141,0,142,..,7,0,7,0,7,..,3,0,7,0,7,..,228,54,275,0,279,..,7,0,8,0,8,..,0,0,0,0,0,..,14,0,14,0,14,..,9,3,8,0,8,..,18,0,18,0,25,..,76,15,90,0,92,..,14,0,14,0,14,..,3,0,3,0,3,..,24,0,24,0,24,..,0,0,0,0,0,..,45,0,45,0,45,..,21,0,21,0,21,..,3,3,4,0,4,..,15,3,20,0,20,..,3,0,3,0,3,..,23,4,28,0,28,..,122,18,140,5,144,..,953,149,1102,10,1112,..,29,0,31,446,475,6649,985,149,1136,461,8247
101021009,..,77,24,99,0,99,..,74,6,84,0,81,..,91,9,99,0,99,..,177,16,193,4,198,..,21,0,21,0,21,..,67,9,72,0,79,..,141,4,149,0,149,..,572,37,615,6,621,..,131,30,166,7,171,..,15,3,16,0,16,..,22,6,31,0,31,..,192,50,246,5,247,..,18,0,18,0,18,..,14,3,15,0,15,..,23,7,28,0,26,..,11,3,15,0,15,..,26,0,25,0,25,..,49,4,56,0,60,..,58,0,58,0,58,..,20,9,30,0,30,..,88,4,91,0,93,..,15,4,23,0,23,..,183,10,201,0,200,..,31,3,35,0,35,..,32,0,31,0,36,..,9,7,15,0,20,..,6,0,6,0,6,..,25,13,40,0,40,..,246,53,293,20,314,..,1939,309,2250,52,2300,..,28,4,32,790,823,7719,1966,320,2281,840,10842
101021010,..,22,0,22,0,22,..,87,6,92,0,97,..,59,3,60,0,60,..,105,19,123,0,119,..,6,0,6,0,6,..,30,0,30,0,30,..,37,6,43,0,43,..,318,31,354,0,354,..,42,4,43,0,43,..,5,0,4,0,4,..,3,4,6,0,6,..,63,15,78,0,81,..,0,0,0,0,0,..,4,0,4,0,4,..,11,0,13,0,9,..,13,0,16,0,16,..,7,0,7,0,7,..,16,7,17,4,21,..,17,0,17,0,17,..,16,0,14,0,16,..,24,0,24,0,24,..,0,0,0,0,0,..,52,0,53,0,56,..,24,4,26,4,28,..,5,0,6,0,6,..,9,0,8,0,8,..,0,0,0,0,0,..,11,4,19,0,19,..,126,16,148,8,148,..,839,113,958,18,974,..,13,3,16,273,289,3516,854,116,969,293,4786
101021011,..,30,0,29,0,29,..,0,0,0,0,0,..,13,0,13,0,13,..,33,3,40,0,40,..,10,0,10,0,10,..,0,0,0,0,0,..,5,9,13,0,13,..,72,9,80,0,80,..,121,7,131,0,129,..,9,0,11,0,11,..,4,0,3,0,3,..,57,0,52,0,52,..,10,0,7,0,10,..,0,0,0,0,0,..,25,0,27,0,27,..,4,0,4,0,4,..,3,0,3,0,3,..,32,0,37,0,37,..,11,0,11,0,11,..,8,0,8,0,8,..,37,0,37,0,37,..,3,0,3,0,3,..,60,0,60,0,60,..,50,4,48,0,48,..,0,0,0,0,0,..,7,0,10,0,9,..,3,0,3,0,3,..,9,0,9,0,9,..,139,23,160,0,161,..,904,70,980,5,985,..,38,8,45,1548,1591,14364,944,77,1027,1557,16946
101021012,..,40,0,42,0,42,..,3,0,3,0,3,..,42,0,42,0,42,..,54,6,56,0,56,..,17,0,17,0,17,..,15,0,15,0,15,..,18,0,23,0,23,..,148,9,160,0,160,..,134,11,147,0,144,..,5,0,5,0,5,..,0,0,0,0,0,..,211,23,231,3,234,..,8,0,8,0,8,..,9,0,10,0,10,..,20,0,20,0,20,..,26,3,24,0,24,..,8,0,8,0,8,..,59,0,64,0,64,..,18,0,19,0,19,..,18,0,18,0,18,..,27,0,27,0,27,..,0,0,0,0,0,..,70,0,68,0,68,..,42,4,48,0,49,..,13,0,13,0,13,..,20,3,23,0,23,..,19,0,20,0,22,..,4,3,13,0,13,..,154,24,178,8,184,..,1225,107,1334,12,1353,..,19,0,19,486,507,10783,1248,113,1358,498,12643
101031013,..,5,0,5,0,5,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,5,0,5,0,5,..,0,0,0,3,5,..,10,8,17,0,17,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,9,0,10,0,10,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,9,0,9,0,9,..,53,6,65,3,68,..,6,0,9,162,171,2155,61,13,71,169,2390
101031014,..,19,0,25,0,25,..,0,0,0,0,0,..,7,0,7,0,7,..,3,0,3,0,3,..,19,0,19,0,19,..,5,0,5,0,5,..,4,0,4,0,4,..,32,0,32,0,32,..,48,5,51,0,51,..,3,0,3,0,3,..,3,0,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,9,0,9,0,9,..,4,0,4,0,4,..,0,0,0,0,0,..,8,0,8,0,8,..,0,0,0,0,0,..,13,3,14,0,14,..,10,0,10,0,10,..,3,0,3,0,3,..,23,3,21,0,21,..,8,0,8,0,8,..,0,0,0,0,0,..,5,4,12,0,12,..,3,0,4,0,4,..,9,3,14,0,14,..,70,10,84,0,84,..,397,45,443,3,454,..,10,3,19,703,717,5569,408,52,465,703,6742
101031015,..,7,0,7,0,7,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,4,0,4,0,4,..,7,0,7,0,7,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,3,0,3,..,0,0,0,0,0,..,3,0,3,0,3,..,6,0,6,0,6,..,0,0,0,0,0,..,3,4,5,0,5,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,18,3,20,0,20,..,112,4,117,0,117,..,7,0,7,279,285,2883,117,10,124,279,3280
101031016,..,3,0,6,0,6,..,0,0,0,0,0,..,3,0,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,6,0,6,0,6,..,27,0,27,0,27,..,8,0,8,3,11,..,3,3,5,0,5,..,7,3,6,0,6,..,0,0,0,0,0,..,0,0,0,0,0,..,9,0,10,0,10,..,7,0,7,0,7,..,0,0,0,0,0,..,5,0,5,0,5,..,0,0,0,0,0,..,6,0,6,0,6,..,3,0,3,0,3,..,0,0,0,0,0,..,12,0,12,0,12,..,7,0,7,0,7,..,0,0,0,0,0,..,17,5,21,0,21,..,12,0,12,0,12,..,0,0,0,0,0,..,52,6,60,0,61,..,341,45,387,11,397,..,17,0,17,581,605,5950,361,45,406,593,6951
