SA2_MAINCODE_2016,P_85y_ov_DNUDW,P_85y_ov_UDW_NS,P_85y_ov_Total,P_Tot_DUDW_LT_5_h,P_Tot_DUDW_5_14_h,P_Tot_DUDW_15_29_h,P_Tot_DUDW_30_h_mo,P_Tot_DNUDW,P_Tot_UDW_NS,P_Tot_Total
102011035,40,20,93,1283,1528,692,531,992,295,5324
102011036,105,20,180,1488,1885,907,632,1121,317,6355
102011037,78,22,163,1140,1520,702,526,906,289,5084
102011038,72,30,201,1263,1614,796,581,983,378,5626
102011039,81,33,202,2784,3121,1475,1021,1895,670,10968
102011040,341,281,954,3946,5088,2385,2010,4380,1921,19735
102011041,73,31,193,1762,2233,1125,822,1249,463,7656
102011042,301,136,631,2312,2922,1461,1203,2711,1200,11801
102011043,260,166,599,1944,2371,1140,898,2151,845,9346
102021044,409,273,951,3750,4418,2262,1811,3939,1677,17856
102021045,48,29,122,1713,2084,1004,964,2106,598,8461
102021046,110,66,275,1469,1934,1025,844,1802,710,7779
102021047,169,102,428,2690,3386,1591,1342,2510,803,12316
102021048,417,264,875,3493,4219,2176,1749,4428,2065,18128
102021049,11,0,32,562,735,427,323,397,288,2722
102021050,115,76,282,1628,2242,1178,1019,2186,791,9043
102021051,14,6,53,925,1112,541,410,705,192,3891
102021052,48,12,94,893,1318,613,548,1064,298,4728
102021053,172,125,478,2528,3246,1396,1138,2922,1345,12582
102021054,196,158,487,1474,1906,975,808,2071,1026,8258
102021055,28,38,87,889,1067,525,386,960,356,4182
102021056,133,57,259,2525,2988,1329,1282,2570,721,11416
102021057,59,42,159,1393,1723,800,761,1740,717,7133
103011058,248,130,596,4146,5225,2218,1762,3695,2468,19517
103011059,91,68,225,1793,2301,1139,894,1632,728,8478
103011060,22,14,74,1044,1512,814,642,753,926,5691
103011061,55,19,108,643,918,463,424,761,657,3866
103021062,71,43,185,898,1114,592,623,1187,788,5209
103021063,190,69,386,1286,1735,970,884,1758,883,7519
103021064,63,17,120,786,1056,617,569,947,493,4467
103021065,144,54,276,1494,1952,990,907,1790,1001,8135
103021066,61,27,148,490,711,434,411,616,382,3038
103021067,137,108,344,1557,2097,1102,951,1884,1097,8692
103021068,38,20,80,500,627,337,330,583,378,2760
103021069,52,84,211,858,1063,557,563,919,753,4711
103031070,160,75,381,1741,2496,1270,1100,2431,1619,10670
103031071,63,31,133,1134,1566,911,870,1268,1071,6821
103031072,170,35,304,1770,2378,1186,950,1782,1063,9135
103031073,27,17,80,394,685,364,416,597,440,2896
103031074,71,37,162,1316,1955,1130,1128,1502,1303,8332
103031075,0,0,0,0,0,0,0,0,0,0
103041076,76,34,169,1142,1487,806,666,1045,621,5760
103041077,356,113,662,3080,3986,1747,1342,3675,1697,15534
103041078,113,36,240,3306,4213,1893,1527,2978,1044,14968
103041079,76,42,197,1782,2533,1259,1074,1512,902,9056
104011080,378,117,725,2621,3677,1903,1760,3476,1740,15191
104011081,97,54,233,1996,3166,1889,1900,2375,1489,12801
104011082,327,114,657,2227,3543,2052,1845,2798,1564,14045
104021083,63,15,122,849,1355,773,588,588,421,4568
104021084,177,143,503,2891,3654,1779,1363,3076,1493,14255
104021085,178,275,566,1685,2216,1013,709,1819,1243,8685
104021086,14,6,33,517,888,446,398,481,340,3065
104021087,34,18,90,428,734,408,397,441,325,2726
104021088,43,20,113,1457,2104,1107,779,1009,491,6945
104021089,226,122,545,3094,4437,2167,1688,3198,1256,15841
104021090,83,37,165,644,1096,591,485,794,412,4018
104021091,120,40,300,1870,2657,1363,1123,2195,1077,10280
105011092,25,16,59,479,590,301,261,792,646,3072
105011093,40,17,78,625,852,420,402,781,546,3624
105011094,57,34,105,516,696,348,335,738,621,3257
105011095,61,31,121,650,984,411,367,957,589,3962
105011096,41,15,80,854,1051,471,485,1394,875,5124
105021097,292,123,593,2330,3588,1713,1567,3911,1662,14767
105021098,11,9,28,304,376,191,205,567,386,2026
105031099,130,51,258,1019,1473,888,816,1450,890,6543
105031100,110,20,180,1635,2182,989,799,1800,799,8204
105031101,229,95,508,2889,3723,1587,1198,2872,1207,13478
105031102,48,23,114,1368,1781,825,616,1464,706,6758
105031103,19,12,69,826,1201,664,581,659,507,4432
105031104,68,30,132,611,803,454,427,840,418,3555
105031105,79,39,179,911,1222,629,594,1067,706,5127
105031106,120,50,240,1097,1481,772,694,1518,1663,7223
106011107,36,19,88,1602,2118,1037,989,1368,707,7824
106011108,319,97,561,2980,4004,2017,1936,4344,2352,17637
106011109,40,14,85,1106,1684,918,822,1060,796,6388
106011110,59,46,179,1320,1939,1038,991,1225,801,7315
106011111,139,84,330,2530,3410,1686,1614,3457,1337,14033
106011112,159,40,292,2607,3465,1566,1442,2623,942,12640
106011113,15,12,46,656,926,584,578,575,593,3912
106021114,106,26,182,1093,1411,609,511,1126,481,5229
106021115,237,100,522,4676,5842,2963,2264,4464,1547,21758
106021116,41,42,146,1300,1745,904,673,899,362,5884
106021117,152,64,340,3505,4525,2280,1959,3773,1289,17331
106021118,21,5,52,1717,2283,1004,914,1454,338,7714
106031119,32,33,97,906,1202,650,500,999,542,4787
106031120,68,35,155,887,1371,809,725,1167,538,5497
106031121,437,188,904,3217,4699,2483,1901,3811,1765,17867
106031122,139,45,272,2034,2670,1324,1173,2661,1105,10968
106031123,11,3,44,920,1243,689,511,658,306,4325
106031124,112,33,240,683,1201,766,602,890,409,4555
106031125,42,31,129,2118,2872,1552,1227,1889,1158,10817
106041126,64,30,138,1789,2279,1098,1107,1933,1094,9305
106041127,19,18,66,616,830,406,367,554,378,3153
106041128,88,49,185,929,1208,554,454,967,500,4605
106041129,64,48,165,1180,1732,831,789,1199,865,6597
107011131,305,97,593,3855,4818,2491,2090,4549,1249,19047
107011132,57,7,87,1531,1927,885,672,1334,236,6584
107011133,0,0,0,3,0,0,0,7,6,10
107011134,204,151,484,2744,3355,1681,1234,2495,987,12496
107011545,144,40,290,2010,2466,1183,1156,3356,935,11108
107011546,185,58,353,1494,1741,911,787,2287,769,7989
107011547,69,20,133,712,868,462,344,966,359,3711
107021135,0,0,0,0,3,0,0,4,0,8
107031136,171,26,281,2508,3026,1469,1150,2420,605,11174
107031137,48,125,219,1048,1373,726,589,1304,594,5634
107031138,93,99,315,1386,1869,978,650,1139,548,6570
107031139,40,19,117,1057,1449,744,520,719,270,4754
107031140,122,55,268,1368,1794,945,709,970,667,6454
107031141,72,25,170,2915,3675,1805,1331,2483,815,13018
107031142,120,34,236,1717,2074,1057,894,1940,572,8256
107031143,161,129,461,3092,3798,2036,1794,4320,1727,16769
107041144,323,80,666,3977,4702,2118,1552,4148,1132,17636
107041145,217,79,476,2768,3319,1622,1171,2953,881,12718
107041146,251,69,550,4106,4745,2192,1637,3561,889,17126
107041147,79,13,127,1679,1994,960,644,1214,382,6871
107041148,87,24,203,2111,2796,1309,894,1340,549,9000
107041150,277,71,518,3591,4468,2157,1531,2978,981,15693
107041548,192,101,428,3401,3222,994,597,2998,1739,12939
107041549,170,42,344,3541,3608,1366,988,3714,935,14149
108011151,70,17,124,605,975,566,533,869,416,3962
108011152,288,219,785,2016,3044,1764,1318,2759,1357,12259
108011153,32,23,94,822,1299,780,714,910,528,5047
108011154,253,85,447,873,1279,670,569,1508,681,5570
108021155,216,163,480,1704,2456,1418,1305,2800,2186,11870
108021156,71,44,185,1221,1837,1087,1002,1531,957,7624
108021157,82,64,205,659,974,562,464,834,458,3951
108021158,138,126,381,920,1322,791,666,1366,766,5832
108021159,39,29,113,1043,1548,975,913,1106,670,6259
108021160,115,30,207,729,1112,634,521,1019,438,4451
108031161,3,5,10,68,102,39,27,55,41,327
108041162,231,182,633,2347,3672,2165,1767,2925,1481,14367
108041163,506,166,1054,4702,6680,3247,2282,4477,1763,23143
108041164,477,162,913,2638,3713,1794,1411,3542,1554,14658
108041165,23,15,64,794,1107,663,588,689,577,4419
108041166,163,37,314,1561,2304,1295,1083,1760,876,8878
108051167,84,34,173,626,1063,621,596,872,433,4217
108051168,83,94,285,1529,2346,1443,1207,1501,743,8765
108051169,364,231,851,2750,3970,2205,1897,4156,1821,16799
108051170,86,39,222,1558,2598,1680,1576,1968,1285,10665
108051171,89,60,201,735,1054,585,569,1034,467,4428
109011172,165,47,298,2811,3485,1560,1034,2150,785,11833
109011173,122,42,245,1682,2048,964,667,1782,853,7998
109011174,190,128,447,1899,2395,990,693,1713,999,8688
109011175,111,76,268,1732,2360,1302,1168,1594,899,9054
109011176,160,64,335,2306,2902,1412,1071,2934,1254,11890
109021177,22,25,60,399,560,274,258,551,412,2453
109021178,68,21,128,857,1208,589,493,1047,624,4817
109021179,23,7,58,487,687,327,319,634,473,2916
109031180,80,73,219,823,1141,583,488,1004,539,4583
109031181,60,56,194,936,1330,734,644,1161,743,5543
109031182,151,55,280,1123,1564,733,576,1377,788,6160
109031183,71,41,178,1043,1266,761,697,1082,712,5553
109031184,87,36,164,937,1215,613,450,1121,490,4823
109031185,173,79,336,1392,1815,994,897,1802,1142,8040
110011186,225,92,521,4293,5344,2227,1476,4025,1860,19225
110011187,44,13,103,698,923,449,441,665,392,3571
110011188,45,14,107,924,1434,718,564,774,467,4875
110011189,31,44,97,436,660,330,317,507,409,2660
110021190,111,84,279,1193,1719,955,883,1456,1128,7322
110021191,157,54,340,1637,2263,1226,1034,2133,987,9286
110021192,45,23,99,700,981,468,558,899,640,4245
110021193,67,50,170,766,1065,634,655,1037,707,4860
110021194,42,76,176,906,1295,766,803,984,841,5591
110031195,67,27,143,1084,1499,697,529,1588,1084,6481
110031196,15,9,34,765,903,448,460,971,618,4177
110031197,51,55,154,1035,1442,687,586,1162,747,5656
110031198,19,26,74,622,849,452,484,758,570,3736
110041199,144,49,286,1408,1807,924,818,1490,802,7241
110041200,36,16,62,614,750,439,419,689,418,3336
110041201,93,34,191,1026,1461,773,755,1388,843,6243
110041202,148,85,395,3268,4328,2146,1583,3369,1654,16351
110041203,313,120,600,2532,3225,1532,1172,2470,1284,12218
110041204,27,4,53,691,885,420,415,1064,555,4027
110041205,179,95,393,2648,3835,2103,1774,2740,1715,14812
111011206,163,201,560,3138,3960,1978,1515,2894,1016,14496
111011207,61,35,157,904,1225,613,474,1177,365,4758
111011208,272,80,615,4276,5531,2630,1928,3795,1225,19379
111011209,235,106,534,4096,5379,2622,1911,3773,1071,18851
111011210,168,52,277,1345,1695,813,739,1946,606,7151
111011211,34,71,151,569,781,391,312,571,238,2864
111011212,168,75,398,1964,2500,1397,1031,2084,727,9710
111011213,111,21,259,2098,2973,1563,1015,1631,473,9750
111011214,122,44,331,2454,3191,1590,1072,2069,699,11080
111021215,78,132,293,1403,1765,934,766,1557,642,7065
111021216,93,29,185,1465,1922,1070,757,1430,451,7092
111021217,139,90,303,2380,3040,1366,1104,2283,691,10864
111021218,405,105,730,2365,3181,1663,1382,2966,1038,12598
111021219,252,174,581,2192,2926,1495,1243,2550,884,11288
111021220,69,19,169,1432,2132,1179,864,1432,421,7456
111021221,21,6,64,1025,1352,683,629,1161,314,5166
111031222,146,45,385,3009,3704,1724,1248,2255,556,12492
111031223,39,34,145,1310,1619,822,780,1692,586,6810
111031224,90,98,338,2561,2868,1203,681,1891,830,10034
111031225,148,97,455,3186,4022,1759,1197,2364,737,13260
111031226,36,8,73,2416,2925,1361,1007,2119,441,10280
111031227,177,160,442,3032,3595,1273,936,2712,1071,12609
111031228,96,83,330,3160,3367,1407,843,1764,712,11252
111031229,52,30,156,2979,2854,880,436,1620,964,9726
111031230,0,0,0,0,9,3,0,3,0,12
111031231,131,116,352,2602,2128,779,638,3038,773,9956
111031232,73,99,238,1179,1599,888,602,1216,962,6442
111031233,301,201,702,3265,4416,2063,1559,3767,1202,16270
111031234,90,354,591,2444,2742,1118,769,2026,1076,10177
111031235,46,17,109,1904,2102,724,421,1123,532,6803
112011236,398,369,1112,2795,3842,1846,1314,3226,1779,14801
112011237,225,67,516,2629,3857,2041,1662,2309,1230,13726
112011238,38,32,106,963,1325,687,453,552,625,4603
112011239,60,42,188,1443,2039,914,625,1025,782,6835
112011240,108,57,223,1959,2040,877,511,1310,1443,8147
112011241,56,28,150,773,1147,582,483,867,529,4381
112011242,45,18,132,1405,1989,925,559,921,439,6242
112011243,86,25,169,1210,1773,949,698,913,996,6540
112021244,176,80,408,1593,2327,1210,1096,2407,1099,9736
112021245,66,12,113,947,1341,735,795,1159,717,5689
112021246,237,90,486,2263,2882,1386,1105,2051,966,10658
112021247,85,62,209,922,1435,927,830,1186,789,6096
112021248,242,85,485,2627,3458,1510,1119,2582,1391,12686
112021249,65,40,177,2198,3634,2010,1528,1600,1375,12334
112031250,145,108,373,2226,2847,1464,945,2123,1135,10732
112031251,147,154,414,1444,1765,948,754,1454,885,7253
112031252,37,37,134,1439,2136,1206,974,1181,1034,7978
112031253,69,116,279,2069,2908,1444,1134,1868,1005,10433
112031254,471,244,1001,3215,4085,1969,1482,4047,1999,16796
112031550,380,150,776,2588,3341,1727,1268,3210,1074,13195
112031551,21,3,39,517,742,400,304,448,151,2560
112031552,323,105,565,1193,1559,755,624,2150,820,7098
113011256,169,236,596,2976,3464,1661,1325,3767,2018,15205
113011257,80,29,185,2001,2449,1197,1081,2039,1336,10105
113011258,128,38,231,1531,1982,987,802,1733,993,8038
113011259,98,43,202,840,1081,562,533,1138,698,4854
113021260,37,23,91,482,659,357,357,557,476,2886
113021261,81,97,229,828,1182,655,590,1065,766,5082
113021262,37,35,117,655,956,560,467,767,461,3859
113031263,138,51,294,1114,1511,824,741,1430,655,6270
113031264,47,24,103,511,662,366,359,642,331,2873
113031265,55,29,115,795,1004,568,494,884,1398,5139
113031266,124,28,228,906,1293,729,690,1238,587,5445
113031267,123,43,285,2919,3819,1758,1321,2402,861,13085
113031268,69,13,112,1003,948,407,256,711,254,3579
113031269,262,77,510,3591,4598,2046,1576,3570,1222,16604
113031270,193,78,399,2171,2606,999,796,2465,1156,10193
113031271,91,75,267,2235,2999,1533,1350,2172,1347,11636
114011272,168,61,376,1334,2083,1186,866,1253,832,7553
114011273,33,19,86,546,805,457,377,602,317,3104
114011274,109,30,214,720,1033,572,493,998,512,4316
114011275,0,0,0,6,13,8,3,8,11,42
114011276,56,36,161,689,1060,582,366,602,350,3644
114011277,163,108,430,2529,3403,1807,1449,2562,1138,12881
114011278,192,142,475,2805,3842,1837,1632,3449,2486,16048
114011279,205,131,457,1938,2907,1527,1395,2704,1188,11657
114011280,127,41,234,610,871,561,494,923,397,3858
114011281,9,6,32,549,834,473,329,404,251,2834
114011282,199,200,595,2184,3350,1889,1543,2605,1350,12925
114011283,32,23,96,686,1153,734,565,716,470,4337
114021284,312,82,653,2165,2996,1686,1230,1971,881,10929
114021285,13,13,45,1006,1274,620,581,863,344,4674
114021286,64,108,261,1595,2081,995,743,1272,806,7483
114021287,144,19,255,1632,2161,1040,805,1607,734,7986
114021288,16,8,45,517,787,472,365,402,309,2850
114021289,52,68,171,1027,1556,926,701,794,548,5555
115011290,200,111,463,4338,5043,2325,1839,3574,809,17923
115011291,79,10,174,4169,4391,2147,1610,3299,524,16144
115011294,93,25,210,1256,1378,731,564,962,218,5117
115011296,102,9,182,2739,2814,1448,1068,2063,312,10437
115011553,33,5,92,1555,1742,789,546,1144,266,6037
115011554,204,415,844,1022,1141,570,374,996,691,4798
115011555,58,32,186,2411,2641,1348,892,1888,402,9573
115011556,67,17,141,1824,2108,1002,785,1519,309,7541
115011557,23,3,43,1118,1066,507,376,921,142,4122
115011558,238,52,451,3837,4254,2120,1453,3202,474,15336
115011559,67,8,127,4645,4947,2204,1691,3555,680,17719
115021297,226,39,416,3981,4481,2309,1904,3205,1156,17031
115021298,90,28,189,905,1174,633,529,731,268,4237
115031299,14,3,33,395,592,300,260,317,373,2243
115031300,90,38,227,3882,4967,2395,1968,2874,1386,17471
115041301,50,25,121,1920,2225,1157,811,1630,514,8256
115041302,51,12,113,4291,4588,2184,1596,3446,700,16803
116011303,149,75,302,2726,3000,1283,1262,4154,1067,13481
116011304,197,51,342,2938,3293,1435,1342,4390,918,14315
116011306,92,22,183,3800,4196,1719,1577,5418,1113,17831
116011307,231,64,429,4460,5285,2256,1797,4777,1342,19921
116011308,118,38,254,4117,4502,2106,1864,5209,1369,19168
116011560,48,27,133,2108,2269,971,925,2774,673,9725
116011561,221,47,358,2676,2921,1309,1132,3942,858,12839
116021309,43,4,65,3157,3336,1492,1146,2886,369,12380
116021310,49,8,99,5692,6650,2677,2094,4644,2066,23822
116021312,50,22,141,2869,3543,1553,1276,2971,1186,13410
116021562,8,0,18,728,820,356,259,645,104,2897
116021563,108,18,164,4248,4775,2054,1651,4020,743,17490
116031313,50,23,109,2286,2534,1114,1344,4844,1654,13786
116031314,78,5,101,1365,1460,598,582,1941,333,6276
116031315,103,9,155,3542,3485,1447,1419,5014,988,15899
116031316,61,27,118,2664,3066,1363,1435,4769,1914,15210
116031317,92,34,195,3165,3136,1420,1706,6113,1507,17043
116031318,0,0,0,4,4,0,0,13,12,38
116031319,327,29,417,3513,3763,1606,1471,5441,994,16786
117011320,0,0,0,10,3,0,0,3,0,21
117011321,44,97,185,2208,2251,848,524,1911,846,8592
117011322,150,40,332,5034,4658,1688,1239,6503,1599,20715
117011323,111,40,244,2171,2071,857,719,2604,953,9379
117011324,0,0,0,0,0,0,0,3,0,9
117011325,0,0,0,4,5,0,4,17,32,58
117021326,339,46,540,6458,6037,1968,1275,5080,1940,22760
117021327,110,18,216,5663,4995,1490,741,2830,1799,17522
117021328,42,14,99,1948,1858,576,375,1400,519,6672
117031329,22,19,60,3642,2464,460,206,2159,1848,10778
117031330,20,16,60,5238,4537,947,434,2009,1315,14483
117031331,69,64,204,5774,4601,1232,648,3584,2040,17872
117031332,57,21,132,7817,5932,1345,621,4735,2259,22709
117031333,126,195,428,6189,4251,827,389,4015,4743,20413
117031334,43,24,108,5565,4040,940,603,6600,2346,20090
117031335,84,45,184,6447,4482,943,481,6143,2733,21229
117031336,146,40,231,5450,3439,663,315,3503,2232,15606
117031337,64,41,159,5884,3912,1100,608,10443,4207,26159
117031338,104,56,243,8716,6512,1549,1003,9040,3414,30235
118011339,103,55,288,4993,3925,1187,706,2938,1837,15587
118011340,117,60,285,5901,4041,1219,764,3266,2349,17544
118011341,289,199,655,4160,3441,1114,668,2980,1981,14331
118011342,0,0,0,0,0,0,0,0,0,0
118011343,309,162,826,6628,5272,1768,1146,4055,2432,21296
118011344,127,38,281,2541,2285,857,512,1802,651,8646
118011345,94,29,196,4534,3515,1021,590,2095,1441,13199
118011346,108,60,334,2612,2333,984,692,2039,782,9439
118011347,133,65,290,1976,1733,589,367,1103,782,6553
118021348,153,80,399,6806,5648,1889,1135,3636,2141,21249
118021350,268,172,632,4163,4531,1984,1343,4563,3458,20047
118021564,119,34,236,3885,2790,811,496,4335,1106,13418
118021565,117,27,255,3541,2842,1005,627,4955,860,13838
118021566,214,42,396,2126,2078,822,574,2079,527,8208
118021567,105,47,259,2250,2295,844,605,2082,852,8930
118021568,85,29,194,2115,1970,765,546,2518,655,8579
118021569,293,105,514,4465,3982,1147,733,2764,1105,14197
118021570,133,47,297,3248,2873,889,502,2359,1362,11228
119011354,399,53,588,3225,3275,1529,1625,5908,1351,16922
119011355,3,0,3,164,157,65,52,199,68,713
119011356,85,30,192,1735,1650,786,819,2961,700,8649
119011357,334,55,562,3651,3466,1607,1927,7341,1689,19678
119011358,298,82,610,3141,3210,1539,1150,3762,877,13677
119011359,207,51,518,4703,5212,2513,1973,4948,1210,20559
119011360,246,104,497,2861,3059,1358,1140,3838,888,13144
119011361,282,83,535,3237,3072,1398,1485,5713,1305,16214
119011571,157,32,256,2325,2333,999,1071,4659,1190,12577
119011572,143,45,271,2259,2134,987,1062,4784,1380,12606
119021362,220,24,388,3330,3264,1469,1300,5017,1135,15510
119021363,347,54,569,5581,5074,2183,1927,9152,1916,25835
119021364,324,73,687,4459,4649,2137,1667,4975,1420,19318
119021366,131,43,297,2950,2863,1273,1500,6143,1366,16083
119021367,155,26,299,2299,2267,1061,975,3408,798,10812
119021573,137,93,287,2250,2281,1010,1346,4701,1143,12734
119021574,39,6,70,1417,1360,680,749,2774,757,7742
119031368,275,68,463,4296,4015,1735,1354,7455,1284,20135
119031369,301,78,608,4794,5161,2144,1498,4950,1234,19780
119031370,203,52,424,2558,2557,1197,958,3434,728,11439
119031371,125,31,318,2623,2749,1381,958,2175,500,10390
119031372,350,141,737,3365,3632,1847,1436,3547,849,14674
119031373,119,42,246,1957,1934,847,750,3204,815,9507
119031374,331,60,624,4716,4524,2085,1646,6154,979,20107
119041375,192,39,311,4487,4001,1319,1027,6128,1509,18470
119041376,312,282,756,4641,4920,2053,1686,6637,1819,21753
119041377,140,33,344,2457,2510,1203,895,2705,580,10350
119041378,117,36,242,2184,2204,935,651,2844,650,9455
119041379,138,32,276,3060,3136,1364,1036,3878,787,13261
119041380,168,50,347,2606,2706,1059,853,3320,1182,11730
119041381,246,186,539,3826,3529,1317,1061,5903,1542,17182
119041382,246,90,565,3035,3380,1367,1035,3374,1123,13319
120011383,318,44,571,4484,4789,2076,1438,4155,1063,18005
120011384,149,26,251,5168,4801,1798,1320,6659,1438,21181
120011385,319,79,601,4118,4229,1622,1091,2884,1204,15145
120011386,294,83,589,4445,4612,1790,1298,3488,1305,16929
120021387,52,27,161,3825,4048,1333,729,1707,1310,12952
120021388,226,36,381,6187,6591,2184,1219,3435,1818,21437
120021389,100,28,186,3321,3517,1148,648,1758,1017,11409
120031390,446,98,724,5185,5148,1846,1225,6322,1744,21464
120031391,302,73,579,5030,4449,1857,1338,7528,1442,21644
120031392,74,16,146,2078,2461,944,598,2024,596,8697
120031393,232,52,459,3510,3524,1437,1143,3833,806,14259
120031394,120,57,274,4262,4041,1348,758,2566,1277,14257
120031395,227,36,406,3021,3224,1224,760,2208,747,11185
120031396,55,11,107,3078,2905,1140,896,4245,1463,13725
120031575,369,71,666,5156,4393,1943,1489,7319,1581,21874
120031576,21,3,46,720,695,311,252,739,197,2911
121011398,309,112,614,5972,5739,2257,1721,6396,1589,23676
121011399,249,33,447,4900,4908,1819,1181,3509,951,17266
121011400,293,71,668,5958,6309,2669,1685,3750,1185,21558
121011401,29,13,97,2680,2670,830,459,1560,692,8899
121011402,313,64,681,5041,5625,2712,1819,3434,1017,19654
121021403,112,30,271,3545,4326,2151,1338,2467,559,14390
121021404,41,20,116,2262,2936,1334,927,1314,367,9142
121021406,196,39,384,3628,4299,2152,1409,2535,660,14678
121021577,85,15,169,2341,2612,987,794,2492,465,9686
121021578,95,43,239,2041,2417,1092,805,1698,550,8601
121021579,190,49,357,1788,2070,856,686,1819,438,7657
121031407,386,85,731,4432,4631,2270,1691,3541,808,17376
121031408,212,98,599,4895,5087,2596,1721,3049,876,18234
121031409,111,28,350,3310,3644,1875,1267,2127,494,12718
121031410,176,90,604,4028,4563,2398,1562,2931,691,16173
121031411,382,320,1166,3692,4455,2201,1591,2591,989,15510
121031412,264,64,590,3739,3891,2020,1379,2623,760,14409
121041413,94,44,287,5123,4920,1556,926,2297,1206,16032
121041414,72,37,235,5148,4920,1433,766,2234,1176,15682
121041415,365,174,910,6590,6574,2632,1716,4003,1944,23465
121041416,249,94,508,5237,4500,1264,663,2722,1546,15929
121041417,40,15,117,3098,2738,742,399,1637,1030,9642
122011418,119,47,401,4032,4587,2030,1443,2424,873,15391
122011419,129,159,483,5878,5061,1722,968,3189,1796,18617
122021420,154,32,338,2469,3051,1500,892,1589,604,10101
122021421,147,102,413,2037,2488,1243,833,1485,713,8797
122021422,81,22,206,2814,3246,1486,918,1641,501,10603
122021423,224,238,699,4848,5698,2440,1564,3184,1463,19191
122031424,174,53,383,2660,3014,1371,893,2482,674,11094
122031425,105,30,248,1427,1712,787,453,1193,346,5921
122031426,140,57,375,5819,5515,1948,1270,4403,1621,20591
122031427,150,68,408,2447,2842,1419,925,1772,441,9843
122031428,337,115,719,4855,5710,2824,1706,3659,952,19702
122031429,172,46,366,5030,4897,1672,1073,2955,1251,16881
122031430,201,165,516,3423,3694,1583,1122,2298,870,12991
122031431,623,273,1282,5462,5595,2231,1463,3964,1653,20366
122031432,80,5,109,724,817,385,265,563,183,2931
123011433,301,180,609,2356,2811,1369,990,2110,731,10375
123011434,65,29,153,3963,4407,1990,1500,3140,832,15836
123011435,53,17,115,5401,6120,2600,1897,4278,1006,21313
123021436,60,22,138,2993,3481,1588,1489,3756,1206,14512
123021437,167,62,338,3199,3567,1404,1296,4004,1266,14735
123021438,63,9,115,3531,3851,1608,1453,4241,1188,15863
123021439,0,0,0,0,0,0,0,0,0,0
123021440,88,43,231,3534,3810,1716,1511,4063,1234,15867
123021441,55,23,148,2825,3354,1526,1270,3357,916,13252
123021442,100,206,377,3588,4152,1840,1747,5164,1804,18296
123021443,111,33,167,3204,3648,1561,1528,4557,991,15486
123021444,56,79,186,3529,3891,1815,1563,4168,1405,16373
123031445,29,19,86,903,1229,603,528,899,358,4524
123031446,91,11,129,1682,2050,976,799,1371,513,7391
123031447,95,123,309,2906,3456,1699,1486,2377,1299,13216
123031448,30,10,84,1537,1920,970,832,1264,518,7044
124011449,41,14,104,965,1429,670,501,687,415,4677
124011450,84,33,240,3596,4808,2311,1622,2027,739,15108
124011451,0,0,0,5,4,0,0,0,0,14
124011452,164,51,325,2295,3314,1459,1045,2199,1023,11338
124011453,57,21,140,2050,2885,1330,976,1289,484,9011
124011454,353,73,633,3992,5373,2601,1855,2790,817,17433
124011455,96,12,176,987,1543,743,563,886,352,5076
124021456,0,0,0,0,3,0,0,0,0,3
