SA2_MAINCODE_2016,I_4000more_1AW_OthNW,I_4000more_BNW,I_4000more_LFsta_NS,I_4000more_Tot,Part_inc_stated_BE_WFT,Part_inc_stated_BE_WPT,Part_inc_stated_BE_BAW,Part_inc_stated_1EFT_OthPT,Part_inc_stated_1EFT_OthAW,Part_inc_stated_1EFT_OthNW,Part_inc_stated_1EPT_OthAW,Part_inc_stated_1EPT_OthNW,Part_inc_stated_1AW_OthNW,Part_inc_stated_BNW,Part_inc_stated_LFsta_NS,Part_inc_stated_Tot,All_inc_NS_BE_WFT,All_inc_NS_BE_WPT,All_inc_NS_BE_BAW,All_inc_NS_1EFT_OthPT,All_inc_NS_1EFT_OthAW,All_inc_NS_1EFT_OthNW,All_inc_NS_1EPT_OthAW,All_inc_NS_1EPT_OthNW,All_inc_NS_1AW_OthNW,All_inc_NS_BNW,All_inc_NS_LFsta_NS,All_inc_NS_Tot,Tot_BE_WFT,Tot_BE_WPT,Tot_BE_BAW,Tot_1EFT_OthPT,Tot_1EFT_OthAW,Tot_1EFT_OthNW,Tot_1EPT_OthAW,Tot_1EPT_OthNW,Tot_1AW_OthNW,Tot_BNW,Tot_LFsta_NS,Tot_Tot
101021007,0,0,0,26,13,4,0,5,0,4,0,4,0,3,25,54,0,0,0,0,0,0,0,0,3,0,0,3,91,20,5,89,8,54,0,20,6,26,25,353
101021008,0,0,0,137,19,3,4,18,0,7,0,3,0,8,48,109,0,0,0,0,0,0,0,0,0,0,4,8,349,32,18,251,38,142,17,35,12,64,55,1005
101021009,0,0,0,93,11,3,0,8,3,6,0,0,0,3,40,81,0,0,0,0,0,0,0,0,0,0,7,12,237,33,16,261,56,171,18,40,18,65,50,963
101021010,0,0,0,81,11,0,0,7,0,0,0,0,0,4,41,61,0,0,0,0,0,0,0,0,0,0,0,0,145,15,4,127,30,94,3,26,9,26,42,525
101021011,0,3,0,605,78,6,8,43,7,22,0,11,7,11,132,317,3,0,0,9,3,0,0,0,0,0,3,22,851,66,36,689,139,315,25,65,13,78,136,2416
101021012,3,0,0,569,51,3,0,32,10,22,0,0,3,4,128,257,3,0,0,6,0,0,0,0,0,0,0,13,765,38,15,578,87,267,13,41,13,41,128,1994
101031013,0,0,0,9,14,0,0,8,0,0,0,0,0,0,14,33,0,0,0,0,0,0,0,0,0,0,0,0,57,5,3,83,10,27,3,10,3,19,13,235
101031014,0,0,0,39,21,3,0,13,0,4,0,3,0,7,23,81,0,0,0,0,0,0,0,0,0,0,3,6,152,28,4,167,25,92,9,28,10,41,33,576
101031015,0,0,0,27,11,0,0,5,3,5,0,0,0,3,19,52,0,0,0,0,0,0,0,0,0,0,0,3,105,10,0,103,14,45,3,7,8,24,21,348
101031016,0,0,0,42,25,5,3,12,4,5,0,0,0,3,50,106,3,0,3,4,0,0,0,0,0,0,3,9,243,42,16,209,28,43,14,26,4,29,54,700
101041017,3,0,0,17,4,3,0,7,0,3,0,6,0,10,30,66,0,0,0,0,0,0,0,0,0,4,0,9,83,32,3,163,13,82,6,49,10,83,41,571
101041018,0,0,0,32,9,5,0,5,0,3,0,6,4,12,34,66,0,0,0,0,0,0,0,0,0,3,0,6,128,44,6,136,14,88,4,49,7,89,36,598
101041019,0,0,0,43,11,4,0,23,3,3,0,8,0,9,50,109,3,0,0,0,0,0,0,0,0,0,0,7,160,49,5,272,31,116,12,53,12,73,57,831
101041020,3,0,0,30,17,8,0,27,0,14,0,8,0,8,70,156,0,0,0,0,0,0,0,0,0,0,3,6,149,63,10,219,16,129,16,61,15,74,76,834
101041021,0,3,0,27,4,0,0,15,0,4,0,3,0,3,19,44,0,0,0,0,0,0,0,0,0,0,0,3,55,14,0,114,3,37,0,15,4,22,23,284
101041022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101041023,0,0,0,4,3,0,3,6,0,7,0,5,0,3,18,47,0,0,0,0,0,0,0,0,0,0,0,0,39,14,3,78,6,44,0,12,3,29,18,244
101041024,0,0,0,10,10,6,0,6,0,8,0,8,0,5,16,63,0,0,0,0,0,0,0,0,0,0,5,4,56,25,4,91,5,34,3,28,3,37,22,312
101041025,0,0,0,45,16,3,0,12,0,14,0,7,0,9,52,116,0,0,0,0,0,0,0,0,0,0,3,5,168,56,9,264,27,96,11,44,6,84,55,833
101041026,0,0,0,17,10,3,0,17,3,3,3,5,0,8,47,100,3,0,0,0,0,0,0,0,0,0,5,5,112,46,13,191,20,69,3,53,4,71,46,634
101041027,0,0,0,20,9,3,0,8,0,8,0,6,0,16,33,77,3,0,0,3,0,0,0,0,0,0,0,6,96,51,3,153,16,73,10,43,11,89,40,583
101051539,0,9,0,155,42,8,7,41,3,20,9,9,3,17,118,269,0,0,3,3,0,0,0,3,0,6,8,24,558,87,12,644,86,376,36,119,36,166,125,2239
101051540,0,0,0,96,51,10,0,40,4,11,3,3,0,16,65,201,3,0,0,3,0,0,0,0,0,0,4,12,322,65,19,429,43,184,22,49,17,110,74,1336
101061541,0,0,0,73,18,0,0,17,3,7,3,3,0,8,29,80,0,0,0,0,0,0,0,0,0,0,3,7,199,20,4,239,48,107,11,31,4,50,27,757
101061542,3,13,0,371,48,3,3,37,0,14,3,3,0,3,84,207,0,0,4,3,0,0,0,0,0,3,4,11,486,57,23,475,65,199,27,41,13,60,85,1528
101061543,0,0,0,41,16,0,0,26,0,17,0,3,0,11,64,138,0,0,0,0,0,3,0,0,0,0,3,3,188,51,17,314,20,174,12,65,20,110,61,1029
101061544,0,0,0,31,42,3,0,32,0,13,3,0,0,8,38,138,0,0,0,4,0,0,0,0,0,0,3,11,164,34,4,211,19,109,11,29,14,61,47,701
102011028,0,0,0,162,20,9,0,23,0,18,0,9,0,0,59,141,3,0,0,3,0,0,0,0,0,0,0,9,214,52,5,399,25,154,7,47,12,29,59,1014
102011029,0,3,0,177,32,12,0,36,0,7,3,3,7,9,63,169,3,0,0,3,0,0,0,0,0,0,4,12,278,63,8,470,53,191,8,70,18,85,75,1306
102011030,0,3,0,70,19,0,0,19,3,3,0,6,0,8,19,72,3,0,3,4,0,0,0,0,0,0,3,14,132,26,10,163,14,78,6,25,6,45,26,537
102011031,0,3,0,277,37,6,0,36,0,21,3,7,3,14,84,211,3,0,0,3,0,3,0,0,0,0,0,13,354,65,16,559,56,270,17,67,13,112,88,1610
102011032,0,6,0,166,24,3,3,40,9,12,3,4,0,10,85,193,0,3,0,0,0,0,0,0,0,3,4,17,301,74,23,576,62,367,29,87,22,150,89,1783
102011033,0,0,0,61,25,4,0,20,4,6,0,3,0,12,42,120,0,0,0,0,0,0,0,0,0,0,3,3,227,47,0,299,31,182,5,36,10,47,48,936
102011034,0,0,0,85,9,3,3,24,3,12,0,3,0,12,47,114,0,0,0,3,0,0,0,0,0,3,0,9,167,43,11,286,28,115,12,41,10,61,50,822
102011035,0,0,0,74,15,4,0,17,0,10,3,0,3,3,41,95,0,0,0,3,0,0,0,0,0,0,3,4,186,29,8,285,29,173,14,38,12,57,44,875
102011036,0,0,0,108,21,3,0,30,0,20,0,7,3,5,43,128,0,0,0,3,0,0,0,0,0,0,0,6,249,45,7,399,40,224,4,50,16,50,44,1142
102011037,0,0,0,77,11,0,0,11,3,7,0,3,3,8,42,97,0,0,0,0,0,0,0,0,0,0,0,3,138,22,3,242,25,150,10,35,12,54,49,744
102011038,0,0,0,97,17,3,0,27,0,11,0,3,4,9,56,120,3,4,3,0,0,0,0,0,0,0,3,15,191,44,3,299,30,143,6,47,7,44,54,883
102011039,6,4,0,297,44,7,3,41,4,19,4,6,3,9,90,224,0,0,0,3,0,0,0,0,0,0,0,10,370,63,18,585,49,278,13,77,18,109,92,1656
102011040,0,0,0,146,30,13,3,44,7,29,3,10,7,34,95,270,0,0,0,3,0,0,0,0,0,4,9,26,356,102,25,657,81,456,25,129,44,235,114,2210
102011041,0,3,0,217,34,9,3,34,3,14,3,4,0,7,79,192,0,0,3,0,0,4,0,3,0,0,3,15,273,61,17,504,52,185,31,41,10,70,87,1331
102011042,0,0,0,100,9,0,3,19,4,13,0,4,0,24,55,129,0,0,3,0,0,0,0,0,0,0,0,13,225,53,12,360,47,268,20,83,26,149,56,1294
102011043,0,0,0,57,22,0,0,20,0,11,0,7,0,14,65,139,0,0,0,0,0,3,0,0,0,5,3,15,223,30,15,396,36,245,9,66,18,115,67,1222
102021044,0,0,0,123,39,6,5,56,10,25,0,5,0,20,95,265,3,0,3,5,0,0,0,0,0,0,7,18,462,105,18,887,110,376,33,110,23,183,108,2411
102021045,0,0,0,30,10,7,0,22,0,11,0,13,3,15,59,144,0,0,0,3,0,0,0,0,0,0,9,16,227,42,8,349,44,275,14,85,18,117,69,1242
102021046,0,0,0,44,19,3,0,13,0,13,8,9,0,4,42,107,0,0,0,0,0,4,0,3,0,3,3,16,134,36,10,302,34,165,12,47,9,89,51,880
102021047,3,3,0,150,47,8,6,47,6,21,0,12,6,14,85,256,6,0,3,0,0,0,0,0,0,0,7,13,455,76,12,668,69,327,17,94,26,137,93,1987
102021048,0,10,0,100,33,6,5,44,3,35,0,5,5,35,89,263,0,0,0,3,0,3,0,0,3,3,9,18,375,75,21,598,70,412,19,131,36,274,104,2108
102021049,0,0,0,57,15,3,0,10,0,8,0,0,0,4,19,59,0,0,0,4,0,0,0,0,0,0,0,3,102,22,3,172,17,54,3,17,9,16,21,439
102021050,0,0,0,52,16,5,0,18,0,15,0,5,3,11,49,122,3,0,3,3,0,0,0,0,0,0,3,16,165,43,10,340,29,193,4,63,17,86,57,1001
102021051,0,0,0,73,14,3,0,15,0,13,0,4,0,0,25,76,0,0,0,0,0,0,0,0,0,0,4,5,127,27,4,230,8,122,7,35,3,39,29,631
102021052,0,0,0,33,14,0,4,7,3,3,0,0,3,4,44,92,0,0,0,0,0,0,0,0,0,4,0,4,138,26,6,196,18,107,6,30,5,60,43,641
102021053,0,3,0,86,15,5,4,31,3,15,0,4,0,13,36,128,4,0,3,0,0,0,0,0,0,0,4,13,194,51,9,363,41,206,16,71,22,149,46,1177
102021054,0,3,0,50,15,8,0,16,0,11,3,6,3,7,46,112,0,0,0,0,0,0,0,0,0,0,0,6,143,49,10,236,24,138,8,56,9,93,45,819
102021055,0,3,0,69,4,0,3,10,0,5,0,0,0,9,38,73,0,0,0,0,0,3,0,0,0,0,0,7,134,20,5,216,17,146,3,22,10,47,39,669
102021056,0,0,0,150,23,3,0,30,6,12,0,3,3,12,97,189,0,0,0,5,0,0,0,0,0,0,4,20,510,62,19,680,87,405,22,61,25,135,103,2100
102021057,0,3,0,38,25,4,0,20,5,10,0,3,3,8,43,127,0,0,0,0,0,0,0,0,0,0,0,3,157,38,10,207,20,183,11,69,10,91,45,841
103011058,3,0,0,163,38,5,0,43,3,22,3,10,0,16,122,259,0,0,0,6,0,3,0,0,0,10,3,20,538,71,18,720,100,356,22,94,26,161,132,2223
103011059,0,4,0,114,25,3,0,23,3,12,3,4,0,9,70,151,0,0,0,4,0,3,0,0,0,0,0,13,407,46,3,430,65,193,12,37,15,81,73,1365
103011060,0,0,0,69,33,0,0,16,0,12,0,5,0,7,44,127,8,0,3,0,0,0,0,0,0,0,3,11,216,40,17,243,30,106,9,36,12,49,47,805
103011061,0,0,0,25,17,0,0,15,0,3,0,0,0,3,26,75,0,0,0,0,0,0,0,0,0,0,0,5,106,22,6,122,13,67,3,14,7,26,28,422
103021062,0,0,0,35,19,3,0,23,0,6,0,3,7,3,27,97,4,0,0,0,0,0,0,0,0,0,0,11,135,15,21,194,26,112,7,29,12,57,31,640
103021063,0,0,0,38,21,3,3,13,0,5,0,0,0,13,32,96,0,0,0,0,0,0,0,0,0,4,0,7,183,34,7,264,26,120,13,36,16,96,36,827
103021064,0,0,0,28,22,0,0,12,0,8,0,3,0,7,27,83,3,0,3,0,0,0,0,0,0,3,0,6,117,22,3,177,23,76,8,18,8,55,27,528
103021065,0,0,0,44,30,0,3,15,3,9,3,3,0,7,44,129,4,0,0,3,0,0,0,0,0,3,8,22,228,33,15,296,40,149,19,41,8,71,50,946
103021066,0,0,0,26,3,3,0,16,0,3,0,0,0,3,13,47,0,0,0,0,0,0,0,0,0,0,0,4,63,10,3,122,15,31,5,19,4,29,13,319
103021067,0,0,0,65,24,3,0,27,3,13,0,3,0,13,71,164,0,0,0,3,0,0,0,0,0,3,6,11,247,28,9,350,40,193,10,34,12,104,75,1105
103021068,0,0,0,15,15,4,0,4,0,6,0,0,0,3,22,60,0,0,0,0,0,0,0,0,0,0,0,5,80,9,0,87,18,48,4,11,12,35,30,332
103021069,0,0,0,31,22,3,0,23,0,5,0,0,0,6,30,99,3,0,0,0,0,0,0,0,0,0,0,3,145,18,15,181,17,73,4,26,3,39,36,556
103031070,0,3,0,113,22,3,0,20,4,19,0,4,0,11,45,135,3,0,0,3,0,0,0,0,0,9,3,21,207,44,14,368,44,174,14,61,17,139,57,1130
103031071,0,4,0,73,15,8,0,26,0,18,0,7,0,7,39,114,3,0,3,0,0,3,0,0,3,0,0,15,152,33,9,251,24,133,10,44,19,90,42,808
