SA2_MAINCODE_2016,FOL_Korean_NS,FOL_Korean_Tot,FOL_Macedonian_SEO,FOL_Macedonian_SOLSE_VWorW,FOL_Macedonian_SOLSE_NWorNAA,FOL_Macedonian_SOLSE_Tot,FOL_Macedonian_NS,FOL_Macedonian_Tot,FOL_Maltese_SEO,FOL_Maltese_SOLSE_VWorW,FOL_Maltese_SOLSE_NWorNAA,FOL_Maltese_SOLSE_Tot,FOL_Maltese_NS,FOL_Maltese_Tot,FOL_Persian_ED_SEO,FOL_Persian_ED_SOLSE_VWorW,FOL_Persian_ED_SOLSE_NWorNAA,FOL_Persian_ED_SOLSE_Tot,FOL_Persian_ED_NS,FOL_Persian_ED_Tot,FOL_Polish_SEO,FOL_Polish_SOLSE_VWorW,FOL_Polish_SOLSE_NWorNAA,FOL_Polish_SOLSE_Tot,FOL_Polish_NS,FOL_Polish_Tot,FOL_Russian_SEO,FOL_Russian_SOLSE_VWorW,FOL_Russian_SOLSE_NWorNAA,FOL_Russian_SOLSE_Tot,FOL_Russian_NS,FOL_Russian_Tot,FOL_Samoan_SEO,FOL_Samoan_SOLSE_VWorW,FOL_Samoan_SOLSE_NWorNAA,FOL_Samoan_SOLSE_Tot,FOL_Samoan_NS,FOL_Samoan_Tot,FOL_Serbian_SEO,FOL_Serbian_SOLSE_VWorW,FOL_Serbian_SOLSE_NWorNAA,FOL_Serbian_SOLSE_Tot,FOL_Serbian_NS,FOL_Serbian_Tot,FOL_SAL_Filipino_SEO,FOL_SAL_Filipino_SOLSE_VWorW,FOL_SAL_Filipin_SOLSE_NWorNAA,FOL_SAL_Filipino_SOLSE_Tot,FOL_SAL_Filipino_NS,FOL_SAL_Filipino_Tot,FOL_SAL_Indonesian_SEO,FOL_SAL_Indonesia_SOLSE_VWorW,FOL_SAL_Indones_SOLSE_NWorNAA,FOL_SAL_Indonesian_SOLSE_Tot,FOL_SAL_Indonesian_NS,FOL_SAL_Indonesian_Tot,FOL_SAL_Tagalog_SEO,FOL_SAL_Tagalog_SOLSE_VWorW,FOL_SAL_Tagalog_SOLSE_NWorNAA,FOL_SAL_Tagalog_SOLSE_Tot,FOL_SAL_Tagalog_NS,FOL_SAL_Tagalog_Tot,FOL_SAL_Oth_SEO,FOL_SAL_Oth_SOLSE_VWorW,FOL_SAL_Oth_SOLSE_NWorNAA,FOL_SAL_Oth_SOLSE_Tot,FOL_SAL_Oth_NS,FOL_SAL_Oth_Tot,FOL_SAL_Tot_SEO,FOL_SAL_Tot_SOLSE_VWorW,FOL_SAL_Tot_SOLSE_NWorNAA,FOL_SAL_Tot_SOLSE_Tot,FOL_SAL_Tot_NS,FOL_SAL_Tot_Tot,FOL_Spanish_SEO,FOL_Spanish_SOLSE_VWorW,FOL_Spanish_SOLSE_NWorNAA,FOL_Spanish_SOLSE_Tot,FOL_Spanish_NS,FOL_Spanish_Tot,FOL_Tamil_SEO,FOL_Tamil_SOLSE_VWorW,FOL_Tamil_SOLSE_NWorNAA,FOL_Tamil_SOLSE_Tot,FOL_Tamil_NS,FOL_Tamil_Tot,FOL_Thai_SEO,FOL_Thai_SOLSE_VWorW,FOL_Thai_SOLSE_NWorNAA,FOL_Thai_SOLSE_Tot,FOL_Thai_NS,FOL_Thai_Tot,FOL_Turkish_SEO,FOL_Turkish_SOLSE_VWorW,FOL_Turkish_SOLSE_NWorNAA,FOL_Turkish_SOLSE_Tot,FOL_Turkish_NS,FOL_Turkish_Tot,FOL_Vietnamese_SEO,FOL_Vietnamese_SOLSE_VWorW,FOL_Vietnamese_SOLSE_NWorNAA,FOL_Vietnamese_SOLSE_Tot,FOL_Vietnamese_NS,FOL_Vietnamese_Tot,FOL_Oth_SEO,FOL_Oth_SOLSE_VWorW,FOL_Oth_SOLSE_NWorNAA,FOL_Oth_SOLSE_Tot,FOL_Oth_NS,FOL_Oth_Tot,FOL_Tot_SEO,FOL_Tot_SOLSE_VWorW,FOL_Tot_SOLSE_NWorNAA,FOL_Tot_SOLSE_Tot,FOL_Tot_NS,FOL_Tot_Tot,F_LSatH_NS_SEO,F_LSatH_NS_SOLSE_VWorW,F_LSatH_NS_SOLSE_NWorNAA,F_LSatH_NS_SOLSE_Tot,F_LSatH_NS_NS,F_LSatH_NS_Tot,F_Tot_SEO,F_Tot_SOLSE_VWorW,F_Tot_SOLSE_NWorNAA,F_Tot_SOLSE_Tot,F_Tot_NS,F_Tot_Tot,PSEO_SEO,PSEO_SOLSE_VWorW,PSEO_SOLSE_NWorNAA,PSEO_SOLSE_Tot,PSEO_NS,PSEO_Tot,POL_Afrikaans_SEO,POL_Afrikaans_SOLSE_VWorW,POL_Afrikaans_SOLSE_NWorNAA,POL_Afrikaans_SOLSE_Tot,POL_Afrikaans_NS,POL_Afrikaans_Tot,POL_Arabic_SEO,POL_Arabic_SOLSE_VWorW,POL_Arabic_SOLSE_NWorNAA,POL_Arabic_SOLSE_Tot,POL_Arabic_NS,POL_Arabic_Tot,POL_AIndLng_SEO,POL_AIndLng_SOLSE_VWorW,POL_AIndLng_SOLSE_NWorNAA,POL_AIndLng_SOLSE_Tot,POL_AIndLng_NS,POL_AIndLng_Tot,POL_CL_Cantones_SEO,POL_CL_Cantones_SOLSE_VWorW,POL_CL_Cantones_SOLSE_NWorNAA,POL_CL_Cantones_SOLSE_Tot,POL_CL_Cantones_NS,POL_CL_Cantones_Tot,POL_CL_Mandarin_SEO,POL_CL_Mandarin_SOLSE_VWorW,POL_CL_Mandarin_SOLSE_NWorNAA,POL_CL_Mandarin_SOLSE_Tot,POL_CL_Mandarin_NS,POL_CL_Mandarin_Tot,POL_CL_Oth_SEO,POL_CL_Oth_SOLSE_VWorW,POL_CL_Oth_SOLSE_NWorNAA,POL_CL_Oth_SOLSE_Tot,POL_CL_Oth_NS,POL_CL_Oth_Tot,POL_CL_Tot_SEO,POL_CL_Tot_SOLSE_VWorW,POL_CL_Tot_SOLSE_NWorNAA,POL_CL_Tot_SOLSE_Tot,POL_CL_Tot_NS,POL_CL_Tot_Tot,POL_Croatian_SEO,POL_Croatian_SOLSE_VWorW,POL_Croatian_SOLSE_NWorNAA,POL_Croatian_SOLSE_Tot,POL_Croatian_NS,POL_Croatian_Tot,POL_Dutch_SEO,POL_Dutch_SOLSE_VWorW,POL_Dutch_SOLSE_NWorNAA,POL_Dutch_SOLSE_Tot,POL_Dutch_NS,POL_Dutch_Tot,POL_French_SEO,POL_French_SOLSE_VWorW,POL_French_SOLSE_NWorNAA,POL_French_SOLSE_Tot,POL_French_NS,POL_French_Tot,POL_German_SEO,POL_German_SOLSE_VWorW,POL_German_SOLSE_NWorNAA,POL_German_SOLSE_Tot,POL_German_NS,POL_German_Tot
101021007,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,5,0,5,0,5,..,0,0,0,0,0,..,10,0,13,0,13,..,4,0,4,0,4,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,16,0,16,0,16,..,58,9,67,0,69,..,4,0,4,221,222,1623,65,9,73,224,1916,3300,..,..,..,..,3300,..,3,0,3,0,3,..,8,0,8,0,8,..,0,0,0,0,0,..,4,4,6,0,6,..,0,0,0,0,0,..,0,0,0,0,0,..,4,4,6,0,6,..,0,0,0,0,0,..,4,0,4,0,4,..,19,0,19,0,15,..,9,0,7,0,7
101021008,0,3,..,98,33,128,0,128,..,3,0,3,0,3,..,0,0,0,0,0,..,5,0,5,0,5,..,3,0,7,0,7,..,12,0,12,0,12,..,39,11,41,0,41,..,9,0,9,0,9,..,3,0,3,0,3,..,16,0,16,0,16,..,0,0,0,0,0,..,36,0,36,0,36,..,7,0,7,0,7,..,3,0,3,0,3,..,15,0,13,0,13,..,0,0,0,0,0,..,10,3,15,0,15,..,65,10,81,3,79,..,485,84,568,5,574,..,16,0,12,237,254,3341,501,82,583,242,4172,6649,..,..,..,..,6649,..,7,0,7,0,7,..,8,0,13,0,13,..,7,0,7,0,7,..,9,6,15,0,15,..,20,11,28,0,28,..,0,0,0,0,0,..,31,17,47,0,47,..,45,7,48,0,48,..,10,0,10,0,10,..,13,0,13,0,13,..,25,0,25,0,25
101021009,0,18,..,90,28,117,0,118,..,7,0,7,0,7,..,10,0,6,0,6,..,16,3,14,0,19,..,4,0,3,0,10,..,12,0,16,0,16,..,21,3,27,0,25,..,33,0,33,0,33,..,12,4,13,0,13,..,54,3,54,0,54,..,13,0,11,0,11,..,109,5,116,0,116,..,17,5,25,0,25,..,15,0,15,0,15,..,7,4,14,0,14,..,0,0,0,0,0,..,11,8,25,0,25,..,136,31,167,10,176,..,969,184,1154,26,1182,..,8,5,12,382,391,3837,980,188,1169,405,5403,7719,..,..,..,..,7719,..,3,0,3,0,3,..,41,11,52,0,55,..,0,0,0,0,0,..,33,16,48,0,48,..,61,7,73,0,69,..,3,3,8,0,8,..,103,26,129,0,129,..,46,7,53,3,59,..,4,0,4,0,4,..,21,0,26,0,26,..,30,0,30,0,34
101021010,0,3,..,28,10,36,0,38,..,0,0,0,0,0,..,0,0,0,0,0,..,8,0,7,0,7,..,5,0,7,0,7,..,4,0,4,0,4,..,9,0,7,0,10,..,12,0,12,0,12,..,8,0,10,0,10,..,18,0,18,0,18,..,0,0,0,0,0,..,33,0,38,0,37,..,12,4,13,3,15,..,3,0,3,0,3,..,9,0,9,0,9,..,0,0,0,0,0,..,3,5,12,0,12,..,55,10,61,3,69,..,395,63,454,12,467,..,0,3,6,130,131,1725,397,69,459,138,2325,3516,..,..,..,..,3516,..,3,0,3,0,3,..,26,5,24,0,24,..,0,0,0,0,0,..,0,0,0,0,0,..,28,11,46,0,41,..,0,0,0,0,0,..,32,11,44,0,48,..,25,3,27,0,27,..,0,0,0,0,0,..,14,0,14,0,14,..,14,0,14,0,14
101021011,0,3,..,26,0,26,0,26,..,7,0,7,0,7,..,0,0,0,0,0,..,18,0,21,0,21,..,3,0,3,0,3,..,0,0,0,0,0,..,14,0,19,0,19,..,12,0,12,0,12,..,3,0,3,0,3,..,16,0,16,0,16,..,3,0,3,0,3,..,35,0,35,0,35,..,27,3,24,0,24,..,0,0,0,0,0,..,8,0,4,0,10,..,0,0,0,0,0,..,4,0,4,0,4,..,68,12,79,0,85,..,464,37,502,3,503,..,19,0,22,736,756,7067,482,37,524,737,8331,14364,..,..,..,..,14364,..,18,0,18,0,18,..,12,0,12,0,14,..,0,0,0,0,0,..,17,3,17,0,17,..,47,5,53,0,53,..,0,0,0,0,0,..,67,10,75,0,77,..,44,0,46,0,46,..,29,0,34,0,34,..,43,0,45,0,47,..,64,0,64,0,64
101021012,0,0,..,102,11,111,0,111,..,3,0,3,0,3,..,8,0,8,0,8,..,8,0,8,0,8,..,9,0,13,0,13,..,0,0,0,0,0,..,33,0,33,0,33,..,10,0,13,0,13,..,13,0,13,0,13,..,19,0,19,0,19,..,0,0,0,0,0,..,44,0,48,0,48,..,28,0,28,0,28,..,4,0,4,0,4,..,11,3,14,0,14,..,9,0,9,0,9,..,6,3,6,0,6,..,82,9,87,4,92,..,633,55,688,9,691,..,10,0,11,241,252,5405,645,55,699,245,6350,10783,..,..,..,..,10783,..,13,3,20,0,20,..,18,0,19,0,19,..,3,0,3,0,3,..,23,0,23,0,26,..,43,12,51,0,58,..,0,0,0,0,0,..,61,16,81,3,79,..,61,4,67,0,67,..,12,0,12,0,12,..,23,0,22,0,22,..,35,0,35,0,32
101031013,0,8,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,9,0,10,0,10,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,7,0,7,0,7,..,29,5,37,0,37,..,4,0,4,87,87,1062,35,5,40,85,1188,2155,..,..,..,..,2155,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,3,0,3,..,8,0,8,0,8,..,10,0,10,0,10,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,8,0,8,0,8
101031014,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,5,0,5,0,5,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,3,0,3,..,0,0,0,0,0,..,6,0,8,0,8,..,10,0,10,0,10,..,0,0,0,0,0,..,13,0,18,0,18,..,3,0,3,0,3,..,0,0,0,0,0,..,8,4,9,0,9,..,0,0,3,0,3,..,7,3,9,0,9,..,34,10,46,0,46,..,221,30,253,3,260,..,10,3,8,268,277,2814,230,35,265,273,3346,5569,..,..,..,..,5569,..,6,0,6,0,6,..,28,0,28,0,28,..,0,0,0,0,0,..,17,3,20,0,20,..,19,11,28,0,31,..,0,0,0,0,0,..,36,13,53,0,49,..,0,0,0,0,5,..,20,0,24,0,24,..,4,0,4,0,4,..,55,0,64,3,63
101031015,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,3,0,3,..,0,0,0,0,0,..,0,3,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,10,3,13,0,13,..,50,4,52,0,52,..,6,0,6,138,138,1405,49,4,54,138,1596,2883,..,..,..,..,2883,..,4,0,4,0,4,..,7,0,7,0,7,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,3,0,3,..,10,0,10,0,10,..,4,0,4,0,4,..,32,0,32,0,32
101031016,0,3,..,3,0,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,5,0,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,3,0,3,..,0,0,0,0,0,..,3,0,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,5,0,5,0,5,..,3,0,3,0,3,..,0,0,0,0,0,..,14,3,14,0,14,..,4,0,4,0,4,..,0,0,0,0,0,..,28,0,28,0,30,..,177,20,193,4,197,..,13,0,13,252,262,2762,183,20,205,254,3228,5950,..,..,..,..,5950,..,3,0,4,0,4,..,3,0,3,0,3,..,0,0,0,0,0,..,8,10,14,0,14,..,17,18,39,0,42,..,0,0,3,0,3,..,29,28,60,0,63,..,4,0,4,0,4,..,14,0,14,0,14,..,31,0,31,0,34,..,76,3,79,0,82
