SA2_MAINCODE_2016,Median_age_persons,Median_mortgage_repay_monthly,Median_tot_prsnl_inc_weekly,Median_rent_weekly,Median_tot_fam_inc_weekly,Average_num_psns_per_bedroom,Median_tot_hhd_inc_weekly,Average_household_size
101021007,49,1582,594,250,1432,0.8,1083,2.3
101021008,37,1928,812,300,2007,0.8,1692,2.6
101021009,36,1733,837,280,1844,0.9,1400,2.1
101021010,35,1842,883,270,2001,0.9,1434,2.2
101021011,40,2405,1076,383,2672,0.8,2478,2.9
101021012,36,2167,1118,370,2789,0.8,2479,2.9
101031013,48,910,577,150,1397,0.7,1048,2.2
101031014,45,1186,608,225,1413,0.7,1009,2.2
101031015,48,1560,634,150,1525,0.8,1228,2.4
101031016,39,1500,761,270,1765,0.8,1397,2.4
101041017,52,1452,503,260,1137,0.7,906,2.2
101041018,54,1517,521,280,1199,0.7,1000,2.2
101041019,46,1400,586,270,1345,0.8,1061,2.3
101041020,50,1278,496,200,1208,0.8,982,2.4
101041021,53,1517,596,270,1366,0.7,1060,2.2
101041022,65,0,537,0,1374,0.5,849,1.4
101041023,51,1394,486,230,1134,0.7,851,2.2
101041024,51,1300,512,180,1234,0.8,1009,2.4
101041025,54,1500,565,270,1273,0.7,1014,2.1
101041026,54,1353,502,250,1174,0.7,912,2.2
101041027,58,1300,492,230,1123,0.7,848,2.1
101051539,40,1517,627,260,1485,0.7,1164,2.4
101051540,47,1600,602,200,1505,0.8,1206,2.5
101061541,41,1763,728,300,1853,0.8,1470,2.5
101061542,42,2024,921,250,2341,0.8,2063,2.8
101061543,40,1300,535,225,1234,0.7,967,2.4
101061544,48,1040,538,160,1290,0.7,965,2.3
102011028,41,2167,761,430,2118,0.8,1869,2.8
102011029,47,2000,641,380,1731,0.8,1412,2.6
102011030,46,1850,682,250,1751,0.8,1441,2.6
102011031,49,2000,609,360,1797,0.7,1274,2.5
102011032,40,1733,653,331,1576,0.8,1197,2.2
102011033,35,1950,703,400,1929,0.8,1813,3
102011034,47,1899,571,340,1482,0.8,1100,2.4
102011035,39,1733,665,360,1734,0.8,1559,2.8
102011036,39,1800,666,370,1898,0.8,1665,2.9
102011037,44,1820,645,375,1767,0.8,1407,2.5
102011038,42,2000,660,388,1741,0.8,1402,2.6
102011039,42,2167,753,450,2041,0.8,1760,2.6
102011040,46,1750,551,350,1365,0.8,1072,2.3
102011041,40,2167,758,420,2059,0.8,1852,2.8
102011042,47,1733,531,340,1401,0.8,1040,2.2
102011043,42,1733,576,350,1538,0.8,1229,2.5
102021044,41,1733,583,350,1529,0.8,1246,2.6
102021045,34,1600,550,355,1348,0.8,1250,2.9
102021046,45,1560,518,310,1266,0.8,1005,2.3
102021047,40,1764,657,370,1722,0.8,1466,2.7
102021048,43,1517,516,318,1320,0.8,1051,2.5
102021049,43,2200,694,300,2088,0.8,1942,3
102021050,49,1521,504,320,1256,0.8,977,2.3
102021051,39,1800,727,340,1943,0.8,1669,2.8
102021052,44,1600,543,340,1365,0.8,1186,2.5
102021053,45,1785,558,320,1271,0.8,984,2.1
102021054,48,1700,533,300,1308,0.8,971,2.2
102021055,37,1800,661,380,1730,0.8,1516,2.8
102021056,35,2037,631,450,1801,0.8,1678,3.1
102021057,40,1603,508,310,1259,0.8,1056,2.5
103011058,36,1578,635,275,1591,0.8,1234,2.4
103011059,35,1785,672,310,1708,0.8,1481,2.8
103011060,46,1696,653,180,1643,0.8,1356,2.6
103011061,45,1349,596,210,1485,0.7,1207,2.4
103021062,41,900,553,150,1284,0.8,1030,2.4
103021063,46,1192,508,190,1222,0.7,938,2.3
103021064,48,1083,515,165,1261,0.7,974,2.3
103021065,43,1148,567,175,1316,0.8,1067,2.4
103021066,51,910,493,135,1193,0.7,904,2.2
103021067,39,1300,579,205,1467,0.8,1131,2.5
103021068,47,1000,497,120,1267,0.8,981,2.4
103021069,43,1000,579,150,1354,0.7,1098,2.4
103031070,44,1300,495,230,1257,0.7,919,2.2
103031071,46,1517,542,200,1426,0.8,1123,2.4
103031072,37,1766,636,300,1632,0.8,1295,2.5
103031073,50,1192,450,190,1066,0.7,771,2.2
103031074,45,1517,499,200,1331,0.8,1064,2.4
103031075,0,0,0,0,0,0,0,0
103041076,42,1500,620,220,1581,0.8,1227,2.5
103041077,41,1472,589,250,1400,0.7,1070,2.2
103041078,34,1733,738,319,1871,0.8,1581,2.7
103041079,42,1647,693,200,1816,0.8,1483,2.7
104011080,43,1300,496,250,1182,0.8,921,2.3
104011081,49,1300,464,240,1139,0.8,955,2.5
104011082,55,1430,469,280,1076,0.7,871,2.2
104021083,44,1408,529,300,1238,0.8,1050,2.5
104021084,42,1603,556,296,1305,0.8,1043,2.4
104021085,45,1517,561,300,1317,0.8,1009,2.2
104021086,43,1582,590,300,1435,0.9,1295,2.8
104021087,52,1083,473,200,1112,0.8,821,2.2
104021088,43,1733,675,380,1627,0.8,1473,2.7
104021089,44,1600,560,310,1325,0.8,1092,2.5
104021090,52,1517,523,280,1229,0.8,1003,2.2
104021091,44,1560,528,310,1279,0.8,1059,2.5
105011092,35,894,606,100,1329,0.8,1109,2.5
105011093,36,1300,705,160,1922,0.7,1494,2.4
105011094,43,867,537,150,1264,0.7,1009,2.4
105011095,42,1000,629,150,1485,0.7,1100,2.3
105011096,42,737,461,140,1031,0.9,801,2.3
105021097,45,953,527,190,1279,0.7,965,2.2
105021098,39,625,497,100,1145,0.8,970,2.5
105031099,49,906,475,152,1101,0.7,879,2.3
105031100,37,1517,673,260,1545,0.8,1336,2.6
105031101,36,1517,700,275,1637,0.8,1327,2.4
105031102,34,1452,682,265,1491,0.8,1280,2.6
105031103,42,1638,687,200,1707,0.8,1491,2.8
105031104,45,1083,538,160,1202,0.7,996,2.4
105031105,42,1100,589,185,1360,0.8,1083,2.5
105031106,42,1083,491,180,1209,0.8,939,2.4
106011107,36,1820,706,320,1924,0.8,1668,2.7
106011108,38,1478,499,280,1262,0.8,1043,2.5
106011109,43,1690,584,270,1640,0.8,1407,2.7
106011110,45,1662,578,245,1474,0.8,1226,2.5
106011111,38,1430,516,280,1362,0.8,1121,2.6
106011112,35,1842,690,290,1960,0.8,1629,2.6
106011113,42,2000,635,250,1921,0.8,1692,2.8
106021114,35,1800,646,350,1697,0.8,1430,2.6
106021115,38,1733,630,300,1604,0.8,1299,2.5
106021116,39,2000,761,350,2139,0.8,1843,2.8
106021117,34,1733,615,330,1576,0.8,1378,2.7
106021118,35,1760,724,340,1858,0.8,1733,2.9
106031119,46,1840,533,350,1402,0.8,1155,2.5
106031120,49,1517,483,320,1174,0.7,974,2.4
106031121,52,1733,565,330,1357,0.7,1097,2.3
106031122,38,1463,551,270,1320,0.8,1084,2.5
106031123,42,1950,717,300,1996,0.8,1881,3
106031124,62,1517,484,290,1086,0.7,903,2
106031125,39,1733,646,320,1706,0.8,1489,2.8
106041126,34,1668,630,250,1640,0.7,1331,2.5
106041127,40,1943,673,230,1737,0.8,1398,2.6
106041128,39,1800,676,250,1751,0.7,1330,2.4
106041129,42,1517,595,190,1488,0.8,1181,2.4
107011131,41,1733,539,320,1455,0.8,1218,2.6
107011132,35,1950,700,408,1920,0.8,1836,3.1
107011133,56,0,349,0,0,0,0,0
107011134,40,1871,609,295,1861,0.8,1518,2.8
107011545,38,1625,470,280,1271,0.9,1049,2.6
107011546,42,1625,446,240,1122,0.9,872,2.4
107011547,50,1733,495,270,1384,0.8,903,2.2
107021135,67,0,374,0,0,0,0,0
107031136,35,1950,646,385,1830,0.8,1693,3
107031137,40,1700,550,320,1364,0.8,1198,2.6
107031138,50,1983,649,390,1648,0.8,1327,2.3
107031139,42,2000,714,400,1957,0.8,1784,2.8
107031140,47,2130,699,400,1895,0.8,1587,2.6
107031141,37,2167,696,420,1972,0.8,1817,3
107031142,42,1733,569,350,1488,0.8,1298,2.6
107031143,42,1647,487,300,1223,0.8,989,2.5
107041144,40,2001,550,330,1726,0.8,1300,2.5
107041145,41,1950,573,280,1557,0.8,1154,2.4
107041146,37,2000,591,340,1899,0.8,1471,2.7
107041147,38,2288,834,470,2324,0.9,2159,3
107041148,42,2383,827,452,2302,0.9,2010,2.7
