SA2_MAINCODE_2016,R_0_74_LT_Real_estate_agent,R_0_74_LT_Ste_terr_hsg_auth,R_0_74_LT_Psn_not_Sme_hhd,R_0_74_LT_hs_coop_com_ch_g,R_0_74_LT_Other_Lld_type,R_0_74_LT_Lld_type_ns,R_0_74_Tot,R_75_99_LT_Real_estate_agent,R_75_99_LT_Ste_terr_hsg_auth,R_75_99_LT_Psn_not_Sme_hhd,R_75_99_LT_hs_coop_com_ch_g,R_75_99_LT_Other_Lld_type,R_75_99_LT_Lld_type_ns,R_75_99_Tot,R_100_149_LT_Real_eSte_agent,R_100_149_LT_St_ter_hsg_aut,R_100_149_LT_Psn_not_Sme_hhd,R_100_149_LT_hs_coop_com_ch_g,R_100_149_LT_Other_Lld_type,R_100_149_LT_Lld_type_ns,R_100_149_Tot,R_150_199_LT_Real_eSte_agent,R_150_199_LT_Ste_ter_hsg_aut,R_150_199_LT_Psn_not_Sme_hhd,R_150_199_LT_hs_coop_com_ch_g,R_150_199_LT_Other_Lld_type,R_150_199_LT_Lld_type_ns,R_150_199_Tot,R_200_224_LT_Real_eSte_agent,R_200_224_LT_Ste_ter_hsg_aut,R_200_224_LT_Psn_not_Sme_hhd,R_200_224_LT_hs_coop_com_ch_g,R_200_224_LT_Other_Lld_type,R_200_224_LT_Lld_type_ns,R_200_224_Tot,R_225_274_LT_Real_eSte_agent,R_225_274_LT_Ste_ter_hsg_aut,R_225_274_LT_Psn_not_Sme_hhd,R_225_274_LT_hs_coop_com_ch_g,R_225_274_LT_Other_Lld_type,R_225_274_LT_Lld_type_ns,R_225_274_Tot,R_275_349_LT_Real_eSte_agent,R_275_349_LT_Ste_ter_hsg_aut,R_275_349_LT_Psn_not_Sme_hhd,R_275_349_LT_hs_coop_com_ch_g,R_275_349_LT_Other_Lld_type,R_275_349_LT_Lld_type_ns,R_275_349_Tot,R_350_449_LT_Real_eSte_agent,R_350_449_LT_Ste_ter_hsg_aut,R_350_449_LT_Psn_not_Sme_hhd,R_350_449_LT_hs_coop_com_ch_g,R_350_449_LT_Other_Lld_type,R_350_449_LT_Lld_type_ns,R_350_449_Tot,R_450_549_LT_Real_eSte_agent,R_450_549_LT_Ste_ter_hsg_aut,R_450_549_LT_Psn_not_Sme_hhd,R_450_549_LT_hs_coop_com_ch_g,R_450_549_LT_Other_Lld_type,R_450_549_LT_Lld_type_ns,R_450_549_Tot,R_550_649_LT_Real_eSte_agent,R_550_649_LT_Ste_ter_hsg_aut,R_550_649_LT_Psn_not_Sme_hhd,R_550_649_LT_hs_coop_com_ch_g,R_550_649_LT_Other_Lld_type,R_550_649_LT_Lld_type_ns,R_550_649_Tot,R_650_749_LT_Real_eSte_agent,R_650_749_LT_Ste_ter_hsg_aut,R_650_749_LT_Psn_not_Sme_hhd,R_650_749_LT_hs_coop_com_ch_g,R_650_749_LT_Other_Lld_type,R_650_749_LT_Lld_type_ns,R_650_749_Tot,R_750_849_LT_Real_eSte_agent,R_750_849_LT_Ste_ter_hsg_aut,R_750_849_LT_Psn_not_Sme_hhd,R_750_849_LT_hs_coop_com_ch_g,R_750_849_LT_Other_Lld_type,R_750_849_LT_Lld_type_ns,R_750_849_Tot,R_850_949_LT_Real_estat_agent,R_850_949_LT_Ste_ter_hsg_aut,R_850_949_LT_Psn_not_Sme_hhd,R_850_949_LT_hs_coop_com_ch_g,R_850_949_LT_Other_Lld_type,R_850_949_LT_Lld_type_ns,R_850_949_Tot,R_950_over_LT_Real_eSte_agent,R_950_over_LT_Ste_ter_hsg_aut,R_950_over_LT_Psn_not_Sme_hhd,R_950_ovr_LT_hs_coop_com_ch_g,R_950_over_LT_Other_Lld_type,R_950_over_LT_Lld_type_ns,R_950_over_Tot,Rent_ns_LT_Real_eSte_agent,Rent_ns_LT_Ste_ter_hsg_auth,Rent_ns_LT_Psn_not_Sme_hhd,Rent_ns_LT_hs_coop_com_ch_g,Rent_ns_LT_Other_Lld_type,Rent_ns_LT_Lld_type_ns,Rent_ns_Tot,Tot_LT_Real_eSte_agent,Tot_LT_Ste_ter_hsg_auth,Tot_LT_Psn_not_Sme_hhd,Tot_LT_hs_coop_com_ch_g,Tot_LT_Other_Lld_type,Tot_LT_Lld_type_ns,Tot_Tot
101021007,3,0,15,0,0,18,41,0,0,0,0,0,0,0,3,4,10,0,0,0,21,10,4,13,0,0,0,23,4,0,11,0,0,0,13,25,4,13,0,3,0,42,43,0,23,0,0,0,68,32,0,7,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,3,0,9,118,9,96,0,12,24,259
101021008,0,7,9,0,0,10,26,0,4,0,0,0,0,4,3,85,0,0,0,0,90,23,71,6,14,3,3,118,19,30,3,8,0,0,63,21,26,11,8,12,0,76,53,19,16,7,14,0,110,158,36,54,4,6,0,260,57,5,23,0,0,0,79,10,0,3,0,0,0,12,5,0,0,0,0,0,5,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,14,11,3,0,0,34,357,296,140,37,34,12,883
101021009,0,13,26,3,3,6,53,0,8,0,0,0,0,16,11,65,11,10,3,0,90,129,20,32,15,3,3,212,193,3,29,5,8,0,240,278,15,62,3,12,3,365,291,4,93,0,10,0,408,405,10,82,0,8,0,502,96,0,26,0,0,0,125,14,0,7,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,3,0,0,0,0,0,6,15,11,15,5,3,0,42,1443,152,386,40,53,16,2088
101021010,0,0,8,0,0,3,14,3,5,0,0,0,0,6,6,12,3,0,0,0,23,85,18,19,7,3,0,128,98,8,15,0,3,0,120,125,3,25,0,15,3,165,150,0,22,0,19,0,193,115,3,24,0,10,0,159,46,0,13,0,3,0,66,5,0,8,0,0,0,10,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,5,5,0,3,4,28,657,61,139,11,48,5,921
101021011,0,0,14,0,14,27,53,0,0,0,0,3,0,0,0,0,9,0,10,0,17,0,0,13,0,3,0,21,4,0,14,0,5,0,20,11,0,32,0,15,0,51,43,0,28,0,6,0,70,61,0,49,0,3,0,118,63,0,35,0,4,0,98,61,0,14,0,4,0,80,24,0,9,0,0,0,31,6,0,3,0,0,0,10,3,0,0,0,0,0,3,0,0,0,0,0,0,4,7,0,10,3,3,0,24,282,0,226,6,61,28,601
101021012,0,3,8,0,0,4,13,0,3,0,0,0,0,8,0,20,5,0,0,0,25,8,13,8,3,4,0,34,21,12,0,0,0,0,33,26,16,4,0,64,0,105,60,18,16,0,114,0,207,163,12,42,0,25,0,252,107,3,46,0,6,0,167,80,0,18,0,3,0,104,33,0,4,0,6,0,38,4,0,4,0,0,0,13,3,0,3,0,0,0,7,3,0,0,0,0,0,3,5,4,0,0,5,0,21,520,105,154,3,235,10,1026
101031013,0,0,18,0,11,20,47,0,0,4,0,6,0,13,3,0,14,0,3,0,24,6,3,26,3,3,0,49,8,0,24,0,0,0,33,6,0,9,0,3,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,4,0,11,27,11,110,10,33,17,200
101031014,4,3,19,0,6,17,41,3,3,4,3,0,0,21,47,20,13,6,4,0,96,86,15,27,7,6,3,141,52,10,33,6,11,0,107,148,17,41,3,3,0,216,100,3,27,0,7,0,131,34,0,8,0,0,0,42,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,5,4,6,15,0,3,0,24,491,78,189,26,31,20,829
101031015,0,0,17,0,16,8,40,0,0,5,0,3,0,7,3,0,13,0,0,0,16,5,0,15,0,0,0,19,7,0,3,0,0,0,12,6,0,9,0,0,0,17,6,0,8,0,0,0,11,3,0,8,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,6,0,8,35,0,75,0,27,8,148
101031016,0,0,19,0,15,25,64,0,0,0,0,3,0,0,5,0,15,3,7,0,35,35,3,24,3,13,0,73,31,3,24,0,5,0,59,56,3,35,0,6,0,99,59,3,32,0,16,0,107,84,0,27,0,14,0,123,17,0,3,0,0,0,21,8,0,4,0,3,0,13,6,0,8,0,0,0,21,6,0,0,0,7,0,10,3,0,0,0,5,0,3,8,0,6,0,3,0,17,9,0,14,0,5,0,27,325,11,205,5,102,29,675
