SA2_MAINCODE_2016,T_LPLFS_EPT_DC_0_4,T_LPLFS_EPT_DC_5_9,T_LPLFS_EPT_DC_10_12,T_LPLFS_EPT_DC_13_14,T_LPLFS_EPT_DC_15_17,T_LPLFS_EPT_DC_18_20,T_LPLFS_EPT_DC_21_24,T_LPLFS_EPT_Tot,T_LPLFS_EAW_DC_0_4,T_LPLFS_EAW_DC_5_9,T_LPLFS_EAW_DC_10_12,T_LPLFS_EAW_DC_13_14,T_LPLFS_EAW_DC_15_17,T_LPLFS_EAW_DC_18_20,T_LPLFS_EAW_DC_21_24,T_LPLFS_EAW_Tot,T_LPLFS_HNS_DC_0_4,T_LPLFS_HNS_DC_5_9,T_LPLFS_HNS_DC_10_12,T_LPLFS_HNS_DC_13_14,T_LPLFS_HNS_DC_15_17,T_LPLFS_HNS_DC_18_20,T_LPLFS_HNS_DC_21_24,T_LPLFS_HNS_Tot,T_LPLFS_EW_Tot_DC_0_4,T_LPLFS_EW_Tot_DC_5_9,T_LPLFS_EW_Tot_DC_10_12,T_LPLFS_EW_Tot_DC_13_14,T_LPLFS_EW_Tot_DC_15_17,T_LPLFS_EW_Tot_DC_18_20,T_LPLFS_EW_Tot_DC_21_24,T_LPLFS_EW_Tot_Tot,T_LPLFS_ULFTW_DC_0_4,T_LPLFS_ULFTW_DC_5_9,T_LPLFS_ULFTW_DC_10_12,T_LPLFS_ULFTW_DC_13_14,T_LPLFS_ULFTW_DC_15_17,T_LPLFS_ULFTW_DC_18_20,T_LPLFS_ULFTW_DC_21_24,T_LPLFS_ULFTW_Tot,T_LPLFS_ULPTW_DC_0_4,T_LPLFS_ULPTW_DC_5_9,T_LPLFS_ULPTW_DC_10_12,T_LPLFS_ULPTW_DC_13_14,T_LPLFS_ULPTW_DC_15_17,T_LPLFS_ULPTW_DC_18_20,T_LPLFS_ULPTW_DC_21_24,T_LPLFS_ULPTW_Tot,T_LPLFS_U_T_DC_0_4,T_LPLFS_U_T_DC_5_9,T_LPLFS_U_T_DC_10_12,T_LPLFS_U_T_DC_13_14,T_LPLFS_U_T_DC_15_17,T_LPLFS_U_T_DC_18_20,T_LPLFS_U_T_DC_21_24,T_LPLFS_U_T_Tot,T_LPLFS_T_LF_DC_0_4,T_LPLFS_T_LF_DC_5_9,T_LPLFS_T_LF_DC_10_12,T_LPLFS_T_LF_DC_13_14,T_LPLFS_T_LF_DC_15_17,T_LPLFS_T_LF_DC_18_20,T_LPLFS_T_LF_DC_21_24,T_LPLFS_T_LF_Tot,T_LPLFS_NLF_DC_0_4,T_LPLFS_NLF_DC_5_9,T_LPLFS_NLF_DC_10_12,T_LPLFS_NLF_DC_13_14,T_LPLFS_NLF_DC_15_17,T_LPLFS_NLF_DC_18_20,T_LPLFS_NLF_DC_21_24,T_LPLFS_NLF_Tot,T_LPLFS_LFSNS_DC_0_4,T_LPLFS_LFSNS_DC_5_9,T_LPLFS_LFSNS_DC_10_12,T_LPLFS_LFSNS_DC_13_14,T_LPLFS_LFSNS_DC_15_17,T_LPLFS_LFSNS_DC_18_20,T_LPLFS_LFSNS_DC_21_24,T_LPLFS_LFSNS_Tot,T_LPLFS_Tot_DC_0_4,T_LPLFS_Tot_DC_5_9,T_LPLFS_Tot_DC_10_12,T_LPLFS_Tot_DC_13_14,T_LPLFS_Tot_DC_15_17,T_LPLFS_Tot_DC_18_20,T_LPLFS_Tot_DC_21_24,T_LPLFS_Tot_Tot
101041017,15,58,25,10,12,3,0,127,0,3,0,0,0,0,0,3,0,0,0,5,0,0,0,3,31,71,30,24,35,5,0,197,0,9,3,4,5,0,0,24,5,10,3,0,3,0,0,25,5,16,11,6,8,0,0,46,37,87,44,34,43,5,0,240,52,63,34,22,10,4,0,184,0,0,0,0,0,0,0,0,86,150,78,52,53,10,3,422
101041018,14,43,35,20,25,4,0,148,3,3,6,0,0,0,0,12,0,0,0,0,0,0,0,0,28,63,55,35,58,13,0,261,4,6,0,0,3,0,0,14,3,3,0,0,0,0,0,10,5,10,3,3,3,0,0,21,36,73,60,40,62,13,0,284,46,42,30,13,13,0,0,151,0,3,0,0,0,0,0,3,84,116,92,58,73,13,0,438
101041019,3,26,29,17,28,5,0,109,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,4,14,47,36,41,55,5,0,202,0,3,0,4,3,0,0,14,9,4,0,0,0,0,0,12,10,6,5,6,3,0,0,27,22,53,38,42,58,5,0,229,53,48,29,17,16,8,0,170,0,0,0,0,3,0,0,3,76,102,67,61,80,12,0,395
101041020,13,27,16,15,11,0,0,89,0,3,0,0,3,0,0,4,0,0,0,0,0,0,0,0,21,42,32,31,34,0,0,165,0,3,0,0,0,0,0,4,0,3,3,3,3,0,0,15,0,3,4,3,3,0,0,20,19,48,38,31,43,0,0,182,19,25,15,14,8,8,0,94,0,0,0,0,0,0,0,0,39,74,51,52,47,5,4,274
101041021,6,18,9,5,21,0,0,59,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,6,33,16,19,24,3,0,96,0,3,0,0,0,0,0,3,3,3,0,0,0,0,0,3,3,4,0,0,0,0,0,10,10,33,17,20,24,3,0,105,4,9,11,4,0,3,0,30,0,0,0,0,0,0,0,0,13,41,31,20,22,7,0,142
101041022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101041023,7,27,6,7,4,0,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,27,13,17,17,0,0,89,0,0,0,0,6,4,0,8,3,3,0,0,0,0,0,6,3,10,0,0,6,4,0,15,13,34,13,18,21,4,0,108,27,24,24,9,8,0,0,93,0,0,0,0,0,0,0,0,45,63,38,28,29,6,0,202
101041024,8,15,7,7,8,3,0,46,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,8,21,20,9,22,8,0,88,0,0,3,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,6,8,25,19,15,22,8,0,98,12,11,3,5,0,0,0,37,0,0,0,0,0,0,0,3,17,44,24,22,23,6,0,141
101041025,17,64,41,26,30,4,0,183,3,0,0,0,0,0,0,7,0,0,0,0,0,0,0,3,26,92,61,42,44,10,0,285,0,0,0,4,3,0,0,7,7,11,3,0,0,0,0,20,7,13,4,4,4,0,0,27,29,103,65,49,51,10,0,308,33,25,25,11,16,4,0,114,0,0,0,0,0,0,0,3,66,130,93,59,68,17,0,427
101041026,12,26,13,20,26,0,0,100,3,3,0,0,0,0,0,9,0,0,0,0,0,0,0,3,17,47,28,30,45,5,3,173,0,7,3,0,0,0,0,15,3,0,0,0,0,0,0,3,0,7,6,0,3,0,0,18,20,53,32,30,42,5,3,193,38,49,20,14,20,3,0,139,0,3,0,0,0,0,0,9,63,108,56,47,64,9,3,337
101041027,16,33,25,17,23,3,0,129,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,3,28,51,40,27,38,3,0,192,0,6,3,0,0,3,0,14,4,3,0,0,0,0,0,9,5,9,3,0,0,3,0,20,29,57,44,30,41,5,0,211,50,40,19,9,22,4,0,138,0,4,0,0,0,0,0,4,81,101,57,42,58,10,0,349
101051539,53,110,51,50,45,6,3,323,7,5,3,6,0,3,0,29,8,7,3,0,4,0,0,19,100,182,120,92,124,16,9,655,8,10,16,8,11,0,0,51,15,21,13,4,10,0,0,65,19,39,25,5,19,0,0,114,122,221,145,99,144,21,9,763,164,130,56,32,53,4,3,442,16,6,3,4,0,0,0,22,299,355,205,137,195,22,14,1231
101051540,11,31,26,21,18,0,3,113,3,4,4,3,0,0,0,15,0,3,0,0,3,0,0,3,22,64,52,32,38,3,5,211,3,0,5,0,3,0,0,14,3,8,4,0,0,0,0,18,3,13,4,0,7,3,0,28,26,72,58,32,41,9,5,244,51,48,24,18,18,0,0,165,0,0,0,0,0,0,0,3,76,125,87,56,64,9,5,409
101061541,17,22,12,11,17,3,0,84,5,0,3,0,0,0,0,8,0,3,3,0,0,0,0,6,25,44,39,29,39,6,3,189,0,4,0,0,0,0,0,3,3,0,0,0,3,0,0,8,6,3,0,0,3,0,0,10,32,48,39,31,41,6,3,202,29,24,14,8,12,0,0,80,3,0,0,0,0,0,0,3,62,67,56,44,50,6,3,287
101061542,15,17,15,5,20,6,0,75,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,27,45,40,26,43,8,4,194,0,3,0,0,0,0,0,7,0,8,3,0,0,0,0,14,0,11,3,3,0,0,0,19,27,50,47,25,43,8,4,207,30,18,6,3,7,3,0,71,0,3,0,0,0,0,0,3,58,73,54,34,50,9,3,283
101061543,23,66,44,33,40,4,0,212,4,3,4,3,0,0,0,12,0,0,0,0,0,0,0,3,42,93,80,68,74,5,0,357,3,12,12,5,10,0,0,43,3,12,4,0,3,0,0,28,8,28,14,5,13,0,0,70,47,118,91,67,86,8,0,425,102,84,27,19,27,10,0,266,6,10,7,0,0,0,0,19,149,217,125,91,115,20,0,712
101061544,7,27,15,12,9,3,0,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,44,29,15,25,4,0,122,5,0,4,3,0,0,0,10,0,4,0,0,0,0,0,7,6,8,5,3,3,0,0,23,18,50,34,19,21,4,0,147,44,40,22,22,21,4,0,154,3,5,0,0,3,0,0,12,62,92,62,39,44,11,0,307
102011028,11,25,21,17,17,3,3,104,3,0,0,0,3,0,0,8,0,0,0,0,0,0,0,0,25,49,44,40,63,10,4,236,3,8,3,0,3,0,0,10,0,3,3,0,0,0,0,8,3,10,5,0,4,0,0,24,27,58,49,41,63,10,4,259,19,10,11,4,5,3,0,63,0,0,0,0,0,0,0,3,46,68,62,47,69,18,4,321
102011029,24,35,27,27,37,5,0,148,3,0,3,0,3,0,0,10,0,0,0,0,0,0,0,3,26,48,40,40,72,16,4,255,0,0,0,0,0,0,0,3,5,6,0,3,0,3,0,21,5,10,3,3,0,3,0,17,32,56,44,44,74,14,4,273,30,26,6,9,13,7,3,103,0,0,0,0,0,0,0,3,68,85,55,52,89,24,8,376
102011030,0,4,10,9,6,3,3,35,3,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,3,11,22,15,4,3,3,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,5,13,22,15,4,3,3,64,15,20,11,5,9,0,0,71,0,0,0,0,0,0,0,3,22,34,33,23,20,4,3,139
102011031,14,33,34,21,27,8,4,152,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,4,21,58,64,54,67,29,11,314,0,8,3,0,0,0,0,12,3,5,3,7,4,0,0,26,3,13,5,7,4,0,0,40,31,70,75,58,74,33,13,350,31,28,20,15,10,8,3,106,0,0,0,0,0,0,0,0,63,99,93,70,89,43,20,465
102011032,40,72,50,40,51,14,15,283,0,0,0,0,3,0,0,6,0,5,0,0,3,0,0,10,68,120,81,63,117,48,23,519,9,9,6,0,6,3,0,28,6,23,10,5,3,0,0,46,17,30,14,4,10,0,0,72,78,154,92,69,122,47,23,593,110,94,52,37,38,10,4,344,0,0,0,0,0,0,0,0,186,243,150,109,161,62,30,938
102011033,9,26,23,12,11,3,0,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,17,51,37,30,40,18,8,194,0,0,0,0,3,0,0,8,0,3,0,0,0,0,0,6,0,4,3,0,3,0,0,11,17,55,42,29,37,18,8,207,29,18,19,6,13,0,4,90,0,0,0,0,0,0,0,3,51,80,60,40,52,18,7,300
102011034,6,30,23,19,19,3,0,112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,48,39,37,47,10,6,207,4,0,0,3,0,0,0,7,3,3,3,3,0,0,0,13,7,3,3,3,3,0,0,22,21,56,41,45,53,11,7,231,33,43,16,10,10,0,0,121,3,0,0,0,0,0,0,3,57,94,61,55,62,13,6,354
102011035,5,19,12,8,15,6,0,74,3,3,0,0,0,0,0,13,0,0,0,0,0,0,0,3,22,46,26,32,34,16,11,189,0,4,0,0,0,0,0,6,3,4,3,0,0,0,0,17,3,8,4,3,4,0,0,23,28,56,30,33,39,14,7,214,42,24,24,13,13,0,3,120,0,0,0,0,0,0,0,0,72,81,60,39,47,14,12,331
102011036,12,26,32,8,20,4,0,98,0,0,3,0,0,0,0,5,0,0,0,0,0,0,0,0,19,51,62,16,43,17,7,209,0,0,0,3,0,0,0,3,0,6,3,0,3,0,0,12,0,6,3,3,3,0,0,9,24,54,61,20,49,17,7,220,31,30,24,9,16,3,0,119,0,0,0,0,0,0,0,0,55,83,87,34,65,16,7,342
102011037,9,35,13,8,14,0,3,84,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,11,44,20,19,41,10,5,158,0,0,0,0,0,0,0,0,0,3,0,0,3,4,0,13,0,4,0,0,5,4,0,11,15,50,24,18,41,12,5,169,23,18,9,4,11,0,0,73,0,0,0,0,0,0,0,0,34,68,37,27,57,15,8,240
102011038,12,25,20,8,26,7,0,99,0,3,0,0,3,0,0,9,0,0,0,0,0,0,0,0,20,49,40,18,42,15,6,187,0,3,4,4,3,0,0,12,3,0,0,0,4,0,0,7,3,3,4,4,10,0,0,19,26,53,46,24,50,15,3,209,25,19,3,3,3,0,0,59,0,0,0,0,0,0,0,0,50,71,51,25,52,15,10,271
102011039,15,60,31,25,30,9,7,167,8,3,0,0,0,0,0,7,0,0,0,0,0,0,0,0,28,100,63,58,74,29,10,363,0,0,0,0,7,0,0,12,4,7,0,0,3,0,0,21,4,12,3,3,4,0,0,25,30,111,66,58,80,32,10,394,26,21,16,15,10,9,3,99,0,0,0,0,0,0,0,0,60,135,74,76,93,41,15,490
102011040,39,118,95,54,63,7,3,370,11,4,3,0,3,0,3,20,0,3,0,0,4,0,0,14,71,187,146,88,147,29,20,695,3,13,10,4,9,4,0,45,11,19,8,3,6,0,0,50,15,34,20,9,14,5,3,97,86,225,168,99,163,38,22,796,165,121,72,35,44,9,4,445,0,5,0,0,0,0,0,10,245,350,240,133,211,43,24,1246
102011041,14,30,24,11,22,6,4,100,0,0,0,0,3,0,0,5,0,3,0,3,0,0,0,5,17,57,36,30,54,16,6,221,0,0,0,0,3,0,0,3,3,6,3,0,0,0,0,15,7,10,3,0,3,0,0,17,24,69,42,30,53,16,6,241,31,26,12,9,9,3,4,93,0,0,0,0,0,0,0,0,53,96,57,36,62,18,16,330
102011042,22,62,26,21,23,11,6,162,0,0,0,0,0,0,0,8,0,3,0,0,0,0,0,6,35,85,43,49,49,17,12,291,5,20,4,7,0,0,0,40,5,9,0,0,0,0,0,22,14,28,4,10,5,0,0,57,47,114,53,54,49,17,12,350,82,82,46,28,33,4,3,275,4,0,0,0,0,0,0,4,135,196,96,87,85,29,10,634
102011043,24,37,32,28,27,7,3,157,4,0,0,0,0,0,0,7,0,0,3,0,0,0,0,4,38,66,53,54,70,18,17,326,0,0,0,3,3,0,0,10,3,11,3,3,9,0,0,33,3,16,5,7,7,4,0,42,39,82,58,63,78,26,17,363,68,76,42,32,35,7,3,273,0,0,0,4,0,0,0,6,108,160,102,103,112,34,22,641
102021044,35,126,81,54,61,16,5,383,10,5,3,3,0,0,0,20,3,3,3,5,0,0,0,19,87,203,143,91,124,37,19,713,5,10,10,4,3,0,0,25,13,24,8,7,4,0,0,58,15,26,17,11,10,0,0,85,102,230,161,104,129,38,23,792,157,143,70,40,46,9,6,471,4,0,0,0,0,0,0,9,268,374,234,142,180,47,27,1277
102021045,36,74,52,24,45,9,7,249,11,11,3,0,4,6,0,30,3,4,0,0,3,0,0,15,66,117,81,46,79,24,10,436,3,10,12,3,3,0,0,36,5,9,9,0,7,0,0,35,7,26,16,0,14,0,0,66,80,141,103,49,93,29,10,501,144,147,70,37,41,7,0,451,3,3,3,0,0,0,0,11,227,296,170,83,133,39,16,958
102021046,18,31,38,18,16,7,0,125,4,0,3,0,0,0,0,8,0,3,0,0,0,0,0,3,34,56,59,30,42,15,7,234,0,4,0,3,0,0,0,11,5,18,9,4,7,0,0,40,5,17,6,6,6,0,0,48,35,78,64,32,46,18,7,281,69,63,37,32,18,4,3,222,0,0,3,0,0,0,0,12,107,141,111,67,60,18,7,512
102021047,31,63,36,24,41,9,0,196,7,7,0,0,3,0,0,20,3,0,0,0,0,0,0,5,46,101,72,57,99,33,6,424,3,6,0,0,4,0,0,14,3,4,4,4,3,0,3,22,3,11,9,4,9,0,3,34,49,116,81,66,110,34,7,462,72,76,32,13,19,3,4,221,0,0,0,0,0,0,0,0,127,184,110,76,130,38,8,681
102021048,44,101,72,56,50,11,5,337,3,8,3,4,4,0,0,31,0,4,8,5,3,0,0,22,75,168,133,105,133,32,11,652,14,20,10,5,4,0,0,62,19,43,19,10,14,0,0,104,40,60,30,14,22,3,0,165,112,229,162,120,153,39,11,821,214,186,116,71,73,10,4,677,3,4,3,3,0,0,0,13,328,416,283,192,219,48,22,1511
102021049,8,7,3,8,9,3,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,14,7,6,15,3,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,19,7,6,15,3,0,60,9,6,0,3,0,0,0,19,0,0,0,0,0,0,0,0,20,26,11,12,16,4,3,81
102021050,22,46,36,32,33,4,3,169,0,6,3,3,0,0,0,18,0,0,0,0,0,0,0,3,27,81,56,62,74,13,3,316,3,7,5,6,3,0,0,19,3,5,5,0,4,0,0,22,4,13,9,6,5,0,0,41,36,89,69,62,82,13,3,355,80,61,15,17,22,3,0,199,4,0,0,0,0,0,0,4,113,150,85,80,105,18,3,557
102021051,7,13,17,5,7,0,0,56,3,3,4,0,0,0,0,9,0,0,0,0,0,0,0,0,12,31,38,7,27,4,4,131,3,0,0,0,0,0,0,6,3,3,0,0,0,0,0,5,8,3,0,0,0,0,0,12,21,31,38,9,25,4,4,140,12,13,10,3,0,3,3,43,0,0,0,0,0,0,0,0,30,45,51,9,30,5,10,185
102021052,14,30,14,7,16,7,0,86,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,18,45,26,27,41,4,0,156,0,0,0,0,0,0,0,3,5,11,0,3,3,0,0,25,8,14,0,3,3,0,0,30,23,57,27,28,41,4,0,182,29,30,19,5,10,0,0,100,0,0,0,0,0,0,0,0,53,90,51,33,51,4,0,289
102021053,46,77,47,48,46,16,0,277,5,3,4,4,3,0,0,20,0,5,0,0,0,0,0,11,65,125,98,71,104,22,6,496,3,12,3,5,19,0,0,34,14,21,4,4,0,0,0,39,16,29,6,5,17,3,0,76,78,157,107,78,123,23,6,572,127,110,53,31,33,8,3,359,0,3,4,0,0,0,0,9,208,263,159,112,164,34,5,941
102021054,27,45,33,19,24,11,0,156,3,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,43,59,55,35,45,16,3,255,4,7,10,0,4,0,0,26,3,6,3,3,0,0,0,20,7,16,12,8,4,0,0,45,51,77,66,42,51,16,3,302,102,77,31,16,13,3,0,247,0,0,0,0,0,0,0,0,155,152,102,54,62,19,4,549
102021055,17,12,21,16,18,0,0,88,0,0,4,0,0,0,0,9,0,0,0,0,0,0,0,5,20,29,43,31,48,14,0,183,0,4,0,0,0,0,0,7,3,7,3,0,5,0,0,12,3,10,4,3,5,0,0,21,28,39,43,29,45,14,3,203,20,29,11,8,12,3,3,89,0,0,0,0,0,0,0,0,49,64,53,41,60,16,3,292
102021056,40,74,52,30,44,5,3,246,3,3,0,0,3,0,0,10,0,0,0,3,3,0,0,7,71,134,96,79,99,27,9,509,3,4,3,0,4,0,0,12,16,12,9,0,4,0,0,40,21,13,8,0,8,0,0,52,91,147,105,79,107,27,9,560,110,97,60,24,32,6,0,335,0,0,4,0,0,0,0,4,203,244,172,109,131,33,5,902
102021057,24,37,34,13,17,4,3,131,0,3,0,0,3,0,0,6,0,0,0,0,0,0,0,4,39,66,71,33,39,15,9,268,4,11,10,8,5,3,0,41,7,10,0,3,0,0,0,20,12,22,8,12,5,3,0,61,50,89,82,44,43,13,10,332,113,104,60,38,37,4,0,357,3,5,0,0,0,0,0,4,169,192,136,82,88,22,11,691
103011058,66,105,64,46,42,12,4,336,14,12,0,0,4,0,0,28,0,3,0,3,3,0,0,10,116,199,138,101,125,43,11,735,6,17,3,10,0,3,0,49,7,25,15,3,14,0,0,59,18,40,17,12,12,3,0,107,129,243,155,114,139,44,11,837,160,121,70,48,40,7,0,446,3,3,0,0,0,0,0,10,302,363,225,163,177,50,8,1294
