SUA_CODE_2016,P_AdvDi_Di_AdvDi_AsDe_Mng,P_AdvDi_Di_AdvDi_AsDe_Pro,P_AdvDi_Di_AdvDi_AsDe_TTW,P_AdvDi_Di_AdvDi_AsDe_CPS,P_AdvDi_Di_AdvDi_AsDe_CA,P_AdvDi_Di_AdvDi_AsDe_Sal,P_AdvDi_Di_AdvDi_AsDe_MOD,P_AdvDi_Di_AdvDi_AsDe_Lab,P_AdvDi_Di_AdvDi_AsDe_IDNS,P_AdvDi_Di_AdvDi_AsDe_Tot,P_AdvDi_Di_Dip_Mng,P_AdvDi_Di_Dip_Pro,P_AdvDi_Di_Dip_TTW,P_AdvDi_Di_Dip_CPS,P_AdvDi_Di_Dip_CA,P_AdvDi_Di_Dip_Sal,P_AdvDi_Di_Dip_MOD,P_AdvDi_Di_Dip_Lab,P_AdvDi_Di_Dip_IDNS,P_AdvDi_Di_Dip_Tot,P_Cert_CertIII_IV_Mng,P_Cert_CertIII_IV_Pro,P_Cert_CertIII_IV_TTW,P_Cert_CertIII_IV_CPS,P_Cert_CertIII_IV_CA,P_Cert_CertIII_IV_Sal,P_Cert_CertIII_IV_MOD,P_Cert_CertIII_IV_Lab,P_Cert_CertIII_IV_IDNS,P_Cert_CertIII_IV_Tot,P_Cert_CertI_II_Mng,P_Cert_CertI_II_Pro,P_Cert_CertI_II_TTW,P_Cert_CertI_II_CPS,P_Cert_CertI_II_CA,P_Cert_CertI_II_Sal,P_Cert_CertI_II_MOD,P_Cert_CertI_II_Lab,P_Cert_CertI_II_IDNS,P_Cert_CertI_II_Tot,P_Cert_Cert_nfd_Mng,P_Cert_Cert_nfd_Pro,P_Cert_Cert_nfd_TTW,P_Cert_Cert_nfd_CPS,P_Cert_Cert_nfd_CA,P_Cert_Cert_nfd_Sal,P_Cert_Cert_nfd_MOD,P_Cert_Cert_nfd_Lab,P_Cert_Cert_nfd_IDNS,P_Cert_Cert_nfd_Tot,P_LE_ID_Mng,P_LE_ID_Pro,P_LE_ID_TTW,P_LE_ID_CPS,P_LE_ID_CA,P_LE_ID_Sal,P_LE_ID_MOD,P_LE_ID_Lab,P_LE_ID_IDNS,P_LE_ID_Tot,P_LE_NS_Mng,P_LE_NS_Pro,P_LE_NS_TTW,P_LE_NS_CPS,P_LE_NS_CA,P_LE_NS_Sal,P_LE_NS_MOD,P_LE_NS_Lab,P_LE_NS_IDNS,P_LE_NS_Tot,P_Tot_Mng,P_Tot_Pro,P_Tot_TTW,P_Tot_CPS,P_Tot_CA,P_Tot_Sal,P_Tot_MOD,P_Tot_Lab,P_Tot_IDNS,P_Tot_Tot
1000,4319,4866,1294,2981,2540,837,407,857,245,18344,4555,3740,2114,5835,4123,1358,605,1300,289,23912,16636,4863,37749,12410,10283,5921,10099,11551,1682,111194,1097,372,518,992,1637,962,491,1224,79,7370,2022,756,857,1958,2477,1206,781,1365,158,11578,497,431,257,276,507,231,154,307,48,2710,2312,1078,1372,1405,1316,1142,1273,2074,936,12906,45938,58750,46525,30721,28958,13398,14369,20661,4269,263588
1001,259,412,159,291,257,91,44,51,13,1577,424,489,306,834,508,208,92,137,37,3032,1021,534,3907,1481,1249,783,876,949,138,10943,49,33,65,109,164,94,55,96,12,672,78,47,60,173,222,116,88,106,6,905,22,54,30,35,40,24,22,17,9,244,60,86,79,96,89,92,78,129,78,787,3066,6740,4851,3681,3225,1651,1348,1636,364,26552
1002,59,101,31,66,73,13,5,9,5,364,71,82,37,127,114,38,14,29,7,513,205,88,611,251,235,163,95,169,27,1848,11,15,15,21,24,23,7,28,0,154,19,15,18,31,56,29,12,28,3,199,9,19,5,13,12,7,4,13,0,71,21,19,11,20,22,8,15,39,11,171,777,2397,845,794,836,369,160,438,79,6694
1003,64,144,43,83,69,24,4,27,11,459,88,101,55,181,100,56,12,26,6,625,279,131,869,338,237,159,114,229,44,2391,14,5,8,20,40,22,3,25,4,154,32,25,23,55,60,48,8,30,0,292,5,27,6,17,15,12,0,6,0,91,17,27,24,39,29,25,17,43,17,231,840,2145,1108,966,739,445,176,440,104,6964
1004,38,62,21,28,26,16,0,5,4,211,48,49,22,69,54,22,0,13,7,280,171,72,518,239,138,156,82,134,27,1540,7,3,6,16,29,19,8,15,0,105,28,18,10,38,38,30,3,16,0,178,6,5,3,4,9,4,3,0,0,37,13,13,20,23,17,21,4,29,20,164,441,710,644,503,392,284,110,237,69,3392
1005,79,158,44,127,96,39,11,20,5,585,138,168,99,263,141,63,28,45,17,953,400,188,1374,614,437,268,330,405,45,4057,28,13,32,39,78,45,17,37,0,296,37,23,31,46,99,55,22,52,9,374,10,25,8,15,15,15,5,15,3,121,25,20,36,39,35,28,19,61,22,283,1208,2742,1735,1462,1180,604,456,709,129,10236
1006,146,260,79,128,97,73,17,47,9,857,164,156,103,244,147,83,27,44,16,986,458,196,1570,408,364,256,288,384,57,3974,22,12,21,35,56,34,20,30,5,230,65,40,42,79,99,54,23,40,9,448,25,31,13,15,23,3,7,8,3,131,36,54,35,42,59,35,23,73,30,376,1567,2978,2017,1225,1152,707,429,699,146,10923
1007,30,68,9,50,29,13,5,0,5,202,48,64,34,120,58,23,4,15,3,383,144,109,725,329,222,84,214,122,24,1972,9,9,4,28,30,10,9,21,0,128,13,16,8,43,43,14,14,14,0,164,5,5,4,8,6,3,3,4,0,40,13,18,12,27,30,19,22,33,10,200,402,1006,818,693,464,193,284,222,58,4133
1008,25,89,11,27,38,21,7,4,6,229,48,65,30,81,42,29,8,18,3,330,171,75,596,238,146,120,115,205,24,1697,3,5,5,10,28,23,4,12,0,101,19,14,9,35,32,20,9,28,0,171,8,13,3,7,9,4,0,3,0,40,9,14,18,21,15,11,10,17,10,134,397,906,710,505,364,240,161,302,55,3649
1009,1035,1739,533,1081,1014,403,133,206,72,6216,1440,1729,907,2374,1754,763,197,351,131,9651,3572,2188,12861,4784,4071,2440,2303,3163,517,35891,193,132,139,314,473,387,112,295,22,2068,319,320,269,724,877,433,217,337,37,3532,121,230,103,117,251,99,56,111,22,1107,250,319,335,391,407,308,224,442,296,2966,10607,22885,16007,11672,11100,5719,3426,5350,1386,88142
