SUA_CODE_2016,P_Oth_scs_15_19,P_Oth_scs_20_24,P_Oth_scs_25_34,P_Oth_scs_35_44,P_Oth_scs_45_54,P_Oth_scs_55_64,P_Oth_scs_65_74,P_Oth_scs_75_84,P_Oth_scs_85ov,P_Oth_scs_Tot,P_ID_NS_15_19,P_ID_NS_20_24,P_ID_NS_25_34,P_ID_NS_35_44,P_ID_NS_45_54,P_ID_NS_55_64,P_ID_NS_65_74,P_ID_NS_75_84,P_ID_NS_85ov,P_ID_NS_Tot,P_Tot_15_19,P_Tot_20_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
1000,979,1674,2844,3043,3300,2530,792,107,23,15300,1192,1401,2522,3186,3905,3364,1459,560,139,17722,22933,29240,63941,80317,99915,85573,26058,5102,881,413955
1001,94,214,407,311,286,231,58,15,0,1618,89,172,274,284,320,215,99,19,0,1478,2727,4213,8814,8122,8447,6464,1419,124,19,40346
1002,22,54,66,53,66,44,12,3,0,318,15,35,52,48,38,29,20,7,0,240,702,1156,1887,1720,2045,1658,409,47,11,9636
1003,16,28,52,73,78,70,21,0,0,332,16,19,55,100,77,70,29,5,7,384,585,694,1591,2101,2448,2119,538,40,16,10133
1004,9,22,42,52,64,52,8,0,0,250,12,25,44,41,49,46,17,5,3,238,375,368,815,1036,1257,1209,297,35,7,5400
1005,26,83,134,137,86,68,31,0,0,566,48,49,114,93,89,81,31,7,3,521,950,1706,3387,3115,3141,2438,526,78,12,15352
1006,39,75,129,128,150,103,44,8,0,671,33,62,86,150,172,136,67,13,3,717,1063,1180,2534,3095,3839,3102,1091,176,23,16110
1007,15,32,72,47,54,61,16,7,0,294,7,32,44,29,48,57,8,6,8,251,379,601,1410,1259,1543,1386,280,33,11,6902
1008,15,21,41,50,60,44,11,0,0,235,20,12,20,32,50,45,15,5,3,202,349,302,674,1069,1578,1232,253,33,9,5492
1009,267,650,1230,1174,1276,870,228,26,3,5720,314,565,995,1155,1294,930,276,73,15,5621,8383,12436,25712,29057,31488,23108,4995,457,64,135701
1010,56,108,241,191,247,178,58,4,0,1083,58,96,193,226,229,168,50,18,3,1038,1770,2256,5118,5701,6397,5233,1121,95,16,27704
1011,35,92,189,129,136,111,44,11,3,755,49,56,122,96,108,67,30,18,0,548,1080,1592,3908,3335,3398,2592,638,105,11,16647
1012,12,23,43,64,44,57,28,4,0,275,17,15,23,35,47,47,21,8,4,221,425,418,959,1122,1454,1418,371,42,7,6214
1013,23,55,94,86,57,55,23,3,0,397,26,33,78,60,73,63,12,9,0,363,640,909,2031,1935,2125,1646,371,48,4,9708
1014,5,36,64,55,74,37,14,3,0,286,13,31,39,43,46,31,16,7,3,231,392,566,1177,1377,1436,1211,280,46,12,6499
1015,26,50,80,64,56,47,12,0,0,341,35,43,79,62,79,54,25,4,0,375,561,805,2034,1675,1746,1271,348,42,8,8499
1016,15,24,29,39,48,36,10,0,0,183,14,12,42,26,35,33,14,5,0,189,320,373,800,850,1022,843,225,23,6,4467
1017,14,59,106,81,122,89,33,3,0,512,22,47,85,73,82,72,17,7,3,403,712,1119,2228,2301,2580,2035,466,52,9,11502
1018,9,26,40,41,34,22,9,0,0,190,8,24,44,30,31,35,9,7,4,193,290,410,906,856,1010,851,170,19,4,4523
1019,31,43,82,88,98,70,10,4,0,432,23,55,74,90,93,64,22,7,0,434,542,880,1701,1835,2179,1658,413,46,6,9259
1020,6,50,51,60,50,44,5,0,0,263,10,8,22,21,26,17,13,4,0,116,303,434,1181,1064,1105,731,182,37,3,5040
1021,8,39,55,40,32,21,5,0,0,207,7,12,35,39,40,21,9,3,0,164,282,453,1185,1028,1096,672,115,10,5,4860
1022,24,28,72,88,93,68,21,0,0,392,33,35,54,73,93,77,40,10,3,415,720,786,1489,2092,2510,1957,541,56,6,10151
1023,480,1100,2036,1789,1712,1115,273,45,8,8558,395,812,1515,1483,1537,1017,290,102,22,7176,12188,21144,45799,44195,44191,30767,5694,636,81,204697
