SUA_CODE_2016,M_Tot_15_19,M_Tot_20_24,M_Tot_25_34,M_Tot_35_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85ov,M_Tot_Tot,F_Ag_For_Fshg_15_19,F_Ag_For_Fshg_20_24,F_Ag_For_Fshg_25_34,F_Ag_For_Fshg_35_44,F_Ag_For_Fshg_45_54,F_Ag_For_Fshg_55_64,F_Ag_For_Fshg_65_74,F_Ag_For_Fshg_75_84,F_Ag_For_Fshg_85ov,F_Ag_For_Fshg_Tot,F_Mining_15_19,F_Mining_20_24,F_Mining_25_34,F_Mining_35_44,F_Mining_45_54,F_Mining_55_64,F_Mining_65_74,F_Mining_75_84,F_Mining_85ov,F_Mining_Tot,F_Manufact_15_19,F_Manufact_20_24,F_Manufact_25_34,F_Manufact_35_44,F_Manufact_45_54,F_Manufact_55_64,F_Manufact_65_74,F_Manufact_75_84,F_Manufact_85ov,F_Manufact_Tot,F_El_Gas_Wt_Waste_15_19,F_El_Gas_Wt_Waste_20_24,F_El_Gas_Wt_Waste_25_34,F_El_Gas_Wt_Waste_35_44,F_El_Gas_Wt_Waste_45_54,F_El_Gas_Wt_Waste_55_64,F_El_Gas_Wt_Waste_65_74,F_El_Gas_Wt_Waste_75_84,F_El_Gas_Wt_Waste_85ov,F_El_Gas_Wt_Waste_Tot,F_Constru_15_19,F_Constru_20_24,F_Constru_25_34,F_Constru_35_44,F_Constru_45_54,F_Constru_55_64,F_Constru_65_74,F_Constru_75_84,F_Constru_85ov,F_Constru_Tot,F_WhlesaleTde_15_19,F_WhlesaleTde_20_24,F_WhlesaleTde_25_34,F_WhlesaleTde_35_44,F_WhlesaleTde_45_54,F_WhlesaleTde_55_64,F_WhlesaleTde_65_74,F_WhlesaleTde_75_84,F_WhlesaleTde_85ov,F_WhlesaleTde_Tot,F_RetTde_15_19,F_RetTde_20_24,F_RetTde_25_34,F_RetTde_35_44,F_RetTde_45_54,F_RetTde_55_64,F_RetTde_65_74,F_RetTde_75_84,F_RetTde_85ov,F_RetTde_Tot,F_Accom_food_15_19,F_Accom_food_20_24,F_Accom_food_25_34,F_Accom_food_35_44,F_Accom_food_45_54,F_Accom_food_55_64,F_Accom_food_65_74,F_Accom_food_75_84,F_Accom_food_85ov,F_Accom_food_Tot,F_Trans_post_wrehsg_15_19,F_Trans_post_wrehsg_20_24,F_Trans_post_wrehsg_25_34,F_Trans_post_wrehsg_35_44,F_Trans_post_wrehsg_45_54,F_Trans_post_wrehsg_55_64,F_Trans_post_wrehsg_65_74,F_Trans_post_wrehsg_75_84,F_Trans_post_wrehsg_85ov,F_Trans_post_wrehsg_Tot,F_Info_media_teleco_15_19,F_Info_media_teleco_20_24,F_Info_media_teleco_25_34,F_Info_media_teleco_35_44,F_Info_media_teleco_45_54,F_Info_media_teleco_55_64,F_Info_media_teleco_65_74,F_Info_media_teleco_75_84,F_Info_media_teleco_85ov,F_Info_media_teleco_Tot,F_Fin_Insur_15_19,F_Fin_Insur_20_24,F_Fin_Insur_25_34,F_Fin_Insur_35_44,F_Fin_Insur_45_54,F_Fin_Insur_55_64,F_Fin_Insur_65_74,F_Fin_Insur_75_84,F_Fin_Insur_85ov,F_Fin_Insur_Tot,F_RtnHir_REst_15_19,F_RtnHir_REst_20_24,F_RtnHir_REst_25_34,F_RtnHir_REst_35_44,F_RtnHir_REst_45_54,F_RtnHir_REst_55_64,F_RtnHir_REst_65_74,F_RtnHir_REst_75_84,F_RtnHir_REst_85ov,F_RtnHir_REst_Tot,F_Pro_scien_tec_15_19,F_Pro_scien_tec_20_24,F_Pro_scien_tec_25_34,F_Pro_scien_tec_35_44,F_Pro_scien_tec_45_54,F_Pro_scien_tec_55_64,F_Pro_scien_tec_65_74,F_Pro_scien_tec_75_84,F_Pro_scien_tec_85ov,F_Pro_scien_tec_Tot,F_Admin_supp_15_19,F_Admin_supp_20_24,F_Admin_supp_25_34,F_Admin_supp_35_44,F_Admin_supp_45_54,F_Admin_supp_55_64,F_Admin_supp_65_74,F_Admin_supp_75_84,F_Admin_supp_85ov,F_Admin_supp_Tot,F_Public_admin_sfty_15_19,F_Public_admin_sfty_20_24,F_Public_admin_sfty_25_34,F_Public_admin_sfty_35_44,F_Public_admin_sfty_45_54,F_Public_admin_sfty_55_64,F_Public_admin_sfty_65_74,F_Public_admin_sfty_75_84,F_Public_admin_sfty_85ov,F_Public_admin_sfty_Tot,F_Educ_trng_15_19,F_Educ_trng_20_24,F_Educ_trng_25_34,F_Educ_trng_35_44,F_Educ_trng_45_54,F_Educ_trng_55_64,F_Educ_trng_65_74,F_Educ_trng_75_84,F_Educ_trng_85ov,F_Educ_trng_Tot,F_HlthCare_SocAs_15_19,F_HlthCare_SocAs_20_24,F_HlthCare_SocAs_25_34,F_HlthCare_SocAs_35_44,F_HlthCare_SocAs_45_54,F_HlthCare_SocAs_55_64,F_HlthCare_SocAs_65_74,F_HlthCare_SocAs_75_84,F_HlthCare_SocAs_85ov,F_HlthCare_SocAs_Tot,F_Art_recn_15_19,F_Art_recn_20_24,F_Art_recn_25_34,F_Art_recn_35_44,F_Art_recn_45_54,F_Art_recn_55_64,F_Art_recn_65_74,F_Art_recn_75_84,F_Art_recn_85ov,F_Art_recn_Tot,F_Oth_scs_15_19,F_Oth_scs_20_24,F_Oth_scs_25_34,F_Oth_scs_35_44,F_Oth_scs_45_54,F_Oth_scs_55_64,F_Oth_scs_65_74,F_Oth_scs_75_84,F_Oth_scs_85ov,F_Oth_scs_Tot
1000,11493,15882,34000,41129,50399,45853,15875,3472,598,218699,361,682,1567,2074,3176,3524,2712,839,120,15057,11,90,344,288,249,87,16,4,0,1090,461,529,1152,1423,1717,1126,238,25,7,6679,7,39,121,207,259,118,22,0,0,784,74,193,746,1045,1130,768,198,27,0,4188,87,187,455,583,714,447,130,14,3,2627,3488,2213,3389,3930,5122,3940,798,63,19,22973,4069,2352,2789,2646,3261,2501,569,45,8,18240,79,160,441,810,1118,1006,297,27,5,3938,77,140,238,282,366,282,63,14,0,1457,70,281,858,919,1025,603,91,7,0,3865,101,278,532,612,704,490,148,19,0,2880,201,555,1764,2316,2407,1744,490,48,6,9543,125,312,1012,1579,2262,1595,419,53,4,7365,130,461,2043,3196,3587,2090,324,16,5,11861,359,1192,4062,6313,7555,5878,1019,75,12,26465,688,2320,5916,7831,11369,10835,1668,75,19,40717,196,232,400,499,561,387,127,14,3,2418,386,691,1198,1373,1443,975,261,26,7,6356
1001,1317,2247,4644,4170,4219,3288,849,84,12,20830,3,8,16,25,32,26,22,3,0,133,0,0,3,5,3,0,0,0,0,10,76,65,162,178,207,131,8,0,0,823,0,0,11,9,17,5,0,0,0,45,5,23,90,113,104,92,13,0,0,444,3,10,26,54,64,52,11,0,0,228,436,398,546,415,500,328,74,3,0,2700,539,371,357,215,206,152,39,0,0,1873,3,19,72,70,93,81,29,0,0,367,15,34,41,40,23,16,3,0,0,173,10,41,132,120,105,46,3,0,0,463,11,32,60,63,58,40,9,0,0,277,20,61,193,175,199,101,26,3,0,772,18,39,116,149,173,135,24,4,0,660,20,125,311,432,452,275,42,3,0,1668,54,154,586,586,606,500,69,3,0,2555,87,386,1136,1033,1131,1007,132,5,0,4917,29,36,46,20,37,20,4,0,0,190,39,101,199,145,120,85,24,3,0,713
1002,313,579,979,838,1001,811,238,37,4,4801,3,8,35,21,19,16,24,3,0,126,0,0,0,0,3,0,0,0,0,7,5,9,6,7,7,6,3,0,0,41,0,0,0,0,3,0,0,0,0,6,0,0,7,12,10,17,0,0,0,56,5,3,10,6,5,9,3,0,0,37,135,126,102,70,87,66,14,0,0,606,145,121,70,38,38,38,6,0,0,449,0,3,0,7,6,13,3,0,0,33,5,3,4,14,6,7,0,0,0,44,0,16,16,37,28,21,4,0,0,115,3,11,12,4,16,6,0,0,0,49,7,26,54,56,64,46,6,0,0,263,5,11,38,38,28,32,5,0,0,163,0,7,30,49,35,40,10,3,0,173,17,80,232,290,366,297,43,0,0,1326,34,117,229,181,265,206,32,0,0,1067,3,9,4,3,7,3,0,0,0,28,8,27,25,30,34,15,3,0,0,145
1003,282,344,818,1035,1151,1039,326,30,15,5041,0,3,9,4,10,15,8,0,0,41,0,0,4,0,0,0,0,0,0,4,14,15,22,28,41,24,8,0,0,150,0,0,0,0,4,3,0,0,0,11,0,5,20,18,20,12,5,0,0,81,0,3,6,12,7,10,0,0,0,40,123,84,108,96,123,124,32,0,0,694,113,74,112,85,103,78,19,0,0,572,0,3,4,10,12,24,4,0,0,65,0,3,3,17,8,7,3,0,0,49,0,6,24,23,23,21,3,0,0,106,3,8,18,20,35,24,4,0,0,114,3,17,36,82,66,52,10,0,0,265,3,9,21,42,55,40,8,0,0,179,0,3,38,60,81,46,4,0,0,236,3,28,137,188,242,181,29,0,0,798,14,58,170,270,380,358,51,5,0,1305,5,14,9,15,15,8,8,0,0,66,6,15,28,43,41,22,5,0,0,161
1004,173,196,445,496,595,582,175,24,3,2694,0,0,0,4,4,7,3,0,0,22,0,0,0,0,0,0,0,0,0,0,4,7,6,3,17,16,0,0,0,59,0,0,0,0,0,0,0,0,0,0,0,9,11,8,19,6,5,0,0,53,3,0,3,4,7,8,3,0,0,24,92,48,59,88,92,90,16,0,0,486,70,30,71,60,74,56,11,0,0,362,0,0,0,9,14,7,3,0,0,26,3,3,4,3,3,3,0,0,0,25,3,3,4,9,9,4,0,0,0,36,0,3,12,15,14,15,3,0,0,66,3,4,11,22,28,17,6,0,0,100,3,4,16,33,32,27,13,0,0,122,3,7,27,49,67,35,4,0,0,195,3,9,47,73,60,79,11,4,0,282,5,31,68,121,160,205,28,4,0,616,0,0,6,9,8,4,0,0,0,33,10,7,13,29,25,28,3,0,0,114
1005,430,842,1822,1563,1536,1231,297,59,5,7787,7,3,10,18,18,11,8,3,4,81,0,5,6,0,0,0,0,0,0,15,29,32,44,74,103,56,17,0,0,351,0,0,15,12,10,6,0,0,0,53,3,6,44,33,34,27,0,0,0,164,9,9,12,12,12,13,3,0,0,56,158,194,216,173,145,110,20,3,0,1016,178,171,114,76,83,61,15,3,0,699,0,7,16,16,27,22,0,0,0,101,15,21,29,26,15,4,0,0,0,114,3,10,39,26,35,24,4,0,0,137,0,15,18,22,19,13,6,0,0,95,5,24,80,83,45,53,12,0,0,309,9,19,49,45,86,39,14,0,0,258,5,31,143,149,130,109,14,0,0,580,14,84,264,316,357,257,44,4,0,1337,40,170,362,344,381,335,48,3,0,1674,17,14,19,21,16,14,4,0,0,102,12,42,48,54,47,27,6,0,0,242
1006,521,635,1376,1557,1885,1595,636,121,14,8345,8,3,13,10,18,22,12,0,0,91,0,0,10,3,11,0,0,0,0,21,24,26,34,63,85,53,11,0,0,298,0,0,0,4,10,0,4,0,0,23,3,11,38,49,60,38,11,0,0,205,6,15,27,34,44,30,12,0,0,165,137,94,145,143,236,156,50,8,0,979,246,103,153,122,127,87,28,0,0,865,5,6,16,34,46,30,12,3,0,149,5,3,10,17,21,8,8,0,0,70,0,15,35,35,43,30,11,5,0,176,9,18,30,45,36,26,21,7,0,184,4,25,75,134,143,81,38,3,0,507,0,10,38,96,94,66,21,4,0,332,0,8,44,73,76,56,9,0,0,272,8,40,127,232,329,269,60,6,0,1076,41,117,248,297,423,418,94,8,0,1642,9,6,13,23,25,22,6,0,0,107,28,42,66,62,78,43,14,0,0,343
1007,192,307,720,618,764,725,153,20,8,3507,4,3,3,4,4,6,3,0,0,28,0,4,20,12,15,15,0,0,0,59,5,0,0,5,6,3,3,0,0,32,0,0,4,11,10,3,0,0,0,27,4,0,8,3,8,6,0,0,0,36,0,0,6,8,5,4,0,0,0,27,68,57,99,83,93,69,7,0,0,491,72,59,70,58,75,69,16,0,0,415,0,3,8,3,14,10,3,0,0,35,0,8,7,5,3,0,0,0,0,27,3,0,13,12,23,10,0,0,0,63,3,3,3,15,7,6,0,0,0,33,3,4,24,15,12,13,4,0,0,76,0,8,17,26,42,35,4,0,0,139,3,6,36,55,70,43,11,0,0,228,3,29,95,101,101,82,12,0,0,420,12,77,208,183,261,220,42,0,0,1001,3,3,3,8,11,3,3,0,0,33,7,13,31,21,28,30,4,0,0,136
1008,170,175,340,524,776,593,151,20,4,2762,0,4,3,10,7,6,4,0,0,28,0,0,0,0,0,0,0,0,0,0,4,0,7,6,23,12,3,0,0,49,0,0,3,12,18,7,0,0,0,36,3,5,10,23,23,14,0,0,0,71,0,0,0,5,3,5,4,0,0,21,47,20,55,49,110,92,14,0,0,389,77,33,38,41,52,56,8,0,0,299,0,0,3,4,14,8,0,0,0,30,0,0,3,0,5,3,0,0,0,13,0,0,0,13,24,0,0,0,0,45,0,3,4,16,20,14,0,0,0,65,3,3,14,28,34,25,8,0,0,116,0,4,10,25,32,28,6,0,0,109,0,3,16,33,33,19,0,0,0,112,7,11,46,105,136,93,17,0,0,412,11,27,86,133,211,219,20,3,0,712,4,0,0,3,9,3,0,0,0,23,7,9,18,27,29,23,3,0,0,120
1009,3856,6462,13689,15186,15801,11749,2900,309,45,69988,10,22,27,42,70,57,18,7,0,253,0,6,13,26,11,8,3,0,0,68,116,149,380,574,621,396,60,10,0,2298,0,13,42,53,57,41,4,0,0,207,36,111,320,423,406,287,43,9,0,1627,34,71,199,338,301,171,39,0,0,1161,1340,1307,1492,1442,1786,1333,228,13,0,8946,1935,1072,932,761,758,501,81,12,0,6052,19,54,122,212,319,261,49,0,0,1040,64,73,188,192,198,133,28,0,0,876,21,161,590,642,614,352,39,3,0,2418,46,135,279,290,293,216,53,3,0,1313,52,263,702,904,773,534,164,7,0,3401,54,184,431,586,683,459,103,9,0,2514,30,120,709,1074,1057,631,82,0,0,3701,151,428,1515,1693,1936,1524,223,14,0,7482,277,1176,2967,3414,4551,3592,632,25,3,16636,94,126,194,205,170,105,36,3,0,938,151,334,594,577,612,388,85,8,0,2735
