SUA_CODE_2016,MOL_SAL_Oth_SOLSE_NWorNAA,MOL_SAL_Oth_SOLSE_Tot,MOL_SAL_Oth_NS,MOL_SAL_Oth_Tot,MOL_SAL_Tot_SEO,MOL_SAL_Tot_SOLSE_VWorW,MOL_SAL_Tot_SOLSE_NWorNAA,MOL_SAL_Tot_SOLSE_Tot,MOL_SAL_Tot_NS,MOL_SAL_Tot_Tot,MOL_Spanish_SEO,MOL_Spanish_SOLSE_VWorW,MOL_Spanish_SOLSE_NWorNAA,MOL_Spanish_SOLSE_Tot,MOL_Spanish_NS,MOL_Spanish_Tot,MOL_Tamil_SEO,MOL_Tamil_SOLSE_VWorW,MOL_Tamil_SOLSE_NWorNAA,MOL_Tamil_SOLSE_Tot,MOL_Tamil_NS,MOL_Tamil_Tot,MOL_Thai_SEO,MOL_Thai_SOLSE_VWorW,MOL_Thai_SOLSE_NWorNAA,MOL_Thai_SOLSE_Tot,MOL_Thai_NS,MOL_Thai_Tot,MOL_Turkish_SEO,MOL_Turkish_SOLSE_VWorW,MOL_Turkish_SOLSE_NWorNAA,MOL_Turkish_SOLSE_Tot,MOL_Turkish_NS,MOL_Turkish_Tot,MOL_Vietnamese_SEO,MOL_Vietnamese_SOLSE_VWorW,MOL_Vietnamese_SOLSE_NWorNAA,MOL_Vietnamese_SOLSE_Tot,MOL_Vietnamese_NS,MOL_Vietnamese_Tot,MOL_Oth_SEO,MOL_Oth_SOLSE_VWorW,MOL_Oth_SOLSE_NWorNAA,MOL_Oth_SOLSE_Tot,MOL_Oth_NS,MOL_Oth_Tot,MOL_Tot_SEO,MOL_Tot_SOLSE_VWorW,MOL_Tot_SOLSE_NWorNAA,MOL_Tot_SOLSE_Tot,MOL_Tot_NS,MOL_Tot_Tot,M_LSatH_NS_SEO,M_LSatH_NS_SOLSE_VWorW,M_LSatH_NS_SOLSE_NWorNAA,M_LSatH_NS_SOLSE_Tot,M_LSatH_NS_NS,M_LSatH_NS_Tot,M_Tot_SEO,M_Tot_SOLSE_VWorW,M_Tot_SOLSE_NWorNAA,M_Tot_SOLSE_Tot,M_Tot_NS,M_Tot_Tot,FSEO_SEO,FSEO_SOLSE_VWorW,FSEO_SOLSE_NWorNAA,FSEO_SOLSE_Tot,FSEO_NS,FSEO_Tot,FOL_Afrikaans_SEO,FOL_Afrikaans_SOLSE_VWorW,FOL_Afrikaans_SOLSE_NWorNAA,FOL_Afrikaans_SOLSE_Tot,FOL_Afrikaans_NS,FOL_Afrikaans_Tot,FOL_Arabic_SEO,FOL_Arabic_SOLSE_VWorW,FOL_Arabic_SOLSE_NWorNAA,FOL_Arabic_SOLSE_Tot,FOL_Arabic_NS,FOL_Arabic_Tot,FOL_AIndLng_SEO,FOL_AIndLng_SOLSE_VWorW,FOL_AIndLng_SOLSE_NWorNAA,FOL_AIndLng_SOLSE_Tot,FOL_AIndLng_NS,FOL_AIndLng_Tot,FOL_CL_Cantones_SEO,FOL_CL_Cantones_SOLSE_VWorW,FOL_CL_Cantones_SOLSE_NWorNAA,FOL_CL_Cantones_SOLSE_Tot,FOL_CL_Cantones_NS,FOL_CL_Cantones_Tot,FOL_CL_Mandarin_SEO,FOL_CL_Mandarin_SOLSE_VWorW,FOL_CL_Mandarin_SOLSE_NWorNAA,FOL_CL_Mandarin_SOLSE_Tot,FOL_CL_Mandarin_NS,FOL_CL_Mandarin_Tot,FOL_CL_Oth_SEO,FOL_CL_Oth_SOLSE_VWorW,FOL_CL_Oth_SOLSE_NWorNAA,FOL_CL_Oth_SOLSE_Tot,FOL_CL_Oth_NS,FOL_CL_Oth_Tot,FOL_CL_Tot_SEO,FOL_CL_Tot_SOLSE_VWorW,FOL_CL_Tot_SOLSE_NWorNAA,FOL_CL_Tot_SOLSE_Tot,FOL_CL_Tot_NS,FOL_CL_Tot_Tot,FOL_Croatian_SEO,FOL_Croatian_SOLSE_VWorW,FOL_Croatian_SOLSE_NWorNAA,FOL_Croatian_SOLSE_Tot,FOL_Croatian_NS,FOL_Croatian_Tot,FOL_Dutch_SEO,FOL_Dutch_SOLSE_VWorW,FOL_Dutch_SOLSE_NWorNAA,FOL_Dutch_SOLSE_Tot,FOL_Dutch_NS,FOL_Dutch_Tot,FOL_French_SEO,FOL_French_SOLSE_VWorW,FOL_French_SOLSE_NWorNAA,FOL_French_SOLSE_Tot,FOL_French_NS,FOL_French_Tot,FOL_German_SEO,FOL_German_SOLSE_VWorW,FOL_German_SOLSE_NWorNAA,FOL_German_SOLSE_Tot,FOL_German_NS,FOL_German_Tot,FOL_Greek_SEO,FOL_Greek_SOLSE_VWorW,FOL_Greek_SOLSE_NWorNAA,FOL_Greek_SOLSE_Tot,FOL_Greek_NS,FOL_Greek_Tot,FOL_IAL_Bengali_SEO,FOL_IAL_Bengali_SOLSE_VWorW,FOL_IAL_Bengali_SOLSE_NWorNAA,FOL_IAL_Bengali_SOLSE_Tot,FOL_IAL_Bengali_NS,FOL_IAL_Bengali_Tot,FOL_IAL_Hindi_SEO,FOL_IAL_Hindi_SOLSE_VWorW,FOL_IAL_Hindi_SOLSE_NWorNAA,FOL_IAL_Hindi_SOLSE_Tot,FOL_IAL_Hindi_NS,FOL_IAL_Hindi_Tot,FOL_IAL_Punjabi_SEO,FOL_IAL_Punjabi_SOLSE_VWorW,FOL_IAL_Punjabi_SOLSE_NWorNAA,FOL_IAL_Punjabi_SOLSE_Tot,FOL_IAL_Punjabi_NS,FOL_IAL_Punjabi_Tot,FOL_IAL_Sinhalese_SEO,FOL_IAL_Sinhalese_SOLSE_VWorW,FOL_IAL_Sinhale_SOLSE_NWorNAA,FOL_IAL_Sinhalese_SOLSE_Tot,FOL_IAL_Sinhalese_NS,FOL_IAL_Sinhalese_Tot,FOL_IAL_Urdu_SEO,FOL_IAL_Urdu_SOLSE_VWorW,FOL_IAL_Urdu_SOLSE_NWorNAA,FOL_IAL_Urdu_SOLSE_Tot,FOL_IAL_Urdu_NS,FOL_IAL_Urdu_Tot,FOL_IAL_Oth_SEO,FOL_IAL_Oth_SOLSE_VWorW,FOL_IAL_Oth_SOLSE_NWorNAA,FOL_IAL_Oth_SOLSE_Tot,FOL_IAL_Oth_NS,FOL_IAL_Oth_Tot,FOL_IAL_Tot_SEO,FOL_IAL_Tot_SOLSE_VWorW,FOL_IAL_Tot_SOLSE_NWorNAA,FOL_IAL_Tot_SOLSE_Tot,FOL_IAL_Tot_NS,FOL_IAL_Tot_Tot,FOL_Italian_SEO,FOL_Italian_SOLSE_VWorW,FOL_Italian_SOLSE_NWorNAA,FOL_Italian_SOLSE_Tot,FOL_Italian_NS,FOL_Italian_Tot,FOL_Japanese_SEO,FOL_Japanese_SOLSE_VWorW,FOL_Japanese_SOLSE_NWorNAA,FOL_Japanese_SOLSE_Tot,FOL_Japanese_NS,FOL_Japanese_Tot,FOL_Korean_SEO,FOL_Korean_SOLSE_VWorW,FOL_Korean_SOLSE_NWorNAA,FOL_Korean_SOLSE_Tot
1000,0,79,0,86,..,715,21,741,8,748,..,666,79,741,10,752,..,96,19,117,0,117,..,200,47,246,7,248,..,86,8,93,0,98,..,198,64,261,0,266,..,2423,404,2831,99,2930,..,13674,1754,15430,299,15730,..,1313,82,1394,45472,46869,441562,14981,1838,16820,45772,504158,441616,..,..,..,..,441616,..,410,5,418,4,421,..,403,75,482,19,496,..,277,23,295,16,313,..,371,164,532,5,540,..,705,329,1033,14,1044,..,47,17,70,0,70,..,1127,508,1630,17,1654,..,252,20,271,8,277,..,599,11,608,10,616,..,702,29,736,11,744,..,1507,25,1531,16,1549,..,432,44,473,8,483,..,59,8,72,0,71,..,209,10,220,5,224,..,326,65,392,10,398,..,82,4,82,3,84,..,84,7,90,4,93,..,153,22,178,4,178,..,906,123,1031,22,1053,..,1332,129,1468,26,1497,..,325,43,364,9,372,..,108,56,163
1001,0,25,0,25,..,161,5,165,0,166,..,53,5,53,0,53,..,30,0,30,0,30,..,25,4,26,0,26,..,3,0,3,0,4,..,15,8,24,0,27,..,452,87,543,19,559,..,2296,410,2708,45,2752,..,98,9,105,2809,2914,37583,2391,421,2813,2860,43251,39800,..,..,..,..,39800,..,38,0,40,0,40,..,51,5,55,0,54,..,22,3,23,3,28,..,42,6,44,3,47,..,99,42,145,0,145,..,4,0,4,0,4,..,141,52,197,3,194,..,63,13,79,0,78,..,61,0,64,0,64,..,71,0,71,0,71,..,158,10,168,0,166,..,86,7,96,0,95,..,44,8,50,0,57,..,101,5,103,0,108,..,161,26,183,4,183,..,61,3,70,0,70,..,14,10,24,0,26,..,244,179,422,5,431,..,626,234,858,10,872,..,103,16,113,5,120,..,25,6,28,0,28,..,18,4,22
1002,0,13,0,13,..,59,0,59,3,62,..,29,0,24,0,24,..,9,0,9,0,9,..,7,6,11,0,11,..,3,0,0,0,0,..,29,8,29,0,29,..,167,28,196,4,194,..,927,149,1077,9,1083,..,27,0,27,780,803,9256,953,151,1103,785,11142,10192,..,..,..,..,10192,..,9,0,9,0,9,..,93,40,133,0,134,..,10,0,10,0,10,..,26,11,39,0,36,..,107,34,141,0,140,..,12,3,12,0,12,..,145,46,189,3,195,..,3,0,3,0,3,..,9,0,9,0,9,..,30,4,33,0,36,..,37,0,39,0,39,..,17,0,20,0,20,..,28,3,33,0,33,..,17,0,17,0,17,..,18,0,18,0,18,..,27,0,27,0,27,..,6,0,8,0,8,..,96,6,99,0,99,..,191,8,195,0,195,..,14,0,18,0,18,..,24,3,28,0,27,..,11,0,6
1003,0,0,0,0,..,12,0,12,0,12,..,22,0,22,0,22,..,0,0,0,0,0,..,14,0,14,0,14,..,9,0,9,0,9,..,14,3,16,0,16,..,74,12,82,4,87,..,393,37,431,9,443,..,27,0,27,845,874,10506,425,37,461,857,11825,11510,..,..,..,..,11510,..,7,0,7,0,7,..,4,3,7,0,7,..,0,0,0,0,0,..,8,3,11,0,11,..,23,9,24,0,24,..,3,0,3,0,3,..,31,7,44,0,44,..,8,0,10,0,10,..,20,0,20,0,21,..,29,0,34,0,34,..,55,0,55,0,55,..,10,0,10,0,10,..,0,0,0,0,0,..,9,0,9,0,9,..,16,0,17,0,17,..,0,0,0,0,0,..,0,0,0,0,0,..,13,0,13,0,13,..,35,0,41,0,41,..,32,3,33,0,33,..,28,0,23,0,30,..,5,0,4
1004,0,0,0,0,..,3,0,3,0,3,..,12,3,20,3,19,..,0,0,0,0,0,..,4,3,7,0,7,..,3,0,3,0,3,..,11,3,12,0,12,..,46,6,54,3,53,..,299,47,345,7,349,..,24,0,24,574,599,6818,320,47,372,586,7765,7296,..,..,..,..,7296,..,7,0,7,0,7,..,3,0,5,0,5,..,9,0,9,0,9,..,15,0,15,0,15,..,8,0,12,0,9,..,0,0,0,0,0,..,24,0,24,0,22,..,26,7,31,0,33,..,25,0,25,0,25,..,11,0,11,0,11,..,37,3,42,0,43,..,20,3,25,0,25,..,8,0,8,0,8,..,0,0,0,0,0,..,7,0,6,0,6,..,3,0,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,20,0,20,0,20,..,30,4,39,0,39,..,4,0,4,0,4,..,0,0,0
1005,0,4,0,4,..,50,0,50,0,48,..,28,0,27,3,28,..,9,0,14,0,14,..,14,3,16,0,16,..,3,0,3,0,3,..,23,8,29,0,29,..,124,28,157,7,159,..,676,101,777,13,790,..,37,0,39,1659,1700,14876,715,107,818,1676,17362,15662,..,..,..,..,15662,..,14,0,14,0,14,..,26,6,38,0,38,..,10,4,15,0,13,..,22,9,33,0,33,..,43,10,51,0,50,..,3,0,9,0,9,..,69,19,95,0,95,..,11,0,11,0,11,..,21,0,21,0,21,..,17,0,17,0,17,..,27,3,31,0,31,..,13,0,13,0,13,..,19,0,23,0,23,..,20,0,20,0,20,..,28,5,30,0,30,..,13,0,13,0,13,..,6,0,6,0,10,..,29,0,29,0,29,..,112,8,124,0,123,..,27,3,25,0,29,..,21,0,23,0,23,..,5,0,6
1006,0,4,0,4,..,42,0,42,0,42,..,41,3,46,0,46,..,3,0,3,0,3,..,18,3,23,0,23,..,14,5,14,0,14,..,16,3,18,0,18,..,121,21,144,9,153,..,944,141,1083,16,1106,..,37,3,45,1031,1076,15762,989,142,1126,1050,17940,17436,..,..,..,..,17436,..,14,0,15,0,15,..,22,6,22,0,23,..,0,0,0,0,0,..,46,10,56,0,55,..,80,34,111,0,111,..,3,0,3,0,3,..,127,43,172,0,176,..,11,3,13,0,13,..,34,4,41,0,41,..,49,0,51,0,57,..,75,4,84,0,84,..,64,12,72,0,71,..,7,0,7,0,7,..,24,0,27,0,27,..,14,3,16,0,20,..,0,0,0,0,0,..,0,0,0,0,0,..,72,9,77,0,77,..,118,8,129,3,136,..,108,8,115,4,119,..,17,4,15,0,16,..,8,3,14
1007,0,0,0,0,..,35,3,36,0,41,..,3,0,3,0,3,..,7,0,7,0,7,..,0,0,0,0,0,..,0,0,0,0,0,..,0,3,5,0,5,..,23,11,30,0,31,..,187,20,204,4,215,..,21,0,20,719,746,7659,203,22,226,726,8615,8047,..,..,..,..,8047,..,7,0,7,0,7,..,3,0,3,0,3,..,9,0,10,0,10,..,0,0,3,0,3,..,3,0,5,3,8,..,0,0,0,0,0,..,3,0,8,3,10,..,7,3,10,0,10,..,0,0,0,0,0,..,3,0,3,0,3,..,7,0,7,0,4,..,4,3,6,0,6,..,0,0,0,0,0,..,6,0,6,0,6,..,3,0,3,0,3,..,3,0,3,0,3,..,0,0,0,0,0,..,7,0,10,0,10,..,22,0,20,0,20,..,15,6,25,0,22,..,4,4,7,0,7,..,0,0,0
1008,0,0,0,0,..,3,0,3,0,3,..,4,0,12,0,12,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,18,0,22,3,22,..,109,11,118,9,124,..,19,0,19,479,502,7535,123,16,143,482,8160,7924,..,..,..,..,7924,..,3,0,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,9,5,13,0,13,..,3,0,3,0,3,..,0,0,0,0,0,..,9,5,18,0,18,..,0,0,0,0,0,..,4,0,4,0,4,..,8,0,8,0,8,..,21,0,21,0,21,..,4,0,6,0,10,..,0,0,0,0,0,..,5,0,5,0,5,..,3,0,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,3,0,3,..,4,0,6,0,6,..,7,0,7,0,7,..,6,0,6,0,6,..,0,0,0
1009,3,56,0,56,..,443,23,466,4,473,..,637,63,703,8,709,..,55,0,55,0,55,..,134,31,168,4,171,..,50,6,60,0,60,..,125,33,159,0,162,..,1449,232,1675,40,1718,..,7456,1004,8455,115,8570,..,437,38,481,8140,8618,137427,7889,1039,8931,8250,154615,145533,..,..,..,..,145533,..,203,3,204,0,210,..,198,28,224,0,227,..,30,0,28,0,28,..,289,131,419,0,421,..,617,262,874,11,882,..,29,15,41,0,41,..,933,405,1335,12,1349,..,104,3,111,3,117,..,224,3,231,3,237,..,348,16,367,0,367,..,453,18,476,8,481,..,260,52,304,6,317,..,36,0,37,0,37,..,154,12,167,0,167,..,95,21,115,0,118,..,40,0,37,0,37,..,53,5,50,0,50,..,111,14,132,0,131,..,488,52,539,3,546,..,469,45,518,8,525,..,230,23,249,0,249,..,224,91,314
