SUA_CODE_2016,F_Mauritius_0_4,F_Mauritius_5_14,F_Mauritius_15_24,F_Mauritius_25_44,F_Mauritius_45_54,F_Mauritius_55_64,F_Mauritius_65_74,F_Mauritius_75_84,F_Mauritius_85ov,F_Mauritius_Tot,F_Myanmar_0_4,F_Myanmar_5_14,F_Myanmar_15_24,F_Myanmar_25_44,F_Myanmar_45_54,F_Myanmar_55_64,F_Myanmar_65_74,F_Myanmar_75_84,F_Myanmar_85ov,F_Myanmar_Tot,F_Nepal_0_4,F_Nepal_5_14,F_Nepal_15_24,F_Nepal_25_44,F_Nepal_45_54,F_Nepal_55_64,F_Nepal_65_74,F_Nepal_75_84,F_Nepal_85ov,F_Nepal_Tot,F_Netherlands_0_4,F_Netherlands_5_14,F_Netherlands_15_24,F_Netherlands_25_44,F_Netherlands_45_54,F_Netherlands_55_64,F_Netherlands_65_74,F_Netherlands_75_84,F_Netherlands_85ov,F_Netherlands_Tot,F_New_Zealand_0_4,F_New_Zealand_5_14,F_New_Zealand_15_24,F_New_Zealand_25_44,F_New_Zealand_45_54,F_New_Zealand_55_64,F_New_Zealand_65_74,F_New_Zealand_75_84,F_New_Zealand_85ov,F_New_Zealand_Tot,F_Nthern_Ireland_0_4,F_Nthern_Ireland_5_14,F_Nthern_Ireland_15_24,F_Nthern_Ireland_25_44,F_Nthern_Ireland_45_54,F_Nthern_Ireland_55_64,F_Nthern_Ireland_65_74,F_Nthern_Ireland_75_84,F_Nthern_Ireland_85ov,F_Nthern_Ireland_Tot,F_Pakistan_0_4,F_Pakistan_5_14,F_Pakistan_15_24,F_Pakistan_25_44,F_Pakistan_45_54,F_Pakistan_55_64,F_Pakistan_65_74,F_Pakistan_75_84,F_Pakistan_85ov,F_Pakistan_Tot,F_PNG_0_4,F_PNG_5_14,F_PNG_15_24,F_PNG_25_44,F_PNG_45_54,F_PNG_55_64,F_PNG_65_74,F_PNG_75_84,F_PNG_85ov,F_PNG_Tot,F_Philippines_0_4,F_Philippines_5_14,F_Philippines_15_24,F_Philippines_25_44,F_Philippines_45_54,F_Philippines_55_64,F_Philippines_65_74,F_Philippines_75_84,F_Philippines_85ov,F_Philippines_Tot,F_Poland_0_4,F_Poland_5_14,F_Poland_15_24,F_Poland_25_44,F_Poland_45_54,F_Poland_55_64,F_Poland_65_74,F_Poland_75_84,F_Poland_85ov,F_Poland_Tot,F_Scotland_0_4,F_Scotland_5_14,F_Scotland_15_24,F_Scotland_25_44,F_Scotland_45_54,F_Scotland_55_64,F_Scotland_65_74,F_Scotland_75_84,F_Scotland_85ov,F_Scotland_Tot,F_Singapore_0_4,F_Singapore_5_14,F_Singapore_15_24,F_Singapore_25_44,F_Singapore_45_54,F_Singapore_55_64,F_Singapore_65_74,F_Singapore_75_84,F_Singapore_85ov,F_Singapore_Tot,F_South_Africa_0_4,F_South_Africa_5_14,F_South_Africa_15_24,F_South_Africa_25_44,F_South_Africa_45_54,F_South_Africa_55_64,F_South_Africa_65_74,F_South_Africa_75_84,F_South_Africa_85ov,F_South_Africa_Tot,F_SE_Europe_nfd_0_4,F_SE_Europe_nfd_5_14,F_SE_Europe_nfd_15_24,F_SE_Europe_nfd_25_44,F_SE_Europe_nfd_45_54,F_SE_Europe_nfd_55_64,F_SE_Europe_nfd_65_74,F_SE_Europe_nfd_75_84,F_SE_Europe_nfd_85ov,F_SE_Europe_nfd_Tot,F_Sri_Lanka_0_4,F_Sri_Lanka_5_14,F_Sri_Lanka_15_24,F_Sri_Lanka_25_44,F_Sri_Lanka_45_54,F_Sri_Lanka_55_64,F_Sri_Lanka_65_74,F_Sri_Lanka_75_84,F_Sri_Lanka_85ov,F_Sri_Lanka_Tot,F_Taiwan_0_4,F_Taiwan_5_14,F_Taiwan_15_24,F_Taiwan_25_44,F_Taiwan_45_54,F_Taiwan_55_64,F_Taiwan_65_74,F_Taiwan_75_84,F_Taiwan_85ov,F_Taiwan_Tot,F_Thailand_0_4,F_Thailand_5_14,F_Thailand_15_24,F_Thailand_25_44,F_Thailand_45_54,F_Thailand_55_64,F_Thailand_65_74,F_Thailand_75_84,F_Thailand_85ov,F_Thailand_Tot,F_FYROM_0_4,F_FYROM_5_14,F_FYROM_15_24,F_FYROM_25_44,F_FYROM_45_54,F_FYROM_55_64,F_FYROM_65_74,F_FYROM_75_84,F_FYROM_85ov,F_FYROM_Tot,F_Turkey_0_4,F_Turkey_5_14,F_Turkey_15_24,F_Turkey_25_44,F_Turkey_45_54,F_Turkey_55_64,F_Turkey_65_74,F_Turkey_75_84,F_Turkey_85ov,F_Turkey_Tot,F_USA_0_4,F_USA_5_14,F_USA_15_24,F_USA_25_44,F_USA_45_54,F_USA_55_64,F_USA_65_74,F_USA_75_84,F_USA_85ov,F_USA_Tot
1000,0,0,3,8,6,25,18,3,0,67,0,0,0,15,9,5,3,11,0,43,5,7,18,61,5,5,0,0,0,98,0,7,27,127,137,312,536,255,75,1479,31,202,278,1384,1240,1374,879,257,94,5727,0,5,8,43,43,42,87,30,7,265,0,15,4,55,9,8,3,3,0,94,3,15,21,121,125,97,24,11,8,407,30,134,137,764,407,435,181,36,10,2143,0,0,6,74,13,70,43,24,26,260,3,31,21,156,235,371,495,221,76,1610,0,13,12,35,54,48,33,10,3,208,8,80,131,392,266,238,178,70,19,1378,0,0,0,5,24,42,49,31,7,152,3,15,10,80,34,23,17,14,6,198,0,7,35,213,16,10,0,0,0,293,6,40,51,344,136,72,34,0,0,694,0,0,0,11,17,8,12,7,0,62,0,0,3,12,21,6,5,4,0,51,20,87,112,408,252,324,245,51,18,1521
1001,0,0,0,11,3,0,0,0,3,15,0,0,0,7,0,0,0,0,0,6,5,45,46,33,0,0,0,0,0,137,0,3,0,11,9,30,57,36,18,162,3,30,29,106,83,78,47,15,3,401,0,0,0,4,3,0,3,5,0,20,3,3,0,18,0,0,0,0,0,24,0,0,0,8,4,4,0,0,0,23,5,23,34,133,47,49,26,3,0,318,0,0,0,9,5,7,9,0,12,35,0,0,0,15,15,32,31,22,10,119,0,0,4,9,5,3,0,0,0,22,0,9,18,40,26,9,4,4,4,106,0,0,0,3,0,4,10,6,10,38,3,7,10,47,7,6,0,3,0,86,0,0,0,11,0,0,0,0,0,16,4,0,10,46,14,7,3,0,0,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,8,12,23,14,12,3,0,0,81
1002,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,7,0,0,23,63,0,0,0,0,0,89,0,0,0,3,0,7,12,5,3,28,0,10,26,21,25,18,12,3,0,116,0,0,0,3,0,0,3,0,0,6,0,0,0,3,0,0,0,0,0,9,0,0,0,11,7,0,0,0,0,23,0,3,20,51,8,17,0,0,0,101,0,0,0,3,0,3,0,0,0,3,0,5,3,6,4,7,16,3,3,41,0,3,0,0,0,4,0,3,0,13,0,3,12,12,9,4,3,0,0,43,0,0,0,0,0,0,0,0,0,0,0,5,3,15,3,3,0,0,0,37,0,0,4,9,0,0,0,0,0,12,0,0,3,8,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,8,7,16,4,12,6,5,0,56
1003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,3,0,3,5,7,11,6,9,48,0,13,7,58,39,49,35,14,4,218,0,0,0,0,3,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,6,7,0,0,0,0,16,0,9,4,24,11,12,4,0,0,62,0,0,0,4,0,0,0,0,3,9,0,0,5,13,11,6,10,11,0,55,3,0,0,4,3,4,0,0,0,9,0,3,3,13,7,0,6,3,3,48,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,3,0,0,9,0,0,0,3,0,0,0,0,0,3,0,3,0,17,10,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,13,11,6,3,3,0,41
1004,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,14,11,0,38,3,3,3,18,20,26,22,12,3,114,0,0,0,0,0,0,3,3,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,6,0,0,0,21,11,7,3,0,0,57,0,0,0,0,0,5,3,0,3,13,0,0,0,3,3,11,21,16,13,59,0,3,0,0,0,0,0,0,0,4,0,0,0,8,3,5,13,4,0,28,0,0,0,0,0,0,0,8,0,8,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,8,0,0,0,0,0,0,3,0,0,4,0,0,0,0,4,0,0,0,0,4,0,0,0,3,0,4,9,0,0,17
1005,0,0,0,3,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,3,0,6,3,20,0,0,0,0,0,23,0,0,0,4,6,5,14,10,6,43,0,5,21,54,36,32,19,7,8,175,0,0,0,0,0,0,0,0,0,5,0,0,0,9,3,0,0,0,0,14,0,0,0,3,8,3,0,0,0,11,3,9,4,37,18,12,0,3,0,79,0,0,0,0,0,3,0,0,0,5,3,0,3,3,15,12,19,11,4,69,0,0,0,6,4,0,0,3,0,12,0,3,11,18,6,7,7,0,0,54,0,0,0,0,0,0,3,0,0,6,0,3,3,11,6,0,5,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,19,7,3,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,11,4,3,6,0,0,36
1006,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,5,8,50,0,4,0,0,0,63,0,0,0,7,6,15,27,14,14,78,3,11,16,67,53,61,69,30,5,308,0,0,0,3,0,0,11,3,0,23,0,0,0,0,0,0,3,0,0,0,0,0,0,10,7,9,0,0,0,24,0,0,7,28,15,13,14,0,0,81,0,0,0,4,3,8,9,6,3,35,0,0,3,9,12,33,39,31,11,147,0,3,3,3,3,0,0,0,0,15,0,3,3,30,13,13,33,9,3,101,0,0,0,0,6,0,3,3,0,17,0,0,0,7,0,0,0,3,0,13,0,3,3,5,4,3,0,3,0,22,3,0,0,20,7,5,0,0,0,27,0,0,0,3,0,0,3,0,0,8,0,0,0,0,0,0,0,0,0,5,0,4,11,17,15,18,14,8,0,79
1007,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,0,0,13,0,0,4,6,8,8,11,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,28,15,16,7,0,0,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,4,3,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,8,0,0,0,11,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,0,0,0,14
1008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,22,8,3,35,0,3,0,13,12,21,25,7,3,94,0,0,0,0,0,0,3,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,10,0,0,3,4,9,6,3,0,0,28,0,0,0,0,0,0,0,0,0,4,0,0,0,3,5,13,25,4,4,50,0,0,0,0,0,0,0,0,0,3,0,0,0,4,3,7,8,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,5,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,3,8,6,0,0,27
1009,0,3,0,16,16,18,17,9,5,80,0,0,0,8,3,3,3,6,0,38,0,3,3,33,0,3,0,0,0,42,0,7,4,34,48,80,177,100,52,507,18,91,155,714,612,576,363,169,64,2772,0,3,6,20,37,26,42,31,5,172,3,11,3,26,6,11,5,3,0,56,0,5,7,48,43,33,7,9,5,159,7,46,69,434,270,267,108,20,13,1234,0,4,3,56,20,41,31,14,16,178,0,27,21,91,136,173,250,165,83,937,3,4,5,23,29,22,14,6,3,110,0,39,78,255,153,122,101,52,17,817,0,0,0,8,15,12,19,12,3,69,0,0,6,38,17,20,13,8,3,112,0,9,3,34,13,12,0,0,0,69,7,22,35,225,80,42,3,0,0,414,0,0,0,0,7,6,5,3,0,20,0,0,0,14,7,3,8,0,0,37,6,51,51,149,99,79,54,8,6,495
